country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
al,Albania,Utilities,6002,1,284815942,Google - More ways to search,Google LLC,https://apps.apple.com/al/app/google-more-ways-to-search/id284815942?uo=4,0.0,4.57599,5158,Utilities,"The Google app keeps you in the know about things that matter to you. Find quick answers, explore your interests and stay up to date with Discover.

• Use your camera to identify what you're looking at – whether that's a colourful butterfly, a spiky plant or anything else you're curious about.
• Translate over 100 languages on things like street signs, menus and any other words you can point your camera at.
• See something you like? Use your camera to find out where you can buy it.
• Refine your camera searches by adding words – whether you want those shoes but in 'blue', or want to learn how to 'repair' that broken piece on your bicycle.
• Search by singing, even when you've forgotten the lyrics. Hum a song into the Google app to find out what it is.
• Use your camera for homework help. With step-by-step guides and videos, you can learn ways to solve maths, chemistry, biology and physics problems.


Get personalised updates in Discover:
• Stay in the know about topics that interest you.
• Start your morning with weather and top news.
• Get real-time updates on sports, films and events.
• Know as soon as your favourite artists drop new albums.
• Get stories about your interests and hobbies.
• Follow interesting topics, straight from Search results.


Search safely and securely:
• All searches in the Google app are protected by encrypting the connection between your device and Google.
• Privacy controls are easy to find and use. Tap your profile picture to access your menu and delete recent search history from your account with one click.
• Search takes a proactive approach to filtering webspam to help ensure that you see safe, high-quality results.


More ways to access Google:
• Google Search widget — search from your home screen or lock screen with the new Google widget. Choose from two widgets, giving you a quick access search bar in both sizes, and other search shortcuts to choose from such as Lens, Voice and Incognito in the medium-sized widget.


Learn more about what the Google app can do for you: http://www.google.com/search/about

Privacy policy: https://www.google.com/policies/privacy

Your feedback helps us to create products that you'll love. Join a user research study here:

https://goo.gl/kKQn99",2019-02-12T08:00:00Z,2025-11-17T00:10:48Z
al,Albania,Utilities,6002,2,535886823,Google Chrome,Google LLC,https://apps.apple.com/al/app/google-chrome/id535886823?uo=4,0.0,4.6091,7255,Utilities,"Chrome helps you do what's possible on the web. Download the fast, secure browser by Google.

GET THE BEST OF GOOGLE IN CHROME

• SEARCH WITH GOOGLE – search and get answers on Google fast. Use your voice to search hands-free.
• GOOGLE LENS – search what you see on your screen or with your camera.
• GOOGLE TRANSLATE – explore the web in 130+ languages. Translate entire websites in one click.

BROWSE WITH BEST-IN-CLASS SECURITY

• ENHANCED PROTECTION MODE – browse confidently with the highest level of Chrome's security.
• SAFETY CHECK – get peace of mind with proactive safety alerts.
• GOOGLE PASSWORD MANAGER – securely generate and save passwords for fast sign-in, and get alerts if your passwords are at risk.

ACCESS YOUR CHROME ACROSS DEVICES

• SYNC ACROSS DEVICES – save your things (like bookmarks, tabs and passwords) and easily access them when you sign in to Chrome on your phone, computer or tablet.
• TAB GROUPS – create tab groups to stay organised across devices.
• AUTOFILL – save time typing by autofilling your saved payments, addresses and passwords.",2012-06-28T19:57:38Z,2025-11-11T16:30:29Z
al,Albania,Utilities,6002,3,1373844471,"VPN Lumos: Open Proxy, Connect","LUMOS, OOO",https://apps.apple.com/al/app/vpn-lumos-open-proxy-connect/id1373844471?uo=4,0.0,4.6255,1239,Utilities,"VPN Lumos offers you a fast, private and secure internet connection. Change your IP address, access social networks, streaming, watch TV, browse movie websites, play games and more without limits!

◾Enjoy streaming services: Netflix, Disney+, Hulu, Max, Amazon Prime, Apple TV, Youtube
◾Make messenger calls
◾Connect to TikTok, Twitter, other social media
◾Secure browsing activity
◾More than 1000 servers in 45+ countries worldwide
◾Data privacy protection
◾Fastest VPN server feature
◾Safety on public Wi-Fi
◾Compatible across multiple remote devices
◾Wide language selection
◾Up to date VPN protocols (OpenVPN, Thestral, Wireguard)
◾Free trial period and an affordable subscription price
◾User-friendly interface
◾Customer support (ask us anything through email support@lumos.mobi or through an app)
◾Strict privacy policy

Try VPN Lumos today and light up your online world!

Subscription Pricing, Policy & Terms of Use:
- VPN Lumos offers a monthly subscription plan at $11.99/mo with a 3-day free trial period.
- Subscription automatically renews unless auto-renew is turned off at least 24 - hours before the end of the current period.
- payment will be charged to iTunes Account at confirmation of purchase.
- Account will be charged for renewal within 24-hours prior to the end of the current period.
- No cancellation of the current subscription is allowed during the active subscription period.
- Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase.
- Any unused portion of a free trial period will be forfeited when the user purchases a subscription.

Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's iTunes Account Settings after purchase.
Subscription can be canceled during its free trial period via the subscription setting through your iTunes account. This must be done 24 hours before the end of the subscription period to avoid being charged.

Privacy Policy: https://lumos.mobi/policy/onionvpn-policy.html
EULA: https://lumos.mobi/eula/termsofuse.html",2018-05-08T15:17:35Z,2025-11-14T06:41:14Z
al,Albania,Utilities,6002,4,1423538627,1.1.1.1: Faster Internet,Cloudflare Inc.,https://apps.apple.com/al/app/1-1-1-1-faster-internet/id1423538627?uo=4,0.0,4.62924,1238,Utilities,"1.1.1.1 w/ WARP – the free app that makes your Internet more private.

1.1.1.1 w/ WARP makes your Internet more private and safer. No one should be able to snoop on what you do on the Internet. We’ve created 1.1.1.1 so that you can connect to the Internet securely anytime, anywhere.

• A better way to connect
1.1.1.1 with WARP replaces the connection between your phone and the Internet with a modern, optimized, protocol. 

• Greater privacy
1.1.1.1 with WARP prevents anyone from snooping on you by encrypting more of the traffic leaving your phone. We believe privacy is a right. We won't sell your data.

• Better security
1.1.1.1 with WARP protects your phone from security threats like malware, phishing, crypto-mining and other security threats when you enable 1.1.1.1 for Families option from the DNS settings inside the app.

•  Easy to use
One-touch setup to make your Internet more safe and private. Install it today, get a more private Internet, it’s that simple.

• The only way to get WARP+ 
In addition to the full WARP service, WARP+ subscribers get access to a larger network. More cities to connect to means you’re likely to be closer to a Cloudflare data center – which can reduce the latency between your device and Cloudflare and improve your browsing speed.
 
---
Subscription Information for WARP+

• 1.1.1.1 with WARP is free, but WARP+ is a paid feature which can be enabled at any time.
• You can get free WARP+ data by sharing 1.1.1.1 with friends.
• Subscribe on a monthly basis to receive unlimited WARP+ data for the duration of the subscription.
• Your subscription will automatically renew for the same package length at the same price until you cancel in settings in the iTunes Store at least 24 hours prior to the end of the current period.
• Any unused portion of a free trial period and/or WARP+ data transfer credits, if offered, will be forfeited when you purchase a subscription, where applicable.

Privacy Policy: https://www.cloudflare.com/application/privacypolicy/
Terms of Service: https://www.cloudflare.com/application/terms/",2018-11-11T13:01:30Z,2025-08-11T22:33:18Z
al,Albania,Utilities,6002,5,968458206,e-Albania,Agjencia Kombetare e Shoqerise se Informacionit,https://apps.apple.com/al/app/e-albania/id968458206?uo=4,0.0,3.06431,933,Utilities,"Shërbimet e administratës publike në pajisjen tuaj

Aplikacioni “e-albania.al” shërben si një portë, nëpërmjet së cilës çdo person i interesuar mund të marrë nëpërmjet internetit, në çdo kohë dhe nga kudo shërbime elektronike të ofruara nga institucionet publike në Shqipëri.  
 
Portali, së bashku me Platformën Qeveritare të Ndërveprimit nëpërmjet të cilës institucionet ndërveprojnë duke shkëmbyer të dhëna në kohë reale, janë pjesë e rëndësishme e strategjisë së Qeverisë, për të ofruar shërbime elektronike nëpërmjet një pike të vetme kontakti.
 

Key Features

Faturat e energjisë elektrike, kundravajtjet rrugore (gjobat), pikët e drejtuesit të mjetit, gjurmimi i çështjeve gjyqësore, taksat e automjetit, të dhëna të gjendjes civile, regjistrimi fillestar i biznesit pranë Qendrës Kombëtare të Regjistrimit, taksat dhe tarifat vendore, notat e provimeve të maturës, lista e barnave të rimbursueshme, të dhënat e Kartës së Shëndetit etj. vijnë në çdo moment në telefonin apo tabletin tuaj nëpërmjet aplikacionit e-albania.",2015-05-04T11:33:36Z,2025-01-20T06:12:20Z
al,Albania,Utilities,6002,6,6463403383,Mix VPN - Fast & Unlimited,"GUAVA BRAVO TECHNOLOGY, LLC",https://apps.apple.com/al/app/mix-vpn-fast-unlimited/id6463403383?uo=4,0.0,4.59999,10,Utilities,"Discover the pinnacle of security and privacy with Mix VPN, an advanced Virtual Private Network solution designed to safeguard your online activities. Mix VPN offers unparalleled features that ensure a secure and confidential connection to the Internet, setting a new standard in digital protection.



Mix VPN is a robust implementation of Virtual Private Network technology, offering a secure and private Internet connection.



Key Features of Mix VPN:



1. Strict no-logs policy:



Mix VPN ensures your browsing history and personal data are never logged or collected.



2. Multi-hop function:



Utilize sequences of servers to enhance your anonymity and security online. Our AI-based server selection feature intelligently chooses servers based on real-time channel conditions specific to your current location.



3. Kill-Switch:



Kill-switch feature automatically blocks internet traffic if the VPN connection drops, ensuring your data remains protected.



4. Impressive speed:



Benefit from high connection speeds across our VPN servers.



5. State-of-the-art encryption:



We employ the IKEv2 protocol to maximize your online data security.



6. Global server network:



Connect to servers in over 10 countries worldwide with Mix VPN.



7. User-friendly interface:



Enjoy advanced protection with an intuitive setup that's accessible to everyone.



8. 24/7 customer support:



Our team is available round-the-clock to assist you with any inquiries.



Mix VPN acts as your trusted online shield, safeguarding privacy and granting access to Internet resources while protecting you from threats like hacking, fraud, and unwanted data surveillance.

Subscription Details:

Subscribe now for ad-free full access!
Experience our service with a free three-day trial, which automatically converts to a paid subscription.
Choose from weekly, monthly, or annual subscription plans.
Payment will be charged upon purchase confirmation.
You can cancel anytime before the current period ends to avoid auto-renewal.
Manage your subscription and disable auto-renewal in your account settings after payment.
Unused trial periods will be forfeited upon subscribing.
For more details, refer to our privacy policy at https://guavabravotechnology.com/privacy.html and our EULA at https://guavabravotechnology.com/eula.html.",2023-09-25T07:00:00Z,2025-11-16T13:45:04Z
al,Albania,Utilities,6002,7,562221028,My Vodafone Albania,VODAFONE ALBANIA SH.A.,https://apps.apple.com/al/app/my-vodafone-albania/id562221028?uo=4,0.0,4.59623,30146,Utilities,"Çdo shërbim online në një app të vetëm në çdo kohë dhe në çdo moment. Për të gjithë
klientet me parapagesë, paspagese, Next, si dhe për të gjithë klientët me kontratë
interneti fix ose TV.
Duke përdorur My Vodafone ti mund të aksesosh llogarinë tënde Vodafone në çdo
moment. Kontrollo shpenzimin e GB, minutave apo SMS në kohë reale. Nëpërmjet My
Vodafone ti mund të menaxhosh të gjitha shërbimet që ke me Vodafone në një vend të
vetëm. Përfito çdo ditë nga dhuratat dhe ofertat e Shake si dhe nga ofertat My
Weekend. Ndrysho ose rinovo planin tënd direkt nga Smartphone yt.

Gjithashtu ti mund të:
• Blesh paketa mujore, javore ose ditore , paketa shtesë si dhe paketa roaming për llogarinë tënde ose të dikujt tjetër.
• Rimbushësh numrin tënd ose të dikujt tjetër.
• Kontrollosh dhe paguash faturat mujore në qoftë se je klient NEXT, me paspagese ose
internet & TV, për llogarinë tënde ose të dikujt tjetër.
• Kontrollosh dhe përfitosh nga kuponat e Vodafone More.
• Paguash parkimin në Tirane duke përdorur Tirana Parking.
• Dërgosh GB, Minuta, SMS ose VCoins tek miqtë e tu.
• Marrësh ndihmë nga TOBi, asistenti ynë digjital.
• Kontrollosh shpejtësinë e rrjetit celular ose Wi-Fi
Për t’u patur parasysh:
• Që të përdorësh My Vodafonë mjafton të krijosh një llogari duke vendosur emrin e
përdoruesit dhe fjalekalimin.
• Për t’u regjistruar në aplikacion ju duhet të jeni të lidhur në rrjet
• Aplikacioni është pa pagesë si dhe mund të aksesohet edhe në qoftë se nuk keni
internet aktiv në profil.
• Aplikacioni mund të përdoret në dy gjuhë: Shqip ose Anglisht
• Për më tepër informacion vizitoni www.vodafone.al
• Për çdo problematikë na kontaktoni në Email nakontaktoni@vodafone.com

Every online service in one single app, available everywhere and anytime. For every
prepaid, postpaid, NEXT or broadband &amp; TV customers
Keep track of your Vodafone account on the go with My Vodafone app. Track your GB,
Minutes and SMS usage, broadband &amp; TV line status on real time. With My Vodafone
App you can manage all your Vodafone services in one place, you can also change or
renew your plan, get daily and Weekly gifts with Shake and My Weekend. Upgrade or
renew your current plan directly from your smartphone
You can also:


• Purchase monthly, weekly or daily bundles as well as extras, such as Add-ons or
roaming bundles for your account or someone else’s.
• Top-up your phone or someone else’s.
• View and pay monthly bills for NEXT, Postpaid and Broadband & TV customers, for your account or someone else’s.
• Browse Vodafone More deals.
• Use Tirana Parking to pay for parking tickets in Tirana.
• Use Vodafone Share to share GB, Minutes, SMSes and VCoins.
• Get help from TOBi, our friendly virtual agent.
• Check your network and Wi-Fi speed.
Things to remember:
• To use My Vodafone you should login or create an account with just your username
and password.
• The first time you use the app, you’ll need to be connected to a mobile network or Wi-Fi
to register your device. Just to note, even if you don’t have an inclusive data allowance
you can proceed with the account activation.
• The My Vodafone app with all its components is free of charge
• The My Vodafone app is available in both Albanian and English
• For more help with the app visit www.vodafone.al
• Having app issues? Email nakontaktoni@vodafone.com",2012-10-11T19:22:33Z,2025-10-08T08:29:48Z
al,Albania,Utilities,6002,8,6448330325,AI Cleaner: Clean Up Storage,"GRIMLAX TRADE,S.L.",https://apps.apple.com/al/app/ai-cleaner-clean-up-storage/id6448330325?uo=4,0.0,4.68675,166,Utilities,"Do you often find your iPhone running out of storage?

AI Cleaner offers AI-powered cleaning unlike any other. With powerful cleaning functions, it helps you optimize your phone's performance by removing unnecessary files.

→ Reclaim space and enjoy a faster, more efficient device with optimized performance.

■ KEY FEATURES

» AI Smart Storage Cleaner
» Remove Duplicate Photos & Videos
» Swipe to Clean Your Gallery
» Clean Email Inbox & Unsubscribe
» Compress Photos & Videos
» Protect Private Files
» Contact Cleanup
» Event Remover

SMART STORAGE CLEANER
Experience the power of AI with AI Cleaner, designed to deliver the quickest and most effective cleanup for your iPhone.

If you want a thorough clean, our comprehensive cleaning feature uses all the app functions simultaneously, ensuring maximum storage recovery in minimal time.

DELETE DUPLICATE PHOTOS AND VIDEOS
AI Cleaner app scans your gallery for duplicate photos and videos, allowing you to delete them with a single tap. Free up space without losing your memories.

SWIPE TO KEEP OR DELETE
Scroll through your photos and videos one by one, and decide what to keep or delete with a simple swipe. Swipe right to keep and left to delete — it’s that easy, and you have all the control. Clean the clutter in your gallery, free up space, and keep only the memories that matter.

EMAIL CLEANER
Keep your inbox tidy and organized by removing unwanted emails and unsubscribing from spam and telemarketing lists.

COMPRESS PHOTOS AND VIDEOS
Regain precious space on your phone with just a few clicks by compressing your photos and videos! Select from a variety of compression levels—high, medium, or low—to suit your storage preferences and free up space seamlessly.

PROTECT PRIVATE PHOTOS AND VIDEOS
Effortlessly safeguard your memories and sensitive information by protecting and concealing your photos, videos, and contacts within a private storage space, ensuring an extra layer of security and privacy. Relax, knowing your memories are secured from unwanted access.

CONTACT CLEANUP
Forget about incomplete and duplicate contacts cluttering your address book. AI Cleaner identifies and helps you clean up your contact list to keep it organized and relevant.

REMOVE PAST EVENTS
Is your calendar crowded with obsolete past events? AI Cleaner quickly detects and removes old events, freeing up space on your schedule.


■ EFFORTLESS STORAGE MANAGEMENT

» Easy to use: With our intuitive interface, you can easily free up space manually or with AI assistance.

» AI-Powered cleaning: AI Cleaner efficiently scans your device to identify duplicate and unwanted items.

» Data security: Your personal data is safe with us. AI Cleaner does not store your personal information.

» Performance optimization: Improve your iPhone's speed and responsiveness with AI Cleaner app. Our advanced AI technology frees up gigabytes of storage in seconds.

» Regular updates: We keep AI Cleaner up to date with the latest improvements and features to ensure the best experience.


■ CONTACT:

For app support and more information, reach out to us at:
info@aicleaner.app

Terms of Use:
https://aicleaner.app/terms-of-use

Privacy Policy:
https://aicleaner.app/privacy-policy

Download AI Cleaner now and enjoy a faster and more efficient device! Free up space, organize your gallery and agenda, and keep your mobile at its best.",2023-10-30T07:00:00Z,2025-11-18T09:31:21Z
al,Albania,Utilities,6002,9,1501706009,My One (AL),One Albania,https://apps.apple.com/al/app/my-one-al/id1501706009?uo=4,0.0,2.68437,659,Utilities,"Me qëllimin për t’iu ofruar gjithmonë atë për të cilën keni nevojë, sjellim aplikacionin My One.
Të përshtatur për ju dhe çdo nevojë tuajën, vetëm me një klikim:
- Hyr në aplikacion nga profili yt në Facebook;
- Kontrollo balancën dhe njësitë e mbetura;
- Rimbush çdo numër One;
- Merr ofertën tënde të personalizuar;
- Aktivizo çdo paketë;
- Shkarko në format PDF dhe paguaj çdo faturë;
- Paguaj me çdo kartë bankare, thjeshtë dhe sigurt;
- Ruaj kartën bankare për përdorim të thjeshtë më vonë;
- Shkëmbe njësitë që nuk do dhe merr njësitë që do më shumë;
- Gjej dyqanet One pranë teje;
- Kontakto Shërbimin ndaj Klientit 24/7.",2020-09-09T07:00:00Z,2023-03-13T22:27:32Z
al,Albania,Utilities,6002,10,448142450,Truecaller: Caller ID & Block,True Software Scandinavia AB,https://apps.apple.com/al/app/truecaller-caller-id-block/id448142450?uo=4,0.0,4.5992,2011,Utilities,"With Truecaller, you can easily identify and block spam calls or SMS and search for unknown numbers. Leveraging AI pattern analytics with community-based spam classifications from over 450 million users and offering a range of thoughtfully designed features, Truecaller ensures the safety and security of your communication like no other app.

#1 CALLER ID & SPAM BLOCKING APP WORLDWIDE

• An all new Caller ID experience on iPhone with iOS 18.2 and above
• Automatically identify spam, fraud, and robocalls before you pick up
• View & search previously identified calls in the Phone app
• Take advantage of the best spam call blocker for iPhone
• Enable spam identification and blocking by accessing Settings > Apps > Phone > Call Blocking & Identification
• A paid subscription is required to access this feature

TRUECALLER ASSISTANT: AI-POWERED CALL SCREENING*

• It uses machine learning and speech-to-text technology to ask questions to the caller, helping you find out who they are and the reason for the call
• Save time and enhance spam detection with the AI-powered Assistant that answers your calls
• Block the bad guys but take the calls that matter when opportunity rings
• Assistant performs live call screening, providing real-time information about the caller (personal, spam, robocall, etc), enabling you to make informed decisions
• Available in US, CA, AU, CL, ZA, SE and IL
• Supported on all major carriers
• A paid subscription is required to access this feature

IDENTIFY THE NAME OF ANY CALLER

• Enter any number to look up the name and other contact information. This feature works for both domestic and international numbers
• Look up phone numbers directly from your iPhone's call history using the action extension (Call Log > Share Contact > Search Truecaller)

TRUECALLER PREMIUM: UPGRADE AND LEVEL UP YOUR APP EXPERIENCE

• Remove all ads
• Unlimited number lookups
• Know who viewed your profile
• Family Plan - share your Premium account with up to 4 members
• Get the Premium badge on your profile
• Truecaller Assistant (US, CA, AU, CL, ZA, SE and IL)
• Auto-renewing subscription with a free trial for new users

Truecaller respects your right to privacy. Your phonebook is never made searchable or public.

Our terms of use: https://www.truecaller.com/terms-of-service

Please note: Payment for auto-renewing subscription to Truecaller Premium will be charged to your iTunes account upon purchase confirmation. Subscription can be managed and auto-renewal can be turned off by going to the Account Settings on your device. You must cancel at least 24 hours before your subscription ends to avoid renewal. Your account will be charged for renewal within 24 hours before the end of the current period.",2012-06-03T17:16:37Z,2025-11-17T12:07:26Z
