country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
ar,Argentina,Education,6017,1,6478287397,Learna AI: Aprender Inglés,DEEP FLOW SOFTWARE SERVICES - FZCO,https://apps.apple.com/ar/app/learna-ai-aprender-ingl%C3%A9s/id6478287397?uo=4,0.0,4.64716,2990,Education,"¡Bienvenido a la App Learna AI Language Tutor, tu solución todo en uno para dominar el idioma inglés! Aprende inglés con prácticas de gramática, conversación, lectura, pronunciación y vocabulario.

Una experiencia de aprendizaje que va más allá de los métodos tradicionales. Nuestra app está diseñada para atender a estudiantes de todos los niveles de competencia, desde principiantes que buscan establecer una base sólida hasta estudiantes avanzados que desean perfeccionar sus habilidades.

Las prácticas y lecciones de inglés son guiadas por nuestro Personaje Virtual de Chat con Learna AI, listo para ofrecer correcciones amistosas ante cualquier error que puedas cometer. Este enfoque innovador no solo mejora las habilidades lingüísticas, sino que también crea un ambiente de apoyo y compromiso para que los usuarios refinen cómodamente su dominio del inglés. La experiencia de chat virtual añade una dimensión única y dinámica al aprendizaje del idioma, haciéndolo tanto efectivo como agradable para usuarios de cualquier nivel de competencia.

Características de Learna AI Language Tutor:

Práctica de Conversación en Inglés con el Personaje Virtual de Chat con Learna AI
Recibe retroalimentación de Learna AI por tus errores
Aprende Gramática en Inglés
Mejora tus Habilidades de Lectura en Inglés
Enriquece tu Vocabulario en Inglés
Verificación Ortográfica
Perfecciona tu Pronunciación en Inglés
Mejora tus Habilidades de Habla en Inglés a través de ejercicios prácticos e interactivos

Rastrea tu progreso con métricas de rendimiento detalladas y hitos. Establece metas, monitorea tus logros y celebra tus éxitos a lo largo del camino. ¡Haz que tu viaje de aprendizaje del inglés sea más fácil!


Privacy Policy: static.ai-learning-app.com/privacy-en.html

Terms of Use: static.ai-learning-app.com/terms-conditions-en.html",2024-09-25T07:00:00Z,2025-11-20T05:59:35Z
ar,Argentina,Education,6017,2,570060128,Duolingo - Aprende idiomas,"Duolingo, Inc",https://apps.apple.com/ar/app/duolingo-aprende-idiomas/id570060128?uo=4,0.0,4.77993,112174,Education,"¡Aprende un nuevo idioma con la app educativa más descargada del mundo! Duolingo es la app gratuita para aprender más de 40 idiomas, mientras que te diviertes con lecciones cortas. Practica conversación, comprensión, lectura, escritura y desarrolla tus habilidades de gramática y vocabulario.

Diseñado por expertos en idiomas y querido por cientos de millones de personas en todo el mundo, Duolingo te ayuda a prepararte para conversar en la vida real en español, francés, chino, italiano, alemán, inglés ¡y más!

¡Ahora, también puedes aprender Matemáticas y Música a la manera de Duolingo!

Desarrolla habilidades matemáticas que usarás en la vida real (desde calcular propinas a identificar patrones) y fortalece tu destreza mental con nuestro curso de matemáticas.

Aprende a leer y tocar canciones famosas en tu dispositivo con nuestro nuevo curso de música. ¡No necesitas ningún instrumento!

Ya sea que estés aprendiendo para viajar, para la escuela, tu profesión, tu familia, tus amigos o como ejercicio mental, te encantará aprender con Duolingo.

¿Por qué elegir Duolingo?
• Duolingo es divertido y efectivo. Nuestras lecciones se sienten como un juego y los divertidos personajes te permitirán desarrollar sólidas habilidades de idiomas, música y matemáticas.

• Duolingo funciona. Diseñado por expertos del aprendizaje, Duolingo utiliza un método de enseñanza con base científica que ha demostrado promover la retención a largo plazo.

• Conoce tu progreso. Alcanza tus metas de aprendizaje y recibe grandes recompensas y logros por mantener tu hábito de aprendizaje.

• Únete a más de 300 millones de usuarios. Participa en las Ligas y mantén tu motivación mientras compites con otros usuarios de nuestra comunidad global.

• Todos los cursos son gratuitos. Aprende inglés, francés, alemán, italiano, ruso, portugués, turco, neerlandés, irlandés, danés, sueco, ucraniano, esperanto, polaco, griego, húngaro, noruego, hebreo, galés, árabe, latín, hawaiano, gaélico escocés, vietnamita, coreano, japonés, español, alto valyrio… ¡y ahora, también puedes aprender Música y Matemáticas!

Qué dicen alrededor del mundo sobre Duolingo:

""Sin la menor duda, la mejor aplicación para aprender idiomas"" — The Wall Street Journal

“Esta aplicación y su página gratuitas están entre los métodos de aprendizaje de idiomas más efectivos que he probado… las lecciones se presentan como desafíos cortos (hablar, traducir, responder preguntas con opciones múltiples) que me dan ganas de seguir volviendo por más”. — The New York Times

""Creemos que Duolingo tiene el secreto del futuro de la educación"" — Revista TIME

“…Duolingo es alegre, animado y divertido…” — Forbes

“Nuestra app de idiomas favorita…” — CNET

Si te gusta Duolingo, ¡prueba Súper Duolingo gratis por 14 días! Aprenderás idiomas más rápido, sin anuncios, y con grandes beneficios, como Vidas ilimitadas y un Restaurador de racha mensual. 

Si decides adquirir Súper Duolingo, se hará un cargo a tu cuenta de Apple. Tu cuenta recibirá un cargo por la renovación en un lapso de 24 horas antes de finalizar el período actual. Puedes desactivar la renovación automática en cualquier momento desde tus ajustes: solo debes ingresar en los ajustes de la App Store luego de realizar la compra. En los casos que corresponda, y cuando se ofrezca, el tiempo sin utilizar del período de prueba vence cuando el usuario se suscribe según lo publicado.

Política de privacidad: https://www.duolingo.com/privacy
Términos de servicio: https://www.duolingo.com/terms",2012-11-13T08:00:00Z,2025-11-18T14:12:41Z
ar,Argentina,Education,6017,3,6472703434,Luzia: Tu Asistente Virtual IA,Factoria Elcano SL,https://apps.apple.com/ar/app/luzia-tu-asistente-virtual-ia/id6472703434?uo=4,0.0,4.76799,1112,Education,"Luzia es tu asistente personal de educación con inteligencia artificial IA, que te va a ayudar a resolver tareas y problemas y aprender cómo resolver matemáticas de una forma didáctica y simple, ¡entre muchas otras cosas! 

El asistente de inteligencia artificial Luzia ha sido diseñado para ayudar en todas las facetas de la vida diaria, desde tareas cotidianas y trabajo, estudios o idiomas, desde conversaciones a través de su chat IA virtual. Además, hace que el acceso a la inteligencia artificial IA sea fácil, directo y gratuito para todos. 

La interacción con Luzia es tan natural y sencilla como chatear con un amigo o con tu profesor o profesora, quién te ayudará a resolver matemáticas utilizando tanto voz como texto (chat IA). Tan solo descarga la app y comienza a explorar todas sus posibilidades como asistente en educación con IA.

Luzia es tu asistente virtual y tutor en educación con inteligencia artificial (IA) para resolver matemáticas, tareas, ejercicios y problemas matemáticos.

Entre sus muchas funciones de inteligencia artificial enfocadas a la educación, Luzia te ayudará a:
▸ Resolver matemáticas, tareas, ejercicios y problemas matemáticos.
▸ Resolver ecuaciones de física o química.
▸ Resolver ejercicios de álgebra. 

◉ Luzia como asistente virtual IA:

Luzia también puede ayudarte en la gestión de tareas diarias. El asistente en inteligencia artificial Luzia se adapta a tus necesidades para ayudarte en lo que necesites, optimizando tu tiempo y mejorando tu productividad:

▸ Transcripción de mensajes de audio a texto.
▸ Consejos, compañía y entretenimiento.
▸ Creación de imágenes únicas y personalizadas.
▸ Interacción con diversas personalidades, como la Profesora para ayudarte en la escuela, o la Amiga para aconsejarte.
▸ Herramientas para aprender o practicar idiomas.
▸ Interpretación de imágenes, tan solo enviando una fotografía de tus tareas
▸ Ayuda con tareas cotidianas, como la planificación de tu menú semanal o tu rutina de ejercicios.
▸ Asistencia en el trabajo, incluyendo la redacción y corrección de correos electrónicos y documentos.
▸ Traducción en cientos de idiomas.
▸ Generación de ideas e inspiración para regalos o proyectos creativos.
▸ Información actualizada sobre el clima y noticias recientes.
▸ ¡Y mucho más!

◉ Interacción Natural: 

Habla con Luzia, tu asistente personal y virtual con inteligencia artificial, mediante texto, a través de su chat ia, o voz, disfrutando de una interacción fluida y natural, como si estuvieras charlando con una amiga.

◉ Acceso Fácil y Gratis: 

Luzia ofrece un servicio de inteligencia artificial gratis; simplemente descarga la app y comienza a hablar con ella.

◉ Seguridad y Privacidad: 

Luzia garantiza la protección y privacidad de tus datos mediante el uso de cifrado de extremo a extremo. Todos los mensajes se procesan de manera anónima y segura. Además, tus mensajes no se utilizarán para entrenar a Luzia, tu información es confidencial y utilizada éticamente.

◉ Tecnología Avanzada: 

Luzia integra modelos de IA como ChatGPT, Llama o Gemini, ofreciendo soluciones óptimas y personalizadas para cada solicitud.

Descarga Luzia ahora para tener a tu disposición un asistente en educación con inteligencia artificial IA. Será tu tutor para resolver problemas matemáticos, ecuaciones de fisica o quimica o, ¡cualquier tarea o ayuda que necesites!",2023-12-01T08:00:00Z,2025-11-14T17:34:51Z
ar,Argentina,Education,6017,4,1484296272,Knowunity | Tutor escolar IA,Knowunity GmbH,https://apps.apple.com/ar/app/knowunity-tutor-escolar-ia/id1484296272?uo=4,0.0,4.36552,145,Education,"Knowunity con SchoolGPT: la app de aprendizaje favorita de estudiantes desde primaria hasta preparatoria, ¡TOTALMENTE GRATIS! Más de 22 millones de estudiantes en todo el mundo usan Knowunity para mejorar sus calificaciones. El 94% de nuestros usuarios confirma: Knowunity ayuda a sacar mejores notas.

► “Aquí encuentras todo para la escuela, y las funciones de IA son increíbles. ¡No vas a querer usar otra app educativa con IA!”
► “Ahora aprendo mejor, más fácil y rápido. ¡Gracias por crear esta app escolar que me salva la vida!”

¿POR QUÉ ELEGIR KNOWUNITY (SCHOOLGPT)? LA MEJOR IA PARA ESTUDIANTES
► IA que entiende la escuela de verdad
► Explicaciones personalizadas para cada grado escolar en el chat
► Escáner con IA, disponible 24/7, con las mejores respuestas
► Quizzes, resúmenes, exámenes de práctica y explicaciones visuales, todo creado por IA para ti
► 100% personalizado y gratuito

MATERIALES DE ESTUDIO GRATIS
► Acceso a millones de apuntes y materiales creados por estudiantes como tú
► Tarjetas de estudio, resúmenes, exámenes de práctica, ejercicios y mucho más
► Mejora tu comprensión en cualquier tema
► Descubre contenidos variados y relevantes en los resultados de búsqueda

ESTUDIA A TU MANERA
► Tarjetas de estudio para todas las materias
► Crea quizzes y tarjetas automáticas
►Escucha todos los contenidos en audio
► Exámenes de práctica en cada materia

ORGANIZADOR ESCOLAR
► Tu biblioteca: todos tus materiales en una sola app
► Descarga contenidos y úsalo sin conexión

AYUDA CON LAS TAREAS
► Escanea problemas de matemáticas
► Asistencia para ensayos y tareas

COMUNIDAD ESTUDIANTIL
► Comunidad activa de estudiantes
► Chats sobre todos los temas escolares
► Intercambia ideas y motívate con otros estudiantes
► Crea grupos de estudio y forma tu propia comunidad

COMPARTE TU CONOCIMIENTO
► Crea tu perfil de estudiante
►Comparte tus materiales y motiva a otros
► Ayuda a otros a aprender y conviértete en creador/a

FUNCIONES DE IA PARA LA ESCUELA
► Escáner con IA
► Asistente IA
► Chat IA
► Tutor IA

Knowunity SchoolGPT es ideal para estudiantes de todos los niveles y materias. ¡Diviértete aprendiendo y sin pagar nada!

LA ESCUELA, FINALMENTE FÁCIL
Knowunity está diseñada pensando en ti. Encuentra todo lo que necesitas para la escuela, aprende con amigos y mantente motivado/a. El tutor y la comunidad estudiantil siempre te acompañan, para que nunca estudies solo/a. Descubre materiales de alta calidad creados por estudiantes y cubre todo el plan de estudios, ¡sin vacíos!

¿Tienes dudas o sugerencias? Escríbenos a 
support-mx@knowunity.com

Más información en 
WWW.KNOWUNITY.COM.MX

Términos y condiciones: 
https://knowunity.com.mx/terminos",2020-09-10T07:00:00Z,2025-11-19T18:52:16Z
ar,Argentina,Education,6017,5,919087726,Photomath,Google LLC,https://apps.apple.com/ar/app/photomath/id919087726?uo=4,0.0,4.79783,18771,Education,"Aprende a resolver problemas matemáticos, comprueba las respuestas de tus deberes y estudia para los próximos exámenes y pruebas ACT/SAT con el recurso de aprendizaje de matemáticas más utilizado en el mundo. Con más de 100 millones de descargas y miles de millones de problemas resueltos todos los meses. 

CÓMO FUNCIONA
Escanea instantáneamente el texto impreso y los problemas matemáticos escritos a mano con la cámara de tu dispositivo o escribe y edita ecuaciones con nuestra calculadora científica. Photomath desglosa todos los problemas matemáticos en pasos simples y fáciles de entender para que puedas asimilar realmente los conceptos básicos y responder a las preguntas con confianza.

CARACTERÍSTICAS CLAVE
Escanea libro de texto (impreso) y problemas escritos a mano
Calculadora científica
Explicaciones paso a paso para cada solución
Múltiples métodos de resolución
En más de 30 idiomas
Gráficos interactivos

TEMAS DE MATEMÁTICAS
Matemáticas básicas/preálgebra: aritmética, números enteros, fracciones, números decimales, potencias, raíces, factores
Álgebra: ecuaciones/desigualdades lineales, ecuaciones cuadráticas, sistemas de ecuaciones, logaritmos, funciones, matrices, gráficas, polinomios
Trigonometría/precálculo: identidades, secciones cónicas, vectores, matrices, números complejos, secuencias y series, funciones logarítmicas
Cálculo: límites, derivadas, integrales, dibujo de curvas
Estadística: combinaciones factoriales

Nuestro equipo interno de expertos en matemáticas veteranos colabora también con profesores de todo el mundo para garantizar la utilización de las metodologías de enseñanza más efectivas y contemporáneas en nuestros motores matemáticos.

Publicado en Huffington Post, Forbes, TIME, CNN, EdSurge, Guiding Tech, The Verge y TechCrunch, entre otros.

Si tienes sugerencias, comentarios o preguntas, envíanos un correo electrónico a support@photomath.com

¡Síguenos!
Facebook: facebook.com/Photomathapp
Twitter: @Photomath

Photomath es y siempre será de uso gratuito, pero puedes mejorar tu aprendizaje si actualizas la aplicación a Photomath Plus. Photomath Plus proporciona soluciones para libros de texto completos y conjuntos de problemas con enunciado. 

Actualmente restringido solo a los Estados Unidos y a libros de texto específicos.
El pago se cargará en tu cuenta Apple ID al confirmar la compra. La suscripción se renueva automáticamente a no ser que se cancele al menos 24 horas antes del final del periodo actual. Se le cobrará en su cuenta la renovación durante las 24 horas anteriores al final del periodo actual. Puede administrar y cancelar sus suscripciones en la configuración de su cuenta en App Store después de la compra. Ofertas y precios sujetos a cambios sin previo aviso.

Para más información:
Términos de uso: https://photomath.com/en/termsofuse
Política de privacidad: https://photomath.com/en/privacypolicy",2014-10-17T13:56:43Z,2025-09-25T07:26:07Z
ar,Argentina,Education,6017,6,924620788,Google Classroom,Google LLC,https://apps.apple.com/ar/app/google-classroom/id924620788?uo=4,0.0,1.799,1005,Education,"Classroom es un servicio gratuito para escuelas, organizaciones sin fines de lucro y personas que tengan una Cuenta de Google personal. El servicio facilita la conexión entre instructores y alumnos dentro y fuera de las instituciones educativas. Permite ahorrar tiempo y papel, y facilita la creación de clases, la distribución de tareas, la comunicación y la organización.

Classroom se diseñó para ayudar a los profesores a crear, recibir y calificar las tareas sin necesidad de usar papel. Además, incluye funciones que les permiten ahorrar tiempo; por ejemplo, pueden hacer una copia de un documento de Google automáticamente para cada estudiante. También, crea carpetas en Drive para cada tarea y estudiante para ayudar a que todos estén organizados.

En la página Tareas, los estudiantes pueden hacer un seguimiento de las tareas que deben presentar y empezar a trabajar con un solo clic. Los profesores pueden ver rápidamente quiénes completaron el trabajo y quiénes no, agregar comentarios en tiempo real y calificar los trabajos directamente en Classroom.

Con la app para dispositivos móviles para iOS, los estudiantes y los profesores pueden ver sus clases y comunicarse con compañeros en tiempo real. Los estudiantes pueden abrir sus tareas y trabajar en ellas directamente desde su iPhone o iPad. Los profesores pueden hacer un seguimiento de los estudiantes que entregaron trabajos y calificar las tareas, ya sea en la escuela o dondequiera que estén. Los estudiantes y los profesores reciben notificaciones cuando hay contenido nuevo en Classroom, por lo que siempre están al tanto.

Usar Classroom ofrece muchos beneficios:

Es fácil de configurar
Los profesores pueden agregar a los estudiantes directamente o compartir un código con su clase para que se unan. Se configura en solo unos minutos.

Ahorra tiempo
El flujo de tareas simple y sin papel permite que los profesores creen, revisen y califiquen las tareas rápidamente y desde un solo lugar.

Mejora la organización
Los estudiantes pueden ver todas sus tareas en una página específica, y todos los materiales de la clase (p. ej., documentos, fotos y videos) se archivan automáticamente en carpetas de Google Drive.

Mejora la comunicación
Classroom permite que los profesores envíen anuncios y empiecen debates en clase de forma instantánea. Los estudiantes pueden compartir recursos con sus compañeros o responder preguntas en las novedades.

Es seguro
Al igual que el resto de los servicios de Google Workspace for Education, Classroom no contiene anuncios ni usa, en ningún caso, el contenido ni los datos de los estudiantes con fines publicitarios.

Aviso de permisos:
Cámara: Se necesita para permitir que el usuario tome fotos o videos y los publique en Classroom.
Micrófono: Se necesita para habilitar la captura de audio de los videos que se publicarán en Classroom.
Fotos: Se requiere para permitir que el usuario adjunte fotos o videos a Classroom. Las fotos o los videos publicados en Classroom se guardarán en los servidores de Google para mostrarlos en la plataforma.",2015-01-13T08:00:00Z,2025-11-17T17:52:02Z
ar,Argentina,Education,6017,7,547982045,DailyArt,Zuzanna Stanska,https://apps.apple.com/ar/app/dailyart/id547982045?uo=4,0.0,4.79695,985,Education,"DailyArt es la aplicación n.º 1 para aprender sobre la historia del arte. Todos los días inspírate con hermosas obras maestras de arte clásico, moderno y contemporáneo, y lee breves historias sobre ellas. Únete a la comunidad de amantes del arte para quienes DailyArt es algo que ilumina su día, todos los días, ¡gratis!

¿Quieres saber por qué van Gogh se cortó la oreja? Descubre quién «inventó» la abstracción. ¿Aprender más sobre las mujeres artistas olvidadas por la historia del arte? ¡Abre DailyArt y descúbrelo!

Descarga la aplicación para:
- Conocer una obra de arte con una breve historia todos los días,
- Explorar la colección con más de 4000 obras de arte,
- Leer 1200 biografías de artistas e información sobre 600 colecciones de museos,
- Explorar colecciones cuidadosamente seleccionadas y guías artísticas de ciudades,
- Navegar en todo con nuestro buscador avanzado,
- ¡Usarla en 23 idiomas!,
- Unirte a Mecenas DailyArt, un club para entusiastas de la historia del arte.

Además:
- Agregar obras maestras a tus favoritos,
- Compartir todo con tu familia y amigos,
- Suscribirte para recibir funcionalidades diarias como notificaciones automáticas,
- Utilizar hermosos widgets,
- Si tu idioma no es compatible, usar el botón «Traducir» para leer todo,
- Configurar tu cuenta y usar DailyArt en múltiples dispositivos; teléfonos, tabletas y iWatch,
- Usar la app en modo oscuro o claro,
- Y lo más importante: ¡disfrutar del arte!

Aprende algo nuevo sobre arte todos los días; solo necesitas dos minutos de tu tiempo. Obtén su dosis diaria de belleza e inspiración de forma gratuita.

¡Amado por los usuarios y elogiado por la App Store y los medios internacionales, DailyArt es imprescindible para todos los amantes del arte!

-----------------------------------
Si te encanta DailyArt, ¡obtén DailyArt Premium! Aprende sobre la historia del arte sin anuncios y obtén acceso completo al contenido.

Puede encontrar nuestra Política de privacidad aquí: http://getdailyart.com/privacypolicy & https://www.getdailyart.com/terms",2012-08-22T18:04:40Z,2025-08-28T13:29:38Z
ar,Argentina,Education,6017,8,6475717895,IQ Masters - Juegos Mentales,DEEP FLOW SOFTWARE SERVICES - FZCO,https://apps.apple.com/ar/app/iq-masters-juegos-mentales/id6475717895?uo=4,0.0,4.64172,1376,Education,"Impulsa tu memoria cognitiva, lógica y mente con acertijos, pruebas y ejercicios mentales.

¡Bienvenido a IQ Masters, tu destino para un entrenamiento mental integral! Mejora tus habilidades cognitivas y de memoria, explora tu personalidad y adéntrate en las profundidades de tu inteligencia con pruebas y ejercicios mentales, juegos de lógica y juegos mentales. ¡Empuja los límites de tu cerebro!

Acertijos, Ejercicios y Pruebas Enganchadoras

Mejora tu mente con una variedad de desafíos que hacen pensar, diseñados para agudizar tus habilidades cognitivas, mejorar tus habilidades para resolver problemas y proporcionar un entrenamiento mental divertido y gratificante. Desde acertijos cautivadores que estimulan tu intelecto hasta ejercicios interactivos que mantienen tu mente ágil y pruebas perspicaces que revelan los misterios de tus fortalezas cognitivas.

Juegos de Entrenamiento Mental

Embárcate en un viaje estratégico con las Torres de Hanoi, pon a prueba tu precisión en Dibuja una Línea, disfruta el desafío de mezclar combinaciones en Smoothie y enfrenta los intrincados rompecabezas de Conecta los Puntos. Experimenta estos diversos tipos de juegos en la aplicación IQ Masters Brain Training Games para un entrenamiento mental estimulante.

Tipos de Contenido:

Salud Mental:

Prueba de TDAH
Tipos de Ansiedad
Prueba de Nivel de Ansiedad
Cognitivo y Personalidad:

Prueba de IE
Prueba de Tipo de Cerebro Dominante
Pensamiento Colectivista vs Individualista
Arquetipos Masculinos
Viaje hacia la Superación Personal

IQ Masters es más que una aplicación; es tu compañero para desbloquear el máximo potencial de tu mente. Únete a nosotros en este empoderador viaje de superación personal, donde cada acertijo, prueba, ejercicio y desafío te acerca a un yo cognitivo más agudo, ágil y resiliente.

Es una plataforma integral que va más allá de los juegos tradicionales de entrenamiento mental, profundizando en aspectos de salud mental, habilidades cognitivas, pruebas de personalidad y pruebas de inteligencia. Ya sea que busques aumentar la productividad, mejorar la autoconciencia o simplemente disfrutar de ejercicios mentales desafiantes, la aplicación IQ Masters Brain Training Games es tu pasaporte hacia una mente más aguda y resiliente.

Descárgala ahora y embárcate en un viaje transformador hacia un futuro más brillante y empoderado intelectualmente.

Política de Privacidad: https://static.iqmasters.app/privacy-en.html
Términos de Uso: https://static.iqmasters.app/terms-conditions-en.html",2024-03-12T07:00:00Z,2025-11-17T07:20:26Z
ar,Argentina,Education,6017,9,1146717204,Calculadora Gráfica GeoGebra,GeoGebra GmbH,https://apps.apple.com/ar/app/calculadora-gr%C3%A1fica-geogebra/id1146717204?uo=4,0.0,3.1962,158,Education,"Resuelve problemas matemáticos fácilmente, grafica funciones y ecuacionas, domina la estadística y el cálculo, combina tu trabajo con geometría interactiva, guarda y comparte tus resultados. Millones de personas en el mundo usan GeoGebra para aprender matemática y ciencia. Acompálanos: ¡matemática dinámica para todos!

• Representa funciones y curvas paramétricas y polares.
• Resuelve ecuaciones con nuestro poderoso motor matemático.
• Experimenta el trabajo conjunto con deslizadores, puntos, gráficos y geometría.
• Halla intersecciones, raíces, máximos, mínimos, derivadas e integrales.
• Realiza estadísticas y regresiones con rectas y curvas de ajuste.
• Buscar recursos didácticos gratuitos directamente desde nuestra aplicación.
• Guarda y comparte tus producciones con amigos y profesores.

Nos encantaría conocer tu opinión: envía tus consultas y sugerencias a través de Twitter @geogebra o https://help.geogebra.org.",2016-11-28T16:14:51Z,2025-11-18T11:10:35Z
ar,Argentina,Education,6017,10,6748599950,Flashka - AI Flashcards Maker,Flashka OU,https://apps.apple.com/ar/app/flashka-ai-flashcards-maker/id6748599950?uo=4,0.0,4.92307,26,Education,"Aprende 10× más rápido y pasa todos tus exámenes con Flashka — la mejor app de tarjetas y quizzes con IA.
Convierte tus apuntes, PDFs, fotos o diapositivas en tarjetas dinámicas y exámenes simulados en segundos.

Con Flashka puedes:

Importar cualquier material
Sube tus apuntes a mano, PDFs o fotos, resáltalos y trabaja directamente sobre ellos.

Generar tarjetas con IA
Nuestra IA crea tarjetas solo a partir de tu contenido. Olvídate de escribir sin parar.

Estudiar de forma inteligente
Usa algoritmos de repetición espaciada que se adaptan a tu ritmo y estilo de estudio.

Poner a prueba tus conocimientos
Practica con quizzes y exámenes simulados impulsados por IA, creados desde tus tarjetas.

Tener un profe 24/7 de tu lado
Pregúntale a Professor Ka, tu tutor personal con IA, para explicaciones instantáneas, repasos o memorizaciones.

Únete a más de 400 000 estudiantes que ya mejoraron sus calificaciones y dominaron sus exámenes con Flashka.
Descarga la app y empieza a estudiar más inteligente, no más difícil.

Términos de uso: https://flashka.ai/terms

Política de privacidad: https://flashka.ai/privacy",2025-11-03T08:00:00Z,2025-11-13T03:39:15Z
