country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
bs,Bahamas,Shopping,6024,1,297606951,Amazon - Shopping made easy,AMZN Mobile LLC,https://apps.apple.com/bs/app/amazon-shopping-made-easy/id297606951?uo=4,0.0,4.78779,1343,Shopping,"Comprehensive

Quickly search, get product details, read reviews and purchase millions of products available from Amazon and other merchants.

Convenient
Sign in with your existing Amazon account to access your basket, payment and shipping options. No need to create a new account to manage your 1-Click settings and wish lists, track your orders and use your Prime membership benefits. Shop just as you do on the web.

Fast
Compare prices and check availability instantly by scanning a barcode, snapping a picture or typing your search. 

Secure
All purchases are routed through Amazon's secure servers.

Universal
Shop Amazon.co.uk, Amazon.de, Amazon.es, Amazon.fr, Amazon.com, Amazon.it, Amazon.cn or Amazon.co.jp, Amazon.sg from a single app.

For customers located within the European Union, United Kingdom or Brazil: By using this app, you agree to Amazon’s Conditions of Use applicable for your country. Please also see the applicable Privacy Notice, Cookies Notice and Interest-Based Ads Notice for your country. Links to these terms and notices can be found in the footer of your local Amazon homepage.
 
For all other customers: By using this app, you agree to the applicable Amazon Conditions of Use (e.g. www.amazon.com/conditionsofuse) and Privacy Notice (e.g. www.amazon.com/privacy) for your country. Links to these terms and notices can be found in the footer of your local Amazon homepage.",2011-07-09T10:29:43Z,2025-11-14T23:10:47Z
bs,Bahamas,Shopping,6024,2,1641486558,Temu: Shop Like a Billionaire,Whaleco Inc.,https://apps.apple.com/bs/app/temu-shop-like-a-billionaire/id1641486558?uo=4,0.0,4.70725,386,Shopping,"Shop on Temu for exclusive offers. 

No matter what you're looking for, Temu has you covered, including fashion, home decor, handmade crafts, beauty & cosmetics, clothing, shoes, and more.

Download Temu today and enjoy incredible deals daily.

WIDE SELECTION
Discover thousands of new products and shops.

CONVENIENCE
Fast and secure checkout.
Free shipping & returns within 90 days.
*Other conditions may apply

Visit temu.com or follow us on:
Instagram: https://www.instagram.com/temu/
TikTok: https://www.tiktok.com/@temu 
Facebook: https://www.facebook.com/shoptemu
Youtube: https://www.youtube.com/@temu",2022-08-31T07:00:00Z,2025-11-18T05:26:43Z
bs,Bahamas,Shopping,6024,3,878577184,SHEIN-Shopping Online,ROADGET BUSINESS PTE. LTD.,https://apps.apple.com/bs/app/shein-shopping-online/id878577184?uo=4,0.0,4.68865,1304,Shopping,"Everything you love, now at your fingertips!

SHEIN is an affordable online shopping platform offering rich items and trendy goods. Discovering pretty items, trying new things and sharing with others,  SHEIN is dedicated to meet all your needs in life and works as your one-stop shopping destination! We take pride in satisfying our customers and bringing them the best shopping experience.

Inspire yourself with SHEIN right now!

Save you more
- Register and get £3 includes sale
- Free limited-time delivery and free returns within 30 Days（*conditions apply）
- Daily flash sales on many items 

Wide selections
- Fun, easy shopping with wide selections
- Browse by New Arrivals, Trends, Category, Best Sellers and more

Considerate services
- Get first access to sale alerts and promotional discounts
- Now accepting PayPal and major Credit Cards 
- Style now, pay later! Choose Afterpay to pay in 4 interest-free payments.
- 24/7 Customer Service and Live Chat available

Contact us:
Facebook:  https://www.facebook.com/SHEINOFFICIAL/
Instagram: https://www.instagram.com/sheinofficial/
Email: dispute@shein.com


The app needs the following access permissions when it is running on your device:

-	Optional permission(s):

o	Notification: it will allow us to send push notifications to your device.

o	Camera: the camera function is required when you need to capture photos and videos and upload them to the app.

o	Photo and video: it will enable you to upload photos and videos from your device to the app.

o	Location: where the relevant service is available, it enables location based services on your device. 
(This is not used in Korea.)

o	Calendar: it enables you to sync the SHEIN LIVE events to your device calendar. 

o	Microphone: when you try to capture videos using Camera function, the app will also need the microphone access permission to capture the voice. 

※ Even if you do not grant optional access permissions, you can still use SHEIN service, except for the functions related to those permissions.",2014-05-20T03:45:36Z,2025-11-14T02:34:36Z
bs,Bahamas,Shopping,6024,4,6736592964,Upfront Shopper,Cresencio Hilario,https://apps.apple.com/bs/app/upfront-shopper/id6736592964?uo=4,0.0,5,1,Shopping,"Upfront Shopper is your convenient grocery companion, offering a seamless loyalty card experience right on your phone. Collect points with every purchase, explore exclusive deals, and easily redeem your rewards—all in one place. Keep track of your spending by viewing a detailed purchase history, and enjoy special perks at your favorite grocery store. Download Upfront Shopper now and start saving today!",2025-01-28T08:00:00Z,2025-11-11T00:11:05Z
bs,Bahamas,Shopping,6024,5,1367363988,Fashion Nova: Trendy Shopping,Fashion Nova Inc.,https://apps.apple.com/bs/app/fashion-nova-trendy-shopping/id1367363988?uo=4,0.0,4.76054,1495,Shopping,"Discover trendy outfits, dresses, jeans and affordable clothing with fast shipping and 1000+ new arrivals weekly. Our online shopping app brings stylish women's, curve, men's and kids’ fashion to your fingertips as the #1 most-searched fashion brand.

-----
WHY FASHION NOVA IS YOUR STYLE ESSENTIAL
-----

• 1000+ NEW ARRIVALS WEEKLY: Be the first to rock the latest trends and new clothes before anyone else. Our design team brings you trendy outfits inspired by runway looks.
• INCLUSIVE SIZING: Perfect fits for every body type with our Women's, Plus Size, Curve, Men's, and Kids collections. Our trendy clothing is designed to flatter all bodies.
• CELEBRITY-APPROVED STYLES: Worn and loved by today's biggest stars. Our trendy outfits have been featured in music videos, red carpet events, and social media posts.
• UNBEATABLE PRICES: Runway-inspired fashion at discount prices that won't break the bank. We deliver boutique-quality clothing at affordable prices.
• LIGHTNING-FAST SHIPPING: Get your must-have pieces delivered quickly to your door. Shop new clothes and have them arrive in time for the weekend.
• EASY RETURNS: Hassle-free 30-day return process to ensure your complete satisfaction with every purchase of our stylish clothes.

-----
APP FEATURES THAT ELEVATE YOUR ONLINE SHOPPING
-----

• PERSONALIZED RECOMMENDATIONS: Discover stylish clothes curated just for you based on your browsing history and preferences.
• EASY CHECKOUT: Save your details for one-tap purchasing, making buying trendy clothing faster than ever.
• EXCLUSIVE APP-ONLY DEALS: Access special discounts and flash sales first, before they're available anywhere else.
• WISH LIST: Save your favorites to shop later. Keep track of those must-have trendy pieces you want.
• ORDER TRACKING: Monitor your package from warehouse to doorstep with real-time updates on your trendy outfits.
• REAL-TIME NOTIFICATIONS: Get instant alerts on new arrivals, restocks, and exclusive flash sales.
• SECURE PAYMENT OPTIONS: Shop with confidence using multiple payment methods including installment plans.

-----
DISCOVER OUR TRENDING COLLECTIONS
-----

• FASHION NOVA: Contemporary women's styles from casual to boutique quality. From basics to statement pieces, our women's collection offers trendy outfits for every occasion.
• FASHION NOVA CURVE: Stunning plus-size fashion that celebrates every curve with stylish options. Our plus size collection features trendy clothing cut to fit.
• FASHION NOVA MEN: Streetwear and casual essentials for the modern man who appreciates quality and style. Our men's collection offers trendy outfits for day to night.
• FASHION NOVA KIDS: Miniature versions of our hottest adult styles for fashion-forward young ones.

-----
FIND YOUR PERFECT STYLE
-----

• Our app makes finding your perfect look effortless. Whether you're searching for that sexy statement piece, curve-hugging jeans, or casual streetwear, we've got you covered.
• The Fashion Nova shopping experience is designed with you in mind. Our intuitive search filters help you find the perfect trendy outfits by size, color, price, or occasion.
• Join our global community of Fashion Nova Babes! Tag @FashionNova, @FashionNovaCURVE, and #NovaBabe for a chance to be featured on our social platforms.
• Gentlemen, elevate your wardrobe with Fashion Nova Men! Tag @FashionNovaMEN and #NovaMen to showcase your streetwear style.

CONNECT WITH US:

• Instagram: @FashionNova, @FashionNovaCURVE, @FashionNovaMEN
• TikTok: @FashionNova
• X: @FashionNova
• Facebook: @FashionNova
• Snapchat: @FashionNova

Download the Fashion Nova app now and experience why we're the fastest-growing online boutique worldwide. Shop our trendy clothing collection today—your next head-turning outfit is just a tap away!",2018-05-11T22:18:40Z,2025-11-19T17:58:45Z
bs,Bahamas,Shopping,6024,6,1418000624,Lider,Walmart Chile Comercial S.A.,https://apps.apple.com/bs/app/lider/id1418000624?uo=4,0.0,5,1,Shopping,"¡Tenemos buenas noticias!

Cuidar tu tiempo es muy importante para nosotros por eso nos hemos renovado para darte un mejor servicio y llevarte los precios bajos de Lider donde estés. Con Lider App disfruta el supermercado en tu casa, oficina o donde quieras de manera fácil, rápida y segura.

¡Lider App ya tiene despacho a domicilio! 
Para llevar tus compras en menos de 24 horas* en gran parte de Chile.

*Sujeto a disponibilidad por comuna.

Tenemos nuevos puntos de retiro Pickup sin costo a lo largo de Chile

Para que puedas retirar tus compras en los más de 60 supermercados Lider y Express de Lider habilitados.

Y lo mejor! Es la única App donde puedes disfrutar los precios bajos de Lider y todas sus promociones.

Sin cargo por servicio.

¿Quieres saber más?

Puedes pagar con tu tarjeta de débito, crédito, agregarlas a One Click para pagar más rápido, o aprovechar los beneficios de tu tarjeta Lider BCI.

¡Incluso puedes usar tu cuenta rut pagando con débito y eligiendo cuenta vista!

Aprovecha los beneficios de tu tarjeta Lider BCI

Aprovecha el 6% de descuento en el total de tu compra sin tope el día lunes, y acumula más pesos mi Club comprando los martes, miércoles, jueves y sábado en categorías seleccionadas.

Baja el total de tu boleta aún más prefiriendo marcas propias

Tenemos más de 2.000 productos de las marcas Lider, Great Value, aCuenta, Parent Choice, Selección y AutoDrive para que elijas precios aún más bajos, sin perder calidad. Además recuerda que todas las compras de nuestros productos acumulan Pesos Mi Club.

Usa tu misma cuenta de Lider.cl o crea una nueva si aún no la tienes

Usando tu cuenta Lider.cl encuentras una sección personalizada de tus productos más comprados.

Si nunca has comprado online con nosotros, también puedes crear una cuenta desde la app y ocupar la misma para comprar en Lider.cl

¡Descárgala! comienza a ahorrar tiempo y dinero hoy.

¡Queremos saber qué te parece nuestra App!

Compártenos tu experiencia y ayúdanos a seguir mejorando para ti. Escríbenos a servicioalcliente@lider.cl",2020-09-04T07:00:00Z,2025-10-30T07:23:35Z
bs,Bahamas,Shopping,6024,7,503451073,Alibaba.com B2B Trade App,"Hangzhou Alibaba International Information Technology Co., Ltd.",https://apps.apple.com/bs/app/alibaba-com-b2b-trade-app/id503451073?uo=4,0.0,4.62086,1659,Shopping,"What is Alibaba.com?
Alibaba.com is one of the world’s leading B2B ecommerce marketplaces. Our app allows you to source products from global suppliers, all from the convenience of your mobile device.

Purchase with confidence
Our Trade Assurance service protects your orders and payments on the platform, letting you purchase securely and conveniently with extended support.

Customizable products
Meet suppliers with years of customization and order fulfillment experience for sellers on Amazon, eBay, Wish, Etsy, Mercari, Lazada, and more.

Easy sourcing
Discover millions of ready-to-ship products in every industry category. Tell suppliers what you need and get quotes quickly with Request for Quotation services.

Fast shipping
Alibaba.com partners with major freight forwarders to provide land, sea, and air shipping solutions with on-time delivery services, end-to-end tracking, and competitive prices.

Livestreams and factory tours
Interact with manufacturers in real-time via product demos and tours of manufacturing facilities, providing insight and oversight on how your products are made.

Popular categories and trade shows
Source a wide range of popular items – from trending consumer goods to raw materials – and join our annual trade shows for niche product highlights and discounts.

Quality control
Choose Alibaba.com Production Monitoring and Inspection Services to reduce production delay and quality risks.

Discounts and promotions
Unlock new discounts and promotions from featured manufacturers and suppliers.

Stay updated
Use the Alibaba.com app to stay up to date on new products and promotions from your favorite suppliers.

Language and currency support
Alibaba.com supports 16 languages and 140 local currencies. Use our real-time translator to communicate with sellers in your mother tongue.",2012-02-24T16:58:30Z,2025-11-19T07:38:21Z
bs,Bahamas,Shopping,6024,8,436672029,AliExpress Shopping App,Alibaba.com Singapore E-Commerce Private Limited,https://apps.apple.com/bs/app/aliexpress-shopping-app/id436672029?uo=4,0.0,4.75657,304,Shopping,"Black Friday starts here — score huge deals on the AliExpress app right now. AliExpress brings millions of items across fashion, electronics, home, beauty and more, all in one easy app so you can grab Black Friday discounts, flash sales and app-only coupons.

Find top brands, unique finds and everyday essentials at great prices. Read honest buyer reviews, compare sellers, and use smart search and filters to find exactly what you want. With AliExpress you get personalized recommendations, saved wishlists, price-drop alerts and curated collections tailored to your tastes.

We make shopping safe and simple. AliExpress protects your purchase with secure payments, buyer protection and easy returns. Track orders in real time, get delivery updates, and choose fast shipping options when you need items quickly. Chat with sellers or our support team right from the app.

Don’t miss limited-time Black Friday deals, exclusive app offers and flash events — AliExpress updates promotions constantly so you can save more. Whether you’re hunting for gifts, seasonal styles, or must-have gadgets, AliExpress puts endless choice and value in your pocket.

Download the AliExpress app today, join millions of shoppers, and enjoy worry-free shopping during Black Friday and all year round. Great finds and huge savings are just a tap away on AliExpress.",2011-07-10T12:53:05Z,2025-11-18T02:52:42Z
bs,Bahamas,Shopping,6024,9,282614216,eBay marketplace: shopping app,eBay Inc.,https://apps.apple.com/bs/app/ebay-marketplace-shopping-app/id282614216?uo=4,0.0,4.8126,1302,Shopping,"Life’s easier in the eBay app! Buy and sell millions of items on the go. Discover exclusive online deals every single day.

Never miss a deal
With the eBay app, you can stay in the know with real-time alerts about your Daily Deals, order updates and more, all sent to your device with personalised push notifications.

Search, find and save faves
Experience game-changing shopping wherever you are:
● Shop by condition: From brand new to pre-loved fashion and Refurbished tech, find something that’s just right for you.
● Heart your faves: Stay in the loop on the latest drops and deals by adding them to your Watchlist.
● Search with pics: See something you like? Simply upload it with the push of a button and find matches instantly.

Planet-friendly shopping
Save money while discovering something truly unique when you shop for vintage and pre-loved finds. Plus, give great pieces a second life and help the planet while you’re at it. What’s not to love?

eBay Live exclusives
Your real-time shopping experience is here! Join the livestream for exclusive drops, live auctions, case breaks, and beyond. Connect with your community, fave sellers,
and creators for more of the things you love. 

Free selling
Clear out your space the easy way. Sell for free* and list your past loves with our handy AI tools. Plus, enjoy the benefits of Simple Delivery, including prepaid labels, automatic tracking and full protection for items lost or damaged in transit.
*Excludes Vehicles and business sellers.

Quickly list items with AI
Snap or upload a photo in the eBay app, then let AI instantly generate descriptions and key details for your listing, including brand, category and more. You can also add order tracking and chat with your community live.

Authenticity Guarantee
Shop with confidence. The Authenticity Guarantee tick means eligible trading cards, sneakers, watches and handbags will be inspected and verified by expert authenticators.

eBay Money Back Guarantee
Enjoy total peace of mind thanks to eBay Money Back Guarantee. With us, you’re covered. Get the item you ordered or your money back, it’s that simple.*

*For full eligibility criteria and all terms and conditions, visit:
https://pages.ebay.co.uk/ebay-money-back-guarantee/

Explore quick and easy payment options
We make it easy to pay for the things you want. Simply store your preferred payments safely and securely so you can check out in a flash!

Keep in touch
Your feedback is important to us. Contact us with any questions by joining the discussion at www.ebay.com/iOS.",2019-01-31T08:00:00Z,2025-11-15T19:02:19Z
bs,Bahamas,Shopping,6024,10,477128284,"Etsy: Shop Home, Style & More","Etsy, Inc.",https://apps.apple.com/bs/app/etsy-shop-home-style-more/id477128284?uo=4,0.0,4.86901,313,Shopping,"Welcome to the Universe of Special.
 
Shop Etsy—your global marketplace for original items made, handpicked, and designed by real people for all budgets. Explore everything from vintage treasures and trending style pieces to personalised jewellery and custom home decor. Get offers and deals on one-of-a-kind items from 800,000+ local shops in the UK, chat with Etsy sellers, track your orders, and more.
 
Shopping for holiday gifts or decorating for winter? No matter what you’re looking for, Etsy has the pieces that speak to you. Download today and discover original gifts and seasonal treasures from our community of sellers.
 
Shop the Etsy app.
 
App Marketplace Features
 
Global Marketplace: Buy Global, Support Local
• Shop over 15+ categories of original items from all over the world—from handmade furniture to vintage clothing.
• Favourite shops, save items, and organise your pieces in collections for future inspiration.
• Buy unique finds from trusted tastemakers, including Martha Stewart, Naomi Osaka, and more.
• Explore the latest trends and get inspired with the fall and winter trend guide, curated by our marketplace insights and experts.
 
Gift Special: Gifting with Etsy
• Create a gift list of your favourite items and save special occasions for helpful reminders.
• Shopping last minute? Make every gift special with custom gift teasers that give people a sneak peek at their present. Or, send a gift card with a personalised touch!
• Personalise style essentials, jewellery, and decor to make your gifts one-of-a-kind.
 
Save More: Offers & Deals
• Stay updated on offers and deals from small shops with push notifications.
• Buy curated selections of items on sale from Etsy sellers you love.
• Shop thrift finds and keep fashion circular, with vintage steals from small shops.
 
 
Shopping with Ease: Track, Chat & Buy
• Chat with Etsy sellers, ask questions, and stay in-the-know on your order status.
• Read customer reviews for small shops that speak to you.
• Order up and track shipments easily from the app, with customisable notifications.
• Purchase safely with secure payments, including credit/debit, Etsy gift cards, Paypal, Klarna, and quick purchases with Apple Pay.  
 
Unique Finds for All: Home, Style & More
• Furniture, home goods and decor: Style your space or give the perfect housewarming gift with pieces like handmade glassware sets or a custom dining table.
• Original art and collectibles: Explore current trends and vintage finds from around the world, like Turkish pottery and Portuguese ceramics.
• Clothes, jewellery and accessories: Shop vintage designer clothing and handmade accessories to elevate your personal wardrobe.
• DIY ideas: Get all the supplies and craft kits you need to throw a themed party or learn a new hobby.
 
Enjoy shopping with a personalised touch. Join a global marketplace and shop furniture, style essentials, art decor, and more for every occasion with the Etsy app. Download today.
 
*Etsy does not evaluate vintage items’ condition and authenticity.",2011-11-16T16:40:25Z,2025-11-20T14:56:04Z
bs,Bahamas,Shopping,6024,11,1223471316,Shop: All your favorite brands,Shopify Inc.,https://apps.apple.com/bs/app/shop-all-your-favorite-brands/id1223471316?uo=4,0.0,4.7806,1062,Shopping,"Shop brands you love:

- Shop big brands and local stores, and follow your faves
- Get notified about special offers, price drops, restocks, and new product drops
- Save items for later and organize things into collections (like “camping gear” or “ideas for dad”)
- Just so you know: brands don’t pay extra to sell on Shop, which means each time you buy, you’re helping out the business

Check out with one tap:

- Your payment info, shipping address, and shopping preferences all live in your secure Shop Pay wallet
- Just tap to check out (no more getting up to go find your card)
- Every shopping cart from every store is saved on Shop, so it’s all there when you’re ready to check out
- Just so you know: your info is safe with Shop, which meets strict PCI compliance standards

Track all your orders:

- See every order from every store you buy from
- Map exactly where each package is now
- Shop can even scan your email for new order info and collect it for you in the app (no more searching your inbox for updates) 

- - -

Have a question or just want to say hello? Contact us by visiting help.shop.app

Shop secure and worry free: Our servers meet strict PCI compliance standards for vaulting credit card info.

Powered by Shopify: Shop was created by the commerce platform trusted by millions of businesses worldwide.",2019-10-08T07:00:00Z,2025-11-17T13:51:42Z
bs,Bahamas,Shopping,6024,12,881599819,StockX Shop Sneakers & Apparel,StockX LLC,https://apps.apple.com/bs/app/stockx-shop-sneakers-apparel/id881599819?uo=4,0.0,4.74681,470,Shopping,"Get your hands on exclusive drops, snag the latest releases, and stay in the loop with the hottest trends from the world’s top brands! Access the latest styles and take your wardrobe or collection to the next level. Stay in the know with alerts for new arrivals, exclusive deals, and everything you need to make your shopping experience simple. 

• 60M+ Lifetime Trades 
• 20M+ Lifetime Buyers 
• 2M+ Lifetime Sellers 
• 35M+ Visitors Per Month

“Award-Winning Marketplace since 2016”

Shop with ease: Explore an extensive selection of top-tier products and find the latest trends from the brands you love! 

Buy and sell with confidence: Every item purchased on our platform is either verified by StockX or shipped directly from a StockX Verified Seller. This ensures you get what you want, in the condition you expect. All purchases are backed by our Buyer Promise.

Stay in the loop: Get notified instantly when new items drop and when promotions go live. Track the items you’re following so you never miss a beat.

Exclusive deals & promotions: Be the first to know about flash sales, limited-time offers, and special promotions, so you can shop smarter and score the best deals.

Real-time updates: Receive instant updates on your orders, including shipping details and delivery notifications, so you’re always in the know.

Effortless selling: Selling has never been easier. Manage all your products, track your inventory, and stay updated on order statuses - all in one place.

“I really like the fact that sneakers are a big part of what StockX is doing. When I found out that they happen to be doing it from downtown Detroit, it made even more sense to get involved.” - Eminem 

“2024 was a year of milestones for StockX, which eclipsed 60 million trades and 20 million buyers during the year.” - Footwear News",2014-06-06T02:57:27Z,2025-11-19T20:59:02Z
