country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
ba,Bosnia and Herzegovina,Entertainment,6016,1,835599320,"TikTok - Videos, Music & LIVE",TIKTOK PTE. LTD.,https://apps.apple.com/ba/app/tiktok-videos-music-live/id835599320?uo=4,0.0,4.81039,8850,Entertainment,"Discover videos from around the world and create your own with easy-to-use tools to capture your life. 

From your morning coffee to your evening commute, TikTok has the videos to make your day. Whether you’re a sports fanatic, a travel lover or simply looking for a laugh, there’s something for everyone on TikTok. Enjoy an endless stream of short videos on things you love most. Watch what you like, skip what you don’t. 
 
WATCH
A personalised video feed based on what you watch, like, and share. TikTok offers you real, interesting, and fun videos that will make your day.  You'll find a variety of videos from Food and Fashion to Sports and DIY - and everything in between.

 
CREATE
Pause and resume your video with just a tap. As many times as you need.
Millions of creators on TikTok showcase their incredible skills and every day life. Let yourself be inspired.
 
ENTERTAIN
Be entertained and inspired by a global community of creators.

Take video creation to the next level with special effects, filters, music, and more. Unlock filters, effects, and AR objects to take your videos to the next level.
 
CUSTOMISE
Our integrated editing tools allow you to easily edit your videos.
Trim, cut, merge and duplicate video clips without leaving the app.
 
ADD MUSIC
Add your favorite sound to your videos with millions of music clips and sounds. 
We curate music and sound playlists for you with the hottest tracks in every genre, including Hip Hop, EM, Pop, Rock, Rap, and Country, and the most viral original sounds.

Obtain access to LIVE benefits to better interact with hosts!
Choose between a one-month subscription or auto-renewal subscription to enjoy special LIVE benefits (currently only available in limited regions)

Note: 
If you subscribe via Apple, payment will be charged to App Store Account at confirmation of purchase. Subscription automatically renews unless auto-renew is turned off at least 24 hours before the end of the current period. Account will be charged for renewal within 24 hours prior to the end of the current period at the rate of the selected plan. Subscriptions and auto-renewal may be managed by going to Account Settings after purchase.

Terms of Service —
https://www.tiktok.com/legal/terms-of-service

Privacy Policy —
https://www.tiktok.com/legal/privacy-policy",2020-04-10T07:00:00Z,2025-11-18T22:18:20Z
ba,Bosnia and Herzegovina,Entertainment,6016,2,363590051,Netflix,"Netflix, Inc.",https://apps.apple.com/ba/app/netflix/id363590051?uo=4,0.0,4.8553,2785,Entertainment,"Looking for the most talked about TV programmes and films from the around the world? They’re all on Netflix.

We’ve got award-winning series, films, documentaries and stand-up specials. And with the mobile app, you get Netflix while you travel, commute or just take a break.

What you’ll love about Netflix:
• We add TV programmes and films all the time. Browse new titles or search for your favourites, and stream videos straight to your device.
• The more you watch, the better Netflix gets at recommending TV programmes and films you’ll love.
• Enjoy a safe watching experience just for children with family-friendly entertainment.
• Preview quick videos of our series and films and get notifications for new episodes and releases.

Netflix membership is a month-to-month subscription that begins at sign-up. You can easily cancel at any time, online, 24 hours a day. There are no long-term contracts or cancellation fees. We just want you to love what you watch.

Please note that the App Privacy information applies to information collected through the Netflix iOS, iPadOS and tvOS apps. See the Netflix Privacy Statement (link below) to learn more about information we collect in other contexts, including account registration.

Privacy policy: www.netflix.com/privacy
Terms of use: www.netflix.com/terms

Phone number: +18667160414
Email: iosappstore@netflix.com",2020-04-21T07:00:00Z,2025-11-18T18:49:39Z
ba,Bosnia and Herzegovina,Entertainment,6016,3,6746781192,Imposter Who? - Word Game,Sokak Technologies Inc.,https://apps.apple.com/ba/app/imposter-who-word-game/id6746781192?uo=4,0.0,4.85714,28,Entertainment,"Who's the imposter among your friends?
Imposter is the ultimate party game of bluffing, guessing, and social deduction. Grab 3-5 friends, sit around one device, and find out who’s lying.

How to Play:
1- All players see the same secret word—except one.
2- The imposter only sees the word “Imposter.”
3- One by one, players say a word related to the secret word.
4- The imposter must fake it and try to blend in without knowing the word.
5- Keep giving words and talking until someone thinks they've figured it out.

Fun, fast, and full of suspicion—perfect for game nights, road trips, or hanging out with friends.

Features:
- Play locally with 3 to 15 friends
- 10+ categories like food, movies, jobs, and more
- 500+ unique words and growing
- No accounts, no setup—just start playing
- Great for all ages—kids, teens, and adults

Built for laughs, bluffing, and epic ""aha!"" moments

Download now and start your next Imposter showdown!

https://imposterwho.com/terms
https://imposterwho.com/privacy",2025-06-05T07:00:00Z,2025-08-26T22:58:15Z
ba,Bosnia and Herzegovina,Entertainment,6016,4,1628850139,MOVE TV,Telekom Srbija a.d.,https://apps.apple.com/ba/app/move-tv/id1628850139?uo=4,0.0,2.58333,12,Entertainment,"(EN) The MOVE application allows you to watch television on your iPhone anywhere and anytime. Follow live more than 500 TV and radio channels within the available packages. 
Missed it live, catch it later, pause and watch your favorite series or sport match later.
Watch great titles through the video on demand option. 
Enjoy modern digital television that adapts to your needs and your time!

(BIH-MNE-SRB) MOVE aplikacija ti omogućava da gledaš televiziju preko svog iPhone telefona i uživo pratiš više od 300 TV i radio kanala u okviru dostupnih paketa. 
Gledaj propušteno, pauziraj i naknadno pogledaj omiljenu seriju ili utakmicu. 
U videotekama za različite uzraste pogledaj odlične naslove kroz opciju video na zahtjev. 
Uživaj u modernoj digitalnoj televiziji koja se prilagođava tvojim potrebama i tvom slobodnom vremenu!

(MK) Апликацијата MOVE TV ви овозможува да гледате телевизија на вашиот iPhone каде било и во секое време. Следете во живо повеќе од 300 ТВ и радио канали во рамките на достапните пакети.
Гледајте светски и регионални наслови во видеотеката на MOVE TV.
Ако ја пропуштивте во живо, паузирајте ja или гледајте ја вашата омилена серија или филм подоцна.
Уживајте во модерната дигитална телевизија која се прилагодува на вашите потреби и вашето време!",2022-06-13T07:00:00Z,2025-10-30T09:16:55Z
ba,Bosnia and Herzegovina,Entertainment,6016,5,1382574337,Premier Kladionica,PREMIER WORLD SPORT d.o.o. Citluk,https://apps.apple.com/ba/app/premier-kladionica/id1382574337?uo=4,0.0,3.43548,62,Entertainment,"Premier kladionica je mobilna aplikacija Premier sportske kladionice, s kojom možete igrati omiljene igre na sreću iz ponude najveće kladionice u BiH, 0-24 sata na dan, 365 dana u godini.

Brza, jednostavna za korištenje, sigurna i pouzdana, mobilna aplikacija Premier kladionice najbolji je alat svakog pravog kladioničara koji ne želi propustiti ni jedan dio igre.

- Sportsko klađenje
- Klađenje UŽIVO
- Loto klađenje
- Transfer novca
- Videoprijenos događaja
- Vizualizacija događaja
- Prijevremena isplata dobitka
- Teletekst
- Tablice
- Statistike
- Online Casino

Kladimo se da smo najbolji!

18+ Osobama mlađim od 18 godina zabranjeno sudjelovanje u igrama na sreću!",2020-04-21T07:00:00Z,2025-03-27T11:05:28Z
ba,Bosnia and Herzegovina,Entertainment,6016,6,490106327,EON TV,United Group B.V.,https://apps.apple.com/ba/app/eon-tv/id490106327?uo=4,0.0,2.48571,35,Entertainment,"(EN) EON TV enables you to watch live all of your favorite TV channels on on wide range of devices including Smartphones, Tablets, Laptops (PC, MAC) and Smart TVs.
 
Includes features:

Live TV program
7 days Catchup TV
Video on Demand catalogue: movies, series, cartoons
Add TV channels and events to your favorites
Event Reminders
Radio stations

To use EON TV you must have an account at one of the United Group’s operators.

(BiH) EON TV je aplikacija koja ti omogućava da uživo gledaš najpopularnije TV kanale preko mobilnih uređaja (smart telefon, tablet), desktop i laptop računara (PC, Mac) i smart televizora.

Sadrži:

TV program
TV 7 dana unazad
Video klub: filmovi, serije, crtani filmovi
Postavljanje kanala i emisija u omiljene
Postavljanje podsjetnika
Radio stanice

Kako biste koristili EON TV, morate imati nalog kod jednog od operatera United Group-e.

(SLO) EON TV je aplikacija, s katero lahko najbolj priljubljene televizijske programe spremljate na mobilnih napravah (pametni telefoni, tablice), namiznih in prenosnih računalnikih (PC in Mac) ter pametnih televizorjih.
 
Vključuje:

Programski vodič
Zamujeno 7 dni
Video klub: filmi, serije, risani filmi
Uvrščanje programov in oddaj med priljubljene
Nastavljanje opomnikov
Radijske postaje

Za uporabo EON TV-a morate imeti uporabniški račun pri enem od ponudnikov United Group-e.

(SRB) EON TV je aplikacija koja ti omogućava da uživo gledaš najpopularnije TV kanale preko mobilnih uređaja (smart telefon, tablet), desktop i laptop računara (PC, Mac) i smart televizora.

Sadrži:

TV program
TV 7 dana unazad
Video klub: filmovi, serije, crtani filmovi
Postavljanje kanala i emisija u omiljene
Postavljanje podsetnika
Radio stanice

Kako biste koristili EON TV, morate imati nalog kod jednog od operatera United Group-e.

(MNE) EON TV je aplikacija koja ti omogućava da uživo gledaš najpopularnije TV kanale preko mobilnih uređaja (smart telefon, tablet), desktop i laptop računara (PC, Mac) i smart televizora.

Sadrži:

TV program
TV 7 dana unazad
Video klub: filmovi, serije, crtani filmovi
Postavljanje kanala i emisija u omiljene
Postavljanje podsjetnika
Radio stanice

Kako biste koristili EON TV, morate imati nalog kod jednog od operatera United Group-e.

(HR) EON TV je aplikacija koja ti omogućuje gledanje najpopularnijih TV kanala preko mobilnih uređaja (smart telefon, tablet), stolnog računala i laptopa (PC, Mac) i smart televizora.

Aplikacija sadrži:

TV program
TV 7 dana unatrag
Video klub: filmovi, serije, crtani filmovi
Postavljanje omiljenih kanala i sadržaja
Postavljanje podsjetnika
Radio stanice

Kako biste koristili EON TV, morate imati nalog kod jednog od operatera United Group-e.

(MK) EON  TV е апликација која ви овозможува во живо да ги гледате најпопуларните TV канали преку мобилните уреди (смарт телефон, таблет), десктоп и лаптоп компјутери (PC, Mac) и смарт телевизори.

Содржи:

ТВ програм
ТВ 7 дена наназад
Видео клуб: филмови, серии, цртани филмови
Подесувањe на омилени канали и емисии
Подесување на потсетници
Радио станици",2020-04-18T07:00:00Z,2025-04-23T09:14:13Z
ba,Bosnia and Herzegovina,Entertainment,6016,7,6744290388,Imposter Game by Splash,Cranberry Apps GmbH & Co. KG,https://apps.apple.com/ba/app/imposter-game-by-splash/id6744290388?uo=4,0.0,4.85714,49,Entertainment,"Hey, we’re Hannes & Jeremy.

We’ve been there: Every game night starts with googling rules, grabbing pens and paper, or trying random apps. But there’s just no really good party app. So we decided to build one.

Our goal? Bring the best and most viral party games together in one place. For example: Who’s the Impostor? - you’ve probably seen it on TikTok or Insta.

Easy to learn. Quick to play. Perfect for 3 to 12 people.

Great for house parties, birthdays, or your next night with friends. Gather your crew - and have fun.

The app is free to enjoy with your friends! For some extra features, Splash Plus gives you full access with a weekly subscription. You can check out our Terms, EULA, and Privacy Policy here: https://cranberry.app/terms. 

Please note: This app is not intended for use as a drinking game and contains no alcohol-related content. It is suitable for all audiences seeking fun, social gameplay.

Cheers and enjoy the app!",2025-04-12T07:00:00Z,2025-11-19T21:50:40Z
ba,Bosnia and Herzegovina,Entertainment,6016,8,1666653815,HBO Max: Watch Movies & TV,"WarnerMedia Global Digital Services, LLC",https://apps.apple.com/ba/app/hbo-max-watch-movies-tv/id1666653815?uo=4,0.0,4.89991,1149,Entertainment,"The most talked about shows and movies featuring the worlds of HBO, the DC Universe, Discovery, and beyond.  
 
With HBO Max you'll get: 
• Access to thousands of TV shows and movies.  
• Exclusive, award-winning series that everyone's talking about — like the HBO Originals The Last of Us, Succession, The White Lotus, and House of the Dragon. 
• Stream select live sports from some of your favorite events, leagues and teams. Availability varies by country or region, plan, and by subscription provider. 
• The latest hits from HBO, Max Originals, Discovery, Cartoon Network, ID, DC, Adult Swim, and more. 
• Iconic favorite TV shows like Friends, Rick and Morty, 90 Day Fiancé, Looney Tunes, and more. 
• Family-friendly entertainment for the whole household.  
• Fascinating documentaries and unscripted series.  
 
Features: 
• Enjoy your favorite shows and movies at home or on the go. HBO Max is available on select TV, web browser, mobile, tablet, and gaming console devices. (Device availability may vary by country or region and by plan.) 
• Browse or search with ease across HBO, movies, series, genres, and brands.  
• Download shows and movies you love to watch offline with select plans. (Download limits vary by plan.)  
• Create personalized profiles for the entire household complete with customizable ratings, and profile PIN protection options.  
• Pick up episodes and movies where you left off on any of your favorite devices.  
• Find everything you love, all in one place, with My Stuff.  
• Watch on multiple devices at the same time. (Limits vary by plan.)  
• Stream high-quality video up to 4K resolution and surround sound including Dolby Atmos (where available) on select plans.
 
Content, sports and feature availability on HBO Max may vary by country or region. Sports, where available, may in some countries require a separate add-on which must be added to a base plan. Some titles and features shown above may not be available in your country or region. Language availability varies by country and region.  
 
You will be charged for your subscription on a recurring basis unless you cancel at least 24 hours before your next billing date. Your App Store account will automatically be charged within 24 hours prior to the end of the current billing period. When you cancel, you will have access until the end of your current billing period. You can manage or cancel your subscription by visiting the App Store app or Subscriptions under Settings on your Apple device after purchase. 

Purposes disclosed in the App Privacy label may vary based on features or services that may not be available in all countries or regions. HBO Max is only available in certain countries or regions.  
 
Terms of Use: https://hbomax.com/terms-of-use/",2024-05-20T07:00:00Z,2025-11-03T15:55:24Z
ba,Bosnia and Herzegovina,Entertainment,6016,9,495369748,Steam Mobile,Valve Corporation,https://apps.apple.com/ba/app/steam-mobile/id495369748?uo=4,0.0,2.6,10,Entertainment,"With the free Steam Mobile App, you can take Steam with you anywhere. Buy PC games and get the latest game and community news - while protecting your Steam account.

Shop Steam
Browse the Steam catalog of PC games from your phone. Never miss a sale again.

Steam Guard
Protect your Steam account and make sign in faster with two-factor authentication.
• Two-factor authentication to ensure you’re the only one with access to your account
• QR code sign in - Scan a QR code to sign into Steam instead of entering a password or…
• Sign in confirmation - Confirm your regular Steam sign ins with simple “approve” or “deny”

Library & Remote downloads
The new Library view makes it easy to view game content, discussions, guides, support, and more. Plus you can manage game downloads and updates to your PC from your phone.

Trade and Market Confirmations
Speed up item trades and sales by using your phone to confirm them.

Plus
• A personalized News feed based on your Library with the latest news, events, and content updates direct from publishers and game developers.
• Customizable Steam notifications: wishlist, sales, comments, trades, discussions, friend requests, and more.
• Access to the entire Steam Community - discussions, groups, guides, Market, Workshop, broadcasts, and more.
• Access to your friends, friend activity, groups, screenshots, inventory, wallet, and more.
• Authorized Devices - Manage access to the devices your account has signed in
• An improved Store browsing experience for mobile screens
• Support for using multiple Steam accounts in the app
• Support for customizing your app's main tabs",2020-04-13T07:00:00Z,2025-08-12T16:36:19Z
ba,Bosnia and Herzegovina,Entertainment,6016,10,6741710156,Stremio Lite,SMART KOD OOD,https://apps.apple.com/ba/app/stremio-lite/id6741710156?uo=4,0.0,5,1,Entertainment,"Stremio is a video streaming application, that allows you to watch and organize video content from different services, including movies, series, live TV and video channels.
The content is aggregated by an addon system providing streams from various sources.",2025-08-06T07:00:00Z,2025-11-20T10:59:28Z
