country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
bn,Brunei Darussalam,Health & Fitness,6013,1,426826309,"Strava: Run, Bike, Walk",Strava Inc.,https://apps.apple.com/bn/app/strava-run-bike-walk/id426826309?uo=4,0.0,4.72254,173,Health & Fitness,"Strava makes fitness tracking social. We house your entire active journey in one spot – and you get to share it with friends. Here’s how:

• Record everything – runs, rides, hikes, yoga and over 30 other sport types. Think of Strava as the home of your movement.

• Discover anywhere – our Routes tool uses de-identified Strava data to intelligently recommend popular routes based on your preferences. You can also build your own.

• Build a support network – Strava’s about celebrating movement. Here you’ll find your community and cheer each other on.

• Train smarter – get data insights to understand your progress and see how you improve. Your Training Log is the record of all your workouts.

• Get more from your workout – Powered by AI, Athlete Intelligence turns workout data into into instant insights. Keeping you motivated and ready for the next workout – without the guesswork.

• Move safer – share your real-time location with loved ones while outdoors for an extra layer of safety.

• Sync your favourite apps and devices – Strava is compatible with thousands of them (Apple Watch, Fitbit, Garmin – you name it).

• Join and create challenges – join millions in monthly challenges to chase new goals, collect digital badges and stay accountable.

• Embrace the unfiltered – your feed on Strava is filled with real efforts from real people. That’s how we motivate each other.

• Whether you’re a world-class athlete or a total beginner, you belong here. Just record and go.

Strava includes both a free version and a subscription version with premium features.
Strava uses HealthKit to export your Strava activities into the Health app and to read heart rate and biometric data.

You can subscribe and pay on the App Store, using your Apple ID. Payment will be charged to your Apple ID at confirmation of purchase. Your subscription will automatically renew unless cancelled at least 24 hours before the end of the current period. Your account will be charged for renewal within 24 hours prior to the end of the current period. Subscriptions may be managed by the user and auto-renew may be turned off after purchase by going to the ‘Manage Subscription’ page in settings. Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable. The subscription will renew at the same cost.

Terms of Service: https://www.strava.com/legal/terms
Privacy Policy: https://www.strava.com/legal/privacy",2011-07-10T10:39:06Z,2025-11-19T21:16:00Z
bn,Brunei Darussalam,Health & Fitness,6013,2,1509620170,BruHealth,E-Government National Centre,https://apps.apple.com/bn/app/bruhealth/id1509620170?uo=4,0.0,3.28492,358,Health & Fitness,"Discover BruHealth: Your All-in-One Health Management App

Originally developed by the Government of Brunei during the COVID-19 pandemic, BruHealth has evolved into a comprehensive health management platform. Beyond providing essential updates and tools like real-time dashboards, self-assessments, and medical resources, BruHealth now empowers users to take charge of their overall well-being with personalised features, interactive challenges, and robust health tracking capabilities.

Unlock the latest features to enhance your health journey:
1. Revamped Health Index: Smarter, faster health assessments.
2. Personalized Routines: Tailored plans to help you build healthy habits.
3. Interactive Challenges: Get active with Oyen and friends.
4. Enhanced Rewards: Earn Gems to redeem virtual goods and celebrate progress.
5. Upgraded Medical Page: Streamlined appointment management.
6. Profile & Badges: Showcase achievements with new levels and perks.
7. Real-time health dashboards for Brunei and global updates.
8. Density map of confirmed cases’ activity traces.
9. Maps of medical resources and facilities.
10. Press releases and health education content.",2020-05-13T07:00:00Z,2025-11-20T12:29:06Z
bn,Brunei Darussalam,Health & Fitness,6013,3,6468772347,Peak Club,Peak Performance Sdn Bhd,https://apps.apple.com/bn/app/peak-club/id6468772347?uo=4,0.0,0,0,Health & Fitness,"Download the Peak Club App today to plan and schedule your experience at the club! 

From this mobile app, you can book classes, activities and club facilities, as well view other information including ongoing promotions and more!

Optimize your time and maximize the convenience of booking for slots from your device! Download the Peak Club App today!",2023-10-05T07:00:00Z,2025-11-16T08:49:20Z
bn,Brunei Darussalam,Health & Fitness,6013,4,341232718,MyFitnessPal: Calorie Counter,"MyFitnessPal, Inc.",https://apps.apple.com/bn/app/myfitnesspal-calorie-counter/id341232718?uo=4,0.0,4.72283,184,Health & Fitness,"Track progress toward your nutrition, water, fitness, and weight loss goals with MyFitnessPal. This all-in-one food tracker and health app is like having a nutrition coach, meal planner, and food diary with you at all times.

MyFitnessPal isn’t another restrictive diet app. This is a health app to help you learn about your habits … see how you eat … make smarter food choices … find motivation & support ... and conquer your health goals.

Download and start your free 30-day Premium trial to access exclusive food tracking, fitness logging tools, and expert guidance. You’ll soon discover why MyFitnessPal is the #1 food and nutrition tracker in the U.S., a GQ 2020 Fitness Awards “Best Fitness App,” and has been featured in the New York Times, Wall Street Journal, the Today Show, and U.S. News & World Report.

SO MUCH MORE THAN A CALORIE TRACKER & FOOD JOURNAL

It’s like having a dietitian, personal trainer, and nutrition coach at your fingertips.

Log Food – Easy-to-use tools make food tracking quick and simple
Record Activity – Add workouts and steps with the fitness tracker
Customize Your Goals – Weight loss, weight gain, weight maintenance, nutrition & fitness
See Your Progress – Track at a glance, or analyze nutrition & calories in detail
Learn From a Registered Dietitian – Meal Plans customized for your target calories, whether you want to lose or gain weight—with access to our Meal Planner tool
Stay Inspired – 500+ healthy goal-focused recipes and 50 workouts keep routines fresh and fun
Connect With Community – Find friends and motivation in our active forums

A CLOSER LOOK AT FEATURES & BENEFITS

Gain Valuable Insights Through Food Logging

Discover which foods fuel you best. It’s not just a diet app, calorie counter to lose weight, or a faster way to fat loss—it’s about holding yourself accountable and understanding what you put in your body.

One of the Largest Food Databases – Track calories in over 14 million foods (including restaurant dishes)
Fast & Easy Food Tracker Tools – Type to search, add foods from your history, or quick-add calories
Bar Code & Meal Scan: Log store-bought foods and entire meals using your phone’s camera
Calorie Tracker – Automatically count calories and see your daily progress
Macro Tracker – See carbs, fat & protein breakdown by gram or percentage—no need for a separate carb tracker or keto diet app!
Nutrition Tracker and Insights – Analyze nutrition intake and set specific goals for macros, cholesterol, sodium, fiber & more
Water Logging – Easily keep track of your water intake. 

Customize Your App Experience

Choose settings that help you achieve your goals.

Custom Goals – Track calories by meal or day, set up macro goals & more
Personalized Dashboards – Pick stats you want to see at a glance
Net Carbs Mode/Carb Tracker – To simplify a low carb or keto diet, view net (not total) carbs
Protein Counter – Set your protein goals and track how much you eat during the day
Add Your Own Foods/Meal Tracker – Save recipes and meals for quick logging
Connect 50+ Apps & Devices – From fitness tracker and smartwatch apps, including the Health app
Track With Apple Watch – A calorie tracker, water tracker, and macro tracker on your watch face.

SUBSCRIPTION PRICING & TERMS

MyFitnessPal is free to download and use. If you upgrade to MyFitnessPal Premium, we offer monthly & annual auto-renewing subscriptions.

Payment is charged to your credit card through your iTunes account at confirmation of purchase. Subscription renews automatically unless you turn off auto-renewal in iTunes Account Settings after purchase, or cancel your subscription at least 24 hours prior to the end of the subscription period.

View our full terms & conditions and privacy policy: https://www.myfitnesspal.com/privacy-and-terms",2011-07-08T04:27:10Z,2025-11-18T18:49:57Z
bn,Brunei Darussalam,Health & Fitness,6013,5,1038369065,Flo Period & Cycles Tracker,FLO HEALTH UK LIMITED,https://apps.apple.com/bn/app/flo-period-cycles-tracker/id1038369065?uo=4,0.0,4.65821,670,Health & Fitness,"Live in sync with your cycle using Flo, the world’s most popular female health app. Get personalised insights and predictions on your body.

Whether you want to predict your period, get pregnant, track your pregnancy, or better understand your symptoms, Flo is your all-in-one female health partner. Join over 420 million members.

With Flo, you can:
- Keep your data safe: Flo is the first period and ovulation tracker to achieve dual ISO 27001 and ISO 27701 Certifications (aka gold standards in data protection).
- Feel more understood: Share your Flo insights via Flo for Partners to feel more connected, understood, and supported.
- Get an extra layer of protection: Anonymous Mode means no one, not even Flo, can identify you based on your health data.
- Join a supportive community: Secret Chats is where members can discuss topics and connect with others on the same journey.
- Access reliable health information: Flo collaborates with a globally recognised organisation dedicated to reproductive health and rights, ensuring trustworthy support for your health journey.

With Flo Premium, you can enjoy:
- Monthly cycle reports
- Symptom predictions and patterns
- Tailored prediction insights
- Detailed pregnancy tracking
- Full access to Flo for Partners
- A 24/7 virtual Health Assistant
- All articles, videos, and courses reviewed by 140+ health experts

New! Flo supports perimenopause:
- Know what might be perimenopause and how to tune in to your body’s changes.
- Get clarity on common perimenopause symptoms and what can help.
- Make more informed health decisions and identify what you need to feel your best.

Start tracking your cycle for free today.

Privacy Policy and Terms of Use:
https://flo.health/privacy-policy  
https://flo.health/terms-of-use 

Connect with Flo:
Web: flo.health
TikTok: @flotracker
Instagram: @flotracker

Please note: Flo is not a diagnostic tool and should not be used as a method of contraception or to facilitate conception. Predictions and insights provided by the app are intended for informational purposes only and are not a substitute for professional medical advice, diagnosis, or treatment. Always consult a qualified healthcare provider for any health concerns or decisions.

Flo uses HealthKit to read menstrual cycle data and export your Flo activities to the Health app.

If you have any difficulties using the app, contact Flo via support@flo.health.

Notice of Access Permission:
Flo may request permission for:
- In-app notifications or reminders.
- Uploading photos to specific forum discussions.
- Uploading audio recordings to closed group chats.
Content sharing is entirely optional. Flo does not automatically access your content. You can select what you want to share.",2015-10-03T22:28:36Z,2025-11-19T19:58:17Z
bn,Brunei Darussalam,Health & Fitness,6013,6,1127269366,Zepp,Zepp Inc.,https://apps.apple.com/bn/app/zepp/id1127269366?uo=4,0.0,4.70756,1149,Health & Fitness,"The official app for Amazfit, the Zepp app is free to use and trusted by top athletes such as running back Derrick Henry and sprinter Gabby Thomas. 

Built for sports and performance, it’s where you’ll track your training, health and recovery data, log your nutrition, and get easy-to-understand scores with AI-powered coaching and guidance — all protected with the highest level of data security.

TRACK MACROS: Snap a photo of your meal and instantly get calories, weight, and macronutrients. No watch required, just the Zepp App. Perfect for athletes balancing training with strict diets. Log as many meals as you want with no limits, or enter them manually if that’s easier.

HEALTH & FITNESS DATA: Vital health metrics like heart rate, sleep, stress, and blood oxygen, the Zepp App tracks your fitness progress in detail. It captures daily activity such as steps and calories burned, and advanced training data like pace, distance, speed, strength logs, and recovery insights.

SLEEP MONITORING:  The Zepp App monitors sleep with precision sensors and syncs the data to the Zepp App for full recovery analysis. You'll find detailed metrics on stages, duration, breathing, and recovery quality so you know if your body is ready to train hard or needs more rest to perform at its best.

HEART HEALTH: See all your essential heart health data in one place. Track heart rate, HRV, and resting heart rate (RHR), and manually add blood pressure and blood glucose from external devices for a complete view of the most important muscle in your body.

CUSTOMIZE YOUR WATCH: The Zepp App is where you’ll find software updates for your Amazfit smartwatch, band, or ring. It also gives you access to the Zepp Store, with hundreds of downloadable mini apps and watch faces to choose from.

DATA SECURITY: The Zepp App delivers the highest level of data security, keeping your information safe and private. Safeguarded by Amazon Web Services (AWS), all data is regionally stored, encrypted, fully GDPR compliant, and never sold.

FREE TO USE: The core experience of the Zepp App is free. You won't need to pay to view data tracked by your Amazfit device, upgrade software, or import maps. You'll also get free access to a core version of Zepp Aura, your very own wellness coach. For personalized wellness advice powered by AI, Zepp Aura Premium Subscription is available for a monthly or yearly fee, but there's no obligation to sign up. 

ZEPP AURA PREMIUM: Unlocking unlimited access to Zepp Aura will provide in-depth health assessments, a personal wellness assistant, sleep music and more (region specific).
- Available in: Most countries and regions
- Subscription Plans: Monthly or yearly options
- Subscriptions are confirmed via your Google account and renew automatically unless canceled at least 24 hours in advance. Any unused portion of a free trial is forfeited once a purchase is made.
- Details: https://upload-cdn.zepp.com/tposts/5845154

PERMISSIONS: The following optional permissions can enhance your experience but are not required:
- Location Access: Used for automatically tracking running or cycling routes, and to show local weather
- Storage: Used to import or export workout data, as well as save workout photos
- Phone, Contacts, SMS, Call Logs: Used to display calls/notifications/texts on your watch and enable call reminders
- Physical Activity: Used to synchronize step counts and workout information
- Camera: Used for taking pictures and scanning QR codes to pair your devices
- Calendar: Sync and manage schedules
- Nearby Devices: Used to discover and connect to smart devices through bluetooth

DISCLAIMER: Zepp is not a medical device and is intended for general fitness and health management purposes only",2016-09-27T14:16:17Z,2025-11-20T17:54:17Z
bn,Brunei Darussalam,Health & Fitness,6013,7,896501514,Period & Cycle Tracker,ABISHKKING LIMITED.,https://apps.apple.com/bn/app/period-cycle-tracker/id896501514?uo=4,0.0,4.91033,145,Health & Fitness,"** Top Rating Reproductive Health App ** 
 
Check out the most widely-used period, ovulation & pregnancy tracker, which has been helping to improve the well-being of over 300,000,000 women across 45+ countries in the past decade. 
 
We understand your concerns about your private data security, especially with the recent news.
Here's how we protect your data:
• You can use our app without creating an account.
• You remain COMPLETELY ANONYMOUS while using our app.
• You can DELETE ALL DATA in 1 click whenever you want.
 
At every stage of your life, we safeguard your well-being. 
 
PERIOD & CYCLE CALENDAR
We'll remind you of the dates when your next period starts and ends on time. It's useful whether you have irregular or regular menses. Better? You'll receive tailored PMS advice and instant menstrual pain relief guidance.
 
OVULATION & FERTILITY TRACKER
We help you calculate your most fertile days and analyze your fertility window based on your unique cycle. You can get pregnant naturally ASAP by learning your CHANCE OF CONCEPTION every day.
 
PREGNANCY MODE: WEEK-BY-WEEK 
Follow your baby's weekly growth. Use our due date calculator to find out when your baby's BIG DAY will be and count down it.
 
BIRTH CONTROL PLANNER
Quickly record and stay on track with your contraceptive methods like pills, rings, patches, injections, IUDs, or implants. You can customize the reminder message for individual services.
 
PILL REMINDER
Set start date, interval, durations, and dose quantity for any medication, drugs, or supplements. So you won't forget to take pills when life gets busy.
 
SYMPTOM PREDICTIONS & TIPS
Record your symptoms during any life stage. Get predictions and courses to learn how to deal with them. Take breast self-exam monthly to find abnormalities early.
 
>>Key Features:
- Accurate prediction & reminders of menstruation & the most fertile days 
- Track the cycle lengths, flow intensity, when you are ovulating, birth control methods, etc.
- Log 58 symptoms, 67 moods, and energy levels to know your menstrual pattern
- Track daily chance of getting pregnant with BBT, cervical mucus, ovulation & pregnancy test records
- Baby's due date countdown
- Baby's weekly growth tracker
- Export a health report with charts for self-archive or doctors
- Insights from fertility specialists
- PIN code, Face ID, & Fingerprint lock to protect your private data
- Daily health tracker: weight, hydration, sleep, mood, sex, steps, etc.
- Breast self-exam guidance
- Multiple accounts to track for different, for example, mother/daughter 
- Unlimited app themes & pets
- Available in 39 languages
- Sync data with Apple Health
- Backup and restore data between devices
 
Note: Period Calendar should not be used to replace any form of contraceptive method.
 
Subscription Terms and Details
- Get unlimited access to all features for USD $49.99/year:
	• Cycle predictions for each month
	• Fertility analysis of each day
	• Unlock all self-care content
	• Kegel exercise for women
	• Unlimited app themes and pets
	• Remove ads forever
- The payment will be charged to your iTunes account at confirmation of purchase.
- The subscription automatically renews unless auto-renew is turned off at least 24 hours before the end of the current period.
- Subscription may be managed, and auto-renewal may be turned off by going to Account Settings after purchase.
- The account will be charged for renewal within 24 hours prior to the end of the current period.
- Any unused portion of a free trial period will be forfeited when the user purchases a subscription to that publication.
 
If you have any questions or concerns while using our app, please feel free to contact us via feedback in our app ( [Settings] -> [Bug Report&Feedback]) or write to us at abishkking.apple@gmail. 
 
Privacy Policy: https://pc.abishkking.com/privacypolicy.html
Terms of Use: https://pc.abishkking.com/terms.html",2014-09-30T23:41:17Z,2025-11-19T02:27:28Z
bn,Brunei Darussalam,Health & Fitness,6013,8,1429394101,Bloodkad,NEXTACLOUD TECHNOLOGIES SENDIRIAN BERHAD,https://apps.apple.com/bn/app/bloodkad/id1429394101?uo=4,0.0,3.3125,16,Health & Fitness,"Bloodkad is the essential mobile application designed to streamline the blood donation process and empower you to save lives. We put the power of action in your hand, making it easier than ever to contribute to the national blood supply.
Our mission is clear: to build and strengthen the blood donation community, encourage regular, life-saving donations, and ensure healthy national blood stock levels are maintained.

Key Features Designed for Donors
We offer a powerful and intuitive experience that supports you at every step of your donor journey:
i) Smart Appointment Scheduling: Easily find and secure your slot for blood donations at local centers and drives with a convenient, real-time booking system.
ii) Instant Eligibility Check: Complete a quick, simple pre-screening test and receive automatic reminders when you are eligible for your next donation.
iii) Locator & Events: Find nearby donation drives and centres quickly. Never miss an opportunity to donate in your area.
iv) Your Donation History: Keep a comprehensive record of your life-saving contributions and track your personal health metrics in one secure place.
v) Community & Rewards: Engage with the Bloodkad community! Create teams, compete on the Leaderboard, unlock badges, and earn points to redeem exclusive rewards.

Become a consistent, vital part of the solution. Download Bloodkad today and start making a difference.
For support or enquiries, please contact our dedicated team at support@bloodkad.com.",2018-08-25T07:39:15Z,2025-11-03T22:57:05Z
bn,Brunei Darussalam,Health & Fitness,6013,9,583446403,Garmin Connect™,Garmin International,https://apps.apple.com/bn/app/garmin-connect/id583446403?uo=4,0.0,4.63042,92,Health & Fitness,"The Garmin Connect™ app is your one-stop source for health and fitness data. Whether you’re training for a race, keeping active or just staying on top of your health, Garmin Connect provides the information and inspiration you need to reach your goals. 
 
Once you pair your phone(1)with a Forerunner®, Venu®, fēnix® or another compatible Garmin device(2), you can review your tracked activities and health metrics. Plus, you can create workouts, build courses and challenge your friends on the leaderboard. 
 
With Garmin Connect you can: 
 
- Personalize your home screen, so the most helpful information is instantly visible 
- Analyze your activities with detailed statistics(3)
- Create customized workouts and courses 
- Review trends in health metrics like heart rate and steps 
- Earn badges for accomplishments 
- Sync with other apps like Apple Health, MyFitnessPal and Strava 
- Get support for Garmin devices and their features 
 
Learn more about Garmin devices and how they work with the Garmin Connect app at Garmin.com. 
 
(1) See compatibility requirements at Garmin.com/BLE 
(2) See a full list of compatible devices at Garmin.com/devices
(3) See Garmin.com/ataccuracy  
 
Note: Continued use of GPS running in the background can dramatically decrease battery life.",2016-11-08T22:11:34Z,2025-11-14T16:42:53Z
bn,Brunei Darussalam,Health & Fitness,6013,10,1594204443,Runna: Running Plans & Coach,The Run Buddy Ltd,https://apps.apple.com/bn/app/runna-running-plans-coach/id1594204443?uo=4,0.0,4.73913,23,Health & Fitness,"Reach your best running goals with Runna: your go-to running coach and training partner for every distance and goal! With tailored training plans built by world-class coaches to help you achieve your goals. 

Whether you're lacing up your Nikes for a casual 5k or preparing for the challenging Ultra Marathon, this app is your pocket-sized, top-rated running coach. From 5k, 10k, half marathon, marathon, to the ultra distance, we've got you covered. Rated 4.9/5 on Trustpilot, Runna offers an elite training experience that's second to none.

WHY RUNNA IS THE BEST FIT FOR EVERY RUNNER:

1) Personalised Training:
Runna's expertly crafted training plans use proven science to fit your unique runner profile. Tackle any distance: 5k, 10k, half marathon, marathon or even ultra marathon, with us by your side.

2) Sync and Track:
Instantly sync your runs with Strava and monitor your workouts live on compatible devices*. Set the right pace and map your progress with ease.

3) All-Round Runner Support:
We adopt a holistic training approach, offering advice on perfect running form, nutrition, and injury management. Every runner is unique, and we cater to that individuality.

4) Strength Meets Endurance:
Enhance your strength and endurance, vital for any race distance. Our plans provide a seamless blend of running and strength training, ensuring you're race-ready.

JOIN THE RUNNA CLUB & COMMUNITY:

1) Connect Worldwide:
Become part of the Runna club: a dynamic community of global runners. Harness the motivation and camaraderie to elevate your performance.

2) Exclusive Perks:
Runna members get exclusive offers from top nutrition, apparel, and event brands. Upgrade your gear and nutrition, preparing for every long run and race.

3) Engage and Progress:
Sign up for trail runs, time-trials, or live yoga and pilates classes. Let your sweat pour, and always stay one step ahead in your training journey.

4) Expert Touch:
Questions? Need guidance? Our team of dedicated experts and customer support staff are here, ensuring you're never alone in your journey.

DIVERSE PLANS FOR EVERY GOAL & DISTANCE:

- Plans spanning from 5k, 10k, half marathon, marathon, to ultra distances.
- Starting out? Try our Couch to 5k plans.
- Boost overall strength and endurance with functional fitness plans.
- Recovery plans for post-race or injury periods.
- Prepping for a triathlon? We have specific plans for you.
- And many more designed to keep you fit and always running.

COMPATIBLE DEVICES:

Runna is compatible with a wide range of devices including Apple Watch, Garmin, COROS, Suunto and Fitbit. This ensures you can track your runs, regardless of your preferred device.

RUNNA PREMIUM:

For the ultimate running experience, subscribe to Runna Premium for monthly or annual plans. Track your progress, monitor your pace, and burn those calories with personalised workout plans and support. 

Payments and renewal:
- Payment will be charged to iTunes Account at confirmation of purchase. Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period.
- Account will be charged for renewal within 24-hours prior to the end of the current period.
- You can manage or turn off auto-renew in your Account settings at any time after purchase
- No cancellation of the current subscription is allowed during the active period.

APPLE HEALTH USAGE:

Runna uses your health data to provide accurate heart rate, distance and pace information during your runs and workouts on Apple Watch. 

AGE 18+
You may download and use our App provided you are aged 18 or older. We may delete your account (and associated data) if you are under such age

Terms of use: https://www.runna.com/terms-and-conditions
Privacy policy: https://www.runna.com/privacy-policy",2021-12-11T08:00:00Z,2025-11-20T16:48:43Z
