country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
ca,Canada,Navigation,6010,1,585027354,Google Maps,Google LLC,https://apps.apple.com/ca/app/google-maps/id585027354?uo=4,0.0,4.63404,808647,Navigation,"Explore and navigate the world with confidence using Google Maps. Find the best routes with live traffic data and real-time GPS navigation for driving, walking, cycling, and public transport. Discover over 250 million businesses and places - from restaurants and shops to everyday essentials – with photos, reviews, and helpful information.

Navigate the world, the way you want:
• Get to where you need to go with fuel-efficient route options
• Find the best route with real-time, turn-by-turn voice, and on screen navigation
• Save time with automatic rerouting based on live traffic, incidents, and road closures
• Catch the bus, train, and ride-share effortlessly, with real-time updates
• Find bike or scooter rentals to get around more easily

Plan trips and experiences effortlessly:
• Preview an area before you go (e.g. parking, entrances) with Street View
• Use Immersive View to experience what landmarks, parks and routes look like, and even check the weather so you can be ready in advance
• Create custom lists of your favorite saved places and share with others
• Order delivery and takeout, make reservations, and book hotels
• Use offline maps so you don't get lost in an area with bad signal
• Search for local places and things to do, and decide based on user reviews and photos

Discover and explore like a local:
• Explore with confidence knowing 500 million users contribute and keep the map up to date each year
• Avoid the crowds by seeing how busy a place is before you get there
• Use Lens in Maps to see walking directions overlaid on the real world
• Filter restaurants by cuisine, hours, price, rating and more
• Ask questions about a place, from dishes to parking, and get quick answers

Some features are not available in all countries or cities.
Navigation isn't intended to be used by oversized or emergency vehicles.",2012-12-13T04:21:00Z,2025-11-14T16:13:03Z
ca,Canada,Navigation,6010,2,498151501,Transit • Bus & Train Times,9280-0366 Quebec inc.,https://apps.apple.com/ca/app/transit-bus-train-times/id498151501?uo=4,0.0,4.5103,278422,Navigation,"Transit is your real-time urban travel companion. Open the app to instantly see accurate next departure times, track buses and trains near you on the map, and see upcoming transit schedules. Use the trip planner to quickly compare trips - including options like bus and bike, or metro and subway. Get alerted about service disruptions and delays for your favorite lines, and save frequently used locations for trip directions in a tap. 

HERE’S WHAT THEY’RE SAYING
""Gives you the best route to where you want to go"" - New York Times
“You won't realize how much time you can save planning until you use this app” - LA Times
“Killer app” - Wall Street Journal
""MBTA has a favorite transit app — and it's called Transit"" - Boston Globe
“A one-stop-shop” - Washington Post

AND HERE’S THE WORD FROM PUBLIC TRANSIT RIDERS
“Your app was the deciding factor in selling my car.”
“Blows Google Maps out of the water.”
“The head of our local transit agency recommended this app over the one her agency created.”

 6 GREAT THINGS ABOUT TRANSIT:

1) THE BEST REAL-TIME DATA
Using the best transit agency data sources, and our fancy ETA prediction engine, we give you the most accurate real-time info possible for all transit modes -  including buses, subways, trains, streetcars, metros, ferries, ridehail and more. Prefer to travel on two wheels? With GPS, you can see live bikeshare and scooter locations right on the map. 

2) TRAVEL OFFLINE
Bus schedules, stop locations, subway maps and even our trip planner are available offline.

3) POWERFUL TRIP PLANNING
See fast and easy trips combining buses, subways and trains – the app even suggests routes that combine multiple options in one trip like bus + bike or scooter + metro. You’ll find great trip plans that you never even considered! Don’t like to walk a lot or use a certain mode or transit agency? Personalize your travel in the settings.  

4) GO: OUR STEP-BY-STEP NAVIGATOR*
Receive departure alarms to catch your bus or train, and get alerted when it’s time to get off or transfer. When using GO, you’ll also crowdsource more accurate info and real-time ETAs for other passengers– and rack up points and thank yous for being the most helpful rider on your line.  

5) USER REPORTS
See what other riders have to say! With millions of users contributing, you’ll get helpful info on crowding levels, on-time performance, the closest subway exits, and more.

6) EASY PAYMENTS
Pay your transit fare and buy bikeshare passes directly in the app in over 75 cities. 

*continued use of GPS running in the background can decrease battery life.

900+ CITIES INCLUDING:

Calgary, Chicago, Edmonton, Fredericton, Gatineau, Halifax, Kamloops, Kelowna, Kingston, Laval, Longueuil, London, Los Angeles, Montreal, Nanaimo, New York City, Niagara Region, Ottawa, Quebec City, Regina, Saguenay, Saint John, Saskatoon, Sherbrooke, St. John's, Toronto, Trois-Rivières, Vancouver, Victoria, Washington D.C., Winnipeg

1000+ PUBLIC TRANSIT AGENCIES INCLUDING:

BC Transit, Calgary Transit, Edmonton Transit Service (ETS), Halifax Transit, OC Transpo, REM, RTC, RTL, Saskatoon Transit, STM, STO, STO, STS, STTR, Translink, Winnipeg Transit

SEE ALL SUPPORTED CITIES & COUNTRIES: TRANSITAPP.COM/REGION

**Questions or feedback? Browse our help pages: help.transitapp.com, email us: info@transitapp.com, or find us on X: @transitapp**",2012-06-22T00:29:13Z,2025-11-18T14:15:54Z
ca,Canada,Navigation,6010,3,323229106,Waze Navigation & Live Traffic,waze,https://apps.apple.com/ca/app/waze-navigation-live-traffic/id323229106?uo=4,0.0,4.80528,234439,Navigation,"Waze is a community driven navigation app that helps millions of users get to where they’re going through real-time road alerts and an up-to-the-moment map. Thanks to our network of drivers, Waze saves you time by instantly alerting you to traffic, construction, crashes, police and more. From traffic-avoiding reroutes, real-time safety updates and low gas price alerts, Waze is a community of drivers helping other drivers.

With Waze you…

Get there faster: traffic-avoiding route updates
Avoid tickets: know where police, speedcams and redlight cams are located
More accurate ETAs: based on live traffic, construction, weather and more
Community-based navigation: real-time updates from other drivers
Save money: find the cheapest gas along your route
Avoid tolls: see toll pricing when you choose a route
Use Apple CarPlay: sync Waze to your car’s built-in display
Live Speedometer: get alerts when you’re speeding and avoid costly tickets
Customize your drive: get directions from your favorite celebs and characters
No app switching: use your favorite audio apps right from Waze

Drive safer and smarter, with Waze!

You can manage your in-app Waze Privacy Settings at any time. Learn more about the Waze privacy policy here, www.waze.com/legal/privacy.

Waze directions are not intended for emergency or oversized vehicles.",2009-08-01T21:14:40Z,2025-11-10T12:05:02Z
ca,Canada,Navigation,6010,4,1410234033,"Shell: Fuel, Charge & Wash",Shell Information Technology International B.V.,https://apps.apple.com/ca/app/shell-fuel-charge-wash/id1410234033?uo=4,0.0,4.74502,56636,Navigation,"The Shell App is designed to help you get more from every journey.

SHELL EASYPAY™
Pay & on your way with Shell EasyPay! Our secure, quick and easy mobile payments service lets you pay at the pump from the comfort of your car, as well as in-store. 
• Pay how you want with your Visa, Mastercard, American Express, UnionPay or Discover credit card.
• Use Google Pay with eligible cards including Interac Debit cards from supporting financial institutions (pay at pump only).

AIR MILES®
• Link your AIR MILES Account and you can check your balances right from the app. And you'll never miss an opportunity to Get & Use Miles at Shell when you've linked your account and use Shell EasyPay to pay!
• Keep track of your Shell Go+ membership benefits.
• Use your AIR MILES Cash Miles towards your purchase right from the app when you pay at the pump.

CAA/AMA/BCAA
• Members can link their cards to avail exclusive benefits at Shell

Loyalty Transaction Details
• Lifetime earnings, Year to Date earnings and transaction details for both AIR MILES & CAA Transactions

Shell Car Wash
• New: Car Wash Subscription
• Buy Flex Passes and Single use wash in-app, use at participating sites.
• Buy a single car wash (where available) right from the app when you pay at the pump.
• Keep track of your purchases and car wash codes with digital in-app and emailed receipts.
• At participating stations, activate the car wash from your app!
• Find a Shell Car Wash, using the car wash locator

Station Locator
Plan your next pitstop or find your nearest Shell Station with a list of services quickly and easily.

Electric Vehicle Charging
The Shell App now supports EV drivers! Drivers using the Shell App can select the EV option to access the Shell Recharge network. The Shell App allows EV drivers to locate the nearest charger, check the station’s charging status, start and stop charging, and easily make in-app payments.",2019-07-09T14:53:06Z,2025-11-04T17:35:38Z
ca,Canada,Navigation,6010,5,792882134,Petro-Canada,Petro-Canada,https://apps.apple.com/ca/app/petro-canada/id792882134?uo=4,0.0,4.59984,30598,Navigation,"Welcome to the future of fueling with the Petro-Canada mobile app, designed to make your gas station visits quicker, easier, and more rewarding. Say goodbye to traditional payment methods and hello to a seamless, contactless experience right from your smartphone.

Key Features:
·       Contactless Payment at the Pump: Enjoy the convenience of paying for your fuel without leaving your car. Our app supports Apple Pay and credit cards, ensuring a secure and hassle-free transaction every time.
·       Fueling Session Start: Begin your fueling session directly through the app. Just select your pump number and fuel type, and you're ready to go.
·       Car Wash Activation: Need a wash? Activate the car wash feature via the app and drive into a cleaner vehicle without the hassle.
·       Digital Wallet: Safely store up to 2 credit cards in your digital wallet for faster payments. Our encrypted system keeps your information secure, giving you peace of mind.
·       Petro-Points Rewards: Every purchase earns you Petro-Points. Use them to pay for fuel, redeem for eGift cards, or save them up for even bigger rewards.
·       Vacuum Activation: Vehicle dirty inside the vehicle? Activate the vacuum service via the app for an all-around clean.
·       Card Management: Easily manage your Petro-Canada cards. Check balances, reload, and monitor your transactions all in one place.
·       Station Locator: Find the nearest Petro-Canada location with just a tap. Get directions, operating hours, and available services to plan your visit.",2014-01-11T22:20:04Z,2025-11-19T16:15:52Z
ca,Canada,Navigation,6010,6,1440857272,Journie Rewards,Parkland Corporation,https://apps.apple.com/ca/app/journie-rewards/id1440857272?uo=4,0.0,4.81114,64997,Navigation,"The Journie Rewards™ app is your all-in-one solution for saving on fuel, charging your EV, getting your car washed, and shopping at convenience stores—faster, easier, and more rewarding than ever!

Earn Points and Unlock Exclusive Rewards

Earn points from your everyday purchases to unlock gas savings, EV charging discounts and in store discounts along the way!

Save and stack your discounts for up to 35c or up to 20¢/kWh off your next fill to maximize savings, exclusively for app members!

Supercharge your rewards: Boost your points and unlock even more perks by linking with top partners like CIBC, Aeroplan, and M&M Food Market.

Charge your EV - Effortlessly!

Find chargers: Instantly view real-time availability of chargers across our network.

In-app payments: Start charging right from the app—no need for extra steps!

Wash your Car

Exclusive bundles: Access car wash bundles that aren't available in-store.

Start your car wash directly from the app - no codes, no hassle.

Take advantage of these great features at over 1200 participating Pioneer, Fas Gas, Ultramar, Chevron, On The Run, and M&M Food Market locations.

Make the most of your Journie. Download today!",2018-11-20T04:00:54Z,2025-11-13T15:18:13Z
ca,Canada,Navigation,6010,7,816255029,HonkMobile,Honk Mobile Inc.,https://apps.apple.com/ca/app/honkmobile/id816255029?uo=4,0.0,4.60554,14706,Navigation,"The #1 trusted parking app: Save up to 40% on parking with Honk. Forget waiting at pay stations, digging for change and circling the block trying to find an empty parking spot - use the HonkMobile app the next time you park and save on time, money and parking tickets!  

Using a single account, drivers can pay for parking on their phone at any of the 2,000 locations and 190,000 parking spaces Honk is accepted across Canada and the United States. Whether you’re looking for city, off-street, hospital, school or airport parking, Honk has you covered! 

Just some of the cities you’ll find us in: Corner Brook, Halifax, Montreal, Ottawa, Toronto, Mississauga, Oakville, Whitby, Oshawa, London, Niagara Falls, St. Catharines, Waterloo, Windsor, Thunder Bay, Winnipeg, Saskatoon, Calgary, Edmonton, Fort McMurray, Lethbridge, Burnaby, Kelowna, Surrey, Okanagan, Vancouver, Nanaimo, and Victoria.

How It Works:

- Sign up and create a free account using your email or Facebook Connect
- Add your license plate - parking sessions are validated by license plate - store as many as you like!
- Add as many payment methods as you’d like - great way to manage personal and business expenses
- Honk accepts all major credit cards, Visa/Debit, PayPal, MasterPass and ApplePay
- Book parking in real-time or make a reservation for the future
- Click ‘pay’ and get on your way faster!

App Features & Functionality:

- Hourly, daily, weekly and monthly parking options
Mapview of all available parking spots in relation to your destination
- Choose parking spot based on price and proximity
- Park in the same spot for work? Favourite your most frequented parking spot for even quicker and easier access to the spots you use on a regular basis
- Receive text notifications 15 minutes before your session is set to expire 
- Feed the meter directly from your phone - no more running back to beat the meter maid!  
- Receipts are emailed to you within seconds of a booking
- Municipal, private, school campus, university, airport and residential parking
- Access to parking deals and promotions - with savings up to 40% off regular parking rates!

Go ahead and ghost the parking meter and download the HonkMobile app today - you’ll never look back!

Follow us for updates and announcements:

HonkMobile.com: https://www.honkmobile.com
Facebook: https://facebook.com/honkmobile
Twitter: https://twitter.com/honkmobile
Instagram: https://www.instagram.com/honkmobile/",2014-02-16T02:48:06Z,2025-09-22T13:34:00Z
ca,Canada,Navigation,6010,8,1295670493,Indigo Neo,Park Indigo,https://apps.apple.com/ca/app/indigo-neo/id1295670493?uo=4,0.0,4.52487,23461,Navigation,"Indigo NEO - One App, One Place.


Choose your favorite Indigo parking spot amongst over 250,000 spaces all over Canada, including cities like Calgary, Toronto, Montreal, Ottawa, Quebec, Halifax, Winnipeg, Vancouver, Victoria, Nanaimo, and Edmonton!
 
Park and pay on the go, or plan ahead by booking in advance. 

Main Features of the Park Indigo App: 

Find the parking spot that fits you perfectly:

* Enter your destination and easily choose the nearest location through the map or using 
   the automatic geolocation service. You can even save your favorite parking lots to 
   facilitate your next visit!

Pay on the go: 

* Quickly and seamlessly pay for your parking while on the move
* Easily extend your time from afar. Enjoy the moment; no need to rush back to the parking 
   meter to extend your time
* The time for tickets on dashboards is over; we know you’re there so you’re all set

Reserve your parking in advance:

* Whether it’s for a show, hockey game, a trip to the airport, or just for fun, you can always 
   reserve your parking in advance and focus on enjoying your moment

Easily manage your preferences:

* Once your information is saved to your account, pay in just a few clicks  
* Add as many vehicles and credit cards as you like. Don’t worry, your credit card 
   information is encrypted

Apply for a monthly parking pass:

* Apply, manage and pay for your monthly pass directly through the app. Passes are 
   available at over 800 Indigo parking locations Canada-wide

Monitor your activity: 

* Access your current, upcoming or past reservations at your convenience. Don’t worry, if 
   your plan changes you can cancel your reservation before it starts, free of charge


****GET STARTED WITH PARK INDIGO NOW!****",2017-11-01T12:46:35Z,2025-10-21T14:14:16Z
ca,Canada,Navigation,6010,9,1261397728,Chrono - Trips and fares,Autorite regionale de transport metropolitain,https://apps.apple.com/ca/app/chrono-trips-and-fares/id1261397728?uo=4,0.0,3.46548,1970,Navigation,"Chrono Mobile is the official application of the transit corporations (exo, REM, RTL, STL and STM). It has been developed to give its users a complete metropolitan experience. 


Whether by bike (BIXI), metro, Communauto, river shuttle, bus or train, Chrono lets you buy your fares, find the best route for your next trip or reserve an alternative mode of transportation.


Download the application, create, and personalize your account to benefit from all the features:
-Avoid queues, reload your OPUS card, and buy fares.
-Access information on the entire metropolitan network: real-time* and planned complete schedules, bus and train positions and occupancy levels, network map, etc. 
-Reserve your next BIXI, book a Communauto or Communauto Flex
-Plan all your future trips by public transit or bicycle.
-Create favorites and alerts for lines and stops you use often. 
-Read the contents of all your cards (OPUS and occasional) and find a new point of sale to buy your tickets.

* When data is available.",2017-08-28T14:16:21Z,2025-11-20T08:46:53Z
ca,Canada,Navigation,6010,10,1389837029,407 ETR,Canadian Tolling Company International Inc.,https://apps.apple.com/ca/app/407-etr/id1389837029?uo=4,0.0,4.67894,15237,Navigation,"Saving time is now easier than ever with the 407 ETR app. 

Get instant trip reports and personalized alerts, review and pay your monthly statement, and manage your trips and vehicles.

Get in the driver’s seat

- See trips as they happen – get notified instantly with real-time trip reports*
- Receive monthly statement notifications, then review and pay your statement directly from your phone
- Get personalized alerts about maintenance work and closures – based on your usual routes*
- Tag and organize trips for a stress-free way to keep track of expenses – easily down and share
- Plan ahead with the toll calculator – get directions and see your costs
- See promotions you are eligible for

* Trips and travel alerts are applicable for 407 ETR only (QEW in Burlington to Brock Road in Pickering)",2020-04-03T07:00:00Z,2025-10-22T16:14:48Z
