country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
cm,Cameroon,Education,6017,1,570060128,Duolingo : Cours de langue,"Duolingo, Inc",https://apps.apple.com/cm/app/duolingo-cours-de-langue/id570060128?uo=4,0.0,4.38147,8234,Education,"""Apprends une langue avec l’appli d’enseignement la plus téléchargée au monde ! Duolingo est une appli fun et gratuite pour apprendre + de 40 langues avec des leçons courtes et interactives. Entraîne-toi à parler, à écouter, à lire et à écrire la langue pour enrichir ton vocabulaire et te familiariser avec les points de grammaire.

Conçue par des experts en enseignement et plébiscitée par des centaines de millions de personnes à travers le monde, l’appli Duolingo te prépare à avoir de vraies conversations en anglais, en espagnol, en italien, en allemand, en portugais, et bien plus.

Et maintenant, tu peux apprendre les maths et la musique façon Duolingo !

Progresse en calcul mental et développe tes compétences en maths pour la vie de tous les jours, par exemple pour calculer un pourboire et savoir reconnaître des modèles.

Apprends à lire les notes et à jouer des airs connus avec le cours de musique. Et pas besoin d’instrument !

Que tu souhaites apprendre pour voyager, pour progresser dans tes études ou dans ta carrière, pour communiquer avec tes proches ou pour stimuler ton cerveau, une chose est sûre : tu vas adorer apprendre avec Duolingo.

Pourquoi Duolingo ?
• Duolingo est fun et efficace. Nos leçons ludiques et nos personnages hauts en couleur te motivent à acquérir des compétences solides en langues, en maths et en musique.

• Duolingo, ça marche. Conçue par des experts en enseignement, l’appli Duolingo s’appuie sur une méthodologie à l’efficacité prouvée pour favoriser la mémorisation à long terme.

• Suis tes progrès. Progresse vers tes objectifs et décroche des récompenses et des succès en prenant l’habitude de t’entraîner chaque jour !

• Rejoins + de 500 millions de passionnés. Affronte d’autres personnes dans les Ligues et apprends au sein d’une communauté qui ne connaît pas de frontières.

• Tous nos cours sont gratuits. Apprends l’espagnol, l’anglais, l’allemand, l’italien, le russe, le portugais, le turc, le néerlandais, l’irlandais, le danois, le suédois, l’ukrainien, l’espéranto, le polonais, le grec, le hongrois, le norvégien, l’hébreu, le gallois, l’arabe, le latin, l’hawaïen, l’écossais gaélique, le vietnamien, le coréen, le japonais, le français, et même le haut valyrien. Et maintenant, tu peux même apprendre les maths et la musique grâce à nos nouveaux cours !

Ce que le monde pense de Duolingo :

« De loin, la meilleure application gratuite pour apprendre une langue. » – The Wall Street Journal

« Cette appli et ce site gratuits figurent parmi les méthodes de langue les plus efficaces que j’ai pu essayer… Chaque leçon présente de petits exercices pour parler la langue, traduire des phrases ou répondre à des questions à choix multiples. Et j’en redemande. » – The New York Times

« Duolingo détient peut-être le secret du futur de l'enseignement. » – TIME Magazine

« … Duolingo est divertissant, léger et fun… » – Forbes

« Notre appli de langue préférée… » – CNET

Si tu aimes Duolingo, essaie Super Duolingo gratuitement pendant 14 jours ! Apprends plus vite grâce aux leçons sans pubs et profite d’avantages exclusifs comme les Vies illimitées et un Répare-série par mois.

Si tu décides de t’abonner à Super Duolingo, le paiement sera débité de ton compte Apple. Le renouvellement de ton abonnement sera débité 24 heures avant la fin de la période d’abonnement en cours. Tu peux annuler le renouvellement automatique à tout moment après l’achat dans les réglages de l’App Store. Toute portion inutilisée d’une éventuelle période d’essai gratuite ne sera plus valide dès la souscription d’un abonnement.

Politique de confidentialité : https://www.duolingo.com/privacy

Conditions d’utilisation : https://www.duolingo.com/terms""",2020-04-10T07:00:00Z,2025-11-18T14:12:41Z
cm,Cameroon,Education,6017,2,1542571008,Gauth: Aide Aux Devoirs en IA,GAUTHTECH PTE. LTD.,https://apps.apple.com/cm/app/gauth-aide-aux-devoirs-en-ia/id1542571008?uo=4,0.0,4.28308,1194,Education,"Propulsé par l'IA, Gauth est un outil d'aide aux devoirs pratique avec précision. Prenez une photo et regardez notre IA résoudre vos problèmes complexes en mathématiques, chimie et autres. Grâce à un large réseau d'experts en direct, Gauth offre également une assistance professionnelle à tout moment et en tout lieu. Essayez Gauth pour tous vos devoirs!

Caractéristiques principales :
► DES RÉPONSES PRÉCISES, ÉTAPE PAR ÉTAPE
Comparé aux autres aides aux devoirs, Gauth est plus rapide et plus précis pour résoudre les problème de devoirs, en particulier avec le support de Gauth AI Pro.

► MAÎTRISER TOUTES LES MATIÈRES, TOUS LES NIVEAUX
Au-delà des questions de mathématiques, Gauth peut désormais résoudre les problèmes de tous les niveaux en physique, chimie, biologie et bien plus encore. 

► DE VRAIS EXPERTS PRÊTS À VOUS AIDER 24/7
En tant que solutionneur de devoirs solide et ingénieux, nous avons des experts professionnels et des experts dévoués prêts à vous aider 24/7 dans de nombreuses matières, y compris les mathématiques, la physique, la chimie et la biologie. Tous les experts sont disponibles pour résoudre vos problèmes à tout moment et de n'importe où, en vous offrant des explications claires et étape par étape.
Avec Gauth, vous pouvez facilement comprendre et maîtriser les différentes matières.

► FACILE À UTILISER, LES DEVOIRS SONT COOLS
Prenez simplement une photo de votre problème, Gauth la reconnaîtra et cadrera votre question automatiquement. Après l'avoir téléchargée, nos experts vous fourniront des solutions en quelques secondes avec des réponses et des explications bien formulées. Avec Gauth, nous souhaitons que vous puissiez trouver vos devoirs amusants et faciles à comprendre!

► MATIÈRES COUVERTES
Mathématiques
Biologie
Physique
Chimie
Autres

► SUJETS MATHÉMATIQUES COUVERTS
Problèmes mathématiques sous forme de mots
Algèbre ( Nombre Réel ; Arithmétique ; Théorie des ensembles ; Expression ; Logarithme ; Nombre Complexe)
Fonction ( Linéaire ; Quadratique ; Polynomiale ; Exponentielle ; Rationnelle ; Logarithmique ; Fonction inverse)
Géométrie (Géométrie Plan et solide ; Algèbre et lignes ; Lignes et plans dans l'espace ; Transformation)
Trigonométrie ( Rapports Trigonométriques ; Loi des Sinus ; Loi des Cosinus ; Propriétés Réciproques)
Calcul ( Dérivées ; Intégrales ; Limites ; Le problème mathématique de la tangente et de l'aire)
Statistiques et analyse des données (Probabilité ; Représentation des données ; Distribution de Poisson/Normale)
Matrice ( Algèbre Matricielle ; Système D'équations Linéaires et Matrices)
Logique ( Raisonnement et Preuve)

► Vous voulez améliorer votre apprentissage ? Avec Gauth Plus, vous obtiendrez :
Des réponses et explications illimitées dans la banque de questions
Obtenir l'aide d'experts qualifiés
Une priorité dans la résolution des problèmes pendant les heures de pointe
Aucune publicité
Réductions pour tous les achats

Conditions d'utilisation https://h5.gauthmath.com/terms
Politique de confidentialité https://h5.gauthmath.com/policy

RESTEZ CONNECTÉ
Tiktok : www.tiktok.com/@gauthofficial
Site web : www.gauthmath.com
Courriel : support@gauthmath.com",2020-12-11T08:00:00Z,2025-10-30T02:53:14Z
cm,Cameroon,Education,6017,3,6478287397,Learna AI:Apprenez des langues,DEEP FLOW SOFTWARE SERVICES - FZCO,https://apps.apple.com/cm/app/learna-ai-apprenez-des-langues/id6478287397?uo=4,0.0,4.24634,1027,Education,"Bienvenue sur l'application Learna AI Language Tutor, votre solution tout-en-un pour maîtriser la langue anglaise ! Apprenez l'anglais avec des exercices de grammaire, de conversation, de lecture, de prononciation et de vocabulaire.

Un parcours d'apprentissage linguistique qui va au-delà des méthodes traditionnelles. Notre application est conçue pour s'adapter aux apprenants de tous niveaux, des débutants souhaitant établir une base solide aux apprenants avancés cherchant à perfectionner leurs compétences.

Les pratiques et leçons d'anglais sont guidées par notre personnage virtuel de chat avec Learna AI, prêt à fournir des corrections amicales pour toute erreur en cours de route. Cette approche innovante améliore non seulement les compétences linguistiques, mais crée également un environnement de soutien et engageant pour que les utilisateurs puissent affiner confortablement leur maîtrise de l'anglais. L'expérience de chat virtuel ajoute une dimension unique et dynamique à l'apprentissage des langues, le rendant à la fois efficace et agréable pour les apprenants de tous niveaux.

Caractéristiques de Learna AI Language Tutor :

Pratique de conversation en anglais avec un personnage virtuel de chat avec Learna AI

Recevez des commentaires de Learna AI sur vos erreurs

Apprenez la grammaire anglaise

Améliorez vos compétences en lecture en anglais

Enrichissez votre vocabulaire anglais

Vérification de l'orthographe

Perfectionnez votre prononciation anglaise

Améliorez vos compétences en anglais parlé grâce à des exercices interactifs et pratiques

Suivez vos progrès avec des métriques de performance détaillées et des étapes clés. Fixez des objectifs, surveillez vos réalisations et célébrez vos succès tout au long du parcours. Facilitez votre apprentissage de l'anglais !

Privacy Policy: static.ai-learning-app.com/privacy-en.html

Terms of Use: static.ai-learning-app.com/terms-conditions-en.html",2024-09-25T07:00:00Z,2025-11-20T05:59:35Z
cm,Cameroon,Education,6017,4,1163927830,Grammatisch — Allemand,Konsonant Ensino Digital de Idiomas Ltda,https://apps.apple.com/cm/app/grammatisch-allemand/id1163927830?uo=4,0.0,4.27174,92,Education,"Apprenez l'allemand pour de vrai avec Grammatisch. L'application contient des centaines d'exercices ainsi que des résumés, des tableaux et des listes pour les principaux sujets de la grammaire allemande.  Vous n'avez pas besoin de passer des tests de mise à niveau, choisissez simplement n'importe quel sujet et commencez à l'apprendre. Vous pouvez résoudre des dizaines d'exercices à la suite pour mémoriser des concepts et des règles de grammaire en peu de temps. Lorsque vous avez terminé une séance d'exercices, vous pouvez vérifier votre score et une correction détaillée de vos réponses. 

 Les sujets suivants sont abordés :
 • Bestimmter Artikel
• Pluralform
• Personalpronomen
• Verbkonjugation - Präsens
• Possessivpronomen
• Reflexive Verben
• Nominativ
• Akkusativ
• Dativ
• Präpositionen
• N-Deklination
• Relativsätze
• Trennbare Verben
• Perfekt
• Adjektivdeklination
• Verben mit Präpositionen
• Konjunktiv II
 … et bien d'autres à venir sur les prochaines mises à jour ! 

 Cette application ne nécessite pas de connexion Internet pour fonctionner.",2020-04-10T07:00:00Z,2025-11-11T10:02:24Z
cm,Cameroon,Education,6017,5,1160868782,C/C++ Programming Compiler,Ketan Appa,https://apps.apple.com/cm/app/c-c-programming-compiler/id1160868782?uo=4,0.0,3,1,Education,"Write C/C++ code directly on your iPhone, iPad and iPod Touch! This app supports the latest C/C++ compilers and is ideal for learning and testing code snippets!

C++ is a general-purpose programming language created by Bjarne Stroustrup as an extension of the C programming language, or ""C with Classes"". The language has expanded significantly over time, and modern C++ has object-oriented, generic, and functional features in addition to facilities for low-level memory manipulation.

Features:
- Compile and run your program
- View program output or detailed error 
- Choose between C++ compiler standards (ISO/IEC 14882) namely: C++98, C++03, C++11, C++14, C++17, C++20, C++23
- Multithreading support
- Custom keyboard for easy input of frequently used characters
- Optimized for connecting with external physical/bluetooth keyboard
- Advanced source code editor with syntax highlighting, bracket completion and line numbers
- Open, save, import and share C/C++ files. Supports File Sharing with iTunes Connect, AirDrop and iCloud.
- Language reference

Limitations:
- Internet connection is required for compilation
- Maximum program running time is 20s
- One file can be run at a time
- Some file system, network and graphics functions may be limited
- This is a batch compiler; interactive programs are not supported. For example, if your program provides an input prompt, enter the input in the Input tab prior to compilation.",2020-04-13T07:00:00Z,2024-12-04T10:30:44Z
cm,Cameroon,Education,6017,6,6747391179,Kawlo,Mfou'ou Medjo Stanly,https://apps.apple.com/cm/app/kawlo/id6747391179?uo=4,0.0,2,11,Education,"Kawlo is African’s number one examination study partner with past papers and answers for Cameroon gce, ecz, uneb and necta exams. It's one of your day to day teacher during your studies be it indoors or outdoors.
This platform is here for you and includes everything you’ll need in order to going through your Ordinary and Advance level examinations and equally examinations related to ecz, uneb and necta.",2025-06-23T07:00:00Z,2025-06-25T12:51:12Z
cm,Cameroon,Education,6017,7,1597468436,Hueber Media,Hueber Verlag GmbH & Co. KG,https://apps.apple.com/cm/app/hueber-media/id1597468436?uo=4,0.0,2.66667,9,Education,"Ob im Unterricht, im Bus oder zu Hause – mit der praktischen App Hueber Media können Sie die Audiodateien und ggf. Videos passend zu Ihrem Hueber-Buch jederzeit – auch offline – abspielen. 

So einfach funktioniert es
Titel auswählen
Tippen Sie im Tab „Bücher“ auf „Buch hinzufügen“. Sie können nun den gewünschten Titel in der Liste auswählen oder Sie geben in das Suchfeld den Titel oder die ISBN des Buchs ein.

Sie haben immer die Wahl zwischen off- und online 
Sind Videos vorhanden, können Sie immer wählen, ob Sie die Videos auf dem Gerät speichern möchten. Heruntergeladene Videos können Sie jederzeit – auch offline – abspielen. Nicht geladene Videos werden gestreamt, währenddessen benötigt die App Internetzugang. Auch nachdem die Videos geladen sind, können Sie Ihre Entscheidung jederzeit wieder ändern: Gehen Sie in „Bücher“ und klicken rechts neben dem Titel auf den Info-Button.",2022-02-01T08:00:00Z,2023-12-27T18:24:18Z
cm,Cameroon,Education,6017,8,924620788,Google Classroom,Google LLC,https://apps.apple.com/cm/app/google-classroom/id924620788?uo=4,0.0,3,2,Education,"Classroom est un service gratuit pour les établissements scolaires, les organisations à but non lucratif et les utilisateurs disposant d'un compte Google personnel. Il facilite la communication entre les professeurs et les élèves, dans l'enceinte de l'établissement comme en dehors. Il permet aux professeurs de gagner du temps et d'économiser du papier, ainsi que de facilement créer des cours, donner des devoirs, communiquer et s'organiser.

Classroom permet aux enseignants de préparer, de récupérer et de noter des devoirs par voie électronique. Ce service est également synonyme de gain de temps, par exemple grâce à la fonctionnalité de copie automatique permettant de distribuer un même document Google à chaque élève. Des dossiers Drive sont créés pour chaque devoir et pour chaque élève, ce qui facilite l'organisation de chacun.

Les élèves consultent les dates de remise sur la page ""Devoirs"" et peuvent commencer à travailler immédiatement. Les enseignants voient en un clin d'œil qui a ou n'a pas rendu son devoir. Ils peuvent noter et commenter les copies en temps réel, directement dans Classroom.

Avec l'application mobile pour iOS, élèves et enseignants accèdent à leurs cours et communiquent entre eux en temps réel. Les élèves peuvent faire leurs devoirs directement depuis leur iPhone ou leur iPad, et les enseignants savent qui a remis son devoir et peuvent le noter même en déplacement. Ils reçoivent une notification dès qu'un nouveau contenu est disponible dans Classroom, ce qui signifie qu'ils sont toujours à jour.

Classroom offre de nombreux avantages :

Configuration facile
Les enseignants peuvent ajouter des élèves directement ou partager un code pour leur permettre de rejoindre un cours. La configuration ne prend que quelques minutes.

Gain de temps
D'une grande simplicité, le flux électronique de gestion des devoirs dématérialisé permet aux enseignants de donner, corriger et noter les devoirs rapidement, le tout de manière centralisée.

Meilleure organisation
Une page dédiée permet aux élèves d'afficher tous leurs devoirs. L'ensemble des supports de cours (par exemple, les documents, les photos et les vidéos) sont automatiquement enregistrés au sein de Google Drive et organisés en dossiers.

Communication facilitée
Classroom permet aux enseignants de faire des annonces et de lancer des discussions instantanément. Les élèves ont la possibilité de partager des ressources avec leurs camarades et de répondre aux questions dans le flux.

Sécurité
À l'instar des services Google Workspace for Education, Classroom ne contient pas d'annonces, et n'utilise pas votre contenu ni les données des élèves à des fins publicitaires.

Avis relatif aux autorisations :
Appareil photo : Autorisation requise pour permettre à l'utilisateur de prendre des photos ou d'enregistrer des vidéos et de les publier dans Classroom.
Microphone : Autorisation requise pour permettre l'enregistrement audio des vidéos publiées dans Classroom.
Photos : Autorisation requise pour permettre à l'utilisateur de joindre des photos ou des vidéos dans Classroom. Les photos ou les vidéos publiées dans Classroom seront stockées sur les serveurs Google pour pouvoir les afficher dans Classroom.",2022-02-14T08:00:00Z,2025-11-17T17:52:02Z
cm,Cameroon,Education,6017,9,6468219825,Talkpal - Tuteur de langage IA,TalkPal Inc.,https://apps.apple.com/cm/app/talkpal-tuteur-de-langage-ia/id6468219825?uo=4,0.0,4.14925,67,Education,"Talkpal AI est une app d’apprentissage des langues propulsée par GPT qui aide des millions d’apprenants à parler, écouter, lire et écrire plus sereinement dans une nouvelle langue.
Entraîne-toi avec de vraies conversations grâce à la voix et au chat IA avancés, et apprends plus de 57 langues, dont l’anglais, l’espagnol, le français, l’allemand, le japonais, le coréen, et plus encore.

POURQUOI CHOISIR TALKPAL?
- IA conversationnelle basée sur GPT pour un apprentissage interactif et adaptatif
- Apprends plus vite grâce à la vraie pratique orale – pas au par cœur
- Plus de 57 langues prises en charge avec difficulté dynamique

FIABLE POUR DES MILLIONS D’UTILISATEURS DANS LE MONDE
Rejoins 5 000 000+ apprenants qui parlent avec confiance dans plus de 57 langues, dont l’anglais, l’espagnol, l’allemand, le français, l’italien, le japonais, le chinois, le coréen, l’arabe, le néerlandais, le portugais, le suédois, l’hébreu, le grec, le turc, le finnois et l’afrikaans, l’arménien, l’azerbaïdjanais, le biélorusse, le bosniaque, le bulgare, le cantonais, le catalan, le croate, le tchèque, le danois, l’estonien, le galicien, l’hindi, le hongrois, l’islandais, l’indonésien, le kannada, le kazakh, le letton, le lituanien, le macédonien, le malais, le maori, le marathi, le népalais, le norvégien, le persan, le polonais, le roumain, le russe, le serbe, le slovaque, le slovène, le swahili, le tagalog, le tamoul, le thaï, l’ukrainien, l’ourdou, le vietnamien, le gallois, et plus encore.

CE QUE TU OBTIENS AVEC TALKPAL
Commence à parler dès le premier jour avec des leçons courtes. Entraîne-toi avec des modes d’apprentissage immersifs propulsés par l’IA, conçus pour construire une vraie aisance et booster ton expression orale:
1. Mode Chat: parle avec un tuteur de langue perso propulsé par GPT
2. Mode Mots: apprends le vocabulaire de base et peaufine la prononciation
3. Mode Phrases: renforce la grammaire et la structure des phrases
4. Mode Dialogue: pratique des phrases du quotidien avec des conversations pré-écrites
5. Mode Appel: entraînement oral uniquement audio pour gagner en fluidité et confiance
6. Jeux de rôle: scénarios de vie réelle (voyage, boulot, rendez-vous, etc.)
7. Personnages: conversations dynamiques avec des personnages célèbres
8. Débats: discute de sujets pour développer logique et parole spontanée

COMPÉTENCES QUE TU VAS AMÉLIORER
- Expression orale: prononciation claire et vrai flow de conversation
- Compréhension orale: comprendre des conversations naturelles et des accents variés
- Lecture: compréhension et maîtrise du vocabulaire de tous les jours

FOCALISE-TOI SUR TES OBJECTIFS
- Voyage: apprends des phrases utiles et des expressions locales
- Carrière: entraîne-toi pour les entretiens, réunions et présentations
- Études: améliore grammaire, vocabulaire et compréhension orale

FEEDBACK ET SUIVI DES PROGRÈS
- Corrections personnalisées de prononciation et de grammaire par IA
- Suis tes progrès avec des séries, des succès et des stats de leçons personnalisées
- Séances d’entraînement courtes, efficaces et motivantes

POURQUOI TALKPAL
- Améliore ton expression et ta fluidité avec des modes d’apprentissage interactifs: Mode Chat, Mode Mots, Mode Phrases, Mode Dialogue, Mode Appel, Jeux de rôle, Personnages, Débats, Mode Photo, et des Cours personnalisés générés par IA, adaptés à ton niveau et à tes objectifs
- Rejoins des millions d’apprenants et deviens une pointure de l’apprentissage des langues. Télécharge maintenant et parle pour de vrai. Construis ta fluidité avec Talkpal – où tu veux, quand tu veux

ENTREPRISE ET FEEDBACK
- Partage tes retours et suggestions à support@talkpal.ai et faisons de ton apprentissage des langues une expérience encore meilleure!
- Conditions générales: https://talkpal.ai/terms-and-conditions/
- Politique de confidentialité: https://talkpal.ai/privacy-policy/
- Conditions d’utilisation: https://www.apple.com/legal/internet-services/itunes/dev/stdeula/",2023-12-03T08:00:00Z,2025-11-10T08:11:21Z
cm,Cameroon,Education,6017,10,919087726,Photomath,Google LLC,https://apps.apple.com/cm/app/photomath/id919087726?uo=4,0.0,4.44808,183,Education,"Apprenez à résoudre des problèmes mathématiques, à vérifier les devoirs et à étudier pour les prochains examens et ACT / SAT grâce à la ressource d'apprentissage en mathématiques la plus utilisée au monde. Plus de 100 millions de téléchargements et des milliards de problèmes résolus chaque mois! 

COMMENT ÇA MARCHE
Numérisez instantanément du texte imprimé ET des problèmes mathématiques écrits à la main à l'aide de l'appareil photo de votre appareil ou tapez et modifiez des équations à l'aide de notre calculatrice scientifique. Photomath décompose chaque problème mathématique en étapes simples et faciles à comprendre afin que vous puissiez réellement comprendre les concepts de base et répondre aux questions en toute confiance.

PRINCIPALES CARACTÉRISTIQUES
Numérisation des manuels (imprimés) ET des problèmes écrits à la main
Calculatrice scientifique
Des explications détaillées pour chaque solution
Plusieurs méthodes de résolution
Plus de 30 langues prises en charge
Graphiques interactifs

SUJETS DE MATHS
Mathématiques de base / Pré-algèbre : arithmétique, nombres entiers, fractions, nombres décimaux, puissances, racines, facteurs
Algèbre : équations/inégalités linéaires, équations quadratiques, systèmes d'équations, logarithmes, fonctions, matrices, graphes, polynômes
Trigonométrie /pré-calcul : identités, sections coniques, vecteurs, matrices, nombres complexes, séquences et séries, fonctions logarithmiques
Calcul : limites, dérivées, intégrales, esquisse de courbe
Statistiques : combinaisons, factorielles

Notre équipe interne d’éducateurs en mathématiques chevronnés s’associe également à des enseignants du monde entier pour faire en sorte que nous utilisions les méthodologies d’enseignant les plus efficaces et les plus modernes dans nos moteurs de calcul.

Présenté par Huffington Post, Forbes, TIME, CNN, EdSurge, Tech de guidage, The Verge, TechCrunch et bien d'autres.

Si vous avez des suggestions, des commentaires ou des questions, envoyez-nous un e-mail à support@photomath.com

Suivez-nous !
Facebook : facebook.com/Photomathapp
Twitter : @Photomath

Photomath est gratuit, et le sera toujours. Toutefois, vous pouvez améliorer votre apprentissage en passant à Photomath Plus. Photomath Plus fournit des solutions aux manuels complets et aux exercices avec des problèmes écrits ! Actuellement limité aux États-Unis et à des manuels spécifiques uniquement.

Le paiement sera débité de votre compte Apple ID lors de la confirmation de l'achat. L'abonnement est automatiquement renouvelé sauf s'il est annulé au moins 24 heures avant la fin de la période en cours. Votre compte sera débité pour le renouvellement dans les 24 heures précédant la fin de la période en cours. Vous pouvez gérer et annuler vos abonnements en accédant aux paramètres de votre compte sur l'App Store après l'achat. Les offres et les prix sont sujets à changement sans préavis.

Pour plus d'informations :
Conditions d'utilisation : https://photomath.com/en/termsofuse
Politique de confidentialité : https://photomath.com/en/privacypolicy",2020-04-10T07:00:00Z,2025-09-25T07:26:07Z
