country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
cv,Cabo Verde,Health & Fitness,6013,1,896501514,Period & Cycle Tracker,ABISHKKING LIMITED.,https://apps.apple.com/cv/app/period-cycle-tracker/id896501514?uo=4,0.0,4.83846,130,Health & Fitness,"** Top Rating Reproductive Health App ** 
 
Check out the most widely-used period, ovulation & pregnancy tracker, which has been helping to improve the well-being of over 300,000,000 women across 45+ countries in the past decade. 
 
We understand your concerns about your private data security, especially with the recent news.
Here's how we protect your data:
• You can use our app without creating an account.
• You remain COMPLETELY ANONYMOUS while using our app.
• You can DELETE ALL DATA in 1 click whenever you want.
 
At every stage of your life, we safeguard your well-being. 
 
PERIOD & CYCLE CALENDAR
We'll remind you of the dates when your next period starts and ends on time. It's useful whether you have irregular or regular menses. Better? You'll receive tailored PMS advice and instant menstrual pain relief guidance.
 
OVULATION & FERTILITY TRACKER
We help you calculate your most fertile days and analyze your fertility window based on your unique cycle. You can get pregnant naturally ASAP by learning your CHANCE OF CONCEPTION every day.
 
PREGNANCY MODE: WEEK-BY-WEEK 
Follow your baby's weekly growth. Use our due date calculator to find out when your baby's BIG DAY will be and count down it.
 
BIRTH CONTROL PLANNER
Quickly record and stay on track with your contraceptive methods like pills, rings, patches, injections, IUDs, or implants. You can customize the reminder message for individual services.
 
PILL REMINDER
Set start date, interval, durations, and dose quantity for any medication, drugs, or supplements. So you won't forget to take pills when life gets busy.
 
SYMPTOM PREDICTIONS & TIPS
Record your symptoms during any life stage. Get predictions and courses to learn how to deal with them. Take breast self-exam monthly to find abnormalities early.
 
>>Key Features:
- Accurate prediction & reminders of menstruation & the most fertile days 
- Track the cycle lengths, flow intensity, when you are ovulating, birth control methods, etc.
- Log 58 symptoms, 67 moods, and energy levels to know your menstrual pattern
- Track daily chance of getting pregnant with BBT, cervical mucus, ovulation & pregnancy test records
- Baby's due date countdown
- Baby's weekly growth tracker
- Export a health report with charts for self-archive or doctors
- Insights from fertility specialists
- PIN code, Face ID, & Fingerprint lock to protect your private data
- Daily health tracker: weight, hydration, sleep, mood, sex, steps, etc.
- Breast self-exam guidance
- Multiple accounts to track for different, for example, mother/daughter 
- Unlimited app themes & pets
- Available in 39 languages
- Sync data with Apple Health
- Backup and restore data between devices
 
Note: Period Calendar should not be used to replace any form of contraceptive method.
 
Subscription Terms and Details
- Get unlimited access to all features for USD $49.99/year:
	• Cycle predictions for each month
	• Fertility analysis of each day
	• Unlock all self-care content
	• Kegel exercise for women
	• Unlimited app themes and pets
	• Remove ads forever
- The payment will be charged to your iTunes account at confirmation of purchase.
- The subscription automatically renews unless auto-renew is turned off at least 24 hours before the end of the current period.
- Subscription may be managed, and auto-renewal may be turned off by going to Account Settings after purchase.
- The account will be charged for renewal within 24 hours prior to the end of the current period.
- Any unused portion of a free trial period will be forfeited when the user purchases a subscription to that publication.
 
If you have any questions or concerns while using our app, please feel free to contact us via feedback in our app ( [Settings] -> [Bug Report&Feedback]) or write to us at abishkking.apple@gmail. 
 
Privacy Policy: https://pc.abishkking.com/privacypolicy.html
Terms of Use: https://pc.abishkking.com/terms.html",2014-09-30T23:41:17Z,2025-11-19T02:27:28Z
cv,Cabo Verde,Health & Fitness,6013,2,1490078804,"ShutEye: Sleep Tracker, Sounds",ENERJOY PTE. LTD.,https://apps.apple.com/cv/app/shuteye-sleep-tracker-sounds/id1490078804?uo=4,0.0,4.74648,71,Health & Fitness,"Struggling with Sleep? Improve your rest with ShutEye®’s relaxing sounds and comprehensive sleep tracker app.

After a hectic day, does sleep feel elusive? ShutEye® is here to ensure you get the restful sleep you need.

Sleep is crucial for productivity, health, and happiness. In today’s busy world, it’s more elusive than ever. Stop tossing and turning. Start falling asleep naturally and healthily with ShutEye® app.

ShutEye® offers a complete sleep solution with:
- Extensive library of sleep sounds and ambient noise.
- Bedtime stories for a soothing transition to sleep.
- Smart alarm clock for a gentle wake-up experience.
- Scientific sleep tracker to understand your sleep cycles and track your snoring.
- Customizable sound mixes, including white noise app free.
- App to track snoring for nighttime insights.

It’s your all-in-one sleep app for better sleep.

Who Needs ShutEye®?
- Stressed workers
- Sleep-deprived parents
- Students under pressure
- Meditation fans
- Light sleepers
- Sleep quality improvers
- Snoring enthusiasts

Achieving a good night’s sleep is vital for your health and well-being. Let ShutEye® help you attain the deep, restorative sleep you deserve. Don’t settle for fatigue and lack of vitality. Use ShutEye® to find the peace you need. Sleep well and become the best, most vibrant version of yourself. Try ShutEye® today!

APPLE INTEGRATION: ShutEye® saves your sleep sessions to your Apple Health app.

Subscription Information:
- Auto-renewing subscription at $59.99/year for unlimited access to VIP features.
- Charged to your iTunes Account upon confirmation.
- Manage or cancel in Account Settings anytime.
- Auto-renews unless you cancel 24 hours before renewal.
- No refunds for leftover free trial time.

Contact Information:
Email: contact.sleep@enerjoy.life
Privacy Policy: https://enerjoy.life/privacy-policy
Term of service: https://enerjoy.life/terms-of-use
iOS App Support: www.enerjoy.life/contact-us/
copyright: © 2021 - 2023 Enerjoy Pte. Ltd.",2020-11-29T08:00:00Z,2025-11-20T13:37:07Z
cv,Cabo Verde,Health & Fitness,6013,3,1038369065,Flo Period & Cycles Tracker,FLO HEALTH UK LIMITED,https://apps.apple.com/cv/app/flo-period-cycles-tracker/id1038369065?uo=4,0.0,4.40238,1178,Health & Fitness,"Live in sync with your cycle using Flo, the world’s most popular female health app. Get personalised insights and predictions on your body.

Whether you want to predict your period, get pregnant, track your pregnancy, or better understand your symptoms, Flo is your all-in-one female health partner. Join over 420 million members.

With Flo, you can:
- Keep your data safe: Flo is the first period and ovulation tracker to achieve dual ISO 27001 and ISO 27701 Certifications (aka gold standards in data protection).
- Feel more understood: Share your Flo insights via Flo for Partners to feel more connected, understood, and supported.
- Get an extra layer of protection: Anonymous Mode means no one, not even Flo, can identify you based on your health data.
- Join a supportive community: Secret Chats is where members can discuss topics and connect with others on the same journey.
- Access reliable health information: Flo collaborates with a globally recognised organisation dedicated to reproductive health and rights, ensuring trustworthy support for your health journey.

With Flo Premium, you can enjoy:
- Monthly cycle reports
- Symptom predictions and patterns
- Tailored prediction insights
- Detailed pregnancy tracking
- Full access to Flo for Partners
- A 24/7 virtual Health Assistant
- All articles, videos, and courses reviewed by 140+ health experts

New! Flo supports perimenopause:
- Know what might be perimenopause and how to tune in to your body’s changes.
- Get clarity on common perimenopause symptoms and what can help.
- Make more informed health decisions and identify what you need to feel your best.

Start tracking your cycle for free today.

Privacy Policy and Terms of Use:
https://flo.health/privacy-policy  
https://flo.health/terms-of-use 

Connect with Flo:
Web: flo.health
TikTok: @flotracker
Instagram: @flotracker

Please note: Flo is not a diagnostic tool and should not be used as a method of contraception or to facilitate conception. Predictions and insights provided by the app are intended for informational purposes only and are not a substitute for professional medical advice, diagnosis, or treatment. Always consult a qualified healthcare provider for any health concerns or decisions.

Flo uses HealthKit to read menstrual cycle data and export your Flo activities to the Health app.

If you have any difficulties using the app, contact Flo via support@flo.health.

Notice of Access Permission:
Flo may request permission for:
- In-app notifications or reminders.
- Uploading photos to specific forum discussions.
- Uploading audio recordings to closed group chats.
Content sharing is entirely optional. Flo does not automatically access your content. You can select what you want to share.",2015-10-03T22:28:36Z,2025-11-19T19:58:17Z
cv,Cabo Verde,Health & Fitness,6013,4,1032267351,My Calendar - Period Tracker,AppManage LLC,https://apps.apple.com/cv/app/my-calendar-period-tracker/id1032267351?uo=4,0.0,4.72727,11,Health & Fitness,"My Calendar – Period Tracker by Simple Innovation is an elegant and easy-to-use period tracker that helps you take control of the many aspects of your menstrual cycle — from ovulation, fertility and periods, to birth control pills, moods and other symptoms.

Whether you are concerned about conceiving, birth control and contraception, or regularity of period cycles, Period Calendar can help. Our tracker is easy to use and offers everything you need: Track irregular periods, weight, temperature, moods, blood flow, symptoms and more.

Be PREPARED for your PERIOD:
- MAKE PLANS for rest and work
- Be CONFIDENT about your HEALTH. Add information to the app, use it to answer your doctor’s questions.
- Note SYMPTOMS, get insights. Use the charts to track changes.
- Track OVULATION and FERTILITY dates. 
- Keep your data SECRET. Use pin-code, face-ID or a fingerprint to keep the data safe.
- Take PILLS on time. Use reminders so you don't miss your pill time.

Discreet reminders keep you informed and prepared by predicting upcoming periods, ovulation, and fertile days. The app adapts to your cycle history and the calculator accurately predicts the important events during your cycle.

Key features:
- Vital info at a glance: intuitive calendar home page lets you visualize non-fertile, fertile, ovulation, expected period and actual period
- Entire cycle log and settings can be backed up and restored easily and quickly. Never be afraid to lose your calendar data, even when you lost your phone or get a new one.
- Detailed tracking: daily planner lets you save essential period information like flow, intercourse, symptoms, moods, temperature, weight, medicine, PMS, other cervical observations, and general diary notes
- Always stay in the loop with notifications for upcoming period, fertility windows or ovulation
- Protect your most private data from curious eyes: password lock it using a unique PIN code
- Personalize and make it yours: Gorgeous new watercolor themes, adjust period prediction intervals, luteal phase length, plus choose your units of measure and the first day of the week (Sunday or Monday) – all in Settings
- Abstinence mode hides ovulation, fertility and intercourse related data—perfect tracker for girls and teens just starting their periods
- Want to start fresh? Just reset it

You can track changes and symptoms during perimenopause, such as hot flashes, night sweats, mood swings, and irregular cycles.
Stay in control of your health with personalized insights and reminders tailored for this important life stage.
Whether you are starting to notice irregularities or want extra support, Perimenopause Mode helps you better understand your body and feel prepared every day.

This highly customizable period tracker and pregnancy planning calendar is perfect for any woman to take control of her health and keep organized.

Download it for FREE today!",2015-08-27T21:11:44Z,2025-11-05T06:24:06Z
cv,Cabo Verde,Health & Fitness,6013,5,1512947756,Wearfit Pro,"Shenzhen Wakeup technology Co., Ltd.",https://apps.apple.com/cv/app/wearfit-pro/id1512947756?uo=4,0.0,3,2,Health & Fitness,"By tightening the bracelet, we can help more people understand and manage their health, thereby making them healthier. At the same time, we will get closer to your footsteps and distance to provide you with better health guidance. You can view the detailed step record analysis at the end of the exercise, or refer to the exercise record on the homepage),
We will capture and share your exercise data (steps, weight, etc.) in HealthKit to gain a more comprehensive understanding of your exercise status



[Description of continuous monthly subscription for Wearfit Pro members]
1. Service name: VIP continuous monthly membership
2. Subscription period: one month
3. Subscription price:  USD $ 3.99 dollars per month
4. Payment: Credit to iTunes account after user confirms purchase and pays
5. Cancel the renewal: If you need to cancel the renewal, please manually turn off the automatic renewal function in the iTunes/AppleID settings management 24 hours before the current subscription expires
6. Renewal: Apple's iTunes account will be debited within 24 hours before expiration. After the deduction is successful, the subscription period will be extended for one month
7. Privacy Policy: http://h5.iwhop.com/login/privacy_policy/privacy_policy.html
8. User Service Agreement: http://h5.iwhop.com/login/user_agreement/user_agreement.html
9.VIP Member Service Agreement: http://howear.iwhop.com/cdn/html/member_agreement.html",2020-06-29T07:00:00Z,2025-11-10T08:59:44Z
cv,Cabo Verde,Health & Fitness,6013,6,6738981840,MuscleMaxme - Build Muscle,HONG KONG VITALITY TECHNOLOGY AND CULTURE CO LIMITED,https://apps.apple.com/cv/app/musclemaxme-build-muscle/id6738981840?uo=4,0.0,0,0,Health & Fitness,"AI-Powered Workouts That Deliver Real Results!We will customize a 21-day personalized fitness plan for you! Even if you're a complete beginner in fitness, you can easily master the knack and enjoy the fun of working out. With ""MuscleMaxme"", you can achieve a healthy and fit physique!
● Professionally Customized, Your Exclusive Personal Fitness Course
Everyone's physical condition and fitness expectations are different. ""MuscleMaxme"" has assembled a team of top fitness experts in the industry. Through advanced algorithms and detailed questionnaire assessments, we will create a unique customized plan for you. Whether you aim to build muscle, lose fat, or maintain your current body shape, we will precisely plan every step of your training journey to ensure that every drop of sweat you shed brings you closer to a better version of yourself.
● Flexible Workouts, Easy Shaping
Daily workouts only take 10 to 15 minutes, so you don't have to endure the boredom and pain of long-hour exercises.
● From Novice to Expert
Whether you're a fitness novice or an experienced professional, you can find suitable courses through our easy-to-understand guidance. Since everyone's fitness level varies, you should choose exercise methods that match your own ability and pace.
● Work out All Parts of the Body
The courses designed by our fitness experts are aimed at helping you achieve your goals. You can choose a full-body workout or focus on specific body parts, making your training more targeted.
""MuscleMaxme"" – The ultimate fitness partner exclusively designed for men, taking you on a personalized fitness journey!
This is a video-based learning platform for fitness enthusiasts. With the help of high-definition video tutorials, professional coaches will demonstrate every movement and explain the key points and details in depth. Even if you're at home, you can enjoy professional gym-level guidance. With daily updated training programs, your fitness journey will always be full of novelty and challenges.
""MuscleMaxme"" Automatic Renewal Service Instructions
【""MuscleMaxme""】Enjoy multiple privileges, such as intelligent customized plans, professional assessments, and unlimited access to courses.
【Subscription Cycle】
Continuous Monthly Subscription: The subscription cycle is 1 month.
Continuous Six-Month Subscription: The subscription cycle is 6 months.
Continuous Annual Subscription: The subscription cycle is 12 months.
【Subscription Fees】
Subject to the information of in-App Purchase (iAP). For example, the continuous monthly subscription product costs 48 yuan per month, and the continuous annual subscription product costs 188 yuan per year.
【Payment】
After the user confirms the purchase and makes the payment, the amount will be deducted from the iTunes account.
【Auto-renewal】
The ""Continuous Monthly / Annual"" products support auto-renewal. After the purchase is confirmed, the fee will be deducted from your iTunes account. Unless you cancel the auto-renewal at least 24 hours before the end of the current subscription, the subscription will be automatically renewed. Apple will automatically deduct the fee from the iTunes account within 24 hours before the subscription expires. Upon successful payment, the membership validity period will be extended by one cycle.
【Canceling Auto-renewal】
On your Apple iOS device, open the ""App Store"" --> Click on the Apple account avatar in the upper right corner --> Enter the ""Account"" section --> Click on ""Subscriptions"" --> Select ""MuscleMaxme"" and cancel the subscription.

User Agreement: https://nnnn.musclemaxmefit.com/privacyPolicy.html
Membership and Auto-renewal Service Agreement: https://nnnn.musclemaxmefit.com/termsOfService.html
Subscription Policy: https://nnnn.musclemaxmefit.com/subscribePolicy.html
End User License Agreement: https://www.apple.com/legal/internet-services/itunes/dev/stdeula/
Contact Email: musclemaxme@gmail.com
""MuscleMaxme"" – Burn fat and enjoy the pleasure.",2024-12-31T08:00:00Z,2025-11-21T01:36:21Z
cv,Cabo Verde,Health & Fitness,6013,7,1458862350,Hevy - Gym Tracker Workout Log,Hevy Studios S.L.,https://apps.apple.com/cv/app/hevy-gym-tracker-workout-log/id1458862350?uo=4,0.0,5,7,Health & Fitness,"** Featured by Apple ** Join +9 million users!
Hevy is the most intuitive workout tracker & planner in the world. No ads and free. Plan your weight lifting routines, log your workouts and track your exercise progress. Join a growing community and get started today - for free!

WHAT USERS ARE SAYING
•  ""Seriously the best workout tracker I've ever used. Simple. Free. Tons of graphs. Amazing quality videos"" - Sam Ilelaboye
•  ""Seeing what my friends and other athletes are working out at the gym has totally changed my experience. Now I can copy my friend's workouts and compare myself. It's super motivating"" - Jaume
•  ""Tracking my workouts with Hevy has taken my training to the next level, I'm getting stronger every week. Being able to plan my routines really helps me being efficient at the gym."" - Carlos D.

FEATURES
•  Track your lifts with an intuitive, simple to use interface.
•  Use the calendar to stay on top of your training schedule
•  Hundreds of exercises with free high-quality videos for you to focus on your form
•  Follow your friend's progress by following their lifts and copying their routines
•  Create your own custom exercises for your workouts
•  Set up your profile as a private profile or a public one
•  Mark sets as Warmup, Normal, Drop sets, Failure and Supersets
•  Customize automatic rest timers for each exercise
•  Analyze your workout sessions in detail with muscle group graphs
•  Calculation of One Rep Max for all strength exercises
•  Create an unlimited amount of routines
•  Analyze the progression of your lifts with beautiful full-screen graphs of volume, best weight & total reps
•  Copy your friends' workouts
•  Dark Mode
•  Hevy uses HealthKit and CareKit to export your Hevy workouts into the Health app, this feature can be turned on in the settings.

APPLE WATCH
•  Sync your Hevy routines to your Apple Watch
•  Easily track your weight lifting sets
•  Keep track of your heart rate during your workout
•  Helpful timers for duration exercises
•  Mark sets as Warmup, Normal, Drop sets, or Failure
•  Watch workouts automatically save when reconnecting to iPhone

DETAILS

•  https://www.hevyapp.com
•  https://www.instagram.com/hevyapp
•  https://www.facebook.com/hevyapp
•  https://www.twitter.com/hevyapp
•  hello@hevyapp.com

HEVY PRO
•  Create unlimited routines
•  Get unlimited access to graph history
•  Create unlimited custom exercises

The Hevy Pro subscription automatically renews if you do not cancel it at least 24 hours before the end of the current subscription period. Your account will be charged for the next subscription period up to 24 hours prior to the current subscription’s expiration. You can manage your subscription and disable automatic renewal at any time by adjusting your Apple account settings. You have the right to withdraw from your initial subscription within 14 days of starting it. By purchasing, you accept our Terms of Use and Privacy Policy.

Terms & Conditions
https://www.hevyapp.com/app-terms-conditions/

Download Hevy and take your training to the next level!",2019-07-01T04:30:20Z,2025-11-20T21:21:08Z
cv,Cabo Verde,Health & Fitness,6013,8,6748003663,MarkRun,Cheval Mobile Limited,https://apps.apple.com/cv/app/markrun/id6748003663?uo=4,0.0,0,0,Health & Fitness,"Tired of boring workouts? MarkRun transforms your fitness routine by blending exercise with eco-friendly missions—adding fun and encouragement into every move!


Missing motivation or any extras to keep going?MarkRun makes workouts engaging and sustained through ongoing incentives!
WORKOUT COURSES: Follow structured workout routines and collect Fragments as a bonus after each session.
RUNNING MISSIONS: Jog while completing eco-tasks like picking up litter or petting a kitten—gather Fragments as you go!
FRAGMENT COLLECTION: Accumulate fragments, unlock collectible cards, and keep your motivation high.
TOTAL PRIVACY: The information you provide will only be used for sports data calculation and service optimization. We will store it in compliance with the law and strictly protect your privacy and will not use it for unauthorized purposes.

We hope our app can make become a better and healthier you:
Suggestions for questions:  feedback@mark-run.com
User Agreement: https://resource.mark-run.com/MarkRun/statement.html 
Privacy Agreement: https://resource.mark-run.com/MarkRun/privacy.html

Download MarkRun now and join the movement—get healthy, collect fragments, and support the planet!",2025-09-15T07:00:00Z,2025-11-05T02:23:29Z
cv,Cabo Verde,Health & Fitness,6013,9,6480417616,Cal AI - Calorie Tracker,Viral Development LLC,https://apps.apple.com/cv/app/cal-ai-calorie-tracker/id6480417616?uo=4,0.0,4.90475,21,Health & Fitness,"HOW TO USE CAL AI:

1) Answer lifestyle questions to build your plan

2) Snap a photo of your meal*

3) Get your nutritional breakdown*

If you want to get your dream body, Cal AI will help you get there with less time spent than anyone else.

We aren't another complicated diet app. We want to empower everyone to be confident in their bodies with minimal time spent, but you have to work hard. We will support you and give you the tools and information you need.

If you have any ideas or questions, please email us at team@calai.app.

NOTE: We do not offer medical advice. Any and all recommendations should be viewed as suggestions, please consult with a professional and do your own research before trying a new calorie and nutrient plan.

*FOOD SCANNING ANALYSIS RESULTS REQUIRE A SUBSCRIPTION
TERMS: https://www.apple.com/legal/internet-services/itunes/dev/stdeula/",2024-04-08T07:00:00Z,2025-11-18T20:13:13Z
cv,Cabo Verde,Health & Fitness,6013,10,1458351041,Carte Vitale,GIE SESAM-Vitale,https://apps.apple.com/cv/app/carte-vitale/id1458351041?uo=4,0.0,0,0,Health & Fitness,"L'appli carte Vitale est votre carte Vitale sur smartphone : un service numérique de l’assurance maladie téléchargeable gratuitement.

Elle ne remplace pas votre carte Vitale mais constitue une alternative.

POUR ACTIVER VOTRE APPLI CARTE VITALE, VOUS DEVEZ VERIFIER LES CONDITIONS SUIVANTES :
- Avoir 16 ou 18 ans suivant votre régime d’affiliation,
- Disposer d’une pièce d’identité autorisée, 
- Disposer d’un smartphone compatible.

Retrouvez toutes les conditions pour pouvoir bénéficier de l’appli carte Vitale sur www.applicartevitale.fr

UNE FOIS ACTIVEE, VOTRE APPLI CARTE VITALE PERMET : 
- de s’identifier, comme avec sa carte Vitale chez votre pharmacien, votre médecin, votre chirurgien-dentiste, votre infirmier, votre opticien…,
- de visualiser vos dépenses de soins réalisées avec votre appli carte Vitale,
- d'accéder à vos informations et à celles de vos bénéficiaires : numéro de Sécurité sociale, organisme obligatoire de rattachement, mais aussi d’autres informations telles que l’Identité Nationale de Santé.

L’équipement des professionnels de santé se fait progressivement.
Il est donc conseillé de toujours garder sa carte Vitale sur soi.

Pour connaître les professionnels de santé qui acceptent l’application, vous pouvez consulter l’annuaire santé disponible sur le site Ameli https://annuairesante.ameli.fr
Un affichage est présent chez les professionnels de santé équipés. N'hésitez pas à leur présenter votre appli carte Vitale. 

SECURITE ET RESPECT DE VOS DONNEES
- L’appli carte Vitale est développée de manière à garantir l’intégrité, la disponibilité et la confidentialité des données. Les traitements respectent le RGPD.
- Les données d’identification sont stockées uniquement dans le smartphone. Il est possible de les effacer à tout moment.
- L’appli carte Vitale est accessible avec une double sécurisation : un mot de passe de déverrouillage de votre appli carte Vitale qui vient s’ajouter au mot de passe de déverrouillage du smartphone.

L’application carte Vitale est développée par le GIE SESAM Vitale, qui est missionné par l’assurance maladie à la demande du ministère des Solidarités et de la Santé.
Plus d’infos sur www.applicartevitale.fr",2023-10-24T07:00:00Z,2025-11-18T05:00:16Z
