country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
cv,Cabo Verde,Travel,6003,1,368677368,Uber - Request a ride,"Uber Technologies, Inc.",https://apps.apple.com/cv/app/uber-request-a-ride/id368677368?uo=4,0.0,4.77763,751,Travel,"Join the millions of riders who trust Uber for their everyday travel needs. Whether you’re running an errand across town or exploring a city far from home, getting there should be easy.

FIND THE RIDE YOU WANT
Find the perfect ride right at your fingertips! Uber is here to make your journey stress-free and enjoyable, whether you're requesting a taxi for a trip or arranging a train journey.

Pick from a wide range of travel options that the Uber app has to offer including:
UberX: Affordable, everyday rides
Lux: Luxury cars with top-rated drivers for premium travel experiences
Electric: Sustainable rides in electric vehicles for eco-friendly trips
UberXL: Rides for groups up to 6, perfect for family trips
Comfort: Newer cars with extra legroom to enhance your travel
Uber Pet: Ride with your pet
Reserve: Choose your exact pickup time up to 90 days in advance for planned trips
Exec: High-end cars with top-rated drivers, ideal for business travel
2-wheels: You can also bike or ride a scooter with the Uber app. Find a scooter to start riding today for quick trips
Assist: Special assistance from trained drivers for accessible travel
Access: Wheelchair accessible vehicles ensuring inclusivity in travel
Black Cab: travel with the iconic London taxi

UPFRONT PRICING
With Uber, you no longer need to worry about hidden costs or unexpected surprises. As you enter your destination in the app, you get upfront pricing and the estimated time of arrival, whether it's a taxi ride or train. 

SAFETY TOGETHER
Safety is a top priority at Uber. We have established comprehensive safety features to help ensure every rider and driver feels secure and comfortable in their travel and on trips.

AFFORDABLE PRICING
We’re doing all we can to make our pricing as transparent as possible.
Split Fare: Don’t worry about doing the math later—split the cost evenly while you’re still on the ride.

JOIN UBER ONE FOR EXCLUSIVE PERKS
Benefit from £0 Delivery Fee and up to 5% off eligible delivery and pickup orders, 5-10% off eligible rides, and £5 credit if our Latest Arrival Estimate on your order is off. Other fees & terms apply. For more details see uber.com/uberone.

RESERVE RIDES IN ADVANCE
Need a ride at a specific time? No problem! Uber allows you to reserve rides in advance, so you can plan your day with confidence. Extra wait time included to meet your ride. Cancel at no charge up to 60 minutes in advance.

TRAVEL
Get train, coach, and flight ticketing right on the Uber app. Get 10% back in Uber Credits and collect Avios when you book train, coach, and Eurostar trips. No booking fee. Make any flight flexible and refundable and avoid flight travel stress with flight disruption protection.

GO GREEN
Uber is committed to building a sustainable future for our cities. With a growing fleet of electric and hybrid vehicles, you can choose eco-friendly rides to reduce your carbon footprint.

RENT CARS
Whether you need a car today or later, the online booking experience will help you find the right vehicle for a family vacation, a weekend getaway, airport travel, and more. Get great prices & selection from the best rental companies.

MORE FEATURES
Delivery: Order food from your favourite restaurants through Uber Eats. Stock up on groceries, shop pharmacy, convenience, and pet supplies, and get them all delivered.
Uber Boat: Get fast, reliable river boat services in London. For commuters and visitors. Routes run from 24 piers across the capital.
Uber for Business: Manage and track business travel, meal programs, and more on one dashboard.

Uber is available in the following cities: London, Manchester, Leeds, Glasgow, and more. Check if Uber is available in your city at https://www.uber.com/cities. Stay updated on the latest news, promotions, and offers by following us on Twitter at https://twitter.com/uber and liking us on Facebook at https://www.facebook.com/uber. Uber content/messages human- or machine-translated as per device settings; accuracy not guaranteed.",2012-06-02T02:20:10Z,2025-11-17T14:30:34Z
cv,Cabo Verde,Travel,6003,2,675033630,Bolt: Request a Ride,BOLT TECHNOLOGY OU,https://apps.apple.com/cv/app/bolt-request-a-ride/id675033630?uo=4,0.0,4.66303,276,Travel,"Make getting around easier with Bolt! Whether you need a ride across town, an airport transfer, or a scooter to zip through traffic, our app makes it easy to move around confidently and conveniently.

WHY CHOOSE BOLT?
- Request a ride in seconds: enjoy safe, affordable rides with top-rated drivers.
- Transparent pricing: see your fare upfront so there are no surprises.
- Multiple payment options: pay securely using a credit/debit card, Apple Pay, Google Pay, or cash.

EASY ORDERING:
- Open the app and set your destination.
- Choose from various ride types to suit your needs (Comfort, Premium, Electric, XL, and more).
- Track your driver in real time.
- Arrive in comfort and rate your experience.

SAFETY FIRST:
Some of Bolt’s safety features require the app to run in the background.

- Emergency assist button: discreetly alert our Safety Team in case of emergencies.
- Audio trip recording: record audio during rides for added peace of mind.
- Private phone details: your contact information stays confidential when you call a driver.

PLAN AHEAD:
Need an airport transfer or an early morning ride? You can schedule your trip in advance from 30 minutes to 90 days before your expected pickup time.

*JOIN BOLT PLUS TO UNLOCK PREMIUM FEATURES!
Get the best of Bolt with Bolt Plus. Enjoy exclusive perks that save you time and money, making every ride smoother and more convenient.

*BOLT DRIVE:
We're committed to our carbon net zero goal by 2040. That's why we're increasing the lineup of electric and hybrid cars in Bolt Drive, our car-sharing service. You can also rent Bolt scooters and e-bikes via the app.

*DELIVER PACKAGES
Use the 'Send' ride type to arrange fast and convenient parcel delivery in your city.

Bolt is available in 50 countries and 600+ cities worldwide (see the full list at https://bolt.eu/en/cities/). We rebranded from Taxify to Bolt in 2019.

Bolt is the perfect taxi alternative for fast, reliable, and affordable rides. The app provides a seamless ride-ordering experience whether you’re commuting, travelling, or running errands. So, the next time you need a ride, choose Bolt!

*Bolt options differ by location. Check the app for availability in your city.

Earn money driving with the Bolt Driver app. Sign up: https://bolt.eu/driver/

Questions? Get in touch via info@bolt.eu or at https://bolt.eu

Follow us on social media for updates, discounts, and offers!

Facebook — https://www.facebook.com/Bolt/
Instagram — https://www.instagram.com/bolt
X — https://x.com/Boltapp",2013-07-24T04:44:15Z,2025-11-17T08:08:41Z
cv,Cabo Verde,Travel,6003,3,6443825385,去趣 chicTrip,"HOTAI MOTOR CO., Ltd.",https://apps.apple.com/cv/app/%E5%8E%BB%E8%B6%A3-chictrip/id6443825385?uo=4,0.0,0,0,Travel,"每天都想出趣玩～秘境美景、好吃好玩、路順安排、交通移動，用去趣 chicTrip 一次搞定。一個你說什麼、就是什麼的APP，我們罩你的玩！！

【AI 安排順路線 新手也能簡單上手】
用 AI 自動幫你計算最順路的行程景點排序，多日旅遊也能輕鬆應對複雜的交通路線

【影音有感最直覺】
探索大量創作者們的影音分享，找尋美食餐廳、秘境景點、打卡美照，喜歡的就通通加到行程中！！

【新開幕店家 一鍵搜出】
想要吃喝玩樂通通不落人後？一鍵搜出所有最新開幕的店家、熱門景點

【輕鬆做出行程 匯出完美誠意】
只要在APP上做好行程安排，就能快速匯出分享給其他人，行程細節清楚又美觀

【交通訂車 一鍵掌控】
直接在 去趣 chicTrip 上訂車叫車，自助式租車（iRent）、機場接送（和運專車、yoxi 送機）、旅途中代步（yoxi 即時叫車、預約叫車）都可作為交通選項

【多人共編 分工超方便】
朋友易做旅伴難當？一起在APP上查景點、共編行程、安排時間、筆記攻略，分工搞定瑣碎的旅遊行前規劃

--------【下載 去趣 chicTrip】-------- 
官方網站：https://www.chictrip.com.tw/
意見回饋：service@chictrip.com.tw
追蹤我們：
IG https://www.instagram.com/chictrip.tw/
FB https://www.facebook.com/chicTrip.tw/

喜歡 去趣 chicTrip 的話，歡迎給我們最大的鼓勵與動力 ！！滿滿五顆星肯定！！

若遇到任何問題與操作建議，你們的心聲我們都有看見，歡迎在App內 > 會員中心，留言告訴我們唷！！",2023-06-29T07:00:00Z,2025-10-13T01:05:22Z
cv,Cabo Verde,Travel,6003,4,382233851,Flightradar24 | Flight Tracker,Flightradar24 AB,https://apps.apple.com/cv/app/flightradar24-flight-tracker/id382233851?uo=4,0.0,4.72538,721,Travel,"The world's best flight tracker app - #1 Travel app in over 150 countries.

Turn your iPhone or iPad into a live flight tracker and see planes around the world move in real-time on a detailed map. Or point your device at a plane to find out where it’s going and what kind of aircraft it is. Download for free today and discover why millions are already tracking flights and checking flight status with Flightradar24.

• Watch aircraft move around the world in real-time
• Identify flights overhead & see flight information—including a photo of the actual aircraft—by simply pointing your device at the sky 
• See what the pilot of an aircraft sees in 3D 
• Tap on a plane for flight details such as route, estimated time of arrival, actual time of departure, aircraft type, speed, altitude, high-resolution photos of the actual aircraft & more.
• See historical data & watch playback of past flights
• Tap on an airport icon for arrival & departure boards, flight status, aircraft on the ground, current delay stats, & detailed weather conditions
• Search and bookmark individual flights using flight number, airport, or airline
• Filter flights by airline, aircraft, altitude, speed, & more
• Get a detailed list of all flights in your area.
• View aircraft in 3D with hundreds of new aircraft and airline liveries added.

Flightradar24 is a free app and includes all the above features. If you want even more great features from Flightradar24 | Flight Tracker there are upgrade options—Silver & Gold—and each comes with a free trial.
 
SILVER

• 90 days of flight history
• More aircraft details
• More flight details, like vertical speed & squawk
• Filters and alerts to find and track flights
• Current weather at 3,000+ airports overlaid on the map
 
GOLD

• All the features included in Flightradar24 Silver +
• 365 days of flight history
• Detailed live map weather layers for clouds & precipitation
• Aeronautical charts & oceanic tracks showing the pathways flights follow across the sky
• Air traffic control boundaries that show which controllers are responsible for a flight
• Extended Mode S data— even more information about a flight’s altitude, speed, and wind & temperature conditions
 
If you choose to upgrade to a Silver or Gold subscription, a payment will be charged to your iTunes account at the end of the free trial period. Your account will be charged for renewal within 24 hours prior to the end of the current period. Auto-renewal may be turned off at any time by going to your account settings in the iTunes Store. Silver and Gold upgrade prices are listed in the app as they vary depending on your country and currency. Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable.

HOW IT WORKS

Most aircraft today are equipped with ADS-B transponders that transmit positional data. Flightradar24 has a rapidly growing network of 50,000 ground stations around the world to receive this data that then shows up as aircraft moving on a map in the app. In an expanding number of regions, with the help of multilateration (MLAT), we’re able to calculate the positions of aircraft that don’t have ADS-B transponders. 

CONNECT WITH US

We love getting feedback on FR24. Since we’re unable to respond directly to reviews, you can contact us directly and we’ll be happy to assist.
• Email (support@fr24.com)
• X (@Flightradar24)
• Facebook (@Flightradar24)
• YouTube (@Flightradar24DotCom)

DISCLAIMER

The use of this app is strictly limited to entertainment purposes. This specifically excludes activities that might endanger yourself or the lives of others. Under no circumstances will the developer of this app be held responsible for incidents resulting from the use of the data or its interpretation or its use contrary to this agreement.

Terms of Service: https://www.flightradar24.com/terms-and-conditions
EULA: https://www.apple.com/legal/internet-services/itunes/dev/stdeula",2012-06-03T00:46:10Z,2025-11-18T09:34:02Z
cv,Cabo Verde,Travel,6003,5,504270602,Ryanair,Ryanair Ltd.,https://apps.apple.com/cv/app/ryanair/id504270602?uo=4,0.0,4.57143,14,Travel,"With this App at your fingertips, Europe is at your feet.

We’re Ryanair, so of course you’ll find the lowest fares in Europe on our app. But you’ll also get handy extras like being able to check in while you’re on the move, a mobile boarding pass delivered straight to your phone and a choice of in-flight extras in one quick click.

So why are you still reading? Download it now and get flying!",2012-09-04T08:07:15Z,2025-11-19T18:30:06Z
cv,Cabo Verde,Travel,6003,6,6755140959,RoadSync Drive Companion,Orest Rudyk,https://apps.apple.com/cv/app/roadsync-drive-companion/id6755140959?uo=4,0.0,0,0,Travel,"Your vehicle deserves more than just occasional attention—it thrives on consistent care. This application transforms routine tracking into an engaging journey of automotive stewardship. Monitor every kilometer with precision, from spontaneous road trips to daily commutes. The integrated fuel log calculates consumption patterns, helping you optimize efficiency and reduce expenses over time. Scheduled maintenance alerts ensure your car receives timely service before minor issues escalate into costly repairs.

Visualize your driving habits through clean, accessible dashboards that highlight key metrics at a glance. The interface maintains perfect readability across all lighting conditions, with thoughtful animations that provide satisfying feedback for completed actions. All recorded data persists securely, allowing you to review historical patterns and make informed decisions about your vehicle's usage. Whether you're tracking a single car or managing multiple vehicles, the system adapts to your specific needs without overwhelming complexity.

Beyond mere record-keeping, this tool fosters a deeper connection between driver and machine. Watch as your driving history unfolds through organized trip logs, each journey preserved with location details and performance statistics. The maintenance scheduler acts as your personal mechanic assistant, while fuel expenditure reports reveal opportunities for savings. This comprehensive approach to vehicle management turns mundane tasks into moments of discovery, helping you become a more conscious and capable vehicle owner.",2025-11-12T08:00:00Z,2025-11-18T02:27:14Z
cv,Cabo Verde,Travel,6003,7,483568103,easyJet: Travel App,easyJet Airline Company Limited,https://apps.apple.com/cv/app/easyjet-travel-app/id483568103?uo=4,0.0,4.88889,27,Travel,"Wherever you’re going, take us with you.

Search, book and manage your flights anytime, anywhere.

SEARCH & BOOK FLIGHTS – Search and book a trip to your favourite European location.

MANAGE FLIGHT BOOKINGS - Keep track of your easyJet flight bookings all in one place.

MOBILE BOARDING PASSES – Use your mobile boarding pass to travel through the airport quickly, speed up boarding and reduce paper waste. You can store up to eight boarding passes per flight, which will be available offline, so you'll not need a data connection. For even more convenience, you can also save your boarding passes to Apple Wallet.

FLIGHT TRACKER – Track your plane's location in real-time. Plus, check the latest arrival and departure information. You also see your plane’s journey, live in the air, with the addition of the FlightRadar24 map.",2012-06-04T02:40:37Z,2025-10-27T14:01:42Z
cv,Cabo Verde,Travel,6003,8,551700536,Rede Expressos,"RNE - REDE NACIONAL DE EXPRESSOS, LDA",https://apps.apple.com/cv/app/rede-expressos/id551700536?uo=4,0.0,5,6,Travel,"Haven't you installed the Rede Expressos app yet? It's simple, intuitive and easy to use! Buy coach tickets with fewer clicks and in complete safety.

Don't forget to login with your RFlex to enjoy progressive discounts of up to 65% and numerous benefits.

The app is in constant update and there are foreseen new features soon!
 
Have a nice trip!",2012-08-29T23:59:11Z,2025-11-03T10:38:29Z
cv,Cabo Verde,Travel,6003,9,6473351686,Siko Translator-Multilingual,FOR MORE WORTH TECH LIMITED,https://apps.apple.com/cv/app/siko-translator-multilingual/id6473351686?uo=4,0.0,0,0,Travel,"Siko Translator is committed to providing comprehensive solutions to meet the diverse translation needs of users. It combines user's favorite image translation, text translation, audio translation and history recording functions into one, ensuring users can easily translate anytime, anywhere.
 
- Support multi-language translation, including English, French, Russian and other languages. Translations are accurate and reliable.
 
- You can use the camera to take pictures, and translate them by recognizing photos, so that you can get information more quickly.
 
- Through the audio translation function, it can help users travel and reduce communication barriers.
 
- For users learning foreign languages, text translation makes reading easy.

- The history record function is convenient for users to view and manage previous translation records at any time.

Subscribe Plan: $12.99/week
Contacts: fmwtechlimited@163.com
Privacy: https://trsw.sikotranspe.com/privacyPolicy.html
Terms: https://trsw.sikotranspe.com/termsOfService.html",2023-11-29T08:00:00Z,2025-11-13T22:36:20Z
cv,Cabo Verde,Travel,6003,10,635150066,Hilton Honors: Book Hotels,Hilton Worldwide Holdings Inc.,https://apps.apple.com/cv/app/hilton-honors-book-hotels/id635150066?uo=4,0.0,4.66667,3,Travel,"Book hotels through the Hilton Honors app for the best rates available. Earn Points when you stay at one of our 8000+ hotels around the world. Find hotels, manage your stays, redeem travel rewards, access your Digital Key, and so much more.

CHOOSE YOUR HOTEL ROOM
* Pick the room that's right for you in advance and check in the day before your stay for a contactless arrival, where you can skip the front desk completely.

UNLOCK YOUR DOOR WITH DIGITAL KEY
* Go straight to your room, tap the Hilton Honors app, and unlock your room door with your phone using Digital Key.

EARN REWARDS AND EXPLORE HOTEL OFFERS
* Book exclusive offers and earn Bonus Points for every stay. Track your Points, redeem them for a hotel booking, explore your benefits, and access your Hilton Honors card.

FIND HOTELS TO FIT YOUR TRAVEL NEEDS
* Browse hotels by popular amenities like pools, beach access, spas, golf, and more. Filter by hotel types from all-inclusive resorts, suites, pet-friendly, luxury, and boutique hotels.

BOOK YOUR HOTEL STAY
* Search for a hotel by city or near your current location, sorting by distance or price. Save your favorites for later and book direct for the best hotel rates available.

MANAGE YOUR HOTEL RESERVATIONS
* Access upcoming and past stays, see which services are available at the hotel, and discover the best things to do in your chosen destination, all in one place.

MAKE IT A CONNECTED ROOM
* Where available, stream your favorite music and entertainment on your room's TV using a virtual remote in the app.

CHECK OUT THROUGH THE APP
* In a rush to get going? Use the app for a quick, contactless check out and make it to your next destination on time.

CALL A LYFT
* Request a Lyft ride in the app during your stay and the hotel's location will automatically populate as your pick-up point (available in the United States and Canada only).

HILTON HONORS REWARDS & MEMBER BENEFITS:
* Whether you are on vacation, holiday, or business travel, earn Points with every hotel stay. 
* Redeem Points for free hotel nights, enjoy free Wi-Fi, and no charge for a second guest.
* Achieve Elite member status and get perks like free room upgrades, free continental breakfast, or a Daily Food & Beverage Credit.
* Access exclusive deals and offers with our travel partners.

HILTON. FOR THE STAY.
We believe that the heart of a great trip or vacation is a great stay. It goes without saying that your destination is important, but the stay is everything else and more. The sharing of joy. Those human moments that mean the world. It’s an attitude, an approach to travel and life. It's Hilton.

OUR BRANDS
Waldorf Astoria Hotels & Resorts, LXR Hotels & Resorts, Conrad Hotels & Resorts, NoMad, Signia by Hilton, Canopy by Hilton, Graduate by Hilton, Tempo by Hilton, Motto by Hilton, Hilton Hotels & Resorts, DoubleTree by Hilton, Curio Collection by Hilton, Tapestry Collection by Hilton, Embassy Suites by Hilton, Homewood Suites by Hilton, Home2 Suites by Hilton, LivSmart Studios by Hilton, Hilton Garden Inn, Hampton by Hilton, Tru by Hilton, Spark by Hilton, Hilton Grand Vacations, AutoCamp, Small Luxury Hotels of the World",2013-04-29T17:45:08Z,2025-11-18T18:04:03Z
