country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
cn,China,Developer Tools,6026,1,899247664,TestFlight,Apple Distribution International,https://apps.apple.com/cn/app/testflight/id899247664?uo=4,0.0,4.83235,12257094,Developer Tools,"TestFlight 可让你轻松测试 Beta 版 App 和轻 App，以在开发者将 App 发布到 App Store 前为他们提供有价值的反馈。开发者可通过电子邮件或公共链接邀请测试人员。

测试 Beta 版 App 或轻 App 时，Apple 会收集崩溃日志、使用信息和你提交的反馈并发送给开发者。开发者可能会使用此信息改进其 App 和相关产品。Apple 可能会使用崩溃日志和使用信息改进我们的产品和服务。

有关安装、测试和反馈提交的说明，以及数据处理方式的详细信息，请参阅 testflight.apple.com。",2014-09-09T22:23:57Z,2025-10-07T14:12:50Z
cn,China,Developer Tools,6026,2,1602054864,小鹰看看,Shenzhen VeePai IoT Intelligent Technology LLC,https://apps.apple.com/cn/app/%E5%B0%8F%E9%B9%B0%E7%9C%8B%E7%9C%8B/id1602054864?uo=4,0.0,4.72782,35061,Developer Tools,"小鹰看看，随时随地感受家在身边。
与智能摄像机配套使用的远程视频监控软件，可以帮助您在添加摄像机后随时查看家中的动态。
具有实时视频、报警推送、云存储/TF卡录像回放、双向语音对讲、拍照等功能。
APP操作简单，设计简约，体验良好，可以帮助您更方便的管理和使用。",2022-01-06T08:00:00Z,2025-10-30T02:04:09Z
cn,China,Developer Tools,6026,3,640199958,Apple Developer,Apple Distribution International,https://apps.apple.com/cn/app/apple-developer/id640199958?uo=4,0.0,3.02216,2527,Developer Tools,"欢迎使用 Apple Developer，这里提供了开发者新闻、各种功能和视频，还带来了极佳的 WWDC 体验。

• 随时掌握最新的 Apple 框架和技术。
• 浏览新闻、各种功能和开发者报道等内容。
• 回看过去活动的视频并下载供离线观看。
• 在支持的区域注册 Apple Developer Program。",2013-06-03T13:41:42Z,2025-09-02T17:00:48Z
cn,China,Developer Tools,6026,4,1312141691,Stream,Stream Lab Inc.,https://apps.apple.com/cn/app/stream/id1312141691?uo=4,0.0,4.19271,2963,Developer Tools,"在下载本 App 之前，希望你能够认真的阅读以下介绍。

1. Stream 面向对象为广大前端开发、客户端开发、后端开发、运维工程师、测试工程师以及具备一定网络分析能力的普通用户。
2. Stream 的目的仅用于网络调试，除此以外没有其他目的。同时，开启 Stream 需要您授权 VPN 权限。
3. Stream 不会上传任何用户数据，请放心使用，同时也期望信任我们的用户传播给业内人士。

如果您不认同以上的目的，不具备网络分析能力，或者对于敏感数据从心理上就不信任第三方 App，建议您慎重考虑后再下载。


功能介绍：

Stream 用于客户端本地抓包，仅用于QA&开发本地网络调试。只是利用了 iOS 9+ 的 Network Extension Api，其实不具备连接 vpn 的功能。

1. 抓取 HTTP&HTTPS 请求，其中 HTTPS 请求需要配置 CA 证书。
2. 访问抓包历史，预览请求体 (request body) 以及响应体 (response body)，目前支持文本/JSON/文件/表单。
3. 支持构建请求和请求重放。
4. 支持配置 Hosts，实现在电脑端的 Hosts 功能，用于前端开发以及移动端开发便捷的切换测试环境和线上环境。
5. 比较简单的支持打开 HAR 通用标准文件，可以将 Charles/Fiddler/Chrome/Firefox 等网络记录导出 HAR 然后在 Stream 打开并重放请求。
6. 完美适配 iPhone X 以及支持 iPad MutiTask。",2018-01-04T16:29:42Z,2020-04-06T19:00:38Z
cn,China,Developer Tools,6026,5,1437086352,CSDN-程序员计算机技术交友学习社区,"CSDN Network Technology Co., Ltd.",https://apps.apple.com/cn/app/csdn-%E7%A8%8B%E5%BA%8F%E5%91%98%E8%AE%A1%E7%AE%97%E6%9C%BA%E6%8A%80%E6%9C%AF%E4%BA%A4%E5%8F%8B%E5%AD%A6%E4%B9%A0%E7%A4%BE%E5%8C%BA/id1437086352?uo=4,0.0,4.81005,195303,Developer Tools,"CSDN——专业技术平台，成就一亿技术人。下载CSDN，您会享有全网最全代码资源、专业培训课程、一对一精品回答、最新行业资讯。
CSDN——程序员必备编程交流学习平台！现已接入DeepSeek R1满血版_AI搜索，解决程序员工作学习中遇到的问题，所有技术疑问都能在CSDN找到可被信赖的解答。汇聚各类技术领域专家及大牛专业解答，最新的技术开发信息解决方案和编程学习教程。

适用人群：互联网公司人士、极客、程序猿、白领、设计师、零基础编程爱好者、大学生；
主要技术方向：
【前端开发】HTML、CSS、JavaScript、 jQuery、WebApp、Node.js、Angular JS、Vue.js、Bootstrap、前端工具
【后端开发】PHP、Java、Linux、rust、Python、C、 C++、Go、C#、数据结构
【人工智能】机器学习、深度学习、计算机视觉、自然语言
【移动开发】iOS、Unity3D、Cocos2d-X 
【数据处理】MysQL、MongoDB、云计算、 Oracle、大数据、SQL Server 
【图像处理】Photoshop、Maya、Premiere、 ZBrush 
【工具资源】Git，GitHub，VS Code， Sublime Text


「自动订阅会员说明」
1、服务名称：CSDN VIP连续包月 (1个月)
2、价格：CSDN VIP连续包月产品为88元/月
3、购买自动订阅会员的账号，会在每个月订阅期到期前24小时，从您的iTunes账户中扣费，扣费成功后顺延一个订阅周期。
4、关闭服务:您可以在苹果手机“设置”-->进入“iTunes Store与App Store""-->点击“Apple ID”，选择""查看Apple ID""，进入“账户设置""页面，点击“订阅""管理自动订阅服务，如需取消，每个计费周期结束前24小时关闭即可，到期前24小时内则不再扣费。
5、服务协议：

「CSDN自动订阅服务协议」
https://blog.csdn.net/blogdevteam/article/details/118223688

「CSDN会员服务协议」

https://blog.csdn.net/blogdevteam/article/details/118223688

CSDN，致力于为中国软件开发者提供知识传播、在线学习、职业发展等全生命周期服务，并不断完善在移动端的学习体验，欢迎大家体验，提出宝贵意见~",2018-10-04T17:02:44Z,2025-11-15T11:09:15Z
cn,China,Developer Tools,6026,6,1610958307,Storm Sniffer - HTTP抓包工具,"Hunan Storm Technology Co.,Ltd",https://apps.apple.com/cn/app/storm-sniffer-http%E6%8A%93%E5%8C%85%E5%B7%A5%E5%85%B7/id1610958307?uo=4,0.0,3.25896,1340,Developer Tools,"Storm Sniffer 是一款 HTTP 抓包工具。
不用连接电脑就可以捕获并查看本机所有 HTTP / HTTPS 请求和响应，轻松调试应用程序的网络问题。

* 核心功能
抓包: 使用本地 VPN 从 iOS 设备捕获 HTTP / HTTPS 流量. 以文本形式查看 HTTP / HTTPS 请求和响应, 并支持HTML、JS、CSS 格式化预览;
重写: 实时修改 HTTP / HTTPS 请求和响应。包括URL重定向, 自定义Header, 本地/远程 文件MOCK等;
重放: 自定义执行 HTTP 请求, 并支持定时任务;
脚本: 可使用本地/远程 JavaScript 脚本实现更多扩展能力。

* 工作原理
Storm Sniffer 在设备上创建一个本地 VPN，然后将所有流量转发给本地中间人服务。只要 VPN 处于活动状态，Storm Sniffer 就可以通过Wi-Fi或蜂窝数据捕获所有 HTTP / HTTPS 流量。

* 关于敏感数据
Storm Sniffer 的根证书是在设备中生成的自签名证书。所有被捕获的 HTTP / HTTPS 请求和响应都存储在您的设备上，而不涉及任何远程服务器。

* 订阅说明
订阅后即可解锁全部高级功能，目前提供三种自动续订订阅方式:
连续包年 ￥118、连续包季 ￥28、连续包月 ￥12

* 用户协议
https://sniffer.x-storm.com/terms/

* 隐私政策
https://sniffer.x-storm.com/privacy/",2022-04-09T07:00:00Z,2024-07-14T23:46:03Z
cn,China,Developer Tools,6026,7,1353326686,Python编程狮-AI零基础高效学Python教程编译器,Xiamen Yidong Network Technology Company Limited,https://apps.apple.com/cn/app/python%E7%BC%96%E7%A8%8B%E7%8B%AE-ai%E9%9B%B6%E5%9F%BA%E7%A1%80%E9%AB%98%E6%95%88%E5%AD%A6python%E6%95%99%E7%A8%8B%E7%BC%96%E8%AF%91%E5%99%A8/id1353326686?uo=4,0.0,4.58663,5443,Developer Tools,"# 450万+Python编程达人的口碑之选
# 4000+全球五星评价
# 游戏化闯关“编程微课”+“编程实战”，给你不一样的编程学习方式；

Python编程狮是W3Cschool编程狮研发的专门为零基础Python编程爱好者打造的一款入门工具App，致力于帮助初学者入门，轻松迈入编程世界。学Python，从这里开始！

【零基础也能学】初学者从0到1，轻松入门；
【微课即学即练】游戏化闯关学习，学练结合，快速掌握；
【免费教程】内容、知识点丰富，完全免费；
【Python题库】在练习中巩固，查缺补漏；
【在线编译】手机端写代码，随时随地轻松实践；
【碎片化学习】每天30分钟，碎片化时间想学就学。

也许你需要勾搭其他学习的小伙伴，一起来个思维碰撞，或者寻求帮助，可以加我们的客服微信号加入相关学习小组~

● 客服微信号：bcshi666
● 电子邮箱：kefu@eeedong.com",2019-11-25T08:00:00Z,2025-07-16T01:36:52Z
cn,China,Developer Tools,6026,8,6450932949,ProxyPin - 全平台开源抓包软件,"Minimalist Network Co., Ltd.",https://apps.apple.com/cn/app/proxypin-%E5%85%A8%E5%B9%B3%E5%8F%B0%E5%BC%80%E6%BA%90%E6%8A%93%E5%8C%85%E8%BD%AF%E4%BB%B6/id6450932949?uo=4,0.0,4.60526,114,Developer Tools,"核心特性
手机扫码连接: 不用手动配置Wifi代理，包括配置同步。所有终端都可以互相扫码连接转发流量。
代理域名过滤: 只拦截您所需要的流量，不拦截其他流量，避免干扰其他应用。
脚本: 支持编写JavaScript脚本来处理请求或响应。
请求重写: 支持重定向，支持替换请求或响应报文，也可以根据增则修改请求或或响应。
请求映射: 不请求远程服务，使用本地配置或脚本进行响应
请求屏蔽: 支持根据URL屏蔽请求，不让请求发送到服务器。
搜索：根据关键词响应类型多种条件搜索请求
其他：收藏、历史记录、工具箱等",2024-09-19T07:00:00Z,2025-10-29T19:48:29Z
cn,China,Developer Tools,6026,9,1405459188,Scriptable,Simon Stovring,https://apps.apple.com/cn/app/scriptable/id1405459188?uo=4,0.0,4.73926,8821,Developer Tools,"Scriptable is an automation tool that enables you to write scripts that integrates with native features of iOS such as files, calendars, reminders, documents and much more.

An extensive support for widgets enables you to write your own widgets using JavaScript and run the scripts on your Home Screen. Your widgets can show any data and be customised to look just the way you want. 

With Siri Shortcuts you can present images, tables and more in Siri as well as making Siri read out loud a text when you run a script from a Siri Shortcut.

There's a growing gallery of scripts to get you started with Scriptable.

Here’s a few examples of scripts you can create:

- Ask Siri whether a web service is down.
- Create a widget that shows data from your weather station.
- Postpone the next event in your calendar half an hour.
- Check what is currently on TV.
- Manage a list of movies you would like to watch.
- Upload files to an image optimizer and store a URL to the optimized image.
- Receive a notification with the weather report every morning.
- Create todos with prefilled data in your favorite todo app using URL schemes.

Features include:

- Write and run JavaScript.
- Auto complete of variable names, functions, keywords and properties as you type.
- Access lots of native iOS features from your JavaScript code, including managing files, calendars, reminders, contacts, photos, location, pasteboard, web views and more.
- Create your own widgets. Your scripts run on the Home Screen without needing to open the app.
- Siri Shortcuts enabling you to present images, tables, websites, HTML and more in Siri as well as making Siri read out loud a text.
- Support for input and output parameters in Siri Shortcuts.
- Easily schedule rich notifications to run your scripts periodically.
- Work with files and directories from third party apps using File Bookmarks.
- Synchronise scripts to all of your devices using iCloud Drive.
- Scripts are stored as plain JavaScript files and can be browsed using the Files app.
- Assign one of over 800 glyphs and a color to a script to easily identify it in your directory of scripts.
- Run scripts directly on your Lock Screen and Home Screen using widgets.
- Run a script by 3D touching the app icon.
- Run a script from a share sheet and process the inputs.
- Schedule notifications and run a script directly from a notification.
- URL schemes enabling you to run scripts from other apps.
- Support for x-callback-url enabling advanced integration with other apps that support x-callback-url.
- Export and share scripts.
- Example scripts helping you get started creating your own scripts.
- Extensive documentation for all the native APIs you can use in your scripts. Available offline in the app and online on docs.scriptable.app.
- View the documentation in a separate window on iPad.
- Support for dark mode.
- Customise the editor to your liking.",2018-09-21T15:36:44Z,2024-09-30T10:29:59Z
cn,China,Developer Tools,6026,10,1583608120,VPN - 鹰眼加速器 - 畅游加速网络,"Guangzhou cuta Technology Co., Ltd.",https://apps.apple.com/cn/app/vpn-%E9%B9%B0%E7%9C%BC%E5%8A%A0%E9%80%9F%E5%99%A8-%E7%95%85%E6%B8%B8%E5%8A%A0%E9%80%9F%E7%BD%91%E7%BB%9C/id1583608120?uo=4,0.0,4.47932,8316,Developer Tools,"鹰眼加速器 - 为了高速稳定地访问网络而生的专业网络加速器

1、优质的加速质量。基于精品专线以及高性能节点，为用户提供专业优质的网络加速服务。
2、多场景网络加速。支持游戏、音乐、视频、直播、网课以及线上购物等各类应用场景。


【内购服务说明】
1、订阅周期：连续包周，连续包月，连续包季，连续包年。
2、订阅价格：以应用内套餐价格为准。
3、付款：用户确认购买并付款后计入ITunes帐户
4、产品服务相关协议

http://y1ii.com/about/privacy.html
http://y1ii.com/about/service.html",2021-10-26T07:00:00Z,2024-03-22T10:09:15Z
