country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
hr,Croatia,Sports,6004,1,1616481894,My MultiSport,Benefit Systems International S.A.,https://apps.apple.com/hr/app/my-multisport/id1616481894?uo=4,0.0,2.57143,7,Sports,"MultiSport is now digital!

*Please note that this app is in its early stages. You may encounter temporary issues while visiting facilities and registering visits digitally. If this occurs, please don't hesitate to contact us.

Additionally, once you activate your virtual card, your plastic MultiSport card will no longer be valid.

Switch to a virtual card within the app and use a QR code for check-ins at sports facilities.

Here's how:
1. Create a profile on MyMultiSport, or if you're already registered, simply log in.
2. Verify your mobile number.
3. Upload a picture of yourself.
4. Generate a QR code for digital entry to all MultiSport facilities!
5. Find your sport and the perfect place to stay active!

The app helps you locate all facilities where your MultiSport card can be used.

Explore various sports venues and find your ideal spot to exercise.",2022-08-10T07:00:00Z,2025-11-19T07:39:44Z
hr,Croatia,Sports,6004,2,6446788829,Apple Sports,Apple Distribution International,https://apps.apple.com/hr/app/apple-sports/id6446788829?uo=4,0.0,5,2,Sports,"Your real-time scores and stats app, fast and simple.

• As fast as a sports app can be. Get updates in real time with Live Activities on your Lock Screen or on match pages with odds, scores, play-by-play and more.
• Follow teams, leagues, divisions and tournaments, and personalise your home view in the app.
• Add a widget to your Home Screen to get quick access to scores and upcoming schedules.
• The best place to be a fan. Watch live matches on Apple TV or catch up on breaking stories with Apple News when you sync your sports.
• Includes Bundesliga, Bundesliga 2, Champions League, Conference League, EFL Championship, EFL Cup, Europa League, F1, FA Cup, FBS and FCS NCAA College Football, LaLiga, Leagues Cup, LIGA MX, Ligue 1, Ligue 2, Men’s College Basketball, Men’s Tennis, MLB, MLS, NASCAR, NBA, NFL, NHL, NWSL, Primeira Liga, Premier League, Segunda División, Serie A, Serie B, WNBA, Women’s Champions League, Women’s College Basketball and Women’s Tennis.

Requirements:
• Availability and features may vary by country, region or device.
• Apple Sports is free to use and is available for all iPhone models using iOS 17.2 or later.
• Features require internet access over a Wi-Fi or mobile data connection.",2025-11-17T08:00:00Z,2025-11-17T13:53:51Z
hr,Croatia,Sports,6004,3,899523365,Sporti,Super Sport d.o.o.,https://apps.apple.com/hr/app/sporti/id899523365?uo=4,0.0,4.72857,5191,Sports,"Sportska ponuda ti nikad nije bila bliže! Preuzmi SuperSport aplikaciju Sporti i pretvori užitak u dobitak. Aplikacija je besplatna, brza, sigurna i jednostavna za korištenje u igri na sportske događaje i događaje uživo, virtualne igre te loto.

Razlozi više zašto preuzeti Sporti aplikaciju:

Sport & Uživo
Uživaj u ponudi s više od 40 sportova uz najzanimljivije sportske događaje uživo 0-24h, uz brzo i jednostavno pretraživanje te izdvajanje omiljenih nadolazećih događaja.

Notifikacije
Nikad više ne propusti najbitnije trenutke utakmica i status svojih listića. 

Stadion & Chat
Inspiriraj se listićima drugih igrača i komentiraj aktualne sportske događaje.

SuperBuilder
Dokaži svoju viziju, izgradi svoj sportski događaj.

Bonusi
Nagrađujemo tvoje povjerenje, sportsko znanje i upornost. 

Videoprijenosi
Od videoprijenosa uzbudljivih sportskih trenutaka dijeli te samo jedan klik.

Rezultati
Pronađi sve rezultate sportskih događaja na jednom mjestu.

Statistika
Postani pravi sportski znalac uz detaljan uvid u opsežne statističke podatke.

Virtuali
Zabavi se uz virtualne utrke konja i pasa te virtualna sportska prvenstva.

Loto
Odaberi sretne brojeve i pretplati se jer novo kolo ide uživo svake 2 min.

Sigurna uplata
Sigurno i brzo uplati sredstva uz SuperSport bonove, gotovinske ostave, Mastercard, Maestro, Visu, Skrill te druge mogućnosti plaćanja.

Osobama mlađim od 18 godina zabranjeno je sudjelovati u igrama.",2014-09-07T12:30:16Z,2025-10-23T16:36:36Z
hr,Croatia,Sports,6004,4,1176147574,Sofascore: Live Sports Scores,SofaScore LTD,https://apps.apple.com/hr/app/sofascore-live-sports-scores/id1176147574?uo=4,0.0,4.91786,9715,Sports,"Stay ahead of every sporting moment with live scores, stats, and schedules. Follow the biggest leagues in the world, including the Premier League, Champions League, La Liga, Serie A, Bundesliga, Brasileirão Série A, and Ligue 1. Track every phase of the NBA, EuroLeague, NCAA, and top tennis tournaments like Wimbledon, Roland Garros, US Open, Australian Open, and the ATP & WTA Tours—all in one app.

Experience the Ultimate Live Score App—Sofascore! Your go-to destination for all scores, sports statistics, and a world of sports excitement! Whether you are a passionate sports fan or a serious football fantasy manager, we have everything, from simple live scores to deep statistics and detailed player analysis. We cover 25 sports (from football and tennis to darts and cricket) and more than 5,000 leagues and tournaments. With the Sofascore app, you won’t miss a thing!

Download Sofascore now and never miss another moment in sports! 

Why choose Sofascore?

• Fast & Precise: Instant notifications, flash scores, and results – enjoy the fastest updates on the planet
• Top Leagues: Stay atop elite competitions with live scores and fixtures & find a complete season overview
• Player Insights: Detailed stats on goals, player performances, and sports events – be the first to know
• Comprehensive Coverage: Dive into all the live scores and fixtures from top leagues and tournaments worldwide

Explore Extensive Sports Features:

• Statistical Ratings: Access over 300 statistics used by pros, news sites, and analysts for a comprehensive view
• Attribute Overview: Visualize key player attributes to gauge their completeness quickly
• Attack Momentum: Track match dynamics and team pressure intensity with a unique graph
• Box Score & ShotMap: Get the details of every match—every point, assist, and shooting pattern
• Power Graph: Witness the flow of matches, showcasing the dominance level of the winning player
• Heatmap: Visualize player movements on the pitch for every match and the entire season
• Head-to-Head: Compare teams and players head-to-head, analyzing their performance history and rivalry

Discover a wide range of sports, leagues and tournaments in the Sofascore live score app:

• Football - Premier League, UEFA Champions League, UEFA Europa League, Bundesliga, LaLiga, Serie A, Ligue 1, Brasileirão Série A, UEFA European Championshio (EURO), FIFA World Cup
• Basketball - NBA, EuroLeague, FIBA World Cup, Stoiximan Basket League, Serie A, Liga ACB
• Tennis - ATP Tour, WTA Tour, Grand Slams (Australian Open, French Open, Wimbledon, US Open), Davis Cup
• Table Tennis - ITTF World Table Tennis Championships, Table Tennis World Cup
• Ice Hockey - NHL, KHL, IIHF World Championship
• eSports - LoL, Dota 2, CS:GO 2
• Handball - IHF World Handball Championship, Bundesliga, EHF Champions League
• Volleyball - FIVB Volleyball World Championship, Nations League, Champions League
• Baseball - MLB, LMB, Pro Yakyu - NPB
• American Football - NFL, NCAA
• MMA - UFC, Bellator, KSW, Rizin, PFL
• Motorsport - Formula 1, NASCAR, MotoGP, WRC
• Cricket - ICC World Cup, Indian Premier League (IPL)

and the rest of the sports we cover - Rugby, Darts, Snooker, Futsal, Minifootball, Badminton, Aussie Rules, Beach Volleyball, Water polo, Cycling, Floorball, Bandy.

Privacy policy: https://www.sofascore.com/privacy-policy
Terms of use: https://www.sofascore.com/terms-and-conditions",2016-12-02T00:45:09Z,2025-11-20T18:55:35Z
hr,Croatia,Sports,6004,5,1242321076,Playtomic - Play padel,Playtomic S.L.,https://apps.apple.com/hr/app/playtomic-play-padel/id1242321076?uo=4,0.0,4.85385,130,Sports,"Discover Playtomic, the app that connects you with an ever-growing community of over 1 million players of padel, tennis, and other racket sports. Enjoy a unique experience with our intuitive and easy-to-use app, which was designed with you in mind.

Find like-minded players in our padel community. Whether you already have friends to play with or are just looking for new partners, Playtomic offers you the chance to connect with people from your club or other padel clubs nearby. What’s more, you can receive personalized recommendations and follow players in your community. The idea is to connect, play and have fun in a social setting! You can also chat with your playing partners and follow their progress too.

Easily organize your perfect match. Create private matches at your favorite padel club or an indoor padel court. Make them public so that other players can join in the fun or you can even join in with an already active match. You have total control over how you play. And if you need help booking a padel court, don’t worry. Playtomic has a wide network of padel clubs and over 16,000 courts worldwide, both indoor and outdoor. You can book a court that suits your needs and wishes. In addition, you will have the option to pay the court fees in full yourself or split them with the other players. A padel court can be yours in the blink of an eye!

If you’re looking for exciting padel leagues and tournaments, Playtomic is the place for you. Show off your talent, improve your game, climb the rankings, and have fun, all while meeting new players and checking out new clubs. It’s the ideal opportunity to grow as a player and dive into the passionate world of padel.

On Playtomic, you can easily and quickly keep track of your progress. Although advanced stats are available with our Premium subscription, even with a free account you can see basic data, such as matches played, won and lost, as well as your recent matches and results. If you want to take your experience to the next level, you can go Premium and unlock all of the exclusive functions.



///////////////////////////// UNLIMITED PREMIUM EXPERIENCE /////////////////////////////

Once you join Premium, you can enjoy a limitless experience. Save money on every transaction and avoid additional court booking fees. Furthermore, you will receive personalized priority alerts. You will be able to select which notifications you want to receive according to your preferences so that you stay up to date on matches, courts, and last-minute opportunities. Your time is money, and it is valuable to us too!

Effectively promote your matches and attract other padel players. Both matches that you create and those that you join will be marked as “Gold Matches”, which will allow other players to easily find them and join in the fun. And to make sure that you always find an available court, we will assign one to you immediately. Pretty cool, no?

Make the most of your performance data and get advanced padel stats. Check out detailed info on your performance, matches, sets, and other interesting metrics. Track your best winning streak, identify your most challenging opponent, and compare your performance with other padel players. 

Challenge yourself, improve your performance, and enjoy the full Playtomic experience. Subscribe now and don’t miss another exciting opportunity in the world of padel!",2017-11-02T11:21:17Z,2025-11-18T02:17:59Z
hr,Croatia,Sports,6004,6,1619337469,SportyPlus,Inspirium d.o.o.,https://apps.apple.com/hr/app/sportyplus/id1619337469?uo=4,0.0,3.75,48,Sports,"Sport Club Management Simplified with Sporty.Plus

Elevate your club's operations to new heights of profitability, efficiency, and simplicity while significantly enhancing member satisfaction and loyalty.

One application, a multitude of sports!
Sporty.Plus is not just for tennis clubs. Our versatile platform is designed for comprehensive management of both single-sport and multisport centers, accommodating Tennis, Padel, Squash, Pickleball, Badminton, Triathlon, and more — all within a single application.

How will Sporty.Plus transform your club?

Streamline operations, enhance member experiences, and significantly reduce staff workload.

Improve Member Experience
...by enabling effortless online booking for courts and classes, and providing easy access to membership details.
Optimize Financial Management
...through efficient tracking of income and expenses, streamlined invoicing and payments, and detailed financial reporting.
Boost Communication and Coordination
...with a centralized platform for scheduling, managing events and tournaments.
Gain Valuable Insights
...with data analytics on club usage and member activities, empowering managers to make informed operational decisions.
Increase Efficiency and Productivity
...by automating numerous administrative tasks, freeing up time for customer service.
Project a Professional Image
...with a well-organized system, enhancing the club's reputation and attracting new members.

Whether you manage a single sport club or a multisport complex, Sporty.Plus brings everything you need into one easy-to-use application, simplifying management and unlocking your club's full potential.",2022-05-26T07:00:00Z,2025-11-12T07:57:07Z
hr,Croatia,Sports,6004,7,6552159393,HNS SEMAFOR,HNS,https://apps.apple.com/hr/app/hns-semafor/id6552159393?uo=4,0.0,4.90137,1085,Sports,"Aplikacija HNS SEMAFOR obavještavat će vas o rasporedima, rezultatima, momčadskim postavama, događajima utakmica, statistici i drugim zanimljivim informacijama za svako službeno nogometno natjecanje u HRVATSKOM NOGOMETNOM SAVEZU. Pomoću aplikacije možete pratiti svoje omiljene momčadi, igrače ili utakmice, provjeravati njihove pojedinačne profile i primati obavijest kad god se događaj utakmice povezan s vašim favoritima, poput gola ili posljednjeg zvižduka, zabilježi u HNS sustavu COMET.

Utakmice
•	Početne postave momčadi, zamjene, treneri i službene osobe momčadi
•	Kronološki vremenski slijed događaja na utakmici, uključujući golove, žute i crvene kartone, zamjene, vrijeme početka i završetka svakog poluvremena, produžetke i penale
•	Dodatne informacije o utakmicama kao što su službene osobe utakmice, mjesto igranja, posjećenost i postava momčadi
•	Mogućnost praćenja utakmica u načinu rada u stvarnom vremenu

Natjecanja
•	Rezultati utakmica koje su već odigrane i raspored nadolazećih utakmica
•	Sveobuhvatna tablica / poredak za ligaška (round-rob) natjecanja, uključujući obrazac
•	Statistika natjecanja, uključujući najbolje strijelce, asistencije, žute kartone i crvene kartone, uključujući filtriranje po momčadi

Igrači
•	Prethodni nastupi s potpunim podacima o utakmicama
•	Lako razumljiva legenda u boji ishoda utakmice za igračev tim (Zeleno = pobjeda, žuta = neriješeno, crveno = gubitak)
•	Zbirna statistika igrača grupirana prema natjecanju, uključujući nastupe, odigrane minute, postignute golove, žute kartone i crvene kartone
•	Animirani prikaz konfeta na golove igrača i druge događaje na utakmicama, koji se zatim mogu podijeliti s prijateljima

Klubovi i timovi
•	Rezultati prethodnih utakmica, s potpunim podacima o utakmicama
•	Nadolazeći raspored
•	Lako razumljiva legenda u boji ishoda utakmice (zelena = pobjeda, žuta = neriješeno, crveno = gubitak)
•	Podaci za kontakt kluba/momčadi koje imaju poveznice na relevantne aplikacije instalirane na uređaju (telefonski poziv, klijent e-pošte, preglednik, Twitter, Facebook, Instagram, Karte)

Geolokacija
•	Prikaz karte svih utakmica odigranih na određeni datum pomoću stadiona Geolokacija i centrirana pomoću lokacije uređaja
•	Obojana legenda na temelju statusa utakmice (zeleno – uživo, žuto – odgođeno, crveno – otkazano, tamnoplavo – igrano, svijetloplavo – za igranje)
•	Izbor slojeva karata iz šest različitih opcija. Pametno grupiranje pinova ovisno o zumiranju karte.
•	Linkovi na aplikacije za karte instalirane na uređaju (kao što su Google karte) iz prikaza karte, kartice Informacije o podudaranju, kartice Kontakti kluba
Favoriti i obavijesti

•	Pretraživanje igrača, klubova ili natjecanja pomoću značajke samo dovršetka
•	Dodavanje utakmice, momčadi, igrača ili natjecanja u favorite radi praktičnog brzog pristupa u budućnosti
•	Primajte push obavijesti u stvarnom vremenu za sve događaje na svojim omiljenim utakmicama, na svim utakmicama svojih omiljenih timova, na svim utakmicama u omiljenim natjecanjima
•	Primajte push obavijesti u stvarnom vremenu na svim utakmicama na kojima je bilo koji od vaših omiljenih igrača u postavi
•	Svi detalji događaja utakmice sadržani su u obavijesti: minuta, vrsta događaja (gol, zamjena, žuti karton, crveni karton, završni zvižduk), igrač, klub i logotip
•	Kontekstualni zvukovi/upozorenja specifični za nogomet nakon primitka obavijesti o događaju utakmice
Ostale značajke

•	Dijeljenje bilo kojeg zaslona aplikacije s poveznicom na aplikaciju
•	Pristupite HNS novosti / vijesti iz aplikacije
•	Prilagodba prikaza izvora vijesti i postavki obavijesti",2024-10-08T07:00:00Z,2025-09-25T06:35:40Z
hr,Croatia,Sports,6004,8,766443283,Flashscore: Live Scores & News,Livesport s.r.o.,https://apps.apple.com/hr/app/flashscore-live-scores-news/id766443283?uo=4,0.0,4.87754,31178,Sports,"Your ultimate live scores and sports news app. Goals, scores, and stories, all on Flashscore. Follow all the latest highlights across the world of sport, including football, tennis, basketball, hockey and much more. Choose from 30+ sports and 6000+ competitions and our tailored notifications will let you know about every important action of the match. 
 
Download Flashscore now and read the game like no one else!

Key features:
• Fastest live results: Get real-time updates with detailed statistics, xG data, unique player and team ratings, live standings and match updates.
• In-depth sports news: Stay informed with exclusive interviews, transfer news & rumours, and in-depth data analysis.
• Personalized favourites: Receive top news notifications, goal alerts, and customized reminders for your favourite teams, competitions or matches.
• Follow your favourite players: Add them to your list and allow notifications so that you never miss their presence in the starting lineup, goals, bookings or ratings.
• Expert match previews: Access selected opportunities and stats to enhance your sports prediction accuracy.
• Predicted lineups: Stay one step ahead and find out who is likely to start in the upcoming match given current form, unexpected injuries or lineup changes.
• Detailed player stats: Check out expected goals (xG), expected assists (xA), the number of shots, passes, touches, chances created, tackles, saves and other key statistics for all the players that appear on the pitch.

LIVE SPORTS SCORES & NEWS, FAST AND ACCURATE

• SPEED: Whether a goal is scored, red card issued, set or period is over, you will know at the same time as the live audience.

• DATA-DRIVEN NEWS: Breaking news and detailed coverage with unique sports data visualizations, tactical insights, expert opinions or featured articles.

• GREAT COVERAGE: You can find football live scores, tennis scores, basketball results, hockey online, golf leaderboard and more than 30 other sports (snooker, baseball, MMA ...) in our app. 


Coverage of major global events & local competitions: 
Football: Premier League, Championship, League One, League Two, FA Cup, LaLiga, Serie A, Bundesliga, Champions League (UCL), Europa League, Europa Conference League, Club World Cup
Tennis: ATP/WTA Tour tournaments including Grand Slams (Australian Open, French Open, Wimbledon, US Open), ATP Finals, Davis Cup
Basketball: NBA, Euroleague, ACB, LNB, Lega A, World Cup
Hockey: NHL, DEL, SHL, IIHF World Championship
Darts: PDC World Championship, Premier League Darts, PDC Grand Slam, World Matchplay, UK Open, World Grand Prix
Golf: British Open (The Open), Masters, US Open, PGA Championship, Ryder Cup, Players Championship
Baseball: MLB, KBO, NPB, KBO, LVBP, LMB, World Baseball Classic
Snooker: World Championship, UK Championship, The Masters
Volleyball: SuperLega, Nations League, Nations League Women, CEV Champions League
Badminton: BWF World Championships, Thomas Cup, Uber Cup, Sudirman Cup
Darts: PDC World Championship, Premier League Darts, PDC Grand Slam
Motorsport: Formula 1 (F1), MotoGP, Moto2, Nascar, Dakar
MMA: UFC, Bellator MMA, KSW, Оktagon MMA, PFL, ONE Championship


NO MORE MISSED MATCHES OR UPDATES

• FAVOURITE TEAMS AND MATCHES: Don’t waste your time, and follow only your favourite matches, teams and competitions.

• NOTIFICATIONS AND ALERTS: Match starts, line-ups, goals - you will not miss any of it again. Just select your favorite matches and wait for your mobile device to let you know.


LIVE RESULTS, TABLES AND MATCH DETAILS

• LIVE COMMENTARY: Unable to watch the match on TV? No problem: stay up-to-date with our detailed live text commentary.

• LIVE TABLES: One goal can change a lot. Our live standings will show you if a scored goal has changed the league ranking, as well as the current top scorers table.


Terms of Use: https://livesport.eu/terms-of-use/en-gb
Privacy Policy: https://livesport.eu/privacy-policy/en-gb",2013-12-06T04:50:49Z,2025-10-30T12:25:25Z
hr,Croatia,Sports,6004,9,1447215452,HryFine,"Shenzhen United Power Technology Co., Ltd.",https://apps.apple.com/hr/app/hryfine/id1447215452?uo=4,0.0,3.07692,13,Sports,"****Hryfine bracelets are non-medical devices. The measurement data and results are for reference only, not for diagnosis and treatment. * * * * *

Special Reminder: APP data is for reference only and is not used as a medical diagnosis. You should consult your doctor before using APP and making any medical decisions.

1, Home Sports: record your exercise data, set exercise goals and calculate whether the goal is achieved, steps, distance, calorie consumption, etc.;

2. Sleep monitoring: it can record the sleep duration and sleep quality in the set period, and count the duration of deep sleep, light sleep and awake, so that you can improve the sleep quality;

3. When the phone searches for the bracelet, the bracelet vibrates. Find the phone through the bracelet, phone vibration and ring reminder, in case of loss.

4. It can remind the user of important information such as call, SMS, WeChat and so on when connecting with the bracelet, to prevent missing important information, etc.;

5. Set an intelligent alarm clock for the bracelet to remind you of sitting for a long time. The bracelet vibrates to remind you to reduce the problems caused by sitting for a long time

6, Remote control photography mode, anytime and anywhere to record the beautiful moment

7, statistics your daily, monthly, weekly exercise, sleep, data display at a glance

8. You can set the bracelet to turn the wrist to light up the screen and light up the screen easily

9. Sports data report: make statistics of your sports data and average data in the last 30 days, as well as your sports standards in the last seven days, and generate reports for easy viewing of sports trends",2018-12-19T07:49:20Z,2025-11-19T01:42:17Z
hr,Croatia,Sports,6004,10,6754331614,JB5,Bluelightsdigital Ltd,https://apps.apple.com/hr/app/jb5/id6754331614?uo=4,0.0,0,0,Sports,"The official Jude Bellingham app has arrived.  
Step into the world of Jude Bellingham like never before with his brand-new, free official app.  

Whether you're a lifelong fan or just discovering Jude’s journey, this app brings you exclusive behind-the-scenes content, real-time match updates, and in-game stats straight from the pitch.  

Key features: 
•	Exclusive content – Access behind-the-scenes footage of Jude’s life away from the spotlight.  
•	Matches - Receive real-time match updates, Jude’s upcoming fixtures and in-game stats. 
•	Partnerships – Discover Jude’s latest brand collabs and shop his official merchandise all in one place. 
•	Videos – View interviews, training clips and personal moments you won’t find anywhere else. 
•	Jude’s Journey – Relive the highlights, key milestones and unforgettable moments of Jude’s career so far. 
•	Multi-language – Enjoy a seamless experience in your preferred language – choose from English, French, German, Spanish and Brazilian Portuguese. 

Wherever you are in the world, the Jude Bellingham app puts you at the heart of his story.  

Download now and stay connected to every moment.",2025-11-18T08:00:00Z,2025-11-18T19:26:31Z
