country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
fi,Finland,Education,6017,1,570060128,Duolingo - Language Lessons,"Duolingo, Inc",https://apps.apple.com/fi/app/duolingo-language-lessons/id570060128?uo=4,0.0,4.54914,45265,Education,"Learn a new language with the world’s most-downloaded education app! Duolingo is the fun, free app for learning 40+ languages through quick, bite-sized lessons. Practice speaking, reading, listening, and writing to build your vocabulary and grammar skills.

Designed by language experts and loved by hundreds of millions of learners worldwide, Duolingo helps you prepare for real conversations in Spanish, French, Chinese, Italian, German, English, and more.

And now, you can learn Math and Music the Duolingo way!  

Build real-world math skills – from calculating tips to identifying patterns – and sharpen your mental math in our Math course.

Learn how to read music and play familiar songs on your device in our Music course – no instrument required.

Whether you’re learning for travel, school, career, family and friends, or your brain health, you’ll love learning with Duolingo.

Why Duolingo?
• Duolingo is fun and effective. Game-like lessons and fun characters keep you motivated to build solid skills across language, math and music.

• Duolingo works. Designed by learning experts, Duolingo has a science-based teaching methodology proven to foster long-term knowledge retention.

• Track your progress. Work toward your learning goals with playful rewards and achievements when you make practicing a daily habit!

• Join 300+ million learners. Stay motivated with competitive Leaderboards as you learn alongside our global community.

• Every course is free. Learn Spanish, French, German, Italian, Russian, Portuguese, Turkish, Dutch, Irish, Danish, Swedish, Ukrainian, Esperanto, Polish, Greek, Hungarian, Norwegian, Hebrew, Welsh, Arabic, Latin, Hawaiian, Scottish Gaelic, Vietnamese, Korean, Japanese, English, and even High Valyrian. And now, learn Math and Music with our newest courses!

What the world is saying about Duolingo:

“Far and away the best language-learning app.” –The Wall Street Journal

“This free app and website is among the most effective language-learning methods I’ve tried… lessons come in the form of brief challenges – speaking, translating, answering multiple-choice questions – that keep me coming back for more.” –The New York Times

“Duolingo may hold the secret to the future of education.” – TIME Magazine

“…Duolingo is cheerful, lighthearted and fun…” - Forbes

“Our favorite language app…” - CNET

If you like Duolingo, try Super Duolingo for 14 days free! Learn a language fast with no ads, and get fun perks like Unlimited Hearts and Monthly Streak Repair.

If you choose to purchase Super Duolingo, payment will be charged to your Apple account, and your account will be charged for renewal within 24-hours prior to the end of the current period. Auto-renewal may be turned off at any time by going to your settings in the App Store after purchase. Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable.

Privacy Policy: https://www.duolingo.com/privacy
Terms of Service: https://www.duolingo.com/terms",2012-11-13T08:00:00Z,2025-11-18T14:12:41Z
fi,Finland,Education,6017,2,1197211315,Arttu,Sanoma Pro Ltd,https://apps.apple.com/fi/app/arttu/id1197211315?uo=4,0.0,2.16983,842,Education,"Arttu – Learn and Revise Easily
Discover the Arttu app, which brings learning materials to life!
Scan a page from your textbook and open related videos, animations, articles, and audio recordings.
Features:
• Easy to use without logging in.
• Interactive content: open videos, animations, and supplementary materials directly from your textbook.
• Some series include an advanced reading program to support learning, helping students read and understand the text better.
Why choose Arttu?
• A unique learning experience that combines traditional learning with modern technology.
• A user favorite: “Arttu has made learning fun and easy!”
• Takes up very little storage space.",2017-01-23T20:43:38Z,2025-10-14T12:13:37Z
fi,Finland,Education,6017,3,1131203560,Kahoot! Play & Create Quizzes,Kahoot ASA,https://apps.apple.com/fi/app/kahoot-play-create-quizzes/id1131203560?uo=4,0.0,4.163,681,Education,"Play engaging quiz-based games (kahoots) at school, at home and at work, create your own kahoots and learn something new! Kahoot! brings the magic of learning for students, teachers, office superheroes, trivia fans and lifelong learners.
 
Here’s what you can do with the Kahoot! app, now available in English, Spanish (LATAM), French, German, Italian, Brazilian Portuguese, Japanese, Dutch, Turkish, Polish, Arabic, Simplified Chinese, Traditional Chinese, Norwegian, Swedish, Danish, Ukrainian and Korean:
 
Students
- Study with unlimited free flashcards and other smart study modes
- Join kahoots hosted live - in class or virtually - and use the app to submit answers
- Complete self-paced kahoots
- Study at home or on the go with flashcards and other study modes
- Compete with friends in study groups
- Challenge your friends with kahoots you found or created
- Create your own kahoots and add images or videos
- Host kahoots live for family and friends directly from your mobile device
 
 
Families and friends
- Find a kahoot on any topic, fit for any age
- Host a kahoot live by sharing your screen to Apple TV or via video conferencing apps
- Play a live kahoot using SharePlay. Start a FaceTime call and select the kahoot you want to play. No host is required - everyone can participate!
- Engage your kids with studying at home
- Assign a kahoot to challenge family members and friends
- Create your own kahoots and add different question types and image effects
 
Teachers
- Search among millions of ready-to-play kahoots on any topic
- Create or edit your own kahoots in minutes
- Combine different question types to increase engagement
- Host kahoots live in class or virtually for distance learning
- Assign student-paced kahoots for content review
- Assess learning outcomes with reports
 
Company employees
- Create kahoots for e-learning, presentations, events and other occasions
- Encourage audience participation with polls and word cloud questions
- Host Kahoot! live in person or in a virtual meeting
- Assign self-paced kahoots, for example, for e-learning
- Assess progress and results with reports
 
Premium features:
Kahoot! is free for teachers and their students, and it’s our commitment to keep it that way as part of our mission to make learning awesome. We offer optional upgrades that unlock advanced features, such as an image library with millions of images and advanced question types, such as puzzles, polls, open-ended questions and slides. To take advantage of these features, users will need a paid subscription.
 
To create and host kahoots in a work context, as well as get access to additional features, business users will need a paid subscription.
 
Recurring billing, cancel anytime
- Payment will be charged to your iTunes account at confirmation of purchase.
- Subscription automatically renews unless auto-renew is turned off at least 24 hours before the end of the current period.
- Account will be charged for renewal within 24 hours of the end of the current period, and the cost of the renewal will be provided.
- Subscriptions may be managed by the user. Auto-renewal may be turned off by going to the user’s Account Settings after purchase. No cancellation of the current subscription is allowed during the active subscription period.
- Any unused portion of a free trial period, if offered, will be forfeited when you purchase a subscription.
 
Privacy Policy: https://kahoot.com/privacy
Terms and conditions: https://kahoot.com/terms",2016-09-20T00:26:41Z,2025-11-19T16:56:17Z
fi,Finland,Education,6017,4,937159637,Wilma,Visma Aquila Oy,https://apps.apple.com/fi/app/wilma/id937159637?uo=4,0.0,2.77979,29167,Education,"Visma’s official Wilma app is essential for teachers, students, and guardians alike. The functions needed for the daily basic use of Wilma are at your fingertips!

The Wilma app lets you read and write messages and view the schedule, homework, exams, lesson notes, and announcements. Guardians can verify absences and notify of their child's absences in advance.

The app works without a separate login once you have added a user account. 
- The easiest way to add a user account is by logging into Wilma with a computer browser, scanning the QR code with your phone in the app, and entering your Wilma password. 
- Alternatively, you can add a user account manually by selecting your municipality's or school's Wilma in the app and entering your username and password.

If you have multiple Wilma accounts, you can add them all to the app — you get all the information conveniently in one place, even if you have Wilma accounts from different municipalities or educational institutions.

Features:
- Get notified about new messages and lesson notes
- Read and write messages
- Read announcements
- View your schedule
- See course information: homework, exam dates, and lesson notes
- Handle absences individually and in bulk
- Report absences in advance
- Book care times in early childhood education (in municipalities that have purchased this service)
- Support for offline mode: if a network connection is unavailable, you can still check your schedule, read messages, and more.

The app does not include all the functions featured in the web browser version of Wilma.",2014-12-16T15:02:05Z,2025-10-21T13:54:25Z
fi,Finland,Education,6017,5,811129591,WordDive: Learn a new language,WordDive Oy,https://apps.apple.com/fi/app/worddive-learn-a-new-language/id811129591?uo=4,0.0,4.80844,7058,Education,"WordDive: Learn a new language

Learn a new language quickly! You can choose from English, Spanish, Swedish, German and more.

Learn English, Spanish, French, Italian, German, Russian, Swedish, Finnish and Estonian. 
With WordDive, you can break the language barrier in 63 hours!

You can try WordDive for 7 days completely free! After the free trial period, the monthly subscription costs 10.99€ / month.

WordDive is a Finnish language-learning app that’ll help you learn real-life language skills quickly. The learning process is based on WordDive's patented multisensory and individually paced learning method. All learning material is created by Finnish language teachers and proofread and recorded by native speakers. 

• Choose a language: English, Spanish, French, Italian, German, Russian, Swedish, Finnish or Estonian.
• Learn the most common vocabulary and essential grammar permanently.
• The material is created by Finnish language teachers.
• The language courses are based on the Common European Framework of Reference for Languages (CEFR).
• You can practice on several different devices: the results are saved automatically.

Start today and break the language barrier!

How does WordDive work?

With WordDive, you’ll learn by reading, writing, listening and speaking. The learning algorithm optimises the pace of the exercises individually so that the study items are transferred from working memory to long-term memory. This is what we call permanent learning.

Permanent learning means that you’ll learn vocabulary and the most important grammar topics by heart. It requires you to write what you’re learning correctly, without listening, on at least two separate days. Once you’ve learned the basics of the language permanently, your confidence in using it increases and your language skills start improving rapidly. 

The learning material is divided into skill levels and courses of approximately 40–60 study items. Following the clear and ready-made learning path is easy. You don’t have to worry about planning your studies – you can just enjoy learning. 

By real life language skills, we mean understanding the language you’re studying and being able to have spontaneous conversations with native speakers. With WordDive, you’ll reach a sufficient level of proficiency and learn things you need on the road, at work and in other practical situations!

Who is WordDive for?

WordDive is great for motivated adults who have full calendars and can’t always get to a specific classroom at a specific time. Everyone can choose a starting level that suits them and practice anywhere. 

Whether you want to learn the basics of Spanish for your holiday or hone your English skills for work, WordDive is the right choice. 

Why do I need to pay for WordDive?

• All learning material is created by Finnish language teachers and proofread and recorded by native speakers.
• No ads will distract you from learning.
• Our maintenance and customer service are there for you every day of the year.

Here's how to reach us:

For help using WordDive, please contact info@worddive.com.
More information about the service can be found on our website: www.worddive.com/en/
Follow WordDive on Facebook: https://www.facebook.com/WordDive 
Instagram: https://www.instagram.com/worddive",2014-02-10T02:22:15Z,2024-03-26T07:14:17Z
fi,Finland,Education,6017,6,546473125,Quizlet: AI-powered flashcards,Quizlet Inc,https://apps.apple.com/fi/app/quizlet-ai-powered-flashcards/id546473125?uo=4,0.0,4.57346,7024,Education,"Welcome to a new era of AI-enhanced studying with Quizlet. Immerse yourself in any subject imaginable, where you can choose from over 700 million digital flashcard sets or create your own. As the number 1 AI-enhanced learning platform, Quizlet offers personalised quizzes and practice tests, expert-written homework solutions and transformative AI study tools. Join a community of over 300 million learners who have improved their results and achieved their goals with Quizlet.

With the Quizlet app, students and teachers can:
Upload class notes to make flashcards, practice tests and essay prompts with Magic Notes
Create flashcard sets or search from millions of flashcards created by other students and teachers
Turn flashcards into formative assessments or interactive flashcard games
Use Learn and Test modes to transform flashcards into quizzes and practice tests 
Retain material in the long term with spaced repetition
Crush tough homework problems with expert-written solutions 

Download the app today and join a community of over 300 million learners worldwide. 
Upgrade to Quizlet Plus and get complete access to homework help, personalised study modes and ad-free studying.

What our students say when they leave 5-star reviews:

“Best study app ever!!”
“The only app I use when I need to study seriously.”
“Quizlet is by far the best studying app I’ve downloaded. It’s packed full of different ways to study for upcoming tests!”

Quizlet Plus subscriptions will be charged to your iTunes account.

Your monthly or annual subscription will be renewed automatically unless cancelled at least 24 hours before the end of the current period. Manage your subscriptions in your Account Settings after purchase. 

Terms of service: https://quizlet.com/tos
Privacy policy: https://quizlet.com/privacy",2012-08-09T04:32:24Z,2025-11-18T17:25:06Z
fi,Finland,Education,6017,7,1208138685,Toca Boca World,Toca Boca AB,https://apps.apple.com/fi/app/toca-boca-world/id1208138685?uo=4,0.0,3.98633,9000,Education,"Hi, and welcome to Toca Boca World! It’s the ultimate universe for kids to play, design, and explore their endless imaginations. This isn't just a game, it's a safe space where every story is yours to create, and the fun never stops.

Toca Boca World is where creativity takes centre stage:
• Unleash your inner storyteller: Roleplay in a universe you've created, where you can tell your own stories. Become a teacher, a vet, or even an influencer.
• Design your dream world: Bring your best friends to life with Character Creator. Customise hair, faces, and accessories to make up your own style! Use the intuitive Home Designer tool, and you're the architect! Decorate your own house, supermarket, campervan, or any of our constantly updated locations with the furniture and colours you love.
• Explore and discover a game of secrets and surprises: Find hundreds of hidden gems in the game! From jewels and crumpets to unlocking secret rooms, there’s always something new and exciting to uncover.
• Fresh content, always: Toca Boca World is an endless universe that keeps growing! Discover new locations and content updated every month, there's always more to explore.
• Friday is gift day! Pop into the Post Office to collect the gifts we’ve sent you on the conveyor belt, including decorations, furniture, and even pets! Keep an eye out for Gift Bonanzas where we give away a LOT of items from previous years.

More than 60 million girls and boys play on Toca Boca World, the very first game of its kind – that's a LOT of kid-testers making sure the fun never ends!
• Press play! Download Toca Boca World now and dive into an endlessly fun universe. Furnish your first apartment in Bop City, buy housewarming items for your Free Family House and don’t forget to get your hair done before the party with characters you’ve created!
• Expand your world: You can build a bigger Toca Boca World with all the stuff available in the in-app shop! Play your best influencer life in the Megastar Mansion, take care of animals in the pet hospital, or just relax in Bubble Bop Spa with your friends!
• A safe and secure play environment: At Toca Boca, we believe in the power of play above all else. Toca Boca World is a single-player kids’ game, COPPA compliant, and designed as a secure platform where you can explore, create, and play freely without interruptions. That’s our promise to you!
• Award-winning fun: Recognised as App of the Year 2021 and an Editor's Choice, Toca Boca World is praised for its quality and dedication to kids’ safety, and continues to evolve to be better and better!
• No ads, ever: Toca Boca World will never show third-party ads. We’ll never interrupt your game with adverts. Play always comes first!
• About us: Our fun, award-winning kids’ game can be downloaded on phones, tablets and computers for free. We also offer in-app purchases for our most dedicated fans, which allows us to build a game with a focus on quality that is completely ad-free and 100% safe. We take privacy very seriously, learn more at https://tocaboca.com/privacy.

• Stay connected! Discover our latest updates and collaborations by following us on social media:
https://www.instagram.com/tocaboca/
https://www.youtube.com/@tocaboca
https://www.tiktok.com/@tocaboca?lang=en-GB",2018-11-21T18:39:24Z,2025-11-13T15:32:53Z
fi,Finland,Education,6017,8,983249202,Sanoma Pro Sanastot,Sanoma Pro Ltd,https://apps.apple.com/fi/app/sanoma-pro-sanastot/id983249202?uo=4,0.0,2.71537,397,Education,"Ilmainen sanastosovellus tarjoaa Sanoma Pron vieraiden kielten oppimateriaalien aakkoselliset sanastot ja lisäksi kappalekohtaisia kääntökortteja, joilla sanakokeisiin harjoittelu onnistuu vaikka bussimatkalla kouluun.

 

Aakkosellinen sanasto ja kääntökortit toimivat vieraasta kielestä suomeen ja päinvastoin. Opiskelija voi harjoitella tietyn osion sanoja, kunnes hän osaa ne. Haluttaessaan hän voi harjoitella uudelleen vain niitä sanoja, joita hän ei edellisellä kerralla osannut.

 

Osassa lukion materiaaleista sovellus korvaa painettujen kirjojen aakkoselliset sanastot.

 

Sovellus tarjoaa sanastot useisiin ala- ja yläkoulun sekä lukion sarjoihin. Lisäksi valikoimassa on aikuis- ja ammattiopetukseen tarkoitettujen materiaalien sanastoja.",2015-08-05T01:07:12Z,2025-11-20T04:31:28Z
fi,Finland,Education,6017,9,1624701477,Praktika – AI Language Tutor,Praktika.ai Company,https://apps.apple.com/fi/app/praktika-ai-language-tutor/id1624701477?uo=4,0.0,4.65269,1097,Education,"Ready to immerse yourself in a groundbreaking English, Spanish, Japanese, Korean, French, Portuguese, Portuguese (Brazilian), Italian and German learning experience?

Dive into Praktika and meet your ultra-realistic AI Avatars — your personal language companions for mastering real-world conversation.

Praktika’s avatars aren’t just digital characters — they’re designed with full backstories, cultural depth, and natural accents (American, British, Latin American, and more) to simulate truly human-like interaction. Every session with your avatar feels like speaking with a real person who listens, guides, and helps you grow.

What Makes Praktika Different?
Unlike other language apps that rely on memorization and repetition, Praktika makes language acquisition feel natural. You don’t just study — you engage in conversation. You listen, speak, and respond like you would in real life. Our avatars give you space to practice without fear of judgment or awkward exchanges.

We’ve also added Multimodality, a next-gen learning tool that lets you upload and interact with real content. Share photos, audio, videos, or documents to spark conversations or receive corrections. Use an image of your surroundings to practice vocabulary, or upload your resume to get instant pronunciation coaching on job interviews. It’s the closest thing to having a real tutor with you 24/7.

Simple Pricing
Praktika is free to download, and getting started is easy. Unlock powerful speaking tools, advanced feedback, and avatar-led lessons — all for less than the cost of a single tutoring session.

What You’ll Get:
AI Avatars – Learn through human-like conversations with avatars that adapt to your tone, pace, and goals.
Courses for All Levels – 1000+ lessons including academic prep (IELTS, TOEFL), lifestyle, travel, career paths, and slang.
Practical Conversation Topics – Role-play as a sports commentator, startup founder, or tourist.
Multimodal Learning – Upload photos, PDFs, and voice notes for personalized lessons.
Fluency Tracking – See real progress with speaking metrics, streaks, and in-app challenges.
Localized Avatars – Select coaches from different regions to match your cultural or accent goals.

Meet a Few of Our Avatars
Alisha – Friendly U.S. English tutor, Stanford grad, inclusive and motivating.
Alejandro – Spanish-English tutor from Barcelona, sporty and approachable.
Marco – American news editor, great for professional tone and interview prep.
Charlie – British culture lover, witty and sharp.
Valentina – Mexican Spanish tutor, loves music, dance, and warm conversations.
Lucía – Soft-spoken Spain-based tutor, perfect for literary and academic tone.

Sample Topics
IELTS & TOEFL • Architecture • Art • Business • Car Brands • Cinema • Cuisine • Economic Growth • Education • Environmental Issues • Festivals • Film • Food • Football • Geography • Health • History • Immigration • Influencers • Literature • Music • Natural Wonders • Pop Culture • Relationships • Startups • Science • Shopping • Street Art • Technology • TV Shows • Tourism • UFC • Wildlife... and many more added monthly.

Languages Available
English
Korean
Japanese
Spanish
French
Portuguese
Portuguese (Brazilian)
Italian
German

Why Learners Love Praktika
Realistic AI avatars for immersive practice
Personalized pronunciation and fluency feedback
Multimodal learning with photo, video, and audio uploads
Courses for all levels and goals
Real progress tracking and fluency insights

Praktika is on a mission to break language barriers for the next billion learners. With the power of AI, personalization, and multimodal tools, we believe anyone can develop fluency through real-world conversation. It’s more than just learning — it’s transformation. Download Praktika today and start your journey to confident, fluent communication.

Support: support@praktika.ai
Terms: https://praktika.ai/terms
Privacy: https://praktika.ai/privacy",2022-05-25T07:00:00Z,2025-11-20T17:40:38Z
fi,Finland,Education,6017,10,1128326282,Tuudo,Tuudo Oy,https://apps.apple.com/fi/app/tuudo/id1128326282?uo=4,0.0,2.67391,138,Education,"One App for Smoother Student Life
 
Tuudo is an all-in-one student app that makes everyday life easier and serves as a gateway to valuable benefits and the best job opportunities.
 
With just one login, Tuudo gives you access to all the essential services for your studies – your personal timetable, completed courses, restaurant menus, and much more. But Tuudo’s benefits are not limited to just study services – you’ll also find great student discounts and job opportunities tailored for students!",2016-09-06T06:35:52Z,2025-11-22T18:47:58Z
