country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
gd,Grenada,Photo & Video,6008,1,1500855883,CapCut - Photo & Video Editor,BYTEDANCE PTE. LTD.,https://apps.apple.com/gd/app/capcut-photo-video-editor/id1500855883?uo=4,0.0,4.55652,115,Photo & Video,"CapCut offers easy-to-use video editing functions, in-APP fonts and effects, advanced features such as keyframe animation, smooth slow-motion, chroma key, and stabilization, to help you capture and snip moments.

Create fancy videos with other unique features: auto captions, text-to-speech, motion tracking, and background removal. Show your personality and go viral on TikTok, YouTube, Instagram, WhatsApp, and Facebook!

FEATURES
Basic video editing
• Trim and shorten clips and split or merge videos.
• Adjust video speed from 0.1x to 100x, and apply speed curves to clips.
• Animate video clips with incredible zoom in/out effects.
• Highlight the best moments with the freeze feature.
• Explore transition options with awesome effects on and between clips.

Advanced video editor
• Keyframe video animation is available for all settings.
• Edit videos to create smooth slow-motion with the optical flow feature and speed curve tool.
• Use the chroma key to remove specific colors from videos.
• Easy to arrange and preview clips on multi-track timeline.
• The stabilizing feature keeps video footage steady.

Intelligent features
• Auto captions: automate speech recognition and subtitles in videos.
• Text-to-speech: apply text-to-speech in multiple languages and voices.
• Background removal: automatically remove backgrounds.

Text & Stickers
• Add text to videos with different fonts and styles, choose unique text templates. Fonts can be imported locally.
• Subtitles can be added to the timeline of video tracks and can be moved and adjusted in one step.

Trending Effects & Filters
• Match video content with diverse filters that are updated weekly with the latest trends.
• Edit videos with hundreds of trending effects, including Glitch, Blur, 3D, etc.
• Add movie-style video filters or adjust video brightness, contrast, etc.

Music & Sound Effects
• Add millions of music clips and sound effects to videos.
• Extract audio, clips, and recordings from videos.

Easy to Share
• Custom video export resolution, HD video editor supports 4K 60fps exports and smart HDR.
• Adjust the format and share with your friends on social media platforms.

CapCut is an all-in-one video editor and video maker application with everything you need to create stunning, high-quality videos. Beginners can get started with CapCut in a matter of seconds, while advanced users can enjoy all the functions they need to edit videos. 

Terms of Service —
https://www.capcut.com/clause/terms-of-service

Privacy Policy —
https://www.capcut.net/clause/privacy

Contact Us
Any questions about CapCut? Please contact us at capcut.support@bytedance.com.
Facebook: https://www.facebook.com/capcutapp
Instagram: https://www.instagram.com/capcutapp
YouTube: https://www.youtube.com/capcutofficial
TikTok: https://www.tiktok.com/@capcut",2020-04-14T07:00:00Z,2025-11-21T06:41:15Z
gd,Grenada,Photo & Video,6008,2,447188370,Snapchat: Chat with friends,"Snap, Inc.",https://apps.apple.com/gd/app/snapchat-chat-with-friends/id447188370?uo=4,0.0,4.58122,277,Photo & Video,"Snapchat is a fast and fun way to share the moment with your friends and family 

SNAP
• Snapchat opens straight to the camera – just tap to take a photo or press and hold for video. 
• Express yourself with Lenses, Filters, Bitmoji and more! 
•Try out new Lenses created daily by the Snapchat community!

CHAT
• Stay in touch with friends through live messaging or share your day with Group Stories. 
• Video chat with up to 16 friends at once – you can even use Lenses and Filters when chatting! 
• Express yourself with Friendmoji – exclusive Bitmoji made just for you and a friend.

STORIES
• Watch friends’ Stories to see their day unfold. 
• See Stories from the Snapchat community that are based on your interests. 
• Discover breaking news and exclusive, original Shows.

SPOTLIGHT
• Spotlight showcases the best of Snapchat! 
• Submit your own Snaps or sit back, relax and watch. 
• Pick your favourites and share them with friends.

MAP 
• Share your location with your best friends or go off the grid with Ghost Mode. 
• See what your friends are up to on your most personal map when they share their location with you. 
• Explore live Stories from the community nearby or across the world!

MEMORIES
• Save unlimited photos and videos of all your favourite moments. 
• Edit and send old moments to friends or save them to your Camera Roll. 
• Create Stories from your favourite Memories to share with friends and family.

FRIENDSHIP PROFILE
• Every friendship has its own special profile so that you can see the moments you’ve saved together. 
• Discover new things you have in common with Charms – see how long you’ve been friends, your astrological compatibility, your Bitmoji fashion sense and more! 
• Friendship Profiles are just between you and a friend, so you can bond over what makes your friendship special.

Happy Snapping!

Please note: Snapchatters can always capture or save your messages by taking a screenshot, using a camera or in other ways. Be mindful of what you Snap!

For a full description of our privacy practices, please go to our Privacy Centre.",2011-07-13T23:51:40Z,2025-11-20T12:02:02Z
gd,Grenada,Photo & Video,6008,3,1619749213,AI Video Generator-HiCut,成浩 于,https://apps.apple.com/gd/app/ai-video-generator-hicut/id1619749213?uo=4,0.0,0,0,Photo & Video,"HiCut is a top-notch AI application that provides pictures and videos in a variety of styles.

Just upload a photo to turn any casual or imperfect photo into a polished video or picture, with a variety of styles to choose from!

HiCut  —— your professional photographer

[One-click Transformation]

Choose from a wide range of dress-up video templates with diverse styles, including sexy dances, beautiful wedding dresses, memes, retro clothing, and more. Create sensational videos in seconds!

[AI camera]

Generate the personal and professional photos you want with one click, no photographer required, the AI photographer will help you do it.

[AI Photos]

Use the power of our AI to capture the perfect photo in a brand new style: retro, Linkedin professional avatar, holiday photo, and more.

[Photos will dance]

Upload any photo, instantly generate various dance videos, including popular gorgeous ladies, funny, and other dancing videos.

[Realistic Game Aesthetics]

Unlock various gaming style videos and images with just one click, featuring styles from PS2, GTA, and many other games.

[Description of continuous subscription members]
1. Subscription service: continuous (weekly/monthly/yearly) membership
2. Subscription cycle: one week/one month/one year; during the subscription cycle, users can experience all functions
3. Subscription price: $7.99 per week / $10.99 per month / $29.99  per year
4. Payment: After confirming the purchase, the user's Apple iTunes account will be charged
5. Cancel subscription: If you need to cancel the automatic renewal, please turn off the automatic renewal at least 24 hours before the expiration of the subscription period, and no deduction will be charged after the closure. If you do not cancel 24 hours before the expiration, the subscription will be automatically renewed
6. Renewal: 24 hours before the expiration of the continuous (weekly/monthly/yearly) membership, Apple will automatically deduct the corresponding fee from your iTunes account. After successful (weekly/monthly/yearly) membership service validity period will be automatically extended A cycle
7. Privacy Policy: http://nface.cushuikeji.cn/link/nface/Privacy_Policy.html
8. Continuous subscription agreement: http://nface.cushuikeji.cn/link/nface/lianxudingyuexieyi.html",2022-04-18T07:00:00Z,2025-11-19T08:07:38Z
gd,Grenada,Photo & Video,6008,4,1644042837,Hypic - Photo Editor & AI Art,BYTEDANCE PTE. LTD.,https://apps.apple.com/gd/app/hypic-photo-editor-ai-art/id1644042837?uo=4,0.0,4.71429,7,Photo & Video,"Transform Your Photos with the Power of AI – Say Hello to Hypic!

Ready to turn everyday selfies into stunning masterpieces? Hypic is your all-in-one photo editor designed to elevate your pictures with the magic of AI. Whether you're going for artsy, aesthetic, or just ultra-polished, Hypic has everything you need.

Why You’ll Love Hypic:
AI Magic in a Tap
Turn photos into artwork instantly. Remove backgrounds, generate avatars, cartoon yourself, or enhance image quality — all powered by cutting-edge AI.

Stylish Filters & Effects
Explore trending aesthetic styles, including retro film, clean girl presets, and soft glow filters. One tap is all it takes to match your mood or feed vibe.

Smart Retouching Tools
Customize your look naturally with precision tools for smoothing, reshaping, and enhancing. Adjust facial features with subtlety and ease.

Aesthetic Templates
Create stunning visuals in seconds using professionally designed templates. Whether it's for a photo dump, a story, or a daily vlog, Hypic’s templates make your content look effortlessly curated.

Whether you're a casual editor, digital creator, or aesthetic lover — Hypic makes editing fun, fast, and easy. No experience needed.
Batch edit, make collages, and generate AI art — all in one place.
Perfect for Instagram, TikTok, Pinterest, and MORE.

Download Hypic today and bring your vision to life — beautifully, effortlessly, and instantly.

Any questions about Hypic, please contact us at retouchpics.support@bytedance.com.
For more new feature tutorials and advanced picture editing tips, please follow @hypic on Instagram https://www.instagram.com/hypic_app/ or TikTok https://www.tiktok.com/@hypic_global.

Terms of Service
https://m.hypic.com/clause/hypic-terms-of-service

Privacy Policy
https://m.hypic.com/clause/hypic-privacy-policy",2023-03-27T07:00:00Z,2025-11-21T03:32:37Z
gd,Grenada,Photo & Video,6008,5,962194608,Google Photos: Backup & Edit,Google LLC,https://apps.apple.com/gd/app/google-photos-backup-edit/id962194608?uo=4,0.0,4.82609,46,Photo & Video,"Google Photos is the home for all your photos and videos. Easily store, edit, organise and search your memories with the help of Google AI.

• 15 GB OF CLOUD STORAGE: Every Google Account gets 15 GB of storage*, three times more than many other cloud storage services. This means that you can back up your memories and keep them safe automatically on all of your devices.

• AI-POWERED EDITING TOOLS: Make complex edits in just a few taps. Remove unwanted distractions with Magic Eraser. Improve out-of-focus, blurry photos with Unblur. Enhance lighting and brightness with Portrait Light.

• SEARCH MADE SIMPLE: Your photos are easily searchable in a natural, descriptive way, like 'Alice and me laughing', 'Kayaking on a lake surrounded by mountains' or 'Emma painting in the back garden'.

• EASY ORGANISATION: Google Photos helps to declutter your gallery by automatically organising duplicates and similar photos into photo stacks. It also offers smart, intuitive folders for screenshots, documents, custom albums and daily camera roll organisation, making your gallery feel orderly and personalised. You can even save sensitive photos and videos to a locked folder protected by your device screen lock.

• RELIVE AND SHARE YOUR FAVOURITE MEMORIES: Stroll down memory lane in Google Photos. Share photos, videos and albums with any of your contacts – even if they don't use Google Photos.

• YOUR MEMORIES ARE SAFE: Your photos and videos are safe and secure from the instant that you store them, protected by our advanced security infrastructure while in storage or when you share them.

• ALL YOUR MEMORIES IN ONE PLACE: With backup on, you can easily transfer your photos from other apps, galleries and devices, so all of your content is in one place.

• FREE UP SPACE: Never worry about running out of space on your phone again. Photos that are backed up in Google Photos can be removed from your device's storage in just a tap.

• PRINT YOUR FAVOURITE MOMENTS:
From your phone to your home. Turn your favourite memories into photo books, photo prints, canvas wall art and more. Price varies by product. Printing services available in the US, EU, UK and CA only.

• GOOGLE LENS: Search what you see. This preview enables you to identify text and objects in your photos to learn more and take action.

Google Privacy Policy: https://google.com/intl/en_GB/policies/privacy

* Google Account storage is shared across Google Photos, Gmail and Google Drive.",2015-05-28T20:53:27Z,2025-11-22T09:21:25Z
gd,Grenada,Photo & Video,6008,6,389801252,Instagram,"Instagram, Inc.",https://apps.apple.com/gd/app/instagram/id389801252?uo=4,0.0,4.60503,3337,Photo & Video,"Bringing you closer to the people and things you love – Instagram from Meta

Connect with friends, share what you're up to or see what's new from others all over the world. Explore our community where you can feel free to be yourself and share everything from your daily moments to life's highlights.

Express yourself and connect with friends

* Add photos and videos to your story that disappear after 24 hours, and bring them to life with fun creative tools.
* Message your friends with Messenger. Share and connect over what you see on feed and Stories.
* Create and discover short, entertaining videos on Instagram with Reels.
* Post photos and videos to your feed that you want to show on your profile.

Learn more about your interests

* Watch videos from your favourite creators and discover new content through Instagram video and Reels.
* Get inspired by photos and videos from new accounts in Explore.
* Discover brands and small businesses, and shop products that are relevant to your personal style.
Some Instagram features may not be available in your country or region.

Terms of Service - https://help.instagram.com/581066165581870

Learn how we're working to help keep our communities safe across Meta technologies at the Instagram Safety Center: https://about.instagram.com/safety",2011-07-10T02:25:29Z,2025-11-17T17:50:43Z
gd,Grenada,Photo & Video,6008,7,6478151677,TikTok Studio,TIKTOK PTE. LTD.,https://apps.apple.com/gd/app/tiktok-studio/id6478151677?uo=4,0.0,5,1,Photo & Video,"Welcome to TikTok Studio – where innovation meets creation! 

Unleash your creativity with our advanced tools and intuitive capabilities designed to help you and your content stand out. From identifying new opportunities to predictive analytics, TikTok Studio empowers you to take an informed and strategic approach to content creation so you can expand your reach and achieve your full potential.

 - Innovation: Level up your content with TikTok Studio's innovative features, designed to spark your imagination and maximise your impact.

 - Creation: Embark on your TikTok journey with confidence! Our intuitive tools, custom recommendations and tailored tutorials support all types of creator every step of the way. TikTok Studio is your ultimate companion in bringing your creativity to life.

 - Safety and Privacy: Create with confidence knowing your content and personal information are safeguarded by robust safety measures. Take and maintain full control over your creativity, content and audience interactions with comprehensive privacy settings and community management tools. Your privacy is our priority, ensuring a secure environment for your creative expression. 

 - Monetisation: Identify more opportunities to get rewarded for your creativity with TikTok Studio's personalised monetisation recommendations and advanced analytics. Gain deeper insights into your payments and optimise your rewards performance effortlessly.

 - Audience insights: Unlock invaluable insights to dive deep into your audience's preferences and behaviours. Identify content and engagement opportunities and tailor your content accordingly to cultivate a thriving community.

 - Manage: Seamlessly manage your posts, comments and community engagement all in one place with TikTok Studio’s comprehensive suite of tools and capabilities.

Join TikTok Studio – Download now and elevate your content creation game!",2024-06-20T07:00:00Z,2025-11-17T21:08:00Z
gd,Grenada,Photo & Video,6008,8,6478868302,AI Video - AI Video Generator,HUBX YAZILIM HIZMETLERI ANONIM SIRKETI,https://apps.apple.com/gd/app/ai-video-ai-video-generator/id6478868302?uo=4,0.0,4.27273,11,Photo & Video,"AI Video – Smart AI Video Generator, Creator, and Maker for Everyone

AI Video is an all-in-one AI video generator, creator, and maker that lets anyone generate high-quality animated videos from text and images, with features like polaroid filter videos and character actions in just a few steps.

Designed for creators, marketers, educators, and storytellers, AI Video simplifies the video creation process by combining powerful AI generation tools with an intuitive editing experience.

With AI Video, you can generate stunning visuals from a simple prompt or turn static photos into dynamic, expressive videos. Whether you want to explain an idea, promote a product, or just tell a story, AI Video empowers you with a complete AI video creation toolkit.

AI Video Generator Features Include:
 • AI text to video generator that transforms your ideas into animated scenes
 • Image to video creator that brings still images to life with motion and expression
 • Photo to video generator feature that creates AI-generated videos using your photos
 • Character animation with realistic facial emotions like happy, surprised, excited and more
 • Easy-to-use video maker interface with drag-and-drop simplicity
 • Customize scenes, transitions, timing, and animation flow
 • Built-in voiceover generator and automatic lip-sync tools
 • Extensive media library with backgrounds, sound effects, and styles
 • Special Effects powered by Google’s Veo3 Fast Model: Mermaid transformations •Polaroid Filter • Skydiving action • Flying perspectives • Cinematic filters • Giant illusions • Nano action scenes •Polaroid camera • Identity transforms • Viral effects • ASMR immersive mode
 • HD video export optimized for various devices and formats

AI Video is more than just a video maker — it’s a smart video generator powered by advanced AI models like Google DeepMind’s Veo3, which understands the context, emotion, and structure of your story. Just write your script or describe the scene, and AI Video will generate fully animated, emotionally rich characters and visuals that match your vision.

Join a Global Creative Community
 Thousands of creators, marketers, educators, influencers, and hobbyists around the world use AI Video daily to generate viral reels, cinematic shorts, educational explainers, and fun personal edits. Whether you’re making content for TikTok, Instagram Reels, YouTube Shorts, or just sharing with friends and family, AI Video adapts to your needs.

Why Choose AI Video as Your Generator and Creator?
 • No design or animation skills needed
 • Generate full videos from text in minutes
 • Use AI to create animations that express emotion and intent
 • Bring photos and illustrations to life with pic to video generation
 • Animate action figures and characters with human-like reactions
 • Mix and match effects for unique results
 • Edit and customize videos like a professional video creator
 • Save time and boost your creativity with smart tools
 • Export high-quality HD videos ready to share on any platform

AI Video uses advanced AI generation technology to turn your ideas into meaningful motion. From text to video to photo to video, from ASMR edits to viral reels, every feature is designed for speed, creativity, and quality. Looking for a text to video generator? A smart video maker? A photo to video creator? Or maybe a Veo3-powered AI reel maker? AI Video is your flexible solution.

Download AI Video Generator today and explore:
 • AI video generator & AI video maker.
 • AI photo to video & AI image to video generator.
 • AI text to video generator.
 • AI reel maker, AI short creator, AI video editor.
 • AI movie maker & AI film generator.
 • AI animation, photo animation, live photo converter.
 • AI magic styles, viral filters, ASMR video edits.
 • Even car modification edits, transforming videos, and creative illusions.

Privacy Policy: https://aivideoart.co/privacy
Terms of Use: https://aivideoart.co/terms",2024-03-29T07:00:00Z,2025-11-21T14:16:42Z
gd,Grenada,Photo & Video,6008,9,544007664,YouTube,Google LLC,https://apps.apple.com/gd/app/youtube/id544007664?uo=4,0.0,4.62702,5204,Photo & Video,"Get the official YouTube app on iPhones and iPads. See what the world is watching -- from the hottest music videos to what’s popular in gaming, fashion, beauty, news, learning and more. Subscribe to channels you love, create content of your own, share with friends, and watch on any device.

Watch and subscribe
● Browse personal recommendations on Home
● See the latest from your favorite channels in Subscriptions
● Look up videos you’ve watched, liked, and saved for later in Library

Explore different topics, what’s popular, and on the rise (available in select countries)
● Stay up to date on what’s popular in music, gaming, beauty, news, learning and more
● See what’s trending on YouTube and around the world on Explore
● Learn about the coolest Creators, Gamers, and Artists on the Rise (available in select countries)

Connect with the YouTube community
● Keep up with your favorites creators with Posts, Stories, Premieres, and Live streams
● Join the conversation with comments and interact with creators and other community members

Create content from your mobile device
● Create or upload your own videos directly in the app
● Engage with your audience in real time with live streaming right from the app

Find the experience that fits you and your family (available in select countries)
● Every family has their own approach to online video. Learn about your options: the YouTube Kids app or a new parent supervised experience on YouTube at youtube.com/myfamily

Support creators you love with channel memberships (available in select countries)
● Join channels that offer paid monthly memberships and support their work
● Get access to exclusive perks from the channel & become part of their members community
● Stand out in comments and live chats with a loyalty badge next to your username

Upgrade to YouTube Premium (available in select countries)
● Watch videos uninterrupted by ads, while using other apps, or when the screen is locked
● Save videos for when you really need them – like when you’re on a plane or commuting
● Get access to YouTube Music Premium as part of your benefits

Note: If you subscribe via Apple, payment will be charged to App Store Account at confirmation of purchase. Subscription automatically renews unless auto-renew is turned off at least 24 hours before the end of the current period. Account will be charged for renewal within 24 hours prior to the end of the current period at the rate of the selected plan. Subscriptions and auto-renewal may be managed by going to Account Settings after purchase.

YouTube paid service terms: https://www.youtube.com/t/terms_paidservice.
Privacy policy: https://www.google.com/policies/privacy",2012-09-11T07:23:19Z,2025-11-24T00:06:27Z
gd,Grenada,Photo & Video,6008,10,1545593132,Glam AI: Video & Photo Editor,"Glam Labs, Inc.",https://apps.apple.com/gd/app/glam-ai-video-photo-editor/id1545593132?uo=4,0.0,5,2,Photo & Video,"Looking for a way to go viral easily? Meet Glam AI - your all‑in‑one AI studio for Photo & Video. Turn one selfie into a full AI lifelike photoshoot, animate any image into high‑quality video, create viral effects for business, and generate talking avatars for ads or socials. No studio, no complex editing - just ideas, templates, and AI! 

What you can make?

【 AI Photoshoots 】
Upload a single photo and get a complete, realistic shoot in multiple looks. Choose from studio black‑and‑white, sunset beach, travel, and more.

【 AI Daily Shots 】
Build your profile once and receive a daily feed of inspiration. Recreate trending aesthetics with your own face - perfect for creators and brand visuals.

【 Image → Video 】
Animate any image into smooth, high‑quality motion. Use your AI photos or real shots to produce attention‑grabbing clips.

【 AI Video Effects 】
Transform your video with stylized looks and special effects - anime, fire, and other viral, on‑trend options that pop in the feed.

【 AI Chat (Prompt Studio) 】
Describe what you want - photos, videos, styles, or effects - and let AI generate and refine until it’s exactly right.

【 AI Avatars (Talking) 】
Create avatars that speak your script with realistic lip‑sync. Ideal for ads, explainers, and social promos.


【 AI Business Effects 】
Stand‑out visuals for products and services: 3D billboards, product animations, miniature people, logo effects, and more.

【 AI Reels Templates 】
Make vertical, reel‑ready videos in seconds. Pick a template, drop in your content, and publish - no lengthy edits or music hunting.

Why Glam AI? 


• Studio‑quality results without a studio
• Templates for speed, prompts for full control
• One app that replaces many tools - for your blog, business, or just for fun
• Be the first one to try trendy features and make your content even better with Glam AI!

Glam AI  team is always looking for ways to improve the app.
So don’t hesitate to send us your ideas and feedback:

* email - support@glamlabs.app
* Instagram - @glam_app
* Threads - @glam_app
* Tiktok - @glamai_app
* X - @glamai_app


—————————————————————————————————————
Use #glamapp #glamai to tag us in your Social Medias
—————————————————————————————————————

Terms of Use: https://getglam.app/terms
Privacy Policy: https://getglam.app/privacy",2021-02-15T08:00:00Z,2025-11-21T12:10:21Z
