country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
gt,Guatemala,Sports,6004,1,1030558910,Tigo Sports Guatemala,Comunicaciones Celulares SA,https://apps.apple.com/gt/app/tigo-sports-guatemala/id1030558910?uo=4,0.0,2.18087,669,Sports,¿Disfruta lo mejor del Futbol de Guatemala EN VIVO por la Nueva Tigo Sports App!,2015-08-27T19:37:59Z,2025-08-26T16:34:36Z
gt,Guatemala,Sports,6004,2,1447215452,HryFine,"Shenzhen United Power Technology Co., Ltd.",https://apps.apple.com/gt/app/hryfine/id1447215452?uo=4,0.0,2.34615,26,Sports,"****Hryfine bracelets are non-medical devices. The measurement data and results are for reference only, not for diagnosis and treatment. * * * * *

Special Reminder: APP data is for reference only and is not used as a medical diagnosis. You should consult your doctor before using APP and making any medical decisions.

1, Home Sports: record your exercise data, set exercise goals and calculate whether the goal is achieved, steps, distance, calorie consumption, etc.;

2. Sleep monitoring: it can record the sleep duration and sleep quality in the set period, and count the duration of deep sleep, light sleep and awake, so that you can improve the sleep quality;

3. When the phone searches for the bracelet, the bracelet vibrates. Find the phone through the bracelet, phone vibration and ring reminder, in case of loss.

4. It can remind the user of important information such as call, SMS, WeChat and so on when connecting with the bracelet, to prevent missing important information, etc.;

5. Set an intelligent alarm clock for the bracelet to remind you of sitting for a long time. The bracelet vibrates to remind you to reduce the problems caused by sitting for a long time

6, Remote control photography mode, anytime and anywhere to record the beautiful moment

7, statistics your daily, monthly, weekly exercise, sleep, data display at a glance

8. You can set the bracelet to turn the wrist to light up the screen and light up the screen easily

9. Sports data report: make statistics of your sports data and average data in the last 30 days, as well as your sports standards in the last seven days, and generate reports for easy viewing of sports trends",2018-12-19T07:49:20Z,2025-11-19T01:42:17Z
gt,Guatemala,Sports,6004,3,1121789759,Claro Sports,AMX Contenido S.A. de C.V.,https://apps.apple.com/gt/app/claro-sports/id1121789759?uo=4,0.0,1.44444,9,Sports,"¡Descarga la aplicación ClaroSports y sumérgete en el emocionante mundo del deporte como nunca antes! Con una interfaz intuitiva y fácil de usar, esta aplicación te ofrece acceso a una amplia variedad de eventos deportivos en vivo, noticias, análisis y mucho más.

Características destacadas:
Transmisiones en vivo: Disfruta de la emoción de tus deportes favoritos en tiempo real. Desde partidos de fútbol, fútbol americano, tenis, y eventos especiales, ClaroSports te conecta con la acción dondequiera que estés.
Cobertura completa: Accede a noticias, entrevistas, análisis y estadísticas en tiempo real para mantenerte informado sobre todo lo relacionado con el mundo del deporte. Nunca te pierdas un momento clave con la cobertura completa que ClaroSports tiene para ofrecer.
Paris 2024: Vive la emoción de los Juegos Olímpicos de Paris 2024 con una cobertura exclusiva. ClaroSports transmitirá todos los eventos, desde las ceremonias de Apertura y Clausura hasta las competiciones más destacadas, para que no te pierdas ni un solo momento histórico.
Notificaciones: Recibe notificaciones sobre nuestras transmisiones, noticias especiales y accede fácilmente a contenido relevante.
Calendario de eventos: Consulta el calendario integrado para conocer los próximos eventos deportivos. Planifica tu tiempo y asegúrate de no perderte ninguna acción importante.
Calidad de transmisión: Disfruta de transmisiones en alta definición para vivir cada momento con la máxima claridad y detalle. La calidad de transmisión de ClaroSports te sumerge en la experiencia deportiva como si estuvieras en el estadio.

Descarga la aplicación ClaroSports ahora y lleva contigo el mundo del deporte a donde quiera que vayas. ¡No te pierdas ni un solo gol, canasta o touchdown!",2016-08-01T15:11:21Z,2024-08-05T06:46:17Z
gt,Guatemala,Sports,6004,4,1315007279,F1 TV,Formula One Digital Media Limited,https://apps.apple.com/gt/app/f1-tv/id1315007279?uo=4,0.0,4.8647,1190,Sports,"Prepárate para vivir la F1® como nunca antes; con la aplicación de F1 TV. Mira cada carrera, mira cada sesión en vivo y ten a tu alcance cada dato de la carrera. Todo sin anuncios y todo en tus dispositivos favoritos. Y puedes verla en vivo o a la carta, desde donde quieras.


Se pone aún mejor con la última innovación inmersiva: F1 TV Premium. Con Multivista, personaliza tu vista de la carrera en vivo con diferentes transmisiones; todo en 4K UHD/HDR en tu pantalla grande y hasta en 6 dispositivos a la vez. Es la forma máxima de vivir la carrera, y todo es justo aquí. 



F1 TV PREMIUM: LA MÁXIMA INMERSIÓN EN VIVO A LA F1


Con Multivista puedes tener la perspectiva del director de la carrera en cada sesión. Todo en vivo y en 4K HDR.
•	Multivista: crea tu propia vista personalizada
•	Mira la F1 en vivo y en 4K UHD/ HDR en tu pantalla grande
•	Varios dispositivos: Mírala en vivo y hasta en 6 dispositivos a la vez
•	+ La transmisión oficial en vivo
•	+ Los cronometrajes esenciales en vivo



F1 TV PRO: LA TRANSMISIÓN OFICIAL DE LA F1 EN VIVO


Mira cada sesión como todo un líder de equipo. Con tomas a bordo y radios; en vivo y a la carta. Sin anuncios.
•	Mira todas las sesiones de F1 sin anuncios, en vivo y a la carta
•	Cámaras a bordo en vivo y la radio de los equipos en vivo
•	Acceso en vivo a la F2, F3, F1 Academy y la Porsche Supercup
•	El fin de semana hay shows y contenido exclusivos sobre la carrera
•	+ Los cronometrajes esenciales en vivo



F1 TV ACCESS: LOS CRONOMETRAJES ESENCIALES EN VIVO


Ten la perspectiva de un estratega, con cronometrajes y telemetría en vivo, repetición de las carreras y lo mejor de la radio de los equipos.
•	Cronometrajes, telemetría, uso de neumáticos y mapas de los pilotos. Todo en vivo.
•	Repetición diferida de la carrera
•	La reseña de lo mejor de la radio de los equipos
•	Shows exclusivos, documentales y el archivo de carreras



Para recibir ayuda con F1 TV, visita: https://support.f1.tv/s/?language=en_US
Términos de uso: https://account.formula1.com/#/en/f1-apps-terms-of-use
Política de privacidad: https://account.formula1.com/#/en/privacy-policy",2018-08-31T21:01:46Z,2025-11-17T10:16:58Z
gt,Guatemala,Sports,6004,5,1461138789,SwimminglyFan,"Swimmingly, LLC",https://apps.apple.com/gt/app/swimminglyfan/id1461138789?uo=4,0.0,0,0,Sports,"Sign-up for SwimminglyFan for free and follow your swim club. Synchronizing with the Swimmingly Clubhouse and Swimmingly app, SwimminglyFan allows you to:

1. View the heat sheet for your club's swim meet! Optimized for your iOS device, access your heat sheet at anytime right in your pocket. 

1. Live Event/Heat tracker. Stay updated in real-time with the race in the water. Because SwimminglyFan syncs with Swimmingly, there's no additional volunteer required to ""push the event button""--as soon as the Starter begins a heat on Swimmingly, SwimminglyFan users see the heat change!

2. Live Results. Your Swimmingly results sync to SwimminglyFan in real-time. Enough said!

3. Live team scores. Your Swimmingly team scores sync to SwimminglyFan!

4. My Swimmers. Follow your favorite swimmers and see customized entry & result information for your favorite swimmers!

5. Push notifications. Never miss your swimmer's race again! For any meet with a Swimmingly heat sheet, SwimminglyFan will notify you 3 events before your swimmer's event begins! Relax!",2019-05-10T05:18:34Z,2023-11-28T22:14:01Z
gt,Guatemala,Sports,6004,6,6753996984,Bolivarianos 2025,Informacion de Negocios y Procesos INP LTDA,https://apps.apple.com/gt/app/bolivarianos-2025/id6753996984?uo=4,0.0,0,0,Sports,"¡Vive la emoción de los XX Juegos Bolivarianos Ayacucho - Lima 2025 desde tu celular!
Con esta app tendrás toda la información del evento al alcance de tu mano, de forma rápida, práctica y actualizada.

¿Qué puedes hacer con la app Bolivarianos 2025?
- Entérate de las últimas noticias relacionadas a este evento deportivo.
- Tendrás acceso a material de fotos, videos, transmisiones vía streaming.
- Verifica el calendario deportivo en donde podrás confirmar fechas, horas y escenarios de las competencias de cada disciplina deportiva.
- En la sección deportes podrás conocer más sobre las disciplinas deportivas, sus resultados, noticias, medallero, medallistas y perfiles de atletas.
- Conoce y localiza fácilmente cada sede deportiva en el mapa.

Descarga la aplicación y acompaña de cerca el desarrollo de los XX Juegos Bolivarianos Ayacucho – Lima 2025.

Sitio oficial:
https://www.bolivarianos2025.pe/",2025-10-16T07:00:00Z,2025-11-23T22:11:21Z
gt,Guatemala,Sports,6004,7,1129523589,DAZN: Stream Live Sports,DAZN Limited,https://apps.apple.com/gt/app/dazn-stream-live-sports/id1129523589?uo=4,0.0,4.86203,5733,Sports,"DAZN es la única plataforma global dedicada exclusivamente al entretenimiento deportivo. Integramos de manera única toda la experiencia del fan en un solo lugar: para mirar, jugar y socializar.
 
Mira en cualquier momento, en cualquier lugar.

Vive el deporte como nunca antes lo has vivido. Mira en vivo o bajo demanda tus eventos favoritos, en cualquier dispositivo y desde cualquier parte del mundo. DAZN te lleva el deporte estés donde estés.
 
Disfruta de FanZone y mucho más
Sumérgete en la acción con FanZone. Chatea en vivo, envía reacciones y conéctate en tiempo real con otros fanáticos. Es tu asiento en primera fila al corazón del juego.
 
La Casa del Mundial de Clubes de la FIFA
Llega el Mundial de Clubes de la FIFA 2025: un torneo completamente nuevo que reúne a los 32 mejores equipos de fútbol del mundo para coronar al mejor club del planeta. Los campeones serán coronados. Se ganarán el derecho a presumirlo mundialmente. Y, al igual que el torneo, los participantes tendrán que esperar cuatro años para tener otra oportunidad. Acompáñanos del 14 de junio al 13 de julio para vivir toda la emoción.
 
DAZN te ofrece la experiencia definitiva de streaming deportivo, con un mundo de contenido disponible en cualquier momento y lugar:
Sumérgete en la “Casa del Boxeo”, con los mejores eventos, veladas, perfiles de peleadores y contenido exclusivo, incluyendo el Bare Knuckle Fighting Championship (BKFC).

Mantente al día con la función “Calendario”, que te permite configurar alertas para tus juegos favoritos en deportes como fútbol americano, baloncesto y tenis.

Navega fácilmente con la nueva barra de subnavegación para acceder rápidamente a tus competiciones favoritas, como el fútbol masculino y femenino, incluyendo la Liga F, la Frauen-Bundesliga y el Mundial de Clubes de la FIFA.

Consulta en tiempo real “Estadísticas y Resultados” de todos los juegos, incluyendo fútbol, la National League y torneos importantes como el NFL Game Pass y Courtside 1891.

Explora las “Carteleras” completas para eventos de boxeo y MMA, incluyendo la Professional Fighters League (PFL), y vuelve a ver los combates pasados con un solo clic.

Interactúa con otros fans en la “FanZone” animando, chateando, enviando reacciones y participando en encuestas.

Administra fácilmente tu cuenta con la sección de perfil actualizada.
Explora y mira una variedad de canales en vivo con la función de guía de programación (EPG), que incluye contenido de Red Bull TV o Padel TIME TV y emocionantes eventos como la Riyadh Season.

DAZN cuenta con el portafolio de derechos de transmisión deportiva más grande del mundo, que incluye:
Peleas históricas de Matchroom Promotions, Queensberry, Golden Boy Promotions y BKFC.
Acceso exclusivo al NFL Game Pass, con todos los partidos de la NFL y cobertura de fútbol americano y fútbol.
Acción de baloncesto, incluyendo Courtside 1891 y ligas como la National League.
Lo mejor del fútbol femenino en vivo, incluyendo Liga F, NWSL y Frauen-Bundesliga.
Contenido emocionante de MMA con Professional Fighters League (PFL), Naciones MMA, entre otros.
Deportes únicos como el pádel, torneos globales de tenis y eventos diversos como la Riyadh Season.
Más de 10 canales lineales de TV disponibles las 24/7 en nuestra plataforma, incluyendo Red Bull TV, Matchroom Snooker, Lacrosse TV, y más.
Mira todos los partidos del Mundial de Clubes de la FIFA, en exclusiva por DAZN, donde 32 de los mejores clubes del mundo compiten por la gloria global.
 
DAZN es tu puerta de entrada al deporte, llevándote más cerca de la acción como nunca antes.

Términos de uso: https://www.dazn.com/en-US/help/articles/pp-tcs-all
Política de privacidad: https://www.dazn.com/en-US/help/articles/pp-tcs-all",2020-11-12T08:00:00Z,2025-11-18T16:52:07Z
gt,Guatemala,Sports,6004,8,835022598,Formula 1®,Formula One Digital Media Limited,https://apps.apple.com/gt/app/formula-1/id835022598?uo=4,0.0,4.88354,1374,Sports,"Experience Formula 1 like never before with our official app!

Your one-stop hub keeps you updated with the latest F1 news, thrilling highlights, race results, action-packed videos, real-time results and detailed schedules.

Stay ahead of the curve with:
•	The latest F1 news and expert technical analysis
•	Race weekend schedules and real-time results
•	Manage your F1 Fantasy team 
•	Free Leaderboard with live timings
•	Driver and conductor standings 

For F1 TV Access® subscribers, unlock a world of exclusive content including:
•	Live telemetry data and session insights, including comprehensive tyre Information, lap times, speed and DRS.
•	Real-time interactive Driver Tracker Maps
•	Live English audio commentary
•	Listen to the drama unfold with the best of Team Radio

Download now for your ultimate companion into the world of Formula 1.

How to subscribe to F1® TV

F1® TV puts you in the driving seat – with race highlights, live timing and live streaming (available only in certain countries). You can subscribe to F1® TV with an annual or monthly subscription. 

Subscriptions renew automatically, unless you turn off auto-renew at least 24 hours beforehand. You can turn off auto-renew at any time through your iTunes account.

Terms of use: https://account.formula1.com/#/en/terms-of-use
Subscription terms and conditions: https://account.formula1.com/#/en/subscription-terms
Privacy policy: https://account.formula1.com/#/en/privacy-policy",2014-03-07T20:28:58Z,2025-11-17T11:16:55Z
gt,Guatemala,Sports,6004,9,317469184,ESPN: Live Sports & Scores,"Disney Electronic Content, Inc.",https://apps.apple.com/gt/app/espn-live-sports-scores/id317469184?uo=4,0.0,4.78752,2339,Sports,"ESPN te ofrece lo mejor del deporte. En cualquier lugar, en todo momento, ESPN App te trae eventos en vivo, los mejores videos, toda la información al instante y resultados minuto a minuto en un solo lugar ¡Además se puede personalizar para recibir las alertas de tus equipos y ligas favoritas! 

¿Qué se puede hacer dentro de ESPN App?

Disfrutar de tus eventos favoritos en vivo, informarte con noticias, resultados, estadísticas y los mejores videos al instante y en todo momento:

* Fútbol – Las mejores ligas, torneos, clubes y jugadores.
* Tenis – Todos los Grand Slam, Masters 1000 y ATP 500.
* Boxeo – Campeones, Libra por Libra, calendario y ránkings.
* Rugby – El mejor rugby del mundo.
* Golf - Masters, estadísticas, resultados y jugadores.
* Básquetbol - Toda la temporada de la NBA, los playoffs y la Final de la NBA.
* Béisbol – Toda la temporada de la MLB - Equipos, Resultados, Estadísticas, Rumores de Major League Baseball.
* NFL – Sunday y Monday Night Football.
* Deportes Motor – Noticias, Videos, Estadísticas, Posiciones y Equipos.

Y mucho más.

ESPN – LATINOAMÉRICA

Ahora ESPN Play es parte de ESPN App. Más deporte que nunca, en una sola aplicación.

Podrás ver todos los eventos y programas de ESPN, donde quieras y cuando quieras.

Ver partidos en exclusivo y coberturas inigualables de grandes eventos con múltiples cámaras en simultáneo.

¿Cómo acceder?

Se puede disfrutar de todos los contenidos de ESPN Play sin costo adicional como parte de tu servicio de TV paga, siguiendo estos pasos:

En ESPN App, ir a la solapa de ESPN Play.

Elegir tu proveedor de TV paga.

Ingresar tu usuario y contraseña.
 

Si tu proveedor de TV paga no está en la lista, te recomendamos contactarlo para pedirle ESPN Play.

* Programación sujeta a disponibilidad territorial.",2009-06-02T07:00:00Z,2025-11-19T20:41:13Z
gt,Guatemala,Sports,6004,10,6717610298,Philadelphia Marathon Weekend,Dilltree Inc,https://apps.apple.com/gt/app/philadelphia-marathon-weekend/id6717610298?uo=4,0.0,5,1,Sports,"The official Philadelphia Marathon Weekend app is an essential companion for runners or spectators during Race Weekend.

Mobile app features include:
- Track an athlete’s times, paces, split estimates, and division placement in real time
- Interact with live maps of the course
- Track multiple athletes at the same time
- Receive push notifications as athlete progress is made
- Send digital cheers
- Follow important event information and updates
- Share results with social media
- Take and share selfies with personal results",2024-10-06T07:00:00Z,2025-09-21T03:32:19Z
