country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
hk,Hong Kong,Graphics & Design,6027,1,1534704608,我的桌面·iScreen -螢幕小工具主題桌布,"Xiamen iScreen Information Technology Co., Ltd.",https://apps.apple.com/hk/app/%E6%88%91%E7%9A%84%E6%A1%8C%E9%9D%A2-iscreen-%E8%9E%A2%E5%B9%95%E5%B0%8F%E5%B7%A5%E5%85%B7%E4%B8%BB%E9%A1%8C%E6%A1%8C%E5%B8%83/id1534704608?uo=4,0.0,4.74523,19068,Graphics & Design,"＊ 手機美化，iScreen 一下！＊

iScreen擁有眾多原創設計師， 持續更新有趣、鬼馬、實用的創意！

▶ App Store 編輯推薦 ◀
▶ App Store 今日App ◀
▶ App Store 必備生産力工具 ◀
▶ 榮獲 Next World 年度風采獎 ◀

＊全新適配iOS26，支持液態玻璃小組件、空間景深壁紙等新功能，百變個性化組合搭配，讓你的手機更有趣、更實用！

特色功能：
【iOS26】
專爲 OS 26 開發的海量空間桌布模板（全網挑戰的跳崖桌布、裸眼3D照片DIY、二次元、未來科技空間）、實時天氣液態玻璃小工具、液態玻璃主題套裝，解鎖你螢幕的隱藏顔值！

【控制中心】
在控制中心敲木魚、喝水記錄、搖股子、追星嗑CP，更多控制中心圖標樣式已上新~

【動態島】
＊可愛動畫、IP聯名動畫，專屬語錄設置；
＊寵物上島，隨時互動；植物上島，享受種田樂趣
＊天氣島、啓動島——實用設置，省時又高效
...

【DIY桌布制作】
海量模板，靜態/動態桌布DIY（對鏡頭簽名、息屏追光、人生四格、空間景深壁紙等），緊跟熱點，新奇的玩法都在這裏！

【主畫面/瑣定畫面小工具】
下班倒計時、鹹魚翻身、好運藥丸、空調、語音照片；顔文字、小動畫、簽名，有趣的創意它全都有！

【密友小工具】
和好友在手機桌面直接互動（互送禮物，查看彼此的實時距離等），好東西一定要@你的好閨閨一起玩！

【主題桌布】
原創設計師幫你打造高顔值手機螢幕，小衆又高級；IP聯名——喜歡的角色以更有趣的方式在手機螢幕上出現是什麽體驗！

【StandBy 待機顯示&充電動畫】
充電橫屏新玩法+充電動畫、提示音，帶來不一樣的個性充電秀。

注意：
iScreen 集成蘋果健康App，用在小工具顯示健康數據。
如果你要使用健康-步數/睡眠小工具，請在添加時允許APP獲取健康相關數據

使用條款：https://www.xmzerone.com/about/deskagreement.html
隱私政策：http://www.xmzerone.com/about/deskprivacy.html",2020-11-25T08:00:00Z,2025-11-13T01:54:41Z
hk,Hong Kong,Graphics & Design,6027,2,1534126062,百變主題 Themify - 圖示更換和桌面小工具,AIBY Incorporated,https://apps.apple.com/hk/app/%E7%99%BE%E8%AE%8A%E4%B8%BB%E9%A1%8C-themify-%E5%9C%96%E7%A4%BA%E6%9B%B4%E6%8F%9B%E5%92%8C%E6%A1%8C%E9%9D%A2%E5%B0%8F%E5%B7%A5%E5%85%B7/id1534126062?uo=4,0.0,4.50061,2449,Graphics & Design,"探索時尚圖像、主題、背景圖片和小工具，讓你的手機更加多采多姿！透過Themify的鎖定畫面、主畫面和待機模式小工具，你可以讓你需要的資訊隨時觸手可及、將你的手機變成一個智慧顯示器，甚至可以在你的螢幕上養一隻電子寵物！

主要功能：


■ 3合1主題


安裝符合你品味的主題，就可以看到你的應用圖像、小工具和背景圖片無縫搭配在一起。


■ 海量小工具集錦
互動式健康應用小工具
可愛的電子寵物
待機模式小工具
專為iPad提供的資訊小工具
時間與行事曆、天氣、勵志語錄、賞心悅目的圖片，等等

■ 主題製作器

為你的裝置建立主畫面主題。


■ 2000+圖像套裝


對於那些已經厭倦了千篇一律的標準應用圖像的人，我們提供大量的自訂圖像套裝。你一定會找到與你的獨特品味相契合的內容！


■ 原況照片和靜態背景圖片

動漫、城市、動物、自然、汽車等等——我們有符合各種品味的背景圖片。


■ Apple健康集成


將Themify與健康應用同步，使用便利、時尚的小工具，毫不費力地追蹤你每日的睡眠、步數和飲水量。

無限制存取會員訂閱項目
• 你可以訂閱Themify內的所有功能，以進行無限制存取。
• 訂閱將按週或年收取費用，具體費用取決於訂閱計畫。

所有個人資料均受《使用條款》和《隱私權政策》保護：
https://aiby.mobi/widget/terms/ 
https://aiby.mobi/widget/privacy/",2020-10-02T07:00:00Z,2025-11-06T06:29:00Z
hk,Hong Kong,Graphics & Design,6027,3,6738272757,Moshicam Photo Editor & Frames,GALLERY LABS INC,https://apps.apple.com/hk/app/moshicam-photo-editor-frames/id6738272757?uo=4,0.0,4.40475,42,Graphics & Design,"MOSHICAM – The Aesthetic Photo Editor for Fans and Creators

Moshicam is the all-in-one photo editing app for fans, creators, and anyone who loves making cute, aesthetic edits. Whether you want to decorate selfies, make K-Pop fan edits, design collages of your favorite idols, or create stylish photos to share with friends, Moshicam gives you everything you need. With thousands of artist-made frames, sticker packs, fonts, and tools, Moshicam makes it easy to transform photos into something unique.

 • 1,000+ Frames by Real Artists. Stand out with frames you won’t find anywhere else—from polaroid borders and photobooth strips to film frames and photo card templates. These are the same styles seen on Pinterest, Instagram, and Threads. With new drops every week, your edits stay fresh and on trend.
 • Hundreds of Artist Sticker Packs. Decorate your edits with stickers from top online artists: cute icons, sparkly decorations, doodles, and fan-favorite themes. Whether it’s a collage, a birthday edit for your bias, or a moodboard, our sticker library makes every photo personal.
 • Fonts, Filters, and Pens. Add text with custom fonts, write in unique pen styles, and apply filters that match your vibe. Moshicam makes it simple to design edits that feel stylish and one of a kind.
 • Built for Fans & Friends. Perfect for K-Pop fans, lifestyle creators, or anyone sharing on Instagram, TikTok, Threads, and more. Make polaroid edits of idols, collages of friends, or photobooth strips from a night out—Moshicam turns photos into creative moments to share everywhere.
 • Community & Artist Collabs. Follow your favorite artists, get notified when they drop new frames or stickers, and browse edits for inspiration. Anyone can submit frames and packs for others to use, and our community of fan editors and influencers is thriving.
 • Share Anywhere, Instantly. Post directly from Moshicam to Instagram, TikTok, Twitter/X, Threads, or Red Note. Just create, save, and share.
 • Free vs Premium. Moshicam is free to download with tons of frames, stickers, fonts, and filters. Upgrade to Premium for unlimited creative freedom—exclusive frames, stickers, pens, and filters, with new content weekly. Choose monthly or yearly plans to take edits to the next level.
 • Trusted by Fans & Creators. Loved by top fan editors, lifestyle influencers, and celebrities. Our frames and stickers appear in edits reaching millions of views, including by K-Pop stars. If you’ve seen trendy polaroid or photobooth edits, chances are they were made with Moshicam.

Why Moshicam?
• The largest artist-made frame & sticker collection.
• Designed for fans of K-Pop, music, movies, and more.
• Full toolkit: photo editor, collage maker, fonts, stickers, pens, filters.
• Built-in community where fans and artists share daily inspiration.
• Perfect for anyone making fun, aesthetic edits that stand out on social media.

Moshicam isn’t just another photo editor—it’s a creative tool built around fandom, aesthetics, and sharing memories. Download now and join the community redefining edits online.

Privacy & Terms
By using or subscribing to Moshicam, you agree to our Privacy Policy (https://moshi.cam/privacy) and Terms of Use (https://apple.com/legal/internet-services/itunes/dev/stdeula)",2024-11-20T08:00:00Z,2025-11-21T17:42:28Z
hk,Hong Kong,Graphics & Design,6027,4,6466241694,AI 主題 (Themes) 图标更改 和 動態 桌布,BEE LAB JOINT STOCK COMPANY,https://apps.apple.com/hk/app/ai-%E4%B8%BB%E9%A1%8C-themes-%E5%9B%BE%E6%A0%87%E6%9B%B4%E6%94%B9-%E5%92%8C-%E5%8B%95%E6%85%8B-%E6%A1%8C%E5%B8%83/id6466241694?uo=4,0.0,4.62765,94,Graphics & Design,"Themes - Widget & Wallpapers - the leading fast and professional themes app of 2024 that elevates the visual appeal of your phone with its vast collection of icon changer, top widgets, and aesthetic wallpapers.

Change your home screen with one of our many aesthetic wallpapers, make your home screen look cool with our cool wallpapers and change the look of your phone with themes our favorite topic! Fully customize your phone with our fancy themes app.

Get ready to transform your home screen into a personalized masterpiece with these exciting features:

Stay on top of the latest trends as Themes - Widget & Wallpapers updates regularly, ensuring you have access to fresh and trendy themes to keep your phone's appearance up to date. Themes updates allows you to personalize your home screen with a variety of features and styles ranging from Cute themes, Anime themes, KPOP themes to seasonal themes like Christmas and Halloween and match with every iOS device. Express your unique style and create a visually stunning interface that suits your preferences.

【Many exquisite widgets】

One of the standout features of Themes - Widget & Wallpapers app is its extensive collection of top widgets. Users can choose from a variety of widget styles, sizes, and designs to create a unique and functional home screen. Whether it's displaying the weather or quick access to favorite apps, the widget customization options are diverse and cater to individual preferences.

【HD wallpaper changer】

Themes - Widget & Wallpapers gives you 4K & Full HD wallpaper backgrounds to change wallpaper. And the 4K HD photos are updated daily!

【Diverse icons changer】

Customize your homescreen even further with a wide range of icon changers. From fresh and modern styles to cute, lovely, and fun designs, you'll find the perfect icons to complement your home screen and give it a unique touch. Help you change & customize icons and names for any apps. The new icons can be chosen from gallery, other app icons and lots of personalized icon changer. Our app will create a shortcut to the new icon on your home screen. This is the easiest way to decorate your phone.

【Personalize your own themes, widgets & wallpapers】

The app goes beyond top widgets and HD wallpapers with its theme packs. These pre-designed packs include a cohesive set of wallpapers, icons, and widgets that work together to create a unified and visually pleasing look. Users can choose from a variety of theme packs or mix and match different widgets, app icons to create their own unique themes.

【Easy One-Click Replacement】

Save time and energy with the app's convenient one-click replacement feature. Simply choose your preferred icon changer, themes, widgets, and wallpapers, and with a one click, transform your device's appearance to match your desired aesthetic.

An indispensable application for those who like aesthetics
▪ Exquisite app icons!
▪ Super fast update speed!
▪ Diverse themes, app icons!
▪ Personalization just for you!
▪ Easy one-click replacement!
▪ Easy access & Custom widget, app icons give you special interface (UI)

Contact us: teammarketing@lutech.ltd
Terms of Services: https://lutech.vn/term
Privacy Policy: http://lutech.vn/privacy",2023-09-28T07:00:00Z,2025-11-21T16:57:38Z
hk,Hong Kong,Graphics & Design,6027,5,6467189759,Themelia：主題與小工具,WOOHOO LIMITED,https://apps.apple.com/hk/app/themelia-%E4%B8%BB%E9%A1%8C%E8%88%87%E5%B0%8F%E5%B7%A5%E5%85%B7/id6467189759?uo=4,0.0,4.53901,141,Graphics & Design,"厭倦了沉悶的主畫面嗎？立即潛入 Themelia，探索超過 5000 種主題、9000 張壁紙和 12000 個小工具！從 iOS 18 風格、體育、電影、音樂、動漫、美學、Kpop、卡通、漫畫等，為每個人提供了適合的主題。

但這僅僅是開始！Themelia 提供完全個性化的主畫面體驗，具有電池狀態、日期顯示、天氣預報等功能。讓您的螢幕真正反映您的風格！

Themelia 精選亮點：
- 在首頁瀏覽最精彩的內容。
- 200+ 主題包，讓主畫面與鎖定畫面風格一致。
- 每日更新免費主題、小工具與壁紙。
- 主畫面更新操作快速簡單。
- 從 5,000+ 主題、9,000+ 壁紙與 12,000+ 小工具中任意搭配，打造理想風格。
- 快速安裝主題與應用程式圖標。
- 一應俱全的簡約主題。
- 還有虛擬寵物—你的忠實夥伴永遠陪伴左右！

這是一個顛覆性的功能：Themelia 的一鍵專屬主題安裝程式，讓應用程式圖示、小工具和壁紙的自定義變得輕而易舉。只需幾次點擊，您就可以將螢幕轉換為符合您的風格。

準備好提升 iPhone 的美感嗎？透過我們無縫的 iOS 18 主題、應用程式圖示和小工具，Themelia 是您終極的主畫面夥伴。立即探索，選擇您喜愛的主題，讓您的 iPhone 外觀提升到新境界！

隱私政策與服務條款:
https://site-widgetopia.colorifystudios.com/Privacy-Policy.html
https://site-widgetopia.colorifystudios.com/Terms-of-Service.html",2023-10-04T07:00:00Z,2025-11-21T02:22:41Z
hk,Hong Kong,Graphics & Design,6027,6,6738049229,可靈AI- AI 圖片&影片創作工具,LOHAS GAMES PTE. LTD.,https://apps.apple.com/hk/app/%E5%8F%AF%E9%9D%88ai-ai-%E5%9C%96%E7%89%87-%E5%BD%B1%E7%89%87%E5%89%B5%E4%BD%9C%E5%B7%A5%E5%85%B7/id6738049229?uo=4,0.0,4.69231,494,Graphics & Design,"可靈AI（Kling Al）是廣受海內外創作者好評的新一代創意生產力平台，基於可靈大模型和可圖大模型，提供影片、圖片生成與編輯能力。在這裡，你可以盡情發揮想像力，也可以參考其他創作者的創作靈感，讓創意完美落地。

可靈 AI （Kling Al）功能亮點：

•AI視頻：支援文生視頻和圖生視頻，輸入文字或圖片，即可讓你的創意動起來，視頻質量可達1080P。透過影片續寫功能，還可以產生長達3分鐘的創意內容。

•AI 圖片：支援文生圖和圖生圖，基於描述和參考圖，可以產生多種尺寸、多種風格的創意圖片，更支援將圖片一鍵生成影片。

•創意圈：還可以瀏覽其他使用者的作品，為自己尋找創作靈感，與圈內知名 AI創作者一起激發想像。

• 做同款：對喜歡的創意素材，支援一鍵同款，快速嘗試超讚的創意內容。

使用可靈AI的創作者怎麼說：

•央視導演：可靈AI對實體模擬的理解令我驚喜，且完美還原了老電影手持攝影機鏡頭的鬆弛感

•短劇導演：可靈AI在運動幅度和畫面美感上表現優越，是AI創作的今天和明天

•遊戲主美：可靈AI的提示詞反應與概念組合能力出色，是目前通用性較好的DiT 影片生成模型，大大降低了我的製作成本

•短影片創作者：可靈AI更高清、更穩定、生成時間更長；使用可靈AI創作的作品讓我獲得了亮眼的互動效果，單視頻播放量達到90萬

可靈AI （Kling Al） 會員服務說明

如果您透過Apple 訂閱，購買確認時將從您的 App Store 帳戶扣款。訂閱會自動續訂，除非您在當前週期結束前至少24小時關閉自動續訂功能。帳戶將在當前週期結束前的24小時內按所選方案的費率扣除續訂費用。您可以購買後前往手機「設定」管理訂閱和自動續訂功能。

服務協議：https://ppg.viviv.com/doodle/oarzodFE.html",2025-01-06T08:00:00Z,2025-11-21T16:35:35Z
hk,Hong Kong,Graphics & Design,6027,7,1660472247,AI Canvas - AI 照片、藝術、設計與影片生成器,"Engcraft, LLC",https://apps.apple.com/hk/app/ai-canvas-ai-%E7%85%A7%E7%89%87-%E8%97%9D%E8%A1%93-%E8%A8%AD%E8%A8%88%E8%88%87%E5%BD%B1%E7%89%87%E7%94%9F%E6%88%90%E5%99%A8/id1660472247?uo=4,0.0,4.69367,395,Graphics & Design,"AI Canvas – 您的一體化 AI 影像與影片創作工作室

從瘋狂的想法到精美的視覺效果——AI Canvas 是您終極的創意夥伴。在頂級 AI 模型的支援下，AI Canvas 讓您在一次無縫體驗中產生、設計和編輯從照片到影片的所有內容。

只需輕按幾下，即可從文字創建令人驚嘆的圖像、重新混合照片、從文字或圖像生成影片以及設計從徽標到 T 恤的任何內容。


使用 AI 畫布創作一切
• 文字轉圖像 – 描述文本，並觀看 AI 將其變為現實
• 圖像到圖像 – 將您的照片轉換成令人驚嘆的新風格
• 文字轉影片 – 將您的想像轉化為電影動作
• 圖像轉影片－利用人工智慧視覺效果為您的照片製作動畫


利用人工智慧進行更聰明的編輯：
• 刪除背景 – 一鍵清除剪下痕跡
• 清除和修復 – 選擇並取代圖像中的任何內容
• 高檔－在不損失品質的情況下提高影像解析度
• AI 濾鏡 – 應用動漫、卡通、素描風格等
• AI 視訊濾鏡 – 讓你的影片充滿歡笑、哭泣、動畫等


設計任何東西：
• 海報
• 標誌
• T恤
• 紋身
• 簽名

憑藉直覺的工具和大量的樣式集合，AI Canvas 讓設計變得簡單、有趣且快速。


使用頂級人工智慧模型：
使用遊戲中最好的模型來獲得令人難以置信的效果：
• 穩定擴散 3
• 達爾-E 3
• SDXL
• 夢想塑造者
• 現實願景
• 靈氣流
• 通量
• Flux Pro
• 創意升頻器
• Aura-SR
• 清晰度升頻器
• 通量 RF 反演
• Flux 主題
• Luma 夢幻機
• 克林視頻
• MiniMax 視頻
• Haiper 視頻
• 麻糬
• CogVideoX
• 混元視頻


探索多樣化風格
有多種適合任何項目的 AI 驅動影片風格供您選擇：
• 實際的
• 油畫
• 低保真
• 日本卡通
• 像素藝術
• 卡通片
• 1980 年代
• 電影效果


專為創造者、設計師和夢想家打造：
無論您是數位藝術家、內容創作者、小型企業家，還是只是好奇心強的人，AI Canvas 都能為您提供探索、創造和分享願景的工具。


利用 AI CANVAS 釋放你的創造力
立即下載 AI Canvas，體驗由 AI 驅動並整合在一個功能強大的應用程式中的設計、藝術和影片的未來。


-----------------


服務條款：https://www.engcraft.io/terms/aicanvas

隱私權政策：https://www.engcraft.io/privacy/aicanvas

支援：https：//www.engcraft.io/support/aicanvas",2022-12-25T08:00:00Z,2025-11-19T18:43:13Z
hk,Hong Kong,Graphics & Design,6027,8,1538946171,Colorful Widget彩虹組件-桌面主題萬能桌布圖標,"Guangzhou ZHIFENG Information Technology Co.,Ltd.",https://apps.apple.com/hk/app/colorful-widget%E5%BD%A9%E8%99%B9%E7%B5%84%E4%BB%B6-%E6%A1%8C%E9%9D%A2%E4%B8%BB%E9%A1%8C%E8%90%AC%E8%83%BD%E6%A1%8C%E5%B8%83%E5%9C%96%E6%A8%99/id1538946171?uo=4,0.0,4.73526,8242,Graphics & Design,"Colorful Widget — 手機桌面主題美化，只需輕點一下！
▶ App Store Today 推薦 ◀
▶ App Store 人氣推薦 ◀
全新適配 OS 26 —— 解鎖多款熱門景深桌布，全新升級的液態玻璃主題，暢享自訂動態封面，讓你充分感受液態玻璃帶來的美學質感！

【OS 26 空間景深桌布 & 液態玻璃主題】
空間景深桌布： 專為 OS 26 最佳化的景深桌布全新登場！透過智慧分層與空間感設計，讓時間與桌布元素自然融合，打造更具層次與個性的畫面效果。
液態玻璃主題： 探索光影流動交織的獨特質感，為你解鎖全新的視覺體驗。

【萬能桌面小組件】
手機面板小組件：貓咪電量、x-面板...集合儲存、電量、wifi、藍牙、螢幕亮度，桌面查看資料更方便
照片：編輯圖片版面、手帳邊框、底片電影相框
天氣：即時更新全球氣溫、濕度，實用小組件
倒數日：戀人生日、戀愛紀念、發工資，重要日子事項提醒
健康步數：步數小組件定時同步HealthKit數據，記錄步數、卡路里、行走距離
日曆：農曆、公曆、打工人日曆、學生黨日曆，讓桌面趣味橫生
待辦清單：建立行程清單，便捷時間規劃管理
微博熱搜：關注每日新聞、新鮮事
時鐘：數位時鐘，翻頁時間，白天與黑夜自動換背景
動態組件：黑膠唱片、夏日風扇、空調、風車組件，讓手機桌面創意又個性
快捷工具：音樂播放器，桌面音頻，一鍵上傳和播放桌面語音鈴聲，免去繁瑣的快捷指令庫設置
鎖定螢幕小組件：適配iOS16鎖定螢幕組件，鎖定螢幕快速啟動、鎖定螢幕表情圖案，超多創意玩法
互動小紙條：桌面互動小組件，把圖片、表情包...投送到Ta的桌面，開啟桌面社交！

【OS 17 StandBy待機組件】 
在充電鎖定螢幕介面體驗多款精美小組件，包括時間、倒數日、天氣、X-面板、照片、任務、創意動畫等，自訂你喜歡的充電鎖定螢幕介面。

【小組件桌面互動】 
適配 OS 17系統，支援可操作互動。 待辦打卡、任務進度管理等熱門小組件，支援在桌面、StandBy和鎖定螢幕小組件快速打卡，無需開啟app操作，效率大大提升。

【自訂圖示組件，支援透明效果】 
提供個人化的桌面整理美化編輯，上傳喜歡的照片做成桌面元件、應用程式圖標，自訂桌面佈局，創造專屬桌面主題。

【一鍵安裝主題圖示】 
高級桌面主題，支援關鍵字、名稱搜索，一鍵安裝同款，美化圖標

【靜態壁紙、動態壁紙】 
超多分類熱門壁紙，支援OS16壁紙，動態鎖定螢幕壁紙，景深壁紙酷炫鎖定螢幕。

【充電動畫】 
酷手機充電動畫和提示音，還有創意充電動畫，讓充電也超具個性。

【多種風格】 
提供各種風格的全能小組件，icon，唯美桌面主題，壁紙，萬能鎖定屏幕小組件等你來試！ 太空人，少女粉紅，簡約風格，燦爛星空等多種爆款主題風格，是你的貼心主題商店和桌面小管家！

*您的免費試用訂閱將自動續訂為付費訂閱，除非在免費試用期結束前至少24小時關閉了自動續訂 
*您可以隨時透過iTunes帳戶設定關閉自動續訂來取消免費試用或訂閱。必須在免費試用或訂閱期結束前24小時完成此操作，以免被收費。取消將在當前訂閱期的最後一天之後生效，您將被降級為免費服務 
隱私權政策： http://global.download.sharpmobi.com/resources/com.sm.widget/html/PrivacyPolicy.html 
使用者條款： http://global.download.sharpmobi.com/resources/com.sm.widget/html/TermsOfUse.html 
如果你有更多想法或意見，請聯絡我們： colorfulwidget@163.com 
關注我們： 
- 微博: Colorful Widget 
- 小紅書: Colorful Widget 
- 抖音: Colorful Widget",2020-11-17T08:00:00Z,2025-11-21T02:33:28Z
hk,Hong Kong,Graphics & Design,6027,9,6449579793,Widgify:全能靈動島小組件桌面動態主題桌布,Summerflower Mobile Technology Limited,https://apps.apple.com/hk/app/widgify-%E5%85%A8%E8%83%BD%E9%9D%88%E5%8B%95%E5%B3%B6%E5%B0%8F%E7%B5%84%E4%BB%B6%E6%A1%8C%E9%9D%A2%E5%8B%95%E6%85%8B%E4%B8%BB%E9%A1%8C%E6%A1%8C%E5%B8%83/id6449579793?uo=4,0.0,4.72147,736,Graphics & Design,"Widgify 共同設計全新桌面風格！自定義你的夢想桌面，創造天馬行空的新屏幕風格，多款創意小組件、主題壁紙和靈動島玩法自由組合。全新適配 iOS 17，支援 StandBy 待機組件、交互小組件、靈動島養寵物等新功能，超多玩法隨心選！

我們提供上百種創意實用組件，您可以在靈動島上養寵物，設置 DIY 鎖屏壁紙；端內還擁有電子音樂牆、電子吧唧、小卡、DIY 滾動相冊、靈動面板、表情電量、靈動島動畫、靈動島快捷啟動、天氣、待辦清單等，還有打小人組件、木魚、唱片、播放器、彈幕的多款創意組件；百種組件隨心搭配插畫主題、原創設計師主題、極簡壁紙、AI 創意壁紙等主題壁紙，支援個性化編輯選項，各種風格自由搭配，讓你的手機桌面變得好玩又有趣！

最新功能：
【鎖屏組件】
- 驚喜上新！多種風格任你選，快讓你的鎖屏告別單調，炫動出圈！
【OS26 透明小组件】
- iOS 26 透明小组件，一鍵開啟全透明桌面顯示。

特色功能：
【全新 iOS 18 控制中心組件和主題】
定制你的控制中心！由 Widgify 獨家設計的創意視覺圖標。你還可以在控制中心添加語音組件，播放你喜愛的聲音！
【桌面小組件】
-音頻小組件：將愛豆語音 / 愛寵語音 / CV 配音添加至小組件中，每天一戳桌面音頻組件，立即播放你喜愛的語音～
-電量小組件：表情、貓咪、卡皮巴拉、熊貓、蠟燭、荷花、月兔、桃花等等多款電量小組件，讓手機電量顯示更有趣～
-靈動面板：實時展示電量、時間和日期常用資訊，讓你的桌面更豐富。
-滾動相冊：將多張圖片展示在桌面上，實時滾動。
【靈動島小組件】
靈動島擁有寵物島、動畫島、啟動島三大玩法。
-寵物島：龍寶寶、貓咪等多款寵物供你挑選，靈動島上實時展示寵物狀態，隨機展示每日一言，隨時互動陪伴和喂食，可以外出旅行解鎖新地圖，還有機會遇到新朋友，解鎖新裝備噢！
-動畫島：內置多款精美動畫，可愛風、節日風等多種畫風應有盡有，還可以在靈動島上定制個性化語錄，趣味多多～
-啟動島：支援設置常用應用軟件，登上靈動島後可在鎖屏快速打開 APP，省時又高效。
【情侶小組件】
在手機桌面上就能實現和好友之間的互動。
-距離組件：和親密好友共享彼此的位置資訊，隨時查看與好友之間的距離差～
-瞬間組件：隨手捕捉當下的瞬間，一鍵發送至好友的手機桌面～
【DIY 壁紙】
多款壁紙模板可供選擇，提供寶麗來、遊戲機、相機等壁紙模板，上傳圖片自由 DIY 專屬手機壁紙，支援實況動態壁紙，天天換鎖屏不重樣～
【一鍵安裝桌面主題】
提供新中式專題、打工專題、定時專題、祈福專題等多種風格熱門桌面主題，擁有原創設計師主題、emoji 極簡風主題、情侶日記主題等多款主題風格，一鍵安裝圖標，快速打造高級桌面。
【精美壁紙 / 靜態壁紙】
超多分類熱門壁紙，ins 風、藝術感、極簡、新中式等多風格壁紙，支援 ios16 壁紙，景深壁紙酷炫壁紙等，讓你的桌面更加多變。還有 AI 繪圖功能，發揮創意製作出更個性化的手機壁紙。

會員訂閱細則
*純淨無廣告版
*無限制免費使用全部精美主題，小組件和壁紙生成器
*訂閱費用將在確認購買時從您的 App Store 帳戶中扣除
*會員期限到期前 24 小時內，訂閱將自動續訂，除非您在會員期結束前至少 24 小時取消訂閱
*您可以隨時進入 App Store 帳戶設置，管理和取消訂閱
*訂閱將按週或年度收費，費用視所選訂閱計劃而定

超多个性化組件主題壁紙持續更新，等你來關注！
有更多建議可以聯繫我們：support@widgetoftheme.com
用戶協議：http://resource.widgetoftheme.com/Widgify_cn/service.html
隱私政策：http://resource.widgetoftheme.com/Widgify_cn/privacy.html",2023-09-25T07:00:00Z,2025-11-18T15:35:01Z
hk,Hong Kong,Graphics & Design,6027,10,1076159017,AI三維家居裝修及設計建模：簡單室內 3D 建築設計圖,Room Planner Ltd,https://apps.apple.com/hk/app/ai%E4%B8%89%E7%B6%AD%E5%AE%B6%E5%B1%85%E8%A3%9D%E4%BF%AE%E5%8F%8A%E8%A8%AD%E8%A8%88%E5%BB%BA%E6%A8%A1-%E7%B0%A1%E5%96%AE%E5%AE%A4%E5%85%A7-3d-%E5%BB%BA%E7%AF%89%E8%A8%AD%E8%A8%88%E5%9C%96/id1076159017?uo=4,0.0,4.63755,996,Graphics & Design,"如果您剛買了房子或公寓或者想要裝修您現有的房產，我們可以幫助您更輕鬆地做到這一點，減少喧囂，並在更少的時間內獲得更好的結果，只需支付一小部分費用。

通過該應用程序，您可以：
- 想像你的夢想，並更好地了解它的真實面貌
- 使用世界知名品牌的家具豐富您的居住環境
- 更改圖片中的任何內容，從牆壁上的顏色到家具佈局
- 與您的伴侶，室友或建築師分享您的願景
- 將您的項目發佈到投資組合

從行業專業人士或空房間現有的手工項目開始。更換家具，裝飾，添加來自許多品牌的新商品，從不同的角度觀察您的房間，創建照片般逼真的快照，並查看您的圖像如何成為現實。

該應用程序的設計主題為裝飾客廳，臥室，廚房，浴室和許多其他。

其他功能，如現成的設計，完整的家具目錄（450000產品），3ds Max出口，無限數量的房間和逼真的高清渲染可通過自動更新訂閱一周，一個月或一年。在確認購買時，將從您的iTunes帳戶中收取付款。除非在當前期間結束前至少24小時關閉自動續訂，否則訂閱將自動續訂。根據您的計劃，您的帳戶將在當前期間結束前24小時內收取續訂費用。您可以在購買後隨時管理或關閉Apple lD帳戶設置中的自動續訂。
使用條款：www.homeplannerapp.com/terms-and-conditions
隱私政策：www.homeplannerapp.com/privacy-policy",2016-04-08T17:25:28Z,2025-11-21T01:16:20Z
