country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
is,Iceland,Business,6000,1,1530922294,Auðkenni,Audkenni ehf,https://apps.apple.com/is/app/au%C3%B0kenni/id1530922294?uo=4,0.0,2.45,20,Business,Auðkennisappið heldur utan um rafrænu skilríkin þín á öruggan og þægilegan hátt. Appið er óháð símanúmerum og því hægt að nota það á símtækjum með erlendum númerum.,2021-01-19T08:00:00Z,2025-11-18T09:34:45Z
is,Iceland,Business,6000,2,1596077029,N1 - Alla leið,N1 ehf.,https://apps.apple.com/is/app/n1-alla-lei%C3%B0/id1596077029?uo=4,0.0,3.47059,17,Business,"Með N1 appinu getur hefur þú aðgang að allri þjónustu N1 ásamt því að sjá yfirlit yfir viðskiptin þín og viðskiptakjör. 

Með N1 appinu getur þú: 

Skráð þig inn með rafrænum skilríkjum.
Valið Þína stöð og fengið besta verðið sem N1 býður upp á
Dælt eldsneyti á bílinn og séð yfirlit yfir allar eldsneytisstöðvar N1
Hlaðið rafmagsbílinn og séð yfirlit yfir allar hleðslustöðvar N1
Skráð kílómetrastöð öktækja
Bókað tíma í dekkjaskipti
Bókað tíma í smurþjónustu
Leigt nagladekk
Skráð ökutæki og séð þjónustusögu
Séð punktastöðu og fylgst með tilboðum
Séð upplýsingar um kjör þín hjá N1
Auðkennt þig inni á N1 stöðvum",2022-08-31T07:00:00Z,2025-11-21T13:18:47Z
is,Iceland,Business,6000,3,1277659191,Löður,Stokkur Software ehf.,https://apps.apple.com/is/app/l%C3%B6%C3%B0ur/id1277659191?uo=4,0.0,4.70436,619,Business,"Loksins er komið Löður app! 
Löður appið auðveldar þér að kaupa þvott á öllum Löðurstöðvum landsins, hvort sem um er að ræða snertilausan þvott eða ef þú vilt þvo sjálf/ur í bás. Þú þarft ekki lengur að fara frá bílnum til að kaupa þér þvottatíma, þú getur gert það sitjandi inni í hlýjum bílnum þínum. 

Löður appið er einfalt og þægilegt í notkun og hannað út frá þínum þörfum. Þetta gæti ekki verið auðveldara, náðu þér í appið núna og hafðu bílinn alltaf hreinan!",2017-11-02T13:41:54Z,2025-06-19T12:54:41Z
is,Iceland,Business,6000,4,288429040,LinkedIn: Job Search & News,LinkedIn Corporation,https://apps.apple.com/is/app/linkedin-job-search-news/id288429040?uo=4,0.0,4.66308,279,Business,"Find the job that's right for you. With the LinkedIn app, you can nurture relationships, stay up-to-date with business news, and grow your professional network. Begin your job search equipped with powerful tools to help you grow professionally, such as job alerts and interview tips, all conveniently available in one app. 



Elevate your career by building a professional profile to showcase your work or company and find your next job. Stay updated on the latest workplace and industry news.


LinkedIn simplifies professional social networking, job searching, and job hiring. Utilize the LinkedIn app to connect with industry leaders, share articles, engage in conversations with fellow professionals, and increase your chances of securing jobs in your field.

LinkedIn simplifies professional social networking, job searching, and job hiring. Utilize the LinkedIn app to connect with industry leaders, share content that helps you grow, engage in conversations with fellow professionals, and increase your chances of securing jobs in your field.


Find freelance, local, or remote jobs. Easily apply with your professional profile in just a few steps and take the next steps in enhancing your next career.


Why You’ll Love LinkedIn:
- Job search: Find your next job and the ideal workplace for you. Apply using your LinkedIn profile and/or resume and get hired.
- Business news: Write your own posts and share articles with your connections.
- Career tools: Get job alerts and full job listings tailored to you.
- Social networking: Create your own profile, find business connections, and highlight your skills within the business community.


Take the first steps in growing your career today with LinkedIn.


LinkedIn App Features:

JOB SEARCH AND CAREER FINDER
• Local jobs or remote: Start your job search and find the right career for yous
• Career finder: Seek jobs and new business opportunities for every type of profession.
• Freelancer or contractor? Discover freelance opportunities and contracts in your field.
• Job alerts: Get notified when new jobs are posted from the companies you follow.


BUILD YOUR COMMUNITY
• Grow your career: Follow companies and professionals to see updates and content on the latest topics.
• Build your professional network by connecting with new business contacts and easily find industry leaders
• Social networking for businesses: Showcase your company or product to find new opportunities.


BUSINESS NEWS
• Get the latest business news and stay current on industry trends every industry.
• Follow industry leaders for news that is relevant to your career.
• Share articles and posts with the LinkedIn community and your business contacts.


PROFESSIONAL PROFILE
• Keep your LinkedIn profile up-to-date as an online resume and CV to highlight your career experience and increase your chances of getting hired.
• Share your accomplishments, job responsibilities, and skills on your professional profile.


SOCIAL NETWORKING
• Grow your business connections and join groups that share and support your goals.
• Connect to the largest social network of professionals from around the globe.


Take the first steps in finding the right job for you!


Build your profile, apply for your next job, and connect with recruiters, professionals, and companies you’re interested in. LinkedIn helps you start and finish your job search.


Want to make the most of LinkedIn? Upgrade to a Premium subscription for exclusive tools.


We ask for a few permissions when you use this app. Here’s why: http://linkd.in/1l0S8YZ



-



LinkedIn members have the option to verify their identity by securely uploading a government ID and/or taking a live selfie using certain trusted partners. For more information about the data collected by our trusted partners through this process and the periods for which it will be retained, see: https://www.linkedin.com/help/linkedin/answer/a1359065",2019-02-03T08:00:00Z,2025-11-21T17:50:04Z
is,Iceland,Business,6000,5,595372909,Alfreð - Atvinnuleit,Alfred ehf.,https://apps.apple.com/is/app/alfre%C3%B0-atvinnuleit/id595372909?uo=4,0.0,4.72856,6985,Business,"Alfred is an APP that provides job opportunities. Are you searching for a new job? Let’s find a full time job or part time job in Iceland, Faroe Islands, Greenland, Malta and Czech Republic with us. 

Alfred Profile
● Create an Alfred profile that becomes your online CV, and apply for jobs with just a few clicks.

Secure and Anonymous 
● Alfred only shares personal data from your profile only when you apply for a job. Personal data is anonymised and secured using the strongest encryption protocols. Your profile can't be searched and Alfred never sells or shares personal data with anyone. 

Job Watch
● Get notified of the jobs that are of your interest given your skills, experience, education, location, and more! Get notified once there is a job match given your preferences..

Convenient
● When a new job that matches your preferences is uploaded, Alfred shares the job opportunity with you and lets you know through an app notification, SMS, or email alert.

Free
● Alfred is free for job seekers! Create a profile, get notifications about job opportunities and apply for as many jobs as you like.",2013-01-29T20:44:32Z,2025-11-19T09:06:05Z
is,Iceland,Business,6000,6,1386412985,WhatsApp Business,WhatsApp Inc.,https://apps.apple.com/is/app/whatsapp-business/id1386412985?uo=4,0.0,4.62295,549,Business,"About this app

Everything you love about WhatsApp plus built-in tools for business
WhatsApp Business is a free-to-download app with built-in tools to help you work smarter, build trust, and grow your business. 

You get  free calls* and free international messaging* plus business features to help you do more with conversations.

Download the app to get business benefits like these:

• Work smarter. Save time by letting the app do the work for you! Send customers automated quick replies and away messages so you never miss an opportunity. Use labels to quickly organize, filter, and find important conversations. Create a status to share an offer or news, and even take orders and payments** in-app to create a great customer experience. 


• Build relationships and trust. With a professional business profile on a secure platform,  you build credibility and trust with customers. Use the app to provide more responsive customer support and build long-term loyalty. Subscribe to Meta Verified*** to reinforce your authenticity.


• Sell more and grow. Get discovered, advertise, and make more valuable customer connections. Boost sales by sending targeted offers to customers; create ads that click to WhatsApp; showcase your product catalog; and give customers the convenience of in-app orders and payments.**

FAQs
Are all features free?
The app is free to download and use, with a mix of free and paid features.

Can I still use my personal WhatsApp?
Yes! As long as you have two different phone numbers, your business and personal accounts can live together on a single device.  

Can I transfer over my chat history?
Yes. When you set up the WhatsApp Business app, you can restore a backup from your WhatsApp account to transfer your messages, media, and contacts to your business account.

How many devices can I connect?
You can have a total of five web-based devices or mobile phones on your account (up to 10 if you subscribe to Meta Verified***). 

*Data charges may apply. Contact your provider for details.
**Not available in all markets
***Available soon globally

Terms of Service: https://www.whatsapp.com/legal/terms-of-service
 
 Learn more about messaging privately: https://www.whatsapp.com/privacy
 
 Learn more about WhatsApp safety: https://www.whatsapp.com/security",2019-04-10T09:49:03Z,2025-11-21T02:04:04Z
is,Iceland,Business,6000,7,1113153706,Microsoft Teams,Microsoft Corporation,https://apps.apple.com/is/app/microsoft-teams/id1113153706?uo=4,0.0,4.64161,3778,Business,"Whether you’re connecting with your community for an upcoming activity or working with teammates on a project, Microsoft Teams helps bring people together so that they can get things done. It’s the only app that has communities, events, chats, channels, meetings, storage, tasks, and calendars in one place—so you can easily connect and manage access to information. Get your community, family, friends, or workmates together to accomplish tasks, share ideas, and make plans. Join audio and video calls in a secure setting, collaborate in documents, and store files and photos with built-in cloud storage. You can do it all in Microsoft Teams. 

Easily connect with anyone: 
• Skype is now part of Teams. Continue where you left off with your chats, calls and contacts in Microsoft Teams Free. 
• Meet securely with communities, teammates, family, or friends.
• Set up a meeting within seconds and invite anyone by sharing a link or calendar invite. 
• Chat 1-1 or to your entire community, @mention people in chats to get their attention. 
• Create a dedicated community to discuss specific topics and make plans*.
• Work closely and collaborate by keeping conversations organized by specific topics and projects with teams and channels.
• Video or audio call anyone directly in Teams or instantly convert a group chat to a call. 
• Use GIFs, emojis, and message animations to express yourself when words aren’t enough.
 
Accomplish plans and projects together: 
• Send photos and videos in chats to quickly and easily share important moments.
• Use cloud storage to access shared documents and files on the go. 
• Organize shared content in a community — events, photos, links, files —so you don’t have to waste time searching*. 
• Get the most out of your meetings by using screen share, whiteboard, or breakout in virtual rooms.
• Manage access to information and ensure the right people have access to the right info, even when people join and leave projects.
• Use task lists to stay on top of projects and plans - assign tasks, set due dates, and cross off items to keep everyone on the same page. 

Designed to give you peace of mind: 
• Securely collaborate with others while maintaining control over your data.
• Keep communities safe by allowing owners to remove inappropriate content or members*.
• Enterprise-level security and compliance you expect from Microsoft 365**. 

*Available when using Microsoft Teams with your Microsoft account.

**Commercial features of this app require a paid Microsoft 365 commercial subscription or a trial subscription of Microsoft Teams for work. If you’re not sure about your company’s subscription or the services you have access to, visit Office.com/Teams to learn more or contact your IT department. 

By downloading Teams, you agree to the license (see aka.ms/eulateamsmobile) and privacy terms (see aka.ms/privacy). For support or feedback, email us at mtiosapp@microsoft.com. EU Contract Summary: aka.ms/EUContractSummary

Consumer Health Data Privacy Policy   
https://go.microsoft.com/fwlink/?linkid=2259814",2016-11-02T21:19:53Z,2025-11-19T10:48:46Z
is,Iceland,Business,6000,8,1537787468,Pósturinn,Islandspostur ohf.,https://apps.apple.com/is/app/p%C3%B3sturinn/id1537787468?uo=4,0.0,3.81481,27,Business,"Yfirsýn yfir stöðu sendingar til þín og frá þér
Tilkynningar beint í símann
Veldu afhendingarstað sem hentar þér
Skráðu þig í sjálfvirkar greiðslur
Greiddu lægri umsýslugjöld
Uppfærðu notandaupplýsingar
Skráðu sendingar
Notendur skrá sig með notandanafni og lykilorði eða rafrænu auðkenni.

Keep us in your pocket!
The app allows users to see their incoming and outgoing shipments listed, get notifications regarding these shipments and e.g. unlock self-service delivery boxes.
Overview of all shipments to and from you
Notifications straight to your phone
Change residence information and preferred delivery method
Pay for services related to your shipments
Activate automatic payments
Pay lower administrative fees
Update your profile information
Register shipments
Users can sign up using Email and Password, or use their mobile phone E-Certificate.",2021-03-03T08:00:00Z,2025-10-03T19:10:26Z
is,Iceland,Business,6000,9,6449770450,Teya,Teya Services Limited,https://apps.apple.com/is/app/teya/id6449770450?uo=4,0.0,5,1,Business,"Don’t sweat the small stuff. Teya App pulls all your daily tools into a single platform, freeing you to focus on what matters most.  

Features:  
- Accept payments with Tap to pay and Payment links.
- Get real-time insights into your business performance. 
- Access your business data, team data, and store operations in one place. 
- Run your business your way with self-service account management. 
- Easily review reports for recent transactions, settlements, and historic Teya invoices.  
- Access new product offers, such as Credit. 

View your free Business Account directly in the app: 

- Manage your spending with the Teya Business debit card. 
- Create virtual cards to use on your phone and online.  
- Earn 0.5% cashback on all card spend. 
- Move money easily with FREE bank transfers

Free onboarding and local customer support
- Our in-house support team is on hand to help 24/7. 
- Get free step-by-step articles and resources in our comprehensive Help Centre.",2024-05-07T07:00:00Z,2025-11-22T22:41:17Z
is,Iceland,Business,6000,10,922995624,Sling: Employee Scheduling App,Sling Incorporated,https://apps.apple.com/is/app/sling-employee-scheduling-app/id922995624?uo=4,0.0,4.5907,215,Business,"Sling: Employee Scheduling Made Easy
With powerful scheduling and workforce management tools, Sling is the easiest way to manage employee work schedules, track time, optimize labor costs, and streamline team communication. For free!

Sling works for a variety of industries and organizations of every size, shape, and kind have already made Sling the place where their work happens. 

Streamline Your Business
•  Schedule faster and smarter: Build accurate schedules in minutes and avoid overlapping shifts and double-bookings.

•  Control labor costs: Stay under budget while controlling overtime and absenteeism.

•  Communicate efficiently from a single platform: Send messages in group or private conversations, keep everyone informed, and build a stronger company culture.

•  Simplify time tracking: Allow employees to clock in and out right from their phones.

•   Make payroll processing easier: Export timesheets for seamless payroll processing.

•  Drive operational compliance: Ensure standards are being met to keep your business compliant.

•  Enhance employee engagement: Engage employees in achieving business objectives in an easy-to-digest way while making work effortless and expected outcomes clear.

Benefits For Managers
- Schedule with ease: Build your employees' schedules in minutes and manage time off, availability and shift trade requests.

- Eliminate scheduling conflicts: See up-to-date employee availability, time-off requests, and avoid overlapping shifts and double-bookings.

- Democratize scheduling: Let employees sign up for shifts on a first-come, first-served basis, or approve the requests and finalize the schedule.

- Reduce employee absences and late arrivals: Use shift alarms to remind employees of their upcoming shifts and send them notifications when they forget to clock in.

- Optimize labor spending as you schedule: Set wages per employee or position and see how much each shift will cost. Forecast and optimize expenses while scheduling to ensure you stay on budget.

- Manage multiple work locations with ease: Schedule employees across multiple locations on one account and view all schedules in one place.

- Set specific clock-in locations: Use GPS or IP settings to designate where you want employees to clock in.

- Integrate Sling with platforms you already use: Save time and money by integrating your scheduling with your existing platforms.

Benefits For Employees
- Access the schedule anywhere, anytime: Employees can access their schedules when they aren't at work and get real-time updates on one centralized platform.

- Turn any device into a mobile time clock: With Sling, any device — laptop, desktop, tablet, or smartphone — becomes a time tracking terminal.

- Chat with coworkers in real time: Sling’s powerful communication features help employees to stay informed wherever they are and never skip a beat.

- Set shift reminders: With Sling, employees can set shift alarms to remind them when they need to work, which helps them be on time.

- Find replacements faster: Sling’s shift exchange feature allows employees to find their own replacements when they can’t work.

- Manage work-life balance better: Employees can set unavailability or request off to make time for other things they love to do. 

- Prevent forgotten clock-outs: Sling will automatically clock out employees if they forget to do it themselves.

- Because Sling automates repetitive processes, simplifies complex and time-consuming tasks, and coordinates convoluted workplace communication, it helps any organization run smoother.

Try the Sling app for free and experience the future of workforce management.",2014-11-03T02:06:26Z,2025-05-21T07:33:49Z
