country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
ie,Ireland,Food & Drink,6023,1,566347057,Just Eat - Food Delivery,Just-Eat Holdings Limited,https://apps.apple.com/ie/app/just-eat-food-delivery/id566347057?uo=4,0.0,4.77193,78436,Food & Drink,"On the Just Eat app, you can order food – from pizza and sushi to burgers and kebabs – along with groceries, gifts, flowers and more, all delivered right to your door. With a wide selection of restaurants, supermarkets and local shops, you can enjoy whatever you want, wherever you are.

Top brand and local heroes
Order from big brands like McDonald's, Burger King, KFC, Pizza Hut, Domino’s, Wagamama, Starbucks, Greggs, Costa Coffee and even more local favourites. Explore menus with a variety of choices, including vegan and vegetarian options, to suit every craving.

Need groceries? Get them delivered.
Shop for essentials from top supermarkets like Sainsbury’s, Co-op, and Asda, or other local convenience stores. Whether you need fresh fruit, vegetables, snacks, flowers, alcohol, beauty products or household essentials, Just Eat has it all.


What can you do on the Just Eat app?
- Order food for delivery from restaurants, cafes, bakeries and more.
- Get groceries delivered to your door, including fresh produce, frozen food, drinks and everyday essentials.
- Order any time, whether it’s for breakfast, lunch, dinner or a late-night snack.
- Find lighter meal options, including poke bowls, salads, wraps, and sandwiches.
- Choose from many international cuisines, including Indian, Chinese, Thai, Greek, Mexican, and Korean.
- Discover exclusive restaurant deals and discounts in the ‘Offers’ section.

Track or collect your order
Track your order in real-time with the Food Tracker® feature. You’ll receive push notifications about the status of your order. It usually takes 30-45 minutes to deliver your food or groceries. Prefer collection? Simply choose the ‘collection’ option in the Just Eat app and pick up your order at your convenience.


Why Just Eat?
- Quick and hassle-free food delivery.
- Great offers and discounts.
- Choose to collect your order at the restaurant or store.
- Browse grocery stores, cuisines, offers, top-rated restaurants, nearby spots, and vegetarian/vegan/halal options.
- Get regular updates on your order with a handy Food Tracker®.
- Choose from multiple payment options.

With over 98,000+ restaurants, supermarkets and stores at your fingertips, Just Eat makes food and grocery delivery easier than ever.

Download the Just Eat app now and get what you love, delivered.",2020-05-18T07:00:00Z,2025-11-10T13:58:39Z
ie,Ireland,Food & Drink,6023,2,1058959277,Uber Eats: Food & Groceries,"Uber Technologies, Inc.",https://apps.apple.com/ie/app/uber-eats-food-groceries/id1058959277?uo=4,0.0,4.68912,42244,Food & Drink,"Get food delivery to your doorstep from thousands of amazing local and national restaurants. Find the meal you crave and order food from restaurants easily with the Uber Eats app. Track your order in real-time.

FIND YOUR FAVOURITE FOOD & RESTAURANTS
Order food from nearby restaurants and search by cuisine, restaurant name, dish, and meal. 
Food delivery options for you to order and enjoy such as pizza, burritos, burgers, sushi, fish and chips, doughnuts and Chinese takeout.
Prefer pickup? Skip the line and reservations and choose to pick up your order instead. Choose your favourite delivery options with the Uber Eats app now.

SUBSCRIBE TO UBER ONE
For £5.99 per month, Uber One subscribers enjoy £0 delivery fee and up to 5% off orders over £15 at participating non-grocery stores (and 5% off orders over £25 at participating grocery stores) available on Uber Eats. Members are also eligible for rewards, perks, coupons, and offers. View full Uber One Terms & Conditions in app.

ORDER ALMOST ANYTHING, ANYTIME
Order household needs from your favourite pharmacies, supermarkets, and pet shops. Baby food or nappies, pharmacy needs, beauty products and cosmetics. Grocery staples like bread and milk, bananas and produce, flowers and plants, packaged foods or frozen treats. 

You can even order alcoholic drinks including beer, wine, spirits and cocktails.*

SIMPLE DELIVERY ORDERING
Pick your food order from any menu and add it to your cart with a few taps. That’s it.
Uber Eats makes it easy to order food delivery online or through the app and have it delivered by restaurants and delivery people near you.
Or, schedule your order in advance for a delivery person to pick it up later. Your choice!

ORDER FOOD AHEAD WITH PICKUP
Now you can also order food ahead for Pickup instead of just ordering delivery. Select Pickup, add food items to your cart, and skip the lines to the restaurant to get your food.

REAL-TIME ORDER TRACKING
Track your food delivery order on a map as it heads your way.
See the estimated arrival time at your address.
Get notified when your order arrives.

FIND SOME OF YOUR FAVOURITE NATIONAL RESTAURANTS
Some of our food delivery partners include: Pizza Hut, Domino’s Pizza, Burger King, Dunkin', KFC, McDonald's, Starbucks, Subway, Taco Bell,Costa Coffee, Kaspas, Gourmet Burger Kitchen, Franco Manca, Dixy Chicken, Chipotle, Chaiiwala, Amigos Burgers Shakes, Papa John’s, Krispy Kreme.  

FIND PHARMACIES, GROCERY STORES, AND MORE
Order from grocery stores such as Asda, Sainsbury Supermarket, Waitrose, The Co-op, Iceland, M&S Food, and Londis. You can also order from pharmacies such as Boots via Uber Eats, as well as from other delivery partners in the convenience and retail spaces.

ABOUT UBER EATS
Uber Eats is the way to order the food you love through an easy delivery experience. Uber Eats is available in hundreds of cities around the world. Enter your delivery address to explore restaurant and grocery delivery options near you.

AVAILABLE INTERNATIONALLY

Join others in your city who use the Uber Eats app to order from their favourite restaurants and schedule delivery.

Uber Eats is currently available in cities and metro areas including Adelaide, Amsterdam, Atlanta, Auckland, Austin, Baltimore, Brussels, Cape Town, Chicago, Dallas, Denver, Johannesburg, Glasgow, London, Los Angeles, Madrid, Melbourne, Mexico City, Miami, Milan, Nashville, New Orleans, New York, Ottawa, Paris, Philadelphia, San Diego, San Francisco, Seattle, Stockholm, Sydney, Taipei, Tokyo, Toronto, Warsaw, and Washington DC. Uber Eats helps you find food delivery around the world. Order delivery in countries around the world. See full list of available countries on our website. Uber content/messages human- or machine-translated as per device settings; accuracy not guaranteed

*Alcohol is only available in select markets. Must be at least 18 to purchase. Item availability varies by market. See the Uber Eats app for details.",2016-06-06T21:35:56Z,2025-11-17T16:26:42Z
ie,Ireland,Food & Drink,6023,3,1001501844,Deliveroo: Food & Shopping,ROOFOODS LTD,https://apps.apple.com/ie/app/deliveroo-food-shopping/id1001501844?uo=4,0.0,4.64832,110731,Food & Drink,"Hungry? Get your favourite meals, takeaways and groceries delivered to your door in minutes with Deliveroo. From local gems to big-name brands, discover thousands of restaurants and supermarkets near you.

ALL YOUR FAVOURITES, DELIVERED:

- Restaurants: Big brands and local gems
- Grocery: Always fresh with our Freshness Promise
- Convenience: Beauty essentials, flowers, gifts, DIY and more in minutes

Order from the restaurants you’re craving...

- Sushi or pizza?
- A Chinese or Indian?
- Burgers, pasta, breakfast or something sweet?

All of your favourites are just a tap away from top brands like KFC, McDonald’s, Burger King, Subway, Nando’s, Wagamama, Popeyes, Papa John’s, Wingstop, Giggling Squid, Kokoro, Pizza Express, Five Guys, Franco Manca, Dishoom, Pho, Taco Bell, Starbucks, Gail's Bakery, Joe & the Juice, GBK and more!

Or Fancy something different? Discover thousands of local gems that deliver right to your door.

£0 DELIVERY FEE WITH DELIVEROO PLUS

Become a member and you’ll also unlock:

- Exclusive offers and member-only deals
- Monthly rewards that help your money go further
- Discounted service fees*
- Earn 10% back on restaurant orders over £30*

*Plus Gold members only

It’s the simplest way to save while enjoying what you love most.

SUPERMARKETS SORTED

Get groceries delivered fast from top supermarkets, including Waitrose, ASDA, Morrisons, M&S, Sainsbury’s, Co-Op, Amazon Fresh, Whole Foods, Spar, One Stop, Iceland and Majestic Wine.

MORE THAN FOOD

We’re here for the everyday essentials and little treats too. From Boots and Healf to Not On The High Street, B&Q, Screwfix, Accessorize and The Perfume Shop, we've got you covered.

WHY CHOOSE DELIVEROO?

- Track every order live from kitchen to doorstep
- Enjoy fast, reliable delivery when it matters
- Order for right now or schedule for later
- Pick up deals you won’t find anywhere else

Download the app today and let us bring the best of your neighbourhood straight to your door.

T&Cs apply. Visit the website for full details.",2015-08-13T12:23:14Z,2025-11-21T19:56:46Z
ie,Ireland,Food & Drink,6023,4,1060683933,Too Good To Go: End Food Waste,Too Good To Go ApS,https://apps.apple.com/ie/app/too-good-to-go-end-food-waste/id1060683933?uo=4,0.0,4.92016,18824,Food & Drink,"Too Good To Go is your smart way to enjoy tasty food at great value, while doing good for the planet. Winner of the 2023 ‘Cultural Impact’ category at the prestigious Apple App Store Awards, the #1 app to reduce food waste helps you save delicious, unsold snacks, meals, and ingredients from local shops, cafés, supermarkets, restaurants, and top brands—all at great prices. 

In a world where 40% of food produced goes to waste each year, reducing food waste is the #1 action we can take to help tackle climate change. With Too Good To Go, you can unlock affordable meals and grocery items while helping to save the planet. Together, we have the power to make a real difference.



HOW TOO GOOD TO GO WORKS:

EXPLORE AND DISCOVER
Download the app to explore a map showing nearby restaurants, cafés, bakeries, supermarkets or trusted brands offering good food at a great price, ready to be rescued.

SAVE YOUR SURPRISE BAG OR TOO GOOD TO GO PARCEL
Browse a variety of Surprise Bags filled with tasty, unsold food—whether it’s sushi, pizza, burgers, or fresh fruits and veggies. Prefer to get your favourite food brands delivered to you? Save a Too Good To Go Parcel packed with good food from the brands you love, at great prices. 

AFFORDABLE EATS
Save a Surprise Bag or a Too Good To Go Parcel at ½ price or less. 

RESERVE YOUR SAVE
Confirm your purchase through the app to reserve your Surprise Bag and rescue these delicious meals from going to waste. By rescuing food, you save money and help fight food waste.

ENJOY
Collect your Surprise Bag at the scheduled time, or have your Too Good To Go Parcel delivered directly to you.


WHY TOO GOOD TO GO?:

WALLET-FRIENDLY INDULGENCE
Enjoy quality meals at affordable prices, satisfying both your taste buds and your wallet.

VARIETY AND CHOICE
Too Good To Go partners with a wide selection of local favourites and top brands, offering everything from sushi, pizza, baked and fresh goods to easy-to-store staple grocery items such as snacks, drinks, sweets or pasta.

ENVIRONMENTAL IMPACT
Each meal saved avoids CO2e emissions and the unnecessary use of water and land resources. By rescuing food from going to waste, you take a step towards a greener, cleaner planet. 

EASY PURCHASE PROCESS
The app’s simple and user-friendly interface makes it easy to browse, choose, and save Surprise Bags or Too Good To Go Parcels.

CONVENIENCE
Pick up your Surprise Bag at the designated time, or have a Too Good To Go Parcel delivered directly to you.

JOIN THE TOO GOOD TO GO COMMUNITY
Join the community of food lovers making a positive impact on the environment. Download the app now and start reducing food waste, bite by bite. 
Reducing food waste is a key action to help tackle climate change. For more information, visit tgtg.to/claims",2015-12-08T16:11:45Z,2025-11-10T13:37:32Z
ie,Ireland,Food & Drink,6023,5,296581815,OpenTable: Restaurant Bookings,"OpenTable, Inc.",https://apps.apple.com/ie/app/opentable-restaurant-bookings/id296581815?uo=4,0.0,4.85573,31711,Food & Drink,"Every great meal starts with OpenTable. Download the app to find the perfect restaurant no matter where life takes you.  

DISCOVER SOMETHING NEW
- Choose from over 60,000+ restaurants worldwide 
- Search for happy hours, tasting menus, and other special dining experiences
- Get insights from real diners who have visited the restaurant with verified reviews
- Filter by cuisine, pricepoint, and more to fine-tune your options
- Take advantage of expert recommendations with OpenTable’s guides 

FIND A TIME THAT WORKS FOR YOU
- Search for specific dates, times, and specific locations to see what’s available when you want to go out 
- View full availability to see when you can get into your favorite spots 
- Use Notify Me to receive alerts for last-minute openings at popular restaurants

MANAGE YOUR PLANS IN ONE PLACE
- View and change reservations from the app
- Direct message with restaurants to ask questions, provide important information like dietary restrictions, and more 
- Earn bonus points for dining at specific restaurants when you create an OpenTable account

Follow us on:
https://www.instagram.com/opentable
https://www.tiktok.com/@opentable
https://www.youtube.com/c/OpenTable
https://www.facebook.com/OpenTable/

Need help? We love hearing from you! Reach out at https://help.opentable.com/",2008-11-15T07:25:55Z,2025-11-18T16:08:36Z
ie,Ireland,Food & Drink,6023,6,1217507712,McDonald's,McDonald's Global Markets LLC,https://apps.apple.com/ie/app/mcdonalds/id1217507712?uo=4,0.0,2.72475,396,Food & Drink,"Welcome to the new official McDonald’s app.

The app is filled with great offers specially tailored to you. Deals and discounts appear regularly so check back often to see what’s new.

The news section keeps you up to date with everything that’s going on in McDonald’s near you. Look here for new games and competitions.

The nutrition section provides information on our entire menu. We provide allergy advice and nutritional information on everything from the Big Mac to a single dip!

Use our restaurant finder to find your nearest McDonald’s. Filter your search based on opening hours, facilities and get directions from wherever you are.",2020-10-20T07:00:00Z,2025-11-21T13:12:09Z
ie,Ireland,Food & Drink,6023,7,1472444647,SQUID - Loyalty + Rewards,Squid Rewards Ltd.,https://apps.apple.com/ie/app/squid-loyalty-rewards/id1472444647?uo=4,0.0,4.85538,4045,Food & Drink,"SQUID allows you to collect loyalty stamps on your phone in participating cafes, restaurants and salons across Ireland and the UK. Simply tap your phone on the Squid tag at the checkout to collect your stamp! 

All your loyalty cards are stored in your SQUID digital wallet so you always have your loyalty cards to hand and never lose them. Rewards can also be redeemed directly from the app.

Use the Discover feature to see where you can use SQUID. This is constantly updated as we add more businesses to the platform.

With SQUID, you can also discover special offers and pre-buy coffees and more with exclusive member prices.

----
Icons made by Smashicon from www.flaticon.com",2019-10-03T07:00:00Z,2025-11-19T12:40:54Z
ie,Ireland,Food & Drink,6023,8,1269110501,Supermac's,SUPERMACS HOLDINGS LIMITED,https://apps.apple.com/ie/app/supermacs/id1269110501?uo=4,0.0,4.64555,3126,Food & Drink,Browse our menu and place an order at your nearest Supermacs restaurant!,2017-09-07T21:14:06Z,2025-11-22T09:04:41Z
ie,Ireland,Food & Drink,6023,9,1209864393,Caffè Nero,Neal Street Technologies Limited,https://apps.apple.com/ie/app/caff%C3%A8-nero/id1209864393?uo=4,0.0,4.65333,225,Food & Drink,"The Caffè Nero app is the quickest route to your morning coffee and means you’ll never lose your loyalty card again! Link your debit or credit card for secure and speedy payment, enjoy watching your stamps build on your digital loyalty card, plus earn exclusive rewards along the way.

Scan the QR code in the app and the rest happens automatically… apart from your coffee, which our Baristas will handcraft just the way you like it, as usual.

You can also find your nearest store with our in-app location finder.

Pay securely • Collect stamps • Earn rewards",2017-03-06T09:27:09Z,2025-11-24T05:59:04Z
ie,Ireland,Food & Drink,6023,10,426415753,Domino's Pizza Delivery UK&ROI,Dominos Pizza Group Ltd,https://apps.apple.com/ie/app/dominos-pizza-delivery-uk-roi/id426415753?uo=4,0.0,4.7576,105686,Food & Drink,"When you want pizza, you really want pizza. Luckily, our app is the quickest and easiest way to order one with a whole host of exclusive features. Want to know more? Course you do…


ORDER PIZZA

Scroll through our easy-order menu and treat yourself to an all-time classic or discover something new! You can even Create Your Own customised creation, give it a name and save it for next time. 


DELIVERY OR TAKEAWAY

Whether you want to collect from your local store or have your pizza delivered to your door, our app’s got you covered. With stores up and down the country, you’re sure to find a Domino’s Pizza near you. 


EXCLUSIVE PIZZA DEALS

If deals are your thing, you’ve come to the right place (almost). Download our app and you’ll find dozens of exclusive pizza deals to suit any budget (and any occasion). You can even add your vouchers to bag discounts on your order!


GROUP ORDERING

If you need to order pizza for the whole fam, you can set up a group order to make ordering for the gang a doddle. Just send them an invite, let them choose what they want and it’ll get added to the order! 


PRE-ORDERING

If you know you want pizza later, but you’re ready to order now…no worries. Get your order in early, let us know when you want it, and we’ll do the rest. Oh, and if you know you want the same as last time, you can just choose it from your order history! 


PAYMENT

Oh, and when it comes to settling up, you can pay pretty much however you like…using card, PayPal or with just a few taps thanks to Apple Pay. Plus, you can keep an eye on your pizza’s progress with our trusty pizza tracker.
 

So, if you haven’t downloaded our app yet, you’re missing out on everything you love about Domino’s and so much more. 

Hit the link to download now and see it with your own eyes!

By downloading and using this app, you confirm that you accept our Terms and Conditions, Privacy Policy and Cookie Policy too.

UK
https://www.dominos.co.uk/legal/content/termsandconditions
https://www.dominos.co.uk/legal/content/privacypolicy
https://www.dominos.co.uk/legal/content/cookiepolicy

Ireland
https://www.dominos.ie/legal/content/termsandconditions
https://www.dominos.ie/legal/content/privacypolicy
https://www.dominos.ie/legal/content/cookiepolicy",2011-03-24T01:05:16Z,2025-11-05T10:01:23Z
