country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
ly,Libya,Business,6000,1,1386412985,WhatsApp Business,WhatsApp Inc.,https://apps.apple.com/ly/app/whatsapp-business/id1386412985?uo=4,0.0,4.31165,13008,Business,"About this app

Everything you love about WhatsApp plus built-in tools for business
WhatsApp Business is a free-to-download app with built-in tools to help you work smarter, build trust, and grow your business. 

You get  free calls* and free international messaging* plus business features to help you do more with conversations.

Download the app to get business benefits like these:

• Work smarter. Save time by letting the app do the work for you! Send customers automated quick replies and away messages so you never miss an opportunity. Use labels to quickly organize, filter, and find important conversations. Create a status to share an offer or news, and even take orders and payments** in-app to create a great customer experience. 


• Build relationships and trust. With a professional business profile on a secure platform,  you build credibility and trust with customers. Use the app to provide more responsive customer support and build long-term loyalty. Subscribe to Meta Verified*** to reinforce your authenticity.


• Sell more and grow. Get discovered, advertise, and make more valuable customer connections. Boost sales by sending targeted offers to customers; create ads that click to WhatsApp; showcase your product catalog; and give customers the convenience of in-app orders and payments.**

FAQs
Are all features free?
The app is free to download and use, with a mix of free and paid features.

Can I still use my personal WhatsApp?
Yes! As long as you have two different phone numbers, your business and personal accounts can live together on a single device.  

Can I transfer over my chat history?
Yes. When you set up the WhatsApp Business app, you can restore a backup from your WhatsApp account to transfer your messages, media, and contacts to your business account.

How many devices can I connect?
You can have a total of five web-based devices or mobile phones on your account (up to 10 if you subscribe to Meta Verified***). 

*Data charges may apply. Contact your provider for details.
**Not available in all markets
***Available soon globally

Terms of Service: https://www.whatsapp.com/legal/terms-of-service
 
 Learn more about messaging privately: https://www.whatsapp.com/privacy
 
 Learn more about WhatsApp safety: https://www.whatsapp.com/security",2020-04-10T07:00:00Z,2025-11-21T02:04:04Z
ly,Libya,Business,6000,2,6751152308,CountiQ Finance,Ahmed  Bafageeh,https://apps.apple.com/ly/app/countiq-finance/id6751152308?uo=4,0.0,4.59999,10,Business,"CountiQ makes multi-currency money tracking finally simple. Log income, expenses, and debts per contact in their original currencies (USD, EUR, SAR, and 200+ more), then see a unified balance in your base currency—instantly. With live FX rates updated every 30 seconds, clean PDF exports, and built-in AI insights, CountiQ is the easiest way to keep personal and freelance finances crystal-clear.

Made for people who live in more than one currency

Expats and frequent travelers

Freelancers paid in USD/EUR while spending locally

Online sellers and side hustlers with cross-border clients

Anyone who tracks what “Ahmed owes” across multiple partial payments

Why CountiQ

Track debts per contact: Record multiple payments for the same person in different currencies and let CountiQ handle the math.

200+ currencies with live FX (30s): Enter amounts “as received”—no manual conversion.

Unified balances: View totals in your base currency and per contact/project.

Clean, shareable PDFs: Export professional statements (income, expense, net) in a click.

AI assist: Ask quick questions (“Where did my money go this month?”) and get concise summaries.

Modern, comfortable UI: Fast, minimal, and designed for focus.

No ads: Stay productive without interruptions.

Secure sign-in: Sign in with Apple or Google.

Multi-language: English, Arabic, Turkish, French, German (more coming).

How it works (in 60 seconds)

Add a contact.

Log two payments in different currencies (e.g., EUR + USD).

Instantly see the combined balance in your base currency.

Export a tidy PDF or ask AI for a quick summary.

Free launch period

Enjoy all features free for 60 days from launch. After that, pick the plan that fits:

Free — up to 5 clients, 40 transactions, 10 PDFs, 10 AI prompts, 3 currencies, basic invoice storage.

Pro — everything you need with generous limits: $1.22/month or $9.90/year.
(Prices may vary by region. Taxes handled by the stores.)

Transparency you can trust

FX rates refresh every 30 seconds. Each entry stores its original currency and timestamp for clarity.

Totals are shown using mid-market style conversions for a fair, comprehensible view.

CountiQ provides insights, not financial advice.

Whether you’re tracking what friends owe after a trip, billing clients across borders, or simply keeping personal budgets straight, CountiQ gives you the clarity you’ve been missing—fast.

SUBSCRIPTIONS



CountiQ Pro – Monthly
• Duration: 1 month (auto-renewing)
• Price: US $1.19 / month (price varies by region; taxes may apply)

CountiQ Pro – Yearly
• Duration: 12 months (auto-renewing)
• Price: US $9.99 / year (~US $0.83/month; price varies by region; taxes may apply)

What you get (both plans)
• Unlimited use of all Pro features
• Unlimited transactions
• Multi-currency with real-time FX
• PDF exports
• Advanced budgeting & categories
• Smart reminders
• Priority support

Billing & Renewal
• Payment is charged to your Apple ID at confirmation of purchase.
• Subscriptions renew automatically unless auto-renew is turned off at least 24 hours before the end of the current period.
• Your account will be charged for renewal within 24 hours prior to the end of the current period.
• Manage or cancel your subscription any time in Settings > [your name] > Subscriptions.

Legal
• Privacy Policy: https://countiq.app/privacy
• Terms of Use (EULA): https://www.apple.com/legal/internet-services/itunes/dev/stdeula/",2025-09-10T07:00:00Z,2025-11-20T13:56:05Z
ly,Libya,Business,6000,3,1437539916,MyLTT,LIBYAN TELECOMMUNICATIONS AND TECHNOLOGY COMPANY,https://apps.apple.com/ly/app/myltt/id1437539916?uo=4,0.0,2.33541,641,Business,"MyLTT allows you to manage your services from LTT. Manage your 4G, ADSL, WiMax, FTTH and LibyaPhone services, supports Arabic and English interface.
Features:
- Adding multiple accounts
- Viewing account summary (Balance, Quota, Account Status, etc)
- Top Up
- Switching Package
- Renewing package before it expires
- Activating extra quota in one step
- Viewing LTT's services and available packages
- Managing Passwords and PIN Codes
- Using one Passcode to manage all your accounts",2020-04-19T07:00:00Z,2025-03-13T09:53:18Z
ly,Libya,Business,6000,4,6502348779,Caller ID - Spam Call Blocker,APERO TECHNOLOGIES GROUP JOINT STOCK COMPANY,https://apps.apple.com/ly/app/caller-id-spam-call-blocker/id6502348779?uo=4,0.0,1.83333,6,Business,"Identify Unknown Callers & Block Spam with Our Caller ID App for iOS!

Take control of your calls with our advanced Caller ID app. Instantly identify unknown numbers and block spam calls effortlessly. Our cutting-edge technology ensures you always know who's calling before you answer.

Why Choose Our Caller ID App?
- Real-Time Caller Identification – Access a vast database of millions of phone numbers, providing instant caller details, including name, number location, and social media profiles.
- Automatic Spam Call Blocking – Say goodbye to robocalls, telemarketers, and scammers with our smart blocking system.
- Community-Powered Protection – Report unwanted calls and contribute to a safer communication environment.

Key Features:
- Caller ID with Real Name Display – Instantly recognize incoming calls.
- Spam & Robocall Blocking – Filter out suspicious and unwanted calls.
- Custom Call Blocking & Whitelisting – Personalize your call preferences.
- Extensive Phone Number Database – Identify businesses and access caller details.
- User-Reported Spam Alerts – Stay ahead of new threats.
- Detailed Call History – Review incoming, outgoing, and missed calls with full details.

Join the Fight Against Unwanted Calls!
- Each year, we block billions of scam and unauthorized calls, ensuring a safer experience for our users. Your feedback helps us improve our spam protection, making our app even more effective. Rest assured, your privacy is our priority—we never share your contact information without your consent.
- Protect your phone and enjoy a seamless calling experience with our Caller ID & Spam Call Blocker app for iOS today!

Subscription Information
- Your subscription will auto-renew unless manually disabled at least 24 hours before the end of the billing cycle.
- Users can manage their subscription and disable auto-renewal through their Account Settings.
- If a subscription is purchased after a free trial, any unused trial period is forfeited.
- Payment is charged to your iTunes Account upon purchase confirmation.
- Renewal charges will apply within 24 hours before the current billing cycle ends, based on the selected plan.

For more details, please check our policies:
- Privacy Policy: https://sites.google.com/view/callerid-privacy--policy/home
- Terms of Use: https://sites.google.com/view/callerid-term-of-service/home",2024-05-07T07:00:00Z,2025-10-08T16:08:19Z
ly,Libya,Business,6000,5,514643583,Meta Business Suite,"Meta Platforms, Inc.",https://apps.apple.com/ly/app/meta-business-suite/id514643583?uo=4,0.0,4.38978,2858,Business,"Grow your business and connect with more people with Meta Business Suite. Use this app to: 


• Create, schedule and manage posts and stories across your Facebook Page and Instagram account
• Connect with more customers by responding to all of your messages and comments in one place – you can even automate responses to save time
• View insights about how people are interacting with your posts, stories and ads so that you can create content that resonates with them
• View your notifications and to-do list so that you can stay on top of what matters most",2020-04-12T07:00:00Z,2025-11-18T18:50:09Z
ly,Libya,Business,6000,6,6748722204,موبي كاش,Wahda Bank,https://apps.apple.com/ly/app/%D9%85%D9%88%D8%A8%D9%8A-%D9%83%D8%A7%D8%B4/id6748722204?uo=4,0.0,3.36364,11,Business,"تطبيق ""موبي كاش"" (Mobi Cash) للدفع الإلكتروني يتيح للتجار ومقدمي الخدمات تلقي ثمن المبيعات من زبائن مصرف الوحدة والعديد من المصارف الأخرى عن طريق تحويل مالي إلى حساباتهم.


بالإضافة إلى الوظائف التالية :

• تلقي المدفوعات عن طريق رمز الـ QR أو الرسالة النصية القصيرة SMS من خلال خدمة ""موبي كاش"".

• تلقي المدفوعات برمز الـ QR من العديد من خدمات الدفع الإلكتروني الأخرى بخدمة ""المصارف الصديقة"".

• تلقي المدفوعات برمز الـ QR، أو الـ NFC، من مختلف خدمات الدفع الأخرى عبر خدمة ""وان باي"".

• إمكانية استرجاع قيمة المشتريات للزبون.

• كشف حساب الفواتير المدفوعة أو المسترجعة مع إمكانية إرساله إلى البريد الإلكتروني.

• تقارير منفصلة للمدفوعات الخاصة بخدمة الدفع عبر ""المصارف الصديقة"".

• إدارة مالية منظمة تمكنك من إضافة حسابات خاصة بمختلف الفروع ومتابعة حركاتهم المالية اليومية.

• امكانية ترحيل قيمة مالية وكشف حساب عمليات الترحيل.

• ميزة السحب النقدي للزبون - Cashout.",2025-08-07T07:00:00Z,2025-10-20T21:13:56Z
ly,Libya,Business,6000,7,1627156674,PDF Reader & PDF Editor,ABISHKKING LIMITED.,https://apps.apple.com/ly/app/pdf-reader-pdf-editor/id1627156674?uo=4,0.0,4.63636,33,Business,"Looking for a simple and easy-to-use document reading app? PDF Reader is exactly what you need! It’s an ultimate PDF Viewer that allows you to fast open, read and manage your files in one place. Work with this powerful PDF Reading tool to complete your document tasks effortlessly and boost your productivity.

This ultra-fast PDF Reader lets you view and annotate PDFs in just a few seconds. It is not only a reading app, you can also use it to add signatures, bookmark PDF pages, convert images to PDFs, merge/split PDF files and organize your files. It’s also a handy PDF editor for students, allowing you to edit and share your paper anytime, anywhere.

Download this superior office app to support your work and study, you will have both a PDF viewer, ebook reader, and PDF editor at the same time. Simple, convenient, and lightweight, really worth a try!

Handy PDF Viewer
• Fast open and view documents
• Directly go to the desired page
• One-click switch between light and dark mode

Easily Read PDF
• Page by page and continuous scrolling mode
• Horizontal and vertical viewing mode
• Quickly search files and texts by keywords
• Zoom in and zoom out pages

Annotate and Edit PDF
• Markup paragraphs with highlight colors
• Take notes with underline, strikethrough, etc.
• Add e-signatures to PDF files, fill PDF forms (coming soon)
• Doodle on PDF files
• Easily copy any text on a PDF file

Rich PDF Tools
• Image to PDF - Easily convert images to PDF files
• Merge - Merge multiple PDF files into one
• Split - Split and extract PDF pages to multiple PDF documents
• Print - Print PDF files quickly from your phone
• Add Text - Add text on PDF files anytime (coming soon)
• Compress - Compress PDF files to reduce their size to meet your needs (coming soon)

Manage Files
• Lock - Set password to lock PDF files and protect them from prying eyes
• Sort - You can sort PDF files by file name, size, and last modified time
• Delete/Rename/Favorite - You can rename files, delete files, and add files to Favorite
• Share - Share files with others and collaborate conveniently

#Features coming soon#
1. Fill PDF forms
2. Rotate, add or delete pages
3. Fast conversion between PDF and Word, Excel, JPG, PNG, etc.
4. Smart PDF scanner fast scan and convert PDFs
…

Subscription Terms and Details
- Get unlimited access to all features: 
① GBP £9.99/month
② GBP £29.99/year with 7-day trial
- The payment will be charged to your iTunes account at confirmation of purchase.
- The subscription automatically renews unless auto-renew is turned off at least 24 hours before the end of the current period.
- Subscription may be managed and auto-renewal may be turned off by going to Account Settings after purchase.
- The account will be charged for renewal within 24 hours prior to the end of the current period.
- Any unused portion of a free trial period will be forfeited when the user purchases a subscription to that publication.

Privacy policy: https://pdfreader.abishkking.com/privacypolicy.html
Term of use: https://pdfreader.abishkking.com/terms.html

We will keep working hard to optimize the app and improve the user experience. Please feel free to contact us at pdfreaderiosfeedback@gmail.com if you have any suggestions.",2022-10-27T07:00:00Z,2025-10-15T01:58:33Z
ly,Libya,Business,6000,8,546505307,Zoom Workplace,"Zoom Communications, Inc.",https://apps.apple.com/ly/app/zoom-workplace/id546505307?uo=4,0.0,4.25333,150,Business,"Reimagine teamwork with Zoom Workplace, an AI-first, open collaboration platform that combines team chat, meetings, phone*, whiteboard, calendar, mail, docs, and more. Use Zoom Workplace for iOS with any free or paid Zoom license.

And with your Pro or Business Zoom license you have access to AI Companion woven throughout Zoom Workplace. You can get caught up quickly with a summary and key points from your unread messages, draft new content, and keep conversations focused and impactful. It’s your personal assistant across Zoom Workplace, available at no additional cost with your paid Zoom license, available wherever you are from your mobile device. 

BE MORE PRODUCTIVE ON THE GO WITH AI COMPANION* ON YOUR MOBILE DEVICE
Quickly get prepared for upcoming meetings
Have AI Companion* generate a first draft of content 
Get a summary of your unread Team Chat messages

STREAMLINE COMMUNICATIONS WITH A SINGLE APP
Schedule or join a video meeting with one tap
Chat with colleagues and external contacts
Place and receive phone calls or send SMS text messages*

IMPROVE PRODUCTIVITY
Organize and share information at scale with Zoom Docs 
Receive automated meeting summaries with AI Companion*
Brainstorm on virtual whiteboards

BOUNCE BETWEEN LOCATIONS
Move a live meeting or call seamlessly between devices with one tap
Start a Zoom Rooms meeting and share content*
Multitask with Picture in Picture on iPhone or Split View on iPad

WORK SAFELY ON THE GO
Stay focused on the road with Apple CarPlay support
Customize Siri Shortcuts for hands-free voice commands
Keep your data secure with enterprise-grade security and SSO*


* A paid Zoom Workplace subscription or other license may be required to use certain product features. Upgrade your free account today to start gaining these benefits. AI Companion may not be available for all regions and industry verticals. Some features not currently available across all regions or plans and are subject to change.

UPGRADE YOUR FREE ACCOUNT TO ZOOM WORKPLACE PRO AND GET AI COMPANION INCLUDED 
Host unlimited meetings up to 30 hours each
Record meetings to the cloud (up to 10GB)
Assign meeting co-hosts and schedulers

Your Zoom Workplace Pro subscription will automatically renew unless you cancel at least 24 hours before the end of the free trial or the plan billing period. After you start your subscription, you can manage it from either App Store settings or iOS settings. The amount charged to the payment method in your App Store account will vary by the plan you select and your country. The plan price will be displayed before you start your free trial or confirm your purchase.

We’d love to hear from you! Join the Zoom community: https://community.zoom.com/

Follow us on social media @zoom

Terms of Service: https://www.zoom.com/terms/
Privacy Statement: https://explore.zoom.us/privacy/

Have a question? Contact us at https://support.zoom.com/hc",2020-04-13T07:00:00Z,2025-11-19T01:44:12Z
ly,Libya,Business,6000,9,6499503535,درب السبيل,DARB ASSABIL COMPANY FOR PASSENGERS & GOODS TRANSPORT,https://apps.apple.com/ly/app/%D8%AF%D8%B1%D8%A8-%D8%A7%D9%84%D8%B3%D8%A8%D9%8A%D9%84/id6499503535?uo=4,0.0,4.51851,405,Business,Darb Assabil allows you to ship your products inside and outside of the country.,2024-05-09T07:00:00Z,2025-11-08T18:19:34Z
ly,Libya,Business,6000,10,1113153706,Microsoft Teams,Microsoft Corporation,https://apps.apple.com/ly/app/microsoft-teams/id1113153706?uo=4,0.0,4.58636,220,Business,"Whether you’re connecting with your community for an upcoming activity or working with teammates on a project, Microsoft Teams helps bring people together so that they can get things done. It’s the only app that has communities, events, chats, channels, meetings, storage, tasks, and calendars in one place—so you can easily connect and manage access to information. Get your community, family, friends, or workmates together to accomplish tasks, share ideas, and make plans. Join audio and video calls in a secure setting, collaborate in documents, and store files and photos with built-in cloud storage. You can do it all in Microsoft Teams. 

Easily connect with anyone: 
• Skype is now part of Teams. Continue where you left off with your chats, calls and contacts in Microsoft Teams Free. 
• Meet securely with communities, teammates, family, or friends.
• Set up a meeting within seconds and invite anyone by sharing a link or calendar invite. 
• Chat 1-1 or to your entire community, @mention people in chats to get their attention. 
• Create a dedicated community to discuss specific topics and make plans*.
• Work closely and collaborate by keeping conversations organized by specific topics and projects with teams and channels.
• Video or audio call anyone directly in Teams or instantly convert a group chat to a call. 
• Use GIFs, emojis, and message animations to express yourself when words aren’t enough.
 
Accomplish plans and projects together: 
• Send photos and videos in chats to quickly and easily share important moments.
• Use cloud storage to access shared documents and files on the go. 
• Organize shared content in a community — events, photos, links, files —so you don’t have to waste time searching*. 
• Get the most out of your meetings by using screen share, whiteboard, or breakout in virtual rooms.
• Manage access to information and ensure the right people have access to the right info, even when people join and leave projects.
• Use task lists to stay on top of projects and plans - assign tasks, set due dates, and cross off items to keep everyone on the same page. 

Designed to give you peace of mind: 
• Securely collaborate with others while maintaining control over your data.
• Keep communities safe by allowing owners to remove inappropriate content or members*.
• Enterprise-level security and compliance you expect from Microsoft 365**. 

*Available when using Microsoft Teams with your Microsoft account.

**Commercial features of this app require a paid Microsoft 365 commercial subscription or a trial subscription of Microsoft Teams for work. If you’re not sure about your company’s subscription or the services you have access to, visit Office.com/Teams to learn more or contact your IT department. 

By downloading Teams, you agree to the license (see aka.ms/eulateamsmobile) and privacy terms (see aka.ms/privacy). For support or feedback, email us at mtiosapp@microsoft.com. EU Contract Summary: aka.ms/EUContractSummary

Consumer Health Data Privacy Policy   
https://go.microsoft.com/fwlink/?linkid=2259814",2020-04-10T07:00:00Z,2025-11-19T10:48:46Z
