country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
lu,Luxembourg,Finance,6015,1,932493382,Revolut - Mobile Finance,Revolut Ltd,https://apps.apple.com/lu/app/revolut-mobile-finance/id932493382?uo=4,0.0,4.85096,6649,Finance,"Join the 60+ million customers worldwide who use our app to spend, send, and save smarter.

This description is relevant for UK residents only.

Make your spend, well-spent

- Pay any way, with physical cards, virtual cards, single-use virtual cards for extra protection, Google or Apple Pay — you name it
- Spend abroad like a local with great exchange rates (fees additional to the rate provided may apply)
- Easily track and analyse your spending
- Link your external bank accounts to Revolut to stay on top of all your spending in one place
- Design a physical card you vibe with (fees may apply). Want to add a little luxury? Upgrade to Metal for a shiny steel card
- Not enough? Level up to Ultra to bag an exclusive platinum-plated card (Paid Plan T&Cs and subscription fees apply)
- Set your kids up for financial success. Get them a free Revolut ＜18 account, with their own card, so they can learn about money in a safe and fun way

Send money near, far, wherever they are

- Request or send 30+ currencies with a tap to anyone, anywhere
- Chat, send, and receive money, in one place. Whatever your plans, transfers are instant between your Revolut friends
- No more awkward money chats! Split, chat, and settle bills in one place. You can even share a fun GIF to diffuse any tension

Save the interest-ing way

- Grow your money in GBP, EUR, and USD, with annual interest paid daily, directly into your account
- Access your savings whenever you need to, with zero penalties or fees
- Build your savings effortlessly — set up recurring transfers and round up spare change to stash cash without even trying

Explore investments (Capital at risk. Content is for UK residents only)

- Start investing from $1 (other fees may apply)
- Choose from 2,000+ stocks to invest in some of the world's most popular companies
- Enjoy commission-free stock trading within your monthly allowance (other fees may apply)
- Access our trading Learn courses and quizzes

Investment services are provided by Revolut Trading Ltd (No. 11567840) which is authorised and regulated by the Financial Conduct Authority (FRN: 933846). Registered address: 30 South Colonnade, London E14 5HX, United Kingdom.
End the overspend

- Get instant spending notifications to keep track of every payment
- Use smart budgeting and analytics tools to stop wondering where your money went, and start telling it where to go
- Worried about missing upcoming payments or subscription charges? Don’t be — we’ll notify you beforehand

Looking to go even further? Upgrade to one of our paid plans to get exclusive cards, more benefits, even cooler perks, you name it. Pick the plan that’s right for you: Plus, Premium, Metal or Ultra (Paid Plan T&Cs and subscription fees apply).

Unlock security features that you control

- Freeze and unfreeze your card in a tap
- Use single-use cards with details that regenerate each time, for an extra layer of protection
- Set spending limits and get notifications to keep track of your money

How we protect your money

- Your savings are protected by the FSCS through our partner banks – up to £85k. Subject to eligibility, visit the FSCS website for more information
- Our sophisticated fraud prevention system flags high-risk transactions and pings you an alert, so you can spot scams and nip ‘em in the bud
- It’s our business to protect your data, and we take it seriously. Extensive identity verification keeps sign-ups secure, and your account is protected with passcodes and biometrics
- We’re available 24/7 via our in-app customer support

Revolut Ltd (No. 08804411) is authorised by the Financial Conduct Authority under the Electronic Money Regulations 2011 (FRN: 900562). Registered address: 30 South Colonnade, London E14 5HX, United Kingdom.",2015-03-01T14:54:14Z,2025-11-20T16:41:08Z
lu,Luxembourg,Finance,6015,2,283646709,"PayPal - Send, Manage, Pay","PayPal, Inc.",https://apps.apple.com/lu/app/paypal-send-manage-pay/id283646709?uo=4,0.0,4.74745,5682,Finance,"There’s never been a better time to check out PayPal, the trusted way to pay
Say hello to PayPal+, our free loyalty programme that helps you make the most of your money every time you shop with PayPal

SEND & RECEIVE MONEY​
A simple, secure way to quickly send & receive money to friends and family. With encryption technology, we go the distance to help make sure your money transfers are secure

ITS LOYALTY FOR ALL. AND ITS ALL FOR FREE
PayPal+ is the loyalty programme that rewards you with more points, in more ways. Use them almost anywhere PayPal is accepted. And it’s all for free, with no fees and no caps*​
*Rewards are earned as points under the PayPal+ rewards programme. To start earning, you must be enrolled in PayPal+. If you are not yet enrolled, you can sign in the PayPal app. PayPal+ Terms and conditions apply.

MULTIPLY YOUR POINTS WITH THE PAYPAL DEBIT CARD​
Earn up to 10x PayPal+ points when you pay with your PayPal Debit Card, everywhere Mastercard® is accepted. Add it to your mobile wallet, use it in person, and at PayPal checkout to watch your points grow*​
* Set up and activation required. Terms and conditions apply

BUY NOW, PAY LATER​
Keep track of all your PayPal Pay in 3 repayments.* Plus, earn points whenever you use Pay in 3
*Pay in 3 subject to status. Unregulated credit. Available for purchases £20-£3000. Consider if affordable and impact on other borrowing

SEND MONEY GLOBALLY
Send money to friends and family abroad in over 110 countries – or get even more delivery options with Xoom
*Fees and restrictions apply. Transaction, currency conversion, and other fees may apply

MANAGE YOUR SUBSCRIPTIONS ​
Keep track of your different subscriptions at the subscription hub. Easily view, update, or cancel subscriptions, while enjoying updates on recurring payments. Manage recurring payments all in one place. 

POOL MONEY TOGETHER​
Collect money in advance for group gifts, shared experiences, and more and skip the hassle of reimbursement afterward.​
*An account with PayPal is required to create a Pool. Terms and limits apply

PAY HOW YOU WANT​
Add your debit or credit cards* or link your bank accounts for extra flexibility at checkout. You’ll even be able to continue collecting rewards points**
*Using your credit card through your PayPal wallet may impact your rights under Section 75 of the Consumer Credit Act. This means you may lose the right to hold the merchant or your credit card provider jointly liable if you don’t get the goods or services you paid for (if they cost between £100 and £30,000)​
**Subject to issuer’s applicable reward programme terms and conditions

PayPal UK Ltd is authorised and regulated by the Financial Conduct Authority (FCA) as an electronic money institution (firm reference number 994790); in relation to its regulated consumer credit activities (firm reference number 996405); and for the provision of cryptocurrency services (firm reference number 1000741). Some products and services, such as PayPal Pay in 3 and PayPal Working Capital, are not regulated by the FCA and may offer a lower level of protection. Please read product terms for further details. PayPal UK Ltd's company number is 14741686. Its registered office is 5 Fleet Place, London, United Kingdom, EC4M 7RD",2019-02-03T08:00:00Z,2025-11-17T16:24:16Z
lu,Luxembourg,Finance,6015,3,349866256,tricount: Split & Settle Bills,Tricount SA,https://apps.apple.com/lu/app/tricount-split-settle-bills/id349866256?uo=4,0.0,4.8098,999,Finance,"Join over 17 million users worldwide who trust tricount to split bills, track expenses, and settle up—free and unlimited.

tricount is the easiest way to split costs, manage group expenses, and settle balances with friends, roomies, or your partner. Whether you're organizing a trip, splitting rent, or going out to dinner, tricount helps you stay on top of every bill—fairly and stress-free.

Why Choose tricount?
• Free & unlimited – No subscription, no hidden fees, no limit on tricounts or expenses
• Fair splits – Even for uneven amounts
• Great for roomies, couples, friends, or any shared situation
• Ideal for cost split on rent, trips, groceries, shared budgets, and more
• Real-time bill tracking with clear payback and balance overviews
• Send and receive payment requests instantly through the app
• Built-in calculator for easy amounts per person
• Share expense photos and track everything—even offline
• Supports multiple currencies for international trips
• Better than spreadsheets—and easier than Splitwise

Whether you're planning a getaway, splitting a check, or managing household costs, tricount is the smart, simple way to share expenses and stay organized.

Download tricount today – the best way to split, track, and settle group expenses. 100% free, unlimited, and trusted by millions.",2010-02-01T08:00:00Z,2025-10-30T09:09:36Z
lu,Luxembourg,Finance,6015,4,566325832,Trading 212,Avus Capital LLC,https://apps.apple.com/lu/app/trading-212/id566325832?uo=4,0.0,4.68201,717,Finance,"UK's #1 app for active trading & long-term investing.* (71% of retail CFD accounts lose money when trading with this provider)
Access global financial markets commission-free and hassle-free.
Start with a free, lifetime practice account with virtual money.

Trading 212 Invest & ISA:

- Unlimited commission-free trades;
- 13,000+ Real Stocks and ETFs from the UK, the US, Germany, France, Spain, the Netherlands and others;
- High interest on your uninvested cash: 4.05% on GBP, 2.2% on EUR, 3.55% on USD, and more. Paid daily. Terms apply.
- Multi-currency account: deposit, invest and earn interest in 13 currencies;
- Fractional shares, Pies and AutoInvest: create a diversified portfolio and invest automatically, reinvest dividends, or copy popular portfolios;
- Trading 212 Card - experience revolutionary low exchange rates and get 1% cashback;
- Extended hours trading with fractional shares;
- 24/5 trading for US stocks: non-stop market access from Monday until Friday via more trading sessions;
- Portfolio transfers: transfer shares from and to other brokers. Free of charge;
- Trading 212 community: see how others invest;
- Uncompromising, direct trade execution - we don’t sell your order flow.

Trading 212 Cash ISA:

- 3.85% AER (variable tracker rate), earned daily, paid monthly;
- Flexible - withdraw anytime;
- Completely free - no account fees.

ISA accounts are provided by Trading 212 UK Ltd.


Trading 212 CFD:

- 9,000+ CFDs on Stocks, Forex, Gold, Oil, Indices and more;
- Competitive spreads even at news time;
- Smooth and easy to use charts for technical analysis, powered by TradingView.

...and always an outstanding live customer service, responding within seconds.

Investments can fall and rise. You may get back less than you invested. Past performance is no guarantee of future results. CFDs are complex instruments and come with a high risk of losing money rapidly due to leverage. 71% of retail investor accounts lose money when trading CFDs with this provider. You should consider whether you understand how CFDs work and whether you can afford to take the high risk of losing your money.


Trading 212 provides execution-only service. Not investment advice or portfolio management. Automatic investing refers to executing scheduled deposits. You are responsible for all investment and rebalancing decisions.


Zero commission refers to no broker fee being charged for buying or selling shares. 
FX fee of 0.15% applies when buying or selling securities denominated in a currency different from that of your Trading 212 account.


* Based on statistics by data.ai as of January 2025.


Trading 212 is the following companies:

Trading 212 UK Ltd. authorised and regulated by the Financial Conduct Authority (Register number 609146).
Trading 212 Markets Ltd. authorised and regulated by the CySEC, Cyprus (Register number 398/21).
FXFlat Bank GmbH is authorised and regulated by German Federal Financial Supervisory Authority (BaFin) (BaFin ID number 10109603).
Trading 212 AU PTY Ltd. authorised and regulated by the Australian Securities and Investments Commission (License number 541122).
Trading 212 Ltd. authorised and regulated by the FSC, Bulgaria (Register number RG-03-0237).

Seller: Trading 212
Address: Aldermary House 10-15 Queen Street, London, EC4N 1TX",2012-10-09T06:11:18Z,2025-11-19T13:58:09Z
lu,Luxembourg,Finance,6015,5,391760650,S-Net Mobile,Spuerkeess,https://apps.apple.com/lu/app/s-net-mobile/id391760650?uo=4,0.0,4.22463,739,Finance,"S-Net Mobile, the Banque et Caisse d’Epargne de l’Etat, Luxembourg (Spuerkeess)’s free mobile banking app allows you to: 

• view the transactions on your accounts and credit cards,
• execute payments (Eurotransferts),
• send secure messages to the Spuerkeess and access your received mail and documents,
• find a Spuerkeess branch or S-BANK ATM,
• simulate your personal or mortgage loan.

Furthermore, the PIN-login allows an even faster access to your daily banking operations.",2010-09-27T23:09:42Z,2025-10-30T06:58:40Z
lu,Luxembourg,Finance,6015,6,965192532,Payconiq – BGL BNP Paribas,BGL BNP PARIBAS,https://apps.apple.com/lu/app/payconiq-bgl-bnp-paribas/id965192532?uo=4,0.0,2.19481,77,Finance,"PAYCONIQ MOBILE PAYMENT: FAST, CONVENIENT, SECURE & FREE 
 
Payconiq is a free App that enables you:
- to pay in stores, your bills, in other Apps, in online shops across the Benelux,
- to send, receive and request money to and from any phone number, with transfers via the underlying bank account(s). 
 
- Quick & convenient
- Free (except mobile operator charges)
- Transfers and payments from € 0.01 up to € 2,500 
- Highly secure & set your own payment limits
- Send and request money to/from any mobile number - with underlying bank transfer
- Works for most Luxembourg bank accounts/customers
- Available in hundreds of stores and with many (utility) bill issuers 

* A BANK PAYMENT APP
 
The BGL BNP Paribas Payconiq App is linked both to your phone number and your bank account(s). It meets banking-grade security standards; all payments are authorised with your biometrics or your PIN Code. You can set your security limits according to your preferences (default: EUR 2,500). Payments are made using (SEPA) bank transfer (funds may only be available the next working day). 
 
* QUICK ACTIVATION
 
To start using the App right away, all you have to do is to link it to your bank account. Launch the App and you’ll be guided through the process, it’s fairly easy. 
 
* SEND, RECEIVE & REQUEST MONEY
 
Payconiq is by far the fastest way to transfer money between two people. Choose the recipient’s phone number from your address book, type in the amount, authorise the payment and a SMS/push message is sent to the recipient. If the recipient has already activated Payconiq, the operation is triggered immediately, and if not, a SMS message is send out inviting the recipient to subscribe. Once he/she has activated Payconiq, funds will be transferred into the recipient’s bank account. 
 
Request money from any phone number: the most convenient way to get paid back by your friends, family or colleagues. Simply choose their phone number, type in the amount and they’ll get the request. You’ll receive a notification once they have made the requested payment. 
 
* IN STORE PAYMENT WITH PAYCONIQ QR CODES
 
Truly contactless payments with Payconiq QR codes: launch the Payconiq App, scan the Payconiq QR code and the amount to pay is automatically displayed on your phone. Validate the payment with your biometrics/PIN Code and you’re done.

* BILL PAYMENT WITH QR CODES
 
The quickest way to pay the bills: launch the App, scan the Payconiq QR Code on the bill, confirm the payment and you’re done, typically in less than 10 seconds. It works with your insurance and energy bills, with your telecom and public sector/municipality invoices provided Payconiq payments are accepted. 
 
Feel free to use it at Payconiq partner restaurants as well: no need to wait for the payment terminal, just scan the QR Code on the bill. You may even add a tip and then just leave right away. 
 
* PAYMENT IN OTHER APPS & IN ONLINE STORES
 
Top up your kid’s Restopolis account or use Payconiq on selected web sites: it is the most secure and the most convenient way to pay by clicking on the Payconiq button in the App/web site or in the web store. No card or bank data is transferred and nobody else can use your Payconiq App as all payments are authorised via fingerprint/PIN Code.",2015-03-24T10:30:34Z,2025-08-19T11:00:49Z
lu,Luxembourg,Finance,6015,7,781456280,Web Banking,BGL BNP PARIBAS,https://apps.apple.com/lu/app/web-banking/id781456280?uo=4,0.0,4.45524,1430,Finance,"The BGL BNP Paribas Web Banking app: smooth, simple and secure!

►MANAGE YOUR MONEY WITH COMPLETE FREEDOM
Keep track of all your banking transactions, wherever you are.

►QUICKS INSIGHTS
No need to log in to acces your key information thanks to the Express View.

►TRANSFER WITH EASE
Make instant and international transfers in a matter of seconds.

►MANAGE YOUR CARDS
Activate a card, change a limit and view your PIN securely.

►SUBSCRIBE IN A FEW STEPS
Explore and subscribe to banking products directly from your phone.

►CHAT WITH GENIUS
Your chatbot is available 24/7, so you can get help right away.

►CONTROL YOUR BUDGET
Receive personalized alerts and advice from Genius to better manage your money.",2014-03-20T07:00:00Z,2025-10-28T08:32:26Z
lu,Luxembourg,Finance,6015,8,1436799971,Binance: Buy Bitcoin & Crypto,Binance Switzerland AG,https://apps.apple.com/lu/app/binance-buy-bitcoin-crypto/id1436799971?uo=4,0.0,4.65731,1532,Finance,"Binance is the world’s largest cryptoasset marketplace by trading volume*. Trusted by 250 million users worldwide, the Binance platform allows you to buy, sell, and hold up to 350 cryptoassets, including Bitcoin (BTC), Ether (ETH), Solana (SOL), Notcoin (NOT) and Pepe (PEPE) with some of the lowest trading fees in the market.

Risk Warning: Don’t invest unless you’re prepared to lose all the money you invest. This is a high-risk investment and you should not expect to be protected if something goes wrong. 
Not financial advice. All trading carries risk. Only risk capital you can afford to lose.
Take 2 mins to learn more:
https://www.binance.com/en-GB/legal/risk-warning.

Binance UK is presently not regulated or authorised by the UK Financial Conduct Authority (""FCA). Investments in cryptoassets are not covered by the Financial Ombudsman Service (“FOS”) or subject to protection under the Financial Services Compensation Scheme (“FSCS”).

Legal Entity: Nest Services Limited, trading as Binance, is the entity ultimately responsible for the Binance Services offered to UK based users through the Binance platform.

*by trading volume - Source: https://coinmarketcap.com/rankings/exchanges


Here's a small sample of what you can do on the Binance App:

- Choose from 350+ listed cryptoassets, set up recurring buys and price alerts, and trade with an arsenal of trading tools at your fingertips.
- Fund your account with a variety of payment options, including credit/debit card, P2P, and bank transfer.
- Automate your cryptoasset investments in a way that suits your preferences using Auto-Invest.
- All user funds are held 1:1 and protected by a Secure Asset Fund for Users (SAFU) worth $1 billion.
- Our ecosystem is built from the ground-up with state-of-the-art security measures, including real-time risk monitoring, stringent KYC protocols, and advanced end-to-end data encryption, to name a few.
- Participate in Binance Launchpad, or grow your portfolio with trading bots.
- In addition to an expansive, constantly-updated FAQ section, our 24/7 live chat customer support is available in English.",2018-10-06T19:55:47Z,2025-11-22T06:12:13Z
lu,Luxembourg,Finance,6015,9,455960649,BILnet,Banque Internationale a Luxembourg,https://apps.apple.com/lu/app/bilnet/id455960649?uo=4,0.0,4.61699,14582,Finance,"BILnet: simple, fast, and easy to use. You can perform all of your essential transactions on your mobile!

Manage, group, and rename your accounts independently

-	View your account and credit card balances and transactions in real time
-	Log in as the account holder or an agent
-	When you log in to BILnet as an agent, your accounts are now grouped. Tip: to make organising your accounts easier, feel free to rename your accounts and/or change the order in which they are displayed.

Free instant payments, made in a few seconds and in just a few clicks! 

-	Your eligible SEPA (single euro payment area) payments are now made instantly, within a few seconds, 24/7, and for free! *
-	If your instant payment cannot be made, for example if the receiving bank does not accept instant payments, then your payment will be treated as a standard transfer under the relevant time frame.

The interface for your transfers and standing orders has been tweaked

-	Extra fields are now provided when entering details about the beneficiaries of your transfers. From your computer you can set up a standing order directly from the transfer entry screen. Just tick the “Make this a standing order” box. Tip: to avoid making a mistake when you enter your new beneficiary’s IBAN, you can copy/paste it straight into the appropriate field.

Better loan management 

-	Your mortgages and your personal, student and investment loans appear in the dedicated “Loan” section of BILnet. These loans now take the form of a contract rather than an account on which movements are recorded. 
-	You can now find additional information about your loans in BILnet, including:

o	type of loan
o	amount borrowed/used
o	current interest rate
o	next due dates
o	capital outstanding

Find all your electronic documents easily

-	Download your banking documents in PDF format
-	Take advantage of the free and environmentally friendly paper-free option so that you no longer receive your documents by post
-	Sign your documents electronically
-	All electronic documents are now sorted by date

Contact us whenever you need to

-	Communicate with the bank using secure messaging and share any attachments required 

Don’t have an account yet? Visit bil.com for more information. 

The app is available in four languages (FR, DE, EN, PT).

*For more information about our tariffs, visit bil.com",2011-09-08T07:00:00Z,2025-11-24T06:09:06Z
lu,Luxembourg,Finance,6015,10,1410703839,Trade Republic: Broker & Bank,Trade Republic Bank GmbH,https://apps.apple.com/lu/app/trade-republic-broker-bank/id1410703839?uo=4,0.0,4.78007,873,Finance,"The smartest way to invest, spend and bank.
Earn 2 % interest on unlimited cash with your current account. Get your subscription free card to spend and earn 1 % Saveback. Invest easily and safely with just 1 €.

Earn while you spend
- Activate 2 % annual interest and earn money every month on unlimited cash balances.
- No monthly subscription fee. Unlimited free ATM withdrawals worldwide above 100 €.
- Earn 1 % Saveback on card spending into your savings plan. You can earn Saveback on up to 1,500 € in monthly spending. To qualify, invest at least 50 € monthly in savings plans.
- Round up card payments and invest spare change on the go.

Save now for later
- Invest with just 1 € in stocks, ETFs or crypto. No hidden fees, easy and safe.
- Savings Plans on ETFs or stocks to invest continuously for long term wealth.
- Bonds to lock in high interest for years and get regular payments. Start with 1 €, sell anytime.
- Invest in Private Markets. 12 % market target return and more diversification.
- Invest in Fixed Income. Earn 1-3 % more interest than on your regular savings accounts. 


Trusted by millions
- Over 10 millions users and 150 billions € of assets across 18 European countries.
- German bank regulated by BaFin and Bundesbank.
- Publicly regulated exchange and better spreads than the reference market.

We are on a mission to empower everyone to create wealth with easy, safe and free access to the financial system.

Disclaimer: Not all of the before mentioned services are available in all the markets. The scope and availability of our Stock, ETF, Savings Plan, Crypto, Bonds and Derivative offering may vary according to the country. Please refer to our website for more information.

Brunnenstr. 19-21 
10119 Berlin, Germany",2018-08-04T00:20:56Z,2025-11-24T08:30:52Z
