country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
lu,Luxembourg,Food & Drink,6023,1,943905271,Wolt Delivery: Food and more,Wolt Oy,https://apps.apple.com/lu/app/wolt-delivery-food-and-more/id943905271?uo=4,0.0,4.80168,1074,Food & Drink,"Enjoy your favorite restaurants and stores, all in one place.
The Wolt app makes it easy to discover and order (almost) anything from your city. From delicious food and fresh groceries to pharmacy and pet supplies. Search by category, cuisine, restaurant or item! You can easily browse popular restaurants including McDonald's, KFC, Domino's, Pizza Hut, Papa Johns, Burger King and many more. Enjoy food delivery of burgers, pizza, sushi and other delicious items. If you prefer, you can pick up your order from the restaurant or store!

Order (almost) anything, on-demand.
Need to stock up on groceries? Can’t make it to the city? Wolt has you covered with groceries and essentials at your fingertips. Browse through the categories on Wolt and order anything, from pharmacy items to pet supplies. Anything you need, we’ve got you covered with our 40 000+ restaurants and stores. 

Top offers, only on Wolt.
Discover great offers on food, groceries and more! Browse hand-picked deals in the Wolt app and enjoy great savings. There’s offers on everything from food and groceries to electronics and homewares. Find the freshest deals in the app, including up to 50% off your order and €0 delivery fees!


Subscribe to Wolt+
If you’re looking for even bigger savings, Wolt+ is our popular subscription service offering €0 delivery fees, plus much more. As a Wolt+ member, you’ll unlock unbeatable deals and exclusive perks.

Make every occasion special with Wolt
We’ve made it easy to order and enjoy whatever you need. Get gifts for your loved ones, schedule orders for groceries and food, and save with deals on clothing and more! Wolt has you covered with everything to make moments special. Browse the selection of lovely flowers, chocolates, baked treats and more – delivered to your door in one hour or less.

Double Order
Need to order groceries and dinner? Now you can! Combine two local venues in one order with the same delivery fee. Place a Double Order and enjoy more convenience, for less!

Track every step
With every order, you can enjoy real-time tracking, and a minute-by-minute countdown. Whether you keep an eye on the tracker, or have other things to do, we'll keep you notified, so you know when your order is about to arrive.

Customer support
If something doesn’t go as planned, we’re ready to help – with customer support available 24/7. Our friendly team is there to help the 25+ countries we operate in and are ready to respond in seconds.

Payment
We think ordering Wolt should be as simple as possible. That’s why you can pay conveniently and securely with your credit card or Apple Pay. Whatever works for you.

Life simplified. Joy delivered. 
Wolt is currently available in 170+ cities located in Azerbaijan, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, Georgia, Germany, Greece, Hungary, Israel, Japan, Kazakhstan, Latvia, Lithuania, Malta, Norway, Poland,  Serbia,  Slovakia, Slovenia, Sweden. More are added all the time! Download Now and Unlock Essentials at your fingertips.

Wolt is an Editors’ Choice! 
Recognized by Apple as a top-rated app, Wolt delivers more than just food. Enjoy a seamless experience, from browsing our curated selection of restaurants to tracking your order in real-time.",2015-06-24T15:09:19Z,2025-11-24T06:08:35Z
lu,Luxembourg,Food & Drink,6023,2,1058959277,Uber Eats: Food & Groceries,"Uber Technologies, Inc.",https://apps.apple.com/lu/app/uber-eats-food-groceries/id1058959277?uo=4,0.0,4.6962,3973,Food & Drink,"Get food delivery to your doorstep from thousands of amazing local and national restaurants. Find the meal you crave and order food from restaurants easily with the Uber Eats app. Track your order in real-time.

FIND YOUR FAVOURITE FOOD & RESTAURANTS
Order food from nearby restaurants and search by cuisine, restaurant name, dish, and meal. 
Food delivery options for you to order and enjoy such as pizza, burritos, burgers, sushi, fish and chips, doughnuts and Chinese takeout.
Prefer pickup? Skip the line and reservations and choose to pick up your order instead. Choose your favourite delivery options with the Uber Eats app now.

SUBSCRIBE TO UBER ONE
For £5.99 per month, Uber One subscribers enjoy £0 delivery fee and up to 5% off orders over £15 at participating non-grocery stores (and 5% off orders over £25 at participating grocery stores) available on Uber Eats. Members are also eligible for rewards, perks, coupons, and offers. View full Uber One Terms & Conditions in app.

ORDER ALMOST ANYTHING, ANYTIME
Order household needs from your favourite pharmacies, supermarkets, and pet shops. Baby food or nappies, pharmacy needs, beauty products and cosmetics. Grocery staples like bread and milk, bananas and produce, flowers and plants, packaged foods or frozen treats. 

You can even order alcoholic drinks including beer, wine, spirits and cocktails.*

SIMPLE DELIVERY ORDERING
Pick your food order from any menu and add it to your cart with a few taps. That’s it.
Uber Eats makes it easy to order food delivery online or through the app and have it delivered by restaurants and delivery people near you.
Or, schedule your order in advance for a delivery person to pick it up later. Your choice!

ORDER FOOD AHEAD WITH PICKUP
Now you can also order food ahead for Pickup instead of just ordering delivery. Select Pickup, add food items to your cart, and skip the lines to the restaurant to get your food.

REAL-TIME ORDER TRACKING
Track your food delivery order on a map as it heads your way.
See the estimated arrival time at your address.
Get notified when your order arrives.

FIND SOME OF YOUR FAVOURITE NATIONAL RESTAURANTS
Some of our food delivery partners include: Pizza Hut, Domino’s Pizza, Burger King, Dunkin', KFC, McDonald's, Starbucks, Subway, Taco Bell,Costa Coffee, Kaspas, Gourmet Burger Kitchen, Franco Manca, Dixy Chicken, Chipotle, Chaiiwala, Amigos Burgers Shakes, Papa John’s, Krispy Kreme.  

FIND PHARMACIES, GROCERY STORES, AND MORE
Order from grocery stores such as Asda, Sainsbury Supermarket, Waitrose, The Co-op, Iceland, M&S Food, and Londis. You can also order from pharmacies such as Boots via Uber Eats, as well as from other delivery partners in the convenience and retail spaces.

ABOUT UBER EATS
Uber Eats is the way to order the food you love through an easy delivery experience. Uber Eats is available in hundreds of cities around the world. Enter your delivery address to explore restaurant and grocery delivery options near you.

AVAILABLE INTERNATIONALLY

Join others in your city who use the Uber Eats app to order from their favourite restaurants and schedule delivery.

Uber Eats is currently available in cities and metro areas including Adelaide, Amsterdam, Atlanta, Auckland, Austin, Baltimore, Brussels, Cape Town, Chicago, Dallas, Denver, Johannesburg, Glasgow, London, Los Angeles, Madrid, Melbourne, Mexico City, Miami, Milan, Nashville, New Orleans, New York, Ottawa, Paris, Philadelphia, San Diego, San Francisco, Seattle, Stockholm, Sydney, Taipei, Tokyo, Toronto, Warsaw, and Washington DC. Uber Eats helps you find food delivery around the world. Order delivery in countries around the world. See full list of available countries on our website. Uber content/messages human- or machine-translated as per device settings; accuracy not guaranteed

*Alcohol is only available in select markets. Must be at least 18 to purchase. Item availability varies by market. See the Uber Eats app for details.",2016-06-06T21:35:56Z,2025-11-17T16:26:42Z
lu,Luxembourg,Food & Drink,6023,3,1217507712,McDonald's,McDonald's Global Markets LLC,https://apps.apple.com/lu/app/mcdonalds/id1217507712?uo=4,0.0,1.94737,19,Food & Drink,"Welcome to the new official McDonald’s app.

The app is filled with great offers specially tailored to you. Deals and discounts appear regularly so check back often to see what’s new.

The news section keeps you up to date with everything that’s going on in McDonald’s near you. Look here for new games and competitions.

The nutrition section provides information on our entire menu. We provide allergy advice and nutritional information on everything from the Big Mac to a single dip!

Use our restaurant finder to find your nearest McDonald’s. Filter your search based on opening hours, facilities and get directions from wherever you are.",2018-11-13T18:44:09Z,2025-11-21T13:12:09Z
lu,Luxembourg,Food & Drink,6023,4,1556481752,G La Dalle,Dooha communication,https://apps.apple.com/lu/app/g-la-dalle/id1556481752?uo=4,0.0,0,0,Food & Drink,Une application pour commander en quelque clics.,2021-03-29T07:00:00Z,2021-06-10T01:37:08Z
lu,Luxembourg,Food & Drink,6023,5,6752336681,Flavor Road,David Sowah,https://apps.apple.com/lu/app/flavor-road/id6752336681?uo=4,0.0,0,0,Food & Drink,"Discover authentic street foods from around the world with Flavor Road. This comprehensive app helps you explore, track, and learn about traditional street foods through an interactive map, detailed encyclopedia, and personal food passport.
Navigate through a beautiful map interface to find street food locations across different countries and cities. Each food entry includes rich details like ingredients, flavors, cultural history, vendor stories, and dining etiquette. Filter foods by category, dietary preferences, or occasion to find exactly what you're looking for.
Build your culinary passport by marking foods as tried and adding favorites to your collection. Track your food journey with detailed statistics showing your exploration progress across different countries and food categories. Unlock achievements as you discover new foods and expand your culinary horizons.
Perfect for food enthusiasts, travelers, and anyone curious about global street food culture. Whether you're planning a trip or simply want to learn about different cuisines, Flavor Road brings the world's street food scene to your fingertips.",2025-09-12T07:00:00Z,2025-09-17T16:12:26Z
lu,Luxembourg,Food & Drink,6023,6,1435476674,McDonald’s Luxemburg,McDonald's Deutschland LLC,https://apps.apple.com/lu/app/mcdonalds-luxemburg/id1435476674?uo=4,0.0,3.01885,902,Food & Drink,"***** Die offizielle McDonald’s Deutschland App *****
Smart bestellen und genießen

Mit der McDonald‘s App hast du die ganze Welt von McDonald‘s Deutschland jederzeit, smart und einfach in deiner Hand. Alle Produkte, alle Services, alle Aktionen, alle Coupons. Einfach herunterladen, registrieren und nichts mehr verpassen!

Deine Vorteile auf einen Blick:

+ Mit exklusiven Coupons clever sparen
+ Bequem digital in über 1.000 Restaurants bestellen
+ Mobil bezahlen und keine Wartezeit an der Kasse mehr
+ Alle Produkte und Infos in einer App
+ Lieblingsessen als Favoriten speichern
+ Keine Specials und Gewinnspiele mehr verpassen

Das alles wartet auf dich:

GENUSS ZUM SCHNÄPPCHENPREIS
Ob Burger-Enthusiast oder Fritten-Fan - mit der McDonald's App verpasst du keine Coupons, Gutscheine und Angebote mehr! Einfach kostenlos anmelden und die Coupons im Restaurant oder direkt über die App einlösen.*

NIE MEHR SCHLANGE STEHEN
Vom Klassiker bis hin zu deinem persönlich kreierten Lieblings-Burger - deine Wunschbestellung kannst du ganz einfach über die McDonald's App zusammenstellen und in einem Restaurant deiner Wahl abholen oder direkt dort genießen. Die Bezahlung erfolgt bequem per App oder bar bei Abholung. Schlange stehen war gestern!**

KEINE AKTION MEHR VERPASSEN
Entdecke regelmäßig leckere Neuheiten und spannende Kampagnen in der McDonald's App. Zusätzlich warten zahlreiche Gewinnspiele und großartige Preise auf dich! Lass dich überraschen!*

ALLE RESTAURANTS & SERVICES
Die McDonald's App zeigt dir alle McDonald's Restaurants und Services in deiner Nähe. Zusätzlich hast du alle Details und Informationen zu deinen Lieblingsprodukten wie Preise, Nährwerte und Inhaltsstoffe immer zur Hand.

TREUE WIRD BELOHNT - MIT DEM SAMMELPASS
Sammelspass mit Sammelpass! Mit der McDonald's App hast du deinen Sammelpass immer griffbereit. Hol dir einen Stempel beim Kauf eines Heißgetränks in der Größe Regular oder Grande und genieße jedes 7. Getränk gratis.***

*****

Jetzt downloaden, exklusive Coupons schnappen und smart bestellen!

Guten APPetit



*Nur für registrierte Nutzer. In allen teilnehmenden Restaurants.
**Nur für registrierte Nutzer in ausgewählten Restaurants.
***Das Gratis Getränk gilt für ein Heißgetränk in der Größe Regular. Nur für registrierte Nutzer. In allen teilnehmenden Restaurants.",2018-10-19T03:17:59Z,2020-07-16T22:07:41Z
lu,Luxembourg,Food & Drink,6023,7,1569202908,Wedely,Wedely Sarl,https://apps.apple.com/lu/app/wedely/id1569202908?uo=4,0.0,4.49451,273,Food & Drink,"Tired from a long day at work or just want to treat yourself? 
You've come to the right place! On our application, we offer you all types of cuisine from the best restaurants in Luxembourg at your doorstep in the blink of an eye!

Fancy a good burger, pizza, sushi, or anything else? Just enter your address, choose the restaurant and finalize your order! We will deliver it with a fast and quality service!

Our customers are our highest priority, so you can always interact with us for any advice or if you need help. We are always at your disposal!

We don't just deliver great food, we deliver happiness!",2021-11-06T07:00:00Z,2025-11-14T12:40:50Z
lu,Luxembourg,Food & Drink,6023,8,1471957626,My Burger King BE & LUX,Burger Brands Belgium SA,https://apps.apple.com/lu/app/my-burger-king-be-lux/id1471957626?uo=4,0.0,4.61444,651,Food & Drink,"My Burger King? That’s the application of Burger King Belgium & Luxembourg.

With My Burger King in your pocket, you have all advantages of Burger King with you, all the time!

Advantages, you say?
- For every purchase, you’ll receive our BK Coins. These BK Coins allow you to buy Burger King products.
- New product? New Burger King restaurant? Be the first to be updated on our latest news.
- Hungry? Find the Burger King restaurant closest to you in Belgium & Luxembourg
- And possibly you can score a coupon or two…

Download My Burger King, register and receive your first BK Coins already.",2019-11-26T08:00:00Z,2025-09-25T07:26:05Z
lu,Luxembourg,Food & Drink,6023,9,714004506,Official Cookidoo App,Vorwerk International & Co. KmG,https://apps.apple.com/lu/app/official-cookidoo-app/id714004506?uo=4,0.0,4.78177,4170,Food & Drink,"The Official Thermomix® Cookidoo® App gives you access to the growing universe of mouth-watering Thermomix® Guided Cooking recipes. You pick and choose which recipes go with you wherever you are. Create an account and get cooking!


SMART @ HEART
Connect to Cookidoo® and access over 100,000 worldwide recipes directly from your app and through the screen of the Thermomix® TM6. Also, be sure to check out the exclusive step-by-step photos and videos, making cooking easier than ever.


YOUR THERMOMIX® COOKIDOO® ACCOUNT
To use the app, you need to have your Thermomix® Cookidoo® username and password. Your local Thermomix® Cookidoo® website will tell you how to create your account for the app.


GET INSPIRED
Wondering what to cook today? Discover hundreds of ideas for every taste, season and occasion! With Cookidoo® membership, you get instant access to every recipe on Cookidoo®. Everything’s on the menu! Our recipe suggestions and articles will point you in the right direction.
 
 
CREATED RECIPES
Discover our newest Cookidoo® feature! You can create, import and modify your favourite recipes, save them all in one place and cook them with your Thermomix®. Your Thermomix®, your way.


PLAN AND COOK
Planning is easy and fun, add recipes to your planner and find the recipes ready for cooking when you need them. The Cook Today button on each recipe lets you schedule a recipe with a single click.


MAKE IT YOUR OWN
Create your own recipe lists to manage your recipes the way you want. Bookmark any recipe you find appealing so you can find it later. You can also view recipes you scheduled in the past.
 
 
COOK-KEY® BRINGS GUIDED COOKING TO YOUR FINGER TIPS
Cook-Key® connects your Thermomix® TM5 to Cookidoo®. Enjoy sending your recipe favourites, weekly plan and recipe collections from the iOS App to your Thermomix®.


Terms of Use:
https://www.apple.com/legal/internet-services/itunes/dev/stdeula/",2019-03-02T21:51:06Z,2025-11-13T11:14:03Z
lu,Luxembourg,Food & Drink,6023,10,1510837681,O'Tacos Officiel,OTACOS CORPORATION,https://apps.apple.com/lu/app/otacos-officiel/id1510837681?uo=4,0.0,4.55769,52,Food & Drink,"The new O'TACOS OFFICIAL application offers you new services:

- Click&collect : prepare your order and pick it up in the restaurant of your choice
- Find the restaurant closest to you

New features will be available soon, stay tuned",2020-06-08T07:00:00Z,2025-06-19T07:32:13Z
