country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
mo,Macao,Food & Drink,6023,1,6752922875,Tabelog – 日本美食 & 旅遊,"Kakaku.com, Inc.",https://apps.apple.com/mo/app/tabelog-%E6%97%A5%E6%9C%AC%E7%BE%8E%E9%A3%9F-%E6%97%85%E9%81%8A/id6752922875?uo=4,0.0,5,1,Food & Drink,"旅途中也能快速搜尋並預訂日本在地美食餐廳！
Tabelog 是日本最大規模的餐廳搜尋與預約平台，收錄超過 80 萬家餐廳與 8,200 萬筆在地用戶評論。
從壽司、燒肉、拉麵、居酒屋、咖啡廳到甜點店，您可以依目前位置搜尋附近餐廳，若有空位即可線上預約。也能確認是否支援多語菜單與無現金支付。

專為旅客設計的便利功能：
・搜尋目前地點附近的熱門午餐或晚餐餐廳
・探索當地人推薦的拉麵與甜點名店
・即時搜尋可預約空位的餐廳並快速下訂
・將感興趣的店家加入收藏清單
・適合約會、家庭旅遊或多人聚餐

選擇 Tabelog 的六大理由：
1. 收錄全日本超過 80 萬家餐廳資料
2. 免費瀏覽超過 8,200 萬則在地食評
3. 擁有 300 萬名註冊評論者
4. 以地圖功能輕鬆導航、快速搜尋
5. 顯示即時空位資訊並可線上預約
6. 支援收藏清單功能，輕鬆記錄喜愛店家
*以上資料截至 2024 年 5 月，根據本公司統計。
 
【建議的操作環境】
我們建議您在以下操作環境中使用 Tabelog 應用程式。在非建議環境下，應用程式可能無法正常運作，或無法安裝。為了獲得最佳體驗，請務必升級至建議的作業系統版本。
建議作業系統版本： iOS 18.0 以上
※如於 App Store 上遇到安裝或使用相關問題，請直接聯繫 Apple Inc.。
※「iPhone」與「App Store」為 Apple Inc. 在美國及其他國家註冊之商標或註冊商標。

隱私權政策：
https://tabelog.com/tw/help/privacypolicy 
使用條款：
https://tabelog.com/tw/help/rules 
https://tabelog.com/tw/help/reservation_rules",2025-11-09T08:00:00Z,2025-11-20T01:34:02Z
mo,Macao,Food & Drink,6023,2,587238847,肯德基KFC（官方版）-上肯德基APP，享APP超省价,"Kendingxing Information Technology Shanghai Co., Ltd",https://apps.apple.com/mo/app/%E8%82%AF%E5%BE%B7%E5%9F%BAkfc-%E5%AE%98%E6%96%B9%E7%89%88-%E4%B8%8A%E8%82%AF%E5%BE%B7%E5%9F%BAapp-%E4%BA%ABapp%E8%B6%85%E7%9C%81%E4%BB%B7/id587238847?uo=4,0.0,4.67974,153,Food & Drink,"【肯德基超级APP】
丰富体验，WOW会员逛吃更尽兴！
划重点教你玩转6.22.0！

 【发现优惠】
-        肯德基大神卡：开卡享正餐、咖啡、早餐、下午茶、满额免外送费，五大权益，全天随时省！
-        疯狂星期四：每周四多款美味等你来，干饭人狂喜！
-        周末疯狂拼：周末到店享8件49.9元！
-        新人大礼包：新人首次注册或登录WOW会员享新人大礼包！

【贴心服务】
-        手机自助点餐：随时随地点餐不排队，动动手指选美味！
-        宅急送外卖订餐：想吃什么点什么，风雨无阻送上门！
-        早餐管家：24小时可随时预约早餐，提前约好更安心！
           
【我的福利】                                                      
-        积分兑好礼：边吃美味边赚积分，兑换好礼惊艳众人！
-        V金商城：品牌周边、限量礼物、专享优惠券都可以用V金换哦！
-        会员特权：肯德基会员超有福，常来「卡包」有惊喜~
-        充值：充余额有福利，超值赠券等你get～
                                                     
【我要好玩】
-        亲子乐园：来肯德基过生日吧！多款主题可选，好玩又好吃，还有惊喜生日礼送！
-        K-Music：点播喜欢的歌曲做背景音乐！

【我有异议】
在使用过程中如果遇到任何问题，欢迎联系我们，程序员小姐姐，客服小哥哥们坐等你来撩：
-        肯德基官方微信：kfczhongguo
-        肯德基宅急送官方微信：KFC_Delivery
-        官方微博：肯德基
-        客服热线：4008-823-823",2013-01-12T08:00:00Z,2025-11-05T02:25:46Z
mo,Macao,Food & Drink,6023,3,1532413955,mFood-澳門美食外賣超市團購,MACAO CLEVER CATERING MANAGEMENT COMPANY LIMITED,https://apps.apple.com/mo/app/mfood-%E6%BE%B3%E9%96%80%E7%BE%8E%E9%A3%9F%E5%A4%96%E8%B3%A3%E8%B6%85%E5%B8%82%E5%9C%98%E8%B3%BC/id1532413955?uo=4,0.0,4.77433,4090,Food & Drink,"mFood 外賣與超市
企業理念
mFood 外賣與超市致力於為澳門提供優質的外賣和生活用品服務。我們以迅捷、便利和高效的配送服務，讓您輕鬆享受美食和購物樂趣。

產品與服務

外賣服務：覆蓋全澳門 4,000 餐廳，提供多樣美食選擇，最快 15 分鐘送達。
超市服務：提供千萬種生活用品，包括雜貨、飲料、保健食品和 3C 電子產品等，無需等待，手指點選即可購買。
價值主張
作為本地生活服務平台，我們致力於改善城市居民的生活品質，提高生活便利性和舒適度，推動智能數字化升級，為您打造更美好的生活環境。

會員福利
新人福利：註冊即贈送價值 50 元大禮包，讓您享受美食盛宴。
持續優惠：定期舉辦各類促銷活動、特價套餐和折扣優惠，提供更多驚喜和福利。

服務特色
品質保證：精心挑選具備完整資質、衛生可靠的商家，確保高品質服務。
商品齊全：匯集全澳各類餐飲外賣，讓您輕鬆滿足各種口味需求。
快速配送：專業即時物流團隊全面覆蓋澳門，保證即時送達。
線上支付：支援 MPAY、支付寶、微信、銀聯、VISA 等安全便捷支付方式。

特色功能
智能搜索附近外賣美食和預訂服務。
即時訂單狀態通知，確保快速送達，正所謂mFood 速度，快人一步。
智能展示餐廳排序和個性化推薦功能。
提供各種優惠折扣信息，品質有保障。
mFood 外賣與超市，您身邊的幸福生活圈。感謝您選擇 mFood，讓我們共同創造更便利、更美好的生活！",2020-10-16T07:00:00Z,2025-11-20T03:27:16Z
mo,Macao,Food & Drink,6023,4,1544594511,閃蜂-吃喝玩樂玩轉澳門,"TIKBEE TECHNOLOGY CO., LTD.",https://apps.apple.com/mo/app/%E9%96%83%E8%9C%82-%E5%90%83%E5%96%9D%E7%8E%A9%E6%A8%82%E7%8E%A9%E8%BD%89%E6%BE%B3%E9%96%80/id1544594511?uo=4,0.0,4.73857,4877,Food & Drink,「閃蜂App」是新花城集團，全力打造的澳門本地科技企業，以「科技及互聯網」為核心，及「讓生活更簡單」為使命，務求打造澳門最具代表性的「新零售模式+本地生活服務平台」，業務版塊包括「超市到家，美食外送，百貨拼團，團購優惠」，為本澳居民提供更多元化及值得信賴的服務。,2020-12-14T08:00:00Z,2025-11-20T15:21:50Z
mo,Macao,Food & Drink,6023,5,1054598922,麦当劳McDonald's - 到店取餐 麦咖啡 麦乐送,"McDonald's (China) Co., Ltd.",https://apps.apple.com/mo/app/%E9%BA%A6%E5%BD%93%E5%8A%B3mcdonalds-%E5%88%B0%E5%BA%97%E5%8F%96%E9%A4%90-%E9%BA%A6%E5%92%96%E5%95%A1-%E9%BA%A6%E4%B9%90%E9%80%81/id1054598922?uo=4,0.0,4.93214,280,Food & Drink,"麦当劳，作为优秀的跨国连锁餐厅，专注售卖汉堡包，以及薯条、炸鸡、咖啡等快餐食品，我们推动快餐数字化升级，重新定义快餐文化，让生活更美好，让快餐更便利。

「产品简介」
麦当劳为您提供卫生可靠的餐品，提供安全、快捷、贴心、24小时里分秒必争的热爱。

「安全便利、随叫随到」
安全有品质的汉堡、炸鸡、咖啡。

「新人有礼」
到店取餐和麦乐送的新用户可领大礼包，更多红包等你来拿。",2016-01-25T06:16:11Z,2025-11-19T02:08:32Z
mo,Macao,Food & Drink,6023,6,1217507712,麥當勞APP,McDonald's Global Markets LLC,https://apps.apple.com/mo/app/%E9%BA%A5%E7%95%B6%E5%8B%9Eapp/id1217507712?uo=4,0.0,0,0,Food & Drink,"麥當勞APP帶來全新會員體驗，立即下載!

手機點餐免排隊

更多元的優惠

掌握麥當勞最新資訊

提醒: 示意畫面僅供參考,實際畫面與使用方式詳見麥當勞APP",2023-08-17T07:00:00Z,2025-11-21T13:12:09Z
mo,Macao,Food & Drink,6023,7,1063183999,盒马 - 鲜美生活,"Shanghai Heli Network Technical Service Co., Ltd.",https://apps.apple.com/mo/app/%E7%9B%92%E9%A9%AC-%E9%B2%9C%E7%BE%8E%E7%94%9F%E6%B4%BB/id1063183999?uo=4,0.0,4.97203,429,Food & Drink,"盒马是中国首家以数据和技术驱动的新零售平台。通过重构零售产业 “人、货、场”，打造了“盒马鲜生”、“盒马X会员店”、“盒马NB”等业态，致力于满足消费者对美好生活的向往，用科技和创新引领万千家庭的“鲜·美·生活”。
盒马首推“手指点点30分钟送达”模式，让新鲜与美味，方便直达您的餐桌。通过盒马APP，不仅可以轻松买到新鲜实惠的商品，更有实物视频展示、真实买家秀和试吃测评，还可以与盒粉们分享每一次发现的好货与下厨的乐趣。
盒马积极布局上游农产品基地和工厂，通过产业深耕，重塑供应链。让商品品质更好，价格更优，推动产业进步。
盒马坚持“商品力是第一竞争力”，不断提高采购标准、优化商品工艺，改进物流链路，不断给消费者提供更好的产品和服务。
盒马启动全球供应链战略，推出全球直采，把全球好货，带进了中国家庭。
盒马建设遍布全国的供应链网络和城市央厨，保障了食材的安全、新鲜、美味。
盒马建立了百余个“盒马村”，促进一二三产的融合，将优质农产品加工成不同商品形态，送上一二线城市消费者餐桌。
一直以来，盒马秉持“鲜·美·生活”的品牌理念，用可信赖的商品品质，有活力的产品创新，懂生活的服务理念，只为让消费者“买得到”、“买得好”、 “买得放心”、“买得方便”、 “买得开心”！",2016-01-06T08:45:08Z,2025-11-18T01:30:55Z
mo,Macao,Food & Drink,6023,8,1104177940,澳覓-澳門一站式生活服務平台,FRESH LIFE TECHNOLOGY COMPANY LIMITED,https://apps.apple.com/mo/app/%E6%BE%B3%E8%A6%93-%E6%BE%B3%E9%96%80%E4%B8%80%E7%AB%99%E5%BC%8F%E7%94%9F%E6%B4%BB%E6%9C%8D%E5%8B%99%E5%B9%B3%E5%8F%B0/id1104177940?uo=4,0.0,4.24074,648,Food & Drink,"【特色服務】
1.澳門吃喝玩樂一應俱全
◇外賣訂餐水果宵夜，酒店旅遊周邊推薦；
◇團購優惠折扣秒殺，吃喝玩樂購全覆蓋；
◇超市便利極速閃送，生鮮蔬果鮮花蛋糕；
◇澳覓拼團全球好貨，品質好貨省錢省心；
◇澳覓跑腿同城取送，極速幫買幫取幫送。
2.來澳門旅行必備APP，所有事項一站搞定
◇電召打車，方便快捷；
◇美食優惠，全澳覆蓋；
◇酒店住宿，優惠預訂；
◇洗衣服務，遊玩無憂；
◇觀看演出，鉅惠購票；
◇手機充電，即租即充；
◇澳覓地圖全面升級，點擊店鋪地址欄，提供檢索、路線指引等特色功能，更多驚喜功能期待您去發現。

【產品特點】
澳門吃喝玩樂購，澳覓全都有：美食精選、外賣訂餐、團購秒殺、旅遊出行、電召打車、演出票務、充電寶租借、洗衣服務，澳門一站式生活服務全覆蓋。
◇情侶約會：吃美食、看電影、住酒店、去旅遊；
◇懶宅點餐：美食、水果、鮮花、下午茶、超市百貨；
◇朋友轟趴：按摩足療、KTV、桌遊電玩；
◇旅遊手信：充電寶租借，安德魯蛋撻、茅台代買；
◇打車出行：電召的士，方便快捷；
◇團購秒殺：產地果蔬、品牌食品、家居百貨、一站購齊；
◇買贈優惠：來來超市、百佳超市、新苗超市、7-ELEVEN、屈臣氏等大牌商家優惠齊集。

【產品簡介】
澳覓為您提供美食、外賣、團購、超市便利、電商、美容美髮、電召打車、酒店、旅遊、充電寶租借、洗衣、跑腿等全面服務。除各種優惠，澳覓還提供用戶消費評價、商家評分、商家資訊查詢等功能，旨在為用戶提供好的服務！

【關於澳覓】
『澳覓APP』於2016年6月1日正式上線，現已成為匯聚美食外賣、團購優惠、超市便利，電召打車、演出票務、充電寶租借、跑腿服務、酒店住宿、洗衣服務及各項本地生活服務於一體的城市一站式生活服務平台，是澳門最大的一站式生活服務平台。澳覓APP秉承客戶第一的價值觀，與全澳5500+商家緊密合作，持續為用戶帶來更好的生活服務。

【用戶幫助】
感謝您使用澳覓APP手機客戶端，使用中有任何問題可通過以下方式查詢解決：
1.澳覓APP查詢入口：『我』—『在線客服』；
2.官方微信公眾號：澳覓APP；
3.官方Facebook：澳覓-讓城市生活更美好；
4.官方Instagram：aomi_macau
5.官方小紅書：澳觅APP",2016-06-04T03:18:01Z,2025-11-13T12:17:16Z
mo,Macao,Food & Drink,6023,9,1639046576,CATCH TABLE: Book Restaurants,WAD corp,https://apps.apple.com/mo/app/catch-table-book-restaurants/id1639046576?uo=4,0.0,4.9562,137,Food & Drink,"“Catch Table” is the best restaurant reservation app for foreigners in Korea

■ Restaurant reservation app chosen by over 3 million users
You can make reservations at 2,000+ restaurants, including awards winning restaurants in Seoul, Busan and All of Korea.

■ 24 hours real-time reservation in the APP without calling
Check availability of reservations based on desired conditions such as date, time, and number of people, and confirm reservations in realtime.

■ For restaurants that require wait times, hold a spot in line with our remote waitlist and visit when convenient.

■ Exclusive discount deals on popular restaurant
Check out our exclusive discount prices from restaurants listed in the awards winning Guidebook to top-selling restaurants.

■ Recommend restaurants that are perfect for you with various filters
Date, number of people, price range, food type, and table type according to the purpose of the reservation! There are also recommended restaurants for dates, single meals, family gatherings, and more.

■ Check all information of the restaurant at once
You can check various information such as best menu, price, valet, and corkage at once.

From restaurant search to reservation, catchtable is an all-in-one reservation service.


[Selective Access Rights Guide]

Location: Automatically receive the current location to search for information about nearby restaurants
Photo/Camera: Upload review photos and save images
You can use Catch Table even if you do not agree to the optional access rights.

[Customer Service]
service@catchtable.net

[Developer Contact]
+82 1800-5895",2022-10-16T07:00:00Z,2025-04-29T05:05:10Z
mo,Macao,Food & Drink,6023,10,507161324,饿了么-外卖放心点，美食准时达,"Shanghai Rajax Information Technology Co., Ltd.",https://apps.apple.com/mo/app/%E9%A5%BF%E4%BA%86%E4%B9%88-%E5%A4%96%E5%8D%96%E6%94%BE%E5%BF%83%E7%82%B9-%E7%BE%8E%E9%A3%9F%E5%87%86%E6%97%B6%E8%BE%BE/id507161324?uo=4,0.0,4.89698,1291,Food & Drink,"饿了么致力于在快节奏的生活里，让你可以放心点、准时达。
方便好用的生活APP！
【好的都要 随叫随到】品质美食、水果生鲜、鲜花蛋糕、超市百货，跑腿配送，准时送达！
【新人福利】新用户有机会领20元大额红包！
【优质服务】极速配送，超时赔付，为你甄选资质齐全，卫生可靠的优质商家，提供安全、方便、快捷、贴心的高品质外卖服务。

【全区域，全品类】
网罗周边各类外卖，中餐、西餐、快餐、简餐、火锅、烧烤、烘焙、汉堡、早餐、下午茶、夜宵、甜点、甜品、水果、鲜花、果蔬、生鲜、蛋糕、寿司、咖啡、超市购物……各类特价优惠套餐、满减折扣优惠、立减优惠套餐，便捷生活，一手掌握，尽在饿了么！

【特色功能】
搜罗附近外卖美食，预约订餐；
及时通知外卖状态，准时送达；
智能筛选排序餐厅，方便点餐；
各种满减打折活动，优惠不断；
外卖美食照片点评，吃出乐趣；

用饿了么，一切尽在掌握！还在等什么? 马上体验安全优质的本地生活服务吧！

饿了么，作为国内优质的本地生活服务平台，专注服务本地生活圈，推动行业数字化升级，重新定义城市生活，让生活更美好，更便利。

随着本地生活与新零售由点到面的延伸，物流供应链能力的提升以及越来越多门店和商圈的接入，未来人在哪里，周围三公里都将成为每个人专属幸福生活圈。

【联系我们】
官方微信：饿了么网上订餐（elemeorder）
官方微博：饿了么网上订餐
客服热线：1010-5757",2012-03-29T22:23:10Z,2025-11-21T12:09:43Z
