country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
my,Malaysia,Medical,6020,1,1286476389,AIA+ Malaysia,AIA Bhd,https://apps.apple.com/my/app/aia-malaysia/id1286476389?uo=4,0.0,4.80626,51565,Medical,"AIA+ is a lifestyle mobile application designed to simplify health journeys and enhance AIA Malaysia customers’ lives through a seamless, personalised experience. With this all-in-one app, customers can effortlessly manage their insurance and takaful plans, make premium or contribution payments, track their fitness and health with AIA Vitality, access digital healthcare services like doctor consultations, enjoy exclusive rewards and more!",2017-09-25T02:07:04Z,2025-10-30T06:03:11Z
my,Malaysia,Medical,6020,2,659502906,MiCare MyMed,MiCare Sdn Bhd,https://apps.apple.com/my/app/micare-mymed/id659502906?uo=4,0.0,4.60097,18337,Medical,"MiCare MyMed mobile application (""MyMed"") features:
• Convenient users to find nearer panel provider
• Allow users to view his / dependent’s entitlement & coverage information at fingertips
• Allow users to view e-Medical card
• Allow users to submit claim anytime anywhere
• Allow users to request Guarantee Letter (GL)
• MiCare Privilege (Rewards System)
Sync with Health App :
MyMed gives you the option to integrate with your phone's built-in Health App. Just grant the appropriate permissions, then data such as your blood glucose, blood pressure , steps and weight readings can be automatically transfer to MyMed.",2013-06-14T22:35:02Z,2025-10-10T00:56:09Z
my,Malaysia,Medical,6020,3,505864483,Pregnancy + | Tracker App,Philips Digital UK Limited,https://apps.apple.com/my/app/pregnancy-tracker-app/id505864483?uo=4,0.0,4.7771,3450,Medical,"Download the world's leading pregnancy tracker app today, for free week-by-week pregnancy information and articles!

The Pregnancy+ app features expert advice, daily articles, healthcare tips and interactive 3D models so you can track your baby's development. Our pregnancy app has been downloaded over 80 million times by expecting families. Join our worldwide community today! 

Baby Development
► Unique, interactive 3D models showing your baby's development 
► Baby Size Guide helps you visualise your baby's size in fruits, animals & sweets
► Pregnancy Week-by-Week Guides explain what to expect in each pregnancy week
► Simple & informative Pregnancy Timeline highlighting important milestones

Pregnancy Guides & Information
► In-depth Pregnancy Guides covering breastfeeding, exercise, food, twins & more 
► Daily Pregnancy Articles, tailored to your pregnancy stage
► 2D & 3D Scans by pregnancy week for you to browse
► Daily Blog Posts with tips, tricks & helpful advice
► Upload photos in My Bump to create a visual pregnancy diary

Pregnancy Tools
► Pregnancy Due Date Calculator helps you work out when your bundle will arrive
► Kick Counter tracks your baby's movements & activity
► Pregnancy Weight Log helps you keep an eye on changes in your weight
► Contraction Timer measures contractions throughout your labour

Organise & Plan
► Pregnancy Calendar enables you to plan & document your prenatal appointments
► Hospital Bag helps you prepare your hospital visit, for Mother, Birth Partner & Baby
► Birth Plan allows you to customise, organise & export your needs & wishes
► To-Do List & Baby Shopping List for ideas of what you need to do & buy
► Search thousands of Baby Names for inspiration & share your favourites

Our EXCLUSIVE 3D Models
Enjoy our unique 3D models showing your pregnancy's week-by-week development, from blastocyst to foetus to baby. Our 3D models truly help you to connect with the baby growing inside you. 
► Choose from multiple ethnicities
► Zoom in or out & rotate to see the baby's intricate detail
► Watch guided pregnancy week-by-week walk-throughs
► Tap to see baby movements

Pregnancy Articles & Guides
If you're feeling overwhelmed by all the advice out there, don't worry. Our Pregnancy + tracker app will guide you through your pregnancy, week-by-week, keeping you up to date with your baby's development and helping you stay healthy through pregnancy and beyond. The Pregnancy+ app content is written in-house, with the help of medical experts, lactation consultants, midwives and, of course, parents.

Share your journey with friends & family
Our pregnancy tracker app can be personalised so your partner, future grandparents or best friend can join in the fun and follow your baby's development in the womb, from bump to birth! Keep everyone up to date with your pregnancy by inviting them to download the app today.

Follow us on Social Media
Facebook: facebook.com/PregnancyPlusApp
Instagram: @pregnancyplus

◆ Download Pregnancy+ App today ◆

Privacy Policy
https://info.philips-digital.com/PrivacyNotice?locale=en&country=GB

Terms of Use
https://info.philips-digital.com/TermsOfUse?locale=en&country=GB

This app is not intended for medical use, or to replace the advice of a trained medical doctor. Philips Consumer Lifestyle B.V. disclaims any liability for the decisions you make based on this information, which is provided to you on a general information basis only and not as a substitute for personalised medical advice. If you have any concerns about your pregnancy, consult with your doctor or midwife.

The Pregnancy + tracker app wishes you a healthy, full-term pregnancy and a safe delivery.",2012-04-05T21:54:25Z,2025-11-13T14:20:55Z
my,Malaysia,Medical,6020,4,1529983342,MyUBAT,JABATAN DIGITAL NEGARA (JDN),https://apps.apple.com/my/app/myubat/id1529983342?uo=4,0.0,4.79202,7929,Medical,"MyUBAT was developed to make it easier for patients to apply pharmacy value-added services through a smartphone without the need to come to the pharmacy counter.

MyUBAT app functionality:
• Application for pharmacy value-added services
• Tracking of medication parcel (Medicines By Post service)
• Checking of follow-up medication supply date",2020-09-03T07:00:00Z,2023-04-17T10:05:29Z
my,Malaysia,Medical,6020,5,1543675834,PMCare,PMCARE SDN. BHD.,https://apps.apple.com/my/app/pmcare/id1543675834?uo=4,0.0,4.31533,685,Medical,"We Manage Because We Care

PMCare is a mobile service that enables Members to access their medical program anytime and anywhere through a Wi-Fi source or mobile network.

Members can carry out the following tasks:-

1. To access Member's profile information.
2. To access and request Member’s utilization information.
3. To find the nearest provider and ambulance location nationwide.
4. To request Guarantee Letters.
5. To request Personal Claim.
6. To request Long Term Medication.
7.  To use our utility module Vibrant Living for wellness sync with Apple Health.

In order to make our application properly up and running, please check and follow as below:

1) Have supported mobile phone model:

a) iPhone and iPad (iOS version 11 and above)
b) Screen size 5 inch and above

Note: 

- Continued use of GPS running in the background may dramatically decrease battery life.
- For Vibrant Living module works with Apple Health to sync steps, workouts and record heart-rate data.
- App also uses HealthKit to get the fitness information of the user

References for Health Calculator Calculations and Suggestions
The risk for Cardiovascular conditions:

Heart Age Calculator & Risk Score:
https://framinghamheartstudy.org/
Period health and Women's Health Guidelines:
https://www.fogsi.org/category/good-clnical-practice-recommendations/
Depression Anxiety Stress Scales (DASS) 21:
https://www.karger.com/Article/Fulltext/485182
Lovibond, S.H. & Lovibond, P.F. (1995). Manual for the Depression Anxiety & Stress Scales. (2nd Ed.)Sydney: Psychology Foundation.
The Workability index:
1. Ilmarinen J (ed.). The aging worker. Scand J Work Environ Health 1991;17(Suppl. 1): 1-141.
2. Tuomi K (ed.). Eleven-year follow-up of aging workers. Scand J Work Environ Health 1997; 23(Suppl. 1): 1-71.
3. Radkiewich P, Widerszal-Bazyl M. Psychometric Properties of Work Ability Index in the Light of Comparative Survey Study. International Congress Series 1280. The Netherlands: Elsevier, 2005; 304-309

Disclaimer - Kindly note that this app provides generic health guidelines & recommendations under the wellness module. These information should act as a reference guidelines, however any administration or action basis the suggestion should only be done post discussion with your physician. CAUTION: PM Care does not provide you a medical diagnosis. Please contact urgent care immediately in case of emergency. PM Care does not replace your healthcare professional's advice or an appointment with your doctor.



OUR EMAIL SUPPORT: pmcareplus@pmcare.com.my

Please take note that all issue regarding PMCare we encouraged you to email to the above email. 
All communication for help, assist and support we will be reply to this email. If we got any difficulties or need further clarification we will email or call.

Please state your IC no, registered phone no, registered email and any identical id for our reference.

Hope you enjoy our services.",2021-03-25T07:00:00Z,2025-11-07T08:46:53Z
my,Malaysia,Medical,6020,6,1600046091,MyHealth360 Malaysia,PANTAI MEDICAL CENTRE SDN. BHD.,https://apps.apple.com/my/app/myhealth360-malaysia/id1600046091?uo=4,0.0,4.83844,5094,Medical,"MyHealth360
(powered by IHH Healthcare)

MyHealth360 app is your gateway to a better health and wellness, offering convenience in managing you and your family’s health anytime, anywhere.

Safe. Secure. Together.

Key features: 
Seamless real-time appointment booking with your preferred specialist. 
Instant access to you and your family’s medical reports that include Lab Test Results, Trends & History, Radiology Report and Rehab History. 
Easy-to-use health tracker to help you monitor your health indicators like blood pressure and blood glucose level.  
Keep track of your appointments with personalized reminders for those who are on-the-go. 
Fast access to doctors’ directory for available time and information.

Key features coming soon:
e-Chat with Medical Officer
Fast track with pre-admission registration, e-Payment, GL requests and more
Get daily health tips from top specialists",2022-01-20T08:00:00Z,2025-09-05T12:11:11Z
my,Malaysia,Medical,6020,7,1273714922,Doctor Anywhere - Telehealth,Doctor Anywhere Pte Ltd,https://apps.apple.com/my/app/doctor-anywhere-telehealth/id1273714922?uo=4,0.0,4.9319,4332,Medical,"With over 2.8 million users across Southeast Asia, Doctor Anywhere (DA) is one of the region's fastest-growing healthcare companies, dedicated to providing quality care to you and your family.  Get the DA app now for trusted healthcare at your fingertips: 

SEE A DOCTOR 
> Consult a licensed doctor on-demand, via video call 
> Medicine delivery to your door
> Access your referrals, MCs and reports in-app

Suitable conditions for virtual consultation include:
- Cough, cold and flu/ influenza
- Stomach upset, digestive issues
- Diarrhea / constipation
- Allergies
- Headaches and migraines
- Eye infections
- Ear pain and infections
- UTI, vaginitis, yeast infections
- Eczema, psoriasis, rashes
- Depression, anxiety
- Birth control

CONNECT TO A SPECIALIST
Easily schedule an appointment and video-call a specialist directly through our app. Our team of experts includes dermatologists, psychologists, urologists, OB-GYNs, pediatricians, ENT specialists, and many more, ready to provide you with expert advice and care whenever you need it.

SHOP FOR EVERYDAY HEALTH ON DA MARKETPACE*
Discover a wide range of health and wellness products and services from leading brands, from healthy snacks and supplements, to health and wellness services. Enjoy free islandwide delivery on your purchases.

CORPORATE HEALTH BENEFITS
Make the most of your healthcare benefits! For those enrolled in a health insurance or plan, easily access your coverage, locate panel clinics, and explore member perks. 

SAFEGUARD YOUR HEALTH
Take a proactive approach to your well-being by scheduling regular health screenings and vaccinations. Choose from convenient in-clinic or home-based appointments to ensure you stay ahead of potential health issues.

PAYMENT METHODS
You can use PayNow (Singapore users) and credit or debit cards from local and international banks for video consultations, medication orders, health plan subscriptions, and topping up your DA Wallet for transactions at panel clinics and other app services. 
---

Note: Delivery areas and times for medicines may vary by country. This general overview of our app may not fully capture the user experience in all regions. Availability of healthcare services and features also differs depending on location.",2018-02-07T06:21:32Z,2025-11-17T00:21:37Z
my,Malaysia,Medical,6020,8,1617761873,Mediexpress,MEDIEXPRESS (MALAYSIA) SDN. BHD,https://apps.apple.com/my/app/mediexpress/id1617761873?uo=4,0.0,2.97093,172,Medical,"Features of the Application:

The “Application” means the software provided by MediExpress (Malaysia) Sdn. Bhd. [“MediExpress”] TPA related to the features of Medical Benefits, Utilization, Provider Search, Policy Details, Notification for Issuance in Guarantee Letter, Guarantee Letter Download, Claim Details, and any upgrades from time to time and any other ancillary software that enables the use of the Application.

GPS(for route guidance and search hospital by distance only)

Search For Hospital and Clinics.

Benefits Utilised and Claimed.

Notifications For users about the policy Details.",2022-08-10T07:00:00Z,2025-06-25T14:25:24Z
my,Malaysia,Medical,6020,9,6450363128,Sunway Medical Sunway City,Sunway Berhad,https://apps.apple.com/my/app/sunway-medical-sunway-city/id6450363128?uo=4,0.0,3.33673,98,Medical,"Welcome to the Sunway Medical Sunway City Mobile App, your one-stop solution for managing healthcare appointments and staying informed about health-related news, promotions, and events. Our user-friendly app makes it easy to connect with your preferred healthcare providers and services.
 
Key features of Sunway Medical Sunway City Mobile App:
Seamless appointment scheduling: Check your doctor's availability and effortlessly book your preferred appointment time slot.
 
Appointment reminders: Receive timely notifications to ensure you're prepared for your upcoming appointments.
 
Health news and promotions: Stay informed about the latest health-related information, exclusive promotions, and upcoming events at Sunway Medical Sunway City.
 
Our dedicated team is constantly working to enhance your experience and introduce new features. Stay tuned for exciting updates!
 
Download the Sunway Medical Sunway City Mobile App today. 
 
Brought to you by Sunway Medical Sunway City, a member of Sunway Healthcare Group— multi-award-winning healthcare group in Asia.
 
Improving the lives we touch.",2023-08-09T07:00:00Z,2025-10-28T18:34:10Z
my,Malaysia,Medical,6020,10,1281433705,HealthMetrics Employee App,HealthMetrics Sdn Bhd,https://apps.apple.com/my/app/healthmetrics-employee-app/id1281433705?uo=4,0.0,4.8146,4466,Medical,"Healthcare benefits simplified. Get updates on your healthcare benefits from your company, search for panel healthcare providers, and get directions to them. 

HealthMetrics employee app allows you to:

- Verify your identity with the mobile app at our panel healthcare providers,
- Locate the nearest panel healthcare provider from your current location,
- Check your healthcare benefits limits,
- Get real-time updates on medical charges & MC given by healthcare provider, and
- Get claim breakdowns on previous medical expenditure.

It's a new way of experiencing better healthcare benefits. Having trouble finding a doctor is the last thing you would want when you're having a headache. With the HealthMetrics, spare the trouble and locate a clinic with ease.

HealthMetrics also gives you real-time updates on any changes to panel healthcare providers. Unsure whether the nearest GP is one of our healthcare providers? Check the app and you'll get your confirmation. 

Problems logging into the app? Contact us at:
Malaysia: corp-support@healthmetrics.com / +60 16 699 9464
Singapore: sg-support@healthmetrics.com / +65 3135 1229
Indonesia: helpline@acrossasiaassist.co.id / +62 21 2927 9600",2017-09-20T01:44:23Z,2025-10-22T07:42:38Z
