country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
mv,Maldives,Navigation,6010,1,585027354,Google Maps,Google LLC,https://apps.apple.com/mv/app/google-maps/id585027354?uo=4,0.0,4.64222,914,Navigation,"Explore and navigate the world with confidence using Google Maps. Find the best routes with live traffic data and real-time GPS navigation for driving, walking, cycling and public transport. Discover over 250 million businesses and places – from restaurants and shops to everyday essentials – with photos, reviews and helpful information.

Navigate the world, the way that you want:
• Get to where you need to go with fuel-efficient route options
• Find the best route with real-time, turn-by-turn voice and on-screen navigation
• Save time with automatic rerouting based on live traffic, incidents and road closures
• Catch the bus, train and ride-share effortlessly, with real-time updates
• Find bike or scooter rentals to get around more easily

Plan trips and experiences effortlessly:
• Preview an area before you go (e.g. parking, entrances) with Street View
• Use Immersive View to experience what landmarks, parks and routes look like, and even check the weather so that you can be ready in advance
• Create custom lists of your favourite saved places and share with others
• Order delivery and takeaway, make reservations and book hotels
• Don't get lost with offline maps in an area with bad signal
• Search for local places and things to do, and decide based on user reviews and photos

Discover and explore like a local:
• Explore with confidence knowing 500 million users contribute and keep the map up to date each year
• Avoid the crowds by seeing how busy a place is before you get there
• Use Lens in Maps to see walking directions overlaid on the real world
• Filter restaurants by cuisine, hours, price, rating and more
• Ask questions about a place, from dishes to parking, and get quick answers

Some features not available in all countries or cities
Navigation isn't intended to be used by oversized or emergency vehicles",2020-10-02T07:00:00Z,2025-11-20T16:03:21Z
mv,Maldives,Navigation,6010,2,1024877017,QueueBee,QUEUEBEE SOLUTION SDN BHD,https://apps.apple.com/mv/app/queuebee/id1024877017?uo=4,0.0,4.10081,367,Navigation,"Bored and tired of long queue in waiting area? It is time to change the way you queue. QueueBee Mobile Queue allows you to get a queue number using your smartphone. It’s the perfect way to monitor & track your real time queue status remotely using only smartphone without the need to be physically chained to the waiting area at the customer service outlet. QueueBee allows you to go for a cup of coffee or even window shopping at nearby premises while still intact queueing for your turn. It offers a peace of mind because the real time queue status update on your smartphone ensure you will not miss the queue! You will constantly receive audio notification and smartphone vibration when you are ready to be served. Just relax and enjoy your coffee while still in queue.

How to use:
•	Download and perform simple One-Time-Registration.
•	Choose the preferable outlet store from the listing or scan the given QueueBee QR.
• 	Select the service you would like to engage.
•	You will now get the Queue number which appear on your smartphone.
• 	You may view the real time queue status update via QueueBee. 
•	When you are ready to be served, QueueBee will constantly prompt you to return to the counter/outlet.",2020-04-12T07:00:00Z,2020-09-03T19:10:58Z
mv,Maldives,Navigation,6010,3,744920098,Navionics® Boating,Garmin International,https://apps.apple.com/mv/app/navionics-boating/id744920098?uo=4,0.0,4.2,15,Navigation,"Get up-to-date, detailed charts you can use offline plus a boatload of features on your mobile device, so they’re on hand wherever you go. The Boating app is a must-have for cruising, fishing, sailing, diving and all your activities on the water. Try it free for a limited time. To continue using charts and advanced features, you can purchase a yearly auto-renewable subscription*.

A COMPLETE PACKAGE
• INTERNATIONALLY RENOWNED NAVIONICS® CHARTS: Use them offline along with multiple overlays, so you can be more aware of what’s above and below the water. 
- NAUTICAL CHART: Use this premier marine reference to study port plans, anchorages and safety depth contours, locate navaids, marine services and more. 
- SONARCHART™ HD BATHYMETRY MAPS: Extraordinary 1’ (0.5 meter) HD bottom contour detail is the ideal tool for locating new fishing areas. 
- U.S. GOVERNMENT CHARTS (NOAA): These are available within the following coverages: U.S. and Canada, Mexico, Caribbean to Brazil. 
- OVERLAYS: The relief shading overlay allows you to have a better understanding of bottom topography for improved fishing and diving. Sonar imagery reveals bottom hardness clearly and in vivid color on select lakes. Want more? Display satellite imagery on land and water.
- MAP OPTIONS: Change chart-overlay combinations to customize chart views, activate night mode, highlight shallow areas, target multiple fishing ranges and more.
- DAILY UPDATES: Benefit from up to 5,000 daily updates worldwide.

• TOOLS FOR PLANNING AND ENJOYING YOUR DAY
- AUTO GUIDANCE+TM TECHNOLOGY**: Easily plan your trip with a suggested dock-to-dock path based on chart data and navigation aids. Get ETA, distance to arrival, heading to waypoint, fuel consumption and more. 
- WEATHER AND TIDES: Knowing conditions before heading out is crucial. Access real-time weather data, daily and hourly forecasts as well as wind, weather buoys, tides and currents. 
- MARKERS, TRACKS, DISTANCE: Place a marker on a good anchorage spot or where you reeled in a big fish. Record your track, take photos and videos within the app, and look back at your day anytime. Easily check distance among two points. 

• AN ACTIVE AND HELPFUL COMMUNITY
- COMMUNITY EDITS and the ACTIVECAPTAIN® COMMUNITY: Obtain and contribute useful local knowledge along with thousands of fellow boaters, such as points of interest, navigation aids and valuable recommendations from people with firsthand experience of the local environment. 
- CONNECTIONS: Stay in touch with your friends and fellow boaters by sharing your live location, tracks, routes and markers to easily meet on the water or let them check out your adventures. 
- GPX IMPORT/EXPORT: Share your saved data outside the app or transfer it to your chartplotter. 
- SHARE MAP OBJECTS: Share a marina, repair shop or any other location outside the app.

• EXTERNAL DEVICE-FRIENDLY FOR MORE FEATURES
- PLOTTER SYNC: If you own a compatible chartplotter, sync it with the app to transfer routes and markers, activate, update or renew your Navionics chartplotter card subscription. 
- SONARCHART LIVE MAPPING FEATURE***: Connect with a compatible sonar/plotter, and create your own maps in real time while navigating. 
- AIS: Connect to a compatible AIS receiver with Wi-Fi® connectivity to see nearby marine traffic. Set a safe range, and receive visual and aural alerts to signal potential collisions. 

NOTES: 
*You can manage your subscription anytime, and you can turn auto-renewal off.
**Auto Guidance+ is for planning purposes only and does not replace safe navigation operations
***Free features 
Updates are available with iOS 13.0 or higher. A tablet device with Wi-Fi connectivity locates your approximate position if it is connected to Wi-Fi. A tablet Wi-Fi + 3G model operates similarly to a phone device with GPS. 
Wi-Fi is a registered trademark of the Wi-Fi Alliance. iOS is a trademark licensed to Apple, Inc.",2020-04-10T07:00:00Z,2025-10-27T10:00:04Z
mv,Maldives,Navigation,6010,4,498477945,Moovit: Public Transport Live,Moovit App Global LTD,https://apps.apple.com/mv/app/moovit-public-transport-live/id498477945?uo=4,0.0,5,3,Navigation,"Moovit is one app for all your urban mobility and transport rides!

Dailymail - ""This travel app is a godsend for anyone using public transport – with live updates to bus schedules, as well as a great route-planner for cities across the UK.""

Transportation is an integral part of urban living. Whether you ride the train, subway/underground /tube, bus, light rail, ferry or metro, use bikes, ride-sharing like Uber, getting the best urban mobility information is critical. Moovit guides you from point A to B in the easiest and most efficient way. Get train and bus times, maps, and live arrival times with ease so you can plan your trip with confidence. Find critical alerts and service disruptions for your favorite lines. Get step-by-step directions of optimal route bus, train, metro, bike or a combination of them. 
This is why Moovit has been named one of the best apps of the year 2017 by the App Store!

Moovit guides more than 865 million users in over 3200 cities throughout the world.

► Journey Planner that combines you all transport options and gives you the best route with live arrivals.

► Live Directions: Get step-by-step directions with live guidance as you travel: know exactly how long you need to walk to your station, how long you’re waiting, view the arrival time of your line and how many stops are left. 

► Real time arrivals. View real-time arrival updates, which are taken directly from GPS devices positioned on buses and trains.

► Real time alerts. Know about issues ahead of time by receiving service alerts such as emergency or unexpected disruptions, delays, traffic jams, new construction and more...

► Users reports. Moovit’s users report issues found with stations, line service, and timetables so that we can inform all nearby riders about what’s going on in their area.

► Favorite lines, stations, and places. Get easy access to lines, stations, and places you ride and visit all the time. Plus, get real-time updates if/when there are changes to your favorite lines in case your bus or train time is impacted!

► Bike routes. Get bike routes in addition to the bus, subway, train, or metro trip plans. If you ride bikes (yours or shared) we can plan a route that includes the train or bus. 
Bike docking stations are updated in real-time.

► Maps view. View all stations, routes, and lines on the subway or bus map. Additionally, maps are available in PDF for when you’re offline, or underground on the subway. 

Ride with Moovit in all major cities:

UK:
• London
• Manchester
• Birmingham
• Leeds
• Edinburgh
• Glasgow
• Liverpool
• Sheffield

Ireland:
• Dublin and all of the Republic of Ireland. 

Moovit supports all major transit:

UK:
• TFL - Bus, Tube, DLR, Overground, Ferry (River Bus), Tfl Rail, Tram, Coach
• National Express
• National Rail
• Arriva
• First
• Stagecoach and more...

Ireland:
• Bus Eireann
• Dublin Bus
• Irish Rail
• Luas
• Kenneally’s Bus Service and more…

Bike sharing provided by:
• Santander Cycles in London
• BelfastBikes in Belfast
• Bike in Bath
• Nextbike in Glasgow

India:
•Delhi: Delhi Metro (DMRC), Delhi Buses (DTC), Northern Railways (NR)
•Mumbai: Mumbai Metro (M.M.R.D.A), all buses: BEST, NMMT, KDMT, VVMT, MBMT, KMT, TMT, Ferries and more
•Bangalore: Namma Metro, B.M.T.C (buses and metro feeder routes), South Western Railways
•Chennai: Chennai Metro Rail, all buses - Metropolitan Transport Corporation (MTA)
•Ahmedabad: A.M.T.S, Bus Rapid Transport System (BRTS), V.T.C.O.S 
•Pune: Indian Railways, Pune Local Central Railways, Pune Mahanagar Parivahan Mahaman.

Singapore:
• MRT, LRT, bus, tram, cable car & shuttle buses. Service provided by:
• SBS
• SMRT
• Tower Transit
• Go-Ahead Singapore

You ride, we guide!

Feel free to contact us:

https://moovitapp.zendesk.com/hc/requests/new
moovit@Facebook, Twitter

Terms of Use
https://moovitapp.com/en-us/legal/terms-of-service-en",2020-04-13T07:00:00Z,2025-10-26T07:14:19Z
mv,Maldives,Navigation,6010,5,6748598501,Compass GPS – Qibla Finder,Simple Start Technologies,https://apps.apple.com/mv/app/compass-gps-qibla-finder/id6748598501?uo=4,0.0,3,1,Navigation,"Find your direction with style. Compass GPS – Qibla Finder turns navigation into an elegant, real-time experience. The accurate compass offers a clean and intuitive interface that’s both easy on the eyes and effortless to use. 

 

Whether you're exploring new paths or finding your way back, the digital compass delivers precise direction with style. No clutter, no confusion, just a beautifully crafted tool built for clarity, confidence, and control. Personalize your navigation with multiple stunning themes in the Qibla direction app. From sleek dark modes to vibrant modern designs, choose the look that matches your style. 

 

Discover True North, sharpen your navigation skills, enhance your way-finding, and also locate the Qibla for Muslim prayers. Enjoy the convenience of having this advanced GPS compass right on your device with the Qibla direction app. 

 

Key features of Compass GPS – Qibla Finder: 

Ø Digital Compass 

Ø Qibla Compass 

Ø Live Location 

Ø User-Friendly Interface 

Ø Night Mode 

 

Digital Compass: Navigate in style with a modern, innovative compass. View direction overlays on live maps, explore surroundings and personalize your look with multiple unique themes. 

 

Qibla Compass: Easily locate the Qibla for Muslim prayer times no matter where you are with our smart and accurate Qibla direction app. Featuring real-time direction, location-based accuracy, and a clean, elegant design, it’s the perfect tool for every Muslim on the go. Simple, reliable, and beautifully made. 

 

Live Location: Enhance your journey with Live Location in the Compass app. Track your position in real time, view your movement on the map, and share your location with others instantly. Whether you're exploring, meeting up, or staying safe, Compass keeps you connected and on course. 

 

User-Friendly Interface: Designed for speed and simplicity, our Compass GPS – Qibla Finder gives you instant, precise directions, North, South, East, or West, with just a glance. No clutter, no confusion, just a sleek, reliable tool that keeps you oriented wherever you go. 

 

Night Mode: Navigate Compass GPS – Qibla Finder comfortably in the dark with a stunning dark theme that reduces eye strain while maintaining crystal-clear visibility. 

 

Download now and experience the direction like never before! 

 

By using our app, you accept to our Privacy Policy and Terms of use. 

Privacy policy: https://sites.google.com/view/corebitsolutionsios/compass-app/privacy-policy 

 

Terms of use: https://sites.google.com/view/corebitsolutionsios/compass-app/terms-of-use",2025-07-24T07:00:00Z,2025-08-01T00:44:24Z
mv,Maldives,Navigation,6010,6,452186370,百度地图-打车公交出行，吃住玩常用交通服务平台,"Beijing Baidu Netcom Science & Technology Co.,Ltd",https://apps.apple.com/mv/app/%E7%99%BE%E5%BA%A6%E5%9C%B0%E5%9B%BE-%E6%89%93%E8%BD%A6%E5%85%AC%E4%BA%A4%E5%87%BA%E8%A1%8C-%E5%90%83%E4%BD%8F%E7%8E%A9%E5%B8%B8%E7%94%A8%E4%BA%A4%E9%80%9A%E6%9C%8D%E5%8A%A1%E5%B9%B3%E5%8F%B0/id452186370?uo=4,0.0,4.59999,10,Navigation,"百度地图——科技让出行更简单！

【智能导航】
-路况实时更新，推荐更优路线，智能躲避拥堵
-智能定位，GPS信号弱也能持续导航 
-公交导航到站提醒，实时公交覆盖多城
【智能规划】
-提供包含打车、驾车、公交、步行、骑行、火车、飞机、客车、货车、摩托车等出行方式的智能规划方案
-未来通行时间智能预估，精准预估到达时间，规划路线更精准，更符合用户不同的出行或驾驶习惯 
-全国范围内，提供多种交通方式组合的智能出行方案
-时间优先，躲避拥堵，少收费，不走高速等多种路线偏好任你选择
【低价打车】
-打车惊喜特惠，周周领大额红包
-多种车型智能比价，叫车快人一步
-打车有保障，隐私保护，全程安全陪伴
【智能语音】
-语音技术行业领先，可实现全端唤醒，全局交互
-喊“小度小度”，轻松查路线、搜地点、问天气，沿途搜等
-只需9句话，生成个人定制语音包，并支持地图全场景使用
【智能推荐】
-根据个人出行时间、方式等偏好，个性化推荐出行方案
-发现周边，探索吃喝玩乐好去处
-智能旅游，游玩路线推荐、AI导游跟随讲解、AR导览实景沉浸式游玩体验，让你玩转景区

【温馨提示】
百度地图的语音导航和电子狗会持续使用GPS定位服务，切换至后台播放时仍会保持GPS连接，会影响电量消耗和电池续航时间。
【遇到问题请联系】
感谢您使用百度地图，如有任何问题您可在“我的--客服中心”中进行反馈，也可以通过以下方式进行反馈：
官方微信公众号：百度地图/baiduditu
官方新浪微博：@百度地图
官方客服电话：400-099-8998",2020-04-12T07:00:00Z,2025-11-13T03:57:28Z
mv,Maldives,Navigation,6010,7,6742807606,Speedometer GPS: Speed Monitor,"Changsha Duyou Network Technology Co., Ltd",https://apps.apple.com/mv/app/speedometer-gps-speed-monitor/id6742807606?uo=4,0.0,0,0,Navigation,"Speedometer GPS: Speed ​​Monitor is a high-precision GPS speedometer that integrates speed monitoring, trip recording, HUD head-up display, speeding reminder and other functions. It provides real-time and accurate speed tracking and navigation assistance for drivers, cyclists, runners and outdoor explorers. Whether it is daily commuting, long-distance travel, or racing competition, this Speedometer app is your ideal choice!

Core functions

Accurate GPS speed measurement

Relying on high-precision GPS technology, it displays the current speed, average speed, and maximum speed in real time to ensure accurate speed measurement. Supports kilometer/hour (km/h) and mile/hour (mph) two unit switching.

Smart speeding alarm

Set a personalized speed limit value. Once the speed is exceeded, the application will issue an alarm to remind you, effectively preventing speeding and helping you drive safely. And it supports 4 preset speed limits, which can be switched with a single click, allowing you to operate more safely while driving!

HUD head-up display mode

After enabling HUD mode, place the phone under the windshield to project the speed information onto the windshield, making night driving safer.

Driving data record

Automatically record detailed data such as travel time, driving distance, stay time, altitude, etc. Allowing you to easily view historical travel data or share it.

Built-in map

The built-in map can display the current location in real time and draw the driving trajectory to prevent getting lost.

Picture-in-Picture Mode (PiP)

Enable Picture-in-Picture (PiP) mode to view speed information in real time while using other applications.
Suitable for scenarios such as navigation and music playback, so that speed measurement no longer affects other operations.
The window size and position can be adjusted to ensure the best visual experience while driving.

Altimeter & Altitude Measurement

Built-in accurate altitude measurement function, real-time monitoring of current altitude, suitable for mountain driving, cycling and outdoor adventures.

Speedometer helps you drive safely, accurately measure speed, and avoid speeding tickets! Download now to experience professional speed measurement service!

Free features:

The following core features are available without a subscription:

Real-time speed measurement

Remaining mileage statistics

Set maximum speed limit

Subscription features (premium features):

Unlock the full feature experience and obtain access through subscription:

Head-up display (HUD) mode

Picture-in-picture (PIP) mode

Map navigation integration

Driving data recording and statistics

Change speed dashboard style

Automatic renewal terms

Subscriptions will be charged to your iTunes account. Payment will be charged to the account immediately after confirmation of purchase. Subscriptions will automatically renew unless canceled at least 24 hours before the end of the current subscription period. The account will be charged for renewal within 24 hours prior to the end of the current period, and the renewal amount will be determined. Users can manage or cancel subscriptions in ""Settings"" > ""Apple ID"" > ""Subscriptions"". After the free trial (if any) ends, the system will automatically start the subscription according to the selected plan unless canceled in advance.

Privacy Policy: https://sites.google.com/view/duyou-privacy-policy
Terms: https://sites.google.com/view/duyou-terms",2025-03-07T08:00:00Z,2025-11-08T18:58:14Z
mv,Maldives,Navigation,6010,8,6684855716,Where is my Train - Live Train,Snehal Sangani,https://apps.apple.com/mv/app/where-is-my-train-live-train/id6684855716?uo=4,0.0,4.14286,7,Navigation,"Live train status App is one of the best Railways app. You can get very fast Live train running status

Live train status :
Track live train status where is train reach and how many minute train is late and which platform train is arrive.

PNR Status :
Check PNR Status of your ticket as well as know the check confirmation of your ticket

Where is my train is an Unique App designed for Indian Railway travelers with goal of providing accurate details of the running trains to them

Find train between two stations with all details like time duration, arrival, departure, running days and etc…

Get live train status of Indian Railways anytime, anywhere.

This application provides you with live train status, so you can see exactly where your train is at any given time. In addition, this app also provides train timetables, so you can plan your journey in advance, Get the accurate train status with minute to minute reporting and delay prediction for the upcoming stations, Live station to check which trains are arriving and departing on which platform at your selected station.

App Features :
- Where is my train
- Live train running status
- Where is my train - live status
- Where is my train - live train status
- Live train Route/Schedule
- Live train status
- Train Availability
- PNR Check
- IRCTC Train Status
- Live Trains Status at Station
- Live stations
- Check Current bookings
- Find Railways
- Track my train
- Locate my train
- Get accurate live train status
- Search trains between stations
- Search nearby places like Hotel, Restaurants, Hospitals, Banks, Atms, Financial services and etc...
- Share app, Rate app, Invite friends and more.

Best App For Live IRCTC Running Status & Time Table, PNR Status, Live Station Status, All Railway Enquiry.

Disclaimer: The app is privately maintained and does not have any affiliation whatsoever to Indian Railways.",2024-09-16T07:00:00Z,2025-09-28T02:33:56Z
mv,Maldives,Navigation,6010,9,6480099616,Thailand Map - Travel Guide,嘉健 冯,https://apps.apple.com/mv/app/thailand-map-travel-guide/id6480099616?uo=4,0.0,0,0,Navigation,"Introducing a tailor-made map of Thailand, your perfect companion for exploring the Land of Smiles!

We've got you covered with comprehensive guides to popular destinations like Bangkok, Phuket, Chiang Mai, and Koh Samui.

【English Data】
Say goodbye to language barriers with our all-English map! English-labeled attractions, restaurants, hotels, and shopping spots are all at your fingertips.

【Easy Navigation】
No more getting lost! We're here to help you navigate Thai cities, beautiful beaches, and mysterious temples. Find the best routes anytime, anywhere, and enjoy a hassle-free travel experience!

【Travel Guides】
Discover Thailand's most spectacular sights and hidden gems. From the bustling streets of Bangkok to the ancient temples of Chiang Mai, our comprehensive guides will help you plan the perfect itinerary.

【Foodie's Paradise】
Thai cuisine is mouth-wateringly delicious! In this foodie's paradise, we recommend the best local restaurants and street food stalls. Try the aromatic spices and flavors of Thailand to satisfy your taste buds!

【Unique Shopping】
Thailand's shopping scene is dazzling! From traditional markets to luxury shopping centers, you'll find the perfect souvenirs and fashion items. Enjoy a unique shopping experience and bring home the perfect gifts.

Whether you're a solo traveler, on a romantic getaway, or on a family vacation, our Thailand map will provide you with an unparalleled travel guide.",2024-04-11T07:00:00Z,2024-04-11T17:59:14Z
mv,Maldives,Navigation,6010,10,1444860666,"Qibla Finder, Compass 100%",CNT INTERAKTIF BILGI TEKNOLOJILERI YAZILIM SANAYI VE TICARET ANONIM SIRKETI,https://apps.apple.com/mv/app/qibla-finder-compass-100/id1444860666?uo=4,0.0,4.73913,23,Navigation,"To find Qibla direction, you don't need an internet connection! Low size app that shows 100% Qibla Direction worldwide. Simple & Smart Qibla compass.

100% Qibla Finder helps muslims to find Qibla direction all around the World. The direction of Kaaba in Mecca (Makkah) is pointed out with an arrow on the map, so that you can adjust your direction before you start your prayer.

You do not need internet to see where the Qibla is. 100% Qibla Finder shows you where the Qibla is even on offline mode with the help of its compass feature.

Your direction is located accurately through the GPS feature in the app.

You can re-detect your location with “Find my location” feature to be sure about directions.

You can share 100% Prayer and Qibla app on Facebook and other Social Networks with your friends.

You need to hold your phone on a flat surface and keep it away from electromagnetic fields and metal objects. If it is necessary, you can manually re-arrange your location by pressing the marker.

Additional features include:

- Select from various map or compass modes

- Customize your location marker

- Locate the nearest mosques to your current location

Download Qibla Finder 100% now!

Privacy & Terms : https://www.muslimassistant.com/privacy-terms.html",2020-04-10T07:00:00Z,2025-09-17T18:40:21Z
