country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
fm,"Micronesia, Federated States of",Finance,6015,1,1606834823,期貨K線,"CMoney TECHNOLOGY CO.,LTD",https://apps.apple.com/fm/app/%E6%9C%9F%E8%B2%A8k%E7%B7%9A/id1606834823?uo=4,0.0,0,0,Finance,"【期貨K線APP】是台指期當沖的好幫手 ! 讓您輕鬆掌握漲跌波動，手機當沖好簡單 !
我們提供期貨「即時指標」、「爆量監控」、「均價監控」、「盤後籌碼」、「即時聊天室」等超級好用的功能 ! 馬上免費下載~

期貨K線提供最厲害的多空趨勢指標，讓你一眼看穿多空，跟上台指期漲跌行情，想在台指期賺錢就要掌握盤中多空趨勢！
想在台指期當沖獲利的你，是不是常常有這樣的困擾 : 期貨當沖總是買在最高點，或是賣在最低點 ? 使用『期貨K線APP』，清楚掌握盤中趨勢多空狀況，觀察口差、筆差動向，掌握整段獲利，為你帶來投資效益 ! 我們提供即時期貨報價，掌握最新價格動態，還有即時聊天室，解答你所有投資問題。

【台指期小知識】
「台指期」是台灣期貨交易所的商品，屬於期貨的一種，標的是「加權指數」，買賣「台指期」就相當於是看多或看空全台股的漲跌；「台指期」的一個單位為「一口」，台指期的一點代表的200元，所以當你買進台指期後，每當價格往上漲1點，你就會賺200元；反之，每當價格往下跌1點，就會賠200元。

我們提供 :
【獨家多空指標】
多空燈號提示，一眼看出目前的多空趨勢狀況，當出現趨勢盤的時候，價格容易沿著趨勢的方向繼續走，所以當趨勢盤出現的時候，一定要把握機會，賺到波段價差。

【爆量價監控】
盤中爆量就是轉折要出現了 ! 當台指期盤中出現1000口以上的大量時，馬上提示通知你~掌握盤中轉折關鍵點，不遺漏任何低買高賣的機會。

【均價監控】
一眼看穿今天的平均交易成本價，當沖最重要的就是要知道當日交易的籌碼狀況，「期貨K線」即時計算當日的平均成交價，讓你知道市場的投資人，平均成本價是在哪一個價位，當目前的價格高於成本價，表做今天做多的人都賺錢；反之，當目前價格低於成本價，表示目前做空的人都賺錢，因為賠錢的人會有凹單的狀況，所以價格就會容易往賺錢的方向發展。

【盤後籌碼】
最新的期貨盤後籌碼資訊，讓你掌握主力們的動向，跟著主力走，財富自然有 ! 

【盤中即時聊天室】
全台最大的期貨聊天室，擁有上萬股友在線交流，讓你期貨當沖不孤單，即時解答你的所有期貨問題，快來一起參予討論吧 ! 

期貨操盤APP帶著走，手機就能輕鬆當沖台指期，讓您投資贏在起跑點 ! 

【立即下載】『期貨K線APP』幫助您晉升股市專業投資人 !

---------------------------------------------------------------------------

《自動每月續約專業版說明》
一年：NT $5990
半年：NT $3490
一個月：NT $690

開發人員聯絡資訊 : 新北市板橋區文化路一段268號12樓之2
* 確定購買產品後，費用將從您的iTunes帳戶扣款
* 除非在當前期間結束前至少24小時關閉自動續訂，否則訂閱會自動續訂
* 產品到期24小時前，iTunes帳號將會自動扣款，並續訂本產品
* 如欲取消訂閱，流程:進入手機[設定] -> [iTunes與App Store] -> [Apple ID] -> [檢視Apple ID] -> [訂閱項目]
* 服務條款：https://www.cmoney.tw/member/tos.aspx
* 隱私權政策：https://www.cmoney.tw/member/privacy.aspx",2022-08-24T07:00:00Z,2025-06-23T07:36:06Z
fm,"Micronesia, Federated States of",Finance,6015,2,1574428727,BillCenter,ECM Billing Center LLC,https://apps.apple.com/fm/app/billcenter/id1574428727?uo=4,0.0,0,0,Finance,BillCenter customer app ECM LLC,2021-07-07T07:00:00Z,2025-10-30T02:24:21Z
fm,"Micronesia, Federated States of",Finance,6015,3,1473826356,Kept – saving with your style,Bank of Ayudhya Public Company Limited,https://apps.apple.com/fm/app/kept-saving-with-your-style/id1473826356?uo=4,0.0,0,0,Finance,"Sometimes the hardest thing about saving money is just getting started and making it a habit. Kept application is created to help you reach your financial mission with various tailored solutions that perfectly fit your lifestyle.​

Here are automatic features to help you save effortlessly and effectively!​
​

• Set your budget to spend, the excess money will be automatically transferred to kapook Grow to earn higher interest rate​

• Every time you spend, Kept app will automatically grab money to kapook Fun and enjoy special reward​

• Save regularly with automatic regular save feature that allows you to save daily, weekly or monthly​

• Set your saving goals and invite friends to view and save together with kapook Together​

• Open your wealth opportunity with investment plans you can choose with kapook Kept Invest​


You will be surprised how Kept can help you meet your goals. Let's Kept!!​


*Investor should study fund features, condition of returns, and risk before making investment decision​

**More info, please visit www.keptbykrungsri.com

Contact : Bank of Ayudhya PCL. 1222 Rama III Road, Bang Phongphang, Yan Nawa, Bangkok 10120 Thailand",2020-06-14T07:00:00Z,2025-11-03T02:53:07Z
fm,"Micronesia, Federated States of",Finance,6015,4,1170055821,PhonePe: Secure Payments App,PHONEPE PRIVATE LIMITED,https://apps.apple.com/fm/app/phonepe-secure-payments-app/id1170055821?uo=4,0.0,4.58621,58,Finance,"PhonePe is a payments app that allows you to use BHIM UPI, your credit card and debit card or wallet to recharge your mobile phone, pay all your utility bills and to make instant payments at your favourite offline and online stores. You can also invest in mutual funds and buy insurance plans on PhonePe. Get Car & Bike Insurance on our app.
Link your bank account on PhonePe and transfer money with BHIM UPI instantly! The PhonePe app is safe and secure, meets all your payment, investment, mutual funds, insurance and banking needs, and is much better than Internet banking.

Things you can do on PhonePe (Phonepay) App:

Money Transfer, UPI Payment, Bank Transfer
- Money Transfer with BHIM UPI
- Manage Multiple Bank Accounts – Check Account Balance, Save Beneficiaries across multiple bank accounts like SBI, HDFC, ICICI & 140+ banks.

Make Online Payments
- Make online payment on various shopping sites like Flipkart, Amazon, Myntra etc.
- Pay for online food orders from Zomato, Swiggy etc.
- Pay for online grocery orders from Bigbasket, Grofers etc.
- Pay online for travel booking from Makemytrip, Goibibo etc.

Make Offline Payments
- Scan and Pay via QR Code at local stores like kirana, food, medicines etc.

Buy or Renew Insurance Policies with PhonePe Insurance App

Health & Term Life Insurance
- Compare and buy Health & Term life Insurance with monthly premiums
- Coverage for individuals, senior citizens and families

Car & Two Wheeler Insurance
- Browse and get India’s most popular bike and car insurance
- Buy/renew your car and bike Insurance in less than 10 minutes

Other Insurance
- Personal Accident Insurance: Insure yourself against accidents & disablement
- Travel Insurance: Get international travel insurance for business and leisure trips
- Shop Insurance: Insure your shop against fire, theft, natural calamities, and burglaries.

Mutual Funds App and Investments App
- Liquid Funds: Get higher returns than savings bank 
- Tax-Saving Funds: save up to Rs. 46,800 in tax & grow your investment
- Super Funds: Achieve financial goals with expert help on our app 
- Equity Funds: High growth products curated as per risk appetite
- Debt Funds: Get stable returns for investments without any lock-in period
- Hybrid Funds: Get a balance of growth and stability 
- Buy or Sell 24K Pure Gold: Assured 24K purity, build gold savings on our app

Recharge Mobile, DTH
- Prepaid Mobile Recharge, DTH
- Recharge for Airtel, Jio, Vi, BSNL and MTNL prepaid mobile numbers
- Recharge DTH set-top boxes for TataPlay, Airtel Digital TV, Sun Direct, Dish TV and D2H providers.

Bill Payment
- Pay Credit Card Bills
- Pay Landline Bills
- Pay Electricity Bills
- Pay Water Bills
- Pay Gas Bills
- Pay Broadband Bills

Buy PhonePe Gift Cards
- Buy a PhonePe Gift Card for easy payments across 1 lakh+ leading offline and online outlets and across the PhonePe app.

Manage your refunds
- Manage and track refunds from your favorite shopping websites on PhonePe.
For more details, Visit our website at https://www.phonepe.com/

Permissions for App and reasons
SMS: to verify Phone number for registration
Location: a requirement by NPCI for UPI transactions
Contacts: for phone numbers to send money to and numbers to recharge
Camera: to scan QR code
Storage: to store scanned QR code
Accounts: to pre-populate email ID while signing up
Call: to detect single vs dual sim and let user choose
Microphone: to carry out KYC video verification",2017-01-16T13:39:46Z,2025-11-12T12:31:35Z
fm,"Micronesia, Federated States of",Finance,6015,5,6755379149,MineChain,SITI MAHIRAH HUSNA BINTI MARDY,https://apps.apple.com/fm/app/minechain/id6755379149?uo=4,0.0,0,0,Finance,Mine Chain is a visualization revenue management application designed specifically for cryptocurrency miners. It supports manual addition of mining machines and mining records.,2025-11-19T08:00:00Z,2025-11-19T08:44:48Z
fm,"Micronesia, Federated States of",Finance,6015,6,1436799971,Binance: Buy Bitcoin & Crypto,Binance Switzerland AG,https://apps.apple.com/fm/app/binance-buy-bitcoin-crypto/id1436799971?uo=4,0.0,4.58333,12,Finance,"Binance is the world’s largest cryptoasset marketplace by trading volume*. Trusted by 250 million users worldwide, the Binance platform allows you to buy, sell, and hold up to 350 cryptoassets, including Bitcoin (BTC), Ether (ETH), Solana (SOL), Notcoin (NOT) and Pepe (PEPE) with some of the lowest trading fees in the market.

Risk Warning: Don’t invest unless you’re prepared to lose all the money you invest. This is a high-risk investment and you should not expect to be protected if something goes wrong. 
Not financial advice. All trading carries risk. Only risk capital you can afford to lose.
Take 2 mins to learn more:
https://www.binance.com/en-GB/legal/risk-warning.

Binance UK is presently not regulated or authorised by the UK Financial Conduct Authority (""FCA). Investments in cryptoassets are not covered by the Financial Ombudsman Service (“FOS”) or subject to protection under the Financial Services Compensation Scheme (“FSCS”).

Legal Entity: Nest Services Limited, trading as Binance, is the entity ultimately responsible for the Binance Services offered to UK based users through the Binance platform.

*by trading volume - Source: https://coinmarketcap.com/rankings/exchanges


Here's a small sample of what you can do on the Binance App:

- Choose from 350+ listed cryptoassets, set up recurring buys and price alerts, and trade with an arsenal of trading tools at your fingertips.
- Fund your account with a variety of payment options, including credit/debit card, P2P, and bank transfer.
- Automate your cryptoasset investments in a way that suits your preferences using Auto-Invest.
- All user funds are held 1:1 and protected by a Secure Asset Fund for Users (SAFU) worth $1 billion.
- Our ecosystem is built from the ground-up with state-of-the-art security measures, including real-time risk monitoring, stringent KYC protocols, and advanced end-to-end data encryption, to name a few.
- Participate in Binance Launchpad, or grow your portfolio with trading bots.
- In addition to an expansive, constantly-updated FAQ section, our 24/7 live chat customer support is available in English.",2018-10-06T19:55:47Z,2025-11-22T06:12:13Z
fm,"Micronesia, Federated States of",Finance,6015,7,283646709,"PayPal - Send, Manage, Pay","PayPal, Inc.",https://apps.apple.com/fm/app/paypal-send-manage-pay/id283646709?uo=4,0.0,4.56322,87,Finance,"There’s never been a better time to check out PayPal, the trusted way to pay
Say hello to PayPal+, our free loyalty programme that helps you make the most of your money every time you shop with PayPal

SEND & RECEIVE MONEY​
A simple, secure way to quickly send & receive money to friends and family. With encryption technology, we go the distance to help make sure your money transfers are secure

ITS LOYALTY FOR ALL. AND ITS ALL FOR FREE
PayPal+ is the loyalty programme that rewards you with more points, in more ways. Use them almost anywhere PayPal is accepted. And it’s all for free, with no fees and no caps*​
*Rewards are earned as points under the PayPal+ rewards programme. To start earning, you must be enrolled in PayPal+. If you are not yet enrolled, you can sign in the PayPal app. PayPal+ Terms and conditions apply.

MULTIPLY YOUR POINTS WITH THE PAYPAL DEBIT CARD​
Earn up to 10x PayPal+ points when you pay with your PayPal Debit Card, everywhere Mastercard® is accepted. Add it to your mobile wallet, use it in person, and at PayPal checkout to watch your points grow*​
* Set up and activation required. Terms and conditions apply

BUY NOW, PAY LATER​
Keep track of all your PayPal Pay in 3 repayments.* Plus, earn points whenever you use Pay in 3
*Pay in 3 subject to status. Unregulated credit. Available for purchases £20-£3000. Consider if affordable and impact on other borrowing

SEND MONEY GLOBALLY
Send money to friends and family abroad in over 110 countries – or get even more delivery options with Xoom
*Fees and restrictions apply. Transaction, currency conversion, and other fees may apply

MANAGE YOUR SUBSCRIPTIONS ​
Keep track of your different subscriptions at the subscription hub. Easily view, update, or cancel subscriptions, while enjoying updates on recurring payments. Manage recurring payments all in one place. 

POOL MONEY TOGETHER​
Collect money in advance for group gifts, shared experiences, and more and skip the hassle of reimbursement afterward.​
*An account with PayPal is required to create a Pool. Terms and limits apply

PAY HOW YOU WANT​
Add your debit or credit cards* or link your bank accounts for extra flexibility at checkout. You’ll even be able to continue collecting rewards points**
*Using your credit card through your PayPal wallet may impact your rights under Section 75 of the Consumer Credit Act. This means you may lose the right to hold the merchant or your credit card provider jointly liable if you don’t get the goods or services you paid for (if they cost between £100 and £30,000)​
**Subject to issuer’s applicable reward programme terms and conditions

PayPal UK Ltd is authorised and regulated by the Financial Conduct Authority (FCA) as an electronic money institution (firm reference number 994790); in relation to its regulated consumer credit activities (firm reference number 996405); and for the provision of cryptocurrency services (firm reference number 1000741). Some products and services, such as PayPal Pay in 3 and PayPal Working Capital, are not regulated by the FCA and may offer a lower level of protection. Please read product terms for further details. PayPal UK Ltd's company number is 14741686. Its registered office is 5 Fleet Place, London, United Kingdom, EC4M 7RD",2019-02-03T08:00:00Z,2025-11-17T16:24:16Z
fm,"Micronesia, Federated States of",Finance,6015,8,1200315258,BHIM Bharat's Own Payments App,National Payments Corporation of India,https://apps.apple.com/fm/app/bhim-bharats-own-payments-app/id1200315258?uo=4,0.0,0,0,Finance,"BHIM (Bharat Interface for Money) is Bharat Ka Apna Payments App—a UPI payment app developed by the National Payments Corporation of India (NPCI). Designed for every Indian, BHIM Payments App makes digital transactions easier, safer, and faster with an intuitive interface and cutting-edge features.

With BHIM Payments App, experience seamless and rewarding payments while enjoying the highest level of security. Built for trust and simplicity, with 12+ Languages, BHIM App ensures that digital payments are accessible to all.

Why Choose BHIM Payments App?

· A Brand-New Experience – A refreshed; intuitive UI designed for effortless navigation.

· Family Mode – Manage payments for your family in a click!

· Spend Insights – Now easily manage and monitor your expenses, the dashboard way!

· UPI Lite for Small Payments – Make instant, PIN-less payments of upto ₹500.

· RuPay Credit Card on UPI – Use your RuPay Credit Card for secure UPI payments.

· Credit Card on EMI – Shop smarter with easy EMI options on UPI payments.

· UPI Circle – Give freedom to your trusted ones, to make payments even without a bank account.

· Pay Bills Seamlessly – Settle electricity, credit card, gas, recharge FASTag and other utility bills effortlessly.

· Light Mode & Dark Mode – Switch to your preferred theme for a comfortable viewing experience.

· Split Expenses Like a Pro! – Going out with friends? BHIM does the math—split bills seamlessly, and everyone pays their share instantly!

Get Started in Minutes!

Download BHIM & Register using your mobile number

Ensure your SIM is linked to your bank account (for dual SIM, select the correct one).

Have your Debit Card or Aadhaar Card handy to generate your UPI PIN (except for UPI Circle users, who only need a valid SIM). Visit BHIM UPI Partners to check if your bank is live on BHIM. For more details, visit BHIM Official Website and read the Terms & Conditions before signing up.",2017-02-10T17:52:00Z,2025-11-07T03:51:21Z
fm,"Micronesia, Federated States of",Finance,6015,9,6737785495,Settlemate: Class Actions,Settlemate Inc,https://apps.apple.com/fm/app/settlemate-class-actions/id6737785495?uo=4,0.0,0,0,Finance,"Discover Class Action Settlements You’re Owed


Every year, billions of dollars in class action settlements go unclaimed. With Settlemate, you can track lawsuits, check your eligibility, and claim money you didn’t even know was yours—all without needing to understand the law or hire a lawyer.


Key Features
- Find Eligible Claims Instantly
    - Just answer a few simple questions and we’ll match you with active settlements and lawsuits you're eligible for—no legal advice required.
- File Class Action Claims Without a Lawyer
    - Skip the paperwork and the legal fees. Submit your settlement claims in seconds, without ever dealing with a lawyer or complicated legal forms.
- Track Refunds, Payouts, and Compensation
    - Get real-time updates on your refund status, settlement payments, and expected compensation timelines.
- Smart Notifications
    - We’ll alert you when new class actions open so you never miss a chance to claim money again.
- Secure & Private
    - Sign in safely with Apple or Google. All your legal information stays encrypted and secure.


Why Settlemate?
You don’t need a law degree, a money lawyer, or a pricey law firm. Settlemate simplifies the entire class action refund process—so you can sit back and get paid without ever navigating the legal system yourself.


Designed for everyday people, not legal experts.


Start Your Claim Today
Download Settlemate to unlock your settlement money, file claims faster, and finally get what’s rightfully yours—with zero lawyer hassle.

Subscription Information:
You may purchase an auto-renewing subscription through an In-App Purchase:

Auto-renewable subscription:

1 month: $11.99
12 months: $34.99 

Your subscription will be charged to your iTunes account at confirmation of purchase and will automatically renew (at the duration selected) unless auto-renew is turned off at least 24 hours before the end of the current period.

Current subscription cannot be canceled during the active subscription period.

Manage your subscription and/or turn off auto-renewal by visiting your iTunes Account Settings after purchase.

Terms of Service: https://www.settlemate.io/tos
Privacy Policy: https://www.settlemate.io/privacy

Note: Settlement eligibility and payment amounts vary based on individual circumstances and settlement terms.",2025-01-20T08:00:00Z,2025-11-20T07:41:06Z
fm,"Micronesia, Federated States of",Finance,6015,10,6479515872,IndSMART IndianBank Mobile App,Indian Bank,https://apps.apple.com/fm/app/indsmart-indianbank-mobile-app/id6479515872?uo=4,0.0,0,0,Finance,"Next gen Digital Banking solution for all your Banking needs.

IndSMART is a safe, secure, user friendly and smart mobile banking application with more than 250+ cutting edge features and services for all your banking needs.

Download the application from Apple App Store and experience its best-in-class features. 

IndSMART Mobile Banking Features:

•	Customize your Dashboard and Themes
•	Account Summary - Insight of all your Accounts
•	Set Primary Account
•	Overview of Assets & Liabilities in one go
•	Download Statement and view m-Passbook
•	Balance Certificate, Home & Education Loan Interest Certificates
•	Transaction History – Snippet of all Transactions
•	Fund Transfers using UPI, IMPS, NEFT, RTGS
•	UPI Payments, Scan and Pay using UPI
•	Pay to Contact facility for Intra Bank Payments
•	EasiPay (24*7) Fund Transfer for new payees
•	View and Repeat Favorite Transactions
•	Schedule your Transfers for Recurring Payments
•	Pay EMIs, RD, VRD installments and Credit Card Payments
•	Donate to PMNRF
•	Lock and Unlock Financial Transaction Facility 
•	Manage Fund Transfer Limits
•	Manage all Payees
•	Manage and Pay all your Bills through BBPS
•	Invest in Term Deposits and build wealth
•	Submit Form 15G/H for deposit accounts
•	Invest in Public Provident Fund (PPF), National Pension Scheme (NPS)
•	Mahila Samman Savings Certificate (MSSC), National Savings 
        Certificate (NSC), Kisan Vikas Patra (KVP)
•	Add, Update Nominee and care for your loved ones
•	Avail OD Facility against Deposits
•	Apply for Digital Loans
•	e-Shopping - Compare and Shop
•	Apply for IPO (ASBA)
•	Invest in Stocks, Mutual Funds, Demat and Online Trading
•	Avail Insurance
•	Manage Debit and Credit Cards
•	Withdraw cash without physical debit cards
•	Door Step Banking Services
•	Earn rewards for transactions & manage reward points
•	Hotel, Bus and Flight Bookings
•	Cheque Book Services
•	Register and Track Complaints
•	Apply for Locker Facility
•	GST Number Updation
•	Plan, manage your expenses
•	Create goals, fulfill your dreams",2024-06-23T07:00:00Z,2025-11-01T06:50:37Z
