country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
fm,"Micronesia, Federated States of",Medical,6020,1,1182834064,MaybeBaby fertility& pregnancy monthly calendar,Plentouz Apps Development Pty Ltd,https://apps.apple.com/fm/app/maybebaby-fertility-pregnancy-monthly-calendar/id1182834064?uo=4,0.0,0,0,Medical,"** NO Ads *** 
** Apple watch compatibility ***

Description
The app  is based on real scientific researches. It helps you determine your fertile days of the month, so you can either achieve or avoid pregnancy. The calendar uses the date of your last period and shows the next period date, the best days to conceive a girl or a boy, your ovulation day and when you should avoid pregnancy. The application every woman must have!

- The great period tracker on the AppStore that you can trust.
- The only application with correct gender prediction algorithm.
- Irregular periods? we've got you covered :)

* SCIENTIFIC RESEARCH *

The application uses real scientific research of Rodrigo Guerrero, 1974 to predict gender of a baby. It’s based on real statistics of thousands and thousands women. As opposed to it the widely-spread Landrum Shettles method is based only on theory and totally incorrect.

* FREE OR PAID *

For minimal price you will get the following benefits on the full version:

- The exact probability of getting pregnant on the current or selected day.
- The exact probability to conceive a girl or a boy at the current or selected day.
- Chance of getting pregnant during all the current period.
- Chance to conceive a girl or a boy during all the current period.
- What to monitor for in irregular period

* HOW TO USE *

To generate your ovulation calendar you should provide the following details:

- Date of the last period (on the calendar on the main tab).
- Average length of the periods (on Settings tab).
- Length of the Luteal Phase (on Settings tab or use default value).

The application works best for women with regular menstrual cycles, the average cycle length is also a valid way to predict when the ovulation should happen.",2016-12-20T19:33:24Z,2017-04-01T12:01:06Z
fm,"Micronesia, Federated States of",Medical,6020,2,1559609596,VA: Health and Benefits,US Department of Veterans Affairs (VA),https://apps.apple.com/fm/app/va-health-and-benefits/id1559609596?uo=4,0.0,0,0,Medical,"With the official VA: Health & Benefits app, you can manage your VA health care, benefits, and payments from your mobile phone or tablet. 

Features include:

Biometric sign-in
- Use your phone’s built-in security features—like fingerprint and face recognition—to securely access your information.

Health care tools
- Refill and track your VA prescriptions.
- Send and receive secure messages from your VA health care team.
- Review appointments and add them to your calendar.
- Get your records for VA vaccines, such as COVID-19.

Benefits tools
- Check your disability rating.
- Review your claim or appeal status.
- Submit evidence for your claim or appeal.
- Download common VA letters.

Payments tools
- Review payments we’ve sent you.
- Update your direct deposit information.

Facility locator
- Find VA facilities and services near you.

Veterans Crisis Line
- Get quick access to the VA Crisis Line.

Proof of Veteran status
- Show proof of your Veteran status.

Need help with this app? Call us at 800-698-2411 (TTY: 711). We’re here 24/7.",2021-07-13T07:00:00Z,2025-11-18T15:41:44Z
fm,"Micronesia, Federated States of",Medical,6020,3,505864483,Pregnancy + | Tracker App,Philips Digital UK Limited,https://apps.apple.com/fm/app/pregnancy-tracker-app/id505864483?uo=4,0.0,5,2,Medical,"Download the world's leading pregnancy tracker app today, for free week-by-week pregnancy information and articles!

The Pregnancy+ app features expert advice, daily articles, healthcare tips and interactive 3D models so you can track your baby's development. Our pregnancy app has been downloaded over 80 million times by expecting families. Join our worldwide community today! 

Baby Development
► Unique, interactive 3D models showing your baby's development 
► Baby Size Guide helps you visualise your baby's size in fruits, animals & sweets
► Pregnancy Week-by-Week Guides explain what to expect in each pregnancy week
► Simple & informative Pregnancy Timeline highlighting important milestones

Pregnancy Guides & Information
► In-depth Pregnancy Guides covering breastfeeding, exercise, food, twins & more 
► Daily Pregnancy Articles, tailored to your pregnancy stage
► 2D & 3D Scans by pregnancy week for you to browse
► Daily Blog Posts with tips, tricks & helpful advice
► Upload photos in My Bump to create a visual pregnancy diary

Pregnancy Tools
► Pregnancy Due Date Calculator helps you work out when your bundle will arrive
► Kick Counter tracks your baby's movements & activity
► Pregnancy Weight Log helps you keep an eye on changes in your weight
► Contraction Timer measures contractions throughout your labour

Organise & Plan
► Pregnancy Calendar enables you to plan & document your prenatal appointments
► Hospital Bag helps you prepare your hospital visit, for Mother, Birth Partner & Baby
► Birth Plan allows you to customise, organise & export your needs & wishes
► To-Do List & Baby Shopping List for ideas of what you need to do & buy
► Search thousands of Baby Names for inspiration & share your favourites

Our EXCLUSIVE 3D Models
Enjoy our unique 3D models showing your pregnancy's week-by-week development, from blastocyst to foetus to baby. Our 3D models truly help you to connect with the baby growing inside you. 
► Choose from multiple ethnicities
► Zoom in or out & rotate to see the baby's intricate detail
► Watch guided pregnancy week-by-week walk-throughs
► Tap to see baby movements

Pregnancy Articles & Guides
If you're feeling overwhelmed by all the advice out there, don't worry. Our Pregnancy + tracker app will guide you through your pregnancy, week-by-week, keeping you up to date with your baby's development and helping you stay healthy through pregnancy and beyond. The Pregnancy+ app content is written in-house, with the help of medical experts, lactation consultants, midwives and, of course, parents.

Share your journey with friends & family
Our pregnancy tracker app can be personalised so your partner, future grandparents or best friend can join in the fun and follow your baby's development in the womb, from bump to birth! Keep everyone up to date with your pregnancy by inviting them to download the app today.

Follow us on Social Media
Facebook: facebook.com/PregnancyPlusApp
Instagram: @pregnancyplus

◆ Download Pregnancy+ App today ◆

Privacy Policy
https://info.philips-digital.com/PrivacyNotice?locale=en&country=GB

Terms of Use
https://info.philips-digital.com/TermsOfUse?locale=en&country=GB

This app is not intended for medical use, or to replace the advice of a trained medical doctor. Philips Consumer Lifestyle B.V. disclaims any liability for the decisions you make based on this information, which is provided to you on a general information basis only and not as a substitute for personalised medical advice. If you have any concerns about your pregnancy, consult with your doctor or midwife.

The Pregnancy + tracker app wishes you a healthy, full-term pregnancy and a safe delivery.",2012-06-01T14:16:26Z,2025-11-13T14:20:55Z
fm,"Micronesia, Federated States of",Medical,6020,4,386022579,BabyCentre - Pregnancy tracker,"Everyday Health, Inc.",https://apps.apple.com/fm/app/babycentre-pregnancy-tracker/id386022579?uo=4,0.0,5,1,Medical,"Discover the BabyCentre Pregnancy Tracker and Baby App – your perfect companion for pregnancy and parenthood!
Expecting? BabyCentre’s Pregnancy Tracker app is here to guide you every step of the way! Track your pregnancy week by week and day by day with expert pregnancy tips, foetal development videos, and content tailored to your unique pregnancy and parenting journey. Just enter your baby’s due date, and let our pregnancy app bring you personalised guidance, advice, and tools from the start of your pregnancy right through to your baby’s first birthday.
Our BabyCentre Pregnancy and Baby app offers everything you need in one place:
Track your journey with our pregnancy tracker
	•	Get daily updates on how your baby is developing, tailored to your exact stage of pregnancy.
	•	Enjoy a daily news feed with tips on pregnancy nutrition, pregnancy exercise, and pregnancy symptom management.
	•	Weekly pregnancy reminders, pregnancy checklists, and pregnancy insights make staying informed easy and fun!
Instant expert advice for pregnancy at your fingertips
	•	Need answers to your pregnancy questions? Our team of Midwives is here to help with real-time support for any pregnancy questions that come up.
	•	Access hundreds of expert articles on every pregnancy topic from BabyCentre, guiding you from bump to baby.
Join a community of mums and new parents
	•	Connect with mums-to-be in your Birth Club, where you can share, ask, and learn about pregnancy together.
	•	Chat with other parents about baby names, early pregnancy symptoms, baby essentials, and everything else related to pregnancy.
Find the perfect baby name
	•	Looking for a baby name finder? Our Baby Name Tool helps you explore thousands of baby names and meanings for your pregnancy journey.
…and so much more!
	•	Use our due date calculator to track your pregnancy, see interactive foetal development images throughout pregnancy, track your bump in our “Bumpie” pregnancy photo diary, and dive into exclusive “Inside the Uterus” pregnancy videos.
From pregnancy to the first year of your baby’s life, our pregnancy app evolves with you, bringing expert pregnancy advice, a supportive community, and all the essential tools you need for a smooth pregnancy experience.
Download the BabyCentre Pregnancy and Baby App today and enjoy every step of your pregnancy journey!
All health information in our pregnancy app is approved by the BabyCentre Medical Advisory Board and certified by the NHS England Information Standard.
Let's connect! Facebook: facebook.com/BabyCentreUK Instagram: @babycentreuk Twitter: @babycentreuk Pinterest: pinterest.com/babycentre YouTube: https://www.youtube.com/channel/UC3gaQduurXoDOFMSNSKnJVA
 
© 2011–2025 BabyCentre, LLC, a Ziff Davis company. All rights reserved.",2012-05-30T19:10:44Z,2025-11-05T19:23:08Z
fm,"Micronesia, Federated States of",Medical,6020,5,1512666410,وقايتنا,Ministry of interior morocco,https://apps.apple.com/fm/app/%D9%88%D9%82%D8%A7%D9%8A%D8%AA%D9%86%D8%A7/id1512666410?uo=4,0.0,5,1,Medical,"""وقايتنا"" تطبيق مغربي متنقل يسمح للهواتف المحمولة لمستعمليها برصد هواتف أخرى محاذية تستعمل نفس التطبيق، وبتقاسم رموز تعريف مشفرة ومجهولة عبر هذه الأجهزة.

على سبيل المثال، إذا كنتم بسوق تجاري ممتاز، وتواجدتم بالقرب من شخص يستعمل تطبيق ""وقايتنا""، فإن هاتفيكما المحمولة ستتبادل رموز تعريف مشفرة ومجهولة، هذه الرموز يتم تخزينها محليا على مستوى هاتفك المحمول. ولا يتم تبادل أي معطى شخصي يمكن استعماله من أجلتحديد هويتكم أو مكان تواجدكم.

في الحالة التي تتأكد فيها إصابة مستعمل لهذا التطبيق بفيروس كورونا المستجد المسبب لمرض ""كوفيد-19""، فإنه السلطات الصحية تطلب منه إرسال لائحة رموز التعريف المخزنة محليا على مستوى هاتفه المحمول إلى خادم معلوماتي مركزي، وذلك باستعمال واجهة التطبيق ""إعادة نقل المعطيات"". وهذا سيمكن من تحديد الأشخاص الذين كانوا متواجدين بالقرب من الشخص المصاب، وذلك عبر رسالة نصية قصيرة، وبالتالي من التكفل السريع بهم من أجل تفادي المضاعفات المحتملة المرتبطة بالمرض والحد من العدوى.

يتم استعمال التطبيق حصريا على مستوى التراب المغربي من أجل التصدي لانتشار جائحة فيروس كورونا المستجد ""كوفيد-19""، على أن يتم سحبها من تطبيق "" Apple Store "" بعد الإعلان عن نهاية الجائحة.

إن معالجة المعطيات المضمنة بتطبيق ""وقايتنا"" تعتبر مطابقة لمقتضيات القانون المغربي رقم 09.08 المتعلق بحماية الأشخاص الذاتيين تجاه معالجة المعطيات ذات الطابع الشخصي وتم الترخيص لهذا التطبيق ببلادنا من قبل اللجنة الوطنية لمراقبة حماية المعطيات ذات الطابع الشخصي بموجب الرخصة رقم:

A-S-192-EUS/2020 - T-S-87-EUS/2020 du 10/05/2020""""",2020-05-31T07:00:00Z,2020-08-26T17:16:07Z
fm,"Micronesia, Federated States of",Medical,6020,6,321367289,Medscape,WebMD Health Corporation,https://apps.apple.com/fm/app/medscape/id321367289?uo=4,0.0,0,0,Medical,"Your Go-To Medical Resource for Immediate Clinical Answers

With Medscape, you get free access to the latest medical news, expert commentary, clinical tools, drug and disease information, CME/CE activities, and more—all in one place.

AI-Driven Solutions to Transform Your Practice
Scribe: Real-time transcription and summarization of patient visits.
Dialer: Call patients using your office number from anywhere.
AI Search: Get instant, expert answers to complex medical questions.


Essential Clinical Tools
450+ medical calculators organized by specialty.
Drug Interaction Checker, Pill Identifier, and step-by-step procedural videos.
Up-to-date prescribing and safety info on 9,200+ drugs, herbals, and supplements.


Stay Informed & Connected
The latest FDA approvals, conference news, and clinical trial data.
Expert insights across 30+ specialties.


Medscape Original Podcasts, including This Week in Cardiology.
Free CME/CE credits & ABIM MOC points with an Activity Tracker.
Network with peers via Medscape Consult and MedscapeLIVE! events.
Medscape is the Leading Online Destination for Healthcare Professionals.

Have feedback? Email us at medscapemobile@webmd.net.",2012-06-02T11:51:00Z,2025-11-20T10:08:48Z
fm,"Micronesia, Federated States of",Medical,6020,7,990178211,amma: Pregnancy & Baby Tracker,PERIOD TRACKER & PREGNANCY AND BABY CALENDAR LIMITED,https://apps.apple.com/fm/app/amma-pregnancy-baby-tracker/id990178211?uo=4,0.0,0,0,Medical,"Pregnant? Get the free app for expectant parents to track how their baby is growing 

amma Pregnancy Calendar is an indispensable tool for expectant mothers! Get detailed information on the development of your baby at each week of pregnancy. Hundreds of thousands of women have already chosen to use this app, so join them, and us, on this incredible journey!

With amma Pregnancy Calendar you can easily:
- Get DAILY pregnancy info
- Track your pregnancy week-by-week over the 9 months 
- Get baby size information and development updates weekly
- Get information on changes in your body flow
- Manage weight and belly growth gain goals with clinical guidelines for your BMI
- Track contractions and send results to a medic with Contraction Timer
- Pregnancy+ Weight log
- Track baby kicks with Kick Counter
- Get more information about the weekly expectations of pregnancy 
- Share on Facebook, Email, Text & Twitter
- Personal Diary

and much more

Every woman who is expecting a child, is preparing herself for giving birth. Naturally, she will want to know how her baby is developing, what is happening to her body and what other changes are awaiting her until the birth. In this application, you will find a detailed weekly pregnancy calendar giving you ease of access to information about pregnancy and fetal development, changes in a pregnant woman's body, as well as tips on nutrition for pregnant women. For each week of pregnancy, there are four pieces of information: 
•	Baby development,
•	Mother’s body,
•	Mom’s meals,
•	Useful tips.
To use the pregnancy calendar, and count your due date, simply enter the date of your last period and you should see the information about your duration of gestation

This App is not intended for medical use, or to replace the advice of a trained medical doctor. If you have any concerns about your pregnancy, consult with your doctor or midwife.",2015-05-31T16:12:58Z,2025-11-11T11:53:04Z
fm,"Micronesia, Federated States of",Medical,6020,8,289560144,Pregnancy Baby Tracker - WTE,"Everyday Health, Inc.",https://apps.apple.com/fm/app/pregnancy-baby-tracker-wte/id289560144?uo=4,0.0,5,1,Medical,"Join the #1 Pregnancy & Baby Tracker App that’s Trusted by Millions for Week-by-Week Guidance and Baby Tracking Tools.

What to Expect is the world’s best-known baby development and growth tracker app chosen by more than 15 million parents. We’re the parenting, infant and family planning brand, offering you a free all-in-one pregnancy and baby tracker app with thousands of medically accurate articles, daily pregnancy updates, expert baby growth tracking, and personalized parenting tips to help you nurture a healthy pregnancy, a thriving baby, and confident parenting.

Find guides for every step of your growing family’s journey—from starting a family and recognizing early signs of pregnancy to navigating motherhood, newborn care, and the baby and toddler years. Find support and connection with moms, parents, and parents-to-be throughout your pregnancy journey.

During Pregnancy

* Due Date Calculator that determines your due date based on last period, IVF transfer, conception, and ultrasound, while sharing fun facts about your baby
* Week-by-week pregnancy tracker with info about baby development, symptoms and family preparation tips
* Themed baby size comparisons, visual countdown and 3D videos showing baby development in utero week by week of pregnancy
* Helpful daily tips designed to support you at every stage
* Keep track of your bump, symptoms, pregnancy weight, kick counts, birth plan and memories with our My Journal tool
* Expert-reviewed articles on signs of labor, pregnancy symptoms, baby and mom’s health and helpful tips
* Registry Builder to help you with your baby list and registry
* Detailed pregnancy and baby product reviews and expert buying guides
* Expecting Twins? Learn about different types of twins and possible fetal positions
* Use the contractions counter to track the frequency and duration of contractions

After Baby’s Arrival

* Baby Tracker that lets you time and track baby’s feedings, log pump sessions, diaper changes, tummy time, and more
* Month-by-month and milestone tracker for each step of your baby’s life, from the newborn to the toddler stage
* Daily tips tailored  to your baby’s age, stage, your postpartum recovery, and your parenting journey
* Record your postpartum symptoms and medications 
* Informative videos and articles about sleep schedules, feeding tips, milestones, and baby’s growth and week-by-week development
* Medically reviewed articles and info about baby’s health, doctor’s appointments and vaccines
* Join community groups meet people with due dates in the same month, newborn care, mom’s health conditions, parenting styles and more

Family Planning

* Ovulation Calculator that pinpoints your most fertile days based on last period and cycle
* Due Date Calculator that helps you figure out baby’s potential due date when you’re trying to conceive (TTC)
* Ovulation tracker and early pregnancy signs, plus keep a journal of your feelings when you’re trying to get pregnant
* Expert advice and articles to help you understand your cycle, signs of ovulation and pregnancy, fertility issues, adoption and surrogacy, and more
* Community groups devoted to preparing for pregnancy and fertility treatments

About Us 

All content on the What to Expect app is accurate, up-to-date, and reviewed by medical experts, including the What to Expect Medical Review Board. It aligns with current health guidelines and Heidi Murkoff’s trusted books 

Medical information comes from expert sources like ACOG, AAP, CDC, and peer-reviewed journals to ensure reliability and credibility.

For more about What to Expect's medical review and editorial policy, visit: https://www.whattoexpect.com/medical-review/
Do not sell my info: https://dsar.whattoexpect.com/

Use our pregnancy tracker app to help nurture a happy, healthy pregnancy & baby! Let’s connect:
* Instagram: @whattoexpect
* Twitter: @WhatToExpect
* Facebook: facebook.com/whattoexpect
* Pinterest: pinterest.com/whattoexpect
* TikTok: @whattoexpect",2019-02-01T08:00:00Z,2025-10-24T11:40:21Z
fm,"Micronesia, Federated States of",Medical,6020,9,1065353019,Altibbi: Online Doctors 24/7,ALTIBBI Limited,https://apps.apple.com/fm/app/altibbi-online-doctors-24-7/id1065353019?uo=4,0.0,0,0,Medical,"Altibbi App - the innovative platform offering telemedicine consultation services to improve patient care and empower them with high-quality medical advice anytime, anywhere, allowing them to communicate with doctors effortlessly. 
Why Altibbi?
• Comprehensive Medical Information: Read articles and medical insights about various diseases and health conditions you want to know more about
• Voice or Text Medical Consultations: Inquire about medical symptoms and health conditions and get remote medical advice from certified doctors
• Share Medical Reports: Attach your medical reports and share them with doctors to receive the best recommendations and medical consultations
• Personal Health Record: A guide allowing you to keep your personal health records and monitor previous medical diagnoses
• Medication Reminder: Reminders for timely medication intake and tracking of important medical appointments
• Electronic Prescriptions: Obtain electronic prescriptions from certified doctors

Altibbi App Features:
• Fast access to doctors within minutes
• Thousands of certified doctors are available 24/7 to answer your queries
• Privacy, security, and data confidentiality
• A trusted source for families: Providing important and reliable health information anytime






For a better, healthier life with Altibbi:
• Save time and effort: Access telemedicine consultations through your mobile phone
• Medical consultations: Easily receive medical consultations from the comfort of your home
• Avoid waiting in crisis: Organize your daily life and avoid long waiting times at the doctor's clinic

How to use Altibbi app:
To benefit from the medical services and consultations, simply follow these steps to use the app:
1. Register your phone number and receive a verification code to proceed
2. Choose the appropriate subscription to start accessing medical consultations. After selecting the subscription type, tap on ""Continue"" to proceed
3. Enter your card details to complete the payment process and agree to the terms and conditions for continued access
4. Choose a suitable payment method through the available network on your phone or in your country
5. Once the subscription process is successfully completed, you can enjoy all the benefits offered by Altibbi and start medical consultations

User Testimonials:
- Omar Al-Anzi: ""Fantastic app that helped me connect with a doctor, especially when I had an urgent health issue.""
- Ahmed Al-Harthy: ""I contacted a doctor through the app and was surprised by the quick response and cooperation from the doctor.""
- Sara Hassan: ""I hesitated to share my personal information, but after trying the service and communicating with the doctor, I felt safe and assured of my privacy.""
- Mariam Jameel: ""The app made it easy for me to follow up with the doctor after medical tests or when taking prescribed medications.""",2015-12-09T19:43:08Z,2025-11-12T09:10:41Z
fm,"Micronesia, Federated States of",Medical,6020,10,1639092193,Blood Sugar Level,Enrique Villahermosa Juara,https://apps.apple.com/fm/app/blood-sugar-level/id1639092193?uo=4,0.0,0,0,Medical,"Have a new glucometer, but don't have a device to record your measurements?

This app allows you to keep track of your blood sugar level on a daily basis. It's very simple, just record the measurements ​​and check the statistics over time.

Note: The app need to have an external device (such as glucometer) to record blood sugar level.

Disclaimer: This app only records blood glucose values and does not assess, interpret, or validate the readings; always consult a healthcare professional for medical advice.",2022-09-03T07:00:00Z,2025-09-12T06:49:49Z
