country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
md,"Moldova, Republic of",Health & Fitness,6013,1,1038369065,Flo Period & Cycles Tracker,FLO HEALTH UK LIMITED,https://apps.apple.com/md/app/flo-period-cycles-tracker/id1038369065?uo=4,0.0,4.87411,8571,Health & Fitness,"Live in sync with your cycle using Flo, the world’s most popular female health app. Get personalised insights and predictions on your body.

Whether you want to predict your period, get pregnant, track your pregnancy, or better understand your symptoms, Flo is your all-in-one female health partner. Join over 420 million members.

With Flo, you can:
- Keep your data safe: Flo is the first period and ovulation tracker to achieve dual ISO 27001 and ISO 27701 Certifications (aka gold standards in data protection).
- Feel more understood: Share your Flo insights via Flo for Partners to feel more connected, understood, and supported.
- Get an extra layer of protection: Anonymous Mode means no one, not even Flo, can identify you based on your health data.
- Join a supportive community: Secret Chats is where members can discuss topics and connect with others on the same journey.
- Access reliable health information: Flo collaborates with a globally recognised organisation dedicated to reproductive health and rights, ensuring trustworthy support for your health journey.

With Flo Premium, you can enjoy:
- Monthly cycle reports
- Symptom predictions and patterns
- Tailored prediction insights
- Detailed pregnancy tracking
- Full access to Flo for Partners
- A 24/7 virtual Health Assistant
- All articles, videos, and courses reviewed by 140+ health experts

New! Flo supports perimenopause:
- Know what might be perimenopause and how to tune in to your body’s changes.
- Get clarity on common perimenopause symptoms and what can help.
- Make more informed health decisions and identify what you need to feel your best.

Start tracking your cycle for free today.

Privacy Policy and Terms of Use:
https://flo.health/privacy-policy  
https://flo.health/terms-of-use 

Connect with Flo:
Web: flo.health
TikTok: @flotracker
Instagram: @flotracker

Please note: Flo is not a diagnostic tool and should not be used as a method of contraception or to facilitate conception. Predictions and insights provided by the app are intended for informational purposes only and are not a substitute for professional medical advice, diagnosis, or treatment. Always consult a qualified healthcare provider for any health concerns or decisions.

Flo uses HealthKit to read menstrual cycle data and export your Flo activities to the Health app.

If you have any difficulties using the app, contact Flo via support@flo.health.

Notice of Access Permission:
Flo may request permission for:
- In-app notifications or reminders.
- Uploading photos to specific forum discussions.
- Uploading audio recordings to closed group chats.
Content sharing is entirely optional. Flo does not automatically access your content. You can select what you want to share.",2015-10-03T22:28:36Z,2025-11-19T19:58:17Z
md,"Moldova, Republic of",Health & Fitness,6013,2,6741707862,Welmi - Calorie Counter & Diet,T-SHAPED APPS LTD,https://apps.apple.com/md/app/welmi-calorie-counter-diet/id6741707862?uo=4,0.0,4.86807,379,Health & Fitness,"We created Welmi App to help you reach your weight goals in the most comfortable way possible — no stressful fasting, extreme diets, or exhausting workouts, but gently forming conscious food habits and adjusting your nutrition.
Our mission is to be a personal nutritionist for everyone — not just a calorie counter, but a true companion to help you achieve your dream shape and maintain healthy eating habits.

Snap your meals, and we’ll gently guide you toward your fitness goals!

App features we crafted for you:
– Food & calorie scanner
Simply snap a photo of your meal, and the app will instantly log all its details.

– Personalized nutrition recommendations
Optimize your diet to feel more energetic. Discover your ideal meal sizes, food types, and the best eating schedule.

– Eating reminders
We’ll notify you when it’s the right time for a healthy meal.

– Macronutrient counter
Track your carbs, proteins, and fats with just a picture of your food.

– Daily streaks
Challenge yourself to eat healthy every day and beat your personal record!

*Analysis results require a subscription

Your healthy companions,
Welmi Team

If you have any ideas or questions, please email us at welmiappai@gmail.com

Note: We do not offer medical advice. Any and all recommendations should be viewed as suggestions, please consult with a professional and do your own research before trying a new calorie and nutrient plan.

Terms: https://www.apple.com/legal/internet-services/itunes/dev/stdeula/",2025-02-28T08:00:00Z,2025-11-21T22:23:50Z
md,"Moldova, Republic of",Health & Fitness,6013,3,896501514,Period & Cycle Tracker,ABISHKKING LIMITED.,https://apps.apple.com/md/app/period-cycle-tracker/id896501514?uo=4,0.0,4.9284,1285,Health & Fitness,"** Top Rating Reproductive Health App ** 
 
Check out the most widely-used period, ovulation & pregnancy tracker, which has been helping to improve the well-being of over 300,000,000 women across 45+ countries in the past decade. 
 
We understand your concerns about your private data security, especially with the recent news.
Here's how we protect your data:
• You can use our app without creating an account.
• You remain COMPLETELY ANONYMOUS while using our app.
• You can DELETE ALL DATA in 1 click whenever you want.
 
At every stage of your life, we safeguard your well-being. 
 
PERIOD & CYCLE CALENDAR
We'll remind you of the dates when your next period starts and ends on time. It's useful whether you have irregular or regular menses. Better? You'll receive tailored PMS advice and instant menstrual pain relief guidance.
 
OVULATION & FERTILITY TRACKER
We help you calculate your most fertile days and analyze your fertility window based on your unique cycle. You can get pregnant naturally ASAP by learning your CHANCE OF CONCEPTION every day.
 
PREGNANCY MODE: WEEK-BY-WEEK 
Follow your baby's weekly growth. Use our due date calculator to find out when your baby's BIG DAY will be and count down it.
 
BIRTH CONTROL PLANNER
Quickly record and stay on track with your contraceptive methods like pills, rings, patches, injections, IUDs, or implants. You can customize the reminder message for individual services.
 
PILL REMINDER
Set start date, interval, durations, and dose quantity for any medication, drugs, or supplements. So you won't forget to take pills when life gets busy.
 
SYMPTOM PREDICTIONS & TIPS
Record your symptoms during any life stage. Get predictions and courses to learn how to deal with them. Take breast self-exam monthly to find abnormalities early.
 
>>Key Features:
- Accurate prediction & reminders of menstruation & the most fertile days 
- Track the cycle lengths, flow intensity, when you are ovulating, birth control methods, etc.
- Log 58 symptoms, 67 moods, and energy levels to know your menstrual pattern
- Track daily chance of getting pregnant with BBT, cervical mucus, ovulation & pregnancy test records
- Baby's due date countdown
- Baby's weekly growth tracker
- Export a health report with charts for self-archive or doctors
- Insights from fertility specialists
- PIN code, Face ID, & Fingerprint lock to protect your private data
- Daily health tracker: weight, hydration, sleep, mood, sex, steps, etc.
- Breast self-exam guidance
- Multiple accounts to track for different, for example, mother/daughter 
- Unlimited app themes & pets
- Available in 39 languages
- Sync data with Apple Health
- Backup and restore data between devices
 
Note: Period Calendar should not be used to replace any form of contraceptive method.
 
Subscription Terms and Details
- Get unlimited access to all features for USD $49.99/year:
	• Cycle predictions for each month
	• Fertility analysis of each day
	• Unlock all self-care content
	• Kegel exercise for women
	• Unlimited app themes and pets
	• Remove ads forever
- The payment will be charged to your iTunes account at confirmation of purchase.
- The subscription automatically renews unless auto-renew is turned off at least 24 hours before the end of the current period.
- Subscription may be managed, and auto-renewal may be turned off by going to Account Settings after purchase.
- The account will be charged for renewal within 24 hours prior to the end of the current period.
- Any unused portion of a free trial period will be forfeited when the user purchases a subscription to that publication.
 
If you have any questions or concerns while using our app, please feel free to contact us via feedback in our app ( [Settings] -> [Bug Report&Feedback]) or write to us at abishkking.apple@gmail. 
 
Privacy Policy: https://pc.abishkking.com/privacypolicy.html
Terms of Use: https://pc.abishkking.com/terms.html",2014-09-30T23:41:17Z,2025-11-24T03:56:24Z
md,"Moldova, Republic of",Health & Fitness,6013,4,6514310473,"Sleepway: Sleep Tracker, Sound",DEEP FLOW SOFTWARE SERVICES - FZCO,https://apps.apple.com/md/app/sleepway-sleep-tracker-sound/id6514310473?uo=4,0.0,4.84848,33,Health & Fitness,"Struggling to fall asleep or stay asleep?

Sleepway makes bedtime simple with calming sounds, soothing white noise, guided meditation, and an easy sleep tracker & recorder. Drift off faster, sleep deeper, and wake up refreshed every morning.

Relax Instantly with Sounds & Meditation

Unwind with peaceful sounds, meditation tracks, and white noise designed to quiet your mind. Choose from nature sounds, soft music, or classic white noise — all crafted to help you relax, meditate, and sleep better.

Create Your Own Perfect Sound Mix

Don’t just listen — design your sleep environment. Combine sounds like rain, ocean waves, or birdsong with white noise and meditation music to build your personal soundscape. Every sound helps you find calm, focus, and rest.

Track & Record Your Nights

Sleepway is more than a sleep tracker. It’s also a powerful recorder that captures nighttime sounds like snoring, talking, or yawning. Together, the sleep tracker and recorder reveal how you sleep, while meditation and white noise help you improve it.

Discover Insights That Matter

With Sleepway’s sleep tracker, see how long you slept, view your patterns, and check what the recorder picked up during the night. Use these insights along with calming sounds, meditation, and white noise to build healthier sleep habits.

Simple, Sound-Centered Design

Sleepway keeps everything easy. Browse the sound library, enjoy meditation sessions, mix soothing sounds with white noise, and access your sleep tracker & recorder — all in a clean and intuitive interface.

Sleep Notes & Sleep Factors: Keep a mini journal before bed and log factors that may affect your sleep — like coffee, alcohol, stress, or light exposure. Combine your notes with Sleepway’s sleep tracker and recorder to see how these factors impact your nights.

Wake-Up Mood Log & Graphs: Track how you feel each morning. Record your wake-up mood and follow your patterns over time with simple, easy-to-read graphs. Pair this with meditation and calming sounds to improve both sleep and mornings.

Breathwork & Heart Rate Tracking: Sleepway links breathwork directly to your heart rate tracker. If your heart rate is elevated, the app guides you through calming breathing exercises. With sound therapy, meditation, and white noise, you’ll lower stress and prepare for deeper sleep.


With Sleepway, you can:

Sleep better with meditation, calming sounds, and white noise.

Personalize your experience using unique sound mixes.

Use the sleep tracker & recorder to understand your nights.

Improve your overall health with deeper, restorative sleep.

Download Sleepway today and unlock better nights with meditation, sound therapy, white noise, and the most intuitive sleep tracker & recorder.

Terms and Conditions: 
https://storage.googleapis.com/static.sleepway.app/terms-and-conditions-english.html

Privacy Policy: 
https://storage.googleapis.com/static.sleepway.app/privacy-policy-eng.html

Community Guidelines: 
https://storage.googleapis.com/static.sleepway.app/community-guidelines-eng.html",2024-09-09T07:00:00Z,2025-11-11T07:35:54Z
md,"Moldova, Republic of",Health & Fitness,6013,5,347184248,Calorie Counter by fatsecret,Secret Industries Pty Ltd,https://apps.apple.com/md/app/calorie-counter-by-fatsecret/id347184248?uo=4,0.0,4.92274,453,Health & Fitness,"Welcome to fatsecret, the easiest to use calorie counter and most effective weight loss and dieting app on the market. Best of all, fatsecret is free.

The app is customised for each country's foods and brands.

Keep track of your food, exercise and weight, using the world's highest quality food and nutrition database and connect with a global community of people looking to make a change for the better and start losing weight and achieve your goals the healthy way. 

The app is available on Apple Watch and supports terrific Complications for your watch faces. 

The app is fully integrated with the Health app which lets you share your data with other Health connected apps. In particular you can:
- sync your Health app calories burned and steps in fatsecret
- add all your foods and their detailed nutritional information to the Health app
- sync your weight to the Health app

fatsecret is fast, simple to use and includes integration with external tools and services to help you succeed with your diet: 
- An easy to use food diary to plan and keep track of what you're eating.
- A wonderful community that's ready to provide support and turbo charge your weight loss.
- Image recognition of foods, meals and products so you can take photos with the camera and track nutrition with pictures. 
- A barcode scanner and auto-complete functions.
- Health app, and Fitbit exercise tracking integration.
- An exercise diary to record all the calories you burn.
- A diet calendar to see your calories consumed and burned.
- A weight tracker.
- Detailed reporting and goals for all your calories and macros.
- Photo album. #Photodiet #Foodsnap #Instacalorie
- A journal to record your progress. 
- Reminders for meals, weigh-ins and journals.
- Notifications for support, comments and followers.
- Fantastic recipes and meal ideas.
- Sharing and interacting with your professional of choice.
- Sign in with Apple, Facebook and Google login.

The app syncs with fatsecret Professional, the most convenient way to share your food, exercise and weight with your preferred health professional. Your health professional will get free access to simple and powerful tools to monitor your performance and provide you with feedback, advice and support.

You can also sync your account online to access your info anywhere, any time.

Premium subscriptions are available for enhanced features to help you achieve your diet and weight management goals. Premium users get:
- Nutritional meal plans created by our dietitian specifically for different diet preferences and calorie goals (Keto Style, Balanced, Mediterranean, Intermittent Fasting, High Protein Low Carb)
- Advanced Meal Planning: plan ahead and know in advance how many calories each meal contains
- Custom Meal Headings: Six additional meal types that allow you to spread your food intake across multiple points in the day
- Water Tracking: so you can make sure you reach a daily water intake goal

If you choose to upgrade to fatsecret Premium, we offer a range of subscription options, including monthly, quarterly, or annually.

Payment will be charged through your iTunes account at confirmation of purchase. Subscription renews automatically unless cancelled at least 24 hours prior to the end of the subscription period at the same price and subscription type you previously purchased.  

Subscriptions can be managed through your iTunes account after purchase. It is not possible to refund or cancel a subscription during the period.

Terms of Use: https://www.fatsecret.com/Default.aspx?pa=tnc

We hope you'll love Calorie Counter by fatsecret. We are constantly working to improve the app and welcome user feedback.",2009-12-23T07:43:00Z,2025-11-24T02:41:14Z
md,"Moldova, Republic of",Health & Fitness,6013,6,946099227,AI Calorie Tracker by Yazio,YAZIO GmbH,https://apps.apple.com/md/app/ai-calorie-tracker-by-yazio/id946099227?uo=4,0.0,4.87568,1110,Health & Fitness,"Welcome to Yazio, the most effective calorie counter, food tracker and intermittent fasting app for losing weight without dieting!
• Rated 4.6 stars based on 300,000+ reviews
• Trusted by 100M+ people
• App of the Day in the App Store
Track calories, eat better and reach your goals with Yazio’s free calorie counter app.
Whether you're working towards a calorie deficit, want to track your meals or just need a smart food tracker, Yazio is your all-in-one solution. Designed to support sustainable weight loss, muscle gain or weight maintenance, Yazio offers a science-backed approach to calorie counting that delivers long-term success without extreme diets.
• Easy-to-use calorie counter and food tracker
• Calorie deficit tracker to reach your weight goals
• Huge database with 95% of all food items
• Smart calorie tracker with barcode scanner
• Meal planning, food tracker and personalised recipes
• Integrated step and activity tracking
• Water tracker with reminders
• Instant access with no sign-up required
• Nutrition tools for men and women
• Regular updates with new calorie counter and calorie tracker features
• Support for healthy muscle building and weight gain
• Focus on long-term results, not yo-yo dieting
Yazio supports your progress with 3 powerful tools:
Calorie counter
• Free and intuitive calorie tracker
• Food diary with customisable calorie counter goals
• Tracking for calories, macros and nutritional values
• Food database with over 4 million searchable items
• Barcode scanner for easy calorie tracking
• Food ratings to support healthier choices
• Custom meals and meal planning tools linked to your calorie tracker
• Smart, simple calorie counting
• Integrated tracking for steps, workouts and symptoms
• Water tracker with reminders
• Visual calorie counter analysis and calorie tracker history
• Tips and tricks for efficient calorie tracking
Healthy habits & intermittent fasting
• Optional fasting tracker for various calorie tracker plans
• Regular meal timing and eating reminders
• Flexible plans, including 16:8 and 5:2
• Helpful guidance on ketosis, autophagy and energy use
• Seamless integration with your calorie counter, calorie tracker and food tracker
• Detailed nutrition insights based on calorie tracker and food tracker data
Recipes & meal planning
• 2,900+ delicious, goal-friendly recipes
• Weekly updates with new healthy meal ideas
• Filters for low-carb, vegetarian and vegan options
• Wide variety of meals including pizza, salads, desserts and more
• Smart grocery list for quick, easy shopping
• Step-by-step cooking mode for stress-free meal prep
Want faster results? Go Pro.
Try Yazio Pro to get advanced features that accelerate your progress.
• Unlock advanced calorie tracker tools
• See faster results with your custom food tracker plan
• Access in-depth food and calorie analysis
• Use advanced calorie deficit tracker and calorie counter tools
• Get custom meal plans tailored to your goals
• Sync with Fitbit, Garmin and more
• Track your mood, symptoms and body metrics over time
• Review progress with long-term trend insights
• Enjoy an ad-free experience for better focus
• Get the ultimate calorie counter experience
• Help support the Yazio team
Upgrade to Pro in the Yazio Calorie Counter App to unlock advanced features and insights. Pro is available as a subscription via in-app purchase and offers better value than other apps with calorie counters, calorie trackers, food trackers or intermittent fasting features.
• App help: http://help.yazio.com
• About our team: https://www.yazio.com/en/about-us
Unlock the ultimate food tracker, calorie counter and healthy eating experience with Yazio!
Help us make the Yazio Calorie Counter App even better as your go-to calorie counter, food tracker and weight loss tool. Have ideas or suggestions? We'd love to hear from you!",2015-02-04T00:19:51Z,2025-11-17T07:22:12Z
md,"Moldova, Republic of",Health & Fitness,6013,7,1264546236,BetterMe: Health Coaching,BetterMe Limited,https://apps.apple.com/md/app/betterme-health-coaching/id1264546236?uo=4,0.0,4.69013,1520,Health & Fitness,"Get workout and meal plans supported by human coaches, track your progress, and get bite-sized cognitive therapy tips to change your mindset.

FIVE REASONS TO INSTALL BetterMe:

1. Plan tailored to your goals

Whether your aim is to lose weight, build muscle, or stay fit, we’ve got just the solution for you. Transform your body with a workout and meal plan that fits your busy schedule, preferences and lifestyle.

2. Stay on top of your wellbeing

From activity and calories to water intake and fasting, our trackers help you build new healthy habits. While in-depth stats over time help make them a part of your routine and show your progress!

3. 1-on-1 coaching 

Want to boost your results? Upgrade to 1-on-1 coaching to get support and daily check-ins from your personal coach. Stay accountable and on track to achieve lasting results with expert guidance every step of the way. Need to tweak your workout plan, get nutrition tips, or a dose of motivation? Just drop them a line—your coach has got your back!

4. Challenges for every goal

Push yourself with guided challenges in workouts, nutrition, and mindset. Whatever goal you have in mind, you'll get a structured plan that keeps you on track and delivers real results!

5. Start with your mind 

We believe that happiness starts from the inside out. Explore our chapters on nurturing a positive mindset. Just 10 minutes a day to rewire your negative thinking and set you up for success.

6. Get a 360° view of your wellness

Gain a better insight into your wellness journey with the BetterMe Fitness Tracker and Smart Scale. Monitor your sleep quality, daily steps, heart rate, and body composition to understand how your habits impact your overall well-being.

BetterMe is your go-to app for various workout types, easy-to-follow meal plans, and useful tips! 

Here’s how we help you succeed: 
Workout Plan: Get ready to get in better shape with short and effective workouts.
Delicious Meal Plans: Enjoy mouth-watering dishes chosen just for you! Our easy video recipes make cooking a breeze.
Intuitive Calorie Tracker: Keep tabs on your daily calorie and macros intake.
Personal Coach Feature: You’re never alone on this journey! You can upgrade to get professional guidance and support every step of the way.
Water and Step Trackers: Stay on top of your daily goals and keep your hydration and activity levels in check!
Workouts for Everyone: Whether you love yoga, running, or walking, we have over 4 000 workouts that fit your style and fitness level!

BetterMe app is also integrated with the Apple Health app, so that you can track your steps inside the actual app as well as log your water and calorie intake. You can see your workout and meal schedule on the main screen and set workout notifications so that we can remind you to work out at a suitable time.

We offer flexible subscription plans, so you can choose what suits you best. Please note that subscriptions automatically renew within 24 hours before the end of the free trial or the current subscription period. You can manage or cancel your subscription anytime through your Apple ID settings. If a free trial is available, any unused portion will be forfeited upon purchasing a subscription.
 
Terms of Use - https://betterme.world/terms 
Privacy Policy - https://betterme.world/privacy-policy 
Subscription Terms - https://betterme.world/subscription-terms",2017-08-22T17:03:57Z,2025-11-20T12:25:17Z
md,"Moldova, Republic of",Health & Fitness,6013,8,1482365282,Eat & Track,EAT & TRACK S.R.L,https://apps.apple.com/md/app/eat-track/id1482365282?uo=4,0.0,4.91885,382,Health & Fitness,"Bine ai venit pe Eat & Track, cel mai rapid și ușor de folosit jurnal de nutriție cu alimente exclusiv din România. Aplicația noastră este mai mult decât un simplu calculator de calorii, uite de ce:

ALIMENTE ȘI REȚETE DIN ROMÂNIA
Peste 30.000 de alimente pe care le găsești în magazinele din România și sute de rețete cu instrucțiuni si informații nutriționale complete te așteaptă în aplicație.

JURNAL ALIMENTAR
Devii conștient de ceea ce mănânci, cât mănânci, cum mănânci și când mănânci.

OBIECTIVE PERSONALIZATE
Vei știi de câ te calorii ai nevoie zilnic și cum să-ți împarți macronutrienții pentru a-ți atinge obiectivul.

MĂSURĂTORI
Te ajutăm să menții focusul asupra ceea ce este important și să ajungi la rezultatele dorite.

COLABOREZI CU NUTRIȚIONIȘTI
- Alege nutriționistul și contactează-l direct din aplicație.
- Nutritionistul iti poate oferi planuri alimentare, activitati pe care sa le indeplinesti zilnic, antrenamente video, toate direct in aplicatie.
- Ești monitorizat îndeaproape și poți primi și oferi feedback prin intermediul chat-ului integrat.

ALTE FUNCȚIONALITĂȚI 
- Urmărește progresul și evoluția spre obiectivele tale cu rapoarte și grafice intuitive.
- Scanează codul de bare al alimentelor pentru a le găsi mai rapid.
- Nu ai găsit un aliment în baza de date? Îl poți crea chiar tu.
- Creează rețete noi, adaugă ingredientele, iar noi calculăm automat informațiile nutriționale pentru fiecare porție.
- Adaugi des aceleași alimente la o masă? Salvează combinația de alimente într-o masă salvată pentru o adăugare rapidă în jurnal.
- Monitorizează câtă apă bei zilnic cu funcționalitatea de Aport Apă din Jurnal.
- Generează lista de cumpărături direct din jurnalul alimentar. Adaugă-ți alimentele și rețetele în jurnalul alimentar în avans pentru perioada următoare iar noi îți generăm lista de cumpărături automat.
- Programează notificări iar noi îți vom aduce aminte să logezi ce ai mâncat, să bei apă, să-ți logezi măsurătorile, sau orice altceva ai nevoie.
- Logează-ți activitățile fizice iar noi estimăm automat câte calorii ai ars.

Toate functionalitatile de mai sus sunt si vor fi gratuite. Pe langa acestea, cu abonamentul EAT & TRACK PRO primesti acces la un set de functionalitati extra cu ajutorul carora iti va fi mai usor sa-ti atingi obiectivele si sa faci alegeri mai sanatoase.

- Idei de mese
Nu mai știi ce să mănânci și vrei o idee simplă care să se încadreze în caloriile tale? Primești acces la peste 200 de idei de mese, simple, rapide și gustoase.

- Poze progres
Pozele îți arată progresul în moduri în care cântarul și măsurătorile nu o pot face.

- Poze mese jurnal 
Cu această funcționalitate poți adaugă poze la fiecare masă din jurnal pentru a avea un istoric vizual al meselor consumate în fiecare zi.

- Prieteni
Îți vei putea adăuga prieteni pentru a împărtăși libraria personală de alimente și rețete, obiectivele, jurnalul alimentar și măsuratorile.

- Comparare Alimente
Compară două sau mai multe alimente pentru a afla care este mai caloric, mai bogat în proteine sau care aliment aduce un aport mai mare de fibre.

- Activități fizice
Ne integrăm cu Apple Health si FitBit pentru sincronizarea automata a pașilor și a caloriilor arse din activități fizice.

Alte funcționalități PRO
- Adaugă alimente, rețete, idei de mese ca și favorite
- Export jurnal alimentar și măsurători în Excel
- 

PRO este un abonament anual pe care îl puteți achiziționa direct din aplicație, achiziție care va fi aplicată contului dumneavoastră de iTunes. Puteți administra sau anula abonamentul PRO oricând, din setările contului dumneavoastră de iTunes. Abonamentul se va reînnoi automat, cu excepția cazului în care este anulat cu 24 de ore înainte de sfârșitul perioadei curente.
Pentru mai multe informații citiți Termenii și Condițiile la adresa: https://eatntrack.ro/termenisiconditii",2019-11-05T08:00:00Z,2025-11-18T01:26:21Z
md,"Moldova, Republic of",Health & Fitness,6013,9,1453884781,Sleep Tracker – Rise,Rise Science Inc,https://apps.apple.com/md/app/sleep-tracker-rise/id1453884781?uo=4,0.0,4.76471,34,Health & Fitness,"Become a better sleeper thanks to 100 years of sleep science. 

Teams in the NFL, MLB, NBA, MLS as well as many Fortune 500 companies trust Rise to help members achieve better sleep.

FROM THE RISE COMMUNITY:

*****
Chase M.
""Rise helped me understand how vital sleep truly is. In only a few weeks, I found myself more focused, energetic, and productive at work.""

***
Becky G.
""I could see where sleep debt was causing issues, like temper short, not comprehending things, moving slowly.  I had an epiphany... I'm getting 45min more sleep on average than I was before Rise.""

****
Katie B.
""I never thought too much about the impact of sleep on my mood. With Rise I saw a very fast improvement in my sleep which impacted my relationship with my kiddos.""

▶ RISE Premium Features

FEEL BETTER
Are you wondering how to get the most out of your sleep? It’s time to look beyond a new mattress or getting eight hours of shut eye and focus instead on your SLEEP DEBT. 

Sleep Debt is one of the most vital findings in the last century of sleep science. When your Sleep Debt is low, your quality of life as well as your life expectancy increases. When your Sleep Debt is high, the opposite happens.

With Rise, learn what Sleep Debt is, how it works and then calculate your own. This will help you better understand why some days you feel great and others not as much. It will help you decipher when you should prioritize sleep and the real toll staying up late has on you. 

GUIDANCE TAILORED FOR YOU
Do you find your mind racing just as your head hits the pillow? Unable to stop doom-scrolling on your phone until the early hours? 

Based on your data and the latest research, we’ll make recommendations on new personalized habits that fit your needs and help you feel better immediately. 

How Rise helps you sleep better:
Encourages you to get into bed on time 
Provides guidance when you have difficulty sleeping 
Reduces the amount of times you wake up in the middle of the night 
Optimizes sleep time to reduce feelings of grogginess

OPTIMIZE YOUR DAY
We all have an internal brain clock that signals to your body when to be alert as well as when to go into recovery mode. Each body and mind is unique to another, from when we perform our best to when we should be sleeping and waking up. Given this individualization, we use advanced algorithms to highlight the optimal window for sleep and activity. 

AUTOMATICALLY TRACK SLEEP
Through our integration with Apple Health, Fitbit, Oura, Garmin, Sleep Cycle and data from other sleep trackers already on your phone, Rise can determine the hours of sleep you get every night, the number of steps you take each day, as well as data from other various activities that affect your sleep pattern.   

WHY WE STARTED RISE
We want to help get ahead of the Insufficient Sleep Epidemic (CDC, 2014) we are currently experiencing and that has been steadily increasing since 1985. This Epidemic has led to elevated mortality rates (Cappuccio, 2010) as well as underperformance in most aspects of life (RAND, 2016).

Today, we look at sleep as a luxury. Rise strives to create a world where healthy sleep is a necessity.

Subscription pricing and terms:
Rise offers an auto-renewing yearly subscriptions at $59.99/yr or $35.99/yr to provide you with unlimited access to the RISE Sleep & Energy improvement membership and all premium features. We offered a limited-time free trials of 7-days to explore the Premium features for free.

Payment will be charged to the credit card connected to your App Store account when you confirm the initial subscription purchase. Subscriptions automatically renew unless auto-renew is turned off at least 24-hours before the end of the current period. Manage your subscription by going to your Profile page, or on the App Store Subscriptions settings page.

With your Rise Premium subscription, you may be eligible for life and AD&D insurance.


Terms of Service available at: bit.ly/rise-sleep-app-tos.",2019-08-19T20:31:38Z,2025-11-21T15:01:47Z
md,"Moldova, Republic of",Health & Fitness,6013,10,6443740936,Lyfta: Gym Tracker & Planner,Lindberg Development AS,https://apps.apple.com/md/app/lyfta-gym-tracker-planner/id6443740936?uo=4,0.0,4.86207,29,Health & Fitness,"Join over 3 million gym and fitness enthusiasts and lift more with Lyfta – the free workout tracker, gym log, and strength training planner.

Log your workouts, build routines, and track progress so you can focus on what matters most: getting stronger.

What Our Users Are Saying:

• ""I've tried probably 10 different gym apps over the years, and none of them clicked for me until Lyfta. It's crazy how much is available for free, from the unlimited custom free routines to their massive exercise library. It just has everything you need to actually stick with it."" – Ryan

• ""I love how simple it is to plan my workouts in Lyfta. I used to feel lost at the gym, but the guided exercises keep me on track. And seeing my progress with the stats has me getting stronger every single week. It's so motivating!"" – Kady

• ""Lyfta has made a huge difference in my consistency. I've never been able to stick with a routine until now. Seeing my friends' workouts and jumping into the community challenges gets me excited to come back, and I've honestly made some serious gains since I started."" – Rojaas

Why choose Lyfta?
• Free, simple, and ad-free workout tracker
• Create and customize weightlifting programs & gym routines
• Track progress in strength, volume, sets, reps, and PRs
• Stay motivated with friends, challenges, and milestones

Powerful Gym Workout Tracking
• Log sets, reps, weight, RPE, and notes in seconds
• 5,000+ exercises with HD video guides for perfect form
• Build unlimited custom programs or follow proven ones like StrongLifts 5x5, nSuns, GZCL, Push/Pull/Legs, Rp Hypertrophy, German Volume Training, and more. Note: Lyfta is not affiliated with, endorsed by, or sponsored by any of these gym programs.
• Add your own custom lifts with muscle groups & equipment
• Track advanced sets: warm-ups, drop sets, supersets, AMRAP, and failure sets
• Auto rest timers keep your sessions efficient
• Built-in One-Rep Max calculator for all major lifts

Stay Motivated & Connected
• Share workouts, routines, and progress with friends
• Follow your training partners and cheer them on
• Monthly strength challenges and global leaderboards
• Streaks and milestones to celebrate every achievement
• Privacy controls: choose public or private profile

Integrations & Compatibility
• Apple Watch support for live workout tracking
• Quick widgets and shortcuts for faster logging
• Sync with Apple Health and Strava,
• Seamless data sync across all devices

If you like Lyfta, try Lyfta Pro free for 14 days! Unlock advanced analytics, expert programs, and progression tools to hit new personal bests.

If you choose to purchase Lyfta Pro, payment will be charged to your Apple account, and your account will be charged for renewal within 24-hours prior to the end of the current period. Auto-renewal may be turned off at any time by going to your settings in the App Store after purchase. Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable.

Whether you’re starting your first strength program, building muscle, or chasing new personal records – you belong here. Download Lyfta today, log your training, and reach your goals faster.

Privacy Policy: https://www.lyfta.app/privacy
Terms of Service: https://www.lyfta.app/terms",2022-10-10T07:00:00Z,2025-11-15T20:21:52Z
