country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
ms,Montserrat,Finance,6015,1,1499857038,Revolut — teen finance,Revolut Ltd,https://apps.apple.com/ms/app/revolut-teen-finance/id1499857038?uo=4,0.0,0,0,Finance,"Revolut is the money app designed to spend, save, and set money aside.

What's in store:
• Get your own customisable debit card and virtual cards to add to your Apple or Google Wallet (personalisation fees may apply)
• Send money between friends on Revolut (minimum age restriction applies)
• Receive money from everyone — even if they’re not on Revolut — with Payment Links
• Save and earn with a Savings account
• Get a 360º view of your money with Analytics
• If you’re in the UK, you can move to the main app once you turn 16

 
How does it work?
1. Download this app and create an account (if you're below the age of data consent, your parent will need to create an account for you from their Revolut app. You can check the age of data consent in your country below)
2. Get approved by your parent or guardian
3. Choose a debit card and customise it with text, stickers, and your own sketches (personalisation fees may apply), then order it from your parent's app
4. Add your card to Apple or Google Wallet to start spending straight away (minimum age restriction applies)
 
Parents and guardians, this part's for you ↓
With Revolut, they can manage their money independently, under your supervision.
Teens above the age of data consent can sign up themselves, but you'll have access to security controls, like spending notifications, in-app card freezes, and many other features to give you peace of mind.
If you have teens below the age of data consent, you can create an account for them from your Revolut app. Here’s how: 
1. Have them download this app and create an account
2. Approve their account from your Revolut app
3. Order their prepaid debit card from your app (personalisation fees may apply)

Find your country's age of data consent ↓

In Bulgaria, Denmark, Estonia, Finland, Gibraltar, Iceland, Latvia, Malta, Norway, Portugal, Singapore, Sweden, Switzerland, the United Kingdom, or the United States:
• Teens aged 13+ can create an account with parent or guardian approval
• Teens aged 12 or under (minimum age restrictions apply) will need a parent or guardian to create their account from the main Revolut app
• Referrals and payments to and from customers on this app are only available to teens aged 13+

In Austria, Belgium, Cyprus, Italy, Lithuania, or Spain:
• Teens aged 14+ can create an account with parent or guardian approval
• Those aged 13 or under will need a parent or guardian to create their account from the main Revolut app
• Referrals and payments to and from customers on this app are only available to teens aged 14+

In Australia, Czech Republic, Greece, or Slovenia:
• Teens aged 15+ can create an account with parent or guardian approval
• Those aged 14 or under will need a parent or guardian to create their account from the main Revolut app
• Referrals and payments to and from customers on this app are only available to teens aged 15+ (referrals subject to feature availability in your country)

In Croatia, Germany, Hungary, Ireland, Liechtenstein, Luxembourg, the Netherlands, Poland, Romania, or Slovakia:
• Teens aged 16 and above can create an account with parent or guardian approval
• Those ages 15 or under will need a parent or guardian to create their account from the main Revolut app
• Referrals and payments to and from customers on this app are only available to teens aged 16+",2020-03-17T07:00:00Z,2025-11-18T18:58:08Z
ms,Montserrat,Finance,6015,2,6755379149,MineChain,SITI MAHIRAH HUSNA BINTI MARDY,https://apps.apple.com/ms/app/minechain/id6755379149?uo=4,0.0,0,0,Finance,Mine Chain is a visualization revenue management application designed specifically for cryptocurrency miners. It supports manual addition of mining machines and mining records.,2025-11-19T08:00:00Z,2025-11-19T08:44:48Z
ms,Montserrat,Finance,6015,3,1436799971,Binance: Buy Bitcoin & Crypto,Binance Switzerland AG,https://apps.apple.com/ms/app/binance-buy-bitcoin-crypto/id1436799971?uo=4,0.0,4.33333,6,Finance,"Binance is the world’s largest cryptoasset marketplace by trading volume*. Trusted by 250 million users worldwide, the Binance platform allows you to buy, sell, and hold up to 350 cryptoassets, including Bitcoin (BTC), Ether (ETH), Solana (SOL), Notcoin (NOT) and Pepe (PEPE) with some of the lowest trading fees in the market.

Risk Warning: Don’t invest unless you’re prepared to lose all the money you invest. This is a high-risk investment and you should not expect to be protected if something goes wrong. 
Not financial advice. All trading carries risk. Only risk capital you can afford to lose.
Take 2 mins to learn more:
https://www.binance.com/en-GB/legal/risk-warning.

Binance UK is presently not regulated or authorised by the UK Financial Conduct Authority (""FCA). Investments in cryptoassets are not covered by the Financial Ombudsman Service (“FOS”) or subject to protection under the Financial Services Compensation Scheme (“FSCS”).

Legal Entity: Nest Services Limited, trading as Binance, is the entity ultimately responsible for the Binance Services offered to UK based users through the Binance platform.

*by trading volume - Source: https://coinmarketcap.com/rankings/exchanges


Here's a small sample of what you can do on the Binance App:

- Choose from 350+ listed cryptoassets, set up recurring buys and price alerts, and trade with an arsenal of trading tools at your fingertips.
- Fund your account with a variety of payment options, including credit/debit card, P2P, and bank transfer.
- Automate your cryptoasset investments in a way that suits your preferences using Auto-Invest.
- All user funds are held 1:1 and protected by a Secure Asset Fund for Users (SAFU) worth $1 billion.
- Our ecosystem is built from the ground-up with state-of-the-art security measures, including real-time risk monitoring, stringent KYC protocols, and advanced end-to-end data encryption, to name a few.
- Participate in Binance Launchpad, or grow your portfolio with trading bots.
- In addition to an expansive, constantly-updated FAQ section, our 24/7 live chat customer support is available in English.",2018-10-06T19:55:47Z,2025-11-22T06:12:13Z
ms,Montserrat,Finance,6015,4,6450545056,SuperQi,THE INTERNATIONAL SMART CARD CO. LLC,https://apps.apple.com/ms/app/superqi/id6450545056?uo=4,0.0,0,0,Finance,"SuperQi is the first super-app in Iraq, your all-in-one lifestyle partner for seamless, cashless daily digital transactions.  

Simplify your life with convenient features for money transfers, scan-to-pay, bill payments, e-commerce, mobile recharge, digital billing, and more inside across Iraq and the whole world. 
 
 Key Features: 

1. Secure Transactions: Settle for the best-advanced security measures adopted to safeguard your transactions. 
2. Qi Bank Accounts Accessibility: Easily access and manage your Qi bank accounts. 
3. Mini-apps: Get set for the Super-App experience designed to enhance different aspects of your daily life and discover what apps are in SuperQi. 
4. Transfer Money Easily: Quickly transfer money between your cards or accounts with ease. 
5. Scan to Pay: Just a QR scan to complete your transactions swiftly using your phone. 
6. One-Tap Bill Payments: Instantly and securely pay your bills with just a tap. 
7. Wide Network of Merchants: For all your needs, access a diverse range of trusted merchants, from groceries, and household essentials, to traveling, and more 
8. Effortless Organization: Handily run and organize your daily essentials in one place. 
9. Anytime, Anywhere Access: Manage your account and all other affairs from anywhere, anytime. 

Use SuperQi, as the super-app does integrate with your card MasterCard or Visa, consider it your digital wallet and your payment gate, you may apply to Rafidain Bank loans, installments service, and many services like money transfer from Western Union. 
Do it with Qi.",2024-01-13T08:00:00Z,2025-11-05T20:34:16Z
ms,Montserrat,Finance,6015,5,1580826404,Serra,Serra Inc,https://apps.apple.com/ms/app/serra/id1580826404?uo=4,0.0,0,0,Finance,"We are on a mission to build a culturally aware financial application from the ground up in Montserrat by listening to real-life challenges you’ve shared with us.

Open your mobile money account in minutes for free - anywhere, anytime.

What’s in it for you?

- Pay and get paid in seconds by making hassle-free payments to your Serra contacts. No hidden fees, just ease.
- Enjoy contactless payments at merchants accepting Serra, a streamlined payment experience that’s secure, fast and enjoyable.
- No more queuing at the ATM, Serra gives you more options to access your money from authorised merchants.
- No minimum opening balance or monthly maintenance fees.
- Check your balances instantly and securely 24/7.
- Real-time push notifications to help track all account activity.
- Get insights on how you spend your money with our built-in analytics.*

Plus, you can also:

- Speak to helpful humans through live chat if you need any support.
- Experience better after hours money management with Serra’s dark theme, seamlessly integrated with your device’s light/dark settings.

Your privacy is guaranteed

We guard your privacy as if it’s our own. We will never sell your data to anyone.

Safeguarding your money

Our priority is ensuring your money is safe.

Serra Inc. is authorised and regulated by the Financial Services Commission of Montserrat under the Money Services Business Act, Cap. 11.30 (License No. 1/2021).

Serra is the trading name of Serra Inc., a company registered in Montserrat (Registration No. L0014/2019).

Our registered address is: Serra Inc. Davy Hill, Montserrat, West Indies.",2022-01-26T08:00:00Z,2025-11-04T02:01:04Z
ms,Montserrat,Finance,6015,6,1398852297,KBZPay Customer,KANBAWZA BANK LIMITED,https://apps.apple.com/ms/app/kbzpay-customer/id1398852297?uo=4,0.0,4,2,Finance,"KBZPay is a mobile wallet powered by KBZ Bank. It’s the safer, simpler and more convenient way to transact money in Myanmar. With just a few taps on your phone, whether you wish to pay, transfer, cash in or out – it’s easy with KBZPay",2018-07-29T10:51:38Z,2025-07-23T04:57:49Z
ms,Montserrat,Finance,6015,7,6444787281,Liobank・Mobile Banking App,Orient Commercial Joint Stock Bank,https://apps.apple.com/ms/app/liobank-mobile-banking-app/id6444787281?uo=4,0.0,0,0,Finance,"Liobank is a digital bank in Vietnam powered by Orient Commercial Joint Stock Bank (OCB). We have made all banking processes really simple and offer you a convenient mobile banking app with a free 2-in1 bank card.

Invite your friends to become Liobank clients and earn rewards together. When your friend activates their Liobank plastic card, both you and your friend will receive 50,000₫ each.

26 reasons why Liobank will become your favorite bank:
- 2-in-1 card with combined credit and debit features and instant cashback.
- Credit limit of up to 200,000,000đ with zero interest for up to 62 days. Take out online credit loans with no paperwork.
- Pay and get up to 20% cashback on your spending and mobile top-ups cashback.
- Installment plans for up to 24 months with a low fee of only 1.7% per month. 
- 5,4% interest on your personal funds with the Savings Account Feature.
- Zero fees for fast money transfers, payments, mobile top-ups, and utility payments.
- Lowest FX fees for international payments - just 2% with no fluctuation fee or minimum fee.
- Supports Google Pay / Apple pay
- Set your own lucky account number  – it's free!
- Payment reminders and utilities payments notifications to pay for your bills.
- ""Piggy"" to save for your dreams and earn 4,2% annual interest.
- Control payments for linked services directly in the Liobank internet banking app with subscription management.
- Shake your phone to pay and make transfers to people nearby without needing card or phone numbers.
- Split bills for cafes or taxis among friends.
- Seamlessly transfer money funds using your phone contact list.
- Add beautiful photos to your money transfers and congratulate your friends in the most original way! 
- Cancel a payment within 10 seconds if you make a mistake.
- Respond to payments with a single touch and repeat previous payments instantly.
- Manage your card in the mobile banking app: change your PIN, block/unblock your card and set internet spending limits.
- Easily access and export card statements via the internet banking app.
- Label expenses with tags and build convenient finance analytics.
- Collect rewards for actively using your bank card.
- Use ""Incognito"" mode for privacy, concealing your balance and transaction amounts.
- Change your app background color with a tap.
- Use dark mode.
- React to payments with emojis instead of ""thank you"" or ""money received.""
- Choose how we address you. It could be fun when you speak with support.
- No chatbots - speak directly with our experienced support professionals anytime, anywhere.

Get your perfect Liobank 2-in-1 credit and debit card today!

Address: The Hallmark Building, 15 Tran Bach Dang Street, An Khanh Ward, Ho Chi Minh City. Tel: (84) 2 836 220 139. Company name Orient Commercial Joint Stock Bank (OCB). Business code: 0300852005",2023-03-01T08:00:00Z,2025-11-21T16:10:17Z
ms,Montserrat,Finance,6015,8,1492900777,AlinmaPay E-Wallet,Alinma Bank,https://apps.apple.com/ms/app/alinmapay-e-wallet/id1492900777?uo=4,0.0,0,0,Finance,"AlinmaPay is a digital wallet supervised by SAMA, available either for our partners’ individuals or business owners. Register now without the need of having bank account so you can pay to merchants using a digital card or through QR Code, paying for bills, receive and transfer locally and internationally easily and securely. Also the wallet can be used to split the bill amount with your family and friends.

AlinmaPay allows you to:
- Register immediately and without having a bank account. 
- Fund your wallet using multiple methods.
- Make purchases from merchants, restaurants, and online stores through a digital card or QR code.
- Transfer money to any local or international bank accounts quickly and with competitive fees.
- Transfer from and to AlinmaPay, request, send, or receive money to and from your family and friends, simply through your phones contacts list.
- Pay SADAD bills and MOI payments.
- Split the bill among your family and friends.
- Cash withdrawal from Alinma Bank ATMs.
- Instant Chatting with your family and friends, through your contact.",2020-03-03T08:00:00Z,2025-10-29T05:33:50Z
ms,Montserrat,Finance,6015,9,719219563,INVEX Control,"Banco Invex, S.A., Institucion de Banca Multiple, Invex Grupo Financiero",https://apps.apple.com/ms/app/invex-control/id719219563?uo=4,0.0,0,0,Finance,La primera aplicación móvil que brinda protección remota al uso de tu tarjeta de crédito INVEX. Buscamos innovar constantemente para ti.,2013-10-12T01:41:41Z,2025-10-30T17:29:53Z
ms,Montserrat,Finance,6015,10,1170055821,PhonePe: Secure Payments App,PHONEPE PRIVATE LIMITED,https://apps.apple.com/ms/app/phonepe-secure-payments-app/id1170055821?uo=4,0.0,4.88,25,Finance,"PhonePe is a payments app that allows you to use BHIM UPI, your credit card and debit card or wallet to recharge your mobile phone, pay all your utility bills and to make instant payments at your favourite offline and online stores. You can also invest in mutual funds and buy insurance plans on PhonePe. Get Car & Bike Insurance on our app.
Link your bank account on PhonePe and transfer money with BHIM UPI instantly! The PhonePe app is safe and secure, meets all your payment, investment, mutual funds, insurance and banking needs, and is much better than Internet banking.

Things you can do on PhonePe (Phonepay) App:

Money Transfer, UPI Payment, Bank Transfer
- Money Transfer with BHIM UPI
- Manage Multiple Bank Accounts – Check Account Balance, Save Beneficiaries across multiple bank accounts like SBI, HDFC, ICICI & 140+ banks.

Make Online Payments
- Make online payment on various shopping sites like Flipkart, Amazon, Myntra etc.
- Pay for online food orders from Zomato, Swiggy etc.
- Pay for online grocery orders from Bigbasket, Grofers etc.
- Pay online for travel booking from Makemytrip, Goibibo etc.

Make Offline Payments
- Scan and Pay via QR Code at local stores like kirana, food, medicines etc.

Buy or Renew Insurance Policies with PhonePe Insurance App

Health & Term Life Insurance
- Compare and buy Health & Term life Insurance with monthly premiums
- Coverage for individuals, senior citizens and families

Car & Two Wheeler Insurance
- Browse and get India’s most popular bike and car insurance
- Buy/renew your car and bike Insurance in less than 10 minutes

Other Insurance
- Personal Accident Insurance: Insure yourself against accidents & disablement
- Travel Insurance: Get international travel insurance for business and leisure trips
- Shop Insurance: Insure your shop against fire, theft, natural calamities, and burglaries.

Mutual Funds App and Investments App
- Liquid Funds: Get higher returns than savings bank 
- Tax-Saving Funds: save up to Rs. 46,800 in tax & grow your investment
- Super Funds: Achieve financial goals with expert help on our app 
- Equity Funds: High growth products curated as per risk appetite
- Debt Funds: Get stable returns for investments without any lock-in period
- Hybrid Funds: Get a balance of growth and stability 
- Buy or Sell 24K Pure Gold: Assured 24K purity, build gold savings on our app

Recharge Mobile, DTH
- Prepaid Mobile Recharge, DTH
- Recharge for Airtel, Jio, Vi, BSNL and MTNL prepaid mobile numbers
- Recharge DTH set-top boxes for TataPlay, Airtel Digital TV, Sun Direct, Dish TV and D2H providers.

Bill Payment
- Pay Credit Card Bills
- Pay Landline Bills
- Pay Electricity Bills
- Pay Water Bills
- Pay Gas Bills
- Pay Broadband Bills

Buy PhonePe Gift Cards
- Buy a PhonePe Gift Card for easy payments across 1 lakh+ leading offline and online outlets and across the PhonePe app.

Manage your refunds
- Manage and track refunds from your favorite shopping websites on PhonePe.
For more details, Visit our website at https://www.phonepe.com/

Permissions for App and reasons
SMS: to verify Phone number for registration
Location: a requirement by NPCI for UPI transactions
Contacts: for phone numbers to send money to and numbers to recharge
Camera: to scan QR code
Storage: to store scanned QR code
Accounts: to pre-populate email ID while signing up
Call: to detect single vs dual sim and let user choose
Microphone: to carry out KYC video verification",2017-01-16T13:39:46Z,2025-11-12T12:31:35Z
