country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
ma,Morocco,Finance,6015,1,664637221,CIH MOBILE,CREDIT IMMOBILIER ET HOTELIER,https://apps.apple.com/ma/app/cih-mobile/id664637221?uo=4,0.0,4.13708,10833,Finance,"Dès aujourd'hui, ma banque ouvre quand je le décide.

AVEC CIH MOBILE, Accédez à vos comptes et réalisez toutes les opérations que vous souhaitez où que vous soyez :

●	Consulter le solde de vos comptes ainsi que l’historique des dernières opérations effectuées.
●	Payer vos factures
●	Effectuer des recharges télécom
●	Consulter la liste de vos cartes bancaires, leurs plafonds, ainsi que toutes les opérations effectuées avec chaque carte.
●	Activer, désactiver ou faire opposition sur vos cartes bancaires
●	Effectuer des virements et consulter l'historique de vos virements émis
●	Recharger vos cartes BINATNA ainsi que ceux de vos proches et consulter l’historique de toutes vos recharges.
●	Suivre vos prêts à la consommation et/ou immobiliers
●	Consulter vos prélèvements
●	Consulter vos produits de bancassurance
●	Consulter votre portefeuille titres et l’historique des transactions effectuées.
●	Commander un chéquier/LCN
●	Demander votre RIB
●	Simuler un crédit
●	Contacter votre conseiller
●	Consulter vos dotations touristiques et dotations e-commerce
●	Mettre à jour votre profil
●	Trouver une agence ou un GAB Cihbank proche de vous ou partout au Maroc",2020-04-09T07:00:00Z,2025-11-03T08:20:54Z
ma,Morocco,Finance,6015,2,720775151,BARID BANK MOBILE,AL BARID BANK,https://apps.apple.com/ma/app/barid-bank-mobile/id720775151?uo=4,0.0,2.63864,797,Finance,"Barid Bank Mobile est la nouvelle solution de Mobile Banking mise à la disposition des clients et non clients d’AL Barid Bank. 
Barid Bank Mobile permet d’accéder 24/24, à travers un téléphone portable, à un ensemble de services qui vous simplifient la vie.",2020-04-20T07:00:00Z,2025-10-19T16:45:58Z
ma,Morocco,Finance,6015,3,1241293206,L'bankalik,Attijariwafa Bank,https://apps.apple.com/ma/app/lbankalik/id1241293206?uo=4,0.0,4.75541,17961,Finance,"Pour faciliter la gestion de vos comptes, « L’bankalik » vous permet de consulter et de gérer vos comptes en toute confidentialité et en toute sécurité à distance 24h/24 et 7J/7. Le téléchargement et l’accès à l’application est gratuit pour tous les clients L’bankalik disposant ou non du service Attijarinet (Gratuit) et requiert les mêmes codes d’authentification.

Avec « L’bankalik », vous pouvez désormais :
- Consulter les soldes en temps réel de tous vos comptes (chèque, épargne),
- Consulter l’extrait de vos opérations,
- Consulter vos portefeuilles titres,
- Consulter la liste de vos cartes,
- Configurer l'activation et les plafonds de vos cartes,
- Demander le code PIN de vos cartes
- Consulter l’historique de vos opérations effectuées par cartes,
- Consulter votre fil d’actualités,
- Consulter les détails relatifs à vos produits Bancassurance
- Consulter vos documents bancaires (Relevés, avis & images chèques),
- Effectuer et suivre vos virements vers les comptes L’bankalik , Attijariwafa bank et confrères (Normaux, différés ou permanents),
- Gérer vos bénéficiaires de virement,
- Effectuer et suivre vos opérations de « Cash Express Automatic », vos bénéficiaires peuvent retirer l’argent envoyé instantanément à partir de tous les GAB d’Attijariwafa bank, sans carte, moyennant un code communiqué pendant l’initiation de votre opération. La transaction est plafonnée à 2000 DHS par opération et 20 000 DHS par an,
- Effectuer et suivre vos recharges de cartes prépayées Wajda en ajoutant vos cartes bénéficiaires en ligne,
- Souscrire en ligne aux cartes Wajda et Wajda BILA HOUDOUD
- Souscrire à Attijari Pay
- Payer vos factures et recharger vos cartes téléphoniques prépayées,
- Commander vos chéquiers & LCN,
- Suivre vos commandes chéquiers & LCN,
- Effectuer une opposition sur carte en temps réel,
- Accéder à votre messagerie sécurisée,
- Ajouter vos comptes et déclarer vos comptes en transaction,
- Gérer votre canal de réception de vos relevés bancaires,
- Demander un crédit express ou immobilier en ligne,
- Consulter vos impayés,
- Consulter vos produits et services,
- Consulter vos informations personnelles,
- Gérer vos notifications push.

Aussi, et sans saisie des codes d’accès, l’application permet d’accéder à :
- La géolocalisation des agences et des guichets automatiques bancaires L’bankalik
- La géolocalisation des agences L’bankalik et Attijariwafa bank 
- La géolocalisation des agences Wafa Cash,
- L’offre produits et services d’Attijariwafa bank,
- La démo de l’application L’bankalik,
- L’assistance,
- FAQ.

L’application utilise les autorisations suivantes :
- Caméra : utilisée pour scanner le QR Code pour l'ajout des bénéficiaires, pour le scan des pièces d’identité et des documents requis pour l’ouverture du compte L’bankalik en ligne 
- Position : utilisée pour rechercher de manière précise les agences et distributeurs les plus proches de vous
- Contacts : utilisée pour partager un RIB avec l’un de vos contacts
Les données ainsi collectées ne seront ni conservées ni transmises à d’autres fins.
Toute l’équipe L’bankalik reste mobilisée et œuvre à développer de nouvelles fonctionnalités afin de rendre votre banque encore plus proche de vous.",2020-04-11T07:00:00Z,2025-11-18T12:34:14Z
ma,Morocco,Finance,6015,4,866031335,Attijari Mobile,Attijariwafa Bank,https://apps.apple.com/ma/app/attijari-mobile/id866031335?uo=4,0.0,4.68436,43448,Finance,"Pour faciliter la gestion de vos comptes, « Attijari Mobile » vous permet de consulter et de gérer vos comptes en toute confidentialité et en toute sécurité à distance 24h/24 et 7J/7. Le téléchargement et l’accès à l’application est gratuit pour tous les clients disposant du service Attijarinet (Gratuit) et requiert les mêmes codes d’authentification.

Avec « Attijari Mobile », vous pouvez désormais :
- Consulter les soldes en temps réel de tous vos comptes (chèque, épargne),
- Consulter l’extrait de vos opérations,
- Consulter vos portefeuilles titres,
- Consulter la liste de vos cartes,
- Configurer l'activation et les plafonds de vos cartes,
- Demander le code PIN de vos cartes
- Consulter l’historique de vos opérations effectuées par cartes,
- Consulter votre fil d’actualités,
- Consulter les détails relatifs à vos produits Bancassurance
- Consulter vos documents bancaires (Relevés, avis & images chèques),
- Effectuer et suivre vos virements vers les comptes Attijariwafa bank et confrères (Normaux, différés ou permanents),
- Gérer vos bénéficiaires de virement,
- Effectuer et suivre vos opérations de « Cash Express Automatic », vos bénéficiaires peuvent retirer l’argent envoyé instantanément à partir de tous les GAB d’Attijariwafa bank, sans carte, moyennant un code communiqué pendant l’initiation de votre opération. La transaction est plafonnée à 2000 DHS par opération et 20 000 DHS par an,
- Effectuer et suivre vos recharges de cartes prépayées Wajda en ajoutant vos cartes bénéficiaires en ligne,
- Payer vos factures et recharger vos cartes téléphoniques prépayées,
- Commander vos chéquiers & LCN,
- Suivre vos commandes chéquiers & LCN,
- Effectuer une opposition sur carte en temps réel,
- Accéder à votre messagerie sécurisée,
- Ajouter vos comptes et déclarer vos comptes en transaction,
- Gérer votre canal de réception de vos relevés bancaires,
- Demander un crédit express ou immobilier en ligne,
- Ouvrir un compte L’bankalik en ligne,
- Consulter vos impayés,
- Consulter vos produits et services,
- Consulter vos informations personnelles,
- Gérer vos notifications push.

Aussi, et sans saisie des codes d’accès, l’application permet d’accéder à :
- La géolocalisation des agences et des guichets automatiques bancaires Attijariwafa Bank
- La géolocalisation des agences Attijariwafa bank Europe
- La géolocalisation des agences Wafa Cash
- L’offre produits et services d’Attijariwafa bank,
- La démo de l’application Attijari Mobile
- L’assistance,
- FAQ.

L’application utilise les autorisations suivantes :
- Caméra : utilisée pour scanner le Qr code pour l'ajout des bénéficiaires
- Position : utilisée pour rechercher de manière précise les agences et distributeurs les plus proches de vous
- Contacts : utilisée pour partager un RIB avec l’un de vos contacts


Les données ainsi collectées ne seront ni conservées ni transmises à d’autres fins.
Toute l’équipe d’Attijariwafa bank reste mobilisée et œuvre à développer de nouvelles fonctionnalités afin de rendre votre banque encore plus proche de vous.",2020-04-17T07:00:00Z,2025-11-07T08:23:34Z
ma,Morocco,Finance,6015,5,1479205181,CASH PLUS Mobile Wallet,CASH  PLUS,https://apps.apple.com/ma/app/cash-plus-mobile-wallet/id1479205181?uo=4,0.0,3.26425,193,Finance,"L'application mobile CASHPLUS vous permet de gérer votre compte mobile partout et à tout moment depuis votre smartphone
Cash Plus Mobile permet: 

- L'ouverture de compte de niveau 1 
- La gestion du compte de paiement Cash Plus
- La gestion de la carte Cash Plus
- L'alimentation de la M-Wallet via carte bancaire
- L'envoi et la réception de l’argent M-Wallet vers M-Wallet
- La mise à disposition du cash dans plus de 3600 agences
- L'envoi en ligne via carte bancaire
- Recharge téléphonique
- Achat de vos billets de transport (CTM)
- Le paiement de factures
- Le paiement des achats commerçants
- Le paiement des achats faits sur internet
- La demande d’argent aux proches
- La consultation ou la conversion des points de fidélité
- La présentation de l’historique de toutes les opérations
- La localisation de toutes les agences Cash Plus
- La consultation les numéros utiles",2020-04-15T07:00:00Z,2025-11-17T11:58:29Z
ma,Morocco,Finance,6015,6,413251709,MetaTrader 5,MetaQuotes Software Corp.,https://apps.apple.com/ma/app/metatrader-5/id413251709?uo=4,0.0,4.79805,3377,Finance,"Connect to hundreds of brokers and trade in financial markets using MetaTrader 5 for iPhone and iPad.

The mobile trading platform allows you to receive quotes of financial instruments, analyze markets using charts and technical indicators, perform demo trades, connect to brokers for live trading and view the history of trading operations.

Risk Warning: Our programs may involve real trading with a high risk of losing money rapidly. Most retail investor accounts lose money when trading financial products. You should consider whether you understand how various financial products work and whether you can afford to take the high risk of losing money.

TRADING

• Real-time quotes of financial instruments
• Full set of trade orders, including pending orders
• Depth of Market (Level 2)
• All types of trade execution
• Complete trading history

ADVANCED FUNCTIONALITY

• High-performance charts
• Customizable chart color scheme
• Configuring properties of graphical objects and indicators
• Display of four charts in one window available on the MetaTrader 5 for iPad
• Trade levels visualizing the prices of pending order, as well as SL and TP values on the chart
• Information window that displays orders, trading history, emails, news, and logs in MetaTrader 5 iPad
• Sound notifications
• Financial news — dozens of materials daily
• Secure and fast chats with other traders, creation of group chats and channels
• Support for push-notifications from the desktop platform and MQL5.community services

TECHNICAL ANALYSIS

• Interactive real-time price charts with zoom and scroll options
• 30 most popular technical indicators
• 24 analytical objects: lines, channels, geometric shapes, as well as Gann, Fibonacci and Elliott tools
• 9 timeframes: M1, M5, M15, M30, H1, H4, D1, W1 and MN
• 3 types of charts: bars, Japanese candlesticks and broken line

Download MetaTrader 5, connect to a broker and trade in financial markets!

To trade using real money, you need to open a real trading account by entering into a separate agreement with a financial company (broker), which has installed the server component of the MetaTrader 5 trading platform and has the appropriate permissions to provide financial trading service in their respective country. MetaQuotes is a software company and does not provide financial services, nor it has access to MetaTrader 5 platform servers and databases managed by financial companies.",2020-04-17T07:00:00Z,2025-11-10T22:58:44Z
ma,Morocco,Finance,6015,7,1205990992,TradingView: Track All Markets,"TradingView, Inc.",https://apps.apple.com/ma/app/tradingview-track-all-markets/id1205990992?uo=4,0.0,4.84225,3081,Finance,"In a nutshell, we’re where the world charts, chats and trades markets. Over 100 million people use our social network and supercharged supercharts to make better, brighter decisions when they trade. Download our app to access free charts, alerts, advanced watchlists, plus discuss latest trends with other traders and much, much more. Here’s a fuller feature set: 

World-leading charts
A trader’s rite of passage, charts power insight. Millions use ours – for free – to make better decisions in the markets. Our charts work on any device and outperform many desktop trading platforms. You’ll be able to search for stocks, currencies, cryptos, futures, CFDs and more. A wide range of drawing tools (like Gann Fans and Elliott Waves) and technical indicators will also help you analyze price action.

Simple Pine Script for complex tools
From coding to chart analysis, faster than ever before — we crafted our programming language to give you the power to create custom tools. Pine Script is elegantly minimalist, pre-integrated with data, and breaking your analysis limits.

Bar Replay to hit rewind on past insights 
Watch how pricing data unfolded historically. Rewind markets and review at speed and resolution you desire.

Unmissable alerts 
Trading alerts were never this powerful, flexible, and easy to use. Cloud-based, they are available on any device – get notified by email, app, desktop, or webhook when your alerts trigger.

Made to trade 
Trade directly on our charts – trade through top brokers integrated to our platform, or use Paper Trading to practice buying and selling securities without any of the risk.

One app to track them all
Get a comprehensive view of the financial markets with our app: live quotes, news, trends, financial statements, and fundamentals, all in one place at your fingertips – the fastest way to find all the data you need.

Total economics and corporate reports
Access the latest and upcoming economic events, world companies' earnings, and dividends, in one Calendar.

Watchlist what matters
Keep track of all your beloved stocks and currency pairs with our highly-customizable watchlists. Use them to see real-time price updates and be the first to know what’s moving in the markets – wherever you happen to be. 

Data. Data. Data, 
Gain access to real-time market data from exchanges in the US, Europe and Asia. Hundreds of thousands of financial symbols from 100+ exchanges are at your fingertips. Unless you have incredibly niche interests, you’ll find what you’re looking for.

Never trade alone again
Unleash your creativity onto the world markets by being part of the largest social network for traders and investors. With thousands of ideas and minds published daily and ability to customize and share your analysis, start building your following today.

Always at your fingertips
Our secure and reliable cloud-based infrastructure means you’ll always have access to the world of finance, 24/7. No unexpected downtime at a critical trading moment ever again.  

Terms of use: https://www.tradingview.com/policies/
Privacy policy: https://www.tradingview.com/privacy-policy/",2020-04-12T07:00:00Z,2025-11-21T18:13:56Z
ma,Morocco,Finance,6015,8,1412566703,Pocket Bank,Banque Centrale Populaire,https://apps.apple.com/ma/app/pocket-bank/id1412566703?uo=4,0.0,4.05463,2709,Finance,"Pocket Bank, l'application mobile primée de la Banque Populaire, a remporté le concours « Élu Produit de l’année 2024» dans la catégorie applications bancaires. Elle révolutionne la gestion de vos finances au quotidien en parfaite harmonie avec votre écosystème mobile.
 
Avec Pocket Bank, vous pouvez :
 
·         Consulter le détail de vos comptes.
·         Activer votre dotation voyage personnel.
·         Payer vos factures, impôts, taxes et recharges mobiles.
·         Ajouter des bénéficiaires avec QR code et effectuer des virements ordinaires ou instantanés.
·         Profiter de réductions et avantages auprès des partenaires de la Banque Populaire.
·         Simuler et initier votre demande de crédit en ligne sans vous déplacer en agence.
·         Effectuer des transferts d’argent en toute sécurité.
 
L'application est disponible en 3 langues (arabe, français, anglais) et garantit une sécurité maximale grâce au nouveau dispositif de sécurité renforcée « appareil de confiance », en plus du système d’authentification par empreinte digitale et/ou reconnaissance faciale.
 
Profitez également de l'assistant virtuel Smart Horse pour une aide personnalisée, ainsi que d'une couleur assignée à chaque fonctionnalité pour une utilisation simplifiée.
 
Les avantages de Pocket Bank incluent la gratuité du service, une sécurité renforcée avec le cryptage et les standards bancaires les plus élevés, une fiabilité et disponibilité basée sur des technologies de pointe, ainsi qu'une utilisabilité intuitive et conviviale.
 
Pour toute demande d’information ou d’assistance, contactez notre Centre de Relation Clientèle au 2121 depuis le Maroc ou au + 212 5 22 58 50 66 à partir de l’étranger*.
*Autres pays :

Allemagne : 069 90 23 50 47
 
Belgique : 28 80 44 71

Canada : 043 88 00 27 26

Danemark : 78 15 07 71

Espagne : 09 11 23 15 40

France : 01 71 14 77 95
 
Italie : 02 60 06 30 11

Pays-Bas : 02 08 08 16 37

Suisse : 02 15 31 00 07
 
United Kingdom : 20 38",2020-04-20T07:00:00Z,2025-10-14T18:29:16Z
ma,Morocco,Finance,6015,9,1488773288,Orange Money Maroc,MEDI TELECOM,https://apps.apple.com/ma/app/orange-money-maroc/id1488773288?uo=4,0.0,2.36735,98,Finance,"Avec Orange Money, accédez à une solution financière qui vous permet d’effectuer, à partir de votre mobile des transactions en toute simplicité, sécurité, rapidité et autonomie. 
Grâce à Orange Money, vous pouvez notamment :

•	Déposer et retirer de l’argent en agence
•	Alimenter votre compte à partir d’une carte bancaire
•	Envoyer et recevoir de l’argent au Maroc
•	Recevoir de l’argent de l’étranger
•	Acheter des recharges téléphoniques
•	Payer des factures téléphoniques
•	Payer des factures d’eau et électricité
•	Emettre ou recevoir un virement vers ou à partir d’un compte bancaire
•	Payer les commerçants labélisés MarocPay
•	Recharger le pass Jawaz

Vos transactions sont sécurisées grâce à un code que vous créez et que vous saisissez avant la validation de chaque opération. Ce code sécurise votre argent contre toute fraude.

Fini les files d'attentes et la perte de temps devant les guichets, Orange Money est un service qui s’effectue en temps réel directement de chez vous depuis votre téléphone mobile.

Pour bénéficier de ces services, téléchargez l’application mobile Orange Money Maroc, quel que soit votre opérateur, inscrivez-vous et alimenter votre compte via carte bancaire ou en point de vente.

NB : Cette application est disponible uniquement pour les numéros mobiles au Maroc.

Pour toutes informations, n’hésitez pas à contacter le centre de relation client Orange Money sur le 441 ou le 0621000441.",2020-05-06T07:00:00Z,2025-07-02T11:09:16Z
ma,Morocco,Finance,6015,10,1359763701,Exness Trade: Online Trading,Exness Global Limited,https://apps.apple.com/ma/app/exness-trade-online-trading/id1359763701?uo=4,0.0,4.69283,739,Finance,"Is Exness Trade the feature-rich trading app you have been waiting for? We think so. Access the world’s financial markets and trade stocks, gold and more … wherever, whenever. Get the Exness Trade trading app now.


AN ONLINE TRADING APP LIKE NO OTHER
Control your online trading accounts with ease, even when you are away from your desktop. With the Exness Trade trading app, you can:
• Trade stocks, gold, oil, indices and more
• Get essential notifications about your balance, trading activity and more
• View your open, pending and closed trades
• Open an unlimited number of new accounts on the trading app
• Test and improve your online trading skills on your free demo account
• Chat to our live in-app support 24/7
• Strategise and spot your next trade using our free market news and analysis


ABOUT OUR TRADING APP PLATFORM
The Exness Trade trading app features a state-of-the-art trading terminal. Users feel right at home on Exness Trade as this advanced trading app delivers the advanced functionality they love, and so much more.
• Open your live and risk-free demo accounts quickly and easily
• Trade hundreds of popular tradable assets on the Exness Trade trading app
• Add your favourite assets to the Watchlist and trade when you see an opportunity
• Use advanced charting to analyse market trends. 
• Stay on top of the markets with price alerts & notifications.
• Control your risk with a range of trading tools.
• Enjoy stable pricing even when you trade in volatile markets

*""Best spreads"" means the tightest and most stable spreads. ""Most stable"" refers to the lowest maximum spreads, and ""tightest"" refers to the tightest average spreads – offered on Exness Pro accounts – for the above-mentioned instruments. These are compared to spreads across commission-free accounts of other top brokers over the specified period.
*Payment processing times may vary depending on the chosen provider. 


WHAT YOU CAN TRADE ON THE TRADING APP
At Exness, you'll find a wide range of top tradable assets on our platforms including metals, stocks, oil and indices.


*Trading is risky. T&Cs apply.

¹At Exness, over 98% of withdrawals are processed automatically. ""Fastest withdrawals"" refers to a comparison of Exness’ withdrawal processing time vs. 3 other brokers, last updated on 07.05.2025. Processing times may vary depending on the chosen payment method.

¹USOIL spread reduction refers to average spreads on Pro accounts, sampled over the first full trading week of May 2024 vs. the last full trading week of August 2025.

¹On Pro accounts comparing last trading week of 07.2024 vs. the last trading week of 08.2025.
²Delays and slippage may occur. No guarantee of execution speed or precision is provided.


ABOUT EXNESS
Founded in 2008, Exness is a regulated multi-asset broker that provides the most advanced online trading solutions to traders from around the world. Known for consistently delivering better-than-market conditions to its clients, Exness also pushes the boundaries of online trading services through the development of standout features such as Stop Out Protection, Price Gap Protection, the Exness Trade trading app and other innovations.

Exness Global Limited
Siafi 1, PORTO BELLO Building, Flat 401, 3042 Limassol, Cyprus",2021-12-08T08:00:00Z,2025-11-24T08:34:21Z
