country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
mz,Mozambique,Lifestyle,6012,1,429047995,Pinterest: Lifestyle Ideas,"Pinterest, Inc.",https://apps.apple.com/mz/app/pinterest-lifestyle-ideas/id429047995?uo=4,0.0,4.68107,12821,Lifestyle,"Pinterest is a place of endless possibilities. You can:
- Discover everyday inspiration
- Shop styles you love
- Try and learn something new

Create boards, save Pins and make collages of all your inspiration. Unlock billions of ideas, from fashion tips and easy recipes to DIY projects and fresh ways to redo your space. Creating the life you love? 

It's Possible.",2012-05-30T21:39:26Z,2025-11-19T16:28:23Z
mz,Mozambique,Lifestyle,6012,2,1596550932,NGL: ask me anything,"Streaming Clips, Inc",https://apps.apple.com/mz/app/ngl-ask-me-anything/id1596550932?uo=4,0.0,4.52609,2644,Lifestyle,"How to use NGL:
1. Share your NGL Link
2. Friends answer right on your story
3. Get responses on NGL

To ensure the safety of our users, NGL leverages Hive Moderation’s automated moderation solution as the first line of defense to scan messages for inappropriate content. 

-

NGL Pro members have access to:
- Exclusive access to Pro games
- Hints about who sent each of their messages
- Early access to new features

NGL Pro is a paid renewable subscription.

-

Terms of service: https://ngl.link/terms-of-service
Privacy policy: https://ngl.link/privacy-policy",2021-12-10T08:00:00Z,2025-11-19T16:22:50Z
mz,Mozambique,Lifestyle,6012,3,6444210595,Remote AC Universal & Control,FUJI CAC JOINT STOCK COMPANY,https://apps.apple.com/mz/app/remote-ac-universal-control/id6444210595?uo=4,0.0,3.82775,209,Lifestyle,"Remote AC Universal & Control with support of the most major AC Brands. Just a few minutes of setup and a universal remote control for your air conditioner is already in your pocket. Change the temperature, create a pleasant climate around you and enjoy the benefits of a smart life. And we will help you with this!

Functionalities:
> Turn your air conditioner on or off in general.
> Choose the desired operating mode and intensity: cold, warm or ventilation, ceiling fan, and so on.
> Adjust optimal temperature conditions.
> Establish a working schedule for all your air conditioners in the house, so this function is especially important if you need to manage more than one device in one room.
> Monitor the correct operation of the air conditioner and see an error code if it doesn't work correctly.

Benefits:
> Lost your remote, install in seconds and start your air-conditioner.
> Batteries are drained of your remote, just install Remote AC Universal & Control

What air conditioners is our application compatible with?
• Panasonic
• Samsung
• Mitsubishi
• Lloyd
• Onida
• Haier
• Sanyo
• LG
• Kenwood
• Gree
• Aux
• Daikin
• Midea
• Sharp
• TCL
• Toshiba
• Bluestar
• Bosch
• Carrier
• Daewoo
• Electrolux
• Friedrich
• Fujitsu
• General Electric
• GE
• Godrej
• Hisense
• Hitachi
• Hyundai
• National
• NEC
• NEO
• O-General
• Olimpia-Splendid
• Osaka
• Pioneer
• Premium
• Sansui
• Siemens
• Singer
• Trane
• Uni-air
• Videocon
• Voltas
• Westinghouse
• Whirlpool
• York and many others.

Disclaimer:
> This application is not affiliated with nor endorsed by any aforementioned company, and it is not an official product of it or of its affiliates.

Suggestions:
> Is there any thing that we can improve, just reach us and we will do our best.

Contact Us:
https://fuji.cac.ltd-company-vn.com

Subscription Terms:
> Payment will be charged to your iTunes Account at confirmation of purchase.
> Your subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period.
> Any unused portion of a free trial period, if offered, will be forfeited when you purchase a subscription, where applicable.
> Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase
> When purchasing a subscription, any unused portion of a free trial period will be forfeited.

Term of Use:
https://fuji.cac.ltd-company-vn.com/tos

Privacy Policy:
https://fuji.cac.ltd-company-vn.com/pp",2022-11-05T07:00:00Z,2022-11-07T23:08:41Z
mz,Mozambique,Lifestyle,6012,4,547702041,Tinder Dating App: Meet & Date,Tinder LLC,https://apps.apple.com/mz/app/tinder-dating-app-meet-date/id547702041?uo=4,0.0,4.29244,4305,Lifestyle,"MATCH, CHAT & DATE. IT STARTS WITH A SWIPE™.
With 97+ billion matches to date, Tinder® is the top free dating app and the best place to meet new people, with safety features that work to help you date more safely. Looking for love? An open relationship? Trying to find a date or new friends to chat with? Connect with local people everywhere on Tinder and get the best out of your dating experience:

Come As You Are: whether you're straight, gay, bisexual or anything in between, you can be who you are and find who you want on Tinder.
Date Beyond Photos: share your interests and learn more about your matches to get the conversation started.
Seek What You’re Looking For: set your relationship goals and make connections on your terms.

HOW TINDER WORKS
It’s easy and fun to find new people on Tinder®. Express yourself to make your personality shine in your profile and stand out to potential matches. Answer a prompt, share a little about you and show your face in your pics to increase your match-making potential. Use the Swipe Right™ feature to like and the Swipe Left™ feature to nope. If they like you back, It’s a Match! And with our double opt-in feature, it’s only a match if the interest is mutual.

PUT SAFETY FIRST
Try some of our safety features to help you make connections more confidently:

– Share My Date: share date plans with friends and fam, so they know who you’re planning to meet up with and where
– Get Photo Verified: verify your photos to help potential matches know it’s really you in that cute pic & increase your chances of matching
– Are You Sure / Does This Bother You: Tinder detects inappropriate language so people think twice before sending a disrespectful message
– Report a Profile: quickly report and block profiles with suspicious activity or inappropriate behaviour
– Block Contacts: take control and block anyone (like an ex) you don’t want to see on the app
– Video Chat: hitting it off in chat? Test your online dating chemistry and meet new people from home!

TRY TINDER PLUS
– Unlimited likes for you to catch feelings for as many new people as you want
– Use Passport Mode™ to match and chat with locals anywhere in the world before you arrive
– Unlimited Rewinds to undo your last like or nope
– Go Incognito and be seen only by the people you like

EXPERIENCE TINDER GOLD
– Get everything in Tinder Plus™, and try it out for a week before you commit to a monthly subscription
– See who likes you and match with them on the spot for faster connections
– Monthly Boost puts your profile to the top for 30 minutes to help increase your profile views
– Weekly Super Likes, because sometimes you really, really like someone

UPGRADE TO TINDER PLATINUM
Get most of Tinder’s premium features: join Tinder Platinum™ to get your likes prioritised with potential matches, send them a compliment before matching and more.

So what are you waiting for? Join millions of people worldwide! Tinder offers the most daters, increasing your chances of finding exactly what you're looking for. Download the best free dating app today!

––––––––––––––––––––
If you choose to purchase Tinder Plus®, Tinder Gold™ or Tinder Platinum™, payment will be charged to your Apple account, and your account will be charged for renewal within 24 hours prior to the end of the current period. Auto-renewal may be turned off at any time by going to your settings in the App Store after purchase. No cancellation of the current subscription is allowed during the active subscription period. If you don’t choose to purchase Tinder Plus®, Tinder Gold™ or Tinder Platinum™, you can simply continue using Tinder for free.

All photos are of models and used for illustrative purposes only.

Privacy: https://www.gotinder.com/privacy
Terms: https://www.gotinder.com/terms
Visit: https://www.tinderlove.com/",2012-08-03T01:43:39Z,2025-11-20T18:10:28Z
mz,Mozambique,Lifestyle,6012,5,351331194,Badoo: Dating app & Friends,Badoo Software Ltd,https://apps.apple.com/mz/app/badoo-dating-app-friends/id351331194?uo=4,0.0,4.59694,392,Lifestyle,"Boost your dating confidence with Badoo— the dating app that makes it easy to express your true self.
 
It’s an encouraging, safe space that’s designed to help you make more meaningful connections.
 
How? By keeping it simple, helping you take action with confidence, and giving you the features and support you need to find whatever you’re searching for. Whether that’s dates, a long-term relationship, new friends, or chats.

Plus, with our latest tech that aims to block fake, scam, and spam accounts, you can say hello to a fun and authentic dating experience. 
 
Download Badoo to take your dating confidence to another level.""

Back yourself
On Badoo, it’s all about celebrating you and staying true to your needs. With our various features, it’s easy to put yourself out there with confidence.
Trust your experience
Badoo is a platform that prioritises authenticity. Profile photos can be verified and there are strict user guidelines in place.

How Badoo works
Focusing on who you are and what you want, here are some features making it easier for you to meet your kind of people:  
-Advanced Filters: Finesse your search, and save your time
-Profile Questions: Easily champion your personality
- People Nearby: Meet daters around you
- Encounters: Straight forward swiping, right to connect and left for skip
- Video Chat: Connect with your matches through face to face video calling
- Verified profiles: We have a three-step verification process which, once completed, you can choose to only interact with other verified profiles and find friends
- Blur intimate photos: Using AI, our Private Detector feature detects explicit photos and will let you decide if you want to view or block the image
- Deception Detector: Our new tech that aims to block fake, scam, and spam accounts, so you can have a fun and authentic dating experience""

Go Premium
Maximise your dating experience. When you upgrade to Badoo Premium, you’ll unlock plenty of features that will make it even easier to find meaningful connections:

- See who's already liked you
- Find exactly what you’re looking for with unlimited Advanced Filters
- Get your messages read first
- Send unlimited likes
 - Control who sees your profile with Invisible Mode
- Undo accidental left swipes  
- And much more...

The price varies by country and may change without notice, but you can always see the exact price in the app. We will charge your card and your subscription will be automatically renewed unless you deactivate the automatic recharge a minimum of 24 hours before the end of your current subscription period. Badoo Premium is flexible and adapts to your needs - you can cancel your subscription at any time.
 
For more information, read our Privacy Policy and Terms of Use:
https://www.badoo.com/privacy
https://badoo.com/terms
 

Bumble Inc. is the parent company of Badoo, along with Bumble and Fruitz",2022-01-19T08:00:00Z,2025-11-17T01:03:35Z
mz,Mozambique,Lifestyle,6012,6,1629561198,Easy Translate - AI Translator,Xian YuanChuangYouPin Network Tech Limited,https://apps.apple.com/mz/app/easy-translate-ai-translator/id1629561198?uo=4,0.0,5,4,Lifestyle,"Easy Translate - AI Translate uses advanced AI to translate text, speech, images, and dialogues, plus a ChatGPT-style AI assistant and a daily phrase learning feature to help you speak with confidence.

Key Features:
Text Translation - Type or paste text and get fast, accurate translations across many languages.
Voice Translation - Speak naturally and hear or view real-time translations for smooth conversations.
Image Translation - Translate text from photos or camera captures using built-in OCR.
Dialogues Translation - Real-time bilingual conversations that keep your dialogue flowing.
AI ChatGPT-style Conversation - Interact with an intelligent AI assistant for practice, explanations, and language guidance.
Daily Phrases - A new practical phrase every day with examples to help you use it in real life.

Why You'll Love It:
AI-powered translations that are quick and reliableIntuitive, user-friendly interface for travel, study, and work.
Wide language support with context and usage notes.
Translate and review, view history, and build your own phrasebook.
Privacy-focused design with clear data controls.

How It Works:
Choose your language pairs and input method (text, voice, or image).
Switch between translation, conversation, and AI chat modes as needed.
Access daily phrases and practice them in real-life scenarios.

Use Cases:
Traveling, dining out, shopping, studying, business meetings, and everyday chats.
Reading menus, signs, documents, emails, and messages with ease.
Languages and Availability.
Supports dozens of languages with high-quality translations.

Privacy and Security:
We prioritize your privacy. Translation data is used to provide the service and is configurable in settings.
You control your history and how your data is handled.",2022-07-05T07:00:00Z,2025-09-02T01:16:10Z
mz,Mozambique,Lifestyle,6012,7,1669041518,Location Tracker－Find my phone,Webpeak OU,https://apps.apple.com/mz/app/location-tracker-find-my-phone/id1669041518?uo=4,0.0,4.26126,111,Lifestyle,"Phone Tracker - Family Locator is an application that uses GPS technology to help you locate and keep track of your family members, friends, and loved ones in real-time on a live, private map. With Circles, you can create a group of people who share their locations within the group, so you can easily track their location history and current location. Invite members by sharing a unique, private 6-digit number, and once they accept the invitation, you can locate them on the map at any time.

The app also includes geofence zones, which allow you to know when any of your circle members enter or leave a certain area by creating a location-based boundary. You can drop a pin on the map to set the center of the geofence at a specific location, name your geolocation, set the radius for it, and get push notifications when someone enters or exits it. This feature can help you ensure that your loved ones are safe by automatically letting you know their whereabouts, without any effort from them.

In case of emergencies, the app includes an SOS function that sends an urgent push notification to all members of your circle when you tap on the SOS button, along with a live update of your location. This feature ensures that your child, partner, or friend can alert you any time they need help or are in danger.

Other features of the app include the ability to view the location history of each circle member, find a lost device using the GPS phone tracker, and manage group circles and geofence zones.

Phone Tracker is your reliable GPS-based family locator and personal tracking app, designed to help keep your loved ones safe. It is not intended for spying or secret surveillance, and it cannot be installed remotely or without consent. To use the service, the user must install the app manually and approve the location-sharing request. By subscribing you can enjoy unlimited alerts, real-time tracking, extended location history and many more features!

Terms of Use: https://tou.ichnoshypodema.org/
Privacy Policy: https://pp.ichnoshypodema.org/",2023-07-28T07:00:00Z,2025-11-11T10:54:55Z
mz,Mozambique,Lifestyle,6012,8,1469869202,MyCentsys Pro,Centurion Systems (Pty) Ltd,https://apps.apple.com/mz/app/mycentsys-pro/id1469869202?uo=4,0.0,4.70455,88,Lifestyle,"Making your life easier with wireless connectivity. The MyCentsys Pro mobile app from Centurion Systems enables you to conveniently set up your or your client’s CENTURION SMART gate or garage motor using your phone. The app connects wirelessly to the operator, giving you quick and easy access to its bouquet of features and saving you time and effort. The intuitive interface is incredibly easy to use, with a user-friendly graphic front-end and built-in tutorials delivering the ultimate SMART experience.

Main features

•	Configure all operator settings intuitively from your phone
•	Step by step gate limit and configuration wizard
•	Over-the-air firmware updates
•	Detailed diagnostics and real-time display of system health (for example battery voltage and mains on/off)
•	Backup and Restore NOVA  transmitters using MyCentsys Cloud
•	Manage NOVA transmitters from your phone (custom name, add, edit, delete, disable)
•	Quick access to technical support
•	Text-to-speech functionality
•	Access to device event logs (for example last remote pressed, collisions detected)
•	Seamless integration with SMARTGUARDair wireless access control keypad
•	Multiple custom gate triggers (mode of operation, speed and autoclose)
•	Adjustable safety parameters such as gate sensitivity to obstructions
•	Powersaving Mode
•	Easily back up and restore settings",2019-10-01T07:00:00Z,2025-11-18T01:22:21Z
mz,Mozambique,Lifestyle,6012,9,1584296896,HiWatchPro,"Shenzhen Well fitness Management Technology Co., Ltd.",https://apps.apple.com/mz/app/hiwatchpro/id1584296896?uo=4,0.0,3.14286,7,Lifestyle,"HiWatchPro是一款基于蓝牙手环开发的app，使用蓝牙4.0通信，里面包统计睡眠、遥控拍照(通过手环拍照)，闹钟设置，久坐提醒（设置提醒时间防止用户坐太久），抬手亮屏、计步、消息推送、勿扰模式、睡眠监测、找手环等功能。用户可以利用app直观的了解身体状况以及运动状况，是一款轻量型助手型工具类app。


注意事项：
1，运动功能会使用GPS定位，在后台持续运行GPS功能可能会大幅消耗电池电量
2，HiWatchPro已接入HealthKit，可同步运行数据到健康
3，HiWatchPro所产生的一切数据，仅用于参考，不能当作健康状况依据。",2021-09-03T07:00:00Z,2025-03-13T13:28:48Z
mz,Mozambique,Lifestyle,6012,10,1631789876,Fast QR Barcode Scan & Create,Xian YuanChuangYouPin Network Tech Limited,https://apps.apple.com/mz/app/fast-qr-barcode-scan-create/id1631789876?uo=4,0.0,4.375,16,Lifestyle,"Quickly scan QR code or barcode.
Create and share your own personalized codes for Wi-Fi, Email, URLs, Contacts, Messages, Locations, YouTube videos, and more.

Features:
· Scan QR codes and barcodes with your camera instantly, without an internet connection.
· Save and manage your scan history for easy access.
· Create custom QR codes for Wi-Fi, Email, URLs, Contacts, Messages, Locations, YouTube videos, and more.
· Support scanning and generating various barcode types such as product codes, book codes, coupons, and more.
· Easily generate sharable codes to quickly transfer information.

Download Fast QR Barcode now and turn your iPhone into a versatile portable scanner!",2022-06-29T07:00:00Z,2025-08-20T01:10:59Z
