country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
mm,Myanmar,Books,6018,1,306310789,Wattpad - Read & Write Stories,Wattpad Corp,https://apps.apple.com/mm/app/wattpad-read-write-stories/id306310789?uo=4,0.0,4.41331,1217,Book,"Wattpad. Where stories live.
Discover the world's most-loved social storytelling platform. Wattpad connects a global community of millions of readers and writers through the power of story. Download it today to start reading or writing original stories.

Get your story discovered
Have your own story to tell? Get it discovered through the power of community and technology on Wattpad. Share an original story on Wattpad and share it with our community who are there to cheer you on throughout your writing journey. Think your story could be the next blockbuster? Wattpad Studios discovers untapped, unsigned, and talented writers on Wattpad and connects them to global multi-media entertainment companies.

Read original stories
Discover stories in over 25 languages from writers around the world! Whatever you’re into reading—romance, science fiction, mystery, comedy, action adventure, fantasy, young adult fiction, or fanfiction—it’s all on Wattpad. So whether you’re looking for more LGBT meet-cutes, cyberpunk fairy tales, or new technothrillers to devour, you’ll find it all, and so much more, on Wattpad.

Connect with a community of story-lovers
When you join Wattpad, you become a member of an international community of story-lovers. Connect with other passionate readers & writers, comment directly in stories as you read them, and support writers as they create and share their original stories. You can even read together and share your library or create reading lists so your friends always know what you’re reading.

Start your own free library
Save your favorite stories to keep them with you wherever you go. Hooked on a story? Simply sync your account to easily pick up where you left off, whether you’re on your laptop, tablet, Kindle or iPhone.

Read the stories that inspired blockbusters
If you’ve streamed Light as a Feather on Hulu or read New York Times best-seller Anna Todd’s series After, you may not know—these stories were first discovered on Wattpad. Join the platform the entertainment industry scours to find its next big hit, and start reading tomorrow’s box-office sensation today.

Wattpad Premium:
- Subscribe to Wattpad Premium for uninterrupted ads-free reading and first access to new features
– Payment will be charged to iTunes Account at confirmation of purchase
– Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period
– Account will be charged for renewal within 24-hours prior to the end of the current period, at the cost of the chosen package
– Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase
- For full terms of service, visit https://www.wattpad.com/terms
- For our privacy policy, visit https://www.wattpad.com/privacy
– Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable

Already a Wattpad fan? Follow us on Instagram, TikTok, Facebook and Twitter to stay up-to-date on your favorite writers, stories, contests, and more!

Instagram: https://www.instagram.com/wattpad/
TikTok: https://www.tiktok.com/@wattpad
Facebook: https://www.facebook.com/wattpad/
Twitter: https://twitter.com/wattpad",2020-04-09T07:00:00Z,2025-11-21T16:24:34Z
mm,Myanmar,Books,6018,2,1547929493,ShweNote: 30 min book summary,GENZ POWER MYANMAR COMPANY LIMITED,https://apps.apple.com/mm/app/shwenote-30-min-book-summary/id1547929493?uo=4,0.0,4.44444,45,Book,"Learn the key lessons of Non-fiction books in 15-30 Minutes.

There are over 100000+ books published every year. So, How to Read all of these books Faster? 
In our world today, we are often too busy to finish a book. Are you a busy person? Are you struggling to develop reading habit? Don't worry.

ShweNote summarizes the key ideas of the world’s bestselling books in Myanmar Language. You can remove your language barrier with ShweNote. ShweNote offering a fresh way of learning, and to promoting universal access to knowledge. 

Book Categories :

 - Business and Management
 - Sales and Marketing
 - Motivation and Happiness
 - History and Politics
 - Essential Knowledge
 - Education and Learning
 - Parenting and Relationship
 - Personal Development (Success)
 - Health and Food
 - Biography

App Features:

 - Top Quality Summarized Books
 - Audio Books
 - Personal Library
 - Offline Download Mode
 - Powerful EPUB Reader
 - Weekly New Books
 - Weekly Free Book
 - Affordable Subscription fee

More about us:

ShweNote is the first book summary app in Myanmar. You can read International Best Selling Books in just 15-30 minutes.

Our team consists of passionate members with various educational backgrounds. Our mission is to introduce the world's best selling books to Myanmar People. We hope our effort can support to build the better country.

COPYRIGHT NOTICE: Some of the contents and book covers are loaded from public sources.",2021-02-23T08:00:00Z,2025-09-29T05:56:22Z
mm,Myanmar,Books,6018,3,1468454200,番茄小说 - 热门短剧全本小说电子书阅读器,"Beijing Zhending Technology Co., Ltd.",https://apps.apple.com/mm/app/%E7%95%AA%E8%8C%84%E5%B0%8F%E8%AF%B4-%E7%83%AD%E9%97%A8%E7%9F%AD%E5%89%A7%E5%85%A8%E6%9C%AC%E5%B0%8F%E8%AF%B4%E7%94%B5%E5%AD%90%E4%B9%A6%E9%98%85%E8%AF%BB%E5%99%A8/id1468454200?uo=4,0.0,4.53571,28,Book,"【抖音旗下】 番茄小说是抖音推出的免费阅读产品，提供海量正版小说。免费好书，尽在番茄！
【正版免费】 海量正版内容免费阅读，用好故事影响更多人。热门分类，都市爽文、言情穿越、玄幻修仙、武侠世界……你想看的这里都有。 
【海量短剧】拥有海量的短剧资源，包括都市热血、甜宠言情、职场婚恋、逆袭反转、逆天改命等多种类型，满足用户的不同喜好。
【听书畅读】番茄小说AI朗读由火山语音团队提供技术支持，为了让AI音色接近真人播讲的效果，在合成音质、韵律重音、语气语调等多个方向上都进行了模型探索和优化，为用户提供了高度拟人的沉浸式听书体验。不仅如此，番茄小说AI朗读还打造了风格多元的音色矩阵，能适配小说人物的不同人设，表达出开心、悲伤等多种情感，让AI音色恰当地表现出故事中的喜怒哀乐。让听书更有沉浸感。同时，还推出多角色对话新音色，是根据角色设定，为小说的人物匹配不同的音色进行对话，具备更佳的演绎效果及沉浸体验。
【社区】书荒广场：番茄小说书荒广场已正式面向全量用户上线，致力于为万千书友提供一个好书互助社区，读者可以在这里推荐好书、交流感悟、分享互助。
优质书圈：番茄小说书圈功能，旨在通过此功能为喜爱某一本书的读者提供更为集中的讨论空间。用户可以在喜欢的书籍圈子中对该书进行全方位的剧情推理和角色讨论。
【番茄原创】番茄小说网是抖音旗下原创文学平台，致力于挖掘和培育优秀的原创网络文学作家。与番茄小说网签约的作品，将有机会在番茄小说、抖音、今日头条等App中分发给过亿用户。依托番茄小说
【广告+免费】的阅读模式，签约作家有机会获得丰厚的广告分成收入。此外，平台还提供全勤奖励、版权衍生开发等奖励福利与多元变现方式，并为优秀原创作家提供大量宣传和包装资源。
会员自动续期订阅说明
 - 连续包月会员
 - 订阅周期：1个月
 - 订阅价格：每月19元
 - 付款：连续包月会员为自动续费商品，用户确认购买并付款后记入 iTunes 账户。
 - 续订：苹果iTunes账户会在到期前24小时内扣费，扣费成功后订阅周期顺延一个订阅周期。
 - 取消续订：打开苹果手机“设置” →进入“iTunes Store 与 App Store” → 选择“Apple ID” → 点击“查看 Apple ID” → 在账户设置页面点击“订阅” → 取消订阅。
隐私协议：https://reading.snssdk.com/wap/dr-privacy-v3.html
会员服务协议：https://reading.snssdk.com/wap/dr-vip-protocal-v2.html
自动续费协议：https://reading-lq.snssdk.com/wap/dr-auto-renewal.html",2019-07-02T07:00:00Z,2025-11-14T08:54:41Z
mm,Myanmar,Books,6018,4,6740638075,WillPower Books,Kishori Timsina,https://apps.apple.com/mm/app/willpower-books/id6740638075?uo=4,0.0,5,4,Book,"Willpower Books is your go-to app for quick and powerful book summaries, designed to be Read & Listen in just 20–30 minutes. Available for reading in English and Myanmar, the app offers a seamless reading experience with both Light Mode and Dark Mode for your comfort. Bookmark your favorite books for easy access and discover new summaries every week!

Key Features
Read in English & Myanmar
Listen best quality audiobooks
Download and Listen offline
Light & Dark Mode 
Bookmark & Favorite your top picks
New book summaries added weekly

Terms of Use: https://www.apple.com/legal/internet-services/itunes/dev/stdeula/",2025-02-20T08:00:00Z,2025-11-21T01:03:15Z
mm,Myanmar,Books,6018,5,923072974,Wun Zinn,Wun Zinn,https://apps.apple.com/mm/app/wun-zinn/id923072974?uo=4,0.0,3.23529,17,Book,"Download one of the best Myanmar EBook Store now! 

Book: Best for reading and downloading, Free Book, Many Category, Smoothly swipe the page.

Automatically remembers the last reading page position, arrange the author name with Myanmar alphabet in searching option.

Security: User Log-In, Option for password protection, Restore mode.",2020-04-10T07:00:00Z,2025-02-01T01:07:27Z
mm,Myanmar,Books,6018,6,1476097729,Myanmar Holy Bible (Burmese),AXERAAN TECHNOLOGIES PRIVATE LIMITED,https://apps.apple.com/mm/app/myanmar-holy-bible-burmese/id1476097729?uo=4,0.0,4.74369,238,Book,"Myanmar Bible (Burmese) is an Offline Bible. Read the Bible with Audio, Many Reading Plans, Bible Quizzes, Bible Dictionary, Bible Quotes and much more. Download Now!

Myanmar Bible (Burmese) is the best Application to carry God’s Word. Have the Holy Bible at your fingertips anytime and anywhere you go. Myanmar Bible (Burmese) App contains the Old Testament and New Testament, providing an easier way to feel God’s word in your heart and to feel heaven closer to you and your loved ones. Carry Myanmar Bible (Burmese) App wherever and whenever you want to help enlighten your mind with the most complete, fast and easy to use daily Bible App. 

Multi version Bible includes:
 
•	Works Offline: Reach the spiritual objective by reading all the books, chapters and verses from Myanmar Bible (Burmese) App on your device. 
•	Easy Reading: The Holy Bible App has made reading much easier by customizing the fonts, text size, and brightness.
•	Bible Quiz: Play the quiz from Myanmar Bible (Burmese) App to keep your spiritual development on check.
•	Bible Quotes: Myanmar Bible (Burmese) App has set of quotes to be shared for, to all your friends across the world.
•	Bible Dictionary: Bible Dictionary from Myanmar Bible (Burmese) App enables you to improve your spiritual vocabulary. 

Customize your bible: 

•	Verse Images: Create the amazing bible verse images with an easy designing tools of Holy Bible app.
•	Highlights: Select custom colors to highlight the verses.
•	Bookmark: Bookmark the page for easy resuming to read, find and for the memorizing of favourites in every chapter in The Holy Bible app
•	Share verses with friends: The Holy Bible app serves to share your love for Jesus with friends across the world on social media via email, or SMS/text 
•	Notes: The Holy Bible app protects the user’s privacy to keep the notes private and also in public to share with friends

Start your day fresh with a Daily Verse and Carry your soft-copy of Myanmar Bible (Burmese) with you anytime and anyplace you are or wish to go, and share God's Word to spread light and love to your close ones. Myanmar Bible (Burmese) App offers immaculate friendly features that will make your daily Bible reading a wonderful experience. Download Now!

Help us spread God’s word by sharing Myanmar Bible (Burmese) with your friends. 

* Please, if you liked this app, support our project by rating and writing your testimonial on the store. It only takes a few seconds.
* If you did not like something or found any bugs, please let us know by e-mail at feedback@bibleall.net.
* All reviews are welcome.

Join with Us:
Facebook: https://www.facebook.com/BibleAllOfficial
Web: https://www.bibleall.net",2020-04-13T07:00:00Z,2021-08-25T00:00:51Z
mm,Myanmar,Books,6018,7,6747244156,Dhamma Yaung Chi,Hey Express,https://apps.apple.com/mm/app/dhamma-yaung-chi/id6747244156?uo=4,0.0,0,0,Book,"To worship the Buddha with devotional verses easily and clearly — and to be able to recite them after watching and listening multiple times.

This Dhamma Paritta app includes the Eleven Great Parittas, Dhammacakkappavattana Sutta, Guna Paritta Kunchas, Protective Chants, Verses and Reflections, Loving-kindness (Metta) Sharing, Merit Sharing, and the Mahasamaya Sutta.

It is offered as a Dhamma Dana (a gift of the Dhamma), allowing devotees to listen, chant, and pay homage without the need to carry multiple books — everything is conveniently gathered in one place.",2025-06-13T07:00:00Z,2025-11-09T17:56:19Z
mm,Myanmar,Books,6018,8,1669188337,ReadEra – book reader pdf epub,READERA EOOD,https://apps.apple.com/mm/app/readera-book-reader-pdf-epub/id1669188337?uo=4,0.0,5,1,Book,"ReadEra - a book reader, allows you to read books for free, text to voice and listen to books for free, offline, in the PDF, EPUB, DOC, DOCX, RTF, MOBI, AZW3, CBZ, CBR, DJVU, FB2, TXT, ODT and CHM formats.

No ads
Read books and listen to books without ads. The ReadEra app for reading books and viewing PDF documents neither contains ads nor imposes internal purchases.

No registration
We’ve made a fast, reliable reader that doesn't compel users to use any specific services. The book reader works offline and is entirely free. Read books for free and listen to books for free (TTS), without limits!

Text to Speech (TTS) 
Read text aloud with voice (TTS) – allows you to read text aloud and listen to all your books, PDF files and documents for free. With the Text to Speech (TTS) function, all your books and documents turn into audiobooks at the tap of the ""Read aloud"" button. TTS turns your book library into a personal audio library, making reading more flexible and enjoyable. This is especially useful for those who prefer the audio format or want to listen to books in situations where reading is impossible.
You can read foreign books and at the same time listen to the pronunciation of words and sentences. You can choose a voice, adjust the speech speed, turn on repeating text to voice of the selected text, word or sentence. 
Listen to books and documents with ReadEra while doing your things – on the go, working out, before bed and even when sleeping.

Read books of all formats
ReadEra is a set of reading apps in one app, which reads well multiple types of formats: book Epub, Kindle (MOBI, AZW3), Fb2; business PDF, Djvu; office Microsoft Word (DOC, DOCX, RTF), ODT; text TXT and others. Reading books, viewing Microsoft Word documents and PDF files from zip archives.
The reader for books, ReadEra, reads all popular formats of books, journals, articles and other documents in one app.

Best book manager for your library
Auto-detection of books and documents. Grouping books into lists: To Read, Have Read, Favorites. Sorting by name, file format, the last time read, etc. Quickly search for books, PDF files and documents in your library.

Navigation through a book
Quick access to reading settings, table of contents, your bookmarks, quotes, notes and other eBook options. Navigate through the book using the page index or the progress bar line.

Convenient reading settings
Auto-saving the current reading page. Comfortable color themes when reading books: day, night, sepia, console. Horizontal or vertical page flipping mode. Brightness and page margins adjustment, including PDF and DjVu. Separate settings for text and graphic formats. Adjustable type font, size, boldness, line spacing and hyphenation for Microsoft Word, Epub, Kindle (Mobi, Azw3), Fb2, TXT and ODT. Zoom in option for reading PDF and Djvu files.

Quotes and Notes
Create quotes and add notes to text. Highlight text in books, PDF files and documents, add personal notes to the highlighted text. A well-thought-out and simple algorithm for working with quotes and notes. All your quotes and notes in a book are conveniently gathered in one place—in the “About Document” section.

Bookmarks
Add bookmarks to save your favorite spots in books with a single tap. Just tap the upper-right corner while reading to quickly add a bookmark. All bookmarks for the book are conveniently gathered in one place—in the ""About Document"" section.

Text Translation
ReadEra supports integration with the iOS system “Translate” app for seamless text translation. Instantly translate text in books, PDFs, and documents using the built-in translator on your device.

Read books and Listen to books easily and for free with ReadEra!",2024-01-05T08:00:00Z,2025-10-14T10:33:52Z
mm,Myanmar,Books,6018,9,1598048663,ShweNarSin,Wun Zinn,https://apps.apple.com/mm/app/shwenarsin/id1598048663?uo=4,0.0,5,2,Book,"There are many ways to enjoy Shwe Nar Sin Audio Books. Whether you're on a road trip, long commute, working out, or simply doing chores around the house, audiobooks are the perfect way to enjoy. Audiobooks are also perfect for anyone who is vision impaired.

Download or Stream over 3,000++ amazing copyrighted audiobooks & podcasts with many different categories on the go! Start listening to bestselling titles in fiction and non-fiction in seconds.

Features of Shwe Nar Sin
- Subscribe & Listen to Audiobooks
- High-Quality Audio Books recorded by many famous/experienced narrators
- Different forms of Audiobooks and Podcasts with sound effects engineered by our Audio Engineers
- Can stream on website and mobile or tablet
- Can enjoy many free audiobooks
- Offline listening: download books and listen the audiobooks offline
Terms of Use: https://www.apple.com/legal/internet-services/itunes/dev/stdeula/",2022-10-20T07:00:00Z,2025-09-10T06:37:17Z
mm,Myanmar,Books,6018,10,1387717110,七猫小说-看小说电子书的阅读神器,"Shanghai Seven-Cat Culture Media Co.,Ltd.",https://apps.apple.com/mm/app/%E4%B8%83%E7%8C%AB%E5%B0%8F%E8%AF%B4-%E7%9C%8B%E5%B0%8F%E8%AF%B4%E7%94%B5%E5%AD%90%E4%B9%A6%E7%9A%84%E9%98%85%E8%AF%BB%E7%A5%9E%E5%99%A8/id1387717110?uo=4,0.0,4.30769,13,Book,"不知道看什么小说?就上七猫必读榜!

【海量小说免费看】

重磅新书《摸金校尉之九幽将军》:天下霸唱力作,徐克执导,陈坤主演,超奇幻荧幕巨制同名改编原著~

全网搜罗古言、现言、玄幻、都市等热门分类小说,一口气免免费看到大结局!除了《与凤行》《南来北往》《庆余年》等热门影视IP原著,更有《惜花芷》、《圣墟》、《琅琊榜》、《完美世界》、《三体》等新进好书,你想看的全都免费!

【排行精选找好书】

每天为你推荐好书,大热榜、完结榜、黑马榜、热搜榜,帮你花样找到当下最热好书,摆脱书荒,看完一本还想看!

【听书畅读】七猫为您提供风格多元的超拟人音色、播讲内容字幕和特色的边听边读功能，打造便捷的沉浸式听书体验。另外还有万本真人播讲的有声书供您选择，让您身临其境，感受每一个故事细节。

【社区】书荒广场：七猫小说上线书荒广场，为用户提供了一个交流互动的平台。用户可以在社区中与其他读者分享阅读心得、讨论喜爱的小说情节，还可以关注喜欢的作者和作品，互相交流观点和建议。此外，用户还可以参与各种活动和话题讨论，参与投票和互动，丰富了阅读体验。

【广告+免费】的阅读模式, 即“读者免费看书，广告商买单，作者有收益”。愿与作者共担风险，共享收益。在作品成长期，七猫给予作者保底稿费的基础保障，作品进入成熟期超保底后，则按分成模式与作者共享收益。

【会员】会员不定期活动，限时5折起

隐私服务协议：https://xiaoshuo.wtzw.com/app-h5/freebook/article/1/1612750511",2020-04-10T07:00:00Z,2025-11-18T05:37:53Z
