country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
mm,Myanmar,Medical,6020,1,1510978227,Careme Patient,YAMMOBOTS COMPANY LIMITED,https://apps.apple.com/mm/app/careme-patient/id1510978227?uo=4,0.0,0,0,Medical,"It provides the most comprehensive solution for making booking and appointment with doctors by patients easily. It includes features for finding doctors and specialists easily based on your problem and hospital preferred to visit. Also it provides real-time queue information, SMS service for reducing patient-waiting time at hospitals working with us.",2023-06-02T07:00:00Z,2025-10-21T22:33:24Z
mm,Myanmar,Medical,6020,2,1490814720,Boots TH,Boots Retail  Thailand,https://apps.apple.com/mm/app/boots-th/id1490814720?uo=4,0.0,0,0,Medical,"Boots Thailand is a member of Walgreens Boots Alliance, an international pharmacy-led health and beauty group.
 
Boots app delivers you the hottest deals, promotions, coupons and personalized offers, all at your fingertips.
 
Moreover, easily collect, redeem points from your purchases at Boots.  
 
Download the app and Enjoy!",2021-02-02T08:00:00Z,2025-11-17T02:26:35Z
mm,Myanmar,Medical,6020,3,1550083398,heal by Pun Hlaing,YOMA OUE Pun Hlaing Hospital Limited,https://apps.apple.com/mm/app/heal-by-pun-hlaing/id1550083398?uo=4,0.0,3.66667,3,Medical,"Heal by Pun Hlaing offers quality health and wellness solutions delivered through technology which is available 24/7 with our multi-disciplinary team of full-time doctors and clinical team.  

Easy to use, available when you are – anytime, anywhere.  

We offer:  

. Access video consultations and chat with doctors 24/7. 

. Find & book appointments with experienced general practitioners and specialists. 

. Request booking for in-person appointments. 

. Order medicines online. 

. Ease access to personal health-care information and medical records. 

. Daily health care news. 

. Access to our hospital's and doctor's information.",2021-12-19T08:00:00Z,2025-11-13T02:38:24Z
mm,Myanmar,Medical,6020,4,6471388132,Mandalar Hospital,FAMILY MANDALAR COMPANY LIMITED,https://apps.apple.com/mm/app/mandalar-hospital/id6471388132?uo=4,0.0,0,0,Medical,"With Mandalar Hospital App, you can:

• Request new appointments and see details for upcoming visits
• Review laboratory results and radiology reports
• Reference visit history information and forms, including discharge instructions
• Stay in touch with your healthcare provider.

If you already have a Mandalar Hospital account through your healthcare provider, and your provider has enabled access, you are ready to begin. If you do not already have an account, contact your healthcare provider directly.",2023-11-06T08:00:00Z,2024-02-09T18:24:39Z
mm,Myanmar,Medical,6020,5,1099986434,Ada – check your health,Ada Health GmbH,https://apps.apple.com/mm/app/ada-check-your-health/id1099986434?uo=4,0.0,5,1,Medical,"Get a health check for yourself and your relatives. You can check your symptoms online 24/7 and find out possible causes. Whatever's bothering you, from pain, headache, or anxiety to allergy or food intolerance, the free Ada app (symptom checker) could help you find answers from the comfort of your home.

Doctors have trained Ada for years so that you can get an assessment within minutes.

How do free symptom checks work? 

You answer simple questions about your health and symptoms.
The AI of the Ada app assesses your answers against its medical dictionary of thousands of disorders and medical conditions.
You receive a personalized assessment report that tells you what may be wrong and what you could do next.

 What can you expect from our app? 

- Data privacy and security – we apply the strictest data regulations to protect and keep your information private.
- Smart results – our core system connects medical knowledge with intelligent technology.
- Personalized health information – your guidance is personal to your unique health profile.
- Health assessment report – share relevant information with your doctor by exporting your report as a PDF.
- Symptom tracking – track your symptoms and their severity in the app.
- 24/7 access – you can use the free symptom checker anytime, anywhere.
- Health articles – read exclusive articles written by our experienced doctors.
- Assessments in 7 languages – choose your language and change it from the settings at any point: English, German, French, Swahili, Portuguese, Spanish, or Romanian.


 What can you tell Ada? 

The Ada app can help you if you have common or less common symptoms. Here are some of the most common searches:

Symptoms:
- Fever
- Allergic rhinitis
- Loss of appetite
- Headache
- Abdominal pain and tenderness
- Nausea
- Fatigue
- Vomiting
- Dizziness


Medical conditions:
- Common cold
- Influenza infection (flu)
- COVID-19
- Acute bronchitis
- Viral sinusitis
- Endometriosis
- Diabetes
- Tension headache
- Migraine
- Chronic pain
- Fibromyalgia
- Arthritis
- Allergy
- Irritable bowel syndrome (IBS)
- Anxiety disorder
- Depression


Categories:
- Skin conditions such as rashes, acne, insect bites
- Women's health and pregnancy
- Children's health
- Sleeping problems
- Indigestion issues, such as vomiting, diarrhea
- Eye infections


Disclaimer: The Ada app is a certified Class IIa medical device in the European Union.  

CAUTION: The Ada app cannot give you a medical diagnosis. Contact urgent care immediately in an emergency. The Ada app does not replace your healthcare professional's advice or an appointment with your doctor.

We want to hear from you. If you have any feedback or just want to get in touch, reach us at hello@ada.com. Your feedback will be processed in accordance with our Privacy Policy [https://ada.com/raw/privacy-policy/].",2020-04-18T07:00:00Z,2024-10-10T12:25:49Z
mm,Myanmar,Medical,6020,6,1608268812,スギスマホでお薬-処方せん送信・お薬手帳アプリ,"SUGI PHARMACY CO.,LTD.",https://apps.apple.com/mm/app/%E3%82%B9%E3%82%AE%E3%82%B9%E3%83%9E%E3%83%9B%E3%81%A7%E3%81%8A%E8%96%AC-%E5%87%A6%E6%96%B9%E3%81%9B%E3%82%93%E9%80%81%E4%BF%A1-%E3%81%8A%E8%96%AC%E6%89%8B%E5%B8%B3%E3%82%A2%E3%83%97%E3%83%AA/id1608268812?uo=4,0.0,0,0,Medical,"ちょっと体調が悪いけれど、病院へ行くほどではないかな。
病院で、処方せんをもらったけれど、薬局で待つのは大変だな。

そんなときは、「スギスマホでお薬」！
「スギスマホでお薬」は、スギ薬局をもっと便利に安心に利用することが出来るアプリです。

とても便利な機能が満載。
いつでも、手のひらに、スギ薬局を！
健康・快適・安心な生活をスギ薬局は応援します！！

１）処方せん送信
病院で処方せんをもらったら、すぐに写真で送信！
薬局での待ち時間を短縮してお薬を受け取れます。

２）店頭チェックイン
薬局へ直接お越しの場合も、アプリで出来上がり通知を受け取れます。

３）電子お薬手帳
お薬手帳をアプリで管理！いつでもすぐに履歴が確認できて安心です。ご家族の分も登録できます。

４）チャットおくすり相談
困ったときは、気軽に薬剤師にチャットで相談できます！

５）ビデオ通話
ビデオ通話機能で、オンライン服薬指導も簡単に受けられます！

あなたの健康・快適・安心な生活のために！！
※現在はトライアル展開中のため、登録できる店舗は一部になっています

◆◆詳しくはこちら◆◆
▼ヘルプページ
https://faq.sugi-net.jp

▼スギ薬局について
https://www.sugi-net.jp/",2022-05-29T07:00:00Z,2025-09-09T01:35:54Z
mm,Myanmar,Medical,6020,7,1550708324,Linn Myanmar,Aung Ko Ko Kyaw,https://apps.apple.com/mm/app/linn-myanmar/id1550708324?uo=4,0.0,0,0,Medical,"Linn Myanmar provides the best experience of purchasing a variety of quality products at your fingertips. Among m-commerce apps, Linn Myanmar stands out as a unique app with user-oriented features dedicated to deliver the ideal experience of using a m-commerce app.


You, our valuable customer, can buy multiple vitamins and supplements conveniently through the app with reasonable prices at anytime and anyplace. 

Linn Myanmar is fully equipped with the essential features of a m-commerce app
to provide our valued customers with the comprehensive advantage of digitalization.

Since the convenience of user experience is our priority, we provide a user-friendly UI so that every user can use easily and intuitively. To promote the user’s convenience, we eliminate the language barrier by providing a language-plugin which gives an option to choose as preferred.

In addition, the steps of purchasing and ordering are easy to follow, and we also provide a simplified user guide to avoid confusion. The search feature can help you find the products more efficiently with suggested output and filter the search of the products according to their categories. We also accept an abundance of online payment methods ranging from mobile banking platforms to digital wallets to foster the use of digital payments.

The appealing and inspiring thing about the experience of using our app is that whenever you buy the products, you achieve the point as a reward which is in turn used to get a discount or win a coupon. Moreover, you can upgrade your current user level by applying your cumulative points or you can accumulate points for further use. Linn Myanmar also provides an extensive section called “Health Digest” where you can find information about nutrition and health, and read the articles on such topics.

Since the reliance of customers on our products is our core value and our pride, we sustain our customers’ trust by selling the products acquired from the reliable sources that go hand in hand with our trusted partners. We secure the privacy of each customer equitably. The goal of Linn Myanmar is to provide the full advantage of digitalization to our customer through our pharmaceutical sales app.

Find out the value we’ve delivered in the store for you.",2021-09-12T07:00:00Z,2023-05-23T13:40:21Z
mm,Myanmar,Medical,6020,8,1616025750,Z-waka Healthcare Professional,"Z-waka Co.,Ltd.",https://apps.apple.com/mm/app/z-waka-healthcare-professional/id1616025750?uo=4,0.0,4,2,Medical,"Z-waka offers a free digital platform that allows healthcare professionals to:
- receive bite-sized continuing medical education (CME)
- participate in webinars
- connect with each other
- capture and share medical cases for daily practice or research purposes
- interact with healthcare resource providers",2022-07-14T07:00:00Z,2025-09-04T12:00:56Z
mm,Myanmar,Medical,6020,9,321367289,Medscape,WebMD Health Corporation,https://apps.apple.com/mm/app/medscape/id321367289?uo=4,0.0,0,0,Medical,"Your Go-To Medical Resource for Immediate Clinical Answers

With Medscape, you get free access to the latest medical news, expert commentary, clinical tools, drug and disease information, CME/CE activities, and more—all in one place.

AI-Driven Solutions to Transform Your Practice
Scribe: Real-time transcription and summarization of patient visits.
Dialer: Call patients using your office number from anywhere.
AI Search: Get instant, expert answers to complex medical questions.


Essential Clinical Tools
450+ medical calculators organized by specialty.
Drug Interaction Checker, Pill Identifier, and step-by-step procedural videos.
Up-to-date prescribing and safety info on 9,200+ drugs, herbals, and supplements.


Stay Informed & Connected
The latest FDA approvals, conference news, and clinical trial data.
Expert insights across 30+ specialties.


Medscape Original Podcasts, including This Week in Cardiology.
Free CME/CE credits & ABIM MOC points with an Activity Tracker.
Network with peers via Medscape Consult and MedscapeLIVE! events.
Medscape is the Leading Online Destination for Healthcare Professionals.

Have feedback? Email us at medscapemobile@webmd.net.",2023-09-20T07:00:00Z,2025-11-20T10:08:48Z
mm,Myanmar,Medical,6020,10,1149571863,Medical Dictionary - English,Ayyoub BELGAID,https://apps.apple.com/mm/app/medical-dictionary-english/id1149571863?uo=4,0.0,5,1,Medical,"Medicopedia is a Medical Dictionary that gives you free access to more than 150,000 medical definitions, terminology and abbreviations in all branches of medicine.
This free app is useful for all professionals in the medical field, practicing physician, nurse, student or just plain curious, it have clear definitions of medical terminology. Search across multiple disciplines including : 

⁃ Addictology
⁃ Algology
⁃ Allergology
⁃ Anatomy
⁃ Pathology
⁃ Andrology
⁃ Anesthesiology
⁃ Angiology
⁃ Anthropology
⁃ Bacteriology
⁃ Biochemistry
⁃ Biology
⁃ Botany
⁃ Cancer
⁃ Cardiology
⁃ Chemistry
⁃ Plastic Reconstructive and Aesthetic Surgery
⁃ Coloproctology
⁃ Cytology
⁃ Dermatology
⁃ Cardiac Electrophysiology
⁃ Embryology
⁃ Embryology
⁃ Endocrinology and Metabolism
⁃ Epidemiology and Public Health
⁃ Gastro enterology
⁃ Genetics
⁃ Geriatrics
⁃ Gynecology
⁃ Hematology
⁃ Hepatology
⁃ Histology Cytology
⁃ Medical and Interventional Imaging
⁃ Immunology
⁃ Kinesiology
⁃ Physiotherapy
⁃ Reproductive Medicine
⁃ work Medicine
⁃ Emergency Medicine
⁃ Sports Medicine
⁃ General medicine
⁃ Legal Medicine and medical expertise
⁃ Physical medicine
⁃ physical medicine and functional rehabilitation
⁃ Alternative Medicine
⁃ Microbiology
⁃ Morphology
⁃ Mycology
⁃ Myologie
⁃ Neonatology
⁃ Nephrology
⁃ Neurosurgery
⁃ Neurology
⁃ Nutrition and Dietetics
⁃ Obstetrics
⁃ Dentistry
⁃ Oncology
⁃ Ophthalmology
⁃ Orthopedics
⁃ Speech
⁃ Osteology
⁃ Otology
⁃ Otolaryngology
⁃ Parasitology
⁃ Pediatrics
⁃ Pharmacology
⁃ Physiology
⁃ Pneumology
⁃ Psychiatry
⁃ Psychology
⁃ Radiotherapy
⁃ Rheumatology
⁃ Sociology
⁃ Medical care
⁃ Stomatology
⁃ telemedicine Telesurgery
⁃ Teratology
⁃ Toxicology
⁃ Traumatology
⁃ Urology
⁃ Vascular
⁃ Venereology
⁃ Zoology",2020-04-11T07:00:00Z,2020-04-12T21:59:19Z
