country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
nz,New Zealand,Travel,6003,1,368677368,Uber - Request a ride and more,"Uber Technologies, Inc.",https://apps.apple.com/nz/app/uber-request-a-ride-and-more/id368677368?uo=4,0.0,4.85608,154401,Travel,"Join the millions of riders who trust Uber for their everyday travel needs. Whether you’re running an errand across town or exploring a city far from home, getting there should be easy.

FIND THE RIDE YOU WANT
Find the perfect ride right at your fingertips! Uber is here to make your journey stress-free and enjoyable.

Pick from a wide range of products that the Uber app has to offer including: 
- UberX: Affordable rides, all to yourself
- Electric: Sustainable rides in hybrid and electric vehicles
- UberXL: Rides for groups up to 6
- Comfort: Comfortable midsized cars with top-rated drivers
- Comfort Electric: Premium hybrid and electric vehicles
- Reserve: Choose your exact pickup time up to 90 days in advance  
- Uber Pet: Rides for you and your pet
- Black: Premium rides in high-end cars
- Taxi: You now have the option to request a cab or a taxi on demand using Uber in select cities
- Uber Max: Extra space for luggage and groups
- Assist: Special assistance from experienced drivers

UPFRONT PRICING
With Uber, you no longer need to worry about hidden costs or unexpected surprises. As you enter your destination in the app, you get upfront pricing and the estimated time of arrival.

SAFETY TOGETHER
Safety is a top priority at Uber. We have established comprehensive safety features to help ensure every rider and driver feels secure and comfortable.

AFFORDABLE PRICING
We’re doing all we can to make our pricing as transparent as possible.
- Group Rides: Share the journey with friends. Save if shared.
- Split Fare: Don’t worry about doing the math later—split the cost evenly while you’re still on the ride. 

JOIN UBER ONE FOR EXCLUSIVE PERKS
Benefit from $0 Delivery Fee and reduced Service Fee (up to 30% off) on eligible orders, 6% credit earned on all rides and priority access to top-rated driver, exclusive offers like promotions and experiences and a $5 credit if the Latest Arrival Estimate on your order is missed. Other fees & terms apply. For more details see uber.com/uberone.

RESERVE RIDES IN ADVANCE
Need a ride at a specific time? No problem! Uber allows you to reserve rides in advance, so you can plan your day with confidence. 

GO GREEN
Uber is committed to building a sustainable future for our cities. With a growing fleet of electric and hybrid vehicles, you can choose eco-friendly rides to reduce your carbon footprint.

CARSHARE
Drive yourself with Uber Carshare. Borrow a car by the hour, day, week or longer – you only pay for the time you’ve booked. Browse a wide variety of cars to find the best fit for your needs and budget. All trips include insurance and vehicle protection, as well as 24/7 roadside assistance.

MORE FEATURES
Delivery: Order food from your favorite restaurants through Uber Eats. Stock up on groceries, shop pharmacy, convenience and pet supplies and get them all delivered. 
Uber Connect: an easy, same-day, no-contact delivery solution that allows people to send items whether it’s a care package for a loved one or an item you sold online.
Transit: Say goodbye to complicated time schedules, hectic transfers, and unexpected waits while reducing your trip’s emissions.
Uber for Business: Manage and track business travel, meal programs, and more on one dashboard.
Uber Car Seat: The family-friendly travel option to help young Aussie families move around easily.
Get Started Now! Download the Uber app and create an account today. Uber is available in the following cities: Melbourne, Sydney, Perth, Brisbane, Newcastle, Adelaide, Gold Coast and more. Check if Uber is available in your city at https://www.uber.com/cities. Stay updated on the latest news, promotions, and offers by following us on Twitter at https://twitter.com/uber and liking us on Facebook at https://www.facebook.com/uber.",2010-05-21T03:11:23Z,2025-11-17T14:30:34Z
nz,New Zealand,Travel,6003,2,675033630,Bolt: Request a Ride,BOLT TECHNOLOGY OU,https://apps.apple.com/nz/app/bolt-request-a-ride/id675033630?uo=4,0.0,4.70288,1528,Travel,"Make getting around easier with Bolt! Whether you need a ride across town, an airport transfer, or a scooter to zip through traffic, our app makes it easy to move around confidently and conveniently.

WHY CHOOSE BOLT?
- Request a ride in seconds: enjoy safe, affordable rides with top-rated drivers.
- Transparent pricing: see your fare upfront so there are no surprises.
- Multiple payment options: pay securely using a credit/debit card, Apple Pay, Google Pay, or cash.

EASY ORDERING:
- Open the app and set your destination.
- Choose from various ride types to suit your needs (Comfort, Premium, Electric, XL, and more).
- Track your driver in real time.
- Arrive in comfort and rate your experience.

SAFETY FIRST:
Some of Bolt’s safety features require the app to run in the background.

- Emergency assist button: discreetly alert our Safety Team in case of emergencies.
- Audio trip recording: record audio during rides for added peace of mind.
- Private phone details: your contact information stays confidential when you call a driver.

PLAN AHEAD:
Need an airport transfer or an early morning ride? You can schedule your trip in advance from 30 minutes to 90 days before your expected pickup time.

*JOIN BOLT PLUS TO UNLOCK PREMIUM FEATURES!
Get the best of Bolt with Bolt Plus. Enjoy exclusive perks that save you time and money, making every ride smoother and more convenient.

*BOLT DRIVE:
We're committed to our carbon net zero goal by 2040. That's why we're increasing the lineup of electric and hybrid cars in Bolt Drive, our car-sharing service. You can also rent Bolt scooters and e-bikes via the app.

*DELIVER PACKAGES
Use the 'Send' ride type to arrange fast and convenient parcel delivery in your city.

Bolt is available in 50 countries and 600+ cities worldwide (see the full list at https://bolt.eu/en/cities/). We rebranded from Taxify to Bolt in 2019.

Bolt is the perfect taxi alternative for fast, reliable, and affordable rides. The app provides a seamless ride-ordering experience whether you’re commuting, travelling, or running errands. So, the next time you need a ride, choose Bolt!

*Bolt options differ by location. Check the app for availability in your city.

Earn money driving with the Bolt Driver app. Sign up: https://bolt.eu/driver/

Questions? Get in touch via info@bolt.eu or at https://bolt.eu

Follow us on social media for updates, discounts, and offers!

Facebook — https://www.facebook.com/Bolt/
Instagram — https://www.instagram.com/bolt
X — https://x.com/Boltapp",2013-07-24T04:44:15Z,2025-11-24T06:38:06Z
nz,New Zealand,Travel,6003,3,304851207,Air NZ,Air New Zealand,https://apps.apple.com/nz/app/air-nz/id304851207?uo=4,0.0,4.71711,139915,Travel,"The Air NZ app – your trusted travel companion – lets you:

• Take control of your flight bookings – change your seat, add a bag, manage your meals, and more.

• Check in online, from anywhere, and access your digital boarding pass in the app, or add it to Apple Wallet.

• Scan your digital boarding pass to print bag tags at the kiosk, board your aircraft, and if you're eligible, enter the Air New Zealand lounge.

• Hold up to 9 boarding passes for your group or family under the same booking. Bookings with infants can't currently be supported.

• Have real-time flight info at your fingertips with up-to-date gate and seat info, boarding and departure times, and more.

• Receive notifications with key flight information – you'll never miss a beat.

• Order coffee from your phone, and we'll let you know when it's ready to collect. Air New Zealand lounge access required.

• Purchase travel-related services such as travel insurance, parking, airport taxis and shuttles, hotels, and rental cars.

• Track your Airpoints Dollars™ and Status Points balances, view your benefits and latest activity, or access your digital Airpoints™ card straight from your phone, plus find Airpoints Partners to help you earn Airpoints Dollars every day.

• Access and use your digital Koru card when you have a Koru membership.

• Access quick links to book or change flights on the fly.

• Stay organised – add flight details to your calendar, and share them with others.

Things not as effortless as they could be? We'd love to hear from you. Use the 'Help and Feedback' menu in the Air NZ app to see your options.

By downloading, installing and using the Air NZ app, you agree that you have read, understood and agree to our Website and App Terms of Use at airnewzealand.co.nz/website-terms-of-use and our Privacy Policy at airnewzealand.co.nz/privacy.",2009-02-25T02:19:22Z,2025-11-18T19:52:32Z
nz,New Zealand,Travel,6003,4,367003839,Booking.com Travel Deals,Booking.com B.V.,https://apps.apple.com/nz/app/booking-com-travel-deals/id367003839?uo=4,0.0,4.7943,70888,Travel,"Download the highest-rated travel app and join thousands of people finding hotel, motel and holiday home travel deals. Find a stay for your holiday, weekend getaway or business trip, anywhere in the world!

Search for hotels, motels & holiday homes

• 27 million hotels, holiday rentals, homes, apartments and other unique places to stay
• Search by city, attraction, landmark or hotel name with just one tap
• Filter by price, review score, amenities and other things important to you
• Find your last-minute stay or book far in advance

Find a great travel deal

• Daily deals for every budget
• Free cancellation on most rooms
• Browse over 135 million verified guest reviews

Manage your booking on the go

• Get paperless confirmation
• Make changes whenever, wherever
• 24/7 customer service in more than 40 languages
• Contact your host, view check-in times and write reviews
• No booking or credit card fees",2010-04-14T18:30:24Z,2025-11-20T09:19:47Z
nz,New Zealand,Travel,6003,5,1446388027,Flamingo Scooters,FLAMINGO TECHNOLOGIES LIMITED,https://apps.apple.com/nz/app/flamingo-scooters/id1446388027?uo=4,0.0,4.9029,3831,Travel,"You can be on your way in 4 easy steps:
- Download the Flamingo app
- Create your account
- Find and unlock a scooter or bike
- Ride your way!

Proudly Kiwi owned & operated.
Find more at rideflamingo.co.nz",2019-06-03T19:06:11Z,2024-12-30T04:29:11Z
nz,New Zealand,Travel,6003,6,1668684467,NZTD,"Ministry of Business, Innovation and Employment",https://apps.apple.com/nz/app/nztd/id1668684467?uo=4,0.0,4.58181,2243,Travel,"Make your arrival in New Zealand a smoother experience by filling out your New Zealand Traveller Declaration (NZTD) before you get here. You can submit it up to 24 hours before starting your trip to New Zealand.

Your declaration will take about 10 minutes to complete and you’ll need to answer the questions in English. You can update it at any time, up until you get to the border in New Zealand.

Information you need to provide when filling out your NZTD includes:
- Your passport, contact and flight details;
- Your immigration status (if required);
- Details about your trip, including your recent travel history;
- Items you are bringing into New Zealand, including in your carry on bags and checked in luggage.

With the NZTD app you can:
- Scan your passport to add your passport details;
- Add and complete multiple declarations, for example, for your children;
- Use offline mode to enter information while you’re flying or out of WiFi or data range. You need to be online to start or submit a declaration.

Once you’ve submitted your NZTD there’s nothing more you need to do. You won’t have to print anything out or show a QR code. Your NZTD will automatically show up when your passport is scanned at the border.",2023-07-12T07:00:00Z,2025-08-29T17:23:44Z
nz,New Zealand,Travel,6003,7,1362398401,DiDi Rider: Affordable rides,DIDI MOBILITY INFORMATION TECHNOLOGY PTE. LTD.,https://apps.apple.com/nz/app/didi-rider-affordable-rides/id1362398401?uo=4,0.0,4.58199,4043,Travel,"DiDi offers an affordable, reliable and safe rideshare service in 30+ cities across Australia and New Zealand.

Just download the app, choose a destination, find a driver and pay directly through the app. Whether you’re heading out with friends or need a ride from the airport, DiDi can get you there for less. Let your dollar travel further with our affordable fares and exceptional service.

Why choose DiDi?
At DiDi we believe that ridesharing should be an affordable experience for everyone. That’s why we charge less than other rideshare services. DiDi fares are consistently lower, which means you get to spend more at the other end.

Fast & Reliable
You’ll have 100,000+ drivers at your fingertips across Australia & New Zealand, which means you can find a ride fast. Easily connect to a driver in seconds via the DiDi app and you’ll have a car at your location in minutes!

Safety First
We’re committed to helping make every ride with DiDi a safe one. All our drivers have undergone extensive background checks, facial verification, vehicle inspections, ongoing monitoring & more. We offer world leading in-app safety features such as in-trip checks, phone number and home address anonymisation, sharing your trip with trusted contacts and more.

Driver Friendly
Our drivers get to keep more of your fare compared to competing rideshare services. Therefore, by using DiDi, you help maximise the income of local drivers. It’s a win-win for both you and your driver.

DiDi services:
Express: Fast and affordable rides, up to 4 people
Travel: Long-distance rides for less, up to 4 people
Select: Roomier cars with highly rated drivers, up to 4 people
Max: Spacious rides, for groups up to 6 or extra luggage
Delivery: Affordable on-demand delivery city-wide

Payment Method:
Choose your preferred payment method — credit card, debit card, Apple Pay, Alipay or PayPal.

How to order a ride with DiDi:
Download the DiDi Rider app and sign up or log in.
Enter your pickup location and your destination.
Choose the ride type that suits your needs.
Select your preferred payment method.
Confirm your ride and track your driver in real time.
Enjoy your trip and rate your driver afterward.

Need help? Visit our website for more info: 
Australia: https://web.didiglobal.com/au/
New Zealand: https://web.didiglobal.com/nz/
Or you can contact customer service through the app for further support.",2018-04-23T01:28:24Z,2025-11-14T02:45:03Z
nz,New Zealand,Travel,6003,8,401626263,Airbnb,"Airbnb, Inc.",https://apps.apple.com/nz/app/airbnb/id401626263?uo=4,0.0,4.74993,17340,Travel,"AIRBNB MORE THAN AN AIRBNB
The world is endlessly interesting and with Airbnb, you can explore it in more ways than ever. Find remarkable homes, unforgettable experiences and incredible services, all in one app. Get inspired, book and go.

BOOK A HOME AND GO WHERE HOTELS CAN’T
Explore 8+ million holiday rentals in 240+ countries and regions to find the perfect stay for every kind of trip, whether you’re travelling alone or with a group. Use over 80 filtering options to find the amenities you want, like a pool, a kitchen or accessibility features, such as a step-free entry. View all the details of a place at a glance on the listing page and check out the ratings and reviews to see what other guests who’ve stayed there think about it, too.

DON’T JUST SEE A PLACE, EXPERIENCE IT
Find thousands of experiences around the world, hosted by locals who know their city best—all vetted for quality based on a host’s expertise, reputation and authenticity. Uncover unique perspectives on landmarks and museums. Get a taste of local cuisine through cooking classes and food tours. Enjoy the great outdoors, an art workshop, a live performance and much more. Plus, check out Airbnb Originals—extraordinary experiences hosted by the world’s most interesting people, designed exclusively for Airbnb.

MAKE YOUR STAY EVEN MORE SPECIAL WITH INCREDIBLE SERVICES
Make the most of your stay by booking incredible services at your Airbnb, like private chefs, photography, catering, prepared meals, hair styling, nail treatments, makeup, massages, personal training and spa treatments—each offered by experienced service hosts who have been vetted for quality. You can book thousands of professional services at nearly every price, all in one app, all over the world. Best of all, you don’t need to stay at an Airbnb or even be on a trip to get these services. Schedule a blow dry, training session and more, right at home.

GET A TRAVEL APP THAT TRAVELS WITH YOU
After you book a home, you’ll receive personalised recommendations on the home page suggesting services and experiences for your trip, tailored to where you’re staying and who you’re travelling with. The redesigned Profile gives you a snapshot of all the places you’ve been to on Airbnb and the people you’ve met along the way.

FIND ALL YOUR TRIP INFO IN ONE PLACE
Quickly find or share the details of your reservation—making it easier for everyone to get there, get inside and get connected to Wi-Fi with just a tap. Our in-app messaging means every guest on the trip can easily communicate with hosts to say hi, ask questions and receive to-the-minute booking updates. You can also share photos, videos and even customise an Airbnb Service, all in the same chat. With a day-by-day view of everything you booked in the updated Trips tab, it’s simple to keep track of your plans and get key details like check-in times, special instructions and entry codes all in one place, even when you’re offline.

WANT TO HOST? AIRBNB MAKES IT EASY.
Whether you want to host a home, experience or service, you can reach millions of people travelling and grow your business on Airbnb. List your home in a few simple steps. Or, you can apply to host an experience or service and once approved, you’re ready to welcome the world.

YOU’VE COME THIS FAR—NOW GO FURTHER
Stop reading and fire up the app to book yourself a one-of-a-kind trip on Airbnb.",2010-11-10T12:54:20Z,2025-11-19T19:27:17Z
nz,New Zealand,Travel,6003,9,950420961,ParkMate (NZ),Advam Pty Ltd,https://apps.apple.com/nz/app/parkmate-nz/id950420961?uo=4,0.0,4.41324,11475,Travel,"Do more with ParkMate

Parking woes? Say no more. ParkMate is here to help you find a car park, get directions, and pay for your parking, every time you need to park. Choose from over 400 car parks across New Zealand.

How ParkMate helps you:

· Convenient – search for car parks close to your destination to save time.
· Cost effective – no need to guess your time, simply use the Start-Stop option when you park and end your Active session when you are finished. You can also Extend your session from the app if you’re using a prepaid option.
· Reminders – set up reminders to notify you that you have a session running or if it’s about to expire.
· Favourites – if you park in the same car park often, you can set up a specific car park or session as a favourite and start a parking session each day with only three touches.
· Bundles and Promotions – save on parking all over New Zealand with promo codes and bundle purchases.
· Ticketless - no need to display anything on your dashboard. It’s all monitored digitally.
· Transaction history – keep track of when and where you have parked and get receipts resent through the Transaction History section in the main menu.
· Contactless – to help keep you safe.

ParkMate also caters to businesses:

· Fleet Parking – we provide a simple, centralised platform to manage your fleets parking needs
· Staff Parking - we can set your car park up for only your staff to use, pre-book and view occupancy before they arrive.
· Customer Parking - providing parking for your customers is a breeze with ParkMate’s Customer parking solutions
· Marketing - you can take advantage of our marketing tools and have customised messaging to your users via EDM, splash screens, push notifications or text.
 
ParkMate. Do more.

Visit www.parkmate.co.nz for more information.",2015-03-30T07:32:04Z,2025-07-28T13:31:40Z
nz,New Zealand,Travel,6003,10,1157169797,Gaspy,Hello World Limited,https://apps.apple.com/nz/app/gaspy/id1157169797?uo=4,0.0,3.607,514,Travel,"Welcome to Gaspy – Cheaper Fuel Together

Gaspy is your free, easy-to-use app for finding the cheapest fuel near you. With prices crowd-sourced by a community of like-minded motorists, Gaspy helps you save money every time you fill up.

Join the Carmunity of over a million Gas Spies who share live fuel prices across the country. It's not just about savings – it's fun too! Earn Spy Hats, Coins, and Badges as you rise through the ranks and prove your price-spotting prowess.

Upgrade to Gaspy Gold for even more powerful tools and insights to supercharge your fuel savings.

Gaspy is currently available to use in New Zealand and the United Kingdom.

Download Gaspy today and enjoy the benefits of Cheaper Fuel Together.",2016-10-11T13:54:14Z,2025-10-15T01:24:51Z
