country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
pk,Pakistan,Social Networking,6005,1,310633997,WhatsApp Messenger,WhatsApp Inc.,https://apps.apple.com/pk/app/whatsapp-messenger/id310633997?uo=4,0.0,4.59347,895624,Social Networking,"WhatsApp from Meta is a free messaging and calling app used by over 2 billion people across 180+ countries. It's super simple, reliable and private, making it perfect for staying in touch with your friends and family worldwide. WhatsApp works across mobile, tablet, and desktop even on slow connections, with no subscription fees*.

Private messaging and calls across the world

Your privacy is our priority. With end-to-end encryption, you can be sure that your personal messages and calls stay between you and who you send them to. And no one, not even WhatsApp, can read or listen to them.

Simple and secure connections, right away

All you need is your phone number - no usernames or logins needed. Easily view your contacts on WhatsApp and start messaging. And what's more, you can easily  link your other devices, including iPads, for seamless connectivity.

High quality voice and video calls

Enjoy free, secure video and voice calls with up to 32 people for free. Your calls work across devices, even on slower connections, using your phone or tablet’s Internet service.

Group chats to keep you in contact

Stay close to friends and family through end-to-end encrypted group chats and calls. Share messages, photos, videos and documents across mobile, tablet, and desktop. You can also use call links and screen-sharing to make group calls and collaboration easy.

Stay connected in real time

You can share your location with those in your individual or group chats while using WhatsApp on your mobile phone. Or record a voice message for those moments when just text isn't good enough.

Share daily moments through Status

Share your everyday life with those who matter. With Status you can share text, photos, video, and GIF updates that disappear after 24 hours. You're always in control of who sees your status. Just choose who you want to share it with - all your contacts or selected ones. And bring your everyday to life.

*Data charges may apply. Contact your provider for details.


---------------------------------------------------------------------------

If you have any feedback or questions, please go to WhatsApp > Settings > Help > Contact Us

Terms of Service: https://www.whatsapp.com/legal/terms-of-service 

Learn more about messaging privately: https://www.whatsapp.com/privacy 

Learn more about WhatsApp safety: https://www.whatsapp.com/security",2009-05-04T02:43:49Z,2025-11-21T02:37:57Z
pk,Pakistan,Social Networking,6005,2,284882215,Facebook,"Meta Platforms, Inc.",https://apps.apple.com/pk/app/facebook/id284882215?uo=4,0.0,4.01302,668269,Social Networking,"Where real people propel your curiosity. Whether you're shopping for second-hand gear, showing a reel to that group who gets it or sharing laughs over fun images reimagined by AI, Facebook helps you make things happen like no other social network.

Explore and expand your interests: 
* Ask Meta AI to search topics that matter to you and get instant results more interactive than just text
* Shop Marketplace for deals and hidden gems to nurture your hobbies
* Personalise your Feed to see more of what you like and less of what you don't
* Dive into reels and videos for how-to's or quick entertainment

Connect with people and communities:
* Join groups to learn tips from real people who've been there and done that
* Turn on sharing to Instagram to save time
* Privately message relatable posts that only your BFF will get, or that Reels trend everyone's talking about

Share your world:
* Use generative AI to delight friends with custom images, or just get help with writing posts
* Customise your profile to choose how you appear and who sees your posts
* Effortlessly create reels from trending templates or showcase your creativity with a full suite of editing tools
* Capture moments on the fly with stories

Terms and Policies: https://www.facebook.com/policies_center",2019-02-05T08:00:00Z,2025-11-22T12:57:53Z
pk,Pakistan,Social Networking,6005,3,6446901002,Threads,"Instagram, Inc.",https://apps.apple.com/pk/app/threads/id6446901002?uo=4,0.0,4.5292,26304,Social Networking,"Say more with Threads — Instagram’s text-based conversation app.

Threads is where communities come together to discuss everything from the topics you care about today to what’ll be trending tomorrow. Whatever it is you’re interested in, you can follow and connect directly with your favorite creators and others who love the same things — or build a loyal following of your own to share your ideas, opinions and creativity with the world!

A few things you can do on Threads…

■ Access your Instagram followers
Your Instagram username and verification badge are reserved for you. Automatically follow the same accounts you follow on Instagram in a few taps, and discover new accounts too.

■ Share your point of view
Spin up a new thread to express what's on your mind. This is your space to be yourself, and you control who can reply.

■ Connect with friends and your favorite creators
Jump to the replies to get in on the action and react to commentary, humor and insight from the creators you know and love. Find your community and connect with people who care about whatever it is you’re interested in.

■ Control the conversation
Customize your settings and use controls to manage who can see your content, reply to your threads, or mention you. Accounts you’ve blocked will carry over from Instagram, and we’re enforcing the same Community Guidelines to help ensure everyone interacts safely and authentically. 

■ Find ideas and inspiration
From TV recommendations to career advice, get answers to your questions or learn something new from crowd-sourced conversations, thought leaders and industry experts.

■ Never miss a moment
Stay on top of the latest trends and live events. Whether it’s about new music, movie premieres, sports, games, TV shows, fashion, or the latest product releases, find discussions and receive notifications any time your favorite profiles start a new thread.

■ Leap into the fediverse
Threads is part of the fediverse, a global, open, social network of independent servers operated by third parties around the world. Servers share information with each other to enable people to connect and discover new things across the fediverse.


Meta Terms: https://www.facebook.com/terms.php
Meta Privacy Policy: https://privacycenter.instagram.com/policy
Threads Supplemental Privacy Policy: https://help.instagram.com/515230437301944
Threads Supplemental Terms: https://help.instagram.com/769983657850450
Instagram Community Guidelines: https://help.instagram.com/477434105621119
Consumer Health Privacy Policy: https://privacycenter.instagram.com/policies/health

Learn how we're working to help keep our communities safe across Meta technologies at the Meta Safety Center: https://about.meta.com/actions/safety",2023-07-05T07:00:00Z,2025-11-19T23:58:42Z
pk,Pakistan,Social Networking,6005,4,1500560488,Belong - Meet New People,Askwho FZ LLC,https://apps.apple.com/pk/app/belong-meet-new-people/id1500560488?uo=4,0.0,4.80378,1004,Social Networking,"Get social in your city with Belong your free social network, which is the easiest way to meet likeminded people.

Create - Discover thousands of local content creators or become one yourself by sharing moments around the city with other local people.

Match – Find that match you have been looking for and let us match you based on compatibility. With millions of matches made monthly you can be sure to find yours!

Events – No plans this weekend?  No problem!  Join local events or create one, monetise your skills with likeminded people and do more together in real life. With hundreds of events happening each week, get ready to have a busy social calendar!

Connect - Besties, buddies, your boys, the girls…Broskis? Whatever you call them find yours right here through shared interests, posts, events, or chats!  There are so many ways to find your tribe and vibe.

Real – You can be sure verified profiles are the real deal. So, get your blue badge today and join in the hype.

Community – We provide an empowering and supportive platform that is moderated for the safety of our community members.

Groups – With over 150 topics, we have something for everyone at Belong!

Let’s Go – It’s time to tap into the city you are in or the one you are going to. Are you ready?

Subscription Information – Although Belong is free we also offer a monthly, 3 month, and 6-month subscription plans with varying discounts. The prices may vary per country and are subject to change without notice. Prices are clearly displayed in the app. The purchase will be charged to your Apple account. If you choose to subscribe you can manage your subscription from settings in the App Store purchase section. Cancel the auto-renewing subscription from there at any time.",2020-07-01T07:00:00Z,2025-11-21T01:08:37Z
pk,Pakistan,Social Networking,6005,5,454638411,Messenger,"Meta Platforms, Inc.",https://apps.apple.com/pk/app/messenger/id454638411?uo=4,0.0,4.31417,124802,Social Networking,"Be together whenever, with our free* all-in-one communication app, complete with unlimited text, voice, video calling and group video chat features.

 PRIVACY SETTINGS
 New privacy settings let you choose who can reach you, and where your messages are delivered.

 CUSTOM REACTIONS
 Lost for words? You can customise your reactions, with lots more emojis to choose from.

 CHAT THEMES
 Choose from fun themes and colours, such as Tie-dye or Love, to make your chats more personal.

 WATCH TOGETHER
 Watch videos, tv programmes and films with your friends over Messenger video chat and Rooms when you can't be together. Capture every moment and reaction in real time.

 FREE* VIDEO CALLS TO STAY CONNECTED
 Keep your friends and family close with unlimited live video chatting. Host group video calls with up to eight people, with high-quality audio, high-definition video and interactive video features such as face filters.

 UNLIMITED FREE* TEXT AND PHONE CALLS
 Skip exchanging phone numbers and simply send a message to your Facebook friends, even if they're across the world. Enjoy high-quality voice and text messaging on mobile, tablet and desktop.

 TURN OFF THE LIGHTS IN DARK MODE
 Give your eyes some rest with a sleek new look that darkens the colours of the chat interface.

 RECORD AND SEND VOICE AND VIDEO MESSAGES
 When text just won't cut it, just hit record and send. Say, sing, show or shout it out loud.

 EXPRESS YOURSELF WITH STICKERS, GIFS AND EMOJIS
 Use custom stickers to show your creative side. You can even add effects and filters to video calls.

 SEND FILES, PHOTOS AND VIDEOS
 There's no limit to the number of files you want to share with your friends.

 PLAN AND MAKE IT HAPPEN
 Make plans to get together with polls and more. Suggest a meeting spot or tell friends where you are by sharing your location with just a few taps.

 SEND AND REQUEST MONEY WITH NO FEES
 Send and receive money securely and quickly – right in the app. Split payments in group chats to share rent, travel and other expenses. Start sending money to friends and family by adding your debit card, PayPal account (fees may apply) or prepaid card. Only available in the US.

 CHAT WITH BUSINESSES
 Easily connect with your favourite businesses to make reservations, get customer support, find deals and more.

 COMPATIBLE ACROSS PLATFORMS
 Chat with friends across an array of devices, such as desktop, Portal and others.

 Privacy Policy: https://www.facebook.com/about/privacy/
 LEARN MORE about Messenger texting and group video chat at: http://messenger.com

 * Data rates apply
 Some Messenger features may not be available in your country or region.

Learn how we're working to help keep our communities safe across Meta technologies at the Meta Safety Center: https://about.meta.com/actions/safety",2011-10-19T22:39:30Z,2025-11-19T08:58:25Z
pk,Pakistan,Social Networking,6005,6,686449807,Telegram Messenger,Telegram FZ-LLC,https://apps.apple.com/pk/app/telegram-messenger/id686449807?uo=4,0.0,3.43159,4919,Social Networking,"Pure instant messaging — simple, fast, secure, and synced across all your devices. One of the top 5 most downloaded apps in the world with over 1 billion active users.

FAST: Telegram is the fastest messaging app on the market, connecting people via a unique, distributed network of data centers around the globe.

SYNCED: You can access your messages from all your phones, tablets and computers at once. Telegram apps are standalone, so you don’t need to keep your phone connected. Start typing on one device and finish the message from another. Never lose your data again.

UNLIMITED: You can send media and files, without any limits on their type and size. Your entire chat history will require no disk space on your device, and will be securely stored in the Telegram cloud for as long as you need it. 

SECURE: We made it our mission to provide the best security combined with ease of use. Everything on Telegram, including chats, groups, media, etc. is encrypted using a combination of 256-bit symmetric AES encryption, 2048-bit RSA encryption, and Diffie–Hellman secure key exchange. 

100% FREE & OPEN: Telegram has a fully documented and free API for developers, open source apps and verifiable builds to prove the app you download is built from the exact same source code that is published. 

POWERFUL: You can create group chats with up to 200,000 members, share large videos, documents of any type (.DOCX, .MP3, .ZIP, etc.) up to 2 GB each, and even set up bots for specific tasks. Telegram is the perfect tool for hosting online communities and coordinating teamwork.

RELIABLE: Built to deliver your messages using as little data as possible, Telegram is the most reliable messaging system ever made. It works even on the weakest mobile connections. 

FUN: Telegram has powerful photo and video editing tools, animated stickers and emoji, fully customizable themes to change the appearance of your app, and an open sticker/GIF platform to cater to all your expressive needs.

SIMPLE: While providing an unprecedented array of features, we take great care to keep the interface clean. Telegram is so simple you already know how to use it.

PRIVATE: We take your privacy seriously and will never give any third parties access to your data. You can delete any message you ever sent or received for both sides, at any time and without a trace. Telegram will never use your data to show you ads.

For those interested in maximum privacy, Telegram offers Secret Chats. Secret Chat messages can be programmed to self-destruct automatically from both participating devices. This way you can send all types of disappearing content — messages, photos, videos, and even files. Secret Chats use End-to-End Encryption to ensure that a message can only be read by its intended recipient.

We keep expanding the boundaries of what you can do with a messaging app. Don’t wait years for older messengers to catch up with Telegram — join the revolution today.

Terms of Use: https://www.apple.com/legal/internet-services/itunes/dev/stdeula/",2013-08-14T07:00:00Z,2025-11-19T15:52:30Z
pk,Pakistan,Social Networking,6005,7,336435697,imo-International Calls & Chat,imo.im,https://apps.apple.com/pk/app/imo-international-calls-chat/id336435697?uo=4,0.0,4.28135,8214,Social Networking,"imo is a FREE, simple, and secure international video call & instant messaging app.  It's used by over 200M people in more than 170 countries and regions, supporting 62 languages. imo brings innovative solutions for seamless communication capabilities and allowing people to share key moments with each other.

■ Free & HD Video Calls
Over 300 million times of video calls are made through imo every day. Make international calls to your friends & family for FREE. You can also create group chat with friends, free talk to them in one group. Experience crystal clear & HD quality instant video calls to friends and family all around the world. Avoid SMS and phone call charges, no fees or subscription for every message or call, free in anyway.

■ International & Reliable Call
Consistent & stable international audio or video calls over 2G, 3G, 4G, 5G, or Wi-Fi connection*. Send text or voice messages or video calls all over the world with your friends and family and other contacts easily and quickly, even the signal under a bad network.

■ imo Messenger
Connect with your loved ones through calls and messages. You can share photos and videos, send and receive voice messages or documents of any type (.DOC, .MP3, .ZIP, .PDF, etc.) All of your message history and files can be securely synced in imo Cloud to free up your phone storage.

■ Chat Privacy
imo ensures maximum privacy protection for your messages. We use Time Machine, Disappearing Message, SecretChat, Block Screenshot and End-to-End Encryption to enhance your chat privacy. You can erase any chat messages, set message timers, and block screenshot, copy, share, and download for privacy chats.

■ Instant Message Translation
Translate effortlessly for seamless cross-language conversations. imo provides you with convenient instant message translation for text messages.

■ Hajj & Umrah Assistant
Providing step by step assistance to performing an Umrah, we make Hajj & Umrah easier and securer for Muslims worldwide. Umrah assistant helps pilgrims with information regarding the Umrah processes through Umrah tips, Umrah location sharing, one-tap navigation, and communication opportunities for pilgrims.

■ Global Web Call
Share a single link for free cross-platform calls. Based on WebRTC technology, we allow users to make clear and uninterrupted voice calls and messaging over the Internet with their loved ones, regardless of them being an imo user or not.

■ VoiceClub
You can make friends and share happiness with voice chat. Voiceclub allows everyone to create their own room or join others' rooms to enjoy or listen to chat. Channels also host events like talent show, talk show, competition, game or ceremony.

* Data charges may apply. Contact your provider for details.

Official website: https://imo.im/
Privacy Policy: https://imo.im/policies/privacy_policy.html
Terms of Service: https://imo.im/policies/terms_of_service.html
Feedback Center: https://activity.imoim.net/feedback/index.html",2009-12-05T03:07:39Z,2025-11-23T10:20:12Z
pk,Pakistan,Social Networking,6005,8,1574436604,SUGO: Online Chat Party,MOBILE ALPHA LIMITED,https://apps.apple.com/pk/app/sugo-online-chat-party/id1574436604?uo=4,0.0,2.59459,37,Social Networking,"Welcome!
SUGO is a popular party room application, which you can connect with others, chat with anyone you want, join various voice room. We offer you the best social experience. Chatting online anytime with local users amp. Forget about boredom in our diversified chatting rooms. Fun is right in the palm of your hands!

Enjoy your pleasure with so many cool features in SUGO!

【 Party Rooms】Top ranking party rooms for you to choose. Communicate with people from all over the world. Turn on your mic, and start chatting!

【Party Chat】Quickly Start a chat, no longer feel embarrassment through our smart topics robot to say hello, which can help you break the ice quickly and express yourself easily.

【Various Options】Message, pictures...We encourage people to open chatting through text chats that know each other better and ensure a safe community environment.Most of our users have become amigos by taking the first moves inspired by SUGO's multiple features.

【Share your moments】Share your story with the world! Show us your funny pictures or charming voice by posting moments to earn likes, moments and gifts!

【Multiple of gifts and medals】We have animated gifts, festival gifts and gifts for specific events to show your adoration!You can have a cool entry driving machine and medal to show who you are!Send the coolest gifts to light up the mood and say goodbye to that initial awkward silence.

【Authenticity of users guaranteed】SUGO is a safe and worldwide social platform, all registered users must be reviewed by a strictly verified of information authenticity, and chat content is completely confidential!

We have plentiful users and hosts from across the globe waiting to connect! Join any of the thousands of group chat Audio Rooms, live chat with people worldwide!Do not hesitate! Download SUGO now and start chat online for free.
Contact UsEmail：support@sugo.com",2023-04-10T07:00:00Z,2025-11-21T03:59:55Z
pk,Pakistan,Social Networking,6005,9,1509635224,YoHo - Group Voice Chat,MOBILE ALPHA LIMITED,https://apps.apple.com/pk/app/yoho-group-voice-chat/id1509635224?uo=4,0.0,4.35354,99,Social Networking,"Anonymous chat is easier and voice chat is more fun!

If you want to chat with someone, try our app-YoHo. It only takes 1 second to create a voice group room or join other chat rooms which can chat, sing.

We are #YoHo! Have fun with your voice.

We are #YoHo! Chat with you with music.

We are #YoHo! Get more smiles with a group of funny people.

We are #YoHo! group voice chat app.

Join a seat to chat in different rooms

In YoHo, you can enjoy a fluent, high-quality voice chat, where you can speak your mind.


FEATURES:

#group voice chat

Create a group voice chat room, invite others to join in the chat room, use text or voice to chat, enjoy the fun of a great voice chat party.

#Voice chat tag

You can add topic tags to your voice chat rooms. There are different chat tags for music, chatting, Karaoke, Truth or Dare game, and tons more. You can choose the chat room which you are interested in according to the topic. The tag will help you find others with the same interests more accurately so that you guys will have more topics to talk about.

#Awesome virtual gifts

YoHo offers lots of amazing virtual gifts and you can send cute virtual gifts whenever you want. 

#10 seconds to register

Use a message and Facebook to sign up for a YoHo account. It is easier and saves you more time. Enjoy your voice chat experience quickly and easily.",2020-05-08T07:00:00Z,2025-11-22T10:01:23Z
pk,Pakistan,Social Networking,6005,10,1263036818,botim,Algento Cloud Computing Limited,https://apps.apple.com/pk/app/botim/id1263036818?uo=4,0.0,4.30556,12230,Social Networking,"New botim — Connect. Pay. Explore. All in One App. 

Smarter Calling with Botim 
  - HD voice and video calls with crystal clarity 
  - AI filters and effects to enhance your call experience 
  - Call-hold support and picture-in-picture mode 
  - Secure and reliable, even on low bandwidth 

Next-Level Chat 
  - Sleek, intuitive interface for messaging 
  - Send money directly from your chat screen 
  - Real-time AI translation for seamless conversations 

botim money — money simplified 
  - Send money locally and internationally with ease 
  - Instantly top up your wallet 
  - Get a multi-currency prepaid card 
  - Pay bills, recharge mobile, and more 

botim AI Companion 
  - Your 24/7 smart assistant via voice or chat 
  - Helps with calls, messages, and money transfers 
  - Supports multiple languages for global users 

Ultra Personalization 
  - A dynamic homepage customized to your habits and location 
  - Instantly access services that matter to you 

Experience the power of connection and convenience—Download botim now and simplify how you communicate and manage your money. 

==============================

Subscription and payments term 

Enhance your Botim experience with Botim VIP, offering a premium suite of features for seamless communication and more.

We offer auto-renewing one month and one year in-app subscriptions through which you can enjoy advertisement free experience and other benefits. Subscription prices vary based on your region and local currency. The exact price for your chosen plan will be displayed clearly in the app before you complete your purchase. If you purchase an auto-renewing periodic subscription, you will be billed continuously for the subscription until you cancel it. When the subscription is cancelled, access to VIP benefits will end at the end of current payment period. Subscriptions can be managed and auto-renewal can be turned off by going to your Apple ID Account Settings after purchase.

Privacy policy: https://astratech.ae/platform-terms/privacy-policy/
Terms of use: https://astratech.ae/platform-terms/astra-tech-terms-and-conditions/",2017-08-14T04:33:10Z,2025-11-21T05:58:41Z
