country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
pa,Panama,Navigation,6010,1,585027354,Google Maps,Google LLC,https://apps.apple.com/pa/app/google-maps/id585027354?uo=4,0.0,4.83607,22571,Navigation,"Explora y recorre el mundo con confianza con Google Maps. Encuentra las mejores rutas para conducir, caminar, ir en bicicleta o en transporte público con datos del tráfico y navegación GPS en tiempo real. Descubre más de 250 millones de empresas y lugares, desde restaurantes y tiendas hasta básicos del día a día, con fotos, opiniones y datos útiles.

Recorre el mundo de la forma que quieras:
• Elige rutas con mayor ahorro de combustible para llegar a tu destino.
• Encuentra la mejor ruta con instrucciones de navegación paso a paso por voz o en pantalla en tiempo real.
• Ahorra tiempo con el redireccionamiento automático basado en información en tiempo real sobre el tráfico, incidentes y rutas cerradas.
• Toma a tiempo y fácilmente autobuses, trenes y transportes compartidos gracias a las actualizaciones en tiempo real.
• Encuentra alquileres de bicicletas o monopatines para moverte de forma más simple.

Planifica viajes y experiencias de manera fácil:
• Explora un lugar antes de ir (p. ej., el estacionamiento o las entradas) con Street View.
• Usa Immersive View para recorrer puntos de referencia, parques y rutas; hasta puedes consultar el clima para prepararte con anticipación.
• Crea listas personalizadas de tus lugares guardados favoritos y compártelas con otras personas.
• Pide comida para llevar o con entrega a domicilio, y haz reservas en restaurante y hoteles.
• Usa mapas sin conexión para no perderte en zonas donde no hay buena señal.
• Busca lugares y cosas que hacer en una ciudad, y elige dónde ir según las fotos y las opiniones de los usuarios.

Descubre y explora lugares como un habitante local:
• Explora lugares con la confianza de saber que 500 millones de usuarios colaboran y mantienen actualizados los mapas todos los años.
• Evita las multitudes consultando qué tan concurrido está un lugar antes de ir.
• Usa Lens en Maps para ver instrucciones sobre cómo llegar a pie superpuestas a la vista del mundo real.
• Filtra restaurantes según el tipo de comida, el horario de atención, el precio, la calificación y mucho más.
• Haz preguntas sobre un lugar, desde qué platos ofrece hasta si cuenta con estacionamiento, y recibe respuestas rápidas.

Algunas funciones no están disponibles en todos los países o ciudades.
La navegación no está diseñada para vehículos de gran tamaño ni de emergencia.",2013-07-17T04:03:28Z,2025-11-20T16:03:21Z
pa,Panama,Navigation,6010,2,323229106,Waze Navegación y Tráfico,waze,https://apps.apple.com/pa/app/waze-navegaci%C3%B3n-y-tr%C3%A1fico/id323229106?uo=4,0.0,4.86071,6677,Navigation,"Conoce las condiciones en la ruta con la ayuda de otros conductores. Waze es un mapa en tiempo real que aprovecha los conocimientos locales de decenas de millones de conductores en todo el mundo. Las diversas funciones de los mapas de Waze permiten que los conductores lleguen cada día a sus destinos de forma segura y confiable: navegación por GPS, actualizaciones del tráfico en vivo, alertas de seguridad en tiempo real (incluida información sobre construcciones, accidentes automovilísticos, controles policiales, baches, entre otros) y horas de llegada estimada precisas.


Haz que tu próximo viaje sea sin sorpresas ni estrés:
• Llega a destino más rápido con instrucciones sobre cómo llegar en tiempo real, horas de llegada estimadas precisas y redireccionamiento automático en función de información en tiempo real sobre el tráfico, los incidentes y las rutas cerradas.
• Incluso si ya conoces el camino, puedes evitar sorpresas en la ruta con las alertas de seguridad en caso de accidentes automovilísticos, construcciones, objetos en la ruta, baches, reductores de velocidad, curvas pronunciadas, mal tiempo, vehículos de emergencia, cruces ferroviarios y mucho más.
• Evita multas con información sobre la presencia de controles policiales y la ubicación de radares de velocidad y cámaras en semáforos.
• Comparte con otros conductores lo que sucede en la ruta informando incidentes y peligros en tiempo real.
• Mantente informado de futuros cambios en los límites de velocidad y ten tu velocímetro bajo control.
• La indicación de varios carriles te permitirá saber qué carril debes tomar.
• Consulta los precios de los peajes y decide si deseas evitarlos en tus rutas.
• Agrega pases de rutas y viñetas de peaje para los carriles VAO y las zonas de tráfico restringido.
• Encuentra gasolineras (y sus precios) y estaciones de carga de VE en tu ruta.
• Encuentra estacionamientos cerca de tu destino.
• Utiliza la navegación paso a paso guiada por voz en una variedad de idiomas, acentos locales y tus celebridades favoritas.
• Planifica tu próximo viaje revisando las horas de llegada estimadas según las futuras horas de salida o llegada.
• Utiliza tus aplicaciones de audio favoritas (para podcasts, música, noticias y audiolibros) directamente en Waze.
• Sincroniza Waze con la pantalla integrada de tu automóvil con Apple CarPlay.


* Algunas funciones no están disponibles en todos los países.


* La navegación de Waze no está pensada para vehículos de emergencia o de gran tamaño.


Administra tu configuración de privacidad en la app cuando quieras. Obtén más información sobre la política de privacidad de Waze en www.waze.com/legal/privacy.",2009-08-01T21:14:40Z,2025-11-10T12:05:02Z
pa,Panama,Navigation,6010,3,498477945,Moovit: Transporte público,Moovit App Global LTD,https://apps.apple.com/pa/app/moovit-transporte-p%C3%BAblico/id498477945?uo=4,0.0,4.60625,320,Navigation,"Moovit es la aplicación para todos tus viajes de movilidad urbana y transporte.
 
El transporte es una parte integral de la vida urbana. Ya sea que viajes en tren, metro,  autobús, tren ligero o ferry, uses scooters, bicicletas o compartas el viaje en Uber, obtener la mejor información sobre movilidad es fundamental. Moovit te guía desde el punto A hasta el punto B de la manera más fácil y eficiente. Obtén horarios e indicaciones de trenes y autobuses, mapas, y tiempos de llegada en tiempo real con facilidad para que puedas planificar tu viaje con confianza. Encuentra alertas críticas e interrupciones en el servicio para tus líneas favoritas.
 
Moovit guía a más de 865 millones de usuarios en más de 3200 ciudades de todo el mundo. Los usuarios encontrarán horarios de autobuses y trenes actualizados, mapas de transporte y, donde esté disponible, llegadas en tiempo real. Ubica las paradas de autobús y estaciones de tren cercanas, recibe alertas para saber dónde bajar y tener un viaje sin problemas. Es por esto que Moovit ha sido nombrada entre las mejores apps del año en 2017 por la App Store.
 
► La herramienta ¡Vamos! Y las notificaciones te guiarán paso a paso en tiempo real durante tu trayecto para que sepas hacia donde caminar, cuánto durará la espera y cuántas paradas faltan hasta tu destino. Además tienes la sección de “mapas sin conexión” en el que puedes descargar los mapas de tren, autobús y metro de tus líneas favoritas.
 
► Bicicletas Compartidas - Para los días soleados, días en los que no deseas caminar, días en que te gustaría hacer un poco de ejercicio extra y más
 
► Tiempo real de llegada (en ciudades en las que esté disponible) te permite saber cuándo debes estar en una parada o cuánto tiempo tienes para hacer cualquier otra cosa mejor que esperar en la parada.
 
► Cobertura global en más de 3200 ciudades lo que significa que cuando viajes, podrás usar el transporte público como cualquier local.
 
► Pantalla exclusiva para ver el mapa de tren por paradas, estaciones exactas de autobuses y recorridos completos de cualquier línea.
 
► La Pantalla de Favoritos te permite guardar ubicaciones y líneas usadas frecuentemente con un solo toque. Puedes guardar los mapas de tren, autobús o metro y ahorrar mucho tiempo.
  
► Alertas de Servicio que te mantienen informado para que no te quedes esperando un autobús que no llegará o sentado en la estación de tren a causa de un retraso. Al guardar tus líneas favoritas, Moovit te enviará un mensaje cuando haya un problema que podría afectar tus viajes.
 
► ¿Viajas a otra ciudad? Anticipa tu viaje y mira de antemano los mapas de tren, recorrido de autobuses y estaciones de metrobús para aprovechar al máximo tu estadía.
 
Usa Moovit en las principales ciudades de toda Latinoamérica:
Buenos Aires
Santiago de Chile
Ciudad de México
Montevideo
Bogotá
Santo Domingo
Caracas
Y más

Moovit colabora con los principales operadores de transporte nacionales, tales como:
•Metro de Santiago
•Metrobús
•DOTA
Y más

Bicicletas públicas y transportes alternativos proporcionados por: 
•Bike Santiago
•Ecobici
• Y más
 

Puedes encontrarnos en cientos de lugares de todo el mundo, tales como:
Europa
Asia
Norte América
y más
 
Solo necesitas una aplicación en tu teléfono para viajar en transporte público en los EE. UU. y en otros 106 países y en 45 idiomas. Si deseas conocer los horarios de los autobuses y los trenes en Londres, Barcelona, ​​Madrid o Roma, o si necesitas saber cuándo sale el último autobús de una determinada parada en Río de Janeiro, São Paulo, Melbourne, Seúl. , Moovit te guiará.

 
Tienes ideas, comentarios o preguntas? Contáctanos:
 
https://moovitapp.zendesk.com/hc/requests/new
moovit@Facebook, Twitter

Condiciones de Servicio
https://moovitapp.com/en-us/legal/terms-of-service-en",2012-04-27T07:00:00Z,2025-10-26T07:14:19Z
pa,Panama,Navigation,6010,4,6743714885,Tylo,Moopri Latam SA,https://apps.apple.com/pa/app/tylo/id6743714885?uo=4,0.0,4.42856,14,Navigation,"Tylo es una aplicación revolucionaria de transporte diseñada para mejorar la experiencia de movilidad en Panamá, enfocándose en la comodidad, la seguridad y las recompensas para sus usuarios. Con un enfoque centrado en la tecnología y la satisfacción del cliente, Tylo redefine cómo los pasajeros y conductores interactúan con los servicios de transporte.



Beneficios Principales de Tylo



Sistema de Recompensas por Viajes:
Con Tylo cada viaje cuenta. Los usuarios acumulan puntos por cada trayecto realizado, que luego pueden canjear en un exclusivo marketplace. Desde descuentos en viajes futuros hasta productos y servicios, las recompensas están diseñadas para maximizar el valor de cada experiencia de transporte.



Seguridad Garantizada:
Tylo pone la seguridad como prioridad. Los conductores pasan por rigurosos procesos de verificación, incluyendo revisiones de antecedentes y capacitación. 



Facilidad de Uso:
La interfaz de la aplicación es intuitiva y fácil de usar, permitiendo a los pasajeros solicitar un viaje en pocos pasos.



Conexión entre Usuarios y Conductores:
La plataforma está diseñada para crear una experiencia fluida y confiable. Los conductores pueden acceder a clientes de manera eficiente, mientras que los usuarios disfrutan de un servicio profesional y de calidad.



Características Clave de Tylo



Seguimiento en Tiempo Real:
Los usuarios pueden rastrear su viaje en tiempo real desde la aplicación, asegurándose de llegar a su destino de manera segura y puntual.



Atención al Cliente 24/7:
Tylo ofrece soporte continuo para resolver cualquier duda o problema que puedan tener los usuarios.



Categorías de Vehículos:
La app permite elegir entre diferentes tipos de vehículos, adaptándose a las necesidades específicas de cada pasajero, ya sea un viaje individual, en grupo o de lujo.



Por Qué Elegir Tylo



Tylo no es solo un medio de transporte, es una experiencia completa que premia a sus usuarios. Con su enfoque en la fidelidad y la gratificación, Tylo convierte cada trayecto en una oportunidad para ganar y disfrutar de beneficios exclusivos.



Beneficios para los Conductores



Mayor ingreso: Acceso a un flujo constante de clientes.



Flexibilidad: Libertad para elegir horarios y maximizar ganancias.



Incentivos Adicionales: Recompensas basadas en el rendimiento y la calidad del servicio.



Una Plataforma en Constante Evolución



El compromiso de Tylo con la innovación asegura que la aplicación se mantenga actualizada con las últimas tecnologías y necesidades de sus usuarios. Con actualizaciones regulares y mejoras continuas, Tylo está siempre un paso adelante en la industria del transporte.



Descubre el Futuro del Transporte



Descarga Tylo hoy y experimenta una nueva forma de viajar en Panamá. Con seguridad, conveniencia y recompensas en cada viaje, Tylo se convierte en el aliado perfecto para tus desplazamientos diarios. No solo llegues a tu destino, haz que cada viaje cuente.",2025-03-26T07:00:00Z,2025-11-12T23:24:42Z
pa,Panama,Navigation,6010,5,1233517357,新加坡地图 - 海鸥新加坡中文旅游地图导航,GULL INTERNATIONAL TOUR LIMITED,https://apps.apple.com/pa/app/%E6%96%B0%E5%8A%A0%E5%9D%A1%E5%9C%B0%E5%9B%BE-%E6%B5%B7%E9%B8%A5%E6%96%B0%E5%8A%A0%E5%9D%A1%E4%B8%AD%E6%96%87%E6%97%85%E6%B8%B8%E5%9C%B0%E5%9B%BE%E5%AF%BC%E8%88%AA/id1233517357?uo=4,0.0,0,0,Navigation,"出境游就这么简单，我们不一样！！！
新加坡离线导航 / 360°街景
新加坡公共交通查询 / 旅行圈子互动

出境旅游，如果你是懒人，请用新加坡地图！
如果你是精明的规划者，请用新加坡地图！！！

【中文数据】
新加坡超多旅行点中文地图标注，语言再也不是障碍！景点点击可查看当前地点的地区排名、评分 、地址、营业时间、电话、交通、人均消费、官网地址、简介等旅游详细信息。

【离线导航】
新加坡数据切分，已根据您的需求下载本地包，在国外不需要网络就能享受离线服务。路径规划、定位、搜索、导航，不知道在哪没关系，点一下，立马定位到你周边！不需要流量，不需要网络，再路痴也能用溜溜溜。

【大众交通】
全新加坡的公共交通查询，怎么换地铁，怎么坐大巴？步行怎么走，自行车怎么骑？有了新加坡地图，那都不是事儿！也不用看懂外国站名是啥，到站了地图上直观就能看到！

【全球街景】
在新加坡地图中可以浏览新加坡各个地点的真实环境，360°实景查看，亲临现场的实景感！

【旅游优先】
所有城市展示的不再是杂乱无章的无用数据，旅行数据优先！根据每一个地点的热度、浏览次数、点赞、评分、评论等进行智能排序渲染，最重要的优先展示，直观展示给用户最需要最认可的旅游地点。旅游地标独立渲染，特殊标记！

【社交圈子】
基于地理位置的旅游社交圈子，交友、求助、结伴，可设置的隐私权限，轻松查看你关心的和附近的人、动态，晒图、晒自拍、结伴求助，欢迎留下你的足迹！

海鸥旅游官网：https://cn.gulltour.com/
新加坡地图官网：https://cn.gullmap.com/",2017-05-09T08:32:19Z,2019-12-04T23:58:50Z
pa,Panama,Navigation,6010,6,1491200353,"Famio: Buscar Familia, Amigos",Gismart Ltd,https://apps.apple.com/pa/app/famio-buscar-familia-amigos/id1491200353?uo=4,0.0,3.93413,167,Navigation,"Prioriza la seguridad con Famio.

Diseñado para tu tranquilidad, Famio hace un seguimiento de tus seres queridos para que tú no tengas que hacerlo. Gracias a Famio, siempre sabrás dónde están y si necesitan ayuda.

¿Qué puedes hacer con Famio?

Localiza a tus familiares, niños, amigos y seres queridos en tiempo real, en cualquier momento.
Observa el historial de ubicaciones de tus seres queridos para asegurarte de que todos estén seguros.
Recibe notificaciones cuando lleguen o salgan de casa, el trabajo o la escuela.
Crea grupos separados para familiares y amigos.
Recibe una alerta cuando el teléfono de alguien tenga poca batería, lo que puede afectar tu comunicación.
Lleva tu seguridad al siguiente nivel y concéntrate en tu día, sabiendo que todos están bien. Famio te mantendrá actualizado las 24 horas del día, los 7 días de la semana.

Famio ofrece una variedad de funciones que van más allá del seguimiento de ubicación:

Alertas de emergencia: envía un mensaje de SOS y tu ubicación precisa a amigos, familiares y socorristas con un solo clic.
Reacciones en el mapa: mantente conectado con reacciones rápidas y emojis.
Chat privado: comparte actualizaciones rápidas sin salir de la aplicación.
Modo de conducción: desarrolla mejores hábitos de conducción y asegúrate de que tus seres queridos conduzcan de manera segura.
Modo infantil: Haz que Famio sea súper fácil y útil para los más pequeños.
Alerta de violación de datos: Famio se asegurará de tu seguridad en Internet y la protección de tus datos.
¿Siempre estás preocupado por la seguridad de tus seres queridos y esperando sus mensajes? Famio aliviará tu ansiedad y te ayudará a mantenerte al tanto de las cosas.

Una medida de seguridad adicional nunca está de más. ¡Descarga Famio ahora y mantente informado las 24 horas del día, los 7 días de la semana!

Aviso legal
Ten en cuenta que el seguimiento de ubicación en tiempo real depende de obtener permiso de otro usuario para acceder a sus datos de geolocalización.

La aplicación ofrece los siguientes tipos de suscripción:

- Semanal a 7,99 USD con una prueba gratuita de 3 días, 29,99 USD cada 12 semanas.
- El pago se cargará a la cuenta de iTunes utilizada al confirmar la compra. 
- La suscripción se renueva automáticamente a no ser que la renovación automática se desactive al menos 24 horas antes del final del período actual.
- La suscripción gratuita de prueba se renueva automáticamente salvo que se cancele 24 horas antes de la renovación.
- El usuario gestionará sus suscripciones y podrá desactivar las renovaciones automáticas después de realizar su compra, en la sección “Configuración de la cuenta”.
- El coste de la renovación es igual al valor que la “Matriz de la App Store de Apple"" determina como el equivalente del precio de la suscripción en dólares estadounidenses. 
- En caso de que se ofrezca período de prueba, cualquier tiempo restante del mismo se perderá al pagar una suscripción a esa publicación.

Política de privacidad: https://myfamio.com/privacy-policy
Сondiciones de uso: https://myfamio.com/terms-of-use",2020-10-08T07:00:00Z,2025-10-17T09:47:58Z
pa,Panama,Navigation,6010,7,588364107,Family Locator - GPS tracker,GEO TRACK LABS LTD,https://apps.apple.com/pa/app/family-locator-gps-tracker/id588364107?uo=4,0.0,4.43128,422,Navigation,"Localizador Familiar te permite mantenerte conectado con tus familiares durante el día. ¡Localizador Familiar garantiza la seguridad de tu familia, incluso cuando están lejos!

IMPORTANTE: Compartir la ubicación GPS solo es posible con el consentimiento mutuo de todos los miembros. Comparte tu ubicación solo con personas de confianza.

Con Localizador Familiar también puedes:
• Ver el historial de ubicación de tus familiares durante los últimos 7 días
• Localizar un teléfono robado o perdido si ya instalaste la app
• Recibir notificaciones cuando los familiares rastreados lleguen a su destino
• Configurar zonas seguras basadas en GPS, como la escuela o el hogar, en el mapa familiar
• Crear tus propios grupos en la app

Localizador Familiar mantiene a tu familia segura:
• La app te permite encontrar fácilmente a tus seres queridos con realidad aumentada
• Te mantiene en el mapa familiar incluso si estás ocupado
• Registrarte para compartir tu ubicación con tu familia

Aunque puedes obtener todas las funciones con la versión gratuita, ¡nuestra suscripción te ofrece aún más!

La suscripción Premium incluye:
- Alertas de ubicación ilimitadas
- Historial de ubicación para todos los miembros de la familia
- Encuentra a tus familiares más rápido con RA
- Recibe llamadas de emergencia automatizadas si necesitan ayuda

Los precios de la suscripción pueden variar según la ubicación. El pago se cargará a tu cuenta de iTunes al confirmar la compra. La suscripción se renueva automáticamente a menos que se desactive la renovación automática al menos 24 horas antes del final del período actual. El cargo por renovación se realizará en la cuenta dentro de las 24 horas previas al final del período actual. Puedes administrar las suscripciones y desactivar la renovación automática desde la configuración de tu cuenta después de la compra. La parte no utilizada del período de prueba gratuito (si se ofrece) se perderá al adquirir otra suscripción.

Solicitudes de permisos opcionales:
• Servicios de ubicación: para informar a tu familia sobre tu ubicación actual
• Notificaciones: para informarte sobre los cambios de ubicación de tu familia
• Contactos: para encontrar otros usuarios que se unan a tu círculo
• Fotos y cámara: para cambiar tu foto de perfil
• Seguimiento de aplicaciones: para mostrar anuncios relevantes

Ten en cuenta que compartir la ubicación GPS solo es posible con el consentimiento mutuo de todos los miembros. La privacidad de tu familia es nuestra principal prioridad: comparte tu ubicación solo con personas de confianza.

Para obtener más información sobre nuestra Política de privacidad y Términos de uso, haz clic en:
https://family-locator.com/privacy-policy/
https://family-locator.com/terms-of-use/

Aviso legal: El uso continuo del GPS en segundo plano puede reducir drásticamente la duración de la batería.

Comparte tus comentarios y sugerencias: support@family-locator.com",2013-01-08T08:00:00Z,2025-11-21T12:19:55Z
pa,Panama,Navigation,6010,8,1576223353,A2-20,Sociedad Nacional de Procesamiento de Datos SA (Sonda SA),https://apps.apple.com/pa/app/a2-20/id1576223353?uo=4,0.0,2,1,Navigation,"Localiza los puntos más cercanos para los puntos de recargas en Panamá: Metro de Panamá y MiBus.

Conoce cuáles son los puntos más cercanos a tu ubicación actual: Comercios, Cajeros Automáticos, Zonas Pagas, Estaciones de Metro, y más!

Encuéntralos a dos veinte!",2021-07-14T07:00:00Z,2025-09-30T18:11:07Z
pa,Panama,Navigation,6010,9,461703208,AMap Global,AutoNavi Information Technology Co. Ltd.,https://apps.apple.com/pa/app/amap-global/id461703208?uo=4,0.0,4.79085,153,Navigation,"¡El primer mapa multilingüe de China para usuarios extranjeros se lanza oficialmente!
La elección de 800 millones de usuarios de navegación.
Más de 200 países y territorios cartografiados y cientos de millones de lugares en el mapa.
¡Explora China con AMAP como tu guía!

-Vistas de carril en 3D y semáforos
-Tráfico y horarios en tiempo real
-Cruces detallados, sin perder giros
-Transporte público y rutas en vivo",2011-09-08T22:19:39Z,2025-11-19T07:07:16Z
pa,Panama,Navigation,6010,10,1493743521,Randonautica,"Randonauts, LLC",https://apps.apple.com/pa/app/randonautica/id1493743521?uo=4,0.0,2.66667,9,Navigation,"Quantum random exploration can change reality as you know it. The superpower behind Randonautica gives you a random location to journey to. Set your intention in your mind for what you seek, you will find. 

Reasons to use Randonautica to generate completely random coordinates for you to travel to:

-To go on an unexpected adventure
-To test out quantum entropy and the mind's ability to influence reality
-To break the matrix
-To get some exercise by walking to a random location
-To open a real world portal
-To get off screens and go on an outdoor adventure
-To feel heightened awareness and observation
-To feel being present 
-To find new areas in your neighborhood, town or city
-To connect with other people of similar interests across the globe on Randonautica's in-app Social Media feed, Discover

Randonautica is the first ever quantumly generated adventure game that takes you on a journey of true randomness. The adventure is yours to have and the legend will be yours to tell. Welcome, future Randonauts!

Explore the world beyond the habitual and deterministic patterns of your everyday life, discover adventures right in front of your doorstep. 

End User License Agreement: https://www.apple.com/legal/internet-services/itunes/dev/stdeula/",2020-02-19T08:00:00Z,2025-10-31T17:02:25Z
