country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
pg,Papua New Guinea,Navigation,6010,1,585027354,Google Maps,Google LLC,https://apps.apple.com/pg/app/google-maps/id585027354?uo=4,0.0,4.68687,396,Navigation,"Explore and navigate the world with confidence using Google Maps. Find the best routes with live traffic data and real-time GPS navigation for driving, walking, cycling and public transport. Discover over 250 million businesses and places – from restaurants and shops to everyday essentials – with photos, reviews and helpful information.

Navigate the world, the way that you want:
• Get to where you need to go with fuel-efficient route options
• Find the best route with real-time, turn-by-turn voice and on-screen navigation
• Save time with automatic rerouting based on live traffic, incidents and road closures
• Catch the bus, train and ride-share effortlessly, with real-time updates
• Find bike or scooter rentals to get around more easily

Plan trips and experiences effortlessly:
• Preview an area before you go (e.g. parking, entrances) with Street View
• Use Immersive View to experience what landmarks, parks and routes look like, and even check the weather so that you can be ready in advance
• Create custom lists of your favourite saved places and share with others
• Order delivery and takeaway, make reservations and book hotels
• Don't get lost with offline maps in an area with bad signal
• Search for local places and things to do, and decide based on user reviews and photos

Discover and explore like a local:
• Explore with confidence knowing 500 million users contribute and keep the map up to date each year
• Avoid the crowds by seeing how busy a place is before you get there
• Use Lens in Maps to see walking directions overlaid on the real world
• Filter restaurants by cuisine, hours, price, rating and more
• Ask questions about a place, from dishes to parking, and get quick answers

Some features not available in all countries or cities
Navigation isn't intended to be used by oversized or emergency vehicles",2018-01-24T21:41:57Z,2025-11-20T16:03:21Z
pg,Papua New Guinea,Navigation,6010,2,323229106,Waze Navigation & Live Traffic,waze,https://apps.apple.com/pg/app/waze-navigation-live-traffic/id323229106?uo=4,0.0,5,4,Navigation,"Know what's ahead on the road with the help from other drivers. Waze is a live map that harnesses the local knowledge of tens of millions of drivers around the world. Drivers safely and confidently reach their everyday destinations thanks to Waze map’s GPS navigation, live traffic updates, real-time safety alerts (including roadworks, accidents, crashes, police, potholes and more) and accurate ETAs.


Make your next drive more predictable and stress-free:
• Get there faster with real-time directions, accurate ETAs and automatic rerouting based on live traffic, incidents and road closures
• Even if you know the way, avoid surprises on the road ahead with safety alerts for accidents, crashes, roadworks, objects on the road, potholes, speed bumps, sharp curves, bad weather, emergency vehicles, railway crossings and more
• Steer clear of tickets by knowing where police and red light and speed cameras are located
• Share what’s happening on the road with other drivers by reporting live incidents and hazards
• Stay informed of upcoming speed limit changes, and keep your speedometer in check
• Know which lane to be in with multi-lane guidance
• See toll pricing and choose to avoid tolls along your routes
• Add road passes and vignettes for HOV lanes and restricted traffic zones
• Find petrol/fuel stations and prices and EV charging stations along your route
• Locate car parks near your destination
• Use voice-guided turn-by-turn navigation from a variety of languages, local accents and your favourite celebrities
• Plan your next drive by checking ETAs by future departure or arrival times
• Use your favourite audio apps (for podcasts, music, news, audiobooks) directly within Waze
• Sync Waze to your car’s built-in display through Apple CarPlay


* Some features are not available in all countries


* Waze navigation is not intended for emergency or oversized vehicles


You can manage your in-app Waze privacy settings at any time. Learn more about the Waze privacy policy here, www.waze.com/legal/privacy.",2012-06-02T12:22:52Z,2025-11-10T12:05:02Z
pg,Papua New Guinea,Navigation,6010,3,461703208,AMap Global,AutoNavi Information Technology Co. Ltd.,https://apps.apple.com/pg/app/amap-global/id461703208?uo=4,0.0,4.27273,11,Navigation,"China's first English map for overseas users has officially launched!
The Choice of 800 Million Navigation Users. 
Over 200 countries and territories mapped and hundreds of millions of places on the map. 
Exploring China with AMAP as your guide!

-3D lane-level views & traffic light countdown
-Get real-time traffic updates & ETAs
-Detail junction views, never miss a turn 
-See real time transit info and route options",2012-06-01T05:48:13Z,2025-11-19T07:07:16Z
pg,Papua New Guinea,Navigation,6010,4,311867728,"NAVER Maps, Navigation",NAVER Corp.,https://apps.apple.com/pg/app/naver-maps-navigation/id311867728?uo=4,0.0,0,0,Navigation,"South Korea's GPS navigation Get started right away

* Experience the completely new NAVER Map.
※ Are you traveling Korea? 
Don't miss the smart tips to use NAVER Map: https://naver.me/GfCSj5Ut

[Key features]
- Map Home Menu Tab
You can now conveniently use the Discover, Bookmark, Transit, Navigation, and MY tabs on the Home.

- Simplified search
Search locations, buses, subway, and more in a comprehensive search bar.

- Booking
Explore a new Booking tab, a space that brings together businesses and products available for booking on NAVER. From nearby restaurants, hair salons, amusement parks, one-day classes to even train tickets, you can find them all in one place on the booking tab.

- Discover
Helps you find new places nationwide and nearby. Enjoy real-time rankings, recommendation feeds, trending spots, bookmarked lists, and coupon offers.

- Navigation
Fast and accurate navigation with real-time traffic info and optimized usability for any driving condition.

- Vector map
360 degrees rotation-enabled vector map with 3D view of key landmarks via tilting.

- Transit
You can easily reach your destination by using transit directions for various modes of transportation, real-time departure and arrival times, and notifications for when to get on/off.

- Street view
Seamless street and aerial views provided for location search and route planning.

- Bookmark
Easily save your best restaurants and must-visit tourist spots on NAVER Map and share them with others.

- MY
View all your maps, reviews, and bookings in one place and write reviews with ease.

- Instant search
View useful info about your query, such as opening/closing times for supermarkets while you search.

- Language
Korean/English/Japanese/Chinese maps and English navigation provided.

*Requires iOS 16.0 or later
*Find out more tips on how to use NAVER Map
- NAVER Map customer service: http://naver.me/GYywEiT4
- NAVER Map blog: https://blog.naver.com/naver_map
- Email: naver_market@naver.com
- Tel: 1588-3820
- Address: 95, Jeongjail-ro, Bundang-gu, Seongnam-si, Gyeonggi-do, Republic of Korea",2012-06-02T09:41:53Z,2025-11-23T11:05:45Z
pg,Papua New Guinea,Navigation,6010,5,960699792,Wialon,Gurtam Inc.,https://apps.apple.com/pg/app/wialon/id960699792?uo=4,0.0,3.5,2,Navigation,"With the Wialon app, you can maintain access to the Wialon fleet management platform anytime and anywhere. The core features include:
- Unit list control. Monitor movement and ignition state, unit location, and other fleet data in real time.
- Commands. Send commands, such as messages, routes, configuration and photo requests for remote unit control.
- Tracks. Build tracks of vehicle movements, displaying speed, fuel fillings, drains, and other data over a specified period, visualized on the map.
- Geofences. Switch on/off the display of the unit location inside a geofence instead of address information.
- Informative reports. Use detailed data on trips, stops, fuel drains and fillings for instant decision-making.
- History. Control unit events (movement, stops, fuel fillings, fuel drains) in chronological order and display them on the map.
- Map mode. Access units, geofences, tracks, and event markers on the map, with the option to detect your own location.
The multilingual mobile application, available for smartphones and tablets, allows users to experience the power of Wialon on the go.",2015-03-09T16:04:28Z,2025-11-20T12:21:03Z
pg,Papua New Guinea,Navigation,6010,6,939507215,Speedometer Simple,WATT APPS LTD,https://apps.apple.com/pg/app/speedometer-simple/id939507215?uo=4,0.0,0,0,Navigation,"Speedometer Simple is a simple speedometer that is very easy to use. 

This app uses phone's GPS to accurately determine your speed.

Speedometer has large fonts and supports mph, km/h, and knots speed display. Optionally, city name and a compass can be shows on the screen. The app also shows the traveled distance. Average and maximum speed is displayed in an optional screen as well. Interface color can be set one of many pre-selected colors. Speedometer app can record the speed during your trips and provide post-trip statistics like maximum speed, traveled distance etc.",2014-11-18T11:31:19Z,2025-11-23T17:03:39Z
pg,Papua New Guinea,Navigation,6010,7,787229677,The SPOT App,Spot LLC,https://apps.apple.com/pg/app/the-spot-app/id787229677?uo=4,0.0,0,0,Navigation,"SPOT satellite devices provide GPS location-based messaging, emergency, and coordination with Search and Rescue and anti-theft alerting and tracking beyond the boundaries of cellular. The SPOT satellite technology, powered by Globalstar, has initiated over 7,000 rescues around the globe. 

The SPOT App allows you to view messages sent from your SPOT device, track progress, or monitor assets.

Features:


•    Display SPOT messages with GPS locations on a standard map, a satellite map, or hybrid map
•    Filter your SPOT messages by date range, message type, or device type
•    Easily zoom to the most recent SPOT message
•    Select preferred GPS coordinate display format
•    Option to auto-delete SPOT messages by time or quantity within the app. Auto-deleted messages are removed from the app but remain in your SPOT Mapping account for 3 years
•    Set the frequency to check for new SPOT messages

 

*The SPOT App requires a SPOT account with an active SPOT satellite device and a Wi-Fi or data connection to view your SPOT messages. To learn more, visit FindMeSPOT.com.",2014-01-02T20:38:43Z,2023-12-20T14:43:56Z
pg,Papua New Guinea,Navigation,6010,8,6444319052,GPS Speed Tracker: Speedometer,Pratixaben Chauhan,https://apps.apple.com/pg/app/gps-speed-tracker-speedometer/id6444319052?uo=4,0.0,0,0,Navigation,"You can measure the real-time speed of your car or bike in kph(kilometer per hour), mph (miles per hour)

This app is completely free that is designed for you to  Track your speed and distance in Miles and kilometers. The app is working offline, no internet is required

=> GPS Digital Speedometer
- Change KM/H and MPH modes for the speed unit
- Analog speedometer
- Showing Average and Maximum Speed 
- Showing Altitude and Compass 

=> GPS Signal
- Show the accuracy of the GPS signal 

=> Tracking 
- Start & Stop your trip tracking 
- Track traveled distance, Average speed, and Maximum speed.
- Track Total traveled time
- Store tracking data easily 

=> Settings 
-  Set speed unit to  km/h or mph
-  Set Time Format to 12 hours or 24 hours
- Set the Altitude unit to Meter or Feet

NOTE:
- Continue use of GPS running in the background can decrease battery life.
- GPS is not always accurate due to device sensor limitations.
- Make sure you have enabled the location service for the app  (Settings > Privacy > Location Services > ON)",2022-11-22T08:00:00Z,2025-05-13T23:19:30Z
pg,Papua New Guinea,Navigation,6010,9,1153954262,SpeedoMeter GPS - Odometer,G Sanghani,https://apps.apple.com/pg/app/speedometer-gps-odometer/id1153954262?uo=4,0.0,0,0,Navigation,"Speedometer is a speed measuring app that uses built-in GPS system to show real time speed of your vehicle. It measures your current, maximum, and average speed, distance travelled and trip time.
It can be used while walking or running as well as during car driving, bike riding, boating, etc. It is also Tripmeter and Odometer. It is designed as professional digital GPS speedometers.

Key Features of App are
» Analog & Digital Colorful LED Display
» Keeps record of Current, Maximum, Average Speed & Trip Timings
» Over-speed Alerts (Warning Alarm)
» Multiple Units (Kilometers (Km/h), Miles (mph), Nautical miles (knots))
» Save your track info 
» Enhanced Accuracy
» Multiple Skins (Colors)
» Digital HUD interface
» Speed fluctuation regulator

GPS should be active to use the app. Accuracy of Speed may depend on mobile device hardware, weather conditions, obstructions, and the visibility of satellites.",2016-09-23T05:59:16Z,2020-07-17T15:52:03Z
pg,Papua New Guinea,Navigation,6010,10,588364107,Find my Phone - Family Locator,GEO TRACK LABS LTD,https://apps.apple.com/pg/app/find-my-phone-family-locator/id588364107?uo=4,0.0,4.61702,47,Navigation,"Family Locator lets you stay connected with your family members during the day. Family Locator ensures family safety, even when they're far away! 

IMPORTANT: GPS location sharing is only possible upon mutual consent of all members. Share your location only with people you trust.

With Family Locator you can also:
• See the location history of family members during the past 7 days
• Locate a stolen or find a lost phone if the app has been installed before 
• Get notified when tracked family members reach destination points
• Setup GPS-based safe zones such as school, or home on the family map
• Create your own groups in the app

Family Locator app keeps your family secure:
• The family locator app lets you find your loved ones easily with augmented reality
• Keeps you on the family map even if you are busy
• Check-in to share your location with family

Although you can get the complete functionality with a free version, our subscription can offer you even more of the good stuff!

Premium available by subscription includes:
- Unlimited number of location alerts
- Location history for all family members
- Find family members faster with AR
- Get automated SOS calls if they need help

Subscription prices may vary by location. Payment will be charged to iTunes Account at confirmation of purchase. Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period. Account will be charged for renewal within 24-hours prior to the end of the current period. Subscriptions may be managed and auto-renewal may be turned off by going to your phone's Account Settings after purchase. Any unused portion of a free trial period (if offered), will be forfeited when the user purchases another subscription.

Optional permission requests:
• Location services, to inform family of your current location
• Notifications, to inform you of your family's location changes
• Contacts, to find other users to join your circle
• Photos and Camera, to change your profile picture
• App tracking, to show relevant ads

Please note, GPS location sharing is only possible upon mutual consent of all members. Privacy of your family is the top concern for us - share your location only with people you trust.

For more information on our Privacy Policy & Terms of Use, click:
https://family-locator.com/privacy-policy/
https://family-locator.com/terms-of-use/

Disclaimer: Continued use of GPS running in the background can dramatically decrease battery life.

Please share your feedback and suggestions: support@family-locator.com",2013-01-08T08:00:00Z,2025-11-21T12:19:55Z
