country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
ph,Philippines,Food & Drink,6023,1,758103884,foodpanda: Food & Groceries,Internet Services Polen Sp. z o.o.,https://apps.apple.com/ph/app/foodpanda-food-groceries/id758103884?uo=4,0.0,4.76016,833897,Food & Drink,"Discover the local choice for meals, groceries, and food delivery with foodpanda!

Life can get overwhelming, but we’re here to help! Whether you need daily meals, groceries, or shopping essentials, foodpanda has got you covered with convenient food delivery.

Order Your Favourite Food with Just 3 Simple Taps!

With foodpanda, you can easily choose the food you love, and we’ll deliver it right to your door. Serving millions across over 400 cities in 11 Asian markets — Singapore, Hong Kong, Thailand, Malaysia, Pakistan, Taiwan, the Philippines, Bangladesh, Laos, Cambodia, and Myanmar — foodpanda is your go-to for everyday food delivery.

Endless Food and Grocery Delivery Choices at Your Fingertips!
Hungry for wood-fired pizza, a classic burger or fried chicken? We know the best restaurants near you – big famous brands and tiny local faves. Best part? We've got exclusive discounts and promos waiting for all new foodies. With a simple click, your food and groceries are on their way with fast delivery!

Need Groceries? We’ve Got You Covered!
Want to cook but short on time? Imagine having fresh produce, pantry staples, frozen goods, personal care items, your cute pets' needs, and much more, delivered in a flash — everything you need for a hassle-free home-cooked meal, all available through our speedy groceries delivery service from foodpanda shops and pandamarts.

Best Food and Grocery Delivery Deals Just for You!
Looking for the best savings on groceries and food? We regularly update our daily deals, personalised just for you! Here’s a tip: skip the queue and choose self pick-up for extra savings on your grocery orders, or enjoy the convenience of our food delivery options.

Save on tasty takeaways.
On the go? Try pick-up! Skip the queue and save up when you self-collect your order.

Worry-free package delivery.
Need to send or receive a parcel? Go with pandago. Our reliable fleet and on-demand delivery service will safely deliver it for you in no time.

Our tech is shaped by you.
Explore personalised offers and delicious picks just for you. Dish out what you feel about your order and let foodies know what’s yum. 

Want More? Join pandapro!
Unlock even greater savings on food delivery and grocery options with our pandapro membership today!

Live like a panda and let us take care of the rest — let’s do it the panda way with seamless food delivery!

For more info, please visit our website.",2013-11-25T18:13:11Z,2025-11-22T08:33:03Z
ph,Philippines,Food & Drink,6023,2,1217507712,McDonald's,McDonald's Global Markets LLC,https://apps.apple.com/ph/app/mcdonalds/id1217507712?uo=4,0.0,2.30575,3807,Food & Drink,"Welcome to the new official McDonald’s app.

The app is filled with great offers specially tailored to you. Deals and discounts appear regularly so check back often to see what’s new.

The news section keeps you up to date with everything that’s going on in McDonald’s near you. Look here for new games and competitions.

The nutrition section provides information on our entire menu. We provide allergy advice and nutritional information on everything from the Big Mac to a single dip!

Use our restaurant finder to find your nearest McDonald’s. Filter your search based on opening hours, facilities and get directions from wherever you are.",2020-01-07T08:00:00Z,2025-11-21T13:12:09Z
ph,Philippines,Food & Drink,6023,3,6498993119,Jollibee: Food Delivery App,Jollibee Foods Corporation,https://apps.apple.com/ph/app/jollibee-food-delivery-app/id6498993119?uo=4,0.0,4.85332,27498,Food & Drink,"Be one of the first to experience the new Jollibee: Food Delivery App. Download the app today and experience the easiest way to enjoy your favorites. Craving Chicken, Spaghetti, Burgers & more from Jollibee? 

Our app makes it simple to:

- ENJOY YOUR JOLLIBEE FAVORITES: Browse our menu, choose your favorites, and customize your order to your preference.
- ORDER WITH EASE & ENJOY HASSLE-FREE FOOD DELIVERY: Order in just five (5) simple steps. Skip the line and satisfy your cravings in just a few taps.
- FAST & CONVENIENT DELIVERY: Get your food delivered hot and fresh straight to your doorstep. Stay up-to-date on your order's progress so you know exactly when to expect your delicious meal.
- FIND A JOLLIBEE NEAR YOU: Use our handy store locator to find the nearest restaurant and get directions with ease.
- GO CASHLESS:  The app offers convenient cashless payment options for a smooth and secure checkout experience. 

Download the new Jollibee App now!",2025-01-19T08:00:00Z,2025-11-10T15:45:10Z
ph,Philippines,Food & Drink,6023,4,1363216428,Starbucks Philippines,Starbucks Coffee Company,https://apps.apple.com/ph/app/starbucks-philippines/id1363216428?uo=4,0.0,2.43904,2116,Food & Drink,"Welcome to the official Starbucks® Philippines app.

The Starbucks® Philippines app is a convenient way to pay in store and earn Rewards. Rewards are built right in, so you’ll collect Stars and start earning free drinks and food with every purchase. Join the

Pay in store
Save time and earn Rewards when you pay with the Starbucks® app at any stores in the Philippines. Now you can collect Stars any way you pay– thru Starbucks Card, cash, credit or debit cards, select e-Wallets,

Order Ahead
Introducing new ways to pick up orders using the app – simply tap to order and choose to pick up from a store, a drive-thru window, an outdoor pickup point or the store’s parking spot.

Rewards
Track your Stars and redeem Rewards for a free drink or food from the bakery and cake menu. Receive custom offers as a Starbucks® Rewards member.

Manage cards
Check your Starbucks Card balance, add money, view past purchases and transfer balances between cards.

Find a store
See stores near you, get directions, hours and view store amenities before you make the trip.

Simply sign in with a registered email address and password for existing Starbucks Rewards members or join the Starbucks® Rewards program for new members.",2018-04-02T16:43:24Z,2025-07-22T16:00:11Z
ph,Philippines,Food & Drink,6023,5,1487584854,ZUS Coffee,Zuspresso M Sdn Bhd,https://apps.apple.com/ph/app/zus-coffee/id1487584854?uo=4,0.0,4.86775,15312,Food & Drink,"a Necessity, not a Luxury

You deserve the best without breaking the bank. That’s why ZUS Coffee is here to provide specialty handcrafted coffee, hand-delivered to your doorstep. Just sit back, relax and get a quality cup of coffee delivered to you with just a few taps on your phone!

Brought to you by Malaysia #1 Coffee Delivery Brand

 - 100% Arabica Coffee Beans
 - Award-Winning Coffee Plantation at Brazil
 - World’s Top 50 Best Coffee Roastery 
 - Anti-Spillage Cup Lid
 - Exceptional Coffee Delivery Experience

Download now to enjoy Buy 1 Free 1 on your first purchase! :)",2019-11-17T08:00:00Z,2025-11-21T04:49:28Z
ph,Philippines,Food & Drink,6023,6,908862359,McDelivery PH,Golden Arches Development Corporation,https://apps.apple.com/ph/app/mcdelivery-ph/id908862359?uo=4,0.0,2.3189,8109,Food & Drink,"The new McDelivery App is here to satisfy your cravings with just a few taps.​

Discover new features that make ordering easier than ever.​

More ways to get your favorites​
Choose between delivery or store pick-up for yourself or for others. Planning for an event? Send simultaneous deliveries to multiple locations in just one transaction! ​

Deals just for you​
Get McDelivery-exclusive offers and promos! ​

Pay your way ​
Pay via cash on delivery or thru numerous cashless payments options like debit or credit cards, GCash, and PayMaya.​

Track your delivery​
Use our order tracker to check the estimated delivery time.​",2014-08-23T03:35:10Z,2025-11-05T14:21:55Z
ph,Philippines,Food & Drink,6023,7,6502439682,CHAGEE,TEA EXPLORER PTE. LTD.,https://apps.apple.com/ph/app/chagee/id6502439682?uo=4,0.0,4,12,Food & Drink,"Get rewarded for skipping the queue!

Start earning points by ordering through our App today!

With the CHAGEE App, you can:
-Order and pay digitally
-Order for self-pickup ahead of time
-Earn Points and redeem rewards at our Rewards Store
-Earn Experience to reach higher tiers for greater benefits
-Stay up to date on new launches and deals
-Locate our outlets and their operating hours

Download and enjoy welcome discounts now!",2024-11-21T08:00:00Z,2025-11-24T00:48:36Z
ph,Philippines,Food & Drink,6023,8,6444354574,PICKUP COFFEE,STARBREAKER CORP,https://apps.apple.com/ph/app/pickup-coffee/id6444354574?uo=4,0.0,4.68942,8481,Food & Drink,"PICKUP Fast, PICKUP Deals, and PICKUP Rewards with the new and improved PICKUP app!

PICKUP Fast.
Skip the line when you order ahead. Browse through the PICKUP COFFEE menu at your convenience and select 
your preferred branch for pick up or delivery. You'll be notified once your order is ready!

PICKUP Deals.
Get up to Php 500 off on your app orders when you top up!

PICKUP Rewards.
Earn a stamp per cup and exchange them for exclusive rewards.",2023-02-26T08:00:00Z,2025-10-06T02:35:52Z
ph,Philippines,Food & Drink,6023,9,1577597335,Burger King® Philippines,Burger King Corporation,https://apps.apple.com/ph/app/burger-king-philippines/id1577597335?uo=4,0.0,4.17962,746,Food & Drink,"Be the first to enjoy app-exclusive deals and coupons with the official BURGER KING® PHILIPPINES app, and save like a king!

Special features include:
•Mobile Ordering: Order with the app, and skip the line to enjoy your meal even faster. Your order, your way!
•Mobile Coupons: Get VIP access to app-exclusive discounts and promos right from your phone.
•Mobile Payment: Pay easily by credit card when ordering or choose to pay cash on delivery.
•Find Your BK®: Locate your nearest BURGER KING® restaurant, and never leave those flame-grilled craving unfulfilled.
•Brand News: Don’t miss out on store openings, limited-time offers, and announcements!",2021-12-16T08:00:00Z,2025-10-08T02:09:28Z
ph,Philippines,Food & Drink,6023,10,6742179365,Mang Inasal: Ordering App,MANG INASAL PHILIPPINES INC.,https://apps.apple.com/ph/app/mang-inasal-ordering-app/id6742179365?uo=4,0.0,3.69388,147,Food & Drink,"Enjoy unli-sulit at unli-saya with the all-new Mang Inasal app. It makes ordering for delivery or pick-up super easy, plus you get access to exclusive promos! Download the app and order your ihaw-sarap favorites now.

Here's what you can do with the Mang Inasal app:

EASY ORDERING & FASTER CHECKOUT
Browse our menu and order your favorite Mang Inasal meals in just a few taps. 

SKIP THE LINE
No more waiting in line--just order via the app for pick-up or delivery from the nearest Mang Inasal store

BEST DELIVERY PRICES 
Get the lowest delivery prices when you order directly from the Mang Inasal app. Plus delivery fee is fixed!

EXCLUSIVE PROMOS
Access exclusive promos and personalized deals when you order through the app. 

CONVENIENT ORDER TRACKING
Check your order status in real-time.

QUICK RE-ORDERING
Registered users can easily re-order their favorite meals. Save your delivery address & preferred payment methods  to quickly reorder for your next visit. 

Ready for unli-sulit and unli-saya? Download the Mang Inasal app now and easily order your ihaw-sarap favorites for delivery or pick up!",2025-08-18T07:00:00Z,2025-11-17T23:00:26Z
