country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
pt,Portugal,Travel,6003,1,6752293651,FLYTAAG,"TAAG- LINHAS AEREAS DE ANGOLA,S.A",https://apps.apple.com/pt/app/flytaag/id6752293651?uo=4,0.0,4.375,8,Travel,"Acerca desta App... 

 
Viajar é mais fácil com a App TAAG — explore, planeie, reserve e acompanhe tudo num só lugar. 

 
Descubra todas as funcionalidades da app: 

 
EXPLORE NOVOS DESTINOS 

Encontre voos por rota, data e classe para mais de 40 destinos TAAG e planeie já as suas próximas férias. 

 
FAÇA O CHECK-IN ONLINE  

Faça o seu check-in de forma rápida e segura, onde e quando quiser. Evite filas no aeroporto e garanta o seu lugar com total comodidade. 


FAÇA A GESTÃO DA SUA RESERVA 

Consulte e altere a sua viagem quando quiser. Adicione serviços extra como bagagem ou escolha de lugar, de forma simples e rápida. 


ESTEJA A PAR DE NOVAS OFERTAS E PROMOÇÕES 

Receba informações exclusivas sobre ofertas, promoções e avisos importantes. 


OBTENHA APOIO E RESPOSTAS RÁPIDAS 

Esclareça as suas dúvidas na área de apoio da app, onde pode aceder a perguntas frequentes (FAQs), contactar a central de reservas ou receber apoio direto via WhatsApp. 

 
Descarregue já a app e venha voar connosco!",2025-11-19T08:00:00Z,2025-11-20T14:03:57Z
pt,Portugal,Travel,6003,2,504270602,Ryanair,Ryanair Ltd.,https://apps.apple.com/pt/app/ryanair/id504270602?uo=4,0.0,4.64784,72143,Travel,"Com esta aplicação, tem a Europa aos seus pés. Somos a Ryanair!!

Na nossa aplicaçāo, encontrará as tarifas mais baixas na Europa. Temos disponíveis várias opções: poderá efetuar o check-in enquanto estiver em movimento; dispor de um cartão de embarque no seu smartphone; e ainda escolher diversos extras com um simples toque.
 
Ainda está a ler?! Faça já o download e venha voar connosco!",2012-03-13T17:47:14Z,2025-11-19T18:30:06Z
pt,Portugal,Travel,6003,3,368677368,Uber - Peça uma viagem,"Uber Technologies, Inc.",https://apps.apple.com/pt/app/uber-pe%C3%A7a-uma-viagem/id368677368?uo=4,0.0,4.80965,263392,Travel,"Estamos empenhados em garantir a sua segurança na Uber. Estabelecemos uma norma de segurança porta a porta para o ajudar a sentir-se seguro sempre que viaja.

E com a Uber, o seu destino está à distância de um toque. Aceda à aplicação e indique o seu destino. Um motorista nas proximidades irá ajudá-lo a lá chegar de forma fiável.

Encontre uma viagem a partir de quase qualquer ponto de partida
Peça uma viagem em mais de 600 aeroportos e em mais de 10 000 cidades em todo o mundo, a aplicação Uber é uma ótima forma de simplificar os seus planos de viagem. Obtenha uma viagem a pedido ou agende-a com antecedência.    

Encontre uma viagem para quase qualquer destino
Independentemente do estilo, do espaço ou da acessibilidade pretendidos, a Uber pode ajudá-lo a encontrar a viagem que se adequa a si na perfeição:

Desfrute da qualidade premium e da elegância das viagens Uber Black
Viaje com mais espaço (e mais amigos) com o UberXL

Estas e outras opções de transporte estão disponíveis num só lugar com a aplicação Uber.

Veja estimativas de preços
Com a Uber, pode ver uma estimativa do preço antes de fazer a reserva. Assim, terá sempre uma ideia do preço que irá pagar antes de pedir a sua viagem.

A sua segurança é importante para nós
O nosso compromisso passa por tornar cada viagem com a Uber o mais segura possível. É por isso que, para além da nossa norma de segurança porta a porta, concebemos novas funcionalidades de segurança e atualizámos as nossas Orientações da Comunidade com o objetivo de assegurar experiências positivas e respeitadoras.

Pode partilhar a sua viagem
Tranquilize os seus entes queridos enquanto está em viagem e partilhe a sua localização e o estado da sua viagem, para que saibam que chegou ao seu destino.

Pode contactar os serviços de emergência
Pode contactar as autoridades locais diretamente a partir da aplicação e a sua localização e os detalhes da sua viagem serão apresentados para que possa partilhá-los rapidamente com os serviços de emergência.

Classifique e dê uma gratificação ao seu motorista
No final de cada viagem, pode atribuir uma classificação e enviar comentários sobre a mesma. Também pode dar uma gratificação ao seu motorista através da aplicação para que este saiba que ficou satisfeito com a experiência.

Nem todos os produtos estão disponíveis em todos os mercados.

Para ver se a Uber está disponível na sua cidade, visite https://www.uber.com/cities.
Siga-nos no Twitter em https://twitter.com/uber.
Faça ""gosto"" na nossa página do Facebook em https://www.facebook.com/uber.

Tem alguma dúvida? Visite uber.com/help.",2010-05-21T03:11:23Z,2025-11-17T14:30:34Z
pt,Portugal,Travel,6003,4,367003839,Ofertas de viagem Booking.com,Booking.com B.V.,https://apps.apple.com/pt/app/ofertas-de-viagem-booking-com/id367003839?uo=4,0.0,4.82552,123556,Travel,"Descarregue a aplicação de reservas com melhor pontuação e junte-se a milhares de pessoas que encontram ofertas para hotéis, hostels e alojamentos para férias. Encontre uma estadia para as suas férias, escapadinha de fim de semana ou viagem de negócios, em qualquer lugar no mundo!

Pesquisar hotéis, hostels e alojamentos para férias

• 27 milhões de hotéis, alojamentos para férias, casas, apartamentos e outros locais únicos para se hospedar
• Pesquise por cidade, local de interesse, atração ou nome do hotel com apenas um toque no ecrã
• Filtre por preço, pontuação de comentários, comodidades e outras coisas que são importantes para si
• Encontre a sua estadia de última hora ou reserve com muita antecedência

Encontre uma excelente oferta de viagem

• Ofertas diárias para todos os orçamentos
• Cancelamento gratuito na maioria dos quartos
• Explore mais de 135 milhões de comentários de clientes reais

Faça a gestão da sua reserva em qualquer lugar

• Obtenha uma confirmação digital
• Faça alterações onde e quando quiser
• Serviço de apoio ao cliente em mais de 40 idiomas, disponível 24 horas por dia e 7 dias por semana
• Contacte o seu anfitrião, veja a hora de check-in e escreva comentários
• Sem taxas de reserva ou cartão de crédito",2010-04-14T18:30:24Z,2025-11-20T09:19:47Z
pt,Portugal,Travel,6003,5,675033630,Bolt: Pede uma viagem 24/7,BOLT TECHNOLOGY OU,https://apps.apple.com/pt/app/bolt-pede-uma-viagem-24-7/id675033630?uo=4,0.0,4.75458,80178,Travel,"Torna as tuas deslocações mais simples com a Bolt! Quer precises de te deslocar pela cidade, de chegar ao aeroporto ou de desbloquear uma trotinete para fugir ao trânsito, a nossa app torna as tuas viagens mais práticas e cómodas.

PORQUÊ A BOLT?
- Pede uma viagem em poucos segundos: deslocações seguras e acessíveis com motoristas com excelentes classificações.
- Preços transparentes: vê o preço antes da viagem para evitar surpresas.
- Várias opções de pagamento: paga de forma segura com um cartão de débito/crédito, Apple Pay ou Google Pay.

PEDIDOS SIMPLES:
- Abre a app e escreve o teu destino.
- Seleciona a categoria mais adequada às tuas necessidades (Comfort, Premium, XL e muito mais).
- Segue o motorista em tempo real.
- Chega com conforto e classifica a tua experiência.

SEGURANÇA EM PRIMEIRO LUGAR:
Algumas das funcionalidades da Bolt precisam que a app corra em segundo plano.

- Botão de assistência de emergência: alerta discretamente a Equipa de Segurança em caso de emergência.
- Informações de contacto privadas: os teus dados telefónicos são escondidos nas chamadas entre ti e os motoristas.

PLANEIA COM TEMPO:
Precisas de ir para o aeroporto ou de uma viagem de manhã cedo? Podes agendar a tua viagem com uma antecedência de 30 minutos a 90 dias.

*JUNTA-TE À BOLT PLUS E DESBLOQUEIA FUNCIONALIDADES PREMIUM!
Aproveita o melhor da Bolt com a Bolt Plus. Tira partido das vantagens exclusivas e poupa tempo e dinheiro para viagens mais tranquilas e práticas.

*BOLT DRIVE:
Comprometemo-nos a atingir o objetivo de zero emissões líquidas de carbono até 2040. Por isso, expandimos a oferta de carros elétricos e híbridos na Bolt Drive, o nosso serviço de aluguer de automóveis. Também temos trotinetes e bicicletas elétricas da Bolt disponíveis na app.

*ENTREGA DE ARTIGOS
Usa a categoria Bolt Send para entregas rápidas e práticas de artigos na tua cidade.

Bolt, a plataforma global de mobilidade partilhada disponível em 50 países e mais de 600 cidades no mundo inteiro. Fizemos um rebranding de Taxify para Bolt em 2019.

A Bolt é a alternativa perfeita ao táxi para deslocações rápidas, fiáveis e acessíveis. A app oferece uma experiência de viagem simples para as deslocações do dia a dia, as tuas viagens ou as tuas tarefas. Por isso, quando precisares de te deslocar, vai de Bolt!

*As opções da Bolt variam consoante o local. Consulta a app para ver a disponibilidade na tua cidade.

Ganhe dinheiro a conduzir com a app Bolt Driver. Registe-se numa frota parceira: https://bolt.eu/driver/

Dúvidas? Contacta-nos através do endereço portugal@bolt.eu ou consulta o site https://bolt.eu

Segue-nos nas redes sociais e fica a par de todas as notícias, descontos e ofertas!

Facebook — https://www.facebook.com/BoltPortugal/
Instagram — https://www.instagram.com/bolt_portugal/
X (antigo Twitter) — https://x.com/Boltapp",2013-07-24T04:44:15Z,2025-11-24T06:38:06Z
pt,Portugal,Travel,6003,6,401626263,Airbnb,"Airbnb, Inc.",https://apps.apple.com/pt/app/airbnb/id401626263?uo=4,0.0,4.73732,8577,Travel,"A MANEIRA MAIS RÁPIDA E FÁCIL DE USAR A AIRBNB
Encontre inspiração, planeie uma viagem com o seu grupo, efetue a reserva e vá. Terá sempre acesso a informações importantes da viagem. E nunca vai perder nada com notificações instantâneas sobre os seus planos de viagem e mensagens do anfitrião.

ENCONTRE UM AIRBNB PARA CADA TIPO DE VIAGEM
Explore mais de 7 milhões de casas de férias em mais de 220 países e regiões. Utilize mais de 100 opções de filtros para selecionar as comodidades que mais deseja. Quer esteja à procura de uma piscina, uma cozinha ou comodidades de acessibilidade, como uma entrada sem degraus, pode analisar rapidamente os detalhes de cada casa e ver o que os outros hóspedes que ficaram lá também pensaram sobre isso.

PLANEAR UMA VIAGEM DE GRUPO É MAIS FÁCIL DO QUE NUNCA  
Agora pode partilhar as suas listas de favoritos com outras pessoas, convidando-as a adicionar casas, escrever notas e votar em alojamentos. Depois de reservar uma escapadela, pode enviar convites de viagem digitais maravilhosamente ilustrados à sua equipa. Todos os que se juntarem à viagem receberão todos os detalhes da reserva, incluindo o endereço, a palavra-passe do Wi-Fi e as instruções de check-in. 

TODAS AS INFORMAÇÕES DA SUA VIAGEM NUM SÓ LUGAR
É fácil acompanhar os detalhes da viagem quando estão todos na aplicação. Encontre ou partilhe rapidamente as informações de viagem com outras pessoas, sempre que quiser. Também pode conversar com o anfitrião e receber atualizações de reserva atualizadas ao minuto, tornando mais fácil chegar, entrar e ligar-se à rede Wi-Fi. 

UM PROCESSO DE CHECK-IN FÁCIL
Horas de check-in, instruções especiais, códigos de entrada... está tudo à mão, mesmo quando está offline. Tem dúvidas ou quer apenas algumas recomendações de especialistas sobre coisas locais para fazer ou lugares para visitar? Todos os participantes da viagem podem trocar mensagens com o anfitrião numa conversa. 

TORNE-SE UM DOS ANFITRIÕES 
Costuma viajar muito? Tem espaço extra? Então possui um Airbnb. Anuncie o seu espaço em poucos passos e encontre Superhosts experientes na sua região que possam responder às suas dúvidas e ajudem a começar a hospedar.",2010-11-10T20:28:11Z,2025-11-19T19:27:17Z
pt,Portugal,Travel,6003,7,293622097,Google Earth,Google LLC,https://apps.apple.com/pt/app/google-earth/id293622097?uo=4,0.0,4.27016,496,Travel,"Crie e colabore em mapas envolventes e orientados por dados a partir de qualquer lugar com o novo Google Earth.
Veja o mundo a partir de cima com imagens de satélite de alta resolução, explore terrenos e edifícios em 3D em centenas de cidades e mergulhe nas ruas e nos bairros com as perspetivas de 360° do Street View.",2008-10-27T07:00:00Z,2025-11-19T18:06:31Z
pt,Portugal,Travel,6003,8,440497198,TAP Air Portugal,Transportes Aereos Portugueses S.A.,https://apps.apple.com/pt/app/tap-air-portugal/id440497198?uo=4,0.0,2.6079,709,Travel,"Abrace o mundo com a TAP mas, para o ajudar, sugerimos que explore, planeie, compre e saiba tudo sobre as suas viagens com recurso à nossa renovada App.

ENCONTRE A PRÓXIMA VIAGEM DE SONHO
Pesquise voos com base na rota, data e modalidade de pagamento que pretende, para mais de 90 destinos TAP, e descubra a sua próxima viagem.

OBTENHA INFORMAÇÕES DEDICADAS A CADA MOMENTO DA VIAGEM
Receba informações relevantes, sugestões e promoções numa página inicial personalizada, que acompanha o estado da sua reserva. 

FAÇA A GESTÃO DA SUA RESERVA
Aceda e faça a gestão da informação sobre a sua viagem com maior facilidade. Consulte os dados e atualizações da sua viagem, e adquira serviços extra, como a reserva de lugar ou bagagem adicional, para tornar a sua experiência ainda mais cómoda.

ACEDA AO CARTÃO DE EMBARQUE EM QUALQUER MOMENTO
Após fazer check-in online, poderá aceder ao cartão de embarque de todos os passageiros incluídos na reserva. O acesso está sempre disponível, mesmo em modo offline. 

ESTEJA A PAR DE TODAS AS ATUALIZAÇÕES
Receba, em tempo real, as atualizações sobre o estado do seu voo, alterações na reserva, informações sobre o embarque e a sua bagagem, entre outras notificações relevantes para cada momento específico da sua viagem.

TENHA TODAS AS VANTAGENS TAP MILES&GO À MÃO
Consulte o seu saldo de milhas e todos os benefícios do seu estatuto TAP Miles&Go. Descubra os vários produtos e ofertas onde pode utilizar as suas milhas ou acumular mais milhas, e aceda à subscrição do Club TAP Miles&Go.

CONSULTE O ESTADO DE CADA VOO
Com o Flight Tracker da TAP vai poder consultar as informações sobre o estado e horários de partida e de chegada de qualquer voo, em qualquer lugar.

Desejamos-lhe uma excelente experiência de viagem com a TAP!",2011-06-10T16:23:23Z,2025-11-17T13:41:40Z
pt,Portugal,Travel,6003,9,483568103,easyJet: Travel App,easyJet Airline Company Limited,https://apps.apple.com/pt/app/easyjet-travel-app/id483568103?uo=4,0.0,4.82242,48502,Travel,"Onde quer que vás, leva-nos contigo.

Pesquisa, reserva e gere os teus voos em qualquer altura e em qualquer lugar.

PESQUISAR E RESERVAR VOOS - Pesquisa e reserva uma viagem para o teu local europeu preferido.

GERIR RESERVAS DE VOOS - Faz a gestão de todas as tuas reservas de voos easyJet num só lugar.

CARTÕES DE EMBARQUE MÓVEIS - Utiliza o teu cartão de embarque móvel para passar rapidamente pelo aeroporto, agilizar o embarque e reduzir o desperdício de papel. Podes guardar até oito cartões de embarque por voo, que estarão disponíveis offline, para que não necessites de uma ligação de dados. Para ainda mais comodidade, também podes guardar o teu cartão de embarque na Apple Wallet.

FLIGHT TRACKER - Acompanha a localização do teu avião em tempo real. Além disso, verifica as últimas informações de chegada e partida. Também podes ver a viagem do teu avião, em direto no ar, com a adição do mapa FlightRadar24.",2011-12-08T17:31:43Z,2025-10-27T14:01:42Z
pt,Portugal,Travel,6003,10,778437357,FlixBus: reserve sua passagem,Flix SE,https://apps.apple.com/pt/app/flixbus-reserve-sua-passagem/id778437357?uo=4,0.0,4.87451,45724,Travel,"Bem-vindo à App FlixBus, a maior rede de autocarros do mundo. Reserva bilhetes da FlixBus, FlixTrain e Greyhound para a Europa, América do Norte, Índia e América do Sul.

Viagens de autocarro económicas


A FlixBus simplifica as viagens, oferecendo opções cómodas e ecológicas. Com a App FlixBus, podes reservar bilhetes de autocarro na Europa, América do Norte, América do Sul e Índia. 

Estás à procura de inspiração para viajar?


Explora o nosso mapa de rotas e os horários online para encontrares o teu próximo destino, quer procures uma aventura emocionante numa cidade movimentada ou uma escapadela tranquila, a FlixBus tem tudo o que precisas.

Porquê escolher a App FlixBus?


•	Guarda todos os seus bilhetes de autocarro num só lugar.
•	Recebe descontos exclusivos disponíveis apenas na aplicação.
•	Descobre rapidamente os bilhetes de autocarro mais baratos para o destino escolhido.
•	Utiliza a app para localizar a tua paragem sem esforço e navegar até ela.
•	Viaja sem problemas de bagagem: desfruta de uma mala de porão e de uma bagagem de mão gratuitas com cada bilhete.
•	Reserva lugares, reserva bagagem adicional e gere as tuas reservas sem esforço na app.
•	Reserva os bilhetes de autocarro com bastante antecedência ou opta por reservar no próprio dia a tua viagem espontânea.
•	Recebe atualizações importantes da viagem diretamente no teu telemóvel. Mantém-te a par dos atrasos ou alterações de paragens.
•	Se perdeste alguma coisa ou tens dúvidas, a nossa app tem tudo o que precisas com perguntas frequentes e opções de contacto convenientes.
•	Beneficia do vasto alcance da maior rede de autocarros do mundo.

Como reservar um bilhete de autocarro com a FlixBus?


É fácil comprar um bilhete de autocarro com a App FlixBus: basta selecionar as tuas cidades de partida e de chegada, escolher a data da viagem e depois finalizar a compra com o teu método de pagamento preferido! Após a reserva, receberás uma confirmação de reserva por correio eletrónico com todos os detalhes da tua viagem


Porquê viajar com a FlixBus?


Viaja com a FlixBus para uma experiência que combina conforto e segurança. Os nossos autocarros estão equipados com lugares ajustáveis, ar condicionado, tomadas, Wi-Fi gratuito e WC a bordo. A segurança é uma prioridade para nós, por isso podes ter a certeza de que a tua viagem estará em boas mãos.

Não precisas de te preocupar em levar pouca bagagem.


A FlixBus oferece uma política de bagagem generosa: leva uma bagagem de mão de 7 kg (30 cm x 18 cm x 42 cm) e uma bagagem de porão de 20 kg (50 cm x 30 cm x 80 cm). Precisas de mais? Acrescenta uma bagagem adicional diretamente através da nossa app. Viaja confortavelmente sabendo que não tens de levar pouca bagagem.

Acompanhamento em tempo real e horários


Mantém-te a par das informações em tempo real com as nossas funcionalidades de horários e localização de autocarros. Acede facilmente aos bilhetes eletrónicos, vê os horários dos autocarros enquanto esperas pelo teu autocarro e acompanha o progresso da tua viagem. Utiliza os nossos horários em direto para planear convenientemente as viagens que se adaptam à tua agenda e recebe atualizações diretamente na app.

Iniciativa de viagens ecológicas


Viajar de autocarro não é apenas uma escolha conveniente, mas também uma escolha ambientalmente responsável, uma vez que as viagens de autocarro reduzem o tráfego e as emissões em comparação com as viagens de automóvel. Estamos a trabalhar para tornar as viagens de autocarro ainda mais ecológicas, com elevados padrões ambientais em toda a nossa frota de autocarros, a utilização de tecnologias alternativas de condução e combustível e a opção de todos os passageiros compensarem as suas emissões de carbono quando compram os seus bilhetes de autocarro.",2013-12-23T19:17:07Z,2025-11-13T09:11:48Z
