country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
ru,Russian Federation,Health & Fitness,6013,1,1631792129,DDX Fitness,DDX TECH LLC.,https://apps.apple.com/ru/app/ddx-fitness/id1631792129?uo=4,0.0,4.56368,3965,Health & Fitness,"Приложение DDX Fitness — твой пропуск в мир здорового образа жизни, а также всё необходимое для достижения целей в фитнесе. Здесь есть QR-код, который откроет для тебя двери клуба!
Если ты ещё не с нами — скачивай приложение, в котором тебя ждёт промокод на первую покупку, и присоединяйся к фитнес-комьюнити!
 
В приложении DDX Fitness для тебя собраны: 
•	Адреса и расписание работы клубов 
•	Список персональных тренеров, с которыми можно запланировать график занятий
•	Возможность записи на групповые тренировки различного уровня сложности и длительности, а также на программу Smart Start — авторские бесплатные занятия в тренажёрном зале DDX Fitness с тренером для новичков
•	Анонсы предстоящих мероприятий клуба, в которых ты можешь принять участие
•	Служба поддержки, где мы всегда придём на помощь 
•	Также доступны смена клуба и заморозка подписки
 
DDX Fitness Action — дополнительная подписка на онлайн-тренировки от нашего клуба  
•	Тренировки где и когда угодно — более 100 программ на любой вкус: кардио, йога, зарядка, растяжка и др.
•	Гибкость подписки — отдыхай от тренировок и продолжай с того места, на котором была пауза
•	Пробный период, чтобы протестировать функционал 
В приложении DDX Fitness тебя ждёт ещё много других возможностей для улучшения здоровья и физической формы!
Скачивай приложение и присоединяйся к клубу любителей фитнеса и хорошего настроения!",2023-10-16T07:00:00Z,2025-10-21T08:00:56Z
ru,Russian Federation,Health & Fitness,6013,2,1564732442,Yamaguchi.ru,"Yamaguchi Grupp, OOO",https://apps.apple.com/ru/app/yamaguchi-ru/id1564732442?uo=4,0.0,4.84612,13219,Health & Fitness,"Откройте мир здоровья, красоты и спорта с функциональным приложением Yamaguchi.

Управляйте массажем с вендинговых кресел, получайте бонусы за каждую минуту восстановления - и всё это за несколько кликов.

Ваш актуальный бонусный счет, комплексные тренировки от чемпионов, каталог продукции для красоты, фитнеса и здоровья - всё собрано в одном приложении и постоянно обновляется.

Скачивайте и прикоснитесь к источнику здорового образа жизни, который вдохновляет на перемены к лучшему.",2021-05-26T07:00:00Z,2025-11-02T22:49:54Z
ru,Russian Federation,Health & Fitness,6013,3,347184248,Счетчик Калорий от fatsecret,Secret Industries Pty Ltd,https://apps.apple.com/ru/app/%D1%81%D1%87%D0%B5%D1%82%D1%87%D0%B8%D0%BA-%D0%BA%D0%B0%D0%BB%D0%BE%D1%80%D0%B8%D0%B9-%D0%BE%D1%82-fatsecret/id347184248?uo=4,0.0,4.79551,86946,Health & Fitness,"Счетчик Калорий от fatsecret является неотъемлемым приложением, чтобы просто найти информацию о питательной ценности пищевых продуктов, которые Вы едите, а также легко отслеживать ваши блюда, физические упражнения и вес.  fatsecret бесплатно.

Здоровье app
- Добавляйте сводную информацию по питанию в Здоровье
- Синхронизируйте свой вес с Здоровье
- Синхронизируйте показатели сожженных калорий и пройденных шагов

Счетчик Калорий легок в использовании и обладает многими современными инструментами, чтобы помочь вам добиться успеха: 
- Apple Watch app/Усложнения
- Пищевой дневник, чтобы планировать и наблюдать за тем, что Вы едите 
- Общество
- Сканнер штрих-кода
- Интеграция отслеживания Здоровье app, Fitbit данных о упражнениях
- Дневник упражнений, чтобы записовать все сожженные Вами калории 
- Диетический календарь, сопоставляет всю собранную инфо 
- Отчетность и цели
- Слежение за весом в таблице 
- Распознавание изображения
- Фотографируйте продукты питания и блюда, ведите дневник в фотографиях   
- Журнал, который помогает вычислить прогресс 
- Напоминания
- Вход с Apple
- Facebook и Google Войти

Вы также можете синхронизировать Ваш счет с Интернетом, имея возможность получить доступ к Вашей инфо в любом месте, в любое время. 

Мы очень надеемся, что Вам понравится наш Счетчик Калорий. 

Premium пользователи также получат:
- Планы питания, целенаправленно разработанные нашим диетологом для удовлетворения разнообразных диетических предпочтений и потребления строго определённого количества калорий (Кетодиета, Средиземноморская диета, Интервальное голодание, Высокобелковая низкоуглеводная, Сбалансированная диета)
- План Питания, позволяющий планировать наперед количество потребляемых калорий
- Индивидуальные приемы пищи, включающие шесть дополнительных приемов пищи, равномернее распределенные в течение дня
- Трекер Воды, гарантирующий, что ваши цели потребления воды достигнуты

fatsecret Premium предлагает ряд различных по длительности вариантов подписки, которые можно выбрать в соответствии со своими предпочтениями. Стоимость будет взиматься через учетную запись iTunes и обновляться автоматически. Отказаться от подписки можно не позднее, чем за 24 часа до окончания периода подписки. Все изменения вносятся с помощью личного кабинета iTunes после оплаты. Возврат денег или отмена текущей подписки невозможны. 

Условия Использования: https://www.fatsecret.ru/Default.aspx?pa=tnc

Мы постоянно работаем над улучшением приложения, так что можете ожидать все лучших новшеств в будущем.",2009-12-23T07:43:00Z,2025-11-24T02:41:14Z
ru,Russian Federation,Health & Fitness,6013,4,1038369065,Женский календарь месячных Flo,FLO HEALTH UK LIMITED,https://apps.apple.com/ru/app/%D0%B6%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B9-%D0%BA%D0%B0%D0%BB%D0%B5%D0%BD%D0%B4%D0%B0%D1%80%D1%8C-%D0%BC%D0%B5%D1%81%D1%8F%D1%87%D0%BD%D1%8B%D1%85-flo/id1038369065?uo=4,0.0,4.83406,421867,Health & Fitness,"Flo помогает жить в гармонии с циклом — это самое популярное в мире приложение для заботы о женском здоровье. Получайте советы и прогнозы, подобранные специально для вас, и узнавайте больше о своем теле!

С Flo можно получать прогнозы месячных, планировать и отслеживать беременность, а также научиться лучше понимать сигналы своего тела. Это приложение — ваш универсальный помощник в вопросах женского здоровья. Присоединяйтесь к сообществу из более 430 миллионов пользователей!

С приложением Flo вы можете:
– Обеспечить безопасность своих данных. Flo — первый календарь месячных и овуляции, получивший сертификаты ISO 27001 и ISO 27701 (золотые стандарты защиты данных).
– Почувствовать себя увереннее. Благодаря режиму «Flo для двоих» вы можете пользоваться приложением вместе с партнером.
– Получить дополнительный уровень защиты. В анонимном режиме никто, даже Flo, не сможет идентифицировать вас по данным о здоровье.
– Получить доступ к достоверной информации о здоровье. Мы сотрудничаем с международно признанной организацией в сфере репродуктивного здоровья и репродуктивных прав, чтобы помогать вам заботиться о себе.

Функции, которые станут доступны с подпиской Flo Premium:
– Ежемесячные отчеты о цикле.
– Прогнозы и закономерности симптомов.
– Персонализированные прогнозы.
– Подробное отслеживание беременности.
– Полный доступ к режиму «Flo для двоих».
– Круглосуточная помощь виртуального Ассистента Flo.
– Все статьи, видео и курсы, созданные при участии более 140 специалистов в области здоровья.

Начните бесплатно отслеживать цикл уже сегодня.

Политика конфиденциальности и Условия использования:
https://flo.health/ru/privacy-policy 
https://flo.health/ru/terms-of-use

Присоединяйтесь к Flo:
Веб-сайт: flo.health
TikTok: @flotracker
Instagram: @flotracker

Внимание! Приложение Flo не предназначено для постановки диагнозов и не должно использоваться в качестве метода контрацепции или для повышения вероятности зачатия. Прогнозы и советы в приложении содержат справочную информацию и не заменяют профессиональные медицинские консультации и лечение, а также не могут быть использованы для постановки диагноза. Обязательно обратитесь к врачу, если у вас есть медицинские проблемы или вам нужно принять решение, связанное со здоровьем.

Flo использует сервис HealthKit для чтения данных о менструальном цикле и экспорта ваших записей из Flo в приложение «Здоровье».

Если у вас возникли сложности при использовании приложения, свяжитесь с Flo по адресу support@flo.health.

Уведомление о разрешении доступа
Flo может запрашивать разрешение на следующие действия:
– Уведомления и напоминания в приложении.
– Загрузка фотографий в определенные дискуссии на форуме.
– Загрузка аудиозаписей в закрытые групповые чаты.
Вы сами решаете, стоит ли делиться своим контентом. У Flo нет к нему автоматического доступа. Вы сами выбираете, что хотите опубликовать.",2015-10-03T22:28:36Z,2025-11-19T19:58:17Z
ru,Russian Federation,Health & Fitness,6013,5,946099227,Yazio: Счетчик Калорий и Диета,YAZIO GmbH,https://apps.apple.com/ru/app/yazio-%D1%81%D1%87%D0%B5%D1%82%D1%87%D0%B8%D0%BA-%D0%BA%D0%B0%D0%BB%D0%BE%D1%80%D0%B8%D0%B9-%D0%B8-%D0%B4%D0%B8%D0%B5%D1%82%D0%B0/id946099227?uo=4,0.0,4.7843,116558,Health & Fitness,"Добро пожаловать в Yazio — самый эффективный ИИ-счетчик калорий с функциями интервального голодания и пищевого дневника, чтобы похудеть без строгих диет!

Ведите учет калорий, питайтесь лучше и достигайте своих целей с бесплатным счетчиком калорий Yazio!
Yazio – это универсальный инструмент для всех, кто хочет создать дефицит калорий, контролировать питание или использовать продвинутый ИИ-счетчик калорий. Yazio помогает худеть, набирать мышечную массу или поддерживать вес без экстремальных диет, опираясь на научный подход и современные технологии искусственного интеллекта.

- Удобный и простой ИИ-счетчик калорий и пищевой дневник
- Трекер дефицита калорий для достижения целей
- Огромная база данных, охватывающая более 95% всех продуктов питания
- Счетчик калорий со сканером штрих-кодов
- Планирование питания и персональные рецепты
- Трекер шагов и активности
- Трекер воды с напоминаниями
- Мгновенный доступ без регистрации
- Регулярные обновления счетчика калорий и ИИ-инструментов
- Подходит для мужчин и женщин
- Поддержка здорового набора веса и мышечной массы
- Фокус на долгосрочных и устойчивых результатах

Yazio помогает достигать целей благодаря 3 мощным инструментам:

1. Счетчик калорий
• Бесплатный интуитивно понятный подсчет калорий
• Пищевой дневник с настраиваемыми целями по калориям
• Анализ БЖУ и питательной ценности продуктов
• База из более чем 4 миллионов продуктов
• Удобный и умный учет питания
• Сканер штрих-кодов для быстрого добавления продуктов
• Рейтинги продуктов для осознанного выбора
• Добавление собственных блюд и планов питания
• Трекер шагов, тренировок и симптомов
• Учет потребления воды с напоминаниями
• Визуальная аналитика на основе ваших данных
• Советы экспертов по эффективному контролю питания

2. Здоровые привычки и интервальное голодание
• Трекер для разных планов интервального голодания
• Напоминания о времени приема пищи
• Гибкие планы голодания, включая 16:8 и 5:2
• Советы по кетозу, аутофагии и использованию энергии
• Полная интеграция с трекером калорий и питания
• Глубокая аналитика на основе ваших данных

3. Рецепты и планирование питания
• Более 2 900 вкусных рецептов для любых целей
• Еженедельные обновления с новыми идеями блюд
• Фильтры для низкоуглеводных, вегетарианских и веганских блюд
• Разнообразные блюда – от пиццы до десертов
• Умный список покупок для быстрого шопинга
• Пошаговый режим готовки

Переходите на Pro, чтобы ускорить прогресс.
Подписка Yazio Pro открывает доступ к продвинутым функциям приложения.
• Откройте расширенные инструменты учета калорий
• Посмотрите ваш персональный план питания и тренировок
• Получите доступ к подробному анализу продуктов
• Пользуйтесь расширенным трекером калорий
• Получайте индивидуальные планы питания, соответствующие вашим целям
• Синхронизируйтесь с Fitbit, Garmin и другими устройствами
• Следите за настроением, самочувствием и измерениями тела
• Отслеживайте прогресс с долгосрочными прогнозами
• Наслаждайтесь приложением без рекламы
• Получите максимум от счетчика калорий
• Поддержите команду Yazio

Оформите подписку на Pro в Yazio Счетчик Калорий, чтобы получить доступ к расширенным функциям и подробной аналитике. Подписка Pro предлагает больше возможностей и выгоднее, чем другие счетчики калорий и приложения для интервального голодания.
• Помощь: http://help.yazio.com
• Наша команда: https://www.yazio.com/en/about-us

Откройте для себя Yazio – лучшее приложение для отслеживания питания, подсчета калорий и здорового образа жизни!
Помогите нам сделать Yazio Счетчик Калорий лучше, чтобы он стал вашим главным инструментом для подсчета калорий и контроля веса. Есть идеи или предложения? Свяжитесь с нами!",2015-02-04T00:19:51Z,2025-11-17T07:22:12Z
ru,Russian Federation,Health & Fitness,6013,6,896501514,Трекер Периодов Мой Календарь,ABISHKKING LIMITED.,https://apps.apple.com/ru/app/%D1%82%D1%80%D0%B5%D0%BA%D0%B5%D1%80-%D0%BF%D0%B5%D1%80%D0%B8%D0%BE%D0%B4%D0%BE%D0%B2-%D0%BC%D0%BE%D0%B9-%D0%BA%D0%B0%D0%BB%D0%B5%D0%BD%D0%B4%D0%B0%D1%80%D1%8C/id896501514?uo=4,0.0,4.95275,162299,Health & Fitness,"Женский календарь - лучше из всех приложений для отслеживания цикла для девушек, чтобы отследить овуляцию, возможность забеременеть и цикл, используя множество функций нашего приложения, а также симпатичный дизайн и высокое качеством.

Вы влюбитесь в него с первого взгляда!!

Напоминание о приеме лекарства не позволит вам пропустить прием медикаментов, лекарств, добавок или применение противозачаточных средств (пилюль, кольца, пластыря или инъекции). Это как личный врач — вы никогда не пропустите время приема средства.

Вы принимаете лекарства дважды в день, пищевые добавки или витамины каждый день, лекарственные средства, отпущенные по рецепту, в течение месяца либо противозачаточные пилюли в течение 21 дня? Мы напомним вам о любом плановом приеме, и вы ничего не пропустите!

Кроме основной функции отслеживания цикла, с Женским календарем можно записать дополнительную информацию о себе, например симптомы, настроение, сексуальный контакт, вес, температуру, примечание или таблетки и т.д. Это разработано, чтобы быть Вашим личным дневником и милым секретарем.

Приложение не только просто в использовании, но также достаточно безопасно сохраняет все Ваши данные. Вы можете также поменять аккаунт, если хотите отследить цикл разных людей. Если необходимо, Вы можете даже послать данные своему доктору. Это должно сделать Вашу жизнь проще.

~~ O (∩ _ ∩) O ~~, если Вы используете и как Шпион Периода, регистрация Женщины и так далее, Вы должны попробовать этот Календарь Периода, который разгневан, Вы пытаетесь, не будет подводить Вас.

Пожалуйста, пошлите нам электронное письмо, если у Вас есть какие-либо предложения или вопрос.


Особенности:
* Синхронизировать данные с Apple Health

* Резервное копирование данных учетной записи Dropbox и реставрации

* Уникальный дизайн 

* 43 симптома и 64 настроения, чтобы выбрать на выбор

* Режим беременности

* Уведомление для цикла и овуляции

* Графики веса и температуры

* Управление лог файлами

* Отслеживание циклов менструации

* Цикл менструации, предсказание овуляции

* Определяются Ваши личные длина цикла и овуляция

* Вы может выбрать информацию за 1, 3 или все месяцы для подсчета средней длинны цикла

* Возможность завести неограниченное число аккаунтов

* Много языков на выбор

Условия и детали подписки:
- Неограниченный доступ ко всем функциям, 799 р. в месяц, 3 150 р. в год
- Оплата будет взиматься с iTunes Account при подтверждении покупки. 
- Подписка автоматически продлевается, если не отменить автопролонгацию не позднее чем за 24 часа до окончания текущего периода. 
- Оплата за продление подписки будет сниматься с вашего аккаунта в течение 24 часов до окончания текущего периода. 
- Управлять подписками и автопролонгацией можно через Установки Аккаунта после покупки. 
- Неиспользованное время тестового периода будет потеряно при покупке подписки. 
 
Политика конфиденциальности: https://pc.abishkking.com/privacypolicy.html
Условия использования: https://pc.abishkking.com/terms.html",2014-09-30T23:41:17Z,2025-11-24T03:56:24Z
ru,Russian Federation,Health & Fitness,6013,7,1493500777,Mi Fitness (Xiaomi Wear Lite),"Beijing Xiaomi Co., Ltd",https://apps.apple.com/ru/app/mi-fitness-xiaomi-wear-lite/id1493500777?uo=4,0.0,4.58214,72543,Health & Fitness,"Combining Mi Fitness with smartwatch or smartband devices, users can track their health and fitness data. 

Mi Fitness supported：Xiaomi Watch Series, Redmi Watch Series, Xiaomi Smart Band Series, Redmi Smart Band Series.

Keep track of your workouts
Map your route, monitor your progress, and achieve your goals. Whether it's walking, running, or biking, you can easily track it right from your phone.
Monitor your health information*
Mi Fitness APP assists you in managing your personal health, helping you to always maintain your optimal state. By connecting Xiaomi or Redmi smartwatch/band devices, important health indicators such as heart rate, sleep, stress, and energy can be monitored and risk warnings generated throughout the day. Health data such as weight and women's health can also be manually recorded and managed.
Sleep better*
In conjunction with Xiaomi or Redmi smartwatch/band devices that has sleep monitoring functionality, you can record your sleep information every night. By conducting in-depth analysis of the different stages of sleep, including deep sleep, light sleep, and rapid eye movement, as well as monitoring your sleep heart rate, breathing quality, body movements, and other sleep-related data, the device generates a personalized sleep report. This report can help remind you to adjust your sleep habits in a timely manner.
Easy payments with wearable device
Link your Mastercard cards to Mi Fitness and enjoy the convenience of making payments on the go with your wearable device.
Ask Alexa for convenient access
With Alexa, you can easily access important features like checking the weather, playing music, and starting a workout. Just ask and you're good to go.
Stay informed with notifications
Receive notifications, messages, and emails directly on your wearable device, so you can stay informed without having to constantly check your phone.

*Disclaimer
Except for the manual health information recording service provided to users, all other health services within the application only synchronize and record the relevant information of the wristband or watch. All health-related data, results, suggestions, etc. are for reference only and are not intended for medical purposes, including self-diagnosis or consultation with a doctor, and are only used for general fitness and health purposes.
Please note that all smartwatches/fitness trackers currently integrated into the application are not medical devices and cannot provide any form of medical services. In case of any physical discomfort, please seek timely advice from medical institutions.",2020-07-08T07:00:00Z,2025-11-17T11:26:23Z
ru,Russian Federation,Health & Fitness,6013,8,1325481372,HUAWEI Health,"Huawei Software Technologies Co., Ltd.",https://apps.apple.com/ru/app/huawei-health/id1325481372?uo=4,0.0,3.65737,21551,Health & Fitness,"Your go-to, integrated health and fitness companion. Whether you want to kick-start your fitness life, keep track of your health, or conveniently manage your smart wearable devices, the Huawei Health app has what you're looking for. Keep your data private, or share it with your loved ones, the power's yours. The latest in health and fitness technology, made simple, secure, and easy to use.

Keeps Up with Your Every Move
Keep track of your health journey. Huawei Health records your activity, supporting over 100 different sports, from beginner to advanced levels. See your workout data clearly every step of the way, so you can be sure you're reaching your goals. A wonderful world of fitness at the tip of your fingers.

Run How You Want
A simpler way to run that can benefit anyone. The app is able to record and map out your route as you're running, all while displaying key information so you can stay on target.

An Amazing Journey
Share your health journey with your friends and family. Your outdoor workout routes can be generated into videos with music for you to proudly share. Use Dynamic tracking to create videos to share on social media to inspire yourself and others with your fitness journey.

A New View on Health
See your life in amazing detail with Huawei Health stats. The app keeps records of your heart rate, weight, sleep quality, step count and more. All your data is shown in clear, dynamic graphs so you have a better understanding of your health in a more accessible way.

[health package]
·Synchronize with the weight data in healthkit. When you use the healthy weight data of Huawei mobile phone, this data will be synchronized and recorded in healthkit.
·Synchronize with motion data in healthkit. You can automatically synchronize the exercise data recorded in Huawei health to healthkit. Similarly, Huawei sports health can also obtain the exercise data from healthkit.

--------------------
Huawei Health app is not intended for medical use, and all data is for reference only.
You should seek a doctor’s advice in addition to using this app and before making any medical decisions.

--------------------
[Description of auto-renewing subscriptions]
1. Instructions for continuous monthly subscription
--Subscription period: 1 month
- Subscription price: 1 yuan for the first month, 15 yuan per month thereafter
2. Instructions for subscribing and unsubscribing
--Payment: Debit through the user's iTunes account, and the user will pay immediately after confirming the purchase
--Renewal: Apple’s iTunes account will be deducted within 24 hours of expiration. After the deduction is successful, the subscription period will be extended by one subscription period
--Unsubscribe method
Solution 1. Open the Appstore on your phone, click the blue avatar icon in the upper right corner, and then go to ""Subscription""> ""Huawei Sports Health"" to cancel the subscription.
Solution 2: 24 hours before the expiration of the current subscription period, go to the iTunes/Apple ID ""Settings Management"" page and turn off the automatic renewal. Cancellation within 24 hours before expiration will result in a subscription fee.
--Automatic renewal service agreement(EULA): https://consumer.huawei.com/minisite/cloudservice/health/monservice-terms.htm?country=CN&language=zh_Hans_CN
--Membership Agreement (including user privacy agreement): https://consumer.huawei.com/minisite/cloudservice/health/member-terms.htm?country=CN&language=zh_Hans_CN",2018-03-22T06:38:49Z,2025-11-15T10:18:33Z
ru,Russian Federation,Health & Fitness,6013,9,1028294311,OKOK·International,"Shenzhen Careyou Health Science and Technology Co., LTD",https://apps.apple.com/ru/app/okok-international/id1028294311?uo=4,0.0,4.44238,6587,Health & Fitness,"""OKOK International"" - это приложение, которое используется с интеллектуальными весами, совместимыми с Bluetooth, и успешно помогло миллионам пользователей эффективно достичь желаемого веса. С помощью этого приложения вы можете контролировать и управлять различными показателями здоровья, такими как вес, процент жира, процент воды в организме, мышцы и другие, используя весы с Bluetooth. Кроме того, OKOK предоставляет запись веса, анализ изменений и тенденций веса для отслеживания каждого изменения и поддерживает добавление нескольких членов семьи.

Это приложение совместимо с приложением ""Здоровье"" от Apple, и, если вы даете разрешение, мы можем синхронизировать все ваши данные о весе в приложении ""Здоровье"".

Описание членства:

Оплата: Если вы выберете приобретение членства, плата будет взиматься с вашей учетной записи iTunes.
Автопродление: Если вы выберете автоматическое продление, учетная запись iTunes от Apple будет автоматически списывать плату за 24 часа до окончания срока действия и продление подписки будет на один дополнительный период.

Отмена подписки: Для отмены подписки вручную откройте приложение ""Настройки"" на вашем устройстве Apple, перейдите в раздел ""iTunes Store и App Store"", нажмите на ""ID Apple"", выберите ""Просмотр ID Apple"", перейдите на страницу ""Настройки учетной записи"" и нажмите ""Подписки"" для отмены подписки на членство OKOK. Если вы не отмените подписку как минимум за 24 часа до окончания срока действия подписки, она будет автоматически продлена.

Соглашение об обслуживании пользователей с оплатой:
https://www.tookok.cn/license/okok/en/member_apple.html

Политика конфиденциальности:
https://www.tookok.cn/license/okok/en/privacy.html

Более подробную информацию о приложении ""OKOK International"" и предоставляемых нами услугах можно найти на сайте http://www.tookok.cn/index_en.html.",2015-08-20T01:01:54Z,2025-11-21T16:56:32Z
ru,Russian Federation,Health & Fitness,6013,10,1114387800,"Фитнес тренировки дома, в зале",FITNESS ONLINE MChJ,https://apps.apple.com/ru/app/%D1%84%D0%B8%D1%82%D0%BD%D0%B5%D1%81-%D1%82%D1%80%D0%B5%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8-%D0%B4%D0%BE%D0%BC%D0%B0-%D0%B2-%D0%B7%D0%B0%D0%BB%D0%B5/id1114387800?uo=4,0.0,4.81271,56113,Health & Fitness,"Fitness Online - спортивное приложение, с помощью которого вы сможете вести личный дневник тренировок бесплатно или найти себе лучшего персонального тренера из любого города для онлайн занятий фитнесом и бодибилдингом. Знакомьтесь с другими участниками, делитесь успехами, задавайте вопросы и получайте компетентные ответы, ну а главное, Fitness Online - это клуб по интересам, и главный из них - это здоровый образ жизни вместе со спортом навсегда!)

Основные возможности сервиса:
- Дневник тренировок: фиксируй результаты тренировок и получай комментарии тренера;
- Энциклопедия: узнавай новое и находи ответы на свои вопросы;
- Упражнения: свыше 850 упражнений с высококачественной живой анимацией;
- Диета: свыше 5000 продуктов с таблицей состава и подсчетом калорийности;
- Спортивное питание: неотъемлемая добавка к диете для быстрого роста мышечной массы;
- Фармакология: курс программы для профессионалов и выступающих спортсменов;
- Прогресс: делайте замеры и контрольные снимки для отслеживания изменений;
- Спортивная лента: хвастайся, задавай вопросы, знакомства и общение;
- Личные сообщения: общайся с тренерами и знакомыми в мессенджере;
- Сообщество: изучай успехи других и знакомься с понравившимися людьми;
- Тренерский штаб: выбери себе тренера по рейтингу и отзывам;
- Онлайн оплаты за услуги тренеров с пластиковой карты на карту инструктора с прозрачной статистикой;
- Возможность получать разовые услуги от тренеров или на ежемесячной основе.

Как это работает? 

У вас, как у занимающегося  (пользователя приложения), есть 2 опции в приложении для фитнеса: 
1. заниматься самостоятельно абсолютно бесплатно. Для этого вы можете из базы упражнений и продуктов составить себе, например, программу для похудения сами, заниматься по ней, обновлять ее и фиксировать результаты в дневнике тренировок.
2. Заниматься удаленно с фитнес инструктором на платной основе. Вы выбираете себе тренера по отзывам\ценам или личным симпатиям, общаетесь с ним через мессенджер внутренний, определяете цели, условия, ваши медицинские данные. Далее инструктор выставляет вам счет, вы его оплачиваете с помощью пластиковой карты и получаете от тренера, например, программу упражнений или правильное питание или ежемесячный курс с полным набором всего для достижения обговоренной цели: накачать идеальные ягодицы или похудеть, набрать мышечную массу или восстановиться после родов, используя занятия для дома. 
Если это будет ежемесячный курс - то тренер будет за определенную плату в месяц контролировать ваши результаты, давать комментарии по выполненным упражнениям, диете, корректировать программу упражнений, давать консультации в мессенджере - все для того, чтобы достичь поставленной цели до начала сотрудничества. У каждого фитнес инструктора свои тарифы. Мы приглашаем в проект только лучших фитнес тренеров, с которыми вы смогли бы достичь поставленных целей.

Внимание! Сервис не предусматривает занятия в реальном времени по видеочату.

Подробная информация о подписке:
- Платёж будет выполнен через аккаунт iTunes
- Подписка продлевается автоматически, если автопродление не отключить как минимум за 24 часа до конца действия текущего периода
- Оплата будет осуществлена за 24 часа до истечения текущей подписки, с указанием суммы платежа
- Управлять подпиской и отключить автопродление можно в настройках Аккаунта после покупки
- Пользовательское соглашение https://fitnessonline.app/ru/terms_of_use.html
- Политика конфиденциальности https://fitnessonline.app/ru/privacypolicy.html
Мы используем HealthKit для экспортирования физических активностей в приложение «Здоровье», а также для считывания пульса и других биометрических данных.

Если вы хотите стать фитнес тренером в приложении - напишите нам: coach@fitnessonline.app

Если у вас возникли вопросы технического характера, например, вы не можете войти в приложение или зарегистрироваться - напишите нам с указанием причины или ФИО вашего аккаунта на 
support@fitnessonline.app",2016-09-15T07:04:03Z,2025-10-01T14:07:09Z
