country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
rs,Serbia,Medical,6020,1,1602022063,eZdravlje RS,"Office for Information Technologies and eGovernment, Government of the Republic of Serbia",https://apps.apple.com/rs/app/ezdravlje-rs/id1602022063?uo=4,0.0,1.92727,55,Medical,"Pratite svoje parametre, pristupite podacima iz zdravstvenog sistema i kontaktirajte lekare",2022-01-12T08:00:00Z,2025-04-29T12:29:06Z
rs,Serbia,Medical,6020,2,505864483,Pregnancy + | Tracker App,Philips Digital UK Limited,https://apps.apple.com/rs/app/pregnancy-tracker-app/id505864483?uo=4,0.0,4.81538,65,Medical,"Download the world's leading pregnancy tracker app today, for free week-by-week pregnancy information and articles!

The Pregnancy+ app features expert advice, daily articles, healthcare tips and interactive 3D models so you can track your baby's development. Our pregnancy app has been downloaded over 80 million times by expecting families. Join our worldwide community today! 

Baby Development
► Unique, interactive 3D models showing your baby's development 
► Baby Size Guide helps you visualise your baby's size in fruits, animals & sweets
► Pregnancy Week-by-Week Guides explain what to expect in each pregnancy week
► Simple & informative Pregnancy Timeline highlighting important milestones

Pregnancy Guides & Information
► In-depth Pregnancy Guides covering breastfeeding, exercise, food, twins & more 
► Daily Pregnancy Articles, tailored to your pregnancy stage
► 2D & 3D Scans by pregnancy week for you to browse
► Daily Blog Posts with tips, tricks & helpful advice
► Upload photos in My Bump to create a visual pregnancy diary

Pregnancy Tools
► Pregnancy Due Date Calculator helps you work out when your bundle will arrive
► Kick Counter tracks your baby's movements & activity
► Pregnancy Weight Log helps you keep an eye on changes in your weight
► Contraction Timer measures contractions throughout your labour

Organise & Plan
► Pregnancy Calendar enables you to plan & document your prenatal appointments
► Hospital Bag helps you prepare your hospital visit, for Mother, Birth Partner & Baby
► Birth Plan allows you to customise, organise & export your needs & wishes
► To-Do List & Baby Shopping List for ideas of what you need to do & buy
► Search thousands of Baby Names for inspiration & share your favourites

Our EXCLUSIVE 3D Models
Enjoy our unique 3D models showing your pregnancy's week-by-week development, from blastocyst to foetus to baby. Our 3D models truly help you to connect with the baby growing inside you. 
► Choose from multiple ethnicities
► Zoom in or out & rotate to see the baby's intricate detail
► Watch guided pregnancy week-by-week walk-throughs
► Tap to see baby movements

Pregnancy Articles & Guides
If you're feeling overwhelmed by all the advice out there, don't worry. Our Pregnancy + tracker app will guide you through your pregnancy, week-by-week, keeping you up to date with your baby's development and helping you stay healthy through pregnancy and beyond. The Pregnancy+ app content is written in-house, with the help of medical experts, lactation consultants, midwives and, of course, parents.

Share your journey with friends & family
Our pregnancy tracker app can be personalised so your partner, future grandparents or best friend can join in the fun and follow your baby's development in the womb, from bump to birth! Keep everyone up to date with your pregnancy by inviting them to download the app today.

Follow us on Social Media
Facebook: facebook.com/PregnancyPlusApp
Instagram: @pregnancyplus

◆ Download Pregnancy+ App today ◆

Privacy Policy
https://info.philips-digital.com/PrivacyNotice?locale=en&country=GB

Terms of Use
https://info.philips-digital.com/TermsOfUse?locale=en&country=GB

This app is not intended for medical use, or to replace the advice of a trained medical doctor. Philips Consumer Lifestyle B.V. disclaims any liability for the decisions you make based on this information, which is provided to you on a general information basis only and not as a substitute for personalised medical advice. If you have any concerns about your pregnancy, consult with your doctor or midwife.

The Pregnancy + tracker app wishes you a healthy, full-term pregnancy and a safe delivery.",2020-04-10T07:00:00Z,2025-11-13T14:20:55Z
rs,Serbia,Medical,6020,3,1593953398,Anatomy Learning - 3D Anatomy,3DMedical OU,https://apps.apple.com/rs/app/anatomy-learning-3d-anatomy/id1593953398?uo=4,0.0,4.98182,55,Medical,"A true and totally 3D app for studying human anatomy, built on an advanced interactive 3D touch interface.

Features:
- You can rotate models to any angles and zoom in and out.
- Remove estructures to reveal the anatomical structures below them.
- 3D location quizzes to test your knowledge
- Switch on/off different anatomy systems
- Both male and female reproductive systems are available

Contents:
- Bones
- Ligaments
- Joints
- Muscles
- Circulation (arteries, vein and heart)
- Central nervous system
- Peripheral nervous system
- Sense organs
- Respiratory
- Digestive
- Urinary
- Reproductive ( both male and female)",2021-11-09T08:00:00Z,2025-11-10T18:33:33Z
rs,Serbia,Medical,6020,4,1472316290,Pregnancy Tracker・My Pregnancy,Aleksei Neiman,https://apps.apple.com/rs/app/pregnancy-tracker-my-pregnancy/id1472316290?uo=4,0.0,4.87457,582,Medical,"My Pregnancy is a week-by-week pregnancy tracker. Our app will help you over the course of your pregnancy. Stay on top of the changes happening inside your body. Find out how your baby is developing.

Our app is completely free and does not contain advertising.

This app includes:
- week-by-week advice;
- useful information on fetal development and changes in your body;
- week-by-week fetal measurements and imaging;
- a to-do list for each trimester;
- a list of things you will need for hospital check-in, post-natal care and check-out;
- a weight tracker you can use to follow weight gain;
- a kick counter;
- a contraction timer;
- and much more

We have created this app with love, specially for young mothers.

This app is not intended for medical use and is not a substitute for medical consultation.

If you have any questions or requests, please write to neumandev@gmail.com. We are eager to hear your comments on how to improve the app.",2020-04-13T07:00:00Z,2025-11-06T21:03:39Z
rs,Serbia,Medical,6020,5,1034069206,Anatomy 3D Atlas,Catfish Animation Studio S.r.l.,https://apps.apple.com/rs/app/anatomy-3d-atlas/id1034069206?uo=4,0.0,4.42856,7,Medical,"This app is freely downloadable, however in-app purchase is required to unlock the contents. 
The complete Skeletal System and a few other contents are always freely accessible enabling you to try the app properly.

""Anatomy 3D Atlas"" allows you to study human anatomy in an easy and interactive way. 
Through a simple and intuitive interface it is possible to observe every anatomical structure from any angle.
The anatomical 3D models are particularly detailed and with textures up to 4k resolution.

The subdivision by regions and the predefined views facilitate the observation and the study of single parts or groups of systems and the relationships between different organs.

""Anatomy - 3D Atlas"" is an application aimed at medical students, doctors, physiotherapists, paramedics, nurses, athletic trainers and in anyone interested in deepening their knowledge of human anatomy.
This app is a fantastic tool to complement classic human anatomy books.

ANATOMICAL 3D MODELS
• Musculoskeletal system
• Cardiovascular system
• Nervous system
• Respiratory System
• Digestive System
• Urogenital system (male and female)
• Endocrine system
• Lymphatic system
• Eye and ear system

FEATURES
• Simple and intuitive interface
• Rotate and zoom each model in 3D space
• Option to hide or isolate single or multiple selected models
• Filter to hide or display each system
• Search function to easily find every anatomical part
• Bookmark function to save custom views
• Smart rotation which moves the center of rotation automatically
• Transparency function
• Visualization of muscles through levels of layers from the superficial ones down to the deepest ones
• By selecting a model or a pin, the related anatomical term shows up
• Description of the muscles: origin, insertion, innervation and action
• Show/Hide UI interface (very useful with small screens)

MULTILINGUAL
• The anatomical terms and the user interface are available in 12 languages: Latin, English, French, German, Italian, Portuguese, Russian, Spanish, Chinese, Japanese, Korean and Turkish
• The anatomical terms can be displayed in two languages simultaneously",2020-04-10T07:00:00Z,2025-03-20T23:46:31Z
rs,Serbia,Medical,6020,6,824745955,Mediately Baza Lekova,"Modra Jagoda, spletno oblikovanje in razvoj mobilnih aplikacij d.o.o.",https://apps.apple.com/rs/app/mediately-baza-lekova/id824745955?uo=4,0.0,4.87995,908,Medical,"Aplikacija Mediately Vam pomaže da dobijete trenutne informacije o lekovima, ICD kodovima i drugom medicinskom sadržaju, tako da imate više vremena da se posvetite svojim pacijentima.
Mediately pojednostavljuje složeni medicinski sadržaj kako bi Vam pomogao u donošenju promišljenih odluka. Moči čete lako da pretražujete oflajn registar lekova sa više od 3700lekova i dobijete trenutni pristup interaktivnim kliničkim alatima i kalkulatorima doziranja. 

Instalirajte aplikaciju i odmah čete moči da uradite sledeče:


1. Pribavite informacije o više od 3.700 lekova. Za svaki lek možete da pogledate detaljne informacije, uključujuči:

• Osnovne informacije o leku (aktivna supstanca, sastav, farmaceutski oblik, klasa, lista lekova);
• Važne informacije iz SmPC dokumenta o leku (indikacije, doziranje, kontraindikacije, interakcije, neželjeni efekti, predoziranje itd.);
• ATC klasifikacija i paralelni lekovi;
• Ambalaža i cene;
• Pristup kompletnom SmPC dokumentu u PDF formatu (potrebna je veza s internetom).

2. Prilagodite pacijentove lekove tako da ne izazivaju ozbiljne interakcije

Ovo novo rešenje je prvo na tržištu i omogučava Vam da zamenite lek koji izaziva problematične interakcije sa lekovima koji imaju manje interakcija ili manje ozbiljne interakcije –  za samo nekoliko sekundi. Iskoristite listu predloženih zamenskih lekova ili ručno proverite izabrani lek.

3. Dobijte brze informacije o ograničenjima upotrebe lekova

Uštedite vreme uz pregled važnih ograničenja upotrebe lekova za oštečenje bubrega i jetre, dojenje i trudnoču.

4. Olakšajte pretragu odeljka o doziranju

Pretražujte odeljak o doziranju pomoču prečica za oštečenje bubrega i jetre, stariju i pedijatrijsku populaciju i način primene.

5. Pretražite širok opseg interaktivnih dijagnostičkih alata

Zajedno sa kompletnom bazom podataka o lekovima, aplikacija uključuje niz interaktivnih kliničkih alata i korisnih kalkulatora doziranja u vašoj svakodnevnoj praksi:

• BMI (indeks telesne mase);
• BSA (površina tela);
• CHA₂DS₂-VASc (rizik od moždanog udara skorom kod pacijenata s AF-om);
• GCS (Glazgovska skala kome);
• GFR (MDRD formula);
• HAS-BLED (visoki rizik od krvarenja kod pacijenata sa AF-om);
• MELD (model za završnu fazu jetre);
• PERC skor (kriterijumi za isključenje plučne embolije);
• Velsovi kriterijumi za plučnu emboliju.

Pronađite alate koje svakodnevno koriste hiljade lekara. 

Aplikacija takođe uključuje klasifikaciju bolesti ICD-10 i ATC sistem klasifikacije. Redovno ih ažuriramo, tako da uvek imate najnovije informacije.

Imajte na umu: Delovi ove aplikacije su namenjeni za upotrebu zdravstvenih radnika kao alat za podršku pri odlučivanju. Ne treba da ih koriste pacijenti i ne zamenjuju savet lekara.

Uslovi koriščenja: https://www.apple.com/legal/internet-services/itunes/dev/stdeula/",2020-04-10T07:00:00Z,2025-11-15T01:19:54Z
rs,Serbia,Medical,6020,7,968720724,Sleep Tracker & Sleep Recorder,"Apirox, s.r.o.",https://apps.apple.com/rs/app/sleep-tracker-sleep-recorder/id968720724?uo=4,0.0,4.57143,35,Medical,"Analyze snoring, talking, sounds, and more. Track your night like never before!
Awake or deep, light sleep too, Track it all—it’s made for you.

→ High-quality sleep audio recordings.
→ Make every morning a data-rich start to a well-rested day!
→ Get useful in-depth analysis and a tailored sleep experience with Prime Sleep Recorder.

Have less stress and listen to your snoring symphony or sleep-talking highlights. 
See the charts every morning. App with unique features and technologies to analyze your sleep and  improve the quality of your rest.

INSIGHTFUL MORNINGS
Just one click and Prime Sleep Recorder will collects and evaluates data, providing you with valuable insights every morning when you wake up.

TECHNOLOGY
Prime Sleep Recorder optimizes microphone sensitivity, utilizing your phone's hardware for precise sleep analysis through AI, providing accurate and visualized sleep data.

SCIENCE
Snore detection is powered by Artificial Intelligence (A.I.) with the support of a new Apple machine-learning technology. By using a large number of snoring and sleeping samples from various users, we are able to deliver a precise sleep analysis tailored to each individual in statistics and in snoring detection. Your personalized evaluation is crafted based on the vast dataset, ensuring a unique and tailored experience for every user.

HIGHLIGHTS:
▷ PERSONAL SLEEP SYMPHONY RECORDING
▷ EASY TO USE
▷ HIGH TECH SNORING DETECTION
Accurate snoring detection based on A.I.
▷ ONE CLICK POSSIBILITY TO RECORD ONLY SNORING
▷ LIFESTYLE FACTORS, WAKE-UP MOOD, NOTES
Assign factors (alcohol, coffee, stress, etc.) to each night and the mood after waking up, or add your own notes.
▷ AUDIO VISUALIZATION DURING RECORDING OR PLAYING
▷ MEMORY SAVING SYSTEM ON YOUR PHONE
aac audio compression for the best ratio quality and size
▷ EASY SHARING OF YOUR SLEEP SYMPHONY WITH YOUR FRIENDS:
Your sleep stories are meant to be heard. Turn your sleep recordings into a social media sensation!
▷ CHART AND DATA OF NOISE IN THE ROOM DURING THE NIGHT
▷ ADJUSTABLE RECORDING SOUND SENSITIVITY:
For different sound conditions in your room (a quiet or loud environment)
▷ ACTIVATION DELAY
Starts monitoring after a preset period of time.

▷ BACKGROUND MODE:
Monitoring and alarm runs also in background mode. Use your smartphone as usual without limitation.
▷ APPLE HEALTH INTEGRATION
▷ iCLOUD SYNCHRONIZATION
Synchronization among your devices and between free and paid versions.
▷ EXPORTING OF HISTORY TO CSV FILE

OPTIONAL APP EXTRAS:
●  Smart Alarms
●  Stop Snoring
●  Sleepy Sounds
● … and more

Our team is constantly working on new improvements to enhance your experience.

KNOW YOUR SLEEP HABITS WITH APP DESIGNED FOR:
Insomnia Fighters: tailored solutions for those battling with insomnia or other difficulties falling asleep.
Sleep Talkers and Snorers: capture and analyze your sleep talk and snoring patterns.

Focused Minds: Ideal for individuals wanting to enhance concentration for work or study.

Noise-Prone Sleepers: Designed for those easily affected by environmental noise during sleep.
Students under Pressure: Support for students facing the stress of examinations and schoolwork.
Quality Sleep Seekers: Tailored features for individuals striving to improve overall sleep quality.
Prime Sleep Recorder is more than an app; it's your personalized sleep companion, providing insights for a diverse range of sleep needs.


Terms And Conditions:
https://apirox.com/docs/sleep_recorder_lite/terms_and_conditions.php

Terms Of Use:
https://apirox.com/docs/sleep_recorder_lite/terms_of_use.php

Privacy Policy:
https://apirox.com/docs/sleep_recorder_lite/privacy_policy.php",2020-04-10T07:00:00Z,2025-11-12T21:41:31Z
rs,Serbia,Medical,6020,8,1335622289,DoktorOnline,Cosic D.o.o. Kakanj,https://apps.apple.com/rs/app/doktoronline/id1335622289?uo=4,0.0,5,2,Medical,"Doktor Online je platforma koja omogućava  konsultacije sa doktorima iz različitih oblasti. Sa Doktor Online možete jednostavno razgovarati sa doktorom putem videa ili poruke, gdje god da se se nalazite. Primite konsultaciju na telefonu ili tabletu.

Naša vizija je da pružimo dostupnost medicinskih konsultacija svima na inovativan i jednostavan način bez obzira na Vašu lokaciju.",2020-04-13T07:00:00Z,2020-04-13T07:00:00Z
rs,Serbia,Medical,6020,9,1243672846,Pregnancy App.,Amila Tech Limited,https://apps.apple.com/rs/app/pregnancy-app/id1243672846?uo=4,0.0,4.9283,265,Medical,"Pregnant? Just track your pregnancy week by week using Pregnancy App.

With Pregnancy App you can easily: 
- track your pregnancy;
- get information about your pregnancy;
- get current pregnancy week and use pregnancy calendar;
- calculate due date (pregnancy date);
- manage contractions with contraction counter
- track kicks with kick counter
- track your pregnancy weight

Pregnancy Tracker is very helpful for a pregnant woman.
Free pregnancy app. 
Powered by Amila.",2020-04-10T07:00:00Z,2025-10-09T23:01:35Z
rs,Serbia,Medical,6020,10,1363310321,Eucerin® put lepote,FCB AFIRMA DOO BEOGRAD,https://apps.apple.com/rs/app/eucerin-put-lepote/id1363310321?uo=4,0.0,4.43403,288,Medical,"Eucerin donosi lepotu darivanja u svom prvom u potpunosti digitalnom Programu lojalnosti pod nazivom „Put lepote“. Svakom kupovinom Eucerin preparata osvajate poene uz koje brzo i lako stižete do poklona: DermatoCLEAN 3 u 1 Micelarnog fluida za čišćenje 400 ml i DermoCapillaire Ph5 BLAGOG ŠAMPONA. Posetite najbližu Eucerin partner apoteku i odaberite svoje omiljene Eucerin preparate koji odgovaraju Vašoj koži. Preuzmite aplikaciju, evidentirajte kupovinu i čim dostignete prag za poklon, preuzmite poklon kod u aplikaciji i vratite se u apoteku u kojoj ste kupili Eucerin preparate kako biste preuzeli svoj poklon.Doživite svu snagu nauke u službi zdrave kože i prepustite se lepoti poklanjanja.",2020-04-13T07:00:00Z,2025-11-07T12:41:47Z
