country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
si,Slovenia,Lifestyle,6012,1,429047995,Pinterest: Lifestyle Ideas,"Pinterest, Inc.",https://apps.apple.com/si/app/pinterest-lifestyle-ideas/id429047995?uo=4,0.0,4.83539,8979,Lifestyle,"Pinterest is a place of endless possibilities. You can:
- Discover everyday inspiration
- Shop styles you love
- Try and learn something new

Create boards, save Pins and make collages of all your inspiration. Unlock billions of ideas, from fashion tips and easy recipes to DIY projects and fresh ways to redo your space. Creating the life you love? 

It's Possible.",2011-04-28T15:51:13Z,2025-11-19T16:28:23Z
si,Slovenia,Lifestyle,6012,2,6477820489,2025 Wrapped,Jibran Khalil,https://apps.apple.com/si/app/2025-wrapped/id6477820489?uo=4,0.0,0,0,Lifestyle,"Your year, wrapped.

See your stats from your camera roll, like

- Your cutest photo
- Your best friend
- Who fell off the most

And more!
 
Pricing -
twly offers a paid renewable subscription titled ""twly pro"" which grants access to premium recaps, with in depth analytics about their camera roll and recent photos they've taken. As long as the user is subscribed, they retain access to premium story generations for $3.99 a week.

Terms of Service (EULA): https://btwapp.co/agreement.txt
Privacy Policy: https://btwapp.co/privacy.txt",2024-12-28T08:00:00Z,2025-11-21T12:57:39Z
si,Slovenia,Lifestyle,6012,3,1462875428,Roborock,"Beijing Rockrobo Technology Co., Ltd.",https://apps.apple.com/si/app/roborock/id1462875428?uo=4,0.0,4.88175,1277,Lifestyle,"Roborock App is a dedicated application designed to control Roborock’s smart hardware devices. 
It supports network-enabled products in Roborock’s robotic vacuum cleaners, wet and dry vacuum cleaners, and molecular sieve-based washer dryers.
You can remotely control smart devices and check their status and cleaning progress through this app anytime, anywhere.
Easily unlock more advanced features through the Roborock app.

【Roborock Robotic Vacuum Cleaner】
· Check the cleaning map and path anywhere and anytime you want, and control the cleaning progress in real-time. 
· Choose from various personalized cleaning methods, including room cleaning, zone cleaning, scheduled cleaning, and spot cleaning routines.
· Set up frequently used cleaning tasks as routines for one-tap starts. 
· Choose multiple cleaning preferences, including Vacuum, Mop, Vac & Mop, SmartPlan (applicable to certain models only), and Customize mode. 
· Set up a personalized cleaning plan by adjusting suction power, water flow, cleaning frequency, and route (applicable to certain models only).
· Enables you to edit a map based on your home and set names for thresholds, carpets, floor types, furniture, and rooms. 
· Set up invisible walls and no-go zones and your robot will not cross or enter them during cleaning.
· Enjoy a variety of fun features, including remote viewing, obstacle photos, pet snapshots, cruise mode, pet search, and custom tones (applicable to select models only).

【Roborock Wet and Dry Vacuum Cleaner】
· Adjust water flow, suction power, roller speed, and detergent level (applicable to select models only) based on the floor and dirt level.
· Smart scheduled self-cleaning and drying: automatically initiates self-cleaning and drying based on historical operation records.

【Roborock Washer Dryer】
· Check the washing progress and operating status anywhere and anytime you want.
· Choose from over 20 smart washing and drying programs to meet the professional needs of various fabrics and clothing, ensuring optimal washing performance.
· Set one program as the App Program for quick access on the control panel.

【Permissions】
To provide certain services, you need to enable the relevant permissions on your mobile device. We will only need the relevant permissions and access your personal information (if relevant) when you use the relevant functions. For the optional permissions, you can refuse or withdraw these permissions at any time, for which you may not be able to use the corresponding services, but this will not affect other functions of the App. The current permissions that the app may need are as follows: 
· Location (Optional)
Accesses location information to connect to WiFi, find nearby devices ready for connection, and retrieve details about the current WiFi connection.
· Camera (Optional)
Enables the camera to scan QR codes for easier WiFi connection.
· Photos (Optional)
Allows access to photos for uploading profile pictures and attaching images when providing feedback. If your device supports features like downloading obstacle images, taking screenshots, or recording during remote viewing, photos and videos can be stored.
· Microphone (Optional)
Used for sound transmission on devices that support remote viewing.
· WLAN (Optional)
Facilitates connection to WiFi networks emitted by smart devices for communication and connectivity.
· Bluetooth (Optional)
Enables connection to Bluetooth signals from smart devices for communication and device connecting.
· Notifications (Optional)
Allows the app to send you device and system notifications.
· Local Network (Optional)
When connecting devices on the iOS local network, grants access to the local network to connect to WiFi networks emitted by smart devices.
· Siri & Search (Optional)
When opening Siri on iOS, interacts with Siri to control the starting and moving of devices based on the Routines set up in the mobile device.",2019-06-18T06:57:57Z,2025-11-19T09:35:50Z
si,Slovenia,Lifestyle,6012,4,547702041,Tinder Dating App: Meet & Date,Tinder LLC,https://apps.apple.com/si/app/tinder-dating-app-meet-date/id547702041?uo=4,0.0,4.18634,3998,Lifestyle,"MATCH, CHAT & DATE. IT STARTS WITH A SWIPE™.
With 97+ billion matches to date, Tinder® is the top free dating app and the best place to meet new people, with safety features that work to help you date more safely. Looking for love? An open relationship? Trying to find a date or new friends to chat with? Connect with local people everywhere on Tinder and get the best out of your dating experience:

Come As You Are: whether you're straight, gay, bisexual or anything in between, you can be who you are and find who you want on Tinder.
Date Beyond Photos: share your interests and learn more about your matches to get the conversation started.
Seek What You’re Looking For: set your relationship goals and make connections on your terms.

HOW TINDER WORKS
It’s easy and fun to find new people on Tinder®. Express yourself to make your personality shine in your profile and stand out to potential matches. Answer a prompt, share a little about you and show your face in your pics to increase your match-making potential. Use the Swipe Right™ feature to like and the Swipe Left™ feature to nope. If they like you back, It’s a Match! And with our double opt-in feature, it’s only a match if the interest is mutual.

PUT SAFETY FIRST
Try some of our safety features to help you make connections more confidently:

– Share My Date: share date plans with friends and fam, so they know who you’re planning to meet up with and where
– Get Photo Verified: verify your photos to help potential matches know it’s really you in that cute pic & increase your chances of matching
– Are You Sure / Does This Bother You: Tinder detects inappropriate language so people think twice before sending a disrespectful message
– Report a Profile: quickly report and block profiles with suspicious activity or inappropriate behaviour
– Block Contacts: take control and block anyone (like an ex) you don’t want to see on the app
– Video Chat: hitting it off in chat? Test your online dating chemistry and meet new people from home!

TRY TINDER PLUS
– Unlimited likes for you to catch feelings for as many new people as you want
– Use Passport Mode™ to match and chat with locals anywhere in the world before you arrive
– Unlimited Rewinds to undo your last like or nope
– Go Incognito and be seen only by the people you like

EXPERIENCE TINDER GOLD
– Get everything in Tinder Plus™, and try it out for a week before you commit to a monthly subscription
– See who likes you and match with them on the spot for faster connections
– Monthly Boost puts your profile to the top for 30 minutes to help increase your profile views
– Weekly Super Likes, because sometimes you really, really like someone

UPGRADE TO TINDER PLATINUM
Get most of Tinder’s premium features: join Tinder Platinum™ to get your likes prioritised with potential matches, send them a compliment before matching and more.

So what are you waiting for? Join millions of people worldwide! Tinder offers the most daters, increasing your chances of finding exactly what you're looking for. Download the best free dating app today!

––––––––––––––––––––
If you choose to purchase Tinder Plus®, Tinder Gold™ or Tinder Platinum™, payment will be charged to your Apple account, and your account will be charged for renewal within 24 hours prior to the end of the current period. Auto-renewal may be turned off at any time by going to your settings in the App Store after purchase. No cancellation of the current subscription is allowed during the active subscription period. If you don’t choose to purchase Tinder Plus®, Tinder Gold™ or Tinder Platinum™, you can simply continue using Tinder for free.

All photos are of models and used for illustrative purposes only.

Privacy: https://www.gotinder.com/privacy
Terms: https://www.gotinder.com/terms
Visit: https://www.tinderlove.com/",2012-08-03T01:43:39Z,2025-11-20T18:10:28Z
si,Slovenia,Lifestyle,6012,5,6741597552,Shamelesss,Martino Klapez,https://apps.apple.com/si/app/shamelesss/id6741597552?uo=4,0.0,4.5,8,Lifestyle,"Shameless

Get unlimited access to all features with our monthly subscription:

• Unlimited access to all date ideas
• Save unlimited favorites
• Share date ideas which can be scratched off even without the app

Subscription Details:
* App offers a subscription
* Auto-renews unless auto-renew is turned off at least 24 hours before the end of the current period
* Account will be charged for renewal within 24 hours prior to the end of the current period
* You can manage and cancel your subscriptions by going to your account settings on the App Store after purchase
* Any unused portion of a free trial period will be forfeited when purchasing a subscription

Shameless Premium Subscription

Get unlimited access to all features with our monthly subscription:

• Unlimited access to all positions
• Save unlimited favorites
• Advanced search filters
• Priority support

Subscription Details:
* Auto-renews unless auto-renew is turned off at least 24 hours before the end of the current period
* Account will be charged for renewal within 24 hours prior to the end of the current period
* You can manage and cancel your subscriptions by going to your account settings on the App Store after purchase
* Any unused portion of a free trial period will be forfeited when purchasing a subscription

Privacy Policy: https://www.shameless.app/privacy
Terms of Service: https://www.shameless.app/terms
End User License Agreement (EULA): https://www.apple.com/legal/internet-services/itunes/dev/stdeula/",2025-05-08T07:00:00Z,2025-06-09T12:45:04Z
si,Slovenia,Lifestyle,6012,6,957323480,Xiaomi Home,"Beijing Xiaomi Co., Ltd",https://apps.apple.com/si/app/xiaomi-home/id957323480?uo=4,0.0,4.10769,195,Lifestyle,"A professional app to help you manage your intelligent devices. 
•  Add new devices with a few easy steps
•  Control your device wherever you are 
•  Get the status of you devices in real time
•  Share your devices with friends and family members
•  Set up and perform intelligent tasks
•  Continued use of GPS running in the background can dramatically decrease battery life

【Mi Cloud Storage Automatic Renewal Service Description 】
- Renewal Service:7-day overwriting Renewal storage plan,30-day overwriting Renewal storage plan
- Renewal period:one month
- Renewal price: 7-day overwriting Renewal storage plan for 10 yuan/month, 30-day overwriting Renewal storage plan for 24 yuan/month
- Payment: after confirming the subscription, your Apple ID account will be debited;
- Cancel renewal:If you cancel the renewal, please manually turn off the automatic renewal function in the iTunes/AppleID settings management 24 hours before the current subscription period expires. Specific path:Please open the Apple mobile phone""settings""-->enter""iTunes store and AppStore""-->click""Apple ID"",select""View Apple ID"",enter the ""Account Settings""page,click""subscribe"",select Mi Cloud Storage unsubscribe. If you cancel within 24 hours before the expiration, the subscription fee will be charged;
- Renewal: Apple ID account will be deducted within 24 hours before expiration. After the deduction is successful, the subscription period will be extended by one subscription period;
- Mi Cloud Storage Automatic Renewal Service Agreement: https://camera.api.io.mi.com/cloud-service/app/doc/auto_renew-en.html，
- Mi Cloud Storage User Agreement: https://camera.api.io.mi.com/cloud-service/app/doc/user_licence-en.html
- About Cloud Storage Automatic Renewal: https://camera.api.io.mi.com/cloud-service/app/my_cloud.html?channel=iosinfo&locale=en#/renew
- Terms of Use and User Agreement: https://g.home.mi.com/views/user-terms.html?locale=en&type=userLicense
- Privacy Policy: https://g.home.mi.com/views/user-terms.html?locale=en&type=userPrivacy

【HealthKit】
- Your record after each weighing: BMI (body mass index), body fat percentage, weight, lean body mass will be shared to Apple Health.",2015-01-27T18:32:39Z,2025-11-20T14:37:49Z
si,Slovenia,Lifestyle,6012,7,1540081488,bolha.com,"Styria digital marketplaces, d.o.o.",https://apps.apple.com/si/app/bolha-com/id1540081488?uo=4,0.0,4.63723,2820,Lifestyle,"bolha.com je največji spletni oglasnik v Sloveniji, kjer več kot sto tisoč  prodajalcev in kupcev dnevno objavlja oglase, pregleduje ponudbe in uspešno trguje.

bolha.com aplikacija omogoča najhitrejšo objavo oglasov in iskanje med 1.200.000 aktivnih oglasov! Število novih uporabnikov se dnevno povečuje, saj lahko z bolha.com aplikacijo:

• hitro objavite oglase s fotoprepoznavo ustrezne kategorije,
• iščete in brskate po oglasih, tako da se preprosto vrnete na nedavna iskanja,
• shranite zanimive oglase in iskanja,
• urejate vaše oglase v novem, bolj preglednem vmesniku,
• kontaktirate prodajalce znotraj aplikacije,
• kontaktirate oddelek za pomoč uporabnikom,
• urejate vaše podatke,
• vplačujete sredstva na Dobroimetje (UPN nalog, SMS sporočilo, PayPal in Valú),
• odskočite oglas na vrh seznama s pomočjo funkcije Skok na vrh,
• oglase postavite na izpostavljene pozicije (Izpostavljen oglas in Super oglas).

Še vedno niste prenesli bolha.com aplikacije? Storite to zdaj in začnite trgovati na poti!",2021-01-07T08:00:00Z,2025-11-17T08:00:48Z
si,Slovenia,Lifestyle,6012,8,901397789,Home Connect App,Home Connect GmbH,https://apps.apple.com/si/app/home-connect-app/id901397789?uo=4,0.0,4.72671,483,Lifestyle,"Control your smart kitchen and home appliances from Bosch, Siemens, NEFF, Gaggenau, and our other brands in a simple and convenient way – with the official app for BSH Home Appliances.

Download the Home Connect app now – it’s free!

Get the most out of your smart home appliances. Home Connect allows you to manage your household in a whole new way. Whenever you want, from wherever you are.

•	Control and monitor your kitchen and home appliances
•	Easier use of appliances – start & stop, select quick or silent options
•	Get helpful push notifications, e.g., when your programme has finished
•	Save time and energy by creating automations
•	Enable exclusive in-app features and download software updates for your appliances
•	Find recipes and endless cooking inspiration

Control and manage your smart appliances anytime, anywhere

Did I switch off the oven? Instead of heading back home to check, simply take a look at the app. You will see and be able to control the status of your appliances straight away with immediate access to important functionalities, whether at home or on the go.

Be aware of all that’s important

Oh, the fridge door has been left open? When do I need to descale the coffee machine? How often should I clean the oven? Important notifications and reminders regarding maintenance and care will be sent to you automatically. And even if things don’t go to plan: by using remote diagnostics our customer service team will help you resolve any issue. You can also simply check the manual which is conveniently stored in the app.

Voice-control your appliances via Amazon Alexa, or Google Home

Whether it’s making coffee, preheating the oven, or starting the washing machine: Voice your command and Amazon Alexa or Google Home will take care of the rest. What’s more, you can use predefined or individual routines for recurring tasks to orchestrate your smart home, like having your coffee made at the same time each working day.

Finding the best programme and other little helpers

Dishwasher, dryer, or oven – depending on the appliance and task at hand, you will be recommended the ideal programme and settings, whether it’s a pile of dirty dishes, a load of washing, or the cheesecake recipe for your next family reunion. Based on your feedback, programmes can even improve over time to better fit your needs. And with Coffee Playlist you can conveniently fulfil your guests’ coffee requests to match that cheesecake.

Let your oven do the work

Don’t want to keep checking whether your dish is ready? Simply set the desired browning level for the selected dish and start the oven. Artificial Intelligence evaluates the browning level based on images taken by the integrated camera. The oven switches off as soon as the selected level is reached. The camera also lets you check your dish from anywhere on your smartphone.
 
Do you have any questions or feedback? Drop us a message at info.uk@home-connect.com, we’re happy to hear from you.",2019-05-07T17:49:22Z,2025-11-13T11:56:03Z
si,Slovenia,Lifestyle,6012,9,1517566572,Volkswagen,Volkswagen,https://apps.apple.com/si/app/volkswagen/id1517566572?uo=4,0.0,4.6119,773,Lifestyle,"The Volkswagen app is the digital companion for your Volkswagen. It allows you to use mobile online services, irrespective of which model you drive with which drive type and whether you have a VW Connect, We Connect or Car-Net contract.

With the Volkswagen app, for instance, as the primary user, you can view your Volkswagen vehicle’s current range, pre-set your preferred temperature, find filling stations and charging stations and much more!

Here are just a few of the wide range of services available:

•	Vehicle status: Check whether the vehicle is locked and the lights are switched off
•	Send your destination to your vehicle with ease before you travel
•	View the last parking position
•	Store your preferred authorised workshop or contact Volkswagen AG directly
•	Vehicle Health Report
•	View the remaining range and current charge level even when you're not in the vehicle

Find out for yourself! The scope of functions may vary in particular according to vehicle configuration, contract (VW Connect, VW Connect Plus, We Connect or We Connect Plus), software version and market. Certain functions may become available for your vehicle at a later date where applicable. 

You can find more information on connectivity on the Volkswagen website in the Connectivity section.

We Charge:
•	Availability of charging stations in real time and further details (operator, charging capacity, etc.)
•	Manage charging plans and charging cards and view charging history
•	Connect and control the charger at home

You can find more information on We Charge on the Volkswagen website in the We Charge section.

The Volkswagen app is the former We Connect ID. app and also incorporates the functions of the We Connect app.

Download the Volkswagen app and updates free of charge using the button. If you do not perform available updates, you may not be able to access the full range of functions in their entirety.

You can give us feedback from the Volkswagen app. We welcome praise, suggestions and constructive criticism. Please also let us know if the technology is playing up or there are any other issues.

To use the mobile online services, you need a Volkswagen ID user account and to log in to the Volkswagen app with your username and password. In addition, a separate contract (VW Connect, VW Connect Plus, We Connect or We Connect Plus) on the use of mobile online services must be concluded with Volkswagen AG online at www.myvolkswagen.net or via the Volkswagen app. More information is available at connect.volkswagen.com and your Volkswagen dealership.

ID.3 Pro: Electricity consumption in kWh/100 km: combined 16.5-15.2; CO2 emissions in g/km: combined 0. Consumption and emissions data is only available for the vehicle according to the WLTP, and not according to the NEDC. Information on consumption and CO₂ emissions with ranges depending on the selected equipment of the vehicle.

In practice, the actual electrical range varies depending on factors including driving style, speed, use of convenience/auxiliary equipment, outside temperature, number of passengers/additional load, topography and the battery's age and wear process.",2020-09-17T07:00:00Z,2025-11-04T17:59:56Z
si,Slovenia,Lifestyle,6012,10,1115101477,SmartLife - Smart Living,Volcano Technology Limited,https://apps.apple.com/si/app/smartlife-smart-living/id1115101477?uo=4,0.0,4.8,405,Lifestyle,"SmartLife is a smart device management App for you to control and manage your intelligent home products easier and to live smarter. 

SmartLife has integrated with HealthKit. It allows you to seamlessly connect your health records using the body fat scale to Apple Health, where BMI, weight, height, fat percentage, and more can be found in Apple Health's body measurements, giving you a clear and comprehensive picture of your health. You'll need to enable health privacy permissions for Smart Life.

During the use process, how to ask questions and comments can be feedback to us in the ""FAQ & Feedback"" in the app.You can also contact us in the following ways:
Official email: volcano@volcano-smart.com


Terms of Use (EULA): https://images.tuyaus.com/app/html/Service_Agreement_en.html
Privacy policy: https://developerapp.tuyaus.com/protocol/1479c88e9cc0101a?lang=en",2016-05-26T02:16:05Z,2025-11-16T22:36:20Z
