country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
sr,Suriname,Lifestyle,6012,1,429047995,Pinterest: Lifestyle Ideas,"Pinterest, Inc.",https://apps.apple.com/sr/app/pinterest-lifestyle-ideas/id429047995?uo=4,0.0,4.6759,1768,Lifestyle,"Pinterest is a place of endless possibilities. You can:
- Discover everyday inspiration
- Shop styles you love
- Try and learn something new

Create boards, save Pins and make collages of all your inspiration. Unlock billions of ideas, from fashion tips and easy recipes to DIY projects and fresh ways to redo your space. Creating the life you love? 

It's Possible.",2011-07-10T12:50:39Z,2025-11-19T16:28:23Z
sr,Suriname,Lifestyle,6012,2,1596550932,NGL: ask me anything,"Streaming Clips, Inc",https://apps.apple.com/sr/app/ngl-ask-me-anything/id1596550932?uo=4,0.0,4.63571,140,Lifestyle,"How to use NGL:
1. Share your NGL Link
2. Friends answer right on your story
3. Get responses on NGL

To ensure the safety of our users, NGL leverages Hive Moderation’s automated moderation solution as the first line of defense to scan messages for inappropriate content. 

-

NGL Pro members have access to:
- Exclusive access to Pro games
- Hints about who sent each of their messages
- Early access to new features

NGL Pro is a paid renewable subscription.

-

Terms of service: https://ngl.link/terms-of-service
Privacy policy: https://ngl.link/privacy-policy",2021-12-10T08:00:00Z,2025-11-19T16:22:50Z
sr,Suriname,Lifestyle,6012,3,351331194,Badoo: Dating app & Friends,Badoo Software Ltd,https://apps.apple.com/sr/app/badoo-dating-app-friends/id351331194?uo=4,0.0,4.68254,63,Lifestyle,"Boost your dating confidence with Badoo— the dating app that makes it easy to express your true self.
 
It’s an encouraging, safe space that’s designed to help you make more meaningful connections.
 
How? By keeping it simple, helping you take action with confidence, and giving you the features and support you need to find whatever you’re searching for. Whether that’s dates, a long-term relationship, new friends, or chats.

Plus, with our latest tech that aims to block fake, scam, and spam accounts, you can say hello to a fun and authentic dating experience. 
 
Download Badoo to take your dating confidence to another level.""

Back yourself
On Badoo, it’s all about celebrating you and staying true to your needs. With our various features, it’s easy to put yourself out there with confidence.
Trust your experience
Badoo is a platform that prioritises authenticity. Profile photos can be verified and there are strict user guidelines in place.

How Badoo works
Focusing on who you are and what you want, here are some features making it easier for you to meet your kind of people:  
-Advanced Filters: Finesse your search, and save your time
-Profile Questions: Easily champion your personality
- People Nearby: Meet daters around you
- Encounters: Straight forward swiping, right to connect and left for skip
- Video Chat: Connect with your matches through face to face video calling
- Verified profiles: We have a three-step verification process which, once completed, you can choose to only interact with other verified profiles and find friends
- Blur intimate photos: Using AI, our Private Detector feature detects explicit photos and will let you decide if you want to view or block the image
- Deception Detector: Our new tech that aims to block fake, scam, and spam accounts, so you can have a fun and authentic dating experience""

Go Premium
Maximise your dating experience. When you upgrade to Badoo Premium, you’ll unlock plenty of features that will make it even easier to find meaningful connections:

- See who's already liked you
- Find exactly what you’re looking for with unlimited Advanced Filters
- Get your messages read first
- Send unlimited likes
 - Control who sees your profile with Invisible Mode
- Undo accidental left swipes  
- And much more...

The price varies by country and may change without notice, but you can always see the exact price in the app. We will charge your card and your subscription will be automatically renewed unless you deactivate the automatic recharge a minimum of 24 hours before the end of your current subscription period. Badoo Premium is flexible and adapts to your needs - you can cancel your subscription at any time.
 
For more information, read our Privacy Policy and Terms of Use:
https://www.badoo.com/privacy
https://badoo.com/terms
 

Bumble Inc. is the parent company of Badoo, along with Bumble and Fruitz",2022-01-19T08:00:00Z,2025-11-17T01:03:35Z
sr,Suriname,Lifestyle,6012,4,6739033435,Vaya Astrology,ANUVAYALABS TECHNOLOGIES PRIVATE LIMITED,https://apps.apple.com/sr/app/vaya-astrology/id6739033435?uo=4,0.0,0,0,Lifestyle,"Ask about your life's moments. 

Get instant astrological guidance, kundli matching & accurate marriage predictions from Vedic Astrologers.

SEEK GUIDANCE ON
- Marriage timing & compatibility
- Career decisions & business ventures
- Financial planning & investments
- Relationship challenges
- Life purpose & spiritual growth
- Auspicious timing for important events

FEATURES OF VAYA 
- Chat with Vedic Astrologers and find answers to life's questions.
- Get predictions about when you will get married, auspicious timelines (Mahurat) for business, job or marriage. 
- Generate Kundli based on your birth date and time, birth location, and name. 
- Match your Kundli with current or potential partners and get guna scores. 
- For couples, we have compatibility analysis and how to navigate your relationship and its hurdles.

ABOUT ASTROLOGERS 
- All of our astrologers are from accredited institutions and trained with Vedic institutions like ICAS, Bharatiya Vidya Bhavan, Astronomical Society of India. 
- Have a minimum of 6+ years of experience
- Have analysed over 1L+ Kundlis 
- Provided solutions for Manglik Dosh, Sade Sati, Nadi Dosh and marriage challenges. 

For feedback, please reach out directly to the founders at founders@anuvaya.com

Follow our Instagram, it's funny: https://www.instagram.com/vaya.so
From the Stars: https://vaya.so/blog

Disclaimer: 
We believe that astrology while based on scientific planetary positions and the cosmic landscape, the system of knowledge used to come up with predictions should be used as a guiding force for life and not necessarily the absolute truth. There is nothing stronger than free will.",2025-08-23T07:00:00Z,2025-09-26T06:46:06Z
sr,Suriname,Lifestyle,6012,5,1624758651,Couple Joy - Relationship App,HEARTBIT S.R.L.,https://apps.apple.com/sr/app/couple-joy-relationship-app/id1624758651?uo=4,0.0,5,7,Lifestyle,"Stay connected to the one you love, even when you’re apart. Join your partner on Couple Joy to have fun together, strengthen your bond, and discover new things about each other.

STAY CONNECTED

- Personalize your screen with adorable couple widgets.
- Share your mood and see how your partner is feeling in real-time.
- Track the distance between you and watch it shrink as you get closer to seeing each other.
- Celebrate your love by tracking how long you’ve been together.

GET TO KNOW EACH OTHER

- Play fun games and uncover new sides of your partner.
- Build intimacy with meaningful daily questions.
- Chat in real-time about your quiz answers for deeper connections.

GROW TOGETHER

- Watch your relationship thrive as you extend your daily streak.
- Count down to birthdays, anniversaries, and exciting future plans!
- Capture your journey together with photos in your shared journal.

Couple Joy has everything you need to make your relationship even more special. It’s the perfect space to have fun, create lasting memories, and stay close—no matter the distance.

Download Couple Joy and invite your partner today!

Terms of Use: https://couplejoyapp.com/terms
Privacy Policy: https://couplejoyapp.com/privacy
Contact us: contact@couplejoy.app",2022-05-28T07:00:00Z,2025-11-20T09:40:55Z
sr,Suriname,Lifestyle,6012,6,1355964934,Zosi Smart,"ZOSI Technology Co. , Ltd",https://apps.apple.com/sr/app/zosi-smart/id1355964934?uo=4,0.0,4.55556,27,Lifestyle,"The zosi app allows you to remotely manage your camera anytime, anywhere. And check your property and personal safety, you can also turn on notifications to get every alarm push from the camera",2018-03-14T23:54:57Z,2025-09-22T07:40:06Z
sr,Suriname,Lifestyle,6012,7,1288415553,Wyze - Make Your Home Smarter,"Wyze Labs, Inc.",https://apps.apple.com/sr/app/wyze-make-your-home-smarter/id1288415553?uo=4,0.0,4.4949,196,Lifestyle,"The Wyze app is your gateway to a smarter life and a safer home. Wyze, based out of Seattle, WA, makes smart tech at super-accessible prices, trusted and backed by a community of over 5 million users just like you.

 

------- This is where it all lives. -------
Shop, set up, view, and interact. Craft the ideal smart home for you and your family, and then control your smart devices from our ecosystem of affordable high-quality tech – all tied together in an app that won’t stress you out.

 

------- The cams that started it all. -------
Our first product was the trendsetting Wyze Cam: a multi-purpose indoor smart camera that helped our users keep an eye on what matters most without a hefty price tag. Now, Wyze has a full lineup of wired and wireless smart cameras fit for any occasion - whether that’s to serve as a baby monitor, capture proof of the pests in the garden, watch over your loved ones (including pets!), and nearly everything else. Wyze Cams are even more powerful when enhanced with our optional Cam Plus subscription.

• Wyze Cam Outdoor
• Wyze Video Doorbell
• Wyze Cam Pan
• Wyze Cam v3
• Wyze Cam v2
• Wyze Cam v1

 

------- Safety shouldn’t break the bank. -------
Keep an eye on your family and possessions with the award-winning Wyze Home Monitoring subscription, powered by our friends at Noonlight. It’s smart, straightforward, and ultra-affordable - that’s home security the Wyze way. For those that prefer to keep tabs on their home themselves, you can use motion and open detection from Wyze Sense alongside Wyze Cam detection notifications for self-monitoring instead.

• Wyze Home Monitoring Service
• Wyze Sense v2
• Wyze Sense
• Wyze Sense Bridge
• Wyze Motion Sensors
• Wyze Entry Sensors

 

------- Convenience from the comfort of your couch. -------
Switch up your ambiance with our line of top-rated dimmable smart bulbs including Wyze Bulb Color and its impressive 16-million color range. Don’t want to swap out your bulbs? You can add focused illumination where you need it with Wyze Floor Lamp for tasks and hobbies or convert your existing lamps, light fixtures, small appliances, and more into smart devices with our lineup of smart plugs.

• Wyze Bulb Color
• Wyze Bulb
• Wyze Plug Outdoor
• Wyze Plug
• Wyze Floor Lamp

 

------- Spend more time doing what you love. -------
Auto-unlock your front door when you get home, auto-water the garden, auto-adjust the temperature, auto-vacuum the floors, and more. Reserve your home time for relaxation and fun instead of routine chores using our lineup of friendly smart home devices.

• Wyze Lock
• Wyze Thermostat
• Wyze Sprinkler Controller
• Wyze Robot Vacuum

 

------- A window to a happier, healthier you. -------

Our Health and Lifestyle products are here to help you track your wellness, stay connected, and jam out to your favorite music. From smartwatches and smart scales to earbuds and headphones, we’re sure to have the perfect product for living your best life. Enhance your health tracking experience with our innovative Wyze Scale, now fully integrated with Apple Health. This feature allows you to effortlessly sync your health data - including weight, body fat percentage, water percentage, and more - directly with Apple Health！

• Wyze Watch 44mm
• Wyze Watch 47mm
• Wyze Scale
• Wyze Band
• Wyze Buds Pro
• Wyze Buds
• Wyze Noise-Cancelling Headphones",2017-10-14T04:50:55Z,2025-11-19T22:19:49Z
sr,Suriname,Lifestyle,6012,8,6746407452,PicMi - Wallpaper & Widgets,BUD INTERACTIVE PTE. LTD.,https://apps.apple.com/sr/app/picmi-wallpaper-widgets/id6746407452?uo=4,0.0,4.66667,9,Lifestyle,"PicMi – Your AI Studio for Live Wallpapers, Charging Animations & Aesthetic Widgets

Bring your favorite photos and videos to life with PicMi — the ultimate DIY wallpaper and widget studio powered by AI. Whether you’re expressing your fandom, capturing your vibe, or making your screen truly you, PicMi makes it easy.

What You Can Create with PicMi:
	•	AI Dual Wallpapers
Turn selfies or idol pics into dreamy, perfectly paired lock screens — ideal for couples, besties, or your solo aesthetic. Just upload a photo and let AI do the magic.
	•	DIY Live Wallpapers
Upload your own video clips to create custom animated wallpapers. Make your phone feel alive with personal vibes.
	•	AI-Generated Wallpapers from Photos
Choose from dozens of aesthetic templates (Y2K, anime, pastel, dreamy, moody, and more). Upload a photo and get an instant transformation.
	•	DIY Charging Animations
Make your charging screen stand out. Upload a video to create fun, custom charging animations with style.
	•	Photo-to-Widget Fun
Turn your selfies or pet photos into playful widgets using our AI widget maker. Cute, quirky, and totally you.

Daily Prompts & Trending Aesthetics
Stay inspired with new themes, styles, and fandom-inspired templates refreshed daily.



How It Works:
	1.	Choose your template or effect (wallpaper, widget, animation, etc.)
	2.	Upload your photo or video
	3.	Customize your vibe with AI magic
	4.	Save or apply instantly to your lock screen or home widgets



Why PicMi?
	•	Create dual-screen wallpapers for couples & friends
	•	Design fully custom live wallpapers and charging screens
	•	Turn everyday pics into AI-crafted art
	•	Refresh your look without digging through Pinterest
	•	Make your screen reflect your story


Go Pro to Unlock Everything
	•	Premium templates & effects
	•	High-resolution downloads
	•	Ad-free experience
	•	Daily exclusive content drops

Subscription Plans:
	•	Weekly: $5.99/week
	•	Yearly: $39.99/year

Auto-renews unless canceled 24 hours before the billing cycle ends. Manage subscriptions via Apple ID.



Contact & Support

Need help or have a feature request? We’d love to hear from you.
	•	Email: support@budcreate.xyz
	•	Privacy Policy: https://charmed-snapdragon-05b.notion.site/Privacy-Policy-11f02b780450800b8f73dd12a6b4d9e4
	•	Terms of Use: https://www.apple.com/legal/internet-services/itunes/dev/stdeula/",2025-06-12T07:00:00Z,2025-10-10T09:30:41Z
sr,Suriname,Lifestyle,6012,9,930441707,Bumble Dating app: Meet People,Bumble Holding Limited,https://apps.apple.com/sr/app/bumble-dating-app-meet-people/id930441707?uo=4,0.0,4.06667,30,Lifestyle,"The dating app bringing people closer to love

Bumble is the dating app where people meet, make connections, and start their love stories. We believe meaningful relationships are the foundation of a happy, healthy life — and we're here to help you find yours with a commitment to member safety and tools that empower confident dating.

Match with the right people, date, and find meaningful connection

Bumble is a free app for meeting singles and building connections grounded in mutual respect and trust. Whether you’re ready to find the one or date for fun, Bumble can help you connect with real people to build something authentic.

As champions of love, we prioritize creating a space where our members feel respected, confident, and empowered to make connections

- Our members are at the heart of everything we do
- We put safety first — so you can date with confidence, knowing you’re connecting with verified matches
- Respect, courage, and joy guide how we show up — and inspire others to do the same

Try our free features — built to make dating easier
- For better connections, conversations, and dates, personalize your profile with interests and prompts to showcase who you are, what you’re into, and what you’re looking for
- Trust that the person you’re talking to is real with ID Verification
- Feel confident with expert-backed dating advice designed to help you succeed
- See what music you bond over by linking your Spotify account
- Video chat and share your favorite pictures with your matches to get to know them better
- Chat with peace of mind — knowing that when you’re talking to new people, all messages must meet our community guidelines
- Get extra reassurance by sharing the details of your meetups with someone you trust
- If you’re ever in need of a dating break, hide your profile with the Snooze Mode (you'll still keep all your matches)

Want even more ways to connect? Bumble Premium unlocks extra features to boost your dating experience
- See everyone who likes you
- Use Advanced Filters like “What are they looking for?” to meet people who share your values, hobbies, and goals
- Rematch with expired connections — so you don’t miss out on a great potential date
- Browse anonymously with Incognito Mode and only seen by who you want to see you
- Extend your matches by 24 hours
- Swipe as much as you like to meet more people
- Tap into dating scenes around the world with Travel Mode
- Stand out and get noticed with free SuperSwipes & Spotlights, refreshed weekly

Inclusivity is key
At Bumble, we promise to support and include all forms of love: straight, gay, lesbian, queer, and beyond. We want everyone in our community to feel safe and welcome. So no matter how you identify, if you're looking for a place to chat, date, and find real love, we’ve got what you’re looking for.

---
Bumble is a free dating app to download and use. We offer optional subscription packages (Bumble Boost & Bumble Premium) and non-subscription, single, and multi-use paid features (Bumble Spotlight & Bumble SuperSwipe). Your personal data is securely processed in line with our privacy policy and applicable laws—be sure to read our privacy policy and terms and conditions.
https://bumble.com/en/privacy
https://bumble.com/en/terms
Bumble Inc. is the parent company of Bumble, Badoo, and BumbleBFF, social networks, and dating apps free to download and use.",2015-02-06T09:17:07Z,2025-11-17T09:23:19Z
sr,Suriname,Lifestyle,6012,10,338701294,OkCupid: Online Dating App,OkCupid,https://apps.apple.com/sr/app/okcupid-online-dating-app/id338701294?uo=4,0.0,4.42856,14,Lifestyle,"Get the best online dating app experience and find a match based on who you really are and what you love. OkCupid is all about inclusive online dating for every single person!
We know how hard it is to find a serious relationship, to have that meaningful connection (and dare we say -find love?!) with another special person, but don’t worry - we’re here to help!
Great dates come from great connections - that’s why OkCupid shows off who you are beyond a photo. Meet new people and find love based on what makes you, well, you - because you deserve it. It’s a free dating app that you’ll super like ;)

* Love doesn’t discriminate, and neither does OkCupid. Create a free dating profile that highlights what makes you special and unique 
* Choose from over 60 different gender identities and sexual orientations: Gay, Lesbian, Bisexual, pansexual, queer and more. Let those colors shine through, queer dating is here!
*  She/her, he/him, they/them - highlight your gender pronouns and meet locals near you!
* Go on great dates, and find your match answering our unique questions!
* Round it off with your cutest profile picture and you’re ready to meet new people, find love or a great date for tonight. 
* meaningful connections can come in many shapes and sizes - create new friendships, chat with new and interesting people, or find a new exciting romance!

OkCupid isn’t just another online dating app. Our free dating app helps you meet singles, connect, chat or have a deep conversation through our one-of-a-kind messaging system. Focus on the connections you’re interested in, without the ones you’re not. Then, plan to meet up and go on great dates - whether you’re looking for local dating, virtual dating or anything in between!

Take the stress out of online dating 
OkCupid can help you find your match, whether you want casual dating, marriage, or just to find your love story – YOU choose what matters. Match with people with similar interests and receive personalized compatibility % when you answer our unique questions. We’re here to help you find relationships on your terms. 

Flirt, find love, build connections and go on great dates with OkCupid, the best free dating app! Download now!

MATCH, CONNECT AND MEETUP 
• Meet people and find relationships with our unique messaging system
• Local dating features help you meet people nearby

DATING APP UPGRADE 
OkCupid is a free dating app for everyone, but we offer an optional premium subscription that unlocks exclusive features. Additional premium dating features include:
See who likes you without having to like them first
Send unlimited likes for more matches!
Set Dealbreakers so you can find just who you're looking for, and match on what matters

WHAT PEOPLE ARE SAYING 
“Want to have ‘hell yes’ first dates? OkCupid is the perfect wingman.” - Huffington Post
“OkCupid may be the OG of dating sites, but that doesn’t mean it’s done innovating.” - Glamour
“OkCupid is giving you a chance to really connect with someone…” - Elite Daily

Meet singles and find a great connection – download OkCupid and enjoy the best online dating app today!

Privacy: https://okcupid-app.zendesk.com/hc/en/articles/22780694078491
Terms: https://okcupid-app.zendesk.com/hc/en/articles/23941864418203",2011-07-09T15:30:39Z,2025-11-20T16:28:41Z
