country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
ch,Switzerland,Medical,6020,1,1592376413,OneDoc,OneDoc SA,https://apps.apple.com/ch/app/onedoc/id1592376413?uo=4,0.0,3.86905,84,Medical,"Finden Sie den richtigen Arzt und buchen Sie Ihren Termin in der Schweiz!

Die mobile Anwendung OneDoc ermöglicht es Ihnen:
- Den richtigen Arzt in der Schweiz zu finden
- Innert Sekunden direkt einen Arzttermin zu buchen - 24/7
- Ihre Terminerinnerungen per E-Mail und SMS zu erhalten
- Ihre Terminhistorie und Ihr Behandlungsteam schnell zu finden

OneDoc ist der führende Anbieter für medizinische Terminbuchungen in der Schweiz mit: 
- 2.6+ Millionen Registrierte Patient:innen
- 13.000+ Partner:innen in der Gesundheitsbranche

[:mav: 1.2.2]",2022-05-27T07:00:00Z,2025-11-12T21:40:06Z
ch,Switzerland,Medical,6020,2,613058743,EchoSOS,MobileMed Sarl,https://apps.apple.com/ch/app/echosos/id613058743?uo=4,0.0,4.17073,41,Medical,"EchoSOS verbindet Sie im Ernstfall sofort mit dem richtigen Notdienst. Die App zeigt automatisch die passende Notrufnummer an, übermittelt Ihren Standort per GPS und ermöglicht es Ihnen, wichtige medizinische Informationen direkt mit Rettungskräften zu teilen. Dadurch können lebensrettende Minuten gewonnen werden. 

Lokale Notrufnummern weltweit
Die Notrufnummern von über 130 Ländern sind in der App hinterlegt. Sie sehen jederzeit die für Ihren Standort relevanten Notrufnummern auf dem Homescreen.

Präzise Standortübermittlung
Ihr Standort wird per GPS an die Rettungsdienste weitergegeben, auch ohne aktive Internetverbindung.

Notfallkarte
Die Notfallkarte zeigt nahegelegene Notfallstationen, Permanenzen und Defibrillatoren. Bei Partnerorganisationen finden Sie zusätzlich Kontakt- und Belegungsinformationen.

Digitaler Notfallpass
Speichern Sie wichtige medizinische Daten wie Blutgruppe, Allergien oder Medikamente und teilen Sie diese im Notfall direkt mit dem medizinischen Personal.

Echo Wallet
Bewahren Sie weitere wichtige Nachweise sicher im Echo Wallet auf.

Notfall-Ratgeber
Hilfreiche Artikel und praktische Tipps zu medizinischen Notfällen.

Testfunktion
Überprüfen Sie im Voraus, ob die Standortübermittlung reibungslos funktioniert.",2013-04-15T08:22:44Z,2025-11-13T07:30:54Z
ch,Switzerland,Medical,6020,3,1566346365,Well. Deine Gesundheit digital,Well Gesundheit AG,https://apps.apple.com/ch/app/well-deine-gesundheit-digital/id1566346365?uo=4,0.0,4.04778,293,Medical,"Mit der Well-App hast du deine Gesundheit selbst in der Hand – überall und jederzeit. Sie ist dein zuverlässiger Begleiter auf dem gesamten Behandlungspfad und gibt dir einen 
selbstbestimmten, sicheren und digitalen Zugang zu Gesundheitsdienstleistungen und deinen persönlichen Daten. Um dir das zu ermöglichen, bringt die Well-App erstmals 
Ärztinnen und Ärzte, Apotheken sowie Krankenversicherer auf einer Plattform zusammen.

Was bietet dir die App:
- Symptome checken und Empfehlung erhalten
- Mit einer Ärztin oder einem Arzt chatten
- Telemedizintermine buchen
- Medizinische Dokumente direkt in die App erhalten und ablegen
- Ärztin oder Arzt nach Standort finden
- Ärztlich geprüfte Hausmittel entdecken
- Verlässliche Medikamenten-Empfehlungen bekommen
- Von Vorsorgeempfehlungen profitieren
- Umfassende medizinisch geprüfte Informationen zu Krankheiten
- Sichere Dokumentenablage nutzen
- Grippeimpftermine buchen
- Und laufend mehr ...

Well ist ein Gemeinschaftsprojekt von Schweizer Partnern aus verschiedenen Bereichen des Gesundheitswesens: CSS, Medi24, Visana, DocMorris, Galenica und Swiss Medical Network. Deine Daten sind sicher auf Schweizer Servern gespeichert und nur du entscheidest, wann und mit wem du deine Daten teilen möchtest. Es werden keine Daten, ohne Zustimmung der Nutzer:innen, mit Versicherungen geteilt.

Mehr zu Well findest du unter www.well.ch",2021-08-23T07:00:00Z,2025-11-20T10:44:08Z
ch,Switzerland,Medical,6020,4,638452896,Medgate,MEDGATE,https://apps.apple.com/ch/app/medgate/id638452896?uo=4,0.0,4.67141,3585,Medical,"Schweiz

Mit der Medgate App haben Sie den Arzt jederzeit dabei. Die App bietet Ihnen einen einfachen, schnellen und sicheren Zugang zu einer umfassenden medizinischen Betreuung per Telefon, Video und Chat. Die über 100 Ärztinnen und Ärzte von Medgate nehmen sich Zeit für Sie und beraten und behandeln Sie kompetent. Dabei profitieren Patientinnen und Patienten von der über 20-jährigen Erfahrung von Medgate im Bereich Digital Health und in der Telemedizin.

Vorteile:
• 24/7-Zugang zu kompetentem ärztlichem Team
• Keine langen Wartezeiten
• Dank künstlicher Intelligenz: schnelle, unkomplizierte Abklärung, ob eine Telekonsultation oder ein physischer Arztbesuch sinnvoll ist
• Vermeidung unnötiger Arztkonsultationen
• Beratung und Behandlung durch erfahrene Fachärztinnen und -ärzte 
• Ausstellung von Rezepten, Arztzeugnissen, Arbeitsunfähigkeits-Bescheinigungen, Überweisungen und Verordnungen
• Zusammenfassung des Arztgespräches und des Behandlungsplans direkt in der App
• Hinterlegung der Lieblingsärztinnen und -ärzte

So funktioniert die telemedizinische Behandlung:
1. Symptome eingeben
2. Termin für Telefon- oder Videokonsultation buchen
3. Beratung und Behandlung durch Ärztinnen und Ärzte erhalten
4. Persönlichen Behandlungsplan und weitere medizinische Dokumente einsehen

Sicherheit
Sicherheit hat für das Medgate Partner Network höchste Priorität. Deshalb wird auch bei der Medgate App besonderer Wert auf die Gewährleistung des Datenschutzes gelegt. Die Identität des Users wird über einen Verifizierungsprozess mittels Identitätskarte überprüft.
Medizinische Daten werden nicht an die Krankenkasse übermittelt. Hersteller, Inverkehrbringer und Betreiber der App ist Medgate. Medizinische Leistungen werden durch Mitglieder des Medgate Partner Networks erbracht.

Kosten
Die Konsultation wird im Rahmen der gesetzlichen Leistungen über die Krankenversicherung abgerechnet (analog Arztbesuch in einer Praxis) und ist von allen Schweizer Krankenversicherern anerkannt. Eine Telekonsultation kostet im Durchschnitt CHF 50.-. In gewissen Versicherungsmodellen fallen ausserdem nicht einmal Kosten im Bereich von Franchise oder Selbstbehalt an.

Feedback
Die Medgate App wird kontinuierlich weiterentwickelt und auf die Bedürfnisse der Nutzerinnen und Nutzer angepasst. Wir freuen uns über Ihre Rückmeldung (info@medgate.ch), damit wir die Medgate App laufend optimieren können.


Deutschland

Die deutsche Medgate App bietet folgende Vorteile: 
• 24/7-Zugang zu kompetentem ärztlichem Team 
• Keine langen Wartezeiten
• Dank künstlicher Intelligenz: schnelle, unkomplizierte Abklärung, ob eine Telekonsultation oder ein physischer Arztbesuch sinnvoll ist
• ärztliche Ersteinschätzung der Patientinnen und Patienten im Rahmen der telemedizinischen Konsultation 
• Vermeidung unnötiger Arztkonsultationen
• Beratung und Behandlung durch erfahrene Fachärztinnen und -ärzte 
• Ausstellung von Rezepten, Arbeitsunfähigkeits-Bescheinigungen, Überweisungen und Verordnungen
• Zusammenfassung des Arztgespräches und des Behandlungsplans direkt in der App
• Hinterlegung der Lieblingsärztinnen und -ärzte

Privatversicherte können eine Videokonsultation buchen und die Rechnung (GOÄ) wie gewohnt bei Ihrer privaten Krankenversicherung einreichen.

Wir entwickeln Features und neue Services kontinuierlich weiter. Wir freuen uns über Ihre Rückmeldung (info@medgate.ch), damit wir die Medgate App laufend optimieren können.",2013-05-02T04:45:31Z,2025-06-17T15:32:58Z
ch,Switzerland,Medical,6020,5,1610191342,FreeStyle Libre 3 - CH,Abbott Diabetes Care Inc,https://apps.apple.com/ch/app/freestyle-libre-3-ch/id1610191342?uo=4,0.0,2.77434,226,Medical,"Die FreeStyle Libre 3 App ist für die Verwendung mit den Sensoren des FreeStyle Libre 3 Systems und den FreeStyle Libre Select-Sensoren freigegeben.

Das neueste Mitglied der FreeStyle Libre Produktreihe umfasst die fortschrittlichste Technologie zur kontinuierlichen Glukosemessung (CGM), die entwickelt wurde, um Ihnen Fortschritte zu ermöglichen:

•  Sehen Sie Ihre Glukosewerte in Echtzeit, jederzeit[1].
 
•  Sie werden in Minutenschnelle benachrichtigt, wenn Ihr Glukosewert zu niedrig oder zu hoch ist. Optionale Alarme[2] informieren Sie darüber, wann Sie Maßnahmen ergreifen müssen.

•  Echtzeit-Messwerte werden jede Minute aktualisiert – 5 Mal schneller als alle anderen CGMs[3].

•  Erhalten Sie detaillierte Berichte, einschließlich der Zeit, die Sie in den einzelnen Messbereichen verbracht haben, um Ihre Glukosetrends und Muster besser zu verstehen.

KOMPATIBILITÄT
Sie können die FreeStyle Libre 3 App nur mit den Sensoren des FreeStyle Libre 3 Systems und dem FreeStyle Libre Select Sensor verwenden. Sie ist nicht mit Sensoren der FreeStyle Libre oder FreeStyle Libre 2 Produktreihen kompatibel.
 
Die Kompatibilität kann je nach Smartphone und Betriebssystem unterschiedlich sein. Weitere Informationen zu kompatiblen Smartphones finden Sie unter www.FreeStyleLibre.com.

APP-INFORMATIONEN
Die FreeStyle Libre 3 App ist für die Messung der Glukosespiegel bei Menschen mit Diabetes in Verbindung mit den Sensoren des FreeStyle Libre 3 Systems oder dem FreeStyle Libre Select Sensor vorgesehen. Weitere Informationen zur Verwendung der FreeStyle Libre 3 App finden Sie im Benutzerhandbuch.

Sprechen Sie mit einer medizinischen Fachkraft darüber, ob dieses Produkt wirklich für Sie geeignet ist, oder wenn Sie Fragen dazu haben, wie dieses Produkt für Behandlungsentscheidungen verwendet werden kann. 

[1] Der Sensor ist 60 Minuten nach der Aktivierung für die Glukosemessung bereit.
[2] Benachrichtigungen werden nur empfangen, wenn die Alarme eingeschaltet sind und sich der Sensor mit ungehindertem Signalweg höchstens [10 Meter bzw. 30 Fuß] vom Lesegerät entfernt befindet. Sie müssen die entsprechenden Einstellungen auf Ihrem Smartphone aktivieren, um Alarme und Warnungen zu empfangen. Weitere Informationen finden Sie im FreeStyle Libre 3 Benutzerhandbuch. 
[3] Das Gerät des Benutzers muss über eine Internetverbindung verfügen, damit die Glukosedaten automatisch in LibreView hochgeladen werden können. 

The sensor housing, FreeStyle, Libre, and related brand marks are marks of Abbott. Other trademarks are the property of their respective owners.

Weitere rechtliche Hinweise und Nutzungsbedingungen sind unter www.FreeStyleLibre.com zu finden.

========

Bitte wenden Sie sich bei technischen Problemen oder Kundenserviceanfragen, die ein FreeStyle Libre Produkt betreffen, direkt an den FreeStyle Libre Kundenservice.",2022-12-02T08:00:00Z,2025-07-30T19:06:04Z
ch,Switzerland,Medical,6020,6,1607855176,Meditools Patient,Meditools Sarl,https://apps.apple.com/ch/app/meditools-patient/id1607855176?uo=4,0.0,3.1,20,Medical,"Meditools Patient
ist eine App, die eine einfache und sichere Kommunikation zwischen der Arztpraxis und dem Patienten ermöglicht.


Illustrationen von Storyset auf https://storyset.com",2022-05-25T07:00:00Z,2024-06-13T09:44:55Z
ch,Switzerland,Medical,6020,7,415358154,Rega,"Schweizerische Rettungflugwacht, Rega",https://apps.apple.com/ch/app/rega/id415358154?uo=4,0.0,4.139,259,Medical,"Die kostenlose Rega-App bietet folgende Vorteile:

• Rega-Einsatzzentrale alarmieren: Ihr aktueller Standort wird automatisch an die Rega übermittelt. Das spart im Ernstfall wertvolle Zeit. 
• Live-Standort teilen: Teilen Sie während Aktivitäten, beispielsweise beim Wandern, Ihren Standort mit der Rega oder Ihren Kontakten. Freunde und Angehörige können so Ihre Route verfolgen und direkt in der App die Rega alarmieren, falls sie einen Notfall vermuten. Dann werden der letzte Standort ermittelt und Suchmassnahmen eingeleitet.
• Alarmierung testen: Überprüfen Sie, ob die App korrekt konfiguriert ist und die Alarmierung im Ernstfall einwandfrei funktioniert.
• Hilfreiche Informationen erfassen: Erfassen Sie in Ihrem Profil Informationen (z.B. Ihre Gönnernummer), die für die Rega-Einsatzzentrale im Notfall von Bedeutung sind.
• In Nachbarländern verfügbar: Laden Sie die Rega-App neben der Schweiz und Liechtenstein auch in den App-Stores von Deutschland, Österreich, Frankreich und Italien herunter.
• Die Rega-App ist in vier verschiedenen Sprachen verfügbar: Deutsch, Französisch, Italienisch und Englisch je nach Einstellung der Sprache auf dem Smartphone.",2011-02-02T13:23:24Z,2024-11-26T07:49:58Z
ch,Switzerland,Medical,6020,8,1104967519,Shop Apotheke: E-Rezept & mehr,Shop-Apotheke Service B.V.,https://apps.apple.com/ch/app/shop-apotheke-e-rezept-mehr/id1104967519?uo=4,0.0,4.80136,10698,Medical,"Mit Shop Apotheke / Redcare haben Sie Ihre Apotheke und Drogerie stets griffbereit. Bestellen Sie bequem Medikamente, Beauty- und Pflegeprodukte und viele andere Artikel zu günstigen Preisen. 

● E-Rezept auf Ihrer Krankenkassenkarte: Jetzt E-Rezept digital einlösen
Alles, was Sie brauchen, ist Ihre Krankenkassenkarte mit Ihrem E-Rezept und die Shop Apotheke App!

Wie löst man das E-Rezept mit der elektronischen Gesundheitskarte ein?
● Shop Apotheke App öffnen.
● Krankenkassenkarte dranhalten.
● Schon wird alles nach Hause geliefert.

Das E-Rezept (eRx) ist offiziell in Deutschland gestartet.
Jetzt können Sie Ihr E-Rezept ganz einfach und schnell in der Shop Apotheke App einlösen. Und geliefert wird auch ganz schnell. 

--

Wir bieten alles, was das Herz begehrt. Entdecken Sie eine riesige Auswahl mit über 100.000 Produkten und lassen Sie sich Ihre Bestellung mit unserem Lieferservice Now! schnell nach Hause liefern.

Diese Vorteile bietet die Shop Apotheke / Redcare App

● Wählen Sie aus einer riesigen Auswahl an Arzneimitten, Beauty- und Pflegeprodukten & vielem mehr
● Lösen Sie Ihr E-Rezept sicher & bequem ein
● Erhalten Sie Ihre Medikamente schnell mit der Now! Lieferung
● Profitieren Sie von regelmäßigen Rabatten & Gutscheinaktionen
● Loggen Sie sich sicher & geschützt ein
● Vergleichen Sie Preise mit dem Barcode-Scanner


Wir bieten Ihnen ein großes Sortiment in den Bereichen:

■ Arzneimittel & Medikamente
■ Baby & Familie
■ Beauty & Pflege
■ Ernährung, Sport & Abnehmen
■ Homöopathie & Naturprodukte
■ Pflege & Sanitätshaus
■ Tierapotheke & Tierbedarf
■ Bücher & vieles mehr!
Entdecken Sie eine große Auswahl, vom Arzneimittel bis zum Beauty- und Pflegeprodukt, von bekannten Marken wie Hexal, Aspirin oder Vichy. Mit unseren Eigenmarken RedCare, Skintist, Nu3 & Beavita, bieten wir zudem ein breites Spektrum an hochwertigen Produkten in den Bereichen Medizin, Kosmetik, Beauty, Fitness und Ernährung an.

● Unser Shop Apotheke Now! Lieferservice bietet eine schnelle Lieferung von tausenden Produkten. Geben Sie Ihre Bestellung mit Now!-Produkten in der Apotheken-App auf. Je nach Bestellzeitpunkt liefern wir heute oder spätestens am nächsten Tag*

● Bezahlen Sie sicher mit Visa, Mastercard, PayPal, Klarna, Apple Pay, Lastschrift, Vorkasse oder Kauf auf Rechnung.

● Profitieren Sie von unserem Bonusprogramm. Sammeln Sie bei jedem Einkauf RedPoints**, um Rabatte und exklusive Vorteile zu erhalten.

● Bei uns sind Sie sicher! Die Datenübertragung erfolgt über eine gesicherte Ende-zu-Ende-Verschlüsselung, sodass der Datenschutz optimal gewährleistet ist.

*ausgenommen Bestellungen auf Rezept
**Unser Vorteilsprogramm ist in der Schweiz als RedCoins verfügbar.

Senden Sie Feedback: mobile@shop-apotheke.com",2017-01-09T10:02:25Z,2025-11-19T08:56:25Z
ch,Switzerland,Medical,6020,9,6612007783,OpenEvidence,OpenEvidence Inc.,https://apps.apple.com/ch/app/openevidence/id6612007783?uo=4,0.0,4.86885,61,Medical,"Clinical Decision Support for Healthcare Professionals (NPI Required).

OpenEvidence is the world’s leading medical information platform for health care professionals, providing accurate and efficient answers at the point of care. Every answer on OpenEvidence is always sourced, cited, and grounded in the peer-reviewed medical literature.

Now featuring New England Journal of Medicine (NEJM) published content, NEJM multimedia content, and NEJM invited review articles authored by the world’s leading clinical experts.

• 160 medical specialties
• 1,000+ diseases and therapeutic areas
• 1m+ medical topics

Trusted by medical professionals at 10,000+ care centers across the United States.

OpenEvidence is only available for health care professionals. Users must verify their health care professional status before using OpenEvidence.

AS SEEN IN

Forbes: “OpenEvidence Keeps Doctors Up To Date On The Latest Science”

TESTIMONIALS

“I've been using OpenEvidence for the last week - it has been amazing! Able to narrow down on results quickly and find information that I wasn't able to do with Google/PubMed searches on my own.” - Dr. John Lee, MD. Physician & Faculty Member, Harvard Medical School

“OpenEvidence can be the foundational technology to power all clinical decision tools.” - Dr. Antonio Jorge Forte, MD. Director of MayoExpert, Mayo Clinic

“OpenEvidence is more up-to-date than UpToDate. And more useful regardless, since it’s interactive, and you can ask it questions, and get very specific answers about specific medical fact patterns in a patient case. It’s like having a curbside consult with a team of expert physicians, but that you can carry around with you in your pocket.” - Dr. Ram Dandillaya, MD. Clinical Chief, Department of Cardiology, Cedars-Sinai Medical Center

“I am in community practice and medical director of a community cancer center. OpenEvidence has been an incredible lifeline for daily practitioners.” - C.J., Oncologist 

“OpenEvidence is absolutely fantastic. I use it a gazillion times a day.” - J.A., Neurologist

“OpenEvidence’s efforts to make medicine more evidence-based are invaluable. The shift from judgment to calculation can reduce the level of noise currently found in medicine.” - Daniel Kahneman, Nobel Prize Laureate (In Memoriam)

“It is light years ahead of the next best medical oriented AI I have used.” - R.E.., Oncologist

STAY SHARP & UP-TO-DATE

• Find what you need, when you need it on a mobile-native platform.

• The world’s most powerful medical search engine at your fingertips.

• Discover and find exactly what you are looking for with deep search and a highly intuitive user interface that understands you and what you are asking.",2024-08-15T07:00:00Z,2025-11-20T21:17:11Z
ch,Switzerland,Medical,6020,10,1471091137,My Viollier,Viollier AG,https://apps.apple.com/ch/app/my-viollier/id1471091137?uo=4,0.0,4.64085,20969,Medical,"Mit My Viollier haben Sie überall und jederzeit Zugriff auf Ihre Laborresultate und -befunde von Viollier. Liegt ein definitiver Befund für Sie vor, erhalten Sie umgehend eine Mitteilung.

Die Möglichkeit, sofort auf Ihre Laborresultate zugreifen zu können, gibt Ihnen rasch Gewissheit bei dringenden Resultaten und in kritischen Situationen. 

Ihre persönliche Laborgeschichte haben Sie mit My Viollier immer zur Hand: z. B. auf Reisen, bei Arztbesuchen oder bei einem Spitaleintritt. Sie kennen Ihre Werte und können deren Verlauf über die Zeit verfolgen, sowohl tabellarisch als auch grafisch.

Ihre Befunde können Sie als PDF und in vier verschiedenen Sprachen (Deutsch, Englisch, Französisch, Italienisch) aufrufen.

My Viollier ermöglicht Ihnen auch, Ärzte in Ihrer Nähe oder an einem Ort Ihrer Wahl zu suchen und direkt mit ihnen Kontakt aufzunehmen.

Die Freigabe für My Viollier erfolgt einmalig durch Ihren Arzt. Sie gilt sowohl für bisherige als auch künftige Resultate. Fragen Sie Ihren Arzt nach der Freigabe für My Viollier. 

Mehr über My Viollier erfahren Sie unter myviollier.ch",2019-09-11T07:00:00Z,2025-09-29T10:12:05Z
