country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
tw,"Taiwan, Province of China",Food & Drink,6023,1,6752922875,Tabelog – 日本美食 & 旅遊,"Kakaku.com, Inc.",https://apps.apple.com/tw/app/tabelog-%E6%97%A5%E6%9C%AC%E7%BE%8E%E9%A3%9F-%E6%97%85%E9%81%8A/id6752922875?uo=4,0.0,4,4,Food & Drink,"旅途中也能快速搜尋並預訂日本在地美食餐廳！
Tabelog 是日本最大規模的餐廳搜尋與預約平台，收錄超過 80 萬家餐廳與 8,200 萬筆在地用戶評論。
從壽司、燒肉、拉麵、居酒屋、咖啡廳到甜點店，您可以依目前位置搜尋附近餐廳，若有空位即可線上預約。也能確認是否支援多語菜單與無現金支付。

專為旅客設計的便利功能：
・搜尋目前地點附近的熱門午餐或晚餐餐廳
・探索當地人推薦的拉麵與甜點名店
・即時搜尋可預約空位的餐廳並快速下訂
・將感興趣的店家加入收藏清單
・適合約會、家庭旅遊或多人聚餐

選擇 Tabelog 的六大理由：
1. 收錄全日本超過 80 萬家餐廳資料
2. 免費瀏覽超過 8,200 萬則在地食評
3. 擁有 300 萬名註冊評論者
4. 以地圖功能輕鬆導航、快速搜尋
5. 顯示即時空位資訊並可線上預約
6. 支援收藏清單功能，輕鬆記錄喜愛店家
*以上資料截至 2024 年 5 月，根據本公司統計。
 
【建議的操作環境】
我們建議您在以下操作環境中使用 Tabelog 應用程式。在非建議環境下，應用程式可能無法正常運作，或無法安裝。為了獲得最佳體驗，請務必升級至建議的作業系統版本。
建議作業系統版本： iOS 18.0 以上
※如於 App Store 上遇到安裝或使用相關問題，請直接聯繫 Apple Inc.。
※「iPhone」與「App Store」為 Apple Inc. 在美國及其他國家註冊之商標或註冊商標。

隱私權政策：
https://tabelog.com/tw/help/privacypolicy 
使用條款：
https://tabelog.com/tw/help/rules 
https://tabelog.com/tw/help/reservation_rules",2025-11-09T08:00:00Z,2025-11-20T01:34:02Z
tw,"Taiwan, Province of China",Food & Drink,6023,2,1217507712,麥當勞APP,McDonald's Global Markets LLC,https://apps.apple.com/tw/app/%E9%BA%A5%E7%95%B6%E5%8B%9Eapp/id1217507712?uo=4,0.0,1.38342,12005,Food & Drink,"麥當勞APP帶來全新會員體驗，立即下載!

手機點餐免排隊

更多元的優惠

掌握麥當勞最新資訊

提醒: 示意畫面僅供參考,實際畫面與使用方式詳見麥當勞APP",2023-10-25T07:00:00Z,2025-11-04T13:02:50Z
tw,"Taiwan, Province of China",Food & Drink,6023,3,1644639472,麥味登+,"SUPER QIN ENTERPRISE CO., LTD.",https://apps.apple.com/tw/app/%E9%BA%A5%E5%91%B3%E7%99%BB/id1644639472?uo=4,0.0,4.87613,53845,Food & Drink,"＊線上點餐－預約點餐、門市取餐，快速便利不用等。
＊菜單瀏覽－圖文菜單，依類別區分，方便線上點購。
＊紅利回饋－消費即可累積紅利點數並兌換優惠折扣。
＊熱門活動－最新行銷活動、新品上市資訊及品牌新訊。
＊門市查詢－搜尋鄰近門市營業時間，啟動Google導航。
＊會員升等－手機註冊基本會員，填寫個資升級正式會員。",2022-12-25T08:00:00Z,2025-11-04T09:11:19Z
tw,"Taiwan, Province of China",Food & Drink,6023,4,1277406216,PK雙饗卡-必勝客x肯德基行動會員卡,"Jardine Food Services(Taiwan) Co., Ltd",https://apps.apple.com/tw/app/pk%E9%9B%99%E9%A5%97%E5%8D%A1-%E5%BF%85%E5%8B%9D%E5%AE%A2x%E8%82%AF%E5%BE%B7%E5%9F%BA%E8%A1%8C%E5%8B%95%E6%9C%83%E5%93%A1%E5%8D%A1/id1277406216?uo=4,0.0,2.70952,5422,Food & Drink,"【PK雙饗卡】隨時隨地、饗樂無限！
探索必勝客與肯德基攜手打造的行動會員APP！這是你的饗樂基地，結合便利的訂餐、跨品牌點數集點兌換，還有跨店寄餐功能！即時追蹤線上訂餐，方便又輕鬆，每個月都有獨家專屬優惠等你來拿！

■ 會員尊享 ■
1.【新人優惠券大禮包NT$150】免費加入會員，即送新手大禮包：新會員禮 NT$50 (必勝客 NT$30 + 肯德基 NT$20 － 限首次加入會員 30 日內下載APP領取) + 生日禮 NT$100 (必勝客 NT$50 + 肯德基 NT$50)，登入APP即可於優惠券匣領取。
2.【每筆消費回饋最高2.5%】全台必勝客、肯德基皆可累點，2 點可折抵 NT$1，或直接用點數換取美味餐點或折價券，超級方便！
3.【線下消費也能輕鬆累點】會員 QR CODE、發票載具，輕鬆開啟集點之旅。

■ 訂餐與APP限定優惠 ■
1. 【天天領優惠】必勝客、肯德基豐富超值優惠券，天天打開PK APP至遊戲專區，點擊即可獲得優惠券！
2. 【APP獨家優惠專區】享必勝客、肯德基話題新品搶先預購、APP獨賣商品和專屬折扣。
3. 【個人化體驗】隨時收藏最愛餐點，還可一鍵再次訂購超方便！
4. 【PK 隨饗券 | 先買券訂餐更優惠】比薩、炸雞也能寄餐？一次買、分次取，門市跨店隨取，一鍵轉送超方便！
5. 【PK 禮物卡 | 重要時刻送心意】支援每個告白、感謝、慶祝等重要時刻，一鍵傳遞祝福心意！

喜歡 PK 雙饗卡 APP 嗎？歡迎為我們評分哦！你的寶貴意見將幫助我們讓 PK 雙饗卡 APP 變得更好。

有任何問題嗎？請隨時聯繫我們的客服信箱 customer_service@pkcard.com.tw 或填寫反饋表單連結 https://forms.gle/ofg8RsUXKb8P4zfh8 ，我們將盡快協助您解決問題。",2017-11-01T15:45:52Z,2025-10-15T02:51:22Z
tw,"Taiwan, Province of China",Food & Drink,6023,5,6738704034,Q Burger線上訂餐,"Q Burger Group Co., Ltd.",https://apps.apple.com/tw/app/q-burger%E7%B7%9A%E4%B8%8A%E8%A8%82%E9%A4%90/id6738704034?uo=4,0.0,1.57613,486,Food & Drink,"感謝您使用Q Burger
會員集點、兌換優惠券、線上訂餐多種服務一鍵掌握！ 快來打開Q Burger串連美好生活體驗。",2025-06-30T07:00:00Z,2025-11-15T22:12:56Z
tw,"Taiwan, Province of China",Food & Drink,6023,6,6504808001,你訂！訂餐揪團一次搞定,"Howsense Intelligent Co., Ltd.",https://apps.apple.com/tw/app/%E4%BD%A0%E8%A8%82-%E8%A8%82%E9%A4%90%E6%8F%AA%E5%9C%98%E4%B8%80%E6%AC%A1%E6%90%9E%E5%AE%9A/id6504808001?uo=4,0.0,4.50888,169,Food & Drink,"新版你訂 APP 導入全新地圖功能，讓探索與訂餐更加直覺，搭配任務機制，邀請用戶參與互動挑戰，享受遊戲般的訂餐體驗。
新增豐富的會員互動設計，帶來全新使用樂趣",2025-08-12T07:00:00Z,2025-11-11T02:04:20Z
tw,"Taiwan, Province of China",Food & Drink,6023,7,1468048530,iEAT 饗愛吃,SHIANG BIN CORP.,https://apps.apple.com/tw/app/ieat-%E9%A5%97%E6%84%9B%E5%90%83/id1468048530?uo=4,0.0,2.7649,1208,Food & Drink,"iEAT饗愛吃2.0 全新改版升級
優化使用介面，整合服務功能，開啟iEAT串連起美好生活體驗。

【簡單便利】線上訂位、線上訂餐、線上商城，一鍵掌握多種便利功能。
【回饋優惠】消費即可累積點數，消費集點等級回饋，好吃更懂吃！ 
【美好體驗】介面優化、品牌資訊整合，iEAT一鍵開啟美好餐飲體驗。

如有任何需要服務之處，歡迎來信饗賓集團客服信箱：service@eatogether.com.tw (服務時段為上班日週一～週五上午09:30~下午17:30，週六、週日、國定假日、彈性調整放假日，恕無提供服務)或請電洽饗賓集團各門市諮詢",2019-08-14T07:00:00Z,2025-10-29T01:45:23Z
tw,"Taiwan, Province of China",Food & Drink,6023,8,1492438163,王品瘋美食,WOWPRIME CORP,https://apps.apple.com/tw/app/%E7%8E%8B%E5%93%81%E7%98%8B%E7%BE%8E%E9%A3%9F/id1492438163?uo=4,0.0,2.77438,3887,Food & Drink,"王品瘋美食重磅全新升級！
掌握王品集團全集團店家資訊與即時好康
立即下載，給你更多美食靈感！

#會員3%回饋無上限
快加入瘋美食戰隊，消費皆享瘋點數3%回饋，瘋點數1點=1元，折抵無上限！

#瘋PAY電子錢包
最懂吃的你一定要會用！使用瘋Pay出門不用帶錢包，秒付快速又方便。選擇瘋Pay可享瘋點數再加碼回饋！

#瘋情報一把抓：
王品集團全品牌新訊一把抓，快速搜尋各品牌最新活動內容、新菜上市消息！智能抓取你喜歡的類別優先發送訊息，王品瘋美食最懂你的心！

#線上訂位：
一指快速完成訂位，24小時不打烊！輕鬆分享聚餐資訊、直接加入個人行事曆，小秘書通通幫您搞定！

#附近餐廳：
快速引導距離您最近的餐廳，串接Google Map一鍵指引前往門店據點，即刻出發

#會員悄悄話：
個人悄悄話通知提醒您，不讓您錯過每個好消息!

感謝大家的支持與喜愛，若有任何建議，歡迎與我們連繫
E-mail：hi@wowprime.com.tw 
 客服專線：0800-071-198",2020-01-30T08:00:00Z,2025-10-20T00:39:16Z
tw,"Taiwan, Province of China",Food & Drink,6023,9,829317669,Starbucks TW,Starbucks Coffee Company,https://apps.apple.com/tw/app/starbucks-tw/id829317669?uo=4,0.0,2.04482,6582,Food & Drink,"感謝您使用星巴克行動APP，美好咖啡生活與您隨行！星巴克行動APP可以讓您輕鬆享受行動支付、星禮程回饋、線上預先點餐(行動預點)、線上送禮(星送禮)跟更多便利會員功能。手機iOS 15.7.9以上，即可下載最新版本。
支付享回饋
透過行動APP隨時於門市輕鬆完成支付、累積星星獲得專屬回饋及獎勵。
星禮程服務整合查詢
可隨時查詢帳戶內的交易紀錄、星星及回饋詳情，金星級會員享有專屬的金星禮，可透過APP兌換喜愛的回饋優惠，讓星巴克咖啡體驗更升級。
行動預點/星送禮 會員專屬服務 消費同享回饋
登入APP星禮程會員，即可使用【行動預點】線上預先點餐、多元取餐服務，及【星送禮】線上遠端送禮服務，消費亦可同步累積星禮程回饋，提供會員更便利的消費體驗。
隨行卡輕鬆管理
可將您的隨行卡歸戶於星禮程帳號中，亦可設定隨行卡自動加值或進行帳戶內隨行卡餘額轉置，也可查詢交易與集星記錄。
門市最新活動及新品資訊
快速查找門市最新飲料餐點，及星禮程個人專屬活動
隨時尋找附近門市
可透過條件設定，搜尋離您最近的星巴克門市、營業時間與門市詳情。",2014-03-17T00:27:14Z,2025-09-25T16:00:19Z
tw,"Taiwan, Province of China",Food & Drink,6023,10,1610526467,爭鮮TW,"Sushi Express Co., Ltd.",https://apps.apple.com/tw/app/%E7%88%AD%E9%AE%AEtw/id1610526467?uo=4,0.0,2.88447,528,Food & Drink,"新會員限定禮｜註冊立即送 $30 優惠券！
指定品牌消費集點，滿 100 點最高可折抵 $30 元 3 盤壽司！
立即下載【爭鮮TW APP】，隨時掌握品牌最新優惠資訊，開啟專屬你的美食會員體驗！

加入會員有什麼好處？
爭鮮迴轉壽司、爭鮮PLUS、爭鮮gogo、定食8、MAGiC TOUCH五大人氣品牌聯手打造專屬行動會員 APP！整合美食優惠、跨品牌點數累積與兌換、線上訂餐預約服務，還有只有會員才拿得到的專屬優惠券，現在就開啟你與美食零距離的精彩旅程！

■ 會員專屬福利■
【註冊禮】免費加入會員，立即獲得 $30 滿額折價券，還可綁定發票載具、集點換更多優惠！
【消費賺】每消費滿 $30 累積 1 點，點數可跨品牌使用兌換好康。 
【生日禮】生日當月 1 日送出價值超過 $200 的品牌聯合生日禮券！

■ 便利服務 ■
線上訂餐/訂位、門市導航、客服聯繫一機在手，輕鬆搞定每一餐！

立即下載【爭鮮TW APP】，用最聰明的方式享受最熟悉的美味！",2022-04-24T07:00:00Z,2025-06-02T02:24:05Z
tw,"Taiwan, Province of China",Food & Drink,6023,11,758103884,foodpanda: 美食和生鮮雜貨外送,Internet Services Polen Sp. z o.o.,https://apps.apple.com/tw/app/foodpanda-%E7%BE%8E%E9%A3%9F%E5%92%8C%E7%94%9F%E9%AE%AE%E9%9B%9C%E8%B2%A8%E5%A4%96%E9%80%81/id758103884?uo=4,0.0,4.72994,1858096,Food & Drink,"foodpanda - 我們外送的不只有美食

想吃美食？還是回家途中忘了買菜？何不試試foodpanda外送服務，不管是你最喜愛的美食或是生鮮雜貨，我們都親自送到你手上。

現在就下載foodpanda app，查詢我們的服務範圍

你可以在APP內搜尋到世界各地的美食，不論是窯烤比薩、經典漢堡還是極鮮壽司，我們熟知你所在城市的熱門佳餚。foodpanda致力於提供你全世界最好的美食外送服務，現在就下載app，訂餐品嚐那第一口的美味！

超市外送服務新上線！

忘了買牛奶？臨時需要電池？清潔劑用完了？現在就上foodpanda，上千種產品及商店任你選擇。無需等候，只需手指輕點，從雜貨、飲料、保健食品到3C電子產品都在foodpanda app。

怎麼訂購？

首先，輸入你欲送達的地址（住家/ 辦公室），接著從你喜愛的餐廳或商店下單，店家收到訂單後就會開始替你準備。餐點/商品準備好後，我們就會將其迅速送達你手中，等待期間你亦可以查詢外送夥伴的位置。輕鬆下訂，剩下的就交給我們吧！

我們與眾不同之處

不管是知名連鎖品牌，還是你喜愛的本地商家，我們致力於與你所在地附近的優良店家合作。不論你選擇的是比薩還是壽司，日用品還是禮品，我們的外送夥伴都竭誠為你服務。等候訂單送達的同時，你將擁有更多時間從事自己喜歡的事。

聯繫我們

我們想了解更多大家的想法。如果你曾使用過foodpanda，並有任何建議，歡迎與我們分享！

了解更多詳情，請參閱官網：
https://www.foodpanda.com.tw",2013-11-25T18:13:11Z,2025-11-18T10:57:18Z
