country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
tw,"Taiwan, Province of China",Medical,6020,1,578186283,全民健保行動快易通 | 健康存摺,"National Health Insurance Administration, Ministry of Health and Welfare",https://apps.apple.com/tw/app/%E5%85%A8%E6%B0%91%E5%81%A5%E4%BF%9D%E8%A1%8C%E5%8B%95%E5%BF%AB%E6%98%93%E9%80%9A-%E5%81%A5%E5%BA%B7%E5%AD%98%E6%91%BA/id578186283?uo=4,0.0,3.35353,26074,Medical,"健保服務、一次掌握！
健保署「全民健保行動快易通 | 健康存摺」App，優化使用者體驗，提升健保網路服務的易用性，讓您隨時隨地掌握健保署的各項資訊！

重要功能說明：
【健康存摺】提供查詢就醫資料及健康資料，包括用藥、檢驗檢查資料、影像或病理檢驗報告等功能，還可透過眷屬管理，申請查詢長輩或小孩的健康存摺，守護全家人的健康。
【健保櫃檯】查詢保費繳納紀錄，線上繳納健保費及申辦健保卡、查詢投保紀錄、申請投保證明與變更個人通訊地址等各項健保服務。
【虛擬健保卡】為實現智慧醫療、數位政府願景，於「居家醫療」、「遠距醫療」、「視訊診療」三大場域全面推展以虛擬健保卡就醫。
【就醫院所查詢】地圖式篩選查詢附近或特定條件的醫療院所，看診服務時間等詳細資訊。
【醫療查詢】提供居家醫療院所、用藥品項、特殊材料、支付標準、自費醫材比價、自墊醫療費用核退案件及重大傷病卡申請辦理進度等資訊。
【連結「健康App」】健保署為了協助您統整相關健康資訊，依據您的同意的資料項目（包括：血壓、心律、血氧濃度、身高、體重和體溫），「健保快易通App」會讀取您近30日的「健康App」資料項目，並將這些數據呈現於「健保快易通App」內「健康存摺」。",2012-11-30T01:59:14Z,2025-11-21T01:14:27Z
tw,"Taiwan, Province of China",Medical,6020,2,6723872800,醫指付+,"DA GUANG HEALTHCARE CONSULTING CO., LTD.",https://apps.apple.com/tw/app/%E9%86%AB%E6%8C%87%E4%BB%98/id6723872800?uo=4,0.0,4.62458,1188,Medical,"醫指付正式改版升級成「醫指付+」，我們以行動裝置APP作為核心，專注開發更簡易、更安全的醫療費用支付服務，讓您或您的親友透過手機或平板等行動裝置即可輕鬆的完成繳付醫療費用。

您只要下載「醫指付」APP，在看診後輸入自己或親友的資料，APP會顯示「應繳醫療費用金額」，再選擇「確定繳費」，即可直接至藥局拿藥，不論是門診、急診、住院費用都可支付。不用帶現金，不必到醫院批價櫃檯排隊，透過醫指付遠端刷卡操作繳費一指輕鬆搞定醫療大小事！""",2025-01-14T08:00:00Z,2025-07-28T01:47:46Z
tw,"Taiwan, Province of China",Medical,6020,3,619682038,長庚e指通服務,CHANG GUNG MEDICAL FOUNDATION,https://apps.apple.com/tw/app/%E9%95%B7%E5%BA%9Ae%E6%8C%87%E9%80%9A%E6%9C%8D%E5%8B%99/id619682038?uo=4,0.0,2.73613,1622,Medical,"長庚醫療財團法人為秉持以病人為中心的服務理念，透過行動資訊系統提供民眾在台北長庚、林口長庚、桃園長庚、基隆長庚、嘉義長庚、雲林長庚、高雄長庚與鳳山醫院更加便利的服務，方便民眾掌握就醫資訊。

長庚行動資訊系統提供以下服務項目：
1.認識長庚、就醫指南和交通指引：
讓您到院前多一分了解長庚醫院。
2.行動掛號：
讓您一指間就能掌握各醫師門診時間，辦理掛號。
3.掛號查詢：
讓您查看掛號的資訊，並且透過手機提醒通知看診相關事項。
4.掛號紀錄：
掛號及查詢的資訊留存於手機，透過快捷掛號迅速完成下次看診掛號，節省時間。
5.看診進度：
利用存於手機的掛號資料，查詢醫師看診的進度。
6.預約通知：
提醒您已掛號的門診資訊。
7.系統設定：
提供彈性選擇，可預設連結的醫院、提醒通知的時間、預設留存的掛號紀錄以及資訊選單排序等功能。
8.行動繳費服務：
提供行動繳費服務不限銀行，使用銀行活期存款帳戶即可完成門診費用繳費，使用前請先確認完成設定「我的親友」之姓名、身分證號、出生日期及扣款銀行帳戶。",2013-03-19T02:38:15Z,2025-11-18T17:15:31Z
tw,"Taiwan, Province of China",Medical,6020,4,1259628045,台大醫院行動服務,National Taiwan University Hospital,https://apps.apple.com/tw/app/%E5%8F%B0%E5%A4%A7%E9%86%AB%E9%99%A2%E8%A1%8C%E5%8B%95%E6%9C%8D%E5%8B%99/id1259628045?uo=4,0.0,2.71059,387,Medical,"台大醫院行動服務APP，提供台大醫院總院、北護分院、金山分院、新竹分院、竹東分院、雲林分院的醫療服務資訊。並提供常用親友基本資料建檔，方便掛號相關作業。亦可依個人需求設定預約相關之推播提醒。

主要功能說明如下：
1.	網路掛號: 可以依照「科別」、「病症」或「醫師」類別找尋合適的醫師。 
2.	查詢/取消: 可用身分證字號或病歷號碼及出生日期，查詢取消門診掛號。
3.	看診進度: 可依科別查看目前燈號或點選親友查看當日的看診進度。
4.	該看哪一科: 依病症提供建議掛號科別的資訊。
5.	醫事人員: 從科部找尋合適的醫師或醫事人員。
6.	用藥查詢: 可查詢主帳號及親友90日內的用藥資訊。
7.	交通指南: 提供到院交通路線、大眾交通工具、電子地圖等資訊。
8.	更多資訊:
(1)最新消息:查看院內發佈之最新消息。
(2)臺大簡介:醫院介紹。
(3)交通指南: 提供到院交通路線、大眾交通工具、電子地圖等資訊。
9.	設定:
(1)	掛號基本資料: 設定親友資訊，以便協助掛號。
(2)	推播及系統設定: 可設定看診時間提醒、叫號提醒、連續處方簽提醒及可將掛號時間加入行事曆。
(3)	院區設定: 可切換不同院區掛號。
(4)	更改密碼: 可重設註冊密碼。",2017-07-20T01:29:32Z,2025-10-09T03:30:45Z
tw,"Taiwan, Province of China",Medical,6020,5,1589205613,振興e點通,Cheng Hsin General Hospital,https://apps.apple.com/tw/app/%E6%8C%AF%E8%88%88e%E9%BB%9E%E9%80%9A/id1589205613?uo=4,0.0,3.91667,36,Medical,"「振興e點通」是振興醫院提供的智慧行動服務，通過此升級，助您e 指搞定掛號，看診進度，就醫提問，行動繳費，管理家人等就診的所有需求！

特色行動服務：

【收藏功能】透過掛號記錄查詢，方便再次預約相同醫生，亦可關注收藏該醫生，方便日後快速掛號。
【我的家人】輕鬆為家人建立資料，方便您替家中長輩、孩童快捷掛號、查詢紀錄與設定手機推播提醒。
【就醫提問】針對科別症狀描述，結合AI 提問功能，建立醫病溝通的新模式。
【訊息中心】院內最新資訊APP即時推播不漏接，開啟首頁小鈴鐺也能即刻瀏覽過去遺漏的所有院方資訊。

就診行動服務：

【行動掛號】依照科別、醫生、日期等，多種方式掛號，並可即時查詢不同門診、班表與預約狀況，如預約是否額滿、停診等資訊。
【掛號紀錄查詢】輸入您或家人的證件號碼和出生日期，即可輕鬆查詢紀錄與取消掛號，貼心提供手機推播提醒功能。
【看診進度】即時查詢看診進度，隨時隨地掌握看診資訊。
【行動繳費】透過 APP的行動繳費服務功能，只要輸入簡單資料，不論是門急診、住院或自費醫療費用都以輕鬆支付，遠端操作刷卡繳費，再也不必到批價櫃檯排隊。
【慢箋預約】提供慢箋預約及查詢服務，無需排隊領號碼牌，直接到藥局輕鬆取藥。提供慢箋記錄管理的功能，讓您輕鬆管理您與家人的所有慢性疾病連續處方箋。個人化推播提醒服務，貼心通知，避免用藥中斷的風險。
【 AI 科別推薦】通過用戶輸入的年齡、性別、不適部位，以先進 AI 技術分析症狀關鍵詞，匹配醫療大數據資料庫，推薦可能的症狀集合，並基於此推薦看診科別。
【 AI 醫生推薦】基於AI分析的症狀集合與看診科別，推薦相關科別的專長醫生，並自動導向預約掛號。",2021-11-08T08:00:00Z,2025-08-19T04:17:10Z
tw,"Taiwan, Province of China",Medical,6020,6,834761206,中國醫點通,China Medical University,https://apps.apple.com/tw/app/%E4%B8%AD%E5%9C%8B%E9%86%AB%E9%BB%9E%E9%80%9A/id834761206?uo=4,0.0,2.10192,363,Medical,"中國醫藥大學附設醫院為提供民眾更便利的就診服務，以及享有個人化健康管理，推出新版的APP ----- 中國醫點通 v3.0，讓您透過智慧行動裝置完成門診預約掛號、慢箋領藥等服務，並進一步掌握看診、領藥、檢查之進度，讓您不用親自到院查詢，大幅節省您的寶貴時間! APP也能利用智慧行動裝置的語音輸入功能，讓您用”說”的，也可以完成掛號! 除了上列功能，新版APP還有新增手機繳費及會員專屬服務，更加便利您的生活。
    透過智慧行動裝置並加入「中國醫服務會員」，讓您居家即可享有自我健康管理服務，包含自我健康記錄、衛教、成人健檢及疫苗施打自動提醒服務、個人用藥、藥物特性、適應症查詢以及注意事項提醒通知…等功能，隨時掌握您的健康狀態。
【特色】
•就診服務： 本院除了提供預約掛號服務外，透過手機設定，系統將以訊息方式，自動提醒您的到診時間、領藥時間及檢查時間。
•貼心服務： 您的健康係本院的最終信念，本院將依您的需求，由系統主動提醒您的用藥時間、預防保健檢查、疫苗施打時間。
•語音識別服務： 本院除了預約掛號提供語音識別掛號外，在個人用藥、藥物特性及適應症查詢的部份，亦提供語音識別查詢服務。
•衛教資訊個別化： 為了讓您獲得最充足的檢查訊息，本院將針對您的檢查項目，提供相關衛教資訊。
•手機繳費服務： 透過手機APP繳費，讓您可以不用排隊臨櫃繳費，省時又便利。
•會員專屬服務： 目前會員僅開放本院病人註冊加入，讓會員居家即可享有自我健康管理服務，包含就醫行事曆、衛教、用藥、檢驗以及自我健康記錄，另外還能透過APP了解家人的健康狀況，比如家人的用藥或衛教。

＊申請帳號時，應將您本人正確、最新及完整之個人資料填寫完成。App執行業務所需，將收集您的個人資料，包含姓名、身份證字號、出生年月日、聯絡電話、電子郵件(E-Mail)、親屬資料及生理監測數據…等資料。

＊建議下載安裝最新版
＊建議安裝至最新作業系統版本

開發者：中國附醫資訊室",2014-08-14T23:22:25Z,2025-09-17T21:41:42Z
tw,"Taiwan, Province of China",Medical,6020,7,1248270462,臺北榮總行動就醫服務,Taipei Veterans General Hospital,https://apps.apple.com/tw/app/%E8%87%BA%E5%8C%97%E6%A6%AE%E7%B8%BD%E8%A1%8C%E5%8B%95%E5%B0%B1%E9%86%AB%E6%9C%8D%E5%8B%99/id1248270462?uo=4,0.0,3.24832,149,Medical,"臺北榮總掛號APP提供即時看診進度查詢與門診預約掛號功能，讓您更能充分的運用時間，輕鬆守護您的健康生活。

為讓民眾看診相關作業更加便利，更新臺北榮總預約掛號暨看診進度查詢APP，說明如下：
1. APP整合本院所屬之桃園分院、新竹分院、玉里分院、員山分院、台東分院、蘇澳分院、鳳林分院及關渡醫院等9院區，讓民眾至不同分院看診，毋須下載多個APP。
2. 使用者介面調整，APP使用更直覺、操作更方便。
3. 多數功能單手即可操作。
4. 自動記憶輸入之掛號資訊，省下使用者再次登打的時間。
5. 提供到診前5號提醒通知。
6. 『匯入行事曆』功能，方便您整合個人行事曆。

各項功能說明：
1.行動掛號：選擇欲掛號日期及科別，並輸入身分證字號及出生年月日，即可完成掛號，亦可透過此功能查詢當日門診掛號狀態(如掛號額滿、門診休診等資訊)。
2.預約查詢：輸入身分證字號及出生年月日即查看掛號資訊，並透過『提醒通知』或加入『行事曆』提醒看診時間。
3.看診進度：提供即時查詢之門診看診資訊。
4.排檢查詢：輸入身分證字號及出生年月日查看已安排檢查之相關資訊。
5.我的紀錄：檢視過去看診紀錄，民眾點選看診紀錄，使用前次掛號者的身分證字號及出生年月日掛號，協助再次掛該科別該醫師之近期可掛號時間。
6.營養園地：提供病患住院時訂餐及提供病患飲食營養保健資訊。
7. 醫師專長：查詢本院醫師之醫療專長，以協助民眾掛號。
8. 行動繳費：病患辦理出院未繳費前，可使用手機進行金融卡轉帳或信用卡繳費。
9.轉診資訊：提供合作醫療機構，供轉診民眾查詢。
10.藥品資訊：其包含掃描藥袋之處方箋及用藥提醒功能，民眾可掃描藥袋或自行輸入藥品，以提醒按時服藥。",2017-06-15T18:42:10Z,2025-11-20T19:27:06Z
tw,"Taiwan, Province of China",Medical,6020,8,1252857347,寶寶生活記錄和育兒日記 - Piyo日誌,PiyoLog Inc.,https://apps.apple.com/tw/app/%E5%AF%B6%E5%AF%B6%E7%94%9F%E6%B4%BB%E8%A8%98%E9%8C%84%E5%92%8C%E8%82%B2%E5%85%92%E6%97%A5%E8%A8%98-piyo%E6%97%A5%E8%AA%8C/id1252857347?uo=4,0.0,4.91869,14364,Medical,"夫妻可以即時分享資訊的育兒記錄App[Piyo日誌]。
這是一款母子筆記App，透過一隻手的簡易操作，即可替餵牛奶、換尿布及睡眠等事項做記錄！
並具備了豐富齊全的各種功能，包括哺乳計時器功能、批次處理功能，以及成長曲線功能等等。

◆內建分享功能◆
輸入在App之中的內容可以立即分享，夫妻兩人隨時都能查看寶寶的記錄。
當遇上媽媽外出、由爸爸負責照顧寶寶的日子，
爸爸只要做好記錄，媽媽在外出時也能得知寶寶的睡眠時間和餵乳量，讓人好放心。

◆記錄內容◆
母乳、牛奶、預擠母乳、副食品、尿布、便便、尿尿、睡眠、
體溫、身高、體重、洗澡、散步、
咳嗽、發疹、嘔吐、受傷、服藥、醫院、
其他自由記述、育兒日記（附照片）

◆特色功能◆
•即使是正在哺乳等狀況下也能用單手輕鬆操作的設計
•內建一眼就能了解一整天的概要的時間條功能
•自動統計一天的總量，清楚顯示哺乳時間、餵乳量及睡眠時間等等
•可以將用餐、睡眠、排便及體溫的每週變化匯整成淺顯易懂的圖表，一次查看
•可以透過成長曲線查看嬰兒的成長狀況
•貼心通知您下一次的哺乳時間

Terms of Use
https://www.sakabou.co.jp/app/piyolog/eula_en.html",2017-11-02T00:38:06Z,2025-10-26T13:10:19Z
tw,"Taiwan, Province of China",Medical,6020,9,995864179,280days : 讓夫妻共享「懷孕記錄、日記」的應用程式,amane factory inc.,https://apps.apple.com/tw/app/280days-%E8%AE%93%E5%A4%AB%E5%A6%BB%E5%85%B1%E4%BA%AB-%E6%87%B7%E5%AD%95%E8%A8%98%E9%8C%84-%E6%97%A5%E8%A8%98-%E7%9A%84%E6%87%89%E7%94%A8%E7%A8%8B%E5%BC%8F/id995864179?uo=4,0.0,4.84652,16251,Medical,"【可以了解肚子裡的寶寶成長過程！】
【可由夫妻共享！】
【可將懷孕記錄做成BOOK！】


＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
加倍享受懷孕期間的樂趣！
＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊

280days是為了讓各位能加倍享受懷孕期間樂趣的懷孕記錄及懷孕日記應用程式。夫妻可以一邊共享肚子裡的寶寶情形和媽媽的身體狀況，一邊享受一起做懷孕記錄、寫懷孕日記的樂趣。做好的懷孕記錄還能輸出，製成BOOK。
無可取代的280days回憶可以做成BOOK，永久保存。


＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
280days支援事務局敬請各位用戶配合　　
ーーーーーーーーーーーーーーーーーーーーーーー
即使在AppStore的評論寫下個別問題，由於無法掌握詳細狀況的關係，我們將無法解決問題。

如發生問題，
請利用應用程式內的諮詢功能，或聯絡
totsukitoka.support@amanefactory.com

我們將全力處理。
煩請配合，謝謝。
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝


＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
用可愛的插圖展現肚子裡的寶寶！
＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊

天天確認肚子裡的寶寶！！
配合懷孕週數而成長的寶寶插圖，會在您打開應用程式時做出各式各樣的可愛動作。只要觸碰寶寶，寶寶就會說話。寶寶說話的內容會每天改變，表達寶寶的情形或加油的訊息。


＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
身體狀況和回憶都會徹底管理！
＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊

每天的身體狀況管理和產檢管理也只要靠這一款應用程式就OK！
在應用程式中記錄身體狀況和產檢結果，就能一併管理超音波照片和體重記錄等。此外，孕婦照和懷孕期間的每日回憶則可以由夫妻一起記錄為照片日記。


＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
新手爸媽也能安心！
＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊

280days的不同懷孕週數的建議全都有附插圖！配合懷孕週數說明寶寶的成長和媽媽的身體狀況變化，給予生活上的建議等，讀起來十分有趣。
媽媽身體狀況記錄和寶寶的情形都可以跟爸爸分享。應用程式中也有給爸爸的不同懷孕週數的建議，幫助爸爸了解懷孕，協助夫妻間的溝通。


＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
懷孕期間所需的功能All-in-One！
＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊

懷孕倒數、體重管理圖表等支援懷孕的功能滿載！
把寶寶插圖拍成紀念照，上傳到社群網站，或是傳送祝福寶寶成長的訊息卡片，加倍享受懷孕期間的樂趣。


＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
懷孕記錄可以做成BOOK！
＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊

儲存在280days的所有懷孕記錄，都能用好看的BOOK專用排版來輸出。
儲存在應用程式的超音波照片和孕婦照、日記、彼此傳送的卡片等無法取代的懷孕期間回憶，都能做成BOOK，永久保存。



ーーーーーーーーーーーーーーーーーーーーーーー
可由夫妻共享！
懷孕記錄及懷孕日記應用程式《280days》
ーーーーーーーーーーーーーーーーーーーーーーー

◇寶寶插圖
・配合媽媽的懷孕週數成長
・觸碰就會每天說出不同的話
・取個名字，夫妻一同樂在其中
・可拍紀念照＆分享至社群網站
・可選擇設計
・可顯示雙胞胎


◇懷孕倒數
・顯示生產前的天數、懷孕週數＆日數


◇記錄孕婦身體狀況
・每天都可以輸入身體狀況＆心情
・蓋章式簡單輸入
・記錄資料可由夫妻共享


◇體重管理及圖表顯示
・可記錄媽媽的體重變化
・用圖表顯示體重的變化


◇產檢管理
・利用推播通知提醒產檢預定日
・可記錄產檢結果
・可儲存超音波照片
・記錄資料可由夫妻共享


◇懷孕日記
・可利用附照片的日記來記錄回憶
・記錄資料可由夫妻共享


◇輸出為BOOK
・於應用程式記錄的資料可用BOOK專用排版來輸出


◇不同懷孕週數的建議
・「這個時期的寶寶」
配合懷孕週數顯示寶寶的成長
・「這個時期的媽媽」
配合懷孕週數顯示媽媽的身體變化及生活上的建議
・「這個時期給爸爸的建議」
顯示不同懷孕週數時給爸爸的建議


◇懷孕月曆
・顯示產檢預定日和預產日
・顯示推薦祈求順產的戌之日


◇訊息功能
・爸爸可以傳送打氣的訊息給媽媽
・夫妻都可收發訊息卡片



＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
◆不顯示廣告
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
280days為了讓用戶能度過更舒適的懷孕期間，備有在應用程式內付費即可使應用程式下方的廣告不顯示的功能。若您喜愛本應用程式，敬請多加利用此功能。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
◆諮詢
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
我們會觀看評論，以了解各位用戶寶貴的意見及感想。
若您需要諮詢、要求、通報問題等，煩請寄至以下信箱：

totsukitoka.support@amanefactory.com



＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊

280days能連起懷孕期間的家人，孕育新的羈絆。
祝福各位能度過最精彩的280days。

280days　開發團隊全體成員敬上",2016-02-04T06:14:47Z,2025-03-17T01:22:29Z
tw,"Taiwan, Province of China",Medical,6020,10,806136243,智抗糖,H2 Inc.,https://apps.apple.com/tw/app/%E6%99%BA%E6%8A%97%E7%B3%96/id806136243?uo=4,0.0,4.86699,14187,Medical,"免費下載智抗糖 App，開啟你的全方位健康管理！

我們將健康數據結合 AI 技術轉化為清楚、有用的資訊，協助您找到適合的血糖管理方式、輕鬆掌握健康：

●  清楚的圖表與簡單介面：簡易操作、快速掌握健康趨勢。
●  整合連續血糖監測儀（CGM），即時追蹤血糖曲線，幫助你看懂變化與起伏原因。
●  串接多種裝置（血糖機、血壓計、體重計）：快速整合數據，自動同步記錄更省力！
●  個人化提醒與數據分析：根據數值提供個人化建議，全面提升健康管理效率。
●  免費衛教知識與社群支持：超過 500 篇實用衛教文章，還能與其他慢性病友交流、互相關懷。

智抗糖 App 連續 3 年受美國健康媒體 Healthline 評選為 「最棒血糖管理 App 」之一！

面對慢性病及持續監測並不容易，讓智抗糖成為您的健康管理好夥伴，一起輕鬆掌握健康趨勢。

-

智抗糖主要功能：

【全方位數據記錄與追蹤】
記錄並追蹤血糖、血壓、體重、HbA1c、運動與步數等數據，一手全面掌握健康變化趨勢。

【同步裝置與語音輸入】
支援多款血糖機、血壓計、體重計（例如羅氏、歐姆龍、OneTouch 等）自動數據同步，也可整合 Fitbit、Health Connect，或使用語音輸入。

【快速註冊與登入】
支援 LINE、Facebook、Google 一鍵登入，註冊流程簡單快速，讓你立即啟用帳號並開始追蹤健康數據。

【智慧飲食管理】
使用 AI 拍照並辨識食物種類（台灣限定），自動完成記錄並替餐點內容評分。
進階分析每餐/每日攝取的熱量、碳水、蛋白質比例，包含餐前餐後血糖變化，快速判斷飲食達標狀況。

【連續血糖監測 (CGM) 連接】
結合飲食、藥物、運動日記，透過連續血糖曲線圖分析餐後血糖波動的原因，清楚呈現餐前與餐後血糖的上升幅度。

【藥物管理也不漏記】
支援手動輸入藥物紀錄，也可串接 Mallya® 賽諾菲胰島素筆、諾和諾德 Mallya ® 魔力芽™、賽諾菲 SoloSmart® 等裝置，讓藥物管理更方便。

【個人化提醒與健康建議】
根據你的紀錄，提供個人化的提醒與分析建議，協助你掌握重點、提升管理效率。

【醫療共享與報告掃描】
紀錄數據一鍵匯出為 PDF 或 Excel，輕鬆與醫護人員及親友分享。 
AI 掃描健檢報告，不必手動輸入，一拍即完成。 

【夥伴互動控糖不孤單】
邀請親友隨時關注您的健康，也能加入合作診所夥伴帳號，與醫護輕鬆分享健康數據、即時溝通更順暢。

歡迎到官網了解更多：https://www.health2sync.com/tw",2014-04-11T14:33:33Z,2025-11-12T02:57:55Z
