country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
th,Thailand,Books,6018,1,1503128132,"GoodNovel - Booktok, Stories",SINGAPORE NEW READING TECHNOLOGY PTE. LTD.,https://apps.apple.com/th/app/goodnovel-booktok-stories/id1503128132?uo=4,0.0,4.81289,18877,Book,"GoodNovel- A Must Have App For Web Novels！
- Book Genres: Romance, Mystery, Fantasy, Western, Sci-fi, Fan-fic
- Become An Author to REALIZE YOUR WRITING DREAM
Collection of Best Books & Hottest New Reads in Every Genre!

GoodNovel has collected popular web novels and books, provides you with the latest chapters of the highest quality. This is a must-have book app for the majority of web novel lovers.

Start reading your favorite book, by downloading the GoodNovel app！

- No.1 Book Reading Platform for Novel Lovers
- Numerous of Book Genres for Choosing Freely
- Hundreds of web novel Read More Than 1,000,000+ Times
- Professional Author Team Creates Best Novel

Book Genres
GoodNovel contains many web novel genres,  from urban books to supernatural books, and is deeply loved by the majority of our readers.

So many book genres await you to explore on GoodNovel App.

Anyone can find their favorite web novel on GoodNovel. Start reading web novel without delay!

Hottest Web Novels
If you’re looking for any of these web novels below, then you’ll love GoodNovel for sure.
-「Most Read 5 Web Fictions 2024」
-「Most Romantic Top 5 Love Story Web Fictions」
-「Top 5 Novels of All Web Fiction Platforms」
-「Best Sellers of Web Fictions 2024 - Love & Romance」
-「Top 10 Must Read Romantic Web Fictions for Romantic Book Lovers」

Trending web novel at GoodNovel:
 - 「When His Eyes Opened」By Simple Silence
 - 「Alpha Asher」By Jane Doe
 - 「The Divorced Billionaire Heiress」By I Wanna Eat Meat 
 - 「The Dark Side Of Fate」By Karima Sa'ad Usman
 - 「His Dark Obsession」By Moonlight Muse

GoodNovel has hundreds of books that have been read more than 1 million times, and you can read these novels as much as you want without having to buy the paperback edition!

Topping Author Team
Our GoodNovel authors are from all over the world, with experience and talent in writing stories of many different genres and update frequently for their fans to read over and over again.

GoodNovel has been continuously recruiting high-quality authors and has a steady stream of new content recommendations.

**Join GoodNovel & Become A Professional Author!**

About Payment
GoodNovel is unfortunately not a totally free online novel platform. Because we at GoodNovel need to ensure that our authors can obtain a stable income to produce better quality content for you to read.

At the same time, GoodNovel has a lot of in-app tasks that you can easily complete to obtain coins to continue reading new chapters.

If you have any dissatisfaction with the charges or feedback, please write an email to contact@goodnovel.com

How To Contact Us
- For Your Opinions ｜ We’d like to hear from you with appreciation 
1. Customer Service Email —>> contact@goodnovel.com
2. Opinion Collection Form —>> https://forms.gle/5nbTLD1djJ7cJdnZ6

Follow Us | GoodNovel Social Media
1. Official Website —>> https://www.goodnovel.com/
2. Facebook —>> https://www.facebook.com/GoodNovels/
3. Facebook Group —>> https://facebook.com/groups/goodnovels/
4. Discord —>> https://discord.gg/6deBzDk6U3/

About the Automatic Subscription Renewal:

1. Payment: After you confirm the purchase, the fee will be automatically charged to your Apple iTunes account.

2. Renewal: 24 hours before your subscription expires, the renewal fee will be automatically deducted from your Apple iTunes account. After the renewal payment is processed, your premium membership will be extended automatically.

3. If you want to unsubscribe, please open the iPhone ""Settings""-->enter ""iTunes Store and App Store""-->click ""Apple ID"", select ""View Apple ID"", go to the ""Account Settings"" page, click ""Subscribe"" choose GoodNovel Bundle to unsubscribe. if you do not unsubscription at least 24 hours before the end of the subscription period, this subscription will be automatically renewed.

Service 
https://m.goodnovel.com/other/static_file/term_of_use.html
Privacy 
https://m.goodnovel.com/other/static_file/privacy_policy.html",2020-04-23T07:00:00Z,2025-11-21T07:02:36Z
th,Thailand,Books,6018,2,6446470442,Novelmates-Best Stories&Novels,HK IReader Technology Limited,https://apps.apple.com/th/app/novelmates-best-stories-novels/id6446470442?uo=4,0.0,3.66667,3,Book,"[Enjoy Novelmates]
Novelmates is your gateway to a romantic world of addictive novels from various genres. Dive into captivating stories, explore new plots on those web novels. With Novelmates, immerse yourself into storytelling anytime, anywhere.

[Features]
1.Extensive Library: Access a diverse library of novels spanning multiple genres, including romance, mystery, fantasy, science fiction, thriller, and more.

2.Personalized Recommendations: Discover new novels tailored to your preferences based on your favorite novels and stories.

3.Bookmarking: Bookmark your favorite novels and never lose your place in a story.

4.Night Mode: Read comfortably in low-light conditions with the night mode feature, reducing eye strain.

5.Seamless Experience: Enjoy a seamless reading experience with smooth page-turning animations and intuitive navigation controls.

6.Subscriptions: Enjoy the unlimited reading experience without interruptions after subscribing, allowing you to fully immerse yourself in the story.

[Tranding Novel For You]
- Billionaire
- Werewolf
- Romance
- Badboy
- Mafia


Discover the joy of reading with Novelmates and unlock a world of good novels. Download now and start your literary journey today!

Novelmates Agreement
http://www.ireader.mobi/index.php?ca=lang.EnTerms

Novelmates Privacy
http://www.ireader.mobi/index.php?ca=lang.EnPrivacy

Novelmates VIP Agreement
http://abs.ireaderm.net/zyios/app/iphone.php?ca=Vip.VipProtocol",2023-03-30T07:00:00Z,2025-11-20T10:16:24Z
th,Thailand,Books,6018,3,1619215208,Novelah - Go Read Novels,POINTS CULTURE INTERNATIONAL PTE. LTD.,https://apps.apple.com/th/app/novelah-go-read-novels/id1619215208?uo=4,0.0,4.14445,1606,Book,"Novelah is an App for reading free local novels. All original stories come from the best local authors. The story themes include romance, fantasy, horror, action, dream more.

Readers can get a better quality novel and story reading experience on Novelah. We have the following features:

- Exclusive novels, free to read
Exclusive and popular novels from local authors, no purchase required, you can read for free.

- Offline download, data-free Read
Download your favorite books and read complete novel anytime without the internet. Totally free. Save your mobile data traffic.

- Read books in multiple languages
The home page in Novelah supports displaying books in multiple languages which are English, Filipino etc. The content at your fingertips can enrich your leisure time.

- Huge amount of free novels with complete categories
Personalized recommendations based on your preferences: romance, fantasy, horror, action, and other original local free fiction.

- Discovery part
Recommended recently updated books, the most popular books and authors for you!

- Search fiction
You can quickly find your favorite books by keyword or book ID number!

- Focus on your reading experience
Font adjustment and night mode, sharing books to friends, providing the most comfortable Read experience.

- Personal library
Add your favorite novel and authors to your personal bookshelf, and the system will automatically locate historical reading chapters. Keep up with the latest updates.

-Comment on wonderful content
Long press the book paragraph to post the most sincere comments, and share the storyline with your friends on social platforms such as Facebook, Twitter and Instagram. There are even points rewards!

-Fiction reviews
Comment on your favorite story. Each of your most realistic read thoughts and suggestions can be read by authors, and have the opportunity to get the author's first feedback.

- Rewarding points to help you develop a good habit of reading
Read novels, sign in, complete reward tasks, and win lucky draws every day to get poins easily. Become a VIP to get more reading rights. New users will also be rewarded with free points.

Here are the exclusive novels you can read at Novelah, and the most popular novels, download Novelah now and start reading!

- 「Married to the President」
Theresa Mo was an orphan, after being set up by her husband and step mother. She was thrown out of her home on the basis of infidelity. She became homeless.The worst happened when she discovered she was pregnant... Junxie Li an handsome dude and President of the Li's Group. He never found her and he had no idea who she is or her whereabouts. Four years later, he stumbled upon two boys who are a miniature of himself, in a frenzy he demanded "" Who is your mother?""...

- 「Chosen By An Alpha」
Grace was a sweet and simple human whose world revolves around her family and their happiness. Everything was perfect in her life until he arrived in her town in search of his enemy. And then nothing remained PERFECT in her life from the moment his eyes landed on her. He wanted her. All of her. Either by hook or by crook.

Authors can make your writing dreams come true on Novelah
- Novelah original fiction comes directly from the best local authors.Novelah is constantly looking for quality authors who love to write and are willing to write great original stories in their own language. With one-on-one mentoring from professional editors in our team, your work could be the next ecommendation! And you work will have the chance to be adapted into comics, TV dramas, games and more! 

Download Novelah Read & share your favorite novels!
Thanks to all Novelah readers and authors. We would love to hear your valuable comments.
Customer Service Email: Novelah.help@gmail.com

Terms: https://www.novelah.net/copyright.html
Privacy Policy: https://www.novelah.net/privacy.html",2022-04-17T07:00:00Z,2025-11-10T01:31:38Z
th,Thailand,Books,6018,4,1295087414,readAwrite – รี้ดอะไร้ต์,MEB Corporation Public Company Limited,https://apps.apple.com/th/app/readawrite-%E0%B8%A3-%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B9%84%E0%B8%A3-%E0%B8%95/id1295087414?uo=4,0.0,4.83057,139572,Book,"readAwrite by meb (รี้ดอะไร้ต์) แอปพลิเคชันอ่านเขียนนิยายออนไลน์สุดยิ่งใหญ่ในจักรวาล สนุกครบทุกอารมณ์ อ่านง่ายสบายตา นิยายฟรีมีเพียบ อัปตอนใหม่ทุกวัน

readAwrite คือ แหล่งกบดานสุดฟินของนักเขียนและนักอ่านหลากแนว ทั้งนิยายรัก นิยายจีนโบราณ นิยายวาย นิยายยูริ และการ์ตูน & โดจินชิ 

แถมยังเอาใจนักเขียนและนักอ่านนิยายแชท ด้วย readAchat (รี้ดอะแชท) นิยายแชทน้องใหม่ ไฟแรงเว่อร์ แต่งนิยายผ่านแอปฯ และในคอมฯ ได้ทุกที่ทุกเวลา เลือกหมวดหมู่ได้ตามสไตล์ที่คุณชอบ 

ฟีเจอร์สุดฮ็อตจาก readAwrite
- มีระบบ Auto search เสิร์ชพยางค์น้อย อ่านสอยได้ทันที
- มีโดเนทไอเทมเจ้าแรกในวงการ ที่คุณนักอ่านสามารถให้ชานมไข่มุก พิซซ่า ซาชิมิ ฯลฯ กับนักเขียนได้
- ให้ Tip นักเขียนคนโปรด เสมือนเข้าโหมดให้กำลังใจแก่นักเขียน
- สติกเกอร์ พี่รี๊ดน้องไร้ต์ พี่ meb พี่ฮิปโป และอื่นๆ อีกมากมาย ให้คอมเมนต์กันระรัว
- ปรับจอสีให้เลือกสรรได้ถึง 4 แบบ ทั้งแบบปกติ ซีเปีย โหมดกลางคืน และโหมดมืด
- จะฟ้อนต์ใหญ่ ฟ้อนต์เล็ก ชิดริมขวา ริมซ้าย หรือตรงกลางก็ทำได้ตามใจสะดวก
- แปะลิ้งก์เพื่อขาย Paper Version ทำได้ตามความพอใจโลด
- มีระบบ Pre-order ใช้งานฟรี เป็นสื่อกลางระหว่างคุณนักเขียนกับแฟน (นักอ่าน)
- คะแนน The 1 เปลี่ยนเป็น meb coin ได้ด้วยนะเออ …  เลิศจริงๆ

ผู้พัฒนาแอปพลิเคชันสุดเมพของเรา ไม่ใช่ใครที่ไหน เป็นพี่ meb ร้านอีบุ๊กอันดับ 1 แห่งสยามประเทศนี่เอง รอช้าอยู่ไย โหลดมาใช้งานกันเล้ยยย!",2017-10-16T11:45:19Z,2025-11-17T08:48:13Z
th,Thailand,Books,6018,5,1421091911,Dreame - Read Best Romance,Stary Pte. Ltd.,https://apps.apple.com/th/app/dreame-read-best-romance/id1421091911?uo=4,0.0,4.60609,5316,Book,"""WHY 100+ MILLION READERS CHOOSE DREAME?
Dive into Sizzling Romance Novels with Dreame! 500,000+ Addictive Novels — From Romance to Fantasy, Mystery to Young Adult Fiction, Adventure to Fan-fic, we've got it all! Binge-Werewolf Alphas, Billionaire Mafia Bosses, Forbidden Love Triangles — Your Next Obsession Awaits! DOWNLOAD NOW & CLAIM YOUR FREE CHAPTERS! Your next all-nighter starts here.
-TikTok’s Hottest Novels:
「Shifted Fate」by Alicia.S.Rivers #Hot On TikTok:
Amy was the luna of her pack, growing a pup in her stomach when the alpha betrayed her and took her life, and that of her pup. When she woke up six years earlier, she decided to change everything. Revenge would be something she focused on.
「My Mate and Brother's Betrayal」by TheNich29 #Hot On TikTok
「The Pack's Doctor」by Cooper #100+ Million Views On Facebook
「Alpha’s Regret After Putting Me In Jail」by Aria HJ #Highly Rated on YouTube
「Claimed by my Brother’s Best Friends」by Destiny B #Trending on INS
-TOP GENRES:
Werewolf、Kickass Heroine、Multi-Professional Billionaire、Romantic、Alpha、True Mate、Fated Love、Revenge、Love-triangle、Royal
-QUICK UPDATES:
Never miss a beat with Dreame's quick updates. Get personalized recommendations and discover new books based on your tastes. Plus, keep track of what you want to read and stay in the loop with your favorite authors' latest releases.
-EASY & SIMPLE READING EXPERIENCE:
Make reading a personalized experience with our app's customization options. Adjust your text size, font type, margins, and text alignment to your liking. Plus, choose between flipping, sliding, or scrolling to turn pages in a way that feels natural to you. With adjustable brightness and background colors, you can read comfortably. READ ANYWHERE, ANYTIME.
-TRENDING ADAPTATION:
Original Story adapted into Audiobooks on Wehear:「The Defiant Mate」by jennifer francis、「Her Triplet Alphas」by Joanna J、「My Miracle Luna」by Eunie... We’re perfect for fans of: Twilight meets 50 Shades with Game of Thrones-level twists!
-FOLLOW US:
Official Website: www.dreame.com  
Facebook: Dreameofficial
INS/YouTube: dreamestory
Tiktok: dreamestoryofficial
-CONTACT US:
Customer Service Email: support-dreame@stary.com
Feedback in Dreame-->> """"Me"""" > """"Feedback""""
Service Agreement：https://api.dreame.com/Api/privacy
Privacy Agreement：https://api.dreame.com/Api/terms""",2018-08-13T14:21:26Z,2025-11-20T03:11:24Z
th,Thailand,Books,6018,6,453213960,Meb : หนังสือดี นิยายดัง,MEB Corporation Public Company Limited,https://apps.apple.com/th/app/meb-%E0%B8%AB%E0%B8%99-%E0%B8%87%E0%B8%AA-%E0%B8%AD%E0%B8%94-%E0%B8%99-%E0%B8%A2%E0%B8%B2%E0%B8%A2%E0%B8%94-%E0%B8%87/id453213960?uo=4,0.0,4.8814,69215,Book,"meb - mobile e-books: An organic e-bookstore system (born from brains and two hands furiously pounding the keyboard!), designed for true book lovers. Distilled from the heart and brewed with all our skill.

Discover books—novels, comics, pocketbooks, magazines—from a wide array of writers and publishers flocking to join us.
Comes with generous, no-strings-attached samples for you to try.
Buy once and read across your devices—iPad, iPhone, Mac, and other platforms.

Meb Features

- An easy-to-use bookstore system: Organized into categories, search with various filters, and a huge variety of books.
- Buy and read all in one app. Say goodbye to the problem of buying a book and not knowing how to read it!
- Offers both paid and plenty of free books, all with generous samples for you to try.
- Purchased books can be deleted to save space and re-downloaded to read again anytime.
- Read your way, anywhere! Download, go offline, and enjoy your books even when you're out and about.
- A book reader designed for a truly immersive experience: Supports various file types (including multimedia books!), lets you resize text, change fonts, and even customize the app's color.
- Eye-friendly: With adjustable night mode/sepia tone and brightness control.
- Easily turn pages by swiping or tapping.
- Automatically remembers your last read page in each book and syncs it across all your devices, so you can resume reading on any device.
- Take notes and draw right in your books.
- Review, rate, or share your favorite books on Facebook.
- Follow your favorite publishers, writers, or book categories, or create a Wishlist to keep track of them.
- Kid's mode available, making it easy for parents to find and buy books for their children.",2011-11-05T00:13:40Z,2025-11-04T02:25:33Z
th,Thailand,Books,6018,7,1630088779,LEZHIN TH,"KidariStudio, Inc.",https://apps.apple.com/th/app/lezhin-th/id1630088779?uo=4,0.0,1.85486,627,Book,"LEZHIN แอปอ่านการ์ตูนออนไลน์ลิขสิทธิ์แท้จากเกาหลี ฟินจุใจจนห้ามพลาด!

พบกับโปรโมชั่นเด็ด! ลดราคาหั่นครึ่งสำหรับซื้อเหรียญครั้งแรก ซื้อครั้งต่อไปลดสูงสุดถึง 40% และโปรโมชั่นอื่นๆอีกเพียบในแอปเท่านั้น!


แหล่งรวมการ์ตูนที่ใช่
จุใจกับคลังการ์ตูนออนไลน์มากมายจากเกาหลี พร้อมแปลไทยให้อ่านกันอย่างสุดฟิน

หลากหลายสไตล์ อ่านได้ทุกวัน
ไม่ใช่แค่วาย แต่ยังมีเรื่องมากมายให้เลือกอ่านตามสไตล์ที่ชอบ ครบทุกรส ทั้งแฟนตาซี โรแมนติก ยูริ (Yuri, GL) อัปเดตตอนใหม่ทุกวัน ไม่มีเหงา

รูปสวยคมชัด คุณภาพคับจอ
จุใจกับภาพการ์ตูนสีสวยสไตล์เกาหลี รับประกันความคมชัด ไม่ลดขนาดภาพ

แฮชแท็กค้นหาสุดปัง
ช่วยค้นหาสไตล์เรื่องที่ใช่ ด้วยแฮชแท็ก จัดเต็มทุกหมวดหมู่
LEZHIN แอปอ่านการ์ตูนออนไลน์ลิขสิทธิ์แท้จากเกาหลี ฟินจุใจจนห้ามพลาด!

อีเวนต์โดนใจ
พบกับอีเวนต์สนุกๆ และ ของรางวัลมากมาย ติดตาม และร่วมสนุกได้ในแอป

ติดตั้ง LEZHIN ฟรีตอนนี้ แล้วมาพบกับการ์ตูนสนุกมากมายที่รอคุณอยู่",2022-10-03T07:00:00Z,2025-09-23T05:11:47Z
th,Thailand,Books,6018,8,870473069,2ebook Library,"STAQ Technologies Co., Ltd.",https://apps.apple.com/th/app/2ebook-library/id870473069?uo=4,0.0,1.52632,247,Book,"Download an iOS eBook applications for 2ebook Library for free!
*For 2ebook library customer only. 
- More than 1,500 Thai eBook in our Library.
- Ad-free
- Fast & Easy Browse
- Group by book categories , book publisher
- Easy Thai book search.
- Can take note as bookmark.",2014-05-13T15:32:35Z,2023-08-22T07:16:33Z
th,Thailand,Books,6018,9,1087664350,ธัญวลัย - นิยายออนไลน์,Storylog Company Limited,https://apps.apple.com/th/app/%E0%B8%98-%E0%B8%8D%E0%B8%A7%E0%B8%A5-%E0%B8%A2-%E0%B8%99-%E0%B8%A2%E0%B8%B2%E0%B8%A2%E0%B8%AD%E0%B8%AD%E0%B8%99%E0%B9%84%E0%B8%A5%E0%B8%99/id1087664350?uo=4,0.0,4.07714,48098,Book,"‘Tunwalai’ มีนิยายหลากหลายกว่า 500,000 เรื่อง ให้เพื่อนๆ ได้มาอ่านฟิน อินสุด จนหยุดไม่อยู่!


สวัสดีจ้า เราธัญญ่านะ วันนี้เราได้พัฒนาแอปพลิเคชัน ขึ้นมาตามเสียงเรียกร้องของผู้ใช้งานที่น่ารักของเรา
แอปธัญวลัย สามารถทำได้หลายอย่าง ไม่ว่าจะเป็น
-อ่านนิยายได้ง่ายๆ มีหมวดหมู่มากมายให้เลือกสรร
-อยากเขียนนิยายก็สามารถทำได้เลยเช่นกัน
-ถ้าชอบผลงานของนักเขียนคนไหนก็สนับสนุนได้ทันที


ในอนาคตเรายังอยากจะสร้างอะไรขึ้นมาให้ผู้ใช้งานอีกหลายๆ อย่าง
แต่ก็ต้องอาศัยแรงจากเพื่อนๆ มาดาวน์โหลดเพื่อเป็นชาว Tunwalai Land ด้วยกันเยอะๆ นะ
เราจะได้มีแรงและกำลังใจพัฒนาแอปให้อยู่คู่กับเพื่อนๆ ไปอีกนานๆ เลยค่า

ด้วยรักจากพี่ธัญญ่า จุ๊บ",2016-03-30T15:25:33Z,2025-09-08T03:34:41Z
th,Thailand,Books,6018,10,6667098622,NovelaGo: Stories and novels,Hong Kong Begin Wealth Limited,https://apps.apple.com/th/app/novelago-stories-and-novels/id6667098622?uo=4,0.0,4.72222,36,Book,"NovelaGo -An essential application for lovers of online English novels!

Book genres: romance, mystery, fantasy, western, science fiction, fanfiction  
A collection of the best books and most popular releases in each genre! 
No need to buy physical books, you can read anytime, anywhere, download now and experience reading happily.

NovelaGo brings together popular novels and online books to bring you the latest chapters with the highest quality. It is the ideal application for those who enjoy digital novels.

- The first reading platform for lovers of English novels 
- Great variety of genres to choose from freely 
- Hundreds of novels online with more than 1,000,000 readings 
- A team of professional authors creates the best stories 

**Wide variety of genres** 
NovelaGo offers a wide selection of genres, from urban books to the supernatural, and is highly appreciated by a large community of readers. 
Discover many genres waiting to be explored in the NovelaGo app. 
Anyone can find their favorite online novel on NovelaGo. Start reading novels online now!

With tens of thousands of books and more than a million readings, NovelaGo allows you to enjoy as many novels as you want without having to buy the printed version.

**Team of Featured Authors** 
Our authors at NovelaGo come from different parts of the world, bringing experience and talent in various types of stories. His works are updated frequently so that fans can enjoy them again and again. 
NovelaGo continues to recruit high-quality authors and constantly brings you new recommended content.

**About payment** 
NovelaGo is not a completely free platform. We must ensure that our authors earn a stable income to produce quality content for your enjoyment. 
However, NovelaGo includes several in-app tasks that you can easily complete to earn coins and continue reading new chapters.""


Subscription Information
If you subscribe through Apple, the payment will be deducted from your App Store account when you confirm the purchase. Unless you disable automatic renewal at least 24 hours before the end of the current subscription period, the system will automatically extend the validity period. Within the 24 hours prior to the end of the current subscription period, the system will charge the renewal fee to the account according to the price of the selected plan. After completing the purchase, users can manage their subscriptions and automatic renewal in their account settings.




Contact us:support@novelago.app
Developer site:https://www.novelago.app
Unlimited Terms of Use: https://www.novelago.app/protocol.html?packageName=com.novelago.ios.app&appName=novelago&os=ios&lang=en&keys=terms-of-service
Privacy Agreement: https://www.novelago.app/protocol.html?packageName=com.novelago.ios.app&appName=novelago&os=ios&lang=en&keys=privacy-policy
Service Agreement: https://www.novelago.app/protocol.html?packageName=com.novelago.ios.app&appName=novelago&os=ios&lang=en&keys=unlimited-terms-of-service",2024-11-28T08:00:00Z,2025-11-11T14:56:43Z
