country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
th,Thailand,Kids,36,1,1060905121,AIS PLAY,MIMO TECH COMPANY LIMITED,https://apps.apple.com/th/app/ais-play/id1060905121?uo=4,0.0,2.31703,6706,Entertainment,"AIS PLAY - your one-stop app for world-class entertainment, ready to keep you entertained anytime, anywhere on your mobile screen. Enjoy a full range of movies, series, sports, e-sports, cartoons, variety shows, exclusive concerts, and premium content curated just for you.

• Live TV: Watch live digital TV, satellite TV, movies, series, variety shows, news, and cartoons from over 100 top channels.
• Exclusive & Free Content: Enjoy exclusive shows, movies, Thai and international series, cartoons, animations, variety shows, live concerts, and so much more — all for free!
• Premium Content: Dive into high-quality entertainment with top movies, series, variety shows, news, and cartoons from leading channels, all in stunning clarity.
• Sports: Catch every thrilling match live, including the Premier League, Thai League, and other major global sports events — anytime, anywhere.

Download AIS PLAY and unlock endless entertainment at your fingertips!",2016-01-25T15:52:45Z,2025-10-10T07:10:56Z
th,Thailand,Kids,36,2,6477489729,Google Gemini,Google LLC,https://apps.apple.com/th/app/google-gemini/id6477489729?uo=4,0.0,4.81466,490998,Productivity,"Google Gemini app is your personal, proactive and powerful AI assistant.

With Gemini on your iPhone or iPad, you can:

– Go Live with Gemini to brainstorm ideas, simplify complex topics and rehearse for important moments. Share your camera or screen in Gemini Live conversations to talk with Gemini about anything that you see. Just click on the Gemini Live button in your Gemini app
– Bring your ideas to life with Canvas. From prompt to prototype, create apps, games, web pages, infographics, Audio Overviews and more
– Connect with your favourite Google apps, like Search, YouTube, Google Maps, Gmail and more
– Study smarter and explore any topic with quiz and flashcard creation, interactive visuals and real-world examples
– Turn any file into a podcast that you can listen to any time, anywhere
– Create and edit stunning images from just a few words
– Plan trips better and faster
– Get summaries, deep dives and source links, all in one place
– Brainstorm new ideas or improve existing ones

Try Nano Banana: State-of-the-art image generation and editing built on Gemini 2.5 Flash


Level up your Gemini app experience by upgrading to the Plus plan – unlock new and powerful features to boost your creativity and productivity:
– Get more access to our most powerful models, like 2.5 Pro
– Generate and dive into detailed reports on any topic with Deep Research powered by 2.5 Pro
– Turn words into high-quality, eight-second video clips with video generation with Veo 3.1 Fast and more.

Google AI Plus includes additional benefits. Gemini app, as part of Google AI Plus, will be available to qualifying Google Workspace business and education plans. Learn more: https://gemini.google/subscriptions/

Get even more out of your Gemini app experience by upgrading to the Pro plan, which helps you tackle complex tasks and projects. Enjoy an industry-leading 1M token context window (enabling Gemini to process up to 1,500 pages of text or 30k lines of code), and higher access to our most capable model 2.5 Pro, Deep Research on 2.5 Pro and video generation with Veo 3.1 Fast.

Gemini in Google AI Pro includes additional benefits as part of a Google AI Pro subscription. The Gemini app, as part of Google AI Pro, will continue to be available to qualifying Google Workspace business and education plans. Learn more: https://gemini.google/subscriptions/

Get the best of Gemini app by upgrading to the Ultra plan – unlock the highest level of access to the best of Google AI and exclusive features. Get the highest access to Google's most powerful model, like 2.5 Pro, features like video generation with Veo 3.1, Deep Research on 2.5 Pro and unlock Gemini 2.5 Deep Think. You'll also get early access to try our newest AI innovations as they become available, including Agent Mode.

Gemini in Google AI Ultra includes additional benefits as part of a Google AI Ultra subscription. Google AI Ultra for Business is available as an add-on to Google Workspace customers. Learn more: https://support.google.com/a/answer/16345165

The Google Gemini mobile app is available in selected languages and countries. Learn more:
g.co/gemini/iosrequirements

Gemini Live feature availability varies based on language. Learn more:
g.co/gemini/ioslanguages

While Gemini can help you with many tasks like checking the weather, giving directions, and finding and summarising information across the web and apps, Gemini does not yet support device actions like setting an alarm, sending a text message and others on iOS.

Review the Gemini Apps Privacy Notice:
g.co/gemini/privacynotice",2024-11-11T08:00:00Z,2025-11-20T01:10:16Z
th,Thailand,Kids,36,3,1324902182,เป๋าตัง,Krung Thai Bank,https://apps.apple.com/th/app/%E0%B9%80%E0%B8%9B-%E0%B8%B2%E0%B8%95-%E0%B8%87/id1324902182?uo=4,0.0,2.93582,59954,Finance,"เป๋าตัง ใบใหม่ ใช้งานง่าย ครอบคลุมทุกธุรกรรมการเงิน ไม่ต้องพกกระเป๋าตังรูปแบบเดิม ๆ อีกต่อไป 
ใช้งานได้ทันทีเพียงมีบัตรประจำตัวประชาชน ก็สามารถลงทะเบียนใช้งานเป๋าตังได้ โอน เติม จ่าย กู้ (Loan) ลงทุน (ทองคำ พันธบัตร หุ้นกู้) ไร้กังวลด้วยบริการต่าง ๆ บนเป๋าตัง

ฟีเจอร์ เป๋าตังเปย์

- สแกนจ่ายได้ครอบคลุมทั่วไทย แถมได้ส่วนลด

- เปิดบัตร Play คู่กับผูกเป๋าตังเปย์วอลเล็ต แตะจ่ายได้ครบทุกไลฟ์สไตล์

- ผูกบัญชีกับเป๋าตังเปย์ วอลเล็ต ให้ทุกการเปย์ไม่มีสะดุด

- โอนเงินเข้า-ออก จ่ายบิล เติมเงิน ไม่มีค่าธรรมเนียม

- สิทธิพิเศษและกิจกรรม ลุ้นรับส่วนลดฟรี

G Wallet ใช้สิทธิตามมาตรการกระตุ้นเศรษฐกิจ

- ใช้สิทธิในโครงการและมาตรการต่างๆ จากภาครัฐ

- ชำระสินค้า และบริการที่ร้านค้าถุงเงิน

- โอนเงินเข้าบัญชี และโอนพร้อมเพย์

-  เติมเงินมือถือ และจ่ายบิล ค่าน้ำ/ค่าไฟ และจ่ายบิลค่าปรับจราจร

กระเป๋าสุขภาพ ช่วยให้บริการทางสุขภาพและการใช้สิทธิประโยชน์สําหรับคนไทย เป็นเรื่องง่ายยิ่งขึ้น

- ตรวจสอบข้อมูลสิทธิฯ และเงื่อนไขการรับบริการด้านสุขภาพของตนเอง 

- ตรวจสอบนัดหมาย รับแจ้งเตือนนัดหมายล่วงหน้า(กับสถานพยาบาลที่เข้าร่วม)

- ยืนยันเข้ารับบริการเมื่อถึงวันนัดหมายผ่านแอปฯ ได้ง่ายๆ โดยไม่ต้องติดต่อเวชระเบียน (กับสถานพยาบาลที่เข้าร่วม)

- กดใช้สิทธิเบิกค่ารักษาตามสิทธิที่ตนเองมีผ่านแอปฯ เช่น สิทธิข้าราชการ, สิทธิหลักประกันสุขภาพแห่งชาติ (เร็วๆ นี้)

- รับแจ้งเตือนชําระค่ารักษาฯ เพิ่มช่องทางการชําระผ่านแอปฯ สะดวก และรวดเร็วยิ่งขึ้น

- ตรวจสอบประวัติการทํารายการของตนเองย้อนหลัง เรียกดูใบเสร็จรับเงิน (กับสถานพยาบาลที่เข้าร่วม)

ฟีเจอร์สำหรับวอลเล็ต สบม. เพื่อลงทุนในพันธบัตรหน่วยละบาท

- ลงทุนในพันธบัตรรัฐบาล หน่วยละ 1 บาท (ขั้นต่ำ 100 บ.) รองรับผู้ใช้งานตั้งแต่ 15 ปีบริบูรณ์ขึ้นไป

- ซื้อ/ขายได้ตลอด 24 ชม. ผ่านตลาดรอง (Secondary Market)

-จำนำพันธบัตร และขอหนังสือค้ำประกัน (LG)

ฟีเจอร์วอลเล็ต ซื้อขายหุ้นกู้  ซื้อขายง่าย ได้ทันที 24 ชั่วโมง

- สะดวก ง่าย ซื้อขายหุ้นกู้ภาคเอกชนได้ทุกที่ ทุกเวลา ผ่านแอปฯ เป๋าตัง

- เติมเงินเข้าวอลเล็ตง่ายๆ จากแอปฯ กรุงไทย เน็กซ์ หรือแอปฯ ต่างธนาคาร

- ซื้อหุ้นกู้โดยตัดบัญชีกรุงไทยอัตโนมัติเพียงผูกบัญชีกับวอลเล็ต

- แสดงข้อมูลการถือครองหุ้นกู้ ราคาซื้อ/ราคาขาย ข้อมูลดอกเบี้ย ตลอดจนภาษีหัก ณ ที่จ่าย

บัญชีกรุงไทย ใช้งานง่าย ครอบคลุมธุรกรรมการเงิน

- เปิดบัญชีออนไลน์ ‘เป๋ามีตัง’ และผูกบัญชีกรุงไทยผ่านแอปฯ ได้สูงสุด 3 บัญชี

- โอนเงินได้ทุกบัญชีธนาคาร รวมทั้งโอนเลขพร้อมเพย์

- เติมเงินง่ายทุกค่ายมือถือ รวมถึงค่าทางด่วน Easy Pass, M-Pass

- จ่ายบิล ครอบคลุมทุกค่าใช้จ่าย ค่าน้ำ ค่าไฟฟ้า ค่าโทรศัพท์ ค่าบัตรเครดิต รวมถึงบิลภาครัฐ เช่น เงินกู้ กยศ. ค่าปรับจราจร

- ตั้งค่าบัญชีหลักในการสแกน QR Code เพื่อโอนเงิน และชำระเงิน 

- ดูสมุดบัญชีได้บนแอปฯ เป๋าตัง

- รองรับบริการพิเศษ สำหรับ ลูกค้ากยศ. ในการดูข้อมูล และชำระเงิน

- รองรับการสมัครแจ้งเตือนเงินเข้า-ออกผ่านไลน์ Krungthai Connext 

สินเชื่อกรุงไทยใจป้ำ สมัครง่าย อนุมัติไว ได้ทุกอาชีพ เลือกระยะเวลาผ่อนชำระตามใจคุณ

- วงเงินสินเชื่อสูงสุด 1,000,000 บาท

- อัตราดอกเบี้ย 20-22% ต่อปี สำหรับลูกค้าที่ชำระตรงเวลา (ไม่มีค่าธรรมเนียมเพิ่มเติม)

- เลือกผ่อนชำระได้ตั้งแต่ 12 - 60 เดือน

- ตัวอย่างการผ่อนชำระค่างวด
วันที่ 1 ม.ค. 66 ลูกค้าตอบรับวงเงินเชื่อ 50,000 บาท ระยะเวลาผ่อนชำระ 60 เดือน อัตราดอกเบี้ย 20% ต่อปี
ลูกค้าต้องผ่อนชำระงวดละ 1,400 บาท (เงินต้นและดอกเบี้ย) และจำนวนเงินที่ต้องชำระทั้งหมด 76,608 บาท (เงินต้น 50,000 บาท และดอกเบี้ย 26,608 บาท)
และกรณีลูกค้าเลือกผ่อนชำระค่างวดทุกวันที่ 25 ของเดือน ในวันที่ 25 ม.ค. 66 หักชำระค่างวดอัตโนมัติ (เงินต้นและดอกเบี้ย) เดือนที่ 1

เป๋าตัง ใบใหม่ ใช้งานง่าย ตอบโจทย์ไลฟ์สไตล์ใหม่ของคนไทย



- เว็ปไซต์ : www.krungthai.com
- Facebook : https://www.facebook.com/krungthaibank
- Contact Center : โทร. 02-111-1111
- ท่ีอยู่ : 35 อาคารนานาเหนือ ถนนสุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร ประเทศไทย 10110",2018-01-23T13:03:46Z,2025-11-10T08:25:41Z
th,Thailand,Kids,36,4,1533612248,ThaID,The Bureau of Registration Administration,https://apps.apple.com/th/app/thaid/id1533612248?uo=4,0.0,2.09632,8223,Utilities,"กรมการปกครอง กระทรวงมหาดไทย ได้พัฒนาระบบการพิสูจน์และยืนยันตัวตนทางดิจิทัล DOPA-Digital ID โดยอัตลักษณ์ของบุคคล เพื่อให้ได้เอกลักษณ์ ในโลกแห่งดิจิทัล สาหรับคนไทย เพื่ออานวยความสะดวกและตอบสนองความต้องการของประชาชนในการติดต่อราชการกับหน่วยงานของรัฐ สามารถยืนยันตัวตน ทาธุรกรรมอิเล็กทรอนิกส์ ได้อย่างสะดวก รวดเร็ว ปลอดภัย และยังลดความเสี่ยง ในการใช้เอกสารปลอมในกระบวนการยืนยันตัวตน ต่อไปสามารถอาจนาไปใช้กับหน่วยงานเอกชนด้วย “ เพื่อคนไทย ก้าวต่อไป ด้วย ThaiD ""
ในช่วงที่เปิดให้บริการในระยะแรก ได้เปิดตัว บัตรประจาประชาชนดิจิทัล ต่อมาด้วยการให้บริการทางทะเบียนราษฎรเบื้องต้น เช่น การตรวจสอบข้อมูลทางทะเบียน การคัดรับรองรายการทะเบียน การย้ายปลายทาง และการขอเลขที่บ้าน ย้ายที่อยู่เข้าทะเบียนบ้านแห่งใหม่ เป็นต้น
ปัจจุบันสามารถใช้ตรวจสอบสิทธิเลือกตั้งสมาชิกผู้แทนราษฎร การใช้ภาพเล็กทรอนิกส์ของบัตรประจาตัวประชาชนที่เปิดผ่านแอปพลิเคชั่น ThaiD และระบบการแจ้งเหตุที่ไม่อาจไปใช้สิทธิเลือกตั้งยืนยันตัวตนในการเข้าไปยื่นใช้สิทธิเลือกตั้งล่วงหน้าทางอิเล็กทรอนิกส์สาหรับการเลือกตั้งสมาชิกผู้แทนราษฎร การเลือกตั้งรวมทั้ง การเปิดตัวทะเบียนบ้านดิจิทัล ทั้งนี้ เพื่อให้ ผู้ใช้งานที่มีความสนใจเอกสารทางดิจิทัล เพื่อนาไปใช้งานตามความประสงค์ ทาให้สามารถเข้าถึงได้อย่างรวดเร็ว ปลอดภัย และเป็นปัจจุบัน",2020-11-22T08:00:00Z,2025-09-29T10:34:44Z
th,Thailand,Kids,36,5,1096918571,Google Meet,Google LLC,https://apps.apple.com/th/app/google-meet/id1096918571?uo=4,0.0,4.54934,5268,Social Networking,"Google Meet is a high-quality video calling app designed to help you have meaningful and fun interactions with your friends, family, colleagues, and classmates, wherever they are.

Meet lets you connect in whatever way works for you: Call someone spontaneously, schedule time together, or send a video message that they can watch and respond to later.

Meet also helps you get things done. It integrates with other Google Workspace apps like Gmail, Docs, Slides, and Calendar, and offers a number of features to help you run smooth and engaging meetings, like noise cancellation, in-call chat, recordings, and more.*

Features to look forward to:

Make spontaneous calls or host video meetings with your friends and colleagues, all in one app.


Enjoy one-on-one video calls for up to 24 hours and host meetings for up to 60 minutes and 100 people at no cost.


Follow along in your preferred language with real-time translated captions in over 70 languages.


Use in-call chat to share ideas, ask questions, or provide feedback without interrupting the flow of the conversation.


Make your calls more engaging with in-call emojis that allow you to express yourself seamlessly without interrupting the conversation.


Share visuals like photos, videos, and presentations during your call to collaborate or simply share memories from your recent vacation.


Make your calls with family and friends more fun with stackable effects that allow participants to add multiple backgrounds, filters, and animations, to create a personalised experience.


Use on-the-go mode for an audio-only experience with larger call controls, making it easier to take calls with fewer distractions while walking, driving, or using public transportation.


Access on any device: Meet works across mobile, tablet, web, and smart devices,** so everyone can join.

High quality video: Show up looking your best with up to 4k video quality video***.

Learn more about Google Meet: https://workspace.google.com/products/meet/

Follow us for more:

Twitter: https://twitter.com/googleworkspace

Linkedin: https://www.linkedin.com/showcase/googleworkspace

Facebook: https://www.facebook.com/googleworkspace/

*Meeting recording, noise cancellation are available as premium features. See https://workspace.google.com/pricing.html for more details

**Not available in every language.

***Bandwidth permitting. Google Meet automatically adjusts to the highest video quality possible based on your bandwidth.

Data charges may apply. Check your carrier for details.

Specific feature availability may vary based on device specifications.",2016-09-02T00:51:01Z,2025-11-17T21:39:48Z
th,Thailand,Kids,36,6,1641486558,Temu: Shop Like a Billionaire,Whaleco Inc.,https://apps.apple.com/th/app/temu-shop-like-a-billionaire/id1641486558?uo=4,0.0,4.18187,22845,Shopping,"Shop on Temu for exclusive offers. 

No matter what you're looking for, Temu has you covered, including fashion, home decor, handmade crafts, beauty & cosmetics, clothing, shoes, and more.

Download Temu today and enjoy incredible deals daily.

WIDE SELECTION
Discover thousands of new products and shops.

CONVENIENCE
Fast and secure checkout.
Free shipping & returns within 90 days.
*Other conditions may apply

Visit temu.com or follow us on:
Instagram: https://www.instagram.com/temu/
TikTok: https://www.tiktok.com/@temu 
Facebook: https://www.facebook.com/shoptemu
Youtube: https://www.youtube.com/@temu",2022-08-31T07:00:00Z,2025-11-18T05:26:43Z
th,Thailand,Kids,36,7,436753378,Krungthai NEXT,Krung Thai Bank,https://apps.apple.com/th/app/krungthai-next/id436753378?uo=4,0.0,3.39862,48849,Finance,"Krungthai NEXT is a mobile application that keeps you on top of your finances. Enjoy a smart lifestyle with our new app!

Simpler, faster and more secured:
• Register with face verification. No need to worry about forgetting your username or password!
• Transfer, top up, pay bills, withdraw money and apply for a loan with no hassle.
• Schedule your transactions up to 24 months in advance.
• Personalize your home screen on Quick Menu, Favorite and Profile Picture to match your preference.

Smart lifestyle:
• Use Smart Banner to receive your payment reminders and news. This helps you avoid late fees, save time and stay ahead of the game.
• Enable Smart Transaction to get suggested transactions, completing them faster than ever.
• Enjoy your privileged campaigns on Smart Promotion, catering to your taste.

And many more:
• Open NEXT savings accounts with a high-interest rate.
• Spend your Krungthai Travel Cards with the best foreign exchange rates.
• Buy insurance and check your insurance policy anywhere and anytime.
• Credit limit personal loan up to 1,000,000 THB
• Interest rate 11 - 24 % annually for valued customers who always pay on the due date (No additional fee to be charged)
• Installment plan from 12-60 months
          Example of installment payment 
          When customers has been approved personal loan 50,000 THB with 12 months installment plan at 11% of interest rate
          Customer required to pay 4,500 TH per month (both initial amount and monthly interest fee) and in total customer needs to pay 52,979 THB (50,000 THB for 
          initial amount and 2,979 THB for interest)
• Track your KTC card usage, available balance and reward points.

About Krungthai NEXT:
• Website : www.krungthai.com 
• Facebook : https://www.facebook.com/krungthaibank
• Contact Center : 02-111-1111
• Address : 35 Nana Nua Building Sukhumvit Road, Khlong Toei Nua, Watthana , Bangkok ,Thailand 10110

Krungthai NEXT - Live Life to the NEXT
Download now!",2011-05-17T03:00:18Z,2025-11-04T17:44:22Z
th,Thailand,Kids,36,8,681752345,"Trip.com: Flight, Hotel, Train",Trip.com Travel Singapore Pte. Ltd.,https://apps.apple.com/th/app/trip-com-flight-hotel-train/id681752345?uo=4,0.0,4.79072,74996,Travel,"Rated 'Excellent' on Trustpilot.
Winner of 'England’s Leading Online Travel Agency 2024' from the World Travel Awards.

The Trip.com app is your trusted travel companion whenever and wherever you are. Get the app now to create your perfect trip at a fantastic price!
 
#Why is the Trip.com App Trust-worthy?
 
24/7 SERVICE GUARANTEE ► You can rely on timely customer support and post-booking protection with our 24/7 service guarantee. Our awarding-winning customer support helps every customer with a stress-free trip.
 
24 LANGUAGES SUPPORTED ► Switch the app to your native language and manage all your bookings with ease.
 
31 CURRENCIES & MULTIPLE PAYMENT OPTIONS ► We have a payment solution for international travellers. All frequently-used payment methods supported in the app.
 
TRAVEL INSURANCE ► Fly with peace of mind with our comprehensive travel insurance plans.
 
OFFICIAL PARTNERSHIPS ► Trip.com app is an official partner of National Rail, Eurostar, Ryanair, British Airways, meaning you have access to industry-leading travel products. In short, you can count on us for a reliable travel experience!
 
MEMBER-ONLY REWARDS ► Become a Trip member and get exclusive rewards, such as earning in our rewards scheme Trip Coins that will help you save more in the future. Join us now for free and get more for less!
 
#How can you get the best service at the best price on the Trip.com app?
 
FLIGHTS.
 
FIND YOUR PERFECT FLIGHT ► The Trip.com app offers flights to around 5,000 cities worldwide. You can even book a chartered flight! The Trip.com app lets you filter by price, flight duration, travel time, airline, or number of stops. Pick a multi-city itinerary, so you can fly into one city and out of another.
 
LOW-PRICE MAP ► The map offers our cheapest available flights worldwide, from Europe, Asia to the Americas, Oceania, and Africa. Get inspiration from thousands of routes and find your next adventure.
 
PRICE DROP ALERTS ► Can't find a flight in your price range? Just set up a price drop alert. We'll let you know as soon as it hits the point you're happy with.
 
FLIGHT STATUS CHECKER ► Enter your flight number and get real-time flight info.
 
TRAINS.
 
WORLDWIDE TRAIN TICKETS ► Whether you're hitting the rails in Europe (incl. the UK, France, Italy, Spain, and Germany), mainland China, Taiwan, Hong Kong, or South Korea, you'll find everything you need on Trip.com.
 
OFFICIAL PARTNERSHIPS ► We connect directly with the train's information for updated schedule info and prices, which lets you search quickly through available fares, saving you time and money.
 
SPLIT TICKETS ► Book your journey in separate segments and enjoy lower fares without compromising on your travel experience.
 
LIVE TRACKER ► We'll keep an eye on the status of your train. Check back one day before departure for the latest information.
 
HOTELS.
 
ADVANCED SEARCH FILTER ► On Trip.com, you can browse more than 1.4 million options worldwide. Whether you’re in the mood for a money-saving apartment stay or a luxury five-stay hotel, a cozy B&B or a fun-filled resort, it’s easy to find the right accommodation.
 
WE PRICE MATCH ► We aim to offer you the best possible price. If you find a cheaper option elsewhere, we'll refund the difference.
 
VERIFIED USER REVIEWS ► We have over 30 million verified hotel reviews to help you make your decision.
 
HOTEL AND FLIGHT BUNDLE BOOKING ► Save money by booking your hotel and flight together. If your flight is rescheduled, we'll guarantee your hotel room.
 
AND MORE.
 
TRIP.BEST RANKINGS ► You can find top attractions, family-friendly spots, natural sites and much more!
 
TRIP MANAGEMENT IN ONE APP ► You can add itinerary to your calendar, or save as a photo for offline use.
 
CAR RENTAL ► Free cancellation available!
 
Download the Trip.com app now to discover more amazing features and create your perfect trip - just like that!",2013-08-05T16:28:36Z,2025-11-21T02:20:26Z
th,Thailand,Kids,36,9,6451144819,GOGOBIKE,GOGO TRANSTECH COMPANY LIMITED,https://apps.apple.com/th/app/gogobike/id6451144819?uo=4,0.0,4.58547,661,Lifestyle,"GOGO BIKE: Explore a Greener Journey! 
We are dedicated to providing convenient and eco-friendly shared electric bike services to facilitate your short trips between cities. 
Whether commuting to work, visiting scenic spots, or touring a campus, just scan to unlock a nearby GOGO E-bike and start your green journey. 
Download GOGO Bike now, join us in reducing carbon emissions, and enjoy a healthier lifestyle.

Getting Started with GOGO Bike:
1. Download the App: Install the GOGO Bike app from your app store.
2. Create Your Account: Quickly sign up to start your journey.
3. Locate and Unlock: Use the app to find a GOGO E-Bike nearby and unlock it with a tap.
4. Know the Rules: Familiarize yourself with the local traffic regulations before you ride.
5. Go for a Ride: Enjoy your trip and explore the city in an eco-friendly way.",2023-07-20T07:00:00Z,2025-11-12T05:40:16Z
th,Thailand,Kids,36,10,1498607143,Lemon8 - Lifestyle Community,TIKTOK PTE. LTD.,https://apps.apple.com/th/app/lemon8-lifestyle-community/id1498607143?uo=4,0.0,4.90374,137185,Lifestyle,"Lemon8 is a lifestyle community focused app powered by TikTok, where you can discover and share authentic content on a variety of topics such as beauty, fashion, travel, food, and more. You can edit and share photos with great ease and engage in discussion with like-minded people. Lemon8 offers a space where you can connect, inspire, and support one another.

[Find Your Tribe]
- The content on your feed is customised according to your interests and preferences. In the ""For you"" section, you can discover content that fulfills your requirements and piques your curiosity.
- Being authentic is at the core of Lemon8. Express yourself, your passions and motivations in a free space with other like-minded creatives within the community.

[Create with Ease]
- Tired of using multiple apps for creating, editing, and posting content? With Lemon8, you can easily compose texts and edit photos and videos all in the app.
- You'll find a whole library of intuitive templates, stickers, filters and fonts for your photos and videos.
- Say 'goodbye' to jumping between apps to make a single post and, say 'hello' to Lemon8!

[Explore and Discover]
- Hello hashtags! Our hashtags not only help your posts get discovered, but also help you easily discover content you like.
- Our discover page and intuitive search helps you find trending content, top-performing creators and whatever answer you're browsing for.

[Contact Us]
- We welcome feedback and suggestions to improve Lemon8 into the app that meets your needs and preferences!
- If you have any feedback, questions or concerns, contact us at any time using the following email: contact@lemon8-app.com",2020-03-12T07:00:00Z,2025-11-18T03:36:55Z
