country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
th,Thailand,Lifestyle,6012,1,6451144819,GOGOBIKE,GOGO TRANSTECH COMPANY LIMITED,https://apps.apple.com/th/app/gogobike/id6451144819?uo=4,0.0,4.58547,661,Lifestyle,"GOGO BIKE: Explore a Greener Journey! 
We are dedicated to providing convenient and eco-friendly shared electric bike services to facilitate your short trips between cities. 
Whether commuting to work, visiting scenic spots, or touring a campus, just scan to unlock a nearby GOGO E-bike and start your green journey. 
Download GOGO Bike now, join us in reducing carbon emissions, and enjoy a healthier lifestyle.

Getting Started with GOGO Bike:
1. Download the App: Install the GOGO Bike app from your app store.
2. Create Your Account: Quickly sign up to start your journey.
3. Locate and Unlock: Use the app to find a GOGO E-Bike nearby and unlock it with a tap.
4. Know the Rules: Familiarize yourself with the local traffic regulations before you ride.
5. Go for a Ride: Enjoy your trip and explore the city in an eco-friendly way.",2023-07-20T07:00:00Z,2025-11-12T05:40:16Z
th,Thailand,Lifestyle,6012,2,1498607143,Lemon8 - Lifestyle Community,TIKTOK PTE. LTD.,https://apps.apple.com/th/app/lemon8-lifestyle-community/id1498607143?uo=4,0.0,4.90374,137185,Lifestyle,"Lemon8 is a lifestyle community focused app powered by TikTok, where you can discover and share authentic content on a variety of topics such as beauty, fashion, travel, food, and more. You can edit and share photos with great ease and engage in discussion with like-minded people. Lemon8 offers a space where you can connect, inspire, and support one another.

[Find Your Tribe]
- The content on your feed is customised according to your interests and preferences. In the ""For you"" section, you can discover content that fulfills your requirements and piques your curiosity.
- Being authentic is at the core of Lemon8. Express yourself, your passions and motivations in a free space with other like-minded creatives within the community.

[Create with Ease]
- Tired of using multiple apps for creating, editing, and posting content? With Lemon8, you can easily compose texts and edit photos and videos all in the app.
- You'll find a whole library of intuitive templates, stickers, filters and fonts for your photos and videos.
- Say 'goodbye' to jumping between apps to make a single post and, say 'hello' to Lemon8!

[Explore and Discover]
- Hello hashtags! Our hashtags not only help your posts get discovered, but also help you easily discover content you like.
- Our discover page and intuitive search helps you find trending content, top-performing creators and whatever answer you're browsing for.

[Contact Us]
- We welcome feedback and suggestions to improve Lemon8 into the app that meets your needs and preferences!
- If you have any feedback, questions or concerns, contact us at any time using the following email: contact@lemon8-app.com",2020-03-12T07:00:00Z,2025-11-18T03:36:55Z
th,Thailand,Lifestyle,6012,3,399758084,myAIS,MIMO TECH COMPANY LIMITED,https://apps.apple.com/th/app/myais/id399758084?uo=4,0.0,4.57685,126004,Lifestyle,"myAIS app
 Manage your service with ease
 
 The ultimate service experience all at your fingertips
 • Manage all your services and numbers with one myAIS account login
 • Check your balance, pay bills, top-up, and more
 • Buy SIM, activate SIM, and apply AIS Fibre
 • Support: Report mobile and home internet issues anytime, 24/7
 
 Going beyond with a variety of privileges from AIS Points
 • Redeem your points for call/data packages, food and drink discounts, shopping rewards, and more — for every lifestyle, every day
 • Connect with our Points Partners to enjoy point redemption even more
 
 Hassle-free shopping with great selection and deals
 • Buy packages for calls, data, roaming, entertainment, and get personalized recommendation
 • Shop for your new devices, tablets, or accessories easily with value deals
 • Shop for digital services easily with AIS Insurance, financial services, and more
 
 Sleek new design, simpler than ever — download now!",2010-11-13T23:11:32Z,2025-11-18T07:01:37Z
th,Thailand,Lifestyle,6012,4,514262377,7-Eleven TH,CP ALL PUBLIC COMPANY LIMITED,https://apps.apple.com/th/app/7-eleven-th/id514262377?uo=4,0.0,4.64619,323373,Lifestyle,"- New Service 7Delivery gets what you want delivered by choosing from a selection of over 15,000 items at 7-Eleven stores via 7App to get your order delivered to your door. Now that’s more convenient delivery! 

- ALL ONLINE provide seamless shopping experiences as the customer can shop anywhere and anytime. All orders can get free shipping when customers select to pick up orders 24 hr. at 7-Eleven stores or deliver to your doorstep with delivery fee. Let's check out our “ALL ONLINE shop” 

- Hello Stamps—collect more, enjoy more! Redeem gifts, coupons, or even use as cash. Plus, play the Sticker Slap Mini Game to unlock a cute wallpaper! 

- New Event on 7App! Collecting provincial stamps in the E-Passport on the 7-ElevenTH application. When you purchase products at 7-Eleven stores or via 7Delivery in any province, you will receive a stamp for that province. Collect stamps as specified to receive discount coupons for use at 7-Eleven stores or through 7Delivery. 

- Easily top-up your TrueMove H packages and VAS package for prepaid phone number conveniently at anywhere and anytime. 

- Payment service via “TrueMoney Wallet” on 7App. 

- Easily to find the 7-Eleven stores by function “Map”, located 7-Eleven stores near you. You can create filters for your desired products and services such as All Cafe, Slurpee, etc. 

- Check out Monthly Promotions. 

- Redeem TrueYou, Krungsri Credit Card and Krungsri First Choice Credit Card Points for Free Products and Discount Coupons. 

- 7-Eleven TH Facebook Fan Page. 

- 7-ElevenThailand YouTube Channel 

- Line official : CP ALL 7-Eleven TH 

- Find more info on www.facebook.com/7ElevenThailand and www.7eleven.co.th 

- Apple Inc. is not a sponsor of or in any way involved with any promotional activity associated with the CP ALL PUBLIC COMPANY LIMITED.",2012-04-12T02:32:53Z,2025-10-31T07:00:29Z
th,Thailand,Lifestyle,6012,5,6450181256,SSO+,Social Security Office,https://apps.apple.com/th/app/sso/id6450181256?uo=4,0.0,4.59426,44659,Lifestyle,"แพลตฟอร์มดิจิทัลกลางเชื่อมต่อบริการประกันสังคมให้แก่ผู้ประกันตนอย่างเจาะจง

บริการด้านประกันสังคม ผ่านทาง Mobile Application สำหรับผู้ประกันตน สามารถลงทะเบียนเพื่อใช้งานแอพพลิเคชั่นได้ที่โมบายแอพพลิเคชั่น ผู้ประกันตนสามารถสอบถามและตรวจสอบข้อมูลของตนได้ดังต่อไปนี้
- ตรวจสอบสถานพยาบาล
- ตรวจสอบยอดเงินชราภาพ
- ตรวจสอบการส่งเงินสมทบ
- ตรวจสอบยอดเงินทันตกรรม
- ทดลองสิทธิบำเหน็จ บำนาญ
- เปลี่ยนสถานพยาบาลประจำปี
- Live Chat กับเจ้าหน้าที่ประกันสังคม
และบริการประชาชนที่จะตามมาให้บริการในอนาคต",2023-12-24T08:00:00Z,2025-10-03T05:52:42Z
th,Thailand,Lifestyle,6012,6,394602822,True,TRUE CORPORATION PUBLIC COMPANY LIMITED,https://apps.apple.com/th/app/true/id394602822?uo=4,0.0,4.80502,191834,Lifestyle,"More convenience!
Effortlessly access all services with a single login whether it’s bill payment for you and your loved ones, balance checking, or usage monitoring.

More choices! 
Customize your experience with add-on services from entertainment, gaming, fortune-telling, to insurance.

More enjoyment! 
Collect True dtac points and redeem exclusively discount on everything from trips to treats.

More confidence! 
Feel at ease with the intelligent AI assistant “MARI” offering 24/7 support on issues regarding True, dtac, and home Internet.",2012-01-31T08:00:00Z,2025-11-19T10:26:47Z
th,Thailand,Lifestyle,6012,7,429047995,Pinterest: Lifestyle Ideas,"Pinterest, Inc.",https://apps.apple.com/th/app/pinterest-lifestyle-ideas/id429047995?uo=4,0.0,4.83098,309697,Lifestyle,"Pinterest is a place of endless possibilities. You can:
- Discover everyday inspiration
- Shop styles you love
- Try and learn something new

Create boards, save Pins and make collages of all your inspiration. Unlock billions of ideas, from fashion tips and easy recipes to DIY projects and fresh ways to redo your space. Creating the life you love? 

It's Possible.",2011-04-28T15:51:13Z,2025-11-19T16:28:23Z
th,Thailand,Lifestyle,6012,8,1663833654,blueplus+,PTT OIL AND RETAIL BUSINESS PUBLIC COMPANY LIMITED,https://apps.apple.com/th/app/blueplus/id1663833654?uo=4,0.0,3.62111,1317,Lifestyle,"blueplus+ application
แอปเดียว ง่าย ตรงใจ ใช้ได้ทุกวัน รวมทุกความคุ้มค่าเพื่อสมาชิก blueplus+ — สะสมคะแนน แลกรับสิทธิพิเศษ ซื้อคูปองในราคาคุ้ม ครบจบในมือคุณ

ยกระดับไลฟ์สไตล์ของคุณด้วย blueplus+ application แอปพลิเคชันจาก OR ที่รวมสิทธิพิเศษและประสบการณ์ที่เชื่อมโยงทุกบริการในเครือไว้อย่างไร้รอยต่อ สะสมคะแนน แลกรางวัล ซื้อคูปองส่วนลด หรือจองบริการต่างๆ รวมไว้ให้แล้วในที่เดียว

รวมฟีเจอร์เด่นไว้แล้ว ดังนี้:

สมาชิก blueplus+ :
สะสมคะแนนจากทุกการใช้จ่ายจากร้านค้าในเครือ OR และพันธมิตร เพื่อแลกรับสิทธิพิเศษหรือแลกของรางวัลตามระดับสมาชิก โอนคะแนนกับพาร์ทเนอร์ พร้อมรับรางวัล Milestone Rewards สำหรับนักสะสมคะแนนโดยเฉพาะ

Cafe Amazon Rewards (ใหม่!):
สำหรับแฟนพันธุ์แท้ Café Amazon — รับคะแนนระดับสมาชิกจากทุกการซื้อ เริ่มสะสมเพื่อเลื่อนระดับ Green / Gold / Platinum พร้อมรับรางวัลพิเศษสำหรับแฟน Cafe Amazon เมื่อเลื่อนระดับ

PTT Station (ใหม่!):
ตรวจสอบราคาน้ำมันล่าสุด ค้นหาสถานี PTT Station ใกล้คุณ และเลือกซื้อคูปองส่วนลดน้ำมันได้จากในแอปโดยตรง — ประหยัด คุ้มค่า และสะดวกยิ่งขึ้น

blueplus+ wallet:
ชำระเงินแบบไม่ต้องพกเงินสด พร้อมสะสมคะแนนจากทุกการใช้จ่ายในเครือ OR 

ร้านค้า:
รวบรวมคูปองส่วนลด สำหรับสมาชิก blueplus+ ทั้งจากแบรนด์ดังในเครือ OR ได้แก่ PTT Station, Café Amazon, FIT Auto และร้านค้าพันธมิตรอีกมากมาย อาทิ Major Cineplex, Pacamara, McDonald's ซื้อได้เลยในราคาพิเศษ

ภารกิจสนุกๆ:
ร่วมกิจกรรมสุดมันส์เพื่อรับคะแนน blueplus+ หรือ รับเงินคืน Cash Back หรือของรางวัลจากแบรนด์ที่คุณรัก

บริการครบวงจร:
จองบริการ FIT Auto, จองร้านอาหารผ่าน Hungry Hub, ซื้อบัตรกิจกรรมผ่าน ThaiTicketMajor หรือดีลสุขภาพจาก GoWabi ที่ OR เชื่อมไว้ในแอปเดียว

ดาวน์โหลด blueplus+ application วันนี้ เพื่อรับสิทธิประโยชน์สุดพิเศษก่อนใคร - Plus Together พลัสความสุขไปด้วยกัน

สำหรับข้อมูลเพิ่มเติม กรุณาติดต่อที่เบอร์ 1365 Contact Center
ติดตามข่าวสารเพิ่มเติมที่ Facebook blueplus+ : https://www.facebook.com/blueplusplustogether หรือ www.blueplus.com หรือ
บริษัท ปตท. น้ำมันและการค้าปลีก จำกัด (มหาชน)
555/2 ศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900",2023-04-17T07:00:00Z,2025-10-30T10:24:37Z
th,Thailand,Lifestyle,6012,9,981863450,Yoosee,"Shenzhen Gwelltimes Technology Co., Ltd.",https://apps.apple.com/th/app/yoosee/id981863450?uo=4,0.0,4.46168,22011,Lifestyle,"Safe, stable Yoosee APP which has continuous innovation provides one-stop functional support and services for your smart home products, protecting your home anytime, anywhere.",2015-04-12T00:19:38Z,2025-11-17T01:31:23Z
th,Thailand,Lifestyle,6012,10,333206289,Alipay - Simplify Your Life,"Alipay (Hangzhou) Technology Co., Ltd.",https://apps.apple.com/th/app/alipay-simplify-your-life/id333206289?uo=4,0.0,3.50546,366,Lifestyle,"Alipay is a leading open platform for payments and digital services in China.

Users with a Chinese ID and bank account can use Alipay to make payments online and in person at various merchants outside of China as they travel for leisure, business, or study. 

Foreign visitors to China can connect their credit card to take advantage of Alipay’s widespread acceptance by tens of millions of merchants across the country. Alipay is not designed or intended for use by foreign users in their home country or anywhere outside of China.",2009-10-15T23:00:27Z,2025-11-20T03:00:12Z
