country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
th,Thailand,Navigation,6010,1,585027354,Google Maps,Google LLC,https://apps.apple.com/th/app/google-maps/id585027354?uo=4,0.0,4.78389,951140,Navigation,"Explore and navigate the world with confidence using Google Maps. Find the best routes with live traffic data and real-time GPS navigation for driving, walking, cycling and public transport. Discover over 250 million businesses and places – from restaurants and shops to everyday essentials – with photos, reviews and helpful information.

Navigate the world, the way that you want:
• Get to where you need to go with fuel-efficient route options
• Find the best route with real-time, turn-by-turn voice and on-screen navigation
• Save time with automatic rerouting based on live traffic, incidents and road closures
• Catch the bus, train and ride-share effortlessly, with real-time updates
• Find bike or scooter rentals to get around more easily

Plan trips and experiences effortlessly:
• Preview an area before you go (e.g. parking, entrances) with Street View
• Use Immersive View to experience what landmarks, parks and routes look like, and even check the weather so that you can be ready in advance
• Create custom lists of your favourite saved places and share with others
• Order delivery and takeaway, make reservations and book hotels
• Don't get lost with offline maps in an area with bad signal
• Search for local places and things to do, and decide based on user reviews and photos

Discover and explore like a local:
• Explore with confidence knowing 500 million users contribute and keep the map up to date each year
• Avoid the crowds by seeing how busy a place is before you get there
• Use Lens in Maps to see walking directions overlaid on the real world
• Filter restaurants by cuisine, hours, price, rating and more
• Ask questions about a place, from dishes to parking, and get quick answers

Some features not available in all countries or cities
Navigation isn't intended to be used by oversized or emergency vehicles",2012-12-13T04:21:00Z,2025-11-20T16:03:21Z
th,Thailand,Navigation,6010,2,461703208,AMap Global,AutoNavi Information Technology Co. Ltd.,https://apps.apple.com/th/app/amap-global/id461703208?uo=4,0.0,4.77041,1873,Navigation,"China's first English map for overseas users has officially launched!
The Choice of 800 Million Navigation Users. 
Over 200 countries and territories mapped and hundreds of millions of places on the map. 
Exploring China with AMAP as your guide!

-3D lane-level views & traffic light countdown
-Get real-time traffic updates & ETAs
-Detail junction views, never miss a turn 
-See real time transit info and route options",2011-09-08T22:19:39Z,2025-11-19T07:07:16Z
th,Thailand,Navigation,6010,3,1074208600,ViaBus,Intouch Marsvongpragorn,https://apps.apple.com/th/app/viabus/id1074208600?uo=4,0.0,4.75196,86513,Navigation,"Never get lost again! ViaBus is a real-time public transport tracking and navigation application in Thailand that will make you travel much easier!

Overall Features:
- Real-time Public Bus, Boat and Transit
- Search for station 
- Finding Direction
- Routes and Line
- Traffic Lines
- Various mode of transport supported such as BMTA, MRT, BTS, Ferry(Boat), Sean seap, ARL, Songtheaw, Airport Bus, Bus, Microbus, Van, BRT, RapidKL etc.
- Support Area-based transit with Official System such as Chula Popbus

Covering various regions in 
- Thailand such as Bangkok Metropolitan Area, Chiang Mai, Phuket, Nakhon Si Thammarat, Saraburi, Udon Thani.
- Malaysia such as Kuala Lumpur, Penang, Kuantan, Johor Bahru
- Laos such as Vientiane

LIKE US: www.facebook.com/viabusapp
FOLLOW US: www.twitter.com/viabusapp

Terms of Service: https://www.viabus.co/terms
Privacy Policy: https://www.viabus.co/terms#privacy",2017-10-31T21:56:48Z,2025-11-09T14:38:41Z
th,Thailand,Navigation,6010,4,897442736,Bolt Driver: Drive & Earn,BOLT TECHNOLOGY OU,https://apps.apple.com/th/app/bolt-driver-drive-earn/id897442736?uo=4,0.0,4.87345,64819,Navigation,"Join thousands of drivers using the Bolt Driver app to earn money on your terms. Be more than a taxi driver — enjoy the freedom to drive whenever it fits your lifestyle, and start making money today!

WHY BECOME A BOLT DRIVER PARTNER
• Flexible schedule: drive when and how it suits you.
• Fast payouts: get your earnings weekly with no delays.
• Rewards and bonuses: enjoy exclusive perks for your hard work.
• Support and safety: we’re here to help every step of the way.

HOW TO START DRIVING WITH BOLT
• Sign up in minutes on the Bolt Driver app or at bolt.eu/en/driver/
• Complete the sign-up process online or visit a local driver hub for assistance.
• Hit the road and start earning!

SIMPLE AND EASY-TO-USE APP
• Accept ride requests with one tap.
• Navigate to passengers and destinations effortlessly.
• Drive, earn, and repeat

Our mission is to make cities for people, not cars. We do this by offering a better alternative to every purpose a private car serves and helping millions of drivers support their families. If you're looking for a flexible way to earn money, sign up to drive with Bolt today.

Questions? Get in touch via info@bolt.eu or at bolt.eu/en/driver

Follow us on social media for updates, discounts, and offers!

Facebook: facebook.com/Bolt
Instagram: instagram.com/bolt
X: x.com/Boltapp",2014-08-05T07:09:08Z,2025-11-17T09:46:29Z
th,Thailand,Navigation,6010,5,6446191311,THE SKYTRAINs,Bangkok Mass Transit System Public Company Limited,https://apps.apple.com/th/app/the-skytrains/id6446191311?uo=4,0.0,3.01316,76,Navigation,"THE SKYTRAINs แอปพลิเคชันที่รวบรวมข้อมูลการเดินทางระบบรถไฟฟ้าบีทีเอสสายสีเขียว รถไฟฟ้าบีทีเอสสายสีทอง และรถไฟฟ้ามหานคร สายสีเหลือง เพื่อให้คุณวางแผนการเดินทางได้สะดวกและง่ายขึ้น  

คุณสมบัติ
- ค้นหาเส้นทางและอัตราค่าโดยสาร
เลือกค้นหาเส้นทางได้ทั้งจากสถานีรถไฟฟ้าบีทีเอสสายสีเขียว รถไฟฟ้าบีทีเอสสายสีทอง รถไฟฟ้ามหานคร สายสีเหลือง และสถานที่ต่างๆ บริเวณสถานี รวมทั้ง ระบบจะคำนวนอัตราค่าโดยสาร  ระยะเวลาการเดินทาง รถไฟฟ้าขบวนแรกและขบวนสุดท้าย และชานชาลา 
- แนะนำเส้นทาง
แอปพลิเคชันจะแนะนำเส้นทางการเดินทางเพื่อเป็นให้ผู้ใช้เลือกตรงกับความต้องการได้ โดยจะมีข้อมูลโดยละเอียดเพื่อช่วยให้ผู้โดยสารสามารถเดินทางได้สะดวก
- ตรวจสอบข้อมูลของแต่ละสถานีและที่จอดรถ
เลือกดูข้อมูลของแต่ละสถานี ไม่ว่าจะเป็น แผนที่บริเวณสถานี ความหนาแน่นของผู้โดยสารบนสถานี สิ่งอำนวยความสะดวก  ข้อมูลทางออก และข้อมูลอาคารจอดรถ
 - ข่าวสารและบทความต่างๆ
สามารถดูข้อมูลข่าวสาร โปรโมชันพิเศษ และบทความที่น่าสนใจ",2023-06-02T07:00:00Z,2025-11-14T06:39:40Z
th,Thailand,Navigation,6010,6,711323002,Speedometer: Smart GPS Tracker,APPASPECT TECHNOLOGIES PRIVATE LIMITED,https://apps.apple.com/th/app/speedometer-smart-gps-tracker/id711323002?uo=4,0.0,4.68158,13432,Navigation,"Our Speedometer app offers a comprehensive solution for monitoring your speed and tracking your journeys, whether you're cycling, driving, boating, or flying. With versatile display options, detailed tracking features, and additional functionalities like music integration and weather updates, this app enhances your travel experience.


● DISPLAY MODE
- Unit Switching: Easily switch between KM/H, MPH, and KTS for speed measurement.
- Analog & Digital Speedometer: Analog speedometer available in portrait mode, and a full-screen digital speedometer in landscape mode.
- Speed Metrics: Display the average and maximum speed of your trip.
- Mode Switching: Switch between bike and car modes, with speed ranges from 120 km/h to 360 km/h.

● SPEED LIMIT ALARM
- Customizable Alerts: Set speed limits and receive notifications when you exceed them.
- Safety Feature: Advanced alerts provide added safety while driving.

● TRACKING
- Journey Tracking: Track traveled distance, average speed, and top speed.
- History Storage: Store tracking data history along with real-time data.
- Tracking Control: Easily turn tracking on or off.
- Time Tracking: Keep track of total travel time.
- Quick Reset: Reset history tracking data quickly and easily.

● CAR CAMERA
- Dash Cam Mode: Use your device as a dash camera to record video during your drive.
- Camera Settings: Customize resolution, orientation, and storage preferences.
- Never lose a moment - securely upload and store your dashcam recordings in the cloud, managing and accessing your trips anytime, anywhere.

● PARKING
- Park/Unpark: Mark your parked vehicle and unpark when ready to leave.
- Map Support: Works seamlessly across all map views – Standard, Satellite, and Hybrid.
- Navigation to Vehicle: Navigate back to your parked location using Google Maps, Apple Maps, or built-in in-app navigation. Displays     real-time distance between you and your parked car.

● MAP
- Live Tracking: Display current speed and distance on the map.
- Real-Time Positioning: Show your current position on the map with Standard, Satellite, or Hybrid view options.

● WEATHER
- Current Conditions: Display weather conditions for your current location.
- Sunrise & Sunset: Show sunrise and sunset times.

● GPS INDICATOR
- Accuracy Indicator: Shows the accuracy of your GPS signal.

● WATCH SUPPORT
- Full Tracking Control: Start, pause, and stop trip tracking directly from your Apple Watch.
- Live Map View: See your live trip tracking map right on your watch screen.
- Easy Monitoring: Check speed, distance, and time without touching your phone.
- Saved Trips Sync: All saved trips on your watch can be viewed anytime on the connected iPhone.
- Seamless Experience: Use the app from your wrist while riding, walking, or driving.

● DRIVING PERFORMANCE ANALYSIS & SCORE 
- Track how well you drive with detailed analysis of your speed, braking, and acceleration. Get a driving score after each trip to improve safety and efficiency.
 
● NOTE:
- Battery Usage: Continued use of GPS in the background can dramatically decrease battery life.
- GPS Accuracy: GPS accuracy may vary due to device hardware sensor limitations.
- Data Connection: A data connection is required to view the map.
- Location Services: Ensure location services are enabled for the application. Go to Settings > Privacy > Location Services > ON.
- Enhance your travel experience with our all-in-one Speedometer app, designed for convenience and safety.

Terms of Use: https://www.appaspect.com/apps/apple/smartgpsspeedometer/terms.html",2013-10-01T16:43:34Z,2025-10-28T14:54:20Z
th,Thailand,Navigation,6010,7,498477945,Moovit: Public Transport Live,Moovit App Global LTD,https://apps.apple.com/th/app/moovit-public-transport-live/id498477945?uo=4,0.0,4.4461,4351,Navigation,"Moovit is one app for all your urban mobility and transport rides!

Dailymail - ""This travel app is a godsend for anyone using public transport – with live updates to bus schedules, as well as a great route-planner for cities across the UK.""

Transportation is an integral part of urban living. Whether you ride the train, subway/underground /tube, bus, light rail, ferry or metro, use bikes, ride-sharing like Uber, getting the best urban mobility information is critical. Moovit guides you from point A to B in the easiest and most efficient way. Get train and bus times, maps, and live arrival times with ease so you can plan your trip with confidence. Find critical alerts and service disruptions for your favorite lines. Get step-by-step directions of optimal route bus, train, metro, bike or a combination of them. 
This is why Moovit has been named one of the best apps of the year 2017 by the App Store!

Moovit guides more than 865 million users in over 3200 cities throughout the world.

► Journey Planner that combines you all transport options and gives you the best route with live arrivals.

► Live Directions: Get step-by-step directions with live guidance as you travel: know exactly how long you need to walk to your station, how long you’re waiting, view the arrival time of your line and how many stops are left. 

► Real time arrivals. View real-time arrival updates, which are taken directly from GPS devices positioned on buses and trains.

► Real time alerts. Know about issues ahead of time by receiving service alerts such as emergency or unexpected disruptions, delays, traffic jams, new construction and more...

► Users reports. Moovit’s users report issues found with stations, line service, and timetables so that we can inform all nearby riders about what’s going on in their area.

► Favorite lines, stations, and places. Get easy access to lines, stations, and places you ride and visit all the time. Plus, get real-time updates if/when there are changes to your favorite lines in case your bus or train time is impacted!

► Bike routes. Get bike routes in addition to the bus, subway, train, or metro trip plans. If you ride bikes (yours or shared) we can plan a route that includes the train or bus. 
Bike docking stations are updated in real-time.

► Maps view. View all stations, routes, and lines on the subway or bus map. Additionally, maps are available in PDF for when you’re offline, or underground on the subway. 

Ride with Moovit in all major cities:

UK:
• London
• Manchester
• Birmingham
• Leeds
• Edinburgh
• Glasgow
• Liverpool
• Sheffield

Ireland:
• Dublin and all of the Republic of Ireland. 

Moovit supports all major transit:

UK:
• TFL - Bus, Tube, DLR, Overground, Ferry (River Bus), Tfl Rail, Tram, Coach
• National Express
• National Rail
• Arriva
• First
• Stagecoach and more...

Ireland:
• Bus Eireann
• Dublin Bus
• Irish Rail
• Luas
• Kenneally’s Bus Service and more…

Bike sharing provided by:
• Santander Cycles in London
• BelfastBikes in Belfast
• Bike in Bath
• Nextbike in Glasgow

India:
•Delhi: Delhi Metro (DMRC), Delhi Buses (DTC), Northern Railways (NR)
•Mumbai: Mumbai Metro (M.M.R.D.A), all buses: BEST, NMMT, KDMT, VVMT, MBMT, KMT, TMT, Ferries and more
•Bangalore: Namma Metro, B.M.T.C (buses and metro feeder routes), South Western Railways
•Chennai: Chennai Metro Rail, all buses - Metropolitan Transport Corporation (MTA)
•Ahmedabad: A.M.T.S, Bus Rapid Transport System (BRTS), V.T.C.O.S 
•Pune: Indian Railways, Pune Local Central Railways, Pune Mahanagar Parivahan Mahaman.

Singapore:
• MRT, LRT, bus, tram, cable car & shuttle buses. Service provided by:
• SBS
• SMRT
• Tower Transit
• Go-Ahead Singapore

You ride, we guide!

Feel free to contact us:

https://moovitapp.zendesk.com/hc/requests/new
moovit@Facebook, Twitter

Terms of Use
https://moovitapp.com/en-us/legal/terms-of-service-en",2012-04-27T07:00:00Z,2025-10-26T07:14:19Z
th,Thailand,Navigation,6010,8,1448681649,BKK Rail,Lalita Narupiyakul,https://apps.apple.com/th/app/bkk-rail/id1448681649?uo=4,0.0,2.66717,664,Navigation,"Bkk Rail is an application giving services for people who travel by railway system in Bangkok and suburb. The application collects information from all 3 major railway systems which are BTS, MRT, and ARL. Also, it can find the best route and station information for the user.",2019-01-21T03:59:53Z,2024-05-10T12:34:56Z
th,Thailand,Navigation,6010,9,6744531286,GPS & Maps Navigator,Abdullah Khan,https://apps.apple.com/th/app/gps-maps-navigator/id6744531286?uo=4,0.0,3.5,8,Navigation,"GPS & Maps Navigator is your ultimate GPS assistant designed for fast, accurate, and smart travel. Whether you're commuting daily, planning a road trip, or exploring new places, Route master brings all your travel tools together in one place.

Key Features:

 Smart Route Planner: Enter your source and destination to get the most optimized routes instantly with advanced maps navigation support.

 Nearby Places: Discover restaurants, gas stations, ATMs, and more around you using smart maps navigator tools.

 Current Location Finder: Quickly find  your current position using precise GPS location.

 Currency Converter: Convert global currencies while using the app during your trips.

 Language Translator: Communicate with ease while traveling, no matter the language.

 Wi-Fi Tools: Find nearby Wi-Fi hotspots and manage saved passwords using the built-in network tools and location services.

Ideal for travelers, delivery drivers, road trippers, or anyone needing a reliable GPS-based app or intuitive maps navigator. Route Master gives you smooth navigation, real-time tracking, and helpful tools to make every journey easier.

 Download GPS & Maps Navigator now and make your next trip smarter with GPS and maps navigation!",2025-04-13T07:00:00Z,2025-11-05T12:55:54Z
th,Thailand,Navigation,6010,10,452186370,百度地图-打车公交出行，吃住玩常用交通服务平台,"Beijing Baidu Netcom Science & Technology Co.,Ltd",https://apps.apple.com/th/app/%E7%99%BE%E5%BA%A6%E5%9C%B0%E5%9B%BE-%E6%89%93%E8%BD%A6%E5%85%AC%E4%BA%A4%E5%87%BA%E8%A1%8C-%E5%90%83%E4%BD%8F%E7%8E%A9%E5%B8%B8%E7%94%A8%E4%BA%A4%E9%80%9A%E6%9C%8D%E5%8A%A1%E5%B9%B3%E5%8F%B0/id452186370?uo=4,0.0,4.83808,7065,Navigation,"百度地图——科技让出行更简单！

【智能导航】
-路况实时更新，推荐更优路线，智能躲避拥堵
-智能定位，GPS信号弱也能持续导航 
-公交导航到站提醒，实时公交覆盖多城
【智能规划】
-提供包含打车、驾车、公交、步行、骑行、火车、飞机、客车、货车、摩托车等出行方式的智能规划方案
-未来通行时间智能预估，精准预估到达时间，规划路线更精准，更符合用户不同的出行或驾驶习惯 
-全国范围内，提供多种交通方式组合的智能出行方案
-时间优先，躲避拥堵，少收费，不走高速等多种路线偏好任你选择
【低价打车】
-打车惊喜特惠，周周领大额红包
-多种车型智能比价，叫车快人一步
-打车有保障，隐私保护，全程安全陪伴
【智能语音】
-语音技术行业领先，可实现全端唤醒，全局交互
-喊“小度小度”，轻松查路线、搜地点、问天气，沿途搜等
-只需9句话，生成个人定制语音包，并支持地图全场景使用
【智能推荐】
-根据个人出行时间、方式等偏好，个性化推荐出行方案
-发现周边，探索吃喝玩乐好去处
-智能旅游，游玩路线推荐、AI导游跟随讲解、AR导览实景沉浸式游玩体验，让你玩转景区

【温馨提示】
百度地图的语音导航和电子狗会持续使用GPS定位服务，切换至后台播放时仍会保持GPS连接，会影响电量消耗和电池续航时间。
【遇到问题请联系】
感谢您使用百度地图，如有任何问题您可在“我的--客服中心”中进行反馈，也可以通过以下方式进行反馈：
官方微信公众号：百度地图/baiduditu
官方新浪微博：@百度地图
官方客服电话：400-099-8998",2011-07-31T07:00:00Z,2025-11-13T03:57:28Z
