country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
th,Thailand,Photo & Video,6008,1,897446215,Canva: AI Video & Photo Editor,Canva Pty Ltd,https://apps.apple.com/th/app/canva-ai-video-photo-editor/id897446215?uo=4,0.0,4.87814,928584,Photo & Video,"Canva is your easy to use photo editor and video editor in one graphic design app! Create stunning social media posts, videos, cards, flyers, photo collages & more. 

No design experience or expertise? No problem! From photo editor to collage maker, to logo maker – we made Canva really simple & easy for everyone. 

STUNNING TEMPLATES 
• Start inspired with thousands of customisable templates
• Playful Facebook posts, Insta layouts, Instagram post maker, IG Story, & mood boards
• Professionally-designed invitations, flyers, gift certificates, etc. to boost your business or event
• Showcase your product with our logo maker
• Visualise data with sleek presentation templates and slideshow maker

PHOTO EDITOR – No ads, no watermarks
• Effortless picture apps to crop, flip, & edit photos
• Adjust brightness, contrast, saturation, tint, blur, etc.
• Auto Focus for background blur & sharpen photo subject 
• Apply your style with aesthetic filters & effects (Retro, Pixelate, Liquify, etc.)
• Fun photo grid & photo collage maker 

VIDEO EDITOR – make amazing videos in just a few taps
• Produce professional videos right on your phone
• Create realistic AI videos in seconds with Google's Veo3
• Trim, cut, & split video layout and audio tracks
• Crop, resize, and flip videos & images to any dimensions
• Make static images move with one-tap animations & page transitions
• Overlay multiple audio tracks of music, sound effects, & voiceovers
• Use the video editor as a video collage maker & slideshow maker too!

SOCIAL MEDIA – hit it big with on-trend content
• Discover thousands of templates for Instagram, TikTok, Facebook, Twitter, YouTube, Snapchat, LinkedIn etc.
•  Queue your planned posts on Instagram with Scheduler [Canva Pro]
• Play with our photo editor for thumb-stopping Instagram layouts
• Easy collage maker & video editor to create photo grids, collages

EXTENSIVE STOCK LIBRARY – over 2M+ assets for you
• Complete package: all the elements you need are here
• 2M+ royalty-free images
• Thousands of watermark-free stock videos
• 25K+ pre-licensed audio & music tracks

SMART MOCKUPS – see your designs on a shirt or poster and more
• Look professional by visualising your designs on products 
• High-res mockups for phones, laptops, posters & other displays
• Order printed flyers, mugs, and apparel for gifts or business

REAL-TIME COLLABORATION – with anyone across any device
• Edit team projects & presentations anytime, anywhere
• Start a design on mobile & finish on your desktop seamlessly
• Work with your team in real-time, leave comments & apply changes

CANVA PRO
• Bring your vision to life with premium templates, images, videos & graphics
• Save time with tools like Background Remover, Magic Resize, and Content Planner
• Design and grow an authentic brand with Brand Kit
• Working with a team? Create faster, together, with Canva for Teams

DESIGN FOR EVERYONE 
• Personal - Layout designs for creative & professional pursuits like Instagram templates, resume, photo collages, etc.
• Entrepreneurs - Grow your business with our logo creator, video editor, poster maker, etc.
• Students & Teachers - Engage with beautiful presentations and worksheets
• Social Media Managers & Content Creators - Use the photo editor and collage maker for consistent 
visuals.

*Your monthly subscription automatically renews unless auto-renew is turned off at least 24 hours before the end of the current period. The  Payment will be charged to your iTunes Account at confirmation of purchase. You can manage app subscriptions in your iTunes Account settings. Any unused portion of a trial period, if offered, will be forfeited when you purchase a paid subscription. No lock-in contract.

https://about.canva.com/terms-of-use
https://about.canva.com/privacy-policy 

Note: Image pack in-app purchases on the App Store are only available to use on the Canva app for iPhone.

Got questions or comments? Get in touch http://canva.me/ios",2014-10-15T10:23:37Z,2025-11-19T00:58:35Z
th,Thailand,Photo & Video,6008,2,1500855883,CapCut - Photo & Video Editor,BYTEDANCE PTE. LTD.,https://apps.apple.com/th/app/capcut-photo-video-editor/id1500855883?uo=4,0.0,4.7674,287163,Photo & Video,"CapCut offers easy-to-use video editing functions, in-APP fonts and effects, advanced features such as keyframe animation, smooth slow-motion, chroma key, and stabilization, to help you capture and snip moments.

Create fancy videos with other unique features: auto captions, text-to-speech, motion tracking, and background removal. Show your personality and go viral on TikTok, YouTube, Instagram, WhatsApp, and Facebook!

FEATURES
Basic video editing
• Trim and shorten clips and split or merge videos.
• Adjust video speed from 0.1x to 100x, and apply speed curves to clips.
• Animate video clips with incredible zoom in/out effects.
• Highlight the best moments with the freeze feature.
• Explore transition options with awesome effects on and between clips.

Advanced video editor
• Keyframe video animation is available for all settings.
• Edit videos to create smooth slow-motion with the optical flow feature and speed curve tool.
• Use the chroma key to remove specific colors from videos.
• Easy to arrange and preview clips on multi-track timeline.
• The stabilizing feature keeps video footage steady.

Intelligent features
• Auto captions: automate speech recognition and subtitles in videos.
• Text-to-speech: apply text-to-speech in multiple languages and voices.
• Background removal: automatically remove backgrounds.

Text & Stickers
• Add text to videos with different fonts and styles, choose unique text templates. Fonts can be imported locally.
• Subtitles can be added to the timeline of video tracks and can be moved and adjusted in one step.

Trending Effects & Filters
• Match video content with diverse filters that are updated weekly with the latest trends.
• Edit videos with hundreds of trending effects, including Glitch, Blur, 3D, etc.
• Add movie-style video filters or adjust video brightness, contrast, etc.

Music & Sound Effects
• Add millions of music clips and sound effects to videos.
• Extract audio, clips, and recordings from videos.

Easy to Share
• Custom video export resolution, HD video editor supports 4K 60fps exports and smart HDR.
• Adjust the format and share with your friends on social media platforms.

CapCut is an all-in-one video editor and video maker application with everything you need to create stunning, high-quality videos. Beginners can get started with CapCut in a matter of seconds, while advanced users can enjoy all the functions they need to edit videos. 

Terms of Service —
https://www.capcut.com/clause/terms-of-service

Privacy Policy —
https://www.capcut.net/clause/privacy

Contact Us
Any questions about CapCut? Please contact us at capcut.support@bytedance.com.
Facebook: https://www.facebook.com/capcutapp
Instagram: https://www.instagram.com/capcutapp
YouTube: https://www.youtube.com/capcutofficial
TikTok: https://www.tiktok.com/@capcut",2020-04-14T07:00:00Z,2025-11-21T06:41:15Z
th,Thailand,Photo & Video,6008,3,6449580241,Blackmagic Camera,Blackmagic Design Inc,https://apps.apple.com/th/app/blackmagic-camera/id6449580241?uo=4,0.0,4.89761,1592,Photo & Video,"Introducing Digital Film for iPhone and iPad!
Blackmagic Camera unlocks the power of your iPhone and iPad by adding digital film camera controls and operating systems! Now you can create the same cinematic ‘look’ as Hollywood feature films. You get the same intuitive and user friendly interface as Blackmagic Design’s award winning cameras. So it’s just like using a professional digital film camera! This means you can adjust settings such as frame rate, shutter angle, white balance and ISO all in a single tap. Or record directly to Blackmagic Cloud in industry standard 10-bit Apple ProRes files up to 4K! Recording to Blackmagic Cloud Storage lets you collaborate on DaVinci Resolve projects with editors anywhere in the world, all at the same time!

Get the ""Hollywood Look"" with Digital Film!
Blackmagic Camera puts the professional features you need for feature film, television and documentaries in your pocket. Now you can create YouTube and TikTok content with a cinematic look, and broadcast quality ENG! Imagine having a run and gun camera on hand to capture breaking news whenever it happens! Or use Blackmagic Camera as a B Cam to capture angles that are difficult to reach with traditional cameras, while still retaining control of important settings. Best of all, recording to Blackmagic Cloud allows you to get your footage to the newsroom or post production studio in minutes.

Interactive Controls for Fast Setup 
Blackmagic Camera has all the controls you need to quickly setup and start shooting!  Everything is interactive, so you can tap any item and instantly change settings without searching through confusing menus! The HUD shows status and record parameters, histogram, focus peaking indicators, levels, frame guides and more. Show or hide the HUD by swiping up or down. You can auto focus by tapping the screen in the area you want to focus. You can shoot in 16:9 or vertical aspect ratios, plus you can shoot 16:9 while holding your phone vertically if you want to shoot unobtrusively.

On Screen Heads Up Display
The heads up display, or HUD, controls have the most important camera controls such as lens selection, frame rate, shutter angle, timecode, ISO, white balance, gain and audio levels. You can adjust settings such as exposure by touching the ISO indicator, or you can change the audio levels simply by touching the audio meters. Everything is interactive, so if you tap any item you can instantaneously change its settings without having to search through complex menus!

Camera Setup Menus
The settings tab unlocks the full power of your phone’s camera, with quick access to advanced settings such as monitoring, audio, camera setup, recording and more! The record tab gives you total control over video resolution and recording format including industry standard Apple ProRes or space efficient H.264 and H.265. Plus, you can set anamorphic de-squeeze and lens correction settings. Professional audio options include AAC and PCM format and VU or PPM audio metering. You can even add external microphones! Or add 3D LUTs to recreate film looks!

Media
The Blackmagic Camera media tab has all the controls you need to browse or scrub clips for quick review, search and sort and view the upload status of your media. Access your media from Blackmagic Camera’s all clips folder by choosing the Media button to see the thumbnails for each clip you have stored. Plus, you can save to the files folder on the phone, send it to Blackmagic Cloud Storage via Blackmagic Cloud or manually choose which clips to upload to a project library. You can even sync media from Blackmagic Camera directly into the DaVinci Resolve project so you’re ready to edit!

Live Sync to Blackmagic Cloud Storage
When shooting with Blackmagic Camera, the video you capture can be instantly uploaded as a proxy file, followed by the camera originals, and saved to Blackmagic Cloud Storage. This means you can start editing quickly using your proxies, speeding up your workflow.",2023-09-14T07:00:00Z,2025-11-06T05:34:36Z
th,Thailand,Photo & Video,6008,4,1643464725,Pure Tuber it: Music Player,MAMTA DHARMESH,https://apps.apple.com/th/app/pure-tuber-it-music-player/id1643464725?uo=4,0.0,4.2523,14625,Photo & Video,"Pureit Pure Tuber Video Player is what you need if you are seeking smooth video music player in good qulity without anything interrupting video content! It is an all-in-one media player. We are sure you will have fun here!

[Picture in Picture Player]
With this popup mode, you can keep watching videos or listening to music while you chat on WhatsApp or browse the web, or do anything with your phone.
**Keep using other devices while you are watching videos on tube.
**Play videos in Floating Popup Play Mode in Pureit Pure Tuber Player. 
**Enjoy with full screen or floating popup window mode as you want. 

[Trending Feeds]
Don't know what to watch? No worry, you can always find it interesting in the Trending Feeds.
**Enjoy HD Player here, Choose the video quality you like, 360p, 720p, 1080p. Maximum resolution of videos active by default.
**Enjoy a smooth video player in all resolutions of Ultra HD for the best viewing experience of the video player with puretuber.

[Library Manager]
This is your own space managed by yourself. what's more, you can even upload your videos here and edit them if you want! 
**Add your favorite songs or pops here and listen to them anytime anywhere in the music player with puretuber.

[Power Saving Mode]
Pureit Pure Tuber Player will reduce the brightness of the phone and allows you to keep listening to media with little power consumption as possible.

[Other in Pureit Player]
- Block ads for videos: No ads showing while watching videos
- Playlist Creator: Bookmark your favorite and save your playlist
- Switch video quality, 240p, 360p, 720p,1080p
- Collection of trending videos
- Play local video music

Have fun in Pureit Pure Tuber! Feel free to let us know anything you want from us! It is always important to us to hear from users.",2022-11-15T08:00:00Z,2023-03-29T01:53:07Z
th,Thailand,Photo & Video,6008,5,592331499,BeautyCam-AI Photo Editor,"Xiamen Meitu Technology Co., Ltd.",https://apps.apple.com/th/app/beautycam-ai-photo-editor/id592331499?uo=4,0.0,4.83134,30276,Photo & Video,"BeautyCam: Transform Your Photos, Highlight Your Natural Beauty

Discover the power of advanced technology to effortlessly create stunning visuals 
BeautyCam puts professional-level tools at your fingertips:
Multiple camera models replicate the charm of DSLRs, IPhone Cam, and film cameras
AI-powered detection enhances your natural features for a polished, yet authentic look
Various portrait styles allow you to achieve professional studio results with ease

=== Save Money on Buying Cameras ===
· Digicam: Embrace the nostalgia of digital cameras with classic, vintage-inspired filters
· DSLR Camera: Access professional-grade options like zoom, depth of field, and white balance
· Photo Booth: Add stylish frames and playful effects to your photos for unforgettable moments
· IPhone Cam: Achieve bright, transparent skin with a natural, healthy glow

=== AI Tools: Personalized Beauty at Its Best ===
· AI Nail Art: Switch up your nails with styles ranging from classy to sparkling
· AI Effect: Explore creative AI effects to make your photos more fun and eye-catching
· AI Wardrobe: Transform your look in one tap – stylish and effortless!
· AI Removal: Remove unwanted objects with precision
· AI Expansion: Seamlessly extend photos to fit any desired proportions
· AI Slimming: Refine your silhouette while preserving authenticity

=== Photo Essentials ===
· HD Quality Restoration: Revive blurry photos into sharp, vivid images
· Smart Background Removal: Cleanly remove distractions for a professional finish
· Vibrant Filters: Enhance colors to create captivating photos perfect for social media
· Vibe Light: Capture glossy, well-lit selfies even in low-light settings

=== Your Ultimate Portrait Tool ===
· Trendy Makeup: Instantly apply the latest makeup trends with ease
· Wrinkle Removal: Smooth and rejuvenate skin for a youthful look
· 3D Nose Sculpting: Enhance your nose shape naturally and pain-free
· Concealer: Effortlessly cover blemishes for flawless skin
· Hair: Explore different hairstyles and colors to find your perfect look

=== Video Features===
· Teleprompter: Easily read scripts without missing a word
· Video Portrait Beautification: Intelligently enhance body shape and facial features, ensuring perfection even in dynamic videos

Terms of Service: https://pro.meitu.com/meiyan/agreements/service.html?lang=en
Privacy Policy: https://pro.meitu.com/meiyan/agreements/privacy_policy.html?lang=en
VIP Service Agreement: https://pro.meitu.com/meiyan/agreements/membership.html?lang=en",2013-01-27T08:00:00Z,2025-11-19T23:10:44Z
th,Thailand,Photo & Video,6008,6,416048305,Meitu- Photo & Video Editor,"Xiamen Meitu Technology Co., Ltd.",https://apps.apple.com/th/app/meitu-photo-video-editor/id416048305?uo=4,0.0,4.78383,150753,Photo & Video,"Meitu is a free All-in-one photo and video editor on mobile, which gives you everything you need to create awesome edits. 

Meitu Features:

【Photo Editor】
Make your photos stunning and sensational! Whatever your beauty preference, do it all with Meitu!

• 200+ Filters: No more dull photos! Animate and liven them up with 200+ original effects, and let the new AI flash feature adjust for vintage aesthetics.
• AI Art Effects: Cutting-edge tech that automatically turns your portraits into stunning illustrations!
• Instant Beautification: Select the beautification level of your choice and get flawless skin, defined muscles, fuller lips, whiter teeth, etc., in just one tap!

• Editing Features
- Mosaic: Cover anything that you want to hide
- Magic Brush: Doodle over your images with different brush options
- Remover: Easily erase unwanted objects from your photos using AI
- Add-ons: Customize your pictures by adding frames, text, and stickers
- Collage: Combine photos into one collage using in-app templates, text, and layout options

• Retouch Features
- Skin: Smooth, firm, and tweak your skin color exactly how you want!
- Blemishes: Get rid of any unwanted acne, dark circles, and other imperfections with ease.
- Makeup: Experiment with eyelashes, lipstick, contour, and more to highlight your beauty.
- Body Shape: Shape your body to be curvier, slimmer, more muscular, or taller, with background locked.

• Artificial Intelligence
With groundbreaking AI technology, Meitu automatically detects your facial features and adds cute motion stickers or hand-drawn effects to your face in real time while you take selfies.

【Video Editor】
•Editing: Create and edit videos effortlessly, add filters, special fonts, stickers, and music. Make your Vlogs and TikTok videos at a high-end level.
• Retouch: Adjust your portrait with a variety of effects, from makeup and skin firming to body adjustments.

【Meitu VIP】
• Meitu VIP can enjoy 1000+ materials!
All VIP members enjoy free to use the exclusive stickers, filters, AR cameras, stylish makeups, and other materials. (Except special materials from partners)

• Unlock VIP exclusive functions
Experience the Meitu VIP functions instantly, including teeth correction, hair bangs adjustment, wrinkle removal, eye retouch, and more. Meitu delivers a richer, better photo editing experience just for you.

Privacy Policy: https://pro.meitu.com/xiuxiu/agreements/global-privacy-policy.html?lang=en
Contact us: global.support@meitu.com",2011-02-15T02:52:45Z,2025-11-13T05:31:05Z
th,Thailand,Photo & Video,6008,7,1558240027,Meta AI,"Meta Platforms, Inc.",https://apps.apple.com/th/app/meta-ai/id1558240027?uo=4,0.0,4.81888,12180,Photo & Video,"Meet the new Meta AI app, your personal AI assistant that understands you. Get tailored answers, advice and inspiration as you go about your day.

Open the app and start talking. The Meta AI app (previously the Meta View app) is designed for natural back-and-forth conversations, so you can get what you need faster and more easily. Meta AI* can learn your preferences and interests to give you more helpful answers, whether you're on the go or getting work done. It can also help you create, edit and restyle images.

Looking for inspiration? Get AI hacks and prompts from the community in the Discover feed, and remix your favourites to try them out yourself. 

If you have Ray-Ban Meta glasses, this is the updated companion app that you'll need to do things such as manage your glasses, import and share photos and videos, and more. The Meta AI app is required to support your glasses experience.

*Certain Meta AI features are only available in selected countries and languages. Some of these features may be rolled out slowly over time.

Need to report an issue or share feedback? Simply shake your phone and tap on ""Report a bug"".",2024-04-11T07:00:00Z,2025-11-21T00:15:41Z
th,Thailand,Photo & Video,6008,8,962194608,Google Photos: Backup & Edit,Google LLC,https://apps.apple.com/th/app/google-photos-backup-edit/id962194608?uo=4,0.0,4.79786,37276,Photo & Video,"Google Photos is the home for all your photos and videos. Easily store, edit, organise and search your memories with the help of Google AI.

• 15 GB OF CLOUD STORAGE: Every Google Account gets 15 GB of storage*, three times more than many other cloud storage services. This means that you can back up your memories and keep them safe automatically on all of your devices.

• AI-POWERED EDITING TOOLS: Make complex edits in just a few taps. Remove unwanted distractions with Magic Eraser. Improve out-of-focus, blurry photos with Unblur. Enhance lighting and brightness with Portrait Light.

• SEARCH MADE SIMPLE: Your photos are easily searchable in a natural, descriptive way, like 'Alice and me laughing', 'Kayaking on a lake surrounded by mountains' or 'Emma painting in the back garden'.

• EASY ORGANISATION: Google Photos helps to declutter your gallery by automatically organising duplicates and similar photos into photo stacks. It also offers smart, intuitive folders for screenshots, documents, custom albums and daily camera roll organisation, making your gallery feel orderly and personalised. You can even save sensitive photos and videos to a locked folder protected by your device screen lock.

• RELIVE AND SHARE YOUR FAVOURITE MEMORIES: Stroll down memory lane in Google Photos. Share photos, videos and albums with any of your contacts – even if they don't use Google Photos.

• YOUR MEMORIES ARE SAFE: Your photos and videos are safe and secure from the instant that you store them, protected by our advanced security infrastructure while in storage or when you share them.

• ALL YOUR MEMORIES IN ONE PLACE: With backup on, you can easily transfer your photos from other apps, galleries and devices, so all of your content is in one place.

• FREE UP SPACE: Never worry about running out of space on your phone again. Photos that are backed up in Google Photos can be removed from your device's storage in just a tap.

• PRINT YOUR FAVOURITE MOMENTS:
From your phone to your home. Turn your favourite memories into photo books, photo prints, canvas wall art and more. Price varies by product. Printing services available in the US, EU, UK and CA only.

• GOOGLE LENS: Search what you see. This preview enables you to identify text and objects in your photos to learn more and take action.

Google Privacy Policy: https://google.com/intl/en_GB/policies/privacy

* Google Account storage is shared across Google Photos, Gmail and Google Drive.",2015-05-28T20:53:27Z,2025-11-20T21:53:52Z
th,Thailand,Photo & Video,6008,9,1594288016,Wink: Video Enhancer & Editor,"Xiamen Meitu Technology Co., Ltd.",https://apps.apple.com/th/app/wink-video-enhancer-editor/id1594288016?uo=4,0.0,4.87657,128492,Photo & Video,"Turn everyday videos and photos into professional-quality content with Wink, the all-in-one AI video editor and photo retouch app. Perfect for vlogs, social media posts, or daily memories—Wink helps you edit, enhance, and create effortlessly.

[ AI Editing & Retouch Tools ]

• AI Repair & 4K Upscaler – Restore blurry or low-resolution videos and photos to HD, Ultra HD, or 4K.
• Face Retouch & Makeup – Smooth skin, whiten teeth, slim faces, and apply natural beauty filters.
• Body Reshape – Adjust body shape and proportions for the perfect look.
• Auto Captions & Subtitles – Generate accurate captions in multiple languages for social videos.
• AI Remover & Background Cutout – Erase unwanted objects and backgrounds instantly.
• Filters, Templates & Video Editing – One-tap filters, trending templates, collage, transitions, and soundtrack.

[ Creative AI Effects ]

• AI Figurine – Transform yourself or objects into figurines.
• AI Anime, Cartoon, and Avatars – Create fun and artistic styles in seconds.

[ Wink VIP ]

Unlock premium AI features and exclusive effects with Wink VIP.

[ Subscription Info ]

Subscriptions are billed weekly, monthly, or annually to your iTunes account and auto-renew unless canceled at least 24 hours before the end of the billing period. Manage or cancel anytime in Apple ID settings.

• Terms of Service: https://pro.meitu.com/wink-cut/agreements/common/service-global.html?lang=en
• Privacy Policy: https://pro.meitu.com/wink-cut/agreements/common/policy-global.html?lang=en",2021-12-17T08:00:00Z,2025-11-20T05:40:58Z
th,Thailand,Photo & Video,6008,10,389801252,Instagram,"Instagram, Inc.",https://apps.apple.com/th/app/instagram/id389801252?uo=4,0.0,4.77794,2861847,Photo & Video,"Bringing you closer to the people and things you love – Instagram from Meta

Connect with friends, share what you're up to or see what's new from others all over the world. Explore our community where you can feel free to be yourself and share everything from your daily moments to life's highlights.

Express yourself and connect with friends

* Add photos and videos to your story that disappear after 24 hours, and bring them to life with fun creative tools.
* Message your friends with Messenger. Share and connect over what you see on feed and Stories.
* Create and discover short, entertaining videos on Instagram with Reels.
* Post photos and videos to your feed that you want to show on your profile.

Learn more about your interests

* Watch videos from your favourite creators and discover new content through Instagram video and Reels.
* Get inspired by photos and videos from new accounts in Explore.
* Discover brands and small businesses, and shop products that are relevant to your personal style.
Some Instagram features may not be available in your country or region.

Terms of Service - https://help.instagram.com/581066165581870

Learn how we're working to help keep our communities safe across Meta technologies at the Instagram Safety Center: https://about.instagram.com/safety",2010-10-06T08:12:41Z,2025-11-17T17:50:43Z
