country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
ua,Ukraine,Utilities,6002,1,1489717872,Дія,Ministry of Digital Transformation of Ukraine,https://apps.apple.com/ua/app/%D0%B4%D1%96%D1%8F/id1489717872?uo=4,0.0,4.25082,134908,Utilities,"Дія — держава в смартфоні. Держава, в центрі якої людина.

Установіть Дію, авторизуйтеся й користуйтеся цифровими документами, діліться їхніми копіями та отримуйте державні послуги за декілька кліків.

Цифрові документи в Дії зʼявляться автоматично після авторизації за умови, якщо дані є в реєстрах. Вони матимуть таку ж силу, як і паперові та пластикові оригінали, і ніхто не матиме права вимагати фізичний аналог, якщо ви покажете документ у Дії.

Застосунком можуть користуватися громадяни України та іноземці з посвідкою на проживання.

Дія — зручно, непомітно, людяно.",2020-02-05T08:00:00Z,2025-11-19T16:06:52Z
ua,Ukraine,Utilities,6002,2,6504203044,ElectricityOff,Zoreslav Goral,https://apps.apple.com/ua/app/electricityoff/id6504203044?uo=4,0.0,4.90625,224,Utilities,"Наш застосунок допоможе вам:
    • Зручно переглядати графіки вимкнень електроенергії у вигляді календаря.
    • Отримувати сповіщення про зміни в чергах.
    • Вчасно дізнаватися про вимкнення (-) та ввімкнення (+) електроенергії.",2024-07-10T07:00:00Z,2025-11-15T20:21:31Z
ua,Ukraine,Utilities,6002,3,284815942,Google - More ways to search,Google LLC,https://apps.apple.com/ua/app/google-more-ways-to-search/id284815942?uo=4,0.0,4.69463,131216,Utilities,"The Google app keeps you in the know about things that matter to you. Find quick answers, explore your interests and stay up to date with Discover.

• Use your camera to identify what you're looking at – whether that's a colourful butterfly, a spiky plant or anything else you're curious about.
• Translate over 100 languages on things like street signs, menus and any other words you can point your camera at.
• See something you like? Use your camera to find out where you can buy it.
• Refine your camera searches by adding words – whether you want those shoes but in 'blue', or want to learn how to 'repair' that broken piece on your bicycle.
• Search by singing, even when you've forgotten the lyrics. Hum a song into the Google app to find out what it is.
• Use your camera for homework help. With step-by-step guides and videos, you can learn ways to solve maths, chemistry, biology and physics problems.


Get personalised updates in Discover:
• Stay in the know about topics that interest you.
• Start your morning with weather and top news.
• Get real-time updates on sports, films and events.
• Know as soon as your favourite artists drop new albums.
• Get stories about your interests and hobbies.
• Follow interesting topics, straight from Search results.


Search safely and securely:
• All searches in the Google app are protected by encrypting the connection between your device and Google.
• Privacy controls are easy to find and use. Tap your profile picture to access your menu and delete recent search history from your account with one click.
• Search takes a proactive approach to filtering webspam to help ensure that you see safe, high-quality results.


More ways to access Google:
• Google Search widget — search from your home screen or lock screen with the new Google widget. Choose from two widgets, giving you a quick access search bar in both sizes, and other search shortcuts to choose from such as Lens, Voice and Incognito in the medium-sized widget.


Learn more about what the Google app can do for you: http://www.google.com/search/about

Privacy policy: https://www.google.com/policies/privacy

Your feedback helps us to create products that you'll love. Join a user research study here:

https://goo.gl/kKQn99",2019-02-12T08:00:00Z,2025-11-17T00:10:48Z
ua,Ukraine,Utilities,6002,4,6499418319,Резерв+,MINISTERSTVO OBORONY UKRAINY,https://apps.apple.com/ua/app/%D1%80%D0%B5%D0%B7%D0%B5%D1%80%D0%B2/id6499418319?uo=4,0.0,1.97548,14845,Utilities,"Застосунок Резерв+ від Міністерства оборони України створено для призовників, військовозобов’язаних та резервістів. У ньому можна отримати електронний військово-обліковий документ, подати запит на відстрочку, створити направлення на ВЛК та вибрати свою вакансію у Силах оборони серед тисяч різних варіантів. 

Щоб згенерувати електронний військово-обліковий документ, необхідно:

 - Авторизуватися за допомогою BankID;
 - Внести актуальні контакти: мобільний номер, електронну пошту та адресу проживання.

Після цього ви побачите документ у застосунку. Він відображатиме інформацію про вас з реєстру Оберіг — чи є відстрочка, чи маєте порушення правил військового обліку, коли проходили ВЛК тощо. 

Електронний військово-обліковий документ має таку ж юридичну силу, як паперове тимчасове посвідчення чи приписне. За QR-кодом працівники ТЦК чи поліції зможуть легко перевірити його справжність.

У випадку, якщо ваші дані не знайдено, дані можна виправити без походу до ТЦК. У інших ситуаціях — зверниться у службу підтримки Резерв+ (посилання є в застосунку).",2024-05-17T07:00:00Z,2025-11-19T15:45:09Z
ua,Ukraine,Utilities,6002,5,1010631459,Getcontact,GETVERIFY LDA,https://apps.apple.com/ua/app/getcontact/id1010631459?uo=4,0.0,4.6085,131483,Utilities,"We're taking action to put a global stop to unauthorized calls. Every year, we block at least three billion unauthorized calls or fraud attempts. Your feedback allows us to offer more effective protection to you and millions of other Getcontact users. We will happily continue to improve our services with your support.

Explore Getcontact's Key Features
 
CALLER ID and SPAM PROTECTION:
Know who the caller is even if they are not saved in your contacts. Block unwanted calls and ensure that only the people you choose can contact you. Get instant protection from robocalls and scams with the SPAM filter.

SMS spam filtering automatically blocks spam messages so that you only receive important and relevant messages. This way, you only see the messages you really need on your phone and avoid annoying spam SMS.
 
VOICE ASSISTANT:
When you are unable to answer calls from unwanted numbers, busy or unreachable, forward the calls to your personal assistant. Your assistant will answer these calls and send you notifications about the caller ID and the reason for the call. *The assistant feature is currently only available in select countries.
 
CHATS:
Communicate safely with free, encrypted chats. Have one-to-one or group chats and make voice or video calls with anyone you want.

SECOND NUMBER:
Second phone number service allows you to have a second mobile number that is not associated with your main number without the need for an additional SIM card. Choose your preferred number and start using it right away.
 
Download the Getcontact app now to discover more.

You can subscribe to paid plans in order to use Getcontact’s enhanced features. The payment is charged to your iTunes account, and prices vary by country. You will be able to see the total amount before you complete the payment. In-app purchases will renew depending on your plan. To prevent renewal, you must turn off auto-renewal at least 24 hours before your subscription expires. You can turn off auto-renewal at any time in your iTunes account settings. To access the settings, please go to: https://support.apple.com/en-us/HT202039



Our community and news from us:
- Facebook: https://facebook.com/getcontactapp
- Instagram: https://instagram.com/getcontact
- LinkedIn: https://linkedin.com/company/getcontact
- Twitter: https://twitter.com/getcontact
 
We deeply value your feedback. To report a problem or contact us:
- Feedback: support@getcontact.com
- Support: https://getcontact.faq.desk360.com
 
For more information on Privacy and Terms of Service:
Privacy Policy: https://getcontact.com/privacy
Terms of Service: https://getcontact.com/terms",2016-04-06T07:24:46Z,2025-11-04T06:36:02Z
ua,Ukraine,Utilities,6002,6,535886823,Google Chrome,Google LLC,https://apps.apple.com/ua/app/google-chrome/id535886823?uo=4,0.0,4.78679,84993,Utilities,"Chrome helps you do what's possible on the web. Download the fast, secure browser by Google.

GET THE BEST OF GOOGLE IN CHROME

• SEARCH WITH GOOGLE – search and get answers on Google fast. Use your voice to search hands-free.
• GOOGLE LENS – search what you see on your screen or with your camera.
• GOOGLE TRANSLATE – explore the web in 130+ languages. Translate entire websites in one click.

BROWSE WITH BEST-IN-CLASS SECURITY

• ENHANCED PROTECTION MODE – browse confidently with the highest level of Chrome's security.
• SAFETY CHECK – get peace of mind with proactive safety alerts.
• GOOGLE PASSWORD MANAGER – securely generate and save passwords for fast sign-in, and get alerts if your passwords are at risk.

ACCESS YOUR CHROME ACROSS DEVICES

• SYNC ACROSS DEVICES – save your things (like bookmarks, tabs and passwords) and easily access them when you sign in to Chrome on your phone, computer or tablet.
• TAB GROUPS – create tab groups to stay organised across devices.
• AUTOFILL – save time typing by autofilling your saved payments, addresses and passwords.",2012-06-28T19:57:38Z,2025-11-20T15:29:06Z
ua,Ukraine,Utilities,6002,7,6698880349,КомКом,"A-Solutions Development, LLC",https://apps.apple.com/ua/app/%D0%BA%D0%BE%D0%BC%D0%BA%D0%BE%D0%BC/id6698880349?uo=4,0.0,1.72727,22,Utilities,"КомКом — це офіційний мобільний додаток від ""Львівобленерго"", який допоможе швидко отримувати актуальну інформацію про відключення електроенергії та зручно взаємодіяти з компанією.
Основні можливості додатку:
•	Повідомлення про причини та терміни відсутності електроенергії.
•	Попередження про планові роботи.
•	Інформація про Вашу групу у графіку відключень.
•	Легка подача показників електролічильника.
•	Дистанційне замовлення послуг.
•	Зручний запис на прийом до спеціалістів.
Цей додаток — Ваш цифровий помічник з питань електроживлення: отримуйте важливі сповіщення, керуйте послугами та економте час на рутинних комунальних справах, взаємодіяти з обленерго тепер можна у Вашому смартфоні.",2025-01-07T08:00:00Z,2025-11-06T09:31:55Z
ua,Ukraine,Utilities,6002,8,388497605,Google Authenticator,Google LLC,https://apps.apple.com/ua/app/google-authenticator/id388497605?uo=4,0.0,4.92988,62847,Utilities,"Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you'll also need to enter a code that is generated by the Google Authenticator app on your phone.

The verification code can be generated by the Google Authenticator app on your phone, even if you don't have a network or mobile connection.

• Sync your Authenticator codes to your Google Account and across your devices. This way, you can always access them even if you lose your phone.

• Set up your Authenticator accounts automatically with a QR code. This is quick and easy, and it helps to ensure that your codes are set up correctly.

• Support for multiple accounts. You can use the authenticator app to manage multiple accounts, so you don't have to switch between apps every time you need to sign in.

• Support for time-based and counter-based code generation. You can choose the type of code generation that best suits your needs.

• Transfer accounts between devices with a QR code. This is a convenient way to move your accounts to a new device.


To use Google Authenticator with Google, you need to enable 2-Step Verification on your Google Account. To get started, visit http://www.google.com/2step",2013-07-27T10:42:50Z,2024-06-26T21:59:59Z
ua,Ukraine,Utilities,6002,9,1550568336,BLUETTI,"Shenzhen Poweroak Newener Co., Ltd.",https://apps.apple.com/ua/app/bluetti/id1550568336?uo=4,0.0,4.46009,213,Utilities,"Take full control of your BLUETTI power station with the BLUETTI App! Designed for seamless energy management, our app allows you to monitor real-time power usage, adjust settings, and optimize performance—all from your iPhone or iPad.
Key Features:
Real-Time Monitoring: Track battery status, input/output power, and more.
Smart Control: Adjust settings remotely for maximum efficiency. Instant Alerts: Receive important notifications about your power station.
Scheduled Charging: Optimize energy use based on your needs.
Firmware Updates: Keep your device up to date with the latest improvements.
Forum: Connect with other users in the BLUETTI App forum, share your daily experiences with your power station, and gain more knowledge!
Power up smarter with BLUETTI—download now and stay in charge, wherever you go!",2021-04-06T07:00:00Z,2025-11-05T20:35:43Z
ua,Ukraine,Utilities,6002,10,6590637921,Світлочек,"ZHITOMIROBLENERGO, JSC",https://apps.apple.com/ua/app/%D1%81%D0%B2%D1%96%D1%82%D0%BB%D0%BE%D1%87%D0%B5%D0%BA/id6590637921?uo=4,0.0,2.67647,34,Utilities,"Офіційний застосунок від АТ ""Житомиробленерго"", для відслідковування графіків погодинних відключень електроенергії по Житомирській області.

Основні функції:
1) Збереження локацій
2) Графік відключень по кожній збереженій локації",2024-08-01T07:00:00Z,2024-12-27T08:46:49Z
